,name,bar_code,eco_score,quantity,brand,categories,labels,ingredients_origins,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,generic_name,packaging,manufacturing,additives,markets,allergens,link,palm_ingredients,producer_info
532,Gâteau Breton - Louis Le Goff - 500g,3281130006361,,500 g,['Louis Le Goff'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux bretons']","['Point Vert', 'Pur beurre']",,['France'],"['Farine de blé', 'beurre concentré reconstitué 23 % ', 'colorant: beta-carotene', 'sucre', ""jaunes d'œufs frais 7 %"", 'œufs entiers frais 3 %', 'stabilisant : sorbitol', 'poudre à lever ', 'amidon de froment', 'diphosphate disodique', 'carbonate acide de sodium', 'sel', 'sirop de glucose']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",4,25 g,en quantité élevée,16 g,en quantité élevée,27 g,en quantité élevée,1.1 g,en quantité modérée,?,,497,+26%,2079 kj(497 kcal),+25%,25,+33%,16,+38%,62,+22%,27,+1%,"5,9",+11%,"1,1",+59%,"0,44",+59%,25,+28%,E,+28%,,,,,,,,,,['Plastique'],,"['E160ai - Bêta-carotène', 'E420 - Sorbitol', 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium']",,"['Œufs', 'Gluten', 'Lait']",,,
533,Gâteau Breton Caramel - Louis Le Goff - 350g,3281130006903,,350 g,['Louis Le Goff'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux bretons']","['Point Vert', 'Pur beurre']",,['France'],"['Gâteau : Farine de blé', 'beurre concentré reconstitué 23 % ', 'colorant bêta carotène', 'sucre', ""jaunes d'œufs frais 7 %"", 'œufs entiers frais 3 %', 'stabilisant : sorbitol', 'poudre à lever ', 'amidon de froment', 'diphosphate disodique', 'carbonate acide de sodium', 'sel', 'sirop de glucose', '\rÉclats de caramel ', '10 %', ' : Sucre', 'sirop de glucose', 'lait entier', ""crème fraîche d'Isigny AOC"", 'beurre salé 3,7 %', 'sel de Guérande', 'émulsifiants : lécithine de soja', ""sucroesters d'acides gras""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,25 g,en quantité élevée,16 g,en quantité élevée,27 g,en quantité élevée,1.1 g,en quantité modérée,?,,497,+26%,2079 kj(497 kcal),+25%,25,+33%,16,+38%,62,+22%,27,+1%,"5,9",+11%,"1,1",+59%,"0,44",+59%,25,+28%,E,+28%,,,,,,,,,Gâteau Breton Caramel,['Plastique'],,"['E160ai - Bêta-carotène', 'E420 - Sorbitol', 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium', 'E322i - Lécithine', 'E473 - Sucroester', '', 'Risque élevé de sur-exposition']",,"['Œufs', 'Gluten', 'Lait', 'Soja']",http://www.biscuiterielouislegoff.com/Gms/GatBretonFour.htm,,
534,Louis le goff - Madeleines Au Chocolat,3281130011129,D,,['Madeleines Au Chocolat'],"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Madeleines', 'Madeleines au chocolat']",,,['France'],[],[],,26 g,en quantité élevée,14 g,en quantité élevée,28 g,en quantité élevée,0.9 g,en quantité modérée,?,,486,+9%,2033 kj(486 kcal),+9%,26,+11%,14,+110%,"53,5",+2%,28,-1%,"5,94",+4%,"0,9",+19%,"0,36",+19%,25,+36%,E,+36%,82.9%,10.9%,2.4%,2.5%,1.3%,0.0%,39,,,,,,,,,,
535,Madeleine,3281130011181,B,,,"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,,['France'],[],[],,26.1 g,en quantité élevée,14.2 g,en quantité élevée,29 g,en quantité élevée,1.02 g,en quantité modérée,?,,479,+9%,2004 kj(479 kcal),+9%,"26,1",+14%,"14,2",+105%,55,+4%,29,+5%,"5,6",-1%,"1,02",+26%,"0,408",+26%,25,+36%,E,+36%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,,,,,,,
536,Madeleines au chocolat - Louis Le Goff,3281130014168,D,,['Louis Le Goff'],"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Madeleines', 'Madeleines au chocolat']",,,['France'],[],[],,26 g,en quantité élevée,14 g,en quantité élevée,28 g,en quantité élevée,0.99 g,en quantité modérée,?,,486,+9%,2033 kj(486 kcal),+9%,26,+11%,14,+110%,"53,5",+2%,28,-1%,"5,94",+4%,"0,99",+30%,"0,396",+30%,26,+41%,E,+41%,82.9%,10.9%,2.4%,2.5%,1.3%,0.0%,39,,,,,,,,,,
537,Palets Bretons - Louis Le Goff,3281130019378,C,,['Louis Le Goff'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Palets']",,,['France'],"['farine de blé', 'beurre pâtissier ', 'soit 32% en beurre reconstitue ', 'sucre', 'Ifs', 'blancs dŒufs', 'sel', 'poudres à lever ', 'diphosphates et carbonates de sodium', ""malt d'orge"", 'colorants : caroténoïdes', ' Peut contenir : Fruits à coque', 'soja', ' Ingred:ents', 'Wheat flour', 'concentred butter 27%', 'sugaL eggs', 'eggs White', 'salt baking powder ', 'sodium diphosphates and carbonate', 'barley malt', 'Colouring agents carotenoids', ' Allergens : May contain traces of nuts and soja']",['Non végétalien'],4,27.9 g,en quantité élevée,19.5 g,en quantité élevée,26.9 g,en quantité élevée,1.18 g,en quantité modérée,?,,518,+4%,2167 kj(518 kcal),+4%,"27,9",+10%,"19,5",+19%,"60,6",+0%,"26,9",+4%,"5,5",-7%,"1,175",+34%,"0,47",+34%,26,+8%,E,+8%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,"['E450i - Pyrophosphate de sodium acide', 'E500 - Carbonates de sodium', 'E160 - Caroténoïdes']",,"['Gluten', 'Lait']",,,
538,Palets breton,3281130102070,C,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Palets']",,,['France'],[],[],,27.9 g,en quantité élevée,19.5 g,en quantité élevée,26.9 g,en quantité élevée,1.2 g,en quantité modérée,?,,518,+4%,2167 kj(518 kcal),+4%,"27,9",+10%,"19,5",+19%,"60,6",+0%,"26,9",+4%,"5,5",-7%,"1,2",+37%,"0,48",+37%,26,+8%,E,+8%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,,,,,,
539,Olives noires de nyons,3281214301016,B,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Pickles', 'Légumes et dérivés', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives noires', 'Légumes français', 'Olives noires de Nyons']",,,['France'],[],[],,37 g,en quantité élevée,3.97 g,en quantité modérée,0 g,en faible quantité,4.57 g,en quantité élevée,?,,361,+2%,1510 kj(361 kcal),+3%,37,+3%,"3,97",+1%,0,-100%,0,-100%,2,+10%,"4,57",+11%,"1,828",+11%,11,+1%,D,+1%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,,,,,,
540,Sakari sauce au citron,3281230000252,,,['Sakari'],,['en:gluten-free'],,['France'],[],[],,,,,,,,,,?,,352,,1473 kj(352 kcal),,34,,3,,7,,1,,1,,5,,2,,,,,,,,,,,,,,,,,,,,,,
541,Agneau confit sakari - 1000g,3281230000375,,1000 g,['Sakari'],,,,['France'],[],[],,,,,,,,,,?,,372,,1556 kj(372 kcal),,31,,13,,0,,0,,23,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,
542,Sauce Basque Sakari Au Curry 1 Litre,3281230000450,B,,['Sakari'],"['Epicerie', 'Sauces', 'Sauces au curry']",['en:gluten-free'],,['France'],[],[],,36 g,en quantité élevée,3 g,en quantité modérée,1 g,en faible quantité,4 g,en quantité élevée,?,,352,+51%,1473 kj(352 kcal),+60%,36,+97%,3,-11%,4,-62%,1,-83%,2,+25%,4,+138%,"1,6",+138%,16,+37%,D,+37%,21.5%,33.8%,17.7%,14.0%,7.6%,5.3%,96,,,,,,,,,,
543,Mayonnaise Au Piment D'espelette - Maison Petricorena - 180g,3281230000481,C,180 g,['Maison Petricorena'],"['Epicerie', 'Sauces', 'Mayonnaises']",,,['France'],"['Huile de tournesol', 'moutarde de Dijon ', 'graines de moutarde', 'vinaigre', 'eau', 'sel', ""jaune d'?uf"", 'purée de piment ', 'piment', 'vinaigre', 'sel', 'épices', 'vinaigre de vin blanc', 'sel', 'citron', ""piment d'Espelette "", '0,5%', ""blanc d'?uf"", ' Allergènes : moutarde', 'oeufs sulfites', ' Information consommateur : Fabriqué dans un atelier qui utilise : vin et vinaigre', ' fruits à coque', 'moutarde', 'lait', 'oeufs', 'céréales contenant du gluten', 'poissons et crustacés', ' Découvreztoutesnosspécialités Plus de recettessur : wM', 'cuisinedesbasques', 'c0fll Boutique enligne Bonappétitetàbientôtl']","['Non végétalien', 'Non végétarien']",3,77 g,en quantité élevée,10 g,en quantité élevée,0.5 g,en faible quantité,1.65 g,en quantité élevée,?,,713,+16%,2983 kj(713 kcal),+17%,77,+16%,10,+62%,2,-26%,"0,5",-66%,"2,5",+103%,"1,65",+24%,"0,66",+24%,24,+34%,E,+34%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,['Bocal en verre'],,,,"['Crustacés', 'Œufs', 'Poisson', 'Gluten', 'Lait', 'Moutarde', 'Fruits à coque']",,,
544,Sauce Bolognaise au piment d'Espelette - Sakari,3281230000740,E,,['Sakari'],"['Epicerie', 'Produits à la viande', 'Sauces', 'Sauces à la viande', 'Sauces pour pâtes', 'Sauce tomate à la viande', 'Sauces bolognaises']",,,['France'],[],[],,2.9 g,en faible quantité,0.6 g,en faible quantité,3.7 g,en faible quantité,0.53 g,en quantité modérée,?,,73,-16%,305 kj(73 kcal),-15%,"2,9",-29%,"0,6",-51%,"6,1",-7%,"3,7",-22%,"4,8",+7%,"0,53",-52%,"0,212",-52%,0,-100%,B,-100%,91.7%,4.0%,1.7%,1.5%,0.7%,0.5%,24,,,,,,,,,,
545,Gelée extra de piments doux - Sakari,3281230000931,,,['Sakari'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Pâtes à tartiner végétales']",,,['France'],[],[],,0.2 g,en faible quantité,0.1 g,en faible quantité,50 g,en quantité élevée,0.2 g,en faible quantité,?,,227,-16%,950 kj(227 kcal),-15%,"0,2",-98%,"0,1",-92%,55,+30%,50,+31%,"0,5",-78%,"0,2",+3%,"0,08",+3%,12,+29%,D,+29%,,,,,,,,,,,,,,,,,
546,Axoa veau et bœuf émincés cuisinés au piment d'Espelette - Sakari,3281230001068,,,['Sakari'],,,,['France'],"['Ingréffents : Veau et bœuf ', '54%', 'piments doux du Pays Basque ', '4%', ' poivrons', ' oignons', 'vin blanc', '-ventrèche ou jambon de Bayonne', ""piment d'Espelette "", '0,5%', 'concentré de tomate', 'ail', 'sel', 'poivre', 'épices Allergènes : Contient des sulfites']","['Non végétalien', 'Non végétarien']",,,,,,,,,,?,,145,,607 kj(145 kcal),,8,,4,,2,,1,,16,,1,,"0,4",,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,,
547,Sauce à l'huile d'olive - Sakari,3281230001273,,,['Sakari'],,,,['France'],[],[],,,,,,,,,,?,,351,,1469 kj(351 kcal),,35,,9,,9,,2,,1,,4,,"1,6",,,,,,,,,,,,,,,,,,,,,,
548,Axoa - Sakari,3281230001501,,,['Sakari'],,,,['France'],"['Veau et bœuf ', '54%', ' piments doux du Pays Basque ', '4%', ' poivrons', ' oignons', ' vin blanc', ' Ventrèche ou jambon de Bayonne', "" piment d'Espelette "", '03%', ' concentré de tomate', ' ail', ' sel', ' poivre', ' epices', 'Allergènes : Contient des sulfites']","['Non végétalien', 'Non végétarien']",,,,,,,,,,?,,145,,607 kj(145 kcal),,8,,4,,2,,1,,16,,1,,"0,4",,,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,,
549,Garbure au confit de canard - Sakari,3281230001525,,,['Sakari'],,,,['France'],[],[],,,,,,,,,,?,,100,,418 kj(100 kcal),,"6,2",,"2,2",,"2,1",,1,,"8,2",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,
550,Confiture De Piments Du Pays Basque 220 g - Sakari,3281230001716,,,['Sakari'],,,,['France'],[],[],,,,,,,,,,?,,201,,841 kj(201 kcal),,1,,"0,2",,50,,41,,1,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,
551,Vinaigre Au Piment D'espelette Spécial Grillades Et Planchas - Sakari,3281230002799,,,['Sakari'],,,,['France'],[],[],,,,,,,,,,?,,20,,84 kj(20 kcal),,"0,5",,"0,1",,"2,5",,"0,5",,"0,5",,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,
552,Confit d'oignons au vin d'Iroul?guy et au piment d'Espelette - Sakari,3281230002881,,,['Sakari'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Plantes condimentaires', 'Produits à tartiner salés', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Oignons et dérivés', ""Confits d'oignons""]",,,['France'],[],[],,2 g,en faible quantité,1 g,en faible quantité,20.5 g,en quantité élevée,0.5 g,en quantité modérée,?,,147,-12%,615 kj(147 kcal),-13%,2,+22%,1,+279%,"31,5",-10%,"20,5",-37%,1,+0%,"0,5",-20%,"0,2",-20%,2,-70%,B,-70%,,,,,,,,,,,,,,,,,
553,Sauce Basque Sakari Forte Bouteille De 1 Litre - Maison Petricorena - 1l,3281230003437,,1 l,['Maison Petricorena'],"['Epicerie', 'Sauces', 'Sauces pimentées']","['en:gluten-free', 'Point Vert']",,['France'],"['Huile de colza', 'vinaigre', 'piment doux', 'piment fort', 'poivre', 'sel', 'ail', 'persil', 'thym et aromates']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,35 g,en quantité élevée,9 g,en quantité élevée,2 g,en faible quantité,4 g,en quantité élevée,?,,351,+190%,1469 kj(351 kcal),+198%,35,+1036%,9,+1857%,9,-48%,2,-85%,1,-14%,4,-11%,"1,6",-11%,22,+76%,E,+76%,,,,,,,,,,['Bouteille'],,,,,https://www.petricorena.com/sauce-basque-sakari/18-sauce-basque-sakari-forte-bouteille-de-1-litre-3281230003437.html,,
554,Sauce Basque Sakari Forte à L'huile D'olive Bouteille De 1 Litre,3281230003444,,,['Sakari'],,['en:gluten-free'],,['France'],[],[],,,,,,,,,,?,,351,,1469 kj(351 kcal),,9,,"0,1",,9,,"0,1",,1,,4,,"1,6",,,,,,,,,,,,,,,,,,,,,,
555,Sauce douce - Sakari,3281230003604,,,['Sakari'],,['en:gluten-free'],,['France'],[],[],,,,,,,,,,?,,351,,1469 kj(351 kcal),,35,,9,,9,,2,,1,,4,,"1,6",,,,,,,,,,,,,,,,,,,,,,
556,Caillette aux herbes de Provence - Succulence - 180g,3281280302016,,180 g,"['Succulence', 'Les Comtes de Provence']","['Produits à la viande', 'Terrines']",,,['France'],"['gorge e porc', 'foie de porc', 'épinard', 'vin blanc', 'oignons', 'œufs entiers', 'herbes de Provences ', 'thym', 'romarin', 'sarriette', 'origan', 'sel', 'poivre', '4 épices']","['Non végétalien', 'Non végétarien']",3,15.5 g,en quantité modérée,5.9 g,en quantité élevée,0.7 g,en faible quantité,1.02 g,en quantité modérée,?,,269,-11%,1125 kj(269 kcal),-10%,"15,5",-40%,"5,9",-38%,"1,4",-35%,"0,7",-10%,"11,8",-16%,"1,02",-33%,"0,408",-33%,12,-32%,D,-32%,,,,,,,,"['FR 04.149.001 CE', 'Peyruis (Alpes-de-Haute-Provence, France)']",Caillette aux herbes de Provence,"['Pot', 'Verre']",,,,"['Œufs', 'Gluten', 'Anhydride sulfureux et sulfites']",,,
557,Gâteaux au beurre,3281320026001,,,,,,,['France'],[],[],,,,,,,,,,?,,387,,1619 kj(387 kcal),,"19,2",,"12,2",,"51,2",,24,,"5,9",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,
558,Madeleines - Erté Patissier,3281320264007,B,,['Erté Patissier'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",['Sans sucre ajouté'],,['France'],"['farine de blé', 'édulcorant : maltitol', 'huile de colza', 'eufs frais ', '17%', 'stabilisant : glycérol', 'poudre de lait entier', 'sel', 'poudre à lever «pyrophosphate et bicarbonate de soude»', 'émulsifiant ', ""Mono et diglycérides d'acides gras"", 'conservateur : sorbate de potassium', 'arômes']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,20 g,en quantité modérée,2.1 g,en quantité modérée,0.9 g,en faible quantité,1.1 g,en quantité modérée,?,,355,-20%,1485 kj(355 kcal),-19%,20,-12%,"2,1",-70%,"46,8",-11%,"0,9",-97%,"5,7",+0%,"1,1",+36%,"0,44",+36%,6,-67%,C,-67%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,,"['E965 - Maltitol', 'E422 - Glycérol', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500ii - Carbonate acide de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,"['Gluten', 'Lait']",,,
559,Mini-cakes Met Fruit - Erté - 195g,3281320361904,C,195 g,['Erté'],"['Biscuits et gâteaux', 'Gâteaux', 'Cakes aux fruits']",['Fabriqué en France'],,['France'],"['Fruits ', '25%', ' ', 'Raisins secs', 'papayes confites ', 'sirop de glucose-fructose', 'dextrose', 'jus de fruit concentré', ""correcteur d'acidité : acide citrique"", ""colorant : cochenille] écorces d'orange confites"", ' farine de blé', 'sucre', 'huile de colza', 'oeufs frais ', '11%', 'sirop de sucre inverti', 'stabilisant : glycérol', 'arômes', 'émulsifiants : ', ""Mono et diglycérides d'acides gras"", ""polyglycérides d'acides gras"", 'lécithines de soja', 'poudre de lait entier', 'sel', 'poudre à lever pyrophosphate et bicarbonate de soude', 'conservateur: sorbate de potassíum', 'épaississant: xanthane']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,13.5 g,en quantité modérée,1.5 g,en quantité modérée,24.7 g,en quantité élevée,1.5 g,en quantité modérée,1628,+0%,389,+0%,1628 kj(389 kcal),-0%,"13,5",-12%,"1,5",-66%,"55,4",-1%,"24,7",-26%,"5,2",+7%,"1,5",+156%,"0,6",+156%,16,-4%,D,-4%,76.8%,12.1%,5.7%,2.8%,2.6%,0.0%,65,,,,,"['E330 - Acide citrique', 'E120 - Acide carminique', 'E422 - Glycérol', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500ii - Carbonate acide de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']",,"['Œufs', 'Gluten', 'Soja']",,,
560,Moelleux tout chocolat,3281320513006,,,,,,,['France'],[],[],,,,,,,,,,?,,415,,1736 kj(415 kcal),,"24,4",,"7,9",,"44,1",,"26,4",,"5,3",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,
561,Moelleux aux Pommes - 300g,3281320533004,,300 g,,,,,['France'],[],[],,,,,,,,,,?,,308,,1289 kj(308 kcal),,"4,1",,"0,5",,"62,7",,"36,7",,"5,2",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,
562,Moelleux citron - 40g,3281320800403,,40 g,,,,,['France'],[],[],,,,,,,,,,?,,161,,674 kj(161 kcal),,"8,4",,"0,8",,"20,1",,"10,9",,"2,3",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,
563,Amandines 400G - Biscuiterie de l abbaye - 400g,3281320994003,C,400 g,['Biscuiterie de l abbaye'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Amandine']",,,['France'],"['Sucre', 'farine de blé', ""blancs d'œufs frais "", '15%', 'beurre concentré', 'sirop de sucre inverti', 'œufs frais ', '6%', 'amandes ', '5%', 'stabilisant : glycérol', 'poudre de laid entier', 'sel', 'poudre à lever ', 'pyrophosphate et bicarbonats de soude', ""émulsifiant : mono et diglycérides d'acides gras"", 'conservateur : sorbate de potassium', 'arômes']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,12.2 g,en quantité modérée,7 g,en quantité élevée,34 g,en quantité élevée,1.3 g,en quantité modérée,1451,-27%,347,-27%,1451 kj(347 kcal),-27%,"12,2",-41%,7,-31%,"54,2",-15%,34,+15%,"5,6",-14%,"1,3",+121%,"0,52",+121%,21,+6%,E,+6%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,"['E422 - Glycérol', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",,,
564,Brownies 400G - Biscuiterie de l abbaye - 400g,3281321004008,D,400 g,['Biscuiterie de l abbaye'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Brownies']",,,['France'],"['Sucre', 'farine de blé', 'huile de colza', 'œufs frais ', '13%', 'pépites de chocolat noir ', '8,5%', ' [sucre', 'pâte de ca - cao', 'beurre de cacao', 'cacao maigre en poudre', 'émulsifiant : lécmine de tournesol]', 'beurre concentré', ""blancs d'œufs frais "", '6%', 'stabilisant : glycérol', 'sirop de sucre inverti', 'poudre de cao', 'poudre de lait entier', 'sel', 'poudre à lever', 'pyrophosphate et bicarbonate de soude', ""émulsifiant : mono et diglycérides d'acides gras"", 'conservateur : sorbate de potassium', 'arômes']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,25.5 g,en quantité élevée,8.2 g,en quantité élevée,27.3 g,en quantité élevée,1.2 g,en quantité modérée,?,,423,-7%,1770 kj(423 kcal),-7%,"25,5",-0%,"8,2",-0%,"45,7",-5%,"27,3",-20%,"5,3",-10%,"1,2",+214%,"0,48",+214%,22,+15%,E,+15%,84.5%,9.8%,2.3%,2.2%,1.2%,0.0%,37,,,,,"['E422 - Glycérol', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500ii - Carbonate acide de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",['Magasins U'],"['Œufs', 'Gluten', 'Lait']",,,
565,Palmier Pur Beurre - Erté,3281322030303,C,,['Erté'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits feuilletés', 'Palmiers']","['Fabriqué en France', 'en:palm-oil-free']",,['France'],[],['Sans huile de palme'],,27.3 g,en quantité élevée,19.3 g,en quantité élevée,27.6 g,en quantité élevée,0.9 g,en quantité modérée,?,,521,+1%,2180 kj(521 kcal),+1%,"27,3",0%,"19,3",+23%,"63,4",+5%,"27,6",+25%,"5,3",-11%,"0,9",-11%,"0,36",-11%,25,+8%,E,+8%,79.4%,12.3%,3.8%,2.3%,2.3%,0.0%,59,,,,,,,,,,
566,Palmiers -,3281322030600,C,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits feuilletés', 'Palmiers']",['Fabriqué en France'],,['France'],[],[],,27.3 g,en quantité élevée,19.3 g,en quantité élevée,27.6 g,en quantité élevée,0.9 g,en quantité modérée,?,,521,+1%,2180 kj(521 kcal),+1%,"27,3",0%,"19,3",+23%,"63,4",+5%,"27,6",+25%,"5,3",-11%,"0,9",-11%,"0,36",-11%,25,+8%,E,+8%,79.4%,12.3%,3.8%,2.3%,2.3%,0.0%,59,,,,,,,,,,
567,Galette Royale - Erté  - 70g,3281322050707,,70g,['Erté'],,,,['France'],[],[],,,,,,,,,,?,,399,,1669 kj(399 kcal),,"14,3",,5,,62,,"37,7",,"4,4",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,
568,Gaufre Liégeoise Chocolat -,3281322060607,C,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Gaufres', 'Gaufres liégeoises']",,,['France'],[],[],,25.2 g,en quantité élevée,15.2 g,en quantité élevée,28 g,en quantité élevée,0.53 g,en quantité modérée,?,,468,+3%,1958 kj(468 kcal),+3%,"25,2",+6%,"15,2",+26%,"53,3",-0%,28,+1%,6,+0%,"0,53",-30%,"0,212",-30%,23,0%,E,0%,77.1%,12.7%,5.0%,2.6%,2.6%,0.0%,66,,,"['Sachet', 'Plastique']",,,,,,,
569,Betteraves - Allaire,3281440000035,B,,['Allaire'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Betteraves']",['Bio'],,['France'],"['L éclilrlcs vapeur A consommer do vot uverture,']",[],,0.1 g,en faible quantité,0 g,en faible quantité,6.7 g,en quantité modérée,0.14 g,en faible quantité,?,,43,-4%,180 kj(43 kcal),-4%,"0,1",-69%,0,-100%,"7,2",-5%,"6,7",-1%,"2,3",+39%,"0,14",-48%,"0,056",-48%,-5,,A,,65.8%,0.0%,0.0%,19.7%,13.6%,0.9%,99,,,,,,,,,,
570,"Pommes de terre entières cuites à la vapeur, sous vide 2 x",3281440000233,,,,,,,['France'],[],[],,,,,,,,,,?,,75,,314 kj(75 kcal),,"0,3",,"0,1",,"15,8",,"0,5",,2,,"0,098",,"0,039",,,,,,,,,,,,,,,,,,,,,,
571,Choucroute légume - Allaire - 500g,3281440000721,C,500 g,['Allaire'],"['Plats préparés', 'Choucroutes']",['Label Rouge'],,['France'],"['Choucroute', 'eau', 'oignons', 'graisse de canard', 'sel', 'épices']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,1 g,en faible quantité,,,,,,,118,-65%,?,,118 kj(28 kcal),-70%,1,-85%,,,"4,1",+79%,,,"0,5",-89%,,,,,,,,,59.3%,25.1%,6.2%,5.0%,2.6%,1.9%,70,,,"['Barquette', 'Plastique']",['France'],,['Carrefour'],,,,
