,name,bar_code,eco_score,quantity,brand,categories,labels,ingredients_origins,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,generic_name,packaging,manufacturing,additives,markets,allergens,link,palm_ingredients,producer_info
10,Prêts-à-tartiner thon - Guyader,3276770010397,,,['Guyader'],,,,['France'],[],[],,,,,,,,,,?,,248,,1038 kj(248 kcal),,"22,3",,"1,7",,"1,2",,"1,2",,"9,2",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,
11,Les rillettes marines - Guyader,3276770010489,,,['Guyader'],,,,['France'],[],[],,,,,,,,,,?,,247,,1033 kj(247 kcal),,"20,9",,"2,4",,"1,1",,1,,11,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,
12,Mini-Cake Chèvre Tomate Courgette - Guyader,3276770022482,,,['Guyader'],,,,['France'],[],[],,,,,,,,,,?,,271,,1134 kj(271 kcal),,19,,"5,8",,14,,"3,9",,"9,5",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,
13,16 minis blinis - Guyader,3276770022536,B,,['Guyader'],"['Snacks', 'Snacks salés', 'Apéritif', 'Blinis']",,,['France'],"['Eau', 'farine de BLE', 'huile de tournesol', 'LACTOSE', 'protéines de LAIT', 'LAIT écrémé en poudre', ' LAČTOSERUM en poudre', ""OEUF entier et blanc d'ŒUF déshydratés"", 'poudres à lever : carbonates de sodium et diphosphates', 'sel', 'antioxydant: acide ascorbique']",['Non végétalien'],4,9.8 g,en quantité modérée,1.2 g,en faible quantité,8.5 g,en quantité modérée,1.8 g,en quantité élevée,?,,264,+2%,1105 kj(264 kcal),+1%,"9,8",-8%,"1,2",-15%,36,+8%,"8,5",+94%,"6,1",-4%,"1,8",+32%,"0,72",+32%,10,+48%,C,+48%,71.0%,15.7%,8.4%,4.3%,0.6%,0.0%,87,,,,,"['E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique']",,"['Œufs', 'Gluten', 'Lait', 'LAČTOSERUM']",,,
14,Entremet marin écrevisses et homard - Guyader,3276770026879,,,['Guyader'],,,,['France'],[],[],,,,,,,,,,?,,150,,628 kj(150 kcal),,11,,"1,2",,6,,"1,7",,"6,2",,"0,88",,"0,352",,,,,,,,,,,,,,,,,,,,,,
15,Mille feuilles de Saumon et St Jacques - Guyader,3276770027210,,,['Guyader'],,,,['France'],"['SAUMON ', '22,5%', 'eau', 'Noix de Vdéüòià,surimi ', 'chairde POISSONS', 'sucre', 'sorbitol', ""blanc d'?IJF"", 'chair dePOlSSONS', 'SAUMON fumé ', '4', '5%', ' ', 'SAUMON sél', ' CREMÉ grottes', 'tapioca', 'dextrose', 'arômes ', 'CRUSTACES', 'gélifiants: LE407-E410-E415', 'MOUTARDE ', 'eau', 'grainesde ', ' purée decitron ', 'citron', 'sirop de sucre inverti', 'estragon', 'Traces éventuelles de céleri', 'Argopectenpurpuratus', 'Chlamys albidus', 'Chlamys circularis', 'Chlamysüslândjêd', 'thlanjà magel/anicus', 'Zygach/amys Patagonica', ' Origine : Pérou', 'Mexique', 'Russie', 'Grande Île', 'de Man', 'USA? Rrgentine', 'Uruguay']","['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,188,,787 kj(188 kcal),,14,,"2,1",,"2,6",,"1,6",,"11,9",,"0,9",,"0,36",,,,,,,,,,,,,,,,,"['E420 - Sorbitol', 'E410 - Gomme de caroube', 'E415 - Gomme xanthane']",,"['Céleri', 'Crustacés', 'Poisson', 'Lait', 'Moutarde']",,,
16,Terrine aux St-Jacques -  - 2x 60gr,3276770033129,,2x 60 gr,,"['Terrines', 'Terrines de Saint-Jacques']","['Sans colorants', 'Triman']",,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['EMB 56094', 'Kervignac (Morbihan, France)']",,,,,,,,,
17,Petits cakes chèvre et courgette - Guyader,3276770206158,,,['Guyader'],"['Snacks', 'Snacks salés', 'Cake aux legumes']",,,['France'],[],[],,19 g,en quantité modérée,5.8 g,en quantité élevée,3.9 g,en faible quantité,1.5 g,en quantité modérée,?,,271,+0%,1134 kj(271 kcal),+1%,19,+5%,"5,8",+35%,14,-15%,"3,9",+13%,"9,5",+9%,"1,5",+9%,"0,6",+9%,14,+28%,D,+28%,,,,,,,,,,,,,,,,,
18,Cake aux 3 fromages GUYADER - Guyader Gastronomie - 260g,3276770206288,,260 g,['Guyader Gastronomie'],"['Biscuits et gâteaux', 'Gâteaux']",,,['France'],"['OEUFS', 'LAIT', 'farine de BLE', 'FROMAGE de chèvre', '11', '5%', 'huile de colza,FROMAGE bleu ', '6%', 'fibres de pousse de bambou', 'sucre', 'poudre à lever : E450i-E500ii', 'sel', 'persil', 'poivre', 'muscade', ' Traces éventuelles de celeri', 'crustacés', 'fruits à coques', 'graine de sésame', 'lupin', 'mollusques', 'moutarde', 'poisson', 'soja', 'sulfites']",['Non végétalien'],4,25 g,en quantité élevée,7.7 g,en quantité élevée,2.5 g,en faible quantité,1.5 g,en quantité modérée,?,,336,-17%,1406 kj(336 kcal),-16%,25,+28%,"7,7",+1%,14,-72%,"2,5",-91%,12,+121%,"1,5",+147%,"0,6",+147%,14,-22%,D,-22%,,,,,,,,,,['Plastique'],,"['E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium']",,"['Œufs', 'Gluten', 'Lait']",,,
19,Guyader - 120g,3276770208688,,120 g,['Guyader'],,"['Sans colorants artificiels', 'Sans colorants', 'Sans exhausteur de goût', 'en:produced-in-bretagne']",,['France'],[],[],,,,,,,,,,1101,,?,,1101 kj(263 kcal),,"23,2",,"5,9",,"3,8",,"3,8",,"9,9",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,
