,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,brand,quantity,markets,generic_name,packaging,nova_score,allergens,brand_owner,additives,manufacturing,ingredients_origins,palm_ingredients,link
724,Saint-nectaire Laitier AOP,2488645025257,['France'],[],[],?,340,27,2,23,,,,,,,,,,,,,,1423 kj(340 kcal),,,18,,,1,,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,,
725,Gaston - Dessert pomme vanille,3770012793005,['France'],[],[],?,87,"0,1","19,5","0,4",,,,,,,,,,,,,,364 kj(87 kcal),,,0,,,"17,5",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
726,Biona Organic Rainbow Lollies,5032722307087,['France'],[],[],?,380,0,94,0,,,,,,,,,,,,,,1590 kj(380 kcal),,,0,,,59,,,"0,002",,"0,001",,,,,,,,,,,,,,,,,,,,,,,,,,
727,Pains au chocolat beurre,0260971010822,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,Cloche 35,3760186541502,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,Confiture - 250g,3193840060208,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 g,,,,,,,,,,,
730,Huile d'olive artisanale,3760273340520,['France'],[],[],?,899,100,0,0,,,,,,,,,,,,,,3761 kj(899 kcal),,,4,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
731,Santé & Bien-être / Elixir Du Suédois - Floressance,3760020509866,['France'],[],[],?,?,?,?,?,,,"['Sans conservateurs', 'Fabriqué en France']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Floressance'],,,,,,,,,,,,
732,Comte AOP,2480476036082,['France'],[],[],?,418,35,0,27,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.9 g,en quantité modérée,,-0%,1749 kj(418 kcal),-0%,+1%,23,+1%,-100%,0,-100%,+0%,"0,9",+7%,"0,36",+7%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
733,Condiment,7610121110552,['France'],[],[],?,800,4,36,"2,5",,,,,,,,,,,,,,3347 kj(800 kcal),,,"2,5",,,14,,,55,,22,,,,,,,,,,,,,,,,,,,,,,,,,,
734,Le P'tit rogeret - Fromagerie artisanale de la Bruyère,0233826016928,['France'],[],[],?,?,?,?,?,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages au lait thermisé']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['FR 42.019.003 CE', 'Boën (Loire, France)']",['Fromagerie artisanale de la Bruyère'],,,,['Frais'],,,,,,,,
735,Filet poulet vrac,1000000021455,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,Oeufs de morue fumés avec des legumes,5609690865989,['France'],[],[],?,271,23,"1,2",15,,,,,,,,,,,,,,1134 kj(271 kcal),,,"3,5",,,"0,5",,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,
737,Tarte pomme compote 6 personnes decongele - E.Leclerc,3000000210659,['France'],[],[],?,177,"6,5",27,"2,4",,,,,,,,,,,,,,741 kj(177 kcal),,,"2,6",,,14,,,"0,398",,"0,159",,,,,,,,,,,,,,['E.Leclerc'],,,,,,,,,,,,
738,Steaks hachés,3324321275525,['France'],[],[],?,235,"19,3",0,"15,4",,,,,,,,,,,,,,983 kj(235 kcal),,,"8,9",,,0,,,"0,14",,"0,056",,,,,,,,,,,,,,,,,,,,,,,,,,
739,Bleu monsaluat,0207013019351,['France'],[],[],?,393,35,0,19,,,,,,,,,,,,,,1644 kj(393 kcal),,,23,,,0,,,"2,4",,"0,96",,,,,,,,,,,,,,,,,,,,,,,,,,
740,Graines de courage d'autriche,5413401003993,['France'],[],[],?,587,42,3,35,,,,,,,,,,,,,,2456 kj(587 kcal),,,8,,,1,,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,
741,Confiture d'orange - 340g,3331100000209,['France'],[],[],?,?,?,?,?,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340 g,,,,,,,,,,,
742,Jambon supérieur sans couenne 4 tranches,2273695016603,['France'],[],[],?,111,3,1,20,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Jambon sans couenne']",,3 g,en quantité modérée,1.2 g,en faible quantité,0.5 g,en faible quantité,2.1 g,en quantité élevée,,-16%,464 kj(111 kcal),-15%,-38%,"1,2",-35%,+49%,"0,5",-16%,-5%,"2,1",+12%,"0,84",+12%,11,+56%,D,+56%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,,,,,
743,Bourgueil val de loire,3760092540316,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
744,Terrine de campagne,3525165233096,['France'],[],[],?,288,23,"1,2",19,,"['Viandes', 'Charcuteries', 'Terrines', 'Terrines de campagne']",,23 g,en quantité élevée,8.6 g,en quantité élevée,0.1 g,en faible quantité,1.1 g,en quantité modérée,,-11%,1205 kj(288 kcal),-11%,-19%,"8,6",-20%,-48%,"0,1",-88%,+36%,"1,1",-31%,"0,44",-31%,15,-23%,D,-23%,,,,,,,,,,,,,,,,,,,,,
745,2 filets poulet - Auchan,2600496030963,['France'],[],[],?,110,"1,5","0,5",24,,,,,,,,,,,,,,460 kj(110 kcal),,,"0,5",,,"0,5",,,"0,1",,"0,04",,,,,,,,,,,,,"['FR 30.233.001 CE', 'Saint-Bauzély (Gard, France)']",['Auchan'],,['Auchan'],,,,,,,,,,
746,Dark Marzipan,4770179125038,['France'],[],[],?,507,28,55,"4,9",,,,,,,,,,,,,,2121 kj(507 kcal),,,16,,,49,,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,,
747,Pailles feuilletées sucrées,3760214180253,['France'],[],[],?,493,26,61,"5,6",,,,,,,,,,,,,,2063 kj(493 kcal),,,17,,,17,,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,
748,Briochettes,34195765,['France'],[],[],?,346,13,52,"8,4",,,,,,,,,,,,,,1448 kj(346 kcal),,,3,,,13,,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,
749,Kabak cekirdegi,8697992181026,['France'],[],[],?,628,53,"6,9","2,9",,,,,,,,,,,,,,2628 kj(628 kcal),,,"1,4",,,"0,6",,,"0,59",,"0,236",,,,,,,,,,,,,,,,,,,,,,,,,,
750,Perle - Brasserie Artisanale Perle - 33cl,3760188960004,['France'],"['Eau', ""malt d'orge"", 'houblon']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,C,"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières françaises', 'Bières artisanales', 'Bières blondes']",['Déconseillé aux femmes enceintes'],,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,['Brasserie Artisanale Perle'],33 cl,['La Plante du Loup'],,"['Bouteille', 'Verre']",3,['Gluten'],,,"['Alsace', 'France']",,,
