,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,traceability_code,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,manufacturing,link,ingredients_origins,origin_detail,producer_info,palm_ingredients,brand_owner
1106,Emincés de Poulet Rôtis - Auchan - 150g (2 * 75g),3596710406937,D,,150 g (2 * 75 g),"['Barquette', 'Film', 'Plastique', 'Sous atmosphère protectrice', 'Frais']",['Auchan'],"['Viandes', 'Volailles', 'Poulets']",['Point Vert'],"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",['Auchan'],['France'],"['Cuisse de poulet 81%', 'eau', 'huile de tournesol', 'conservateur : lactate de potassium', 'sel', 'protéines de soja', 'dextrose', 'arômes naturels', 'gélifiant : carraghénanes']",['Soja'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,8.1 g,en quantité modérée,2 g,en quantité modérée,0.8 g,en faible quantité,1.71 g,en quantité élevée,722,+4%,?,,722 kj(173 kcal),+14%,"8,1",+39%,2,+33%,"1,1",-45%,"0,8",+82%,"23,5",+15%,"1,71",+100%,"0,684",+100%,5,+255%,C,+255%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,"['E326 - Lactate de potassium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,,,,,,
1107,Tortilla chips nature - Auchan - 300g,3596710408078,C,,300 g,['Sachet'],"['Auchan', 'Pouce']","['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de maïs']",,,['Auchan'],['France'],"['Farine de maïs 79%', 'huile végétale de palme', 'sel 0,9%', ' Traces éventuelles de gluten et de lait']",,"['Huile de palme', 'Végétalien', 'Végétarien']",3,20 g,en quantité modérée,9 g,en quantité élevée,1.5 g,en faible quantité,0.9 g,en quantité modérée,?,,472,-2%,1975 kj(472 kcal),-2%,20,-12%,9,+207%,"64,4",+7%,"1,5",-21%,"6,6",+3%,"0,9",-23%,"0,36",-23%,16,+65%,D,+65%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,,['Huile de palme'],
1108,"Pur Jus d'Orange, Ananas, Citron Vert - Auchan - 1l e",3596710408504,D,Jus multifruits,1 l e,"['Bouteille', 'Plastique']",['Auchan'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus multifruits']","['Point Vert', 'Fabriqué en France', 'Triman']","['EMB 26174B', 'Margès (Drôme, France)']",['Auchan'],['France'],"['Jus de fruits : orange', 'ananas', 'citron vert']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,9.5 g,en quantité élevée,0.01 g,en faible quantité,?,,45,-6%,188 kj(45 kcal),-6%,0,-100%,0,-100%,11,0%,"9,5",-9%,"0,6",+53%,"< 0,01",+9%,"0,004",+9%,4,-10%,C,-10%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,['France'],,,,,,
1109,Crème légère 12% - Auchan - 25cl,3596710409631,,,25 cl,['Bouteille'],['Auchan'],,,,['Auchan'],['France'],"['crème légère à 12% de matière grasse', 'stérilisée UHT ingrédients Crème légère de lait', 'poudre de lait écrémé', 'amidon modifié de maïs ', "" émulsifiants : mono - et diglycérides d'acides gras "", ' stabilisants : carraghénanes', 'pectines', 'cellulose', 'omme de cellulose', ' Elaboré à pattir de lait origine France']",,"[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,,,,,,,,,?,,141,,590 kj(141 kcal),,12,,"7,7",,"5,4",,"4,3",,"2,9",,"0,1",,"0,04",,,,,,,,,,,,,"['E14XX - Amidons modifiés', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E440 - Pectines', 'E460 - Cellulose']",,,,,,,
1110,Auchan Kit Pizza 600g - 600g,3596710418374,,Kit à pizza,600 g,,['Auchan'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Kits repas', 'Kits-pour-pizzas']",,,['Auchan'],['France'],"['Pâte à pizza 67% : farine de blé', 'eau', 'huile de colza', 'alcool éthylique', 'sel ', ' poudres à lever : diphosphates', 'carbonates de sodium ', ' épaississant: gomme guar', 'levure désactivée', 'levure boulangère', ' Sauce tomate 33% : purée et pulpe de tomate 92,7%*', 'huile de tournesol', 'oignon', 'sel', 'plantes aromatiques et épices ', 'basilic 0,03%*', 'origan', 'poivre blanc', ' *Pourcentage exprimé sur la sauce tomate']",['Gluten'],['Sans huile de palme'],4,5.2 g,en quantité modérée,0.5 g,en faible quantité,1.7 g,en faible quantité,1.5 g,en quantité modérée,913,,217,-0%,913 kj(217 kcal),+7%,"5,2",+7%,"0,5",-12%,34,+12%,"1,7",-17%,"4,8",-17%,"1,5",+3%,"0,6",+3%,-1,-134%,A,-134%,,,,,,,,"['E1510 - Éthanol', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E412 - Gomme de guar']",,,,,,,
1111,Salami danois fumé - Pouce - 200g,3596710418435,D,,200g,"['Frais', 'Plastique']","['Pouce', 'Auchan']","['Viandes', 'Charcuteries', 'Saucissons', 'Salamis', 'Salamis danois']",['Fumé au bois de hêtre'],"['DE NW20158 EG', 'DE NW20158 EG']",['Auchan'],['France'],"['viande de porc ', 'Origine UE', 'gras porc ', 'Origine UE', 'sel', 'sirop de glucose', 'épices ', ' antioxydants : acide ascorbique', 'érythorbate de sodium ', ' conservateur : nitrite de sodium ', ' colorant : cochenille ', ' ferments', ' \rFumé au bois de hêtre,']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,51 g,en quantité élevée,20 g,en quantité élevée,0.5 g,en faible quantité,4 g,en quantité élevée,2163,+27%,524,+36%,2163 kj(524 kcal),+34%,51,+56%,20,+54%,1,-35%,"0,5",-34%,15,-26%,4,+6%,"1,6",+6%,26,+10%,E,+10%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,"['E300 - Acide ascorbique', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique']",,,['Union européenne'],,,,
1112,Tomates cerises - Auchan,3596710419364,B,,,,['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Tomates et dérivés', 'Aliments à base de plantes frais', 'Tomates', 'Légumes frais', 'Tomates cerise', 'Tomates fraîches']",,,['Auchan'],['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,59.5%,0.0%,0.0%,17.7%,17.2%,5.6%,98,,,,,,,,
1113,Chips à l'ancienne - Auchan - 150g,3596710420865,B,,150 g,['Sachet'],['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', ""Chips à l'ancienne"", ""Chips de pommes de terre à l'huile de tournesol""]",,,['Auchan'],['France'],"['Pommes de terre 61,8 % ', 'origine France', 'huile de tournesol 37%', 'sel']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,37.5 g,en quantité élevée,3.6 g,en quantité modérée,0.4 g,en faible quantité,1.2 g,en quantité modérée,?,,565,+1%,2364 kj(565 kcal),+1%,"37,5",+1%,"3,6",+9%,49,-0%,"0,4",-43%,"5,5",-3%,"1,2",-9%,"0,48",-9%,11,-5%,D,-5%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,,,,,
1114,Compote pomme framboise sans sucres ajoutés - Auchan - 400g,3596710422098,B,,400 g,,['Auchan'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes framboise']",['Sans sucre ajouté'],,['Auchan'],['France'],"['purée de pommes ', '84,4 %', 'purée de framboises à base de concentré ', '15%', 'jus concentré de carotte  pourpre', 'antioxydant : acide ascorbique', 'arôme naturel', 'acidifiant : acide citrique']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0.5 g,en faible quantité,0.2 g,en faible quantité,11 g,en quantité modérée,0.01 g,en faible quantité,?,,58,-12%,243 kj(58 kcal),-13%,"0,5",+34%,"0,2",+56%,12,-15%,11,-12%,"0,5",+13%,"< 0,01",+95%,"0,004",+95%,-3,,A,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,"['E300 - Acide ascorbique', 'E330 - Acide citrique']",,,,,,,
1115,Fruits pressés citron avec pulpe - Auchan,3596710428670,C,,,,['Auchan'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Boissons avec sucre ajouté']","['Nutriscore', 'Nutriscore E']",,['Auchan'],['France'],"['Eau', 'jus de citron ', '30%', 'sucre', 'pulpe de citron ', '8%']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.5 g,en faible quantité,0.1 g,en faible quantité,8.3 g,en quantité élevée,0.03 g,en faible quantité,?,,36,-58%,151 kj(36 kcal),-59%,"0,5",+33%,"0,1",-40%,"8,5",-57%,"8,3",-55%,"0,5",-7%,"0,03",-20%,"0,012",-20%,12,+1%,E,+1%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,,,,,,,
1116,Thé vert aromatisé à la menthe - Auchan - 32g,3596710429752,A,Thé vert aromatisé à la menthe,32 g,"['Carton', 'Papier']",['Auchan'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Infusions', 'Thés à la menthe', 'Thés verts à la menthe', 'Boissons sans sucre ajouté']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['Auchan'],['France'],"['Thé vert biologique : 51%', 'menthe poivrée biologique : 30%', 'menthe verte biologique : 13%', 'arôme : 6%']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,,,,,,,,,?,,4,+33%,17 kj(4 kcal),+55%,0,-100%,0,,0,-100%,0,-100%,0,-100%,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,
1117,Soupe de poissons - Auchan - 1kg,3596710432165,E,Soupe de poissons,1 kg,"['Bouteille', 'Plastique', 'Réfrigéré']",['Auchan'],"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",['Point Vert'],"['FR 85.164.001 CE', 'Notre-Dame-de-Monts (Vendée, France)']",['Auchan'],['France'],"['Eau', 'divers poissons 25%', 'concentré de tomates', 'carottes', 'oignons', 'vin blanc', 'amidon transformé de pomme de terre', 'poireaux', 'sel', 'céleri', 'persil', 'ail', 'huile de tournesol', 'épices et herbes aromatiques']","['Céleri', 'Poisson']",[],4,0.7 g,en faible quantité,0.1 g,en faible quantité,1 g,en faible quantité,0.86 g,en quantité modérée,?,,29,-40%,121 kj(29 kcal),-39%,"0,7",-63%,"0,1",-78%,"2,5",+37%,1,+54%,3,-42%,"0,86",-3%,"0,344",-3%,2,+129%,B,+129%,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,['E14XX - Amidons modifiés'],,,,,,,
1118,Pizza divina 4 formaggi - Auchan - 340g,3596710433483,C,"pizza à base d'edam, mozzarella, emmental et fromage bleu, surgelée",340g,['Surgelé'],['Auchan'],"['Surgelés', 'Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas au fromage', 'Pizzas et tartes surgelées', 'Pizzas aux quatre fromages', 'Pizzas surgelées']",,"['EMB 69194C', ""Saint-Didier-au-Mont-d'Or (Rhône, France)""]",['Auchan'],['France'],"['Garniture 59% : purée de tomates', 'edam ', 'contient lait', ' 11%', 'mozzarella ', 'contient lait', ' 11%', 'crème fraîche ', 'contient lait', 'emmental ', 'contient lait', ' 4,4%', 'crème ', 'contient lait', 'huile végétale de  colza', 'fromage bleu ', 'contient lait', ' 0,8%', 'eau', 'sucre', 'amidons', 'plantes aromatiques', 'farine de blé ', 'contient gluten', 'amidon de blé ', 'contient gluten', 'épices', 'sel', 'ail', '  Pâte 41% : farine de blé ', 'contient gluten', 'eau', 'huile végétale de colza', 'levure', 'sel', 'sucre']","['Gluten', 'Lait']",['Non végétalien'],3,15 g,en quantité modérée,6.1 g,en quantité élevée,3.4 g,en faible quantité,1.2 g,en quantité modérée,1117,+6%,267,+6%,1117 kj(267 kcal),+6%,15,+44%,"6,1",+9%,22,-18%,"3,4",+21%,11,-5%,"1,2",-6%,"0,48",-6%,14,+20%,D,+20%,73.6%,9.9%,3.3%,4.1%,1.9%,7.1%,56,,,,,,,,
