,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,traceability_code,quantity,markets,packaging,brand_owner,generic_name,ingredients_origins,manufacturing,link,palm_ingredients,producer_info,origin_detail
1763,Confiture We Bio Fraise - Valade,3174061050308,D,['Valade'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",['France'],"['Fraises* 55% ', 'sucre de canne*', 'jus de citron concentré*', 'gélifiant: pectine de fruits', ""correcteur d'acidité: citrate de calcium"", "" *ingrédients issus de l'agriculture biologique"", ' Préparée avec 55g de fruits pour 100g de produit fini', ' Teneur totale en sucres : 48g pour 100g']","['E440 - Pectines', 'E333 - Citrates de calcium']",,[],4,0.5 g,en faible quantité,0.1 g,en faible quantité,45.5 g,en quantité élevée,0.05 g,en faible quantité,?,,198,-9%,828 kj(198 kcal),-9%,"0,5",+107%,"0,1",+122%,48,-10%,"45,5",-10%,"0,5",+13%,"0,05",+120%,"0,02",+120%,11,+26%,D,+26%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,['Bio'],,,,,,,,,,,,
1764,Suisse chocolat - Auchan,2090000175295,,['Auchan'],,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,,,,,
1765,Cuisse de poulet rôti - Le Gaulois,0217637040280,D,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",['France'],[],,,[],,23 g,en quantité élevée,6.5 g,en quantité élevée,0 g,en faible quantité,2.5 g,en quantité élevée,?,,368,+93%,1540 kj(368 kcal),+92%,23,+85%,"6,5",+94%,0,-100%,0,-100%,39,+112%,"2,5",+229%,1,+229%,20,+467%,E,+467%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,
1766,Côte-du-Rhône,3391186110056,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767,Funny bears jelly gum,8690146658313,,,,['France'],[],,,[],,,,,,,,,,?,,356,,1490 kj(356 kcal),,0,,0,,83,,50,,"5,9",,"0,03",,"0,012",,,,,,,,,,,,,['Halal'],,,,,,,,,,,,
1768,Aiguillettes de poulet corn flak es,2098053018569,D,,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,
1769,Domaine De Joy Saint Andre Igp 2014 Cotes De Gascogne Wine,3760174330637,C,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Côtes de Gascogne']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,['France'],,,,,
1770,Lakkahillo - Dronningholm,6412000016693,D,['Dronningholm'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de plaquebières']","['Finlande', 'France']","['Sokeri', 'lakka', 'vesi', 'sakeuttamisaine ', 'E 440', 'happamuudensäätöaine ', 'E 330', 'säilöntäaine ', 'E 202']","['E440 - Pectines', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.2 g,en faible quantité,0 g,en faible quantité,41 g,en quantité élevée,0 g,en faible quantité,?,,180,-18%,753 kj(180 kcal),-19%,"0,2",-22%,0,-100%,41,-23%,41,-20%,"0,5",-2%,0,-100%,0,-100%,6,-33%,C,-33%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,
1771,Pâtes penne rigate de lentilles rouges - AH - 250g,8718906497078,,['AH'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Produits sans gluten', 'Pâtes alimentaires sans gluten', 'Pâtes de lentille', 'Penne', 'Penne rigate']",['France'],[],,,[],,1.5 g,en faible quantité,0.4 g,en faible quantité,1 g,en faible quantité,0 g,en faible quantité,?,,335,-1%,1402 kj(335 kcal),-2%,"1,5",-13%,"0,4",+8%,52,-2%,1,-37%,25,+5%,0,-100%,0,-100%,-1,,A,,,,,,,,,['en:gluten-free'],,250 g,,,,,,,,,,
1772,"Tomates séchées au soleil à l'huile - bio-verde - 4,75kg",4000915103007,E,['Bio-verde'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Produits déshydratés', 'Tomates et dérivés', 'Aliments à base de plantes séchées', 'Légumes séchés', 'Tomate séchée', ""Tomate séchée à l'huile""]",['France'],"['Tomates séchées* ', '63%', 'huile de tournesol désodorisée*', ""huile d'olive*"", 'sel marin', ""vinaigre d'alcool*"", 'basilic* ', '1%', ""origan** = issu de l'agriculture biologique""]",,,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,34.1%,59.8%,3.6%,1.3%,1.0%,0.2%,13,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'DE-ÖKO-007']",,"4,75 kg",['Biocoop'],['Bocal'],,,,,,,,
1773,Thon Albacore - Waitrose,5000169328644,D,['Waitrose'],"['Produits de la mer', 'Poissons', 'Thons', 'Thons tropicaux', 'Thons albacore']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,"['Pêche durable', 'Pêche durable MSC']",,,,,,,,,,,,
1774,Crêpes de froment jambon emental - Auchan,3254568693656,,['Auchan'],,['France'],[],,,[],,,,,,,,,,?,,196,,820 kj(196 kcal),,"8,8",,"3,5",,20,,"3,1",,"8,6",,"1,3",,"0,52",,,,,,,,,,,,,,,,['Auchan'],,,,,,,,,
1775,Irish yogurt,25205237,,,,['France'],[],,,[],,,,,,,,,,?,,64,,268 kj(64 kcal),,"1,8",,"1,1",,"6,9",,"6,7",,"4,8",,"0,19",,"0,076",,,,,,,,,,,,,,,,,,,,,,,,,
1776,Linguine - Grand' Mère - 250g,3065620011291,C,"[""Grand' Mère""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Pâtes de blé dur', ""Pâtes de blé dur à l'œuf"", 'Linguine']",['France'],"['Semoule de blé dur de qualité supérieure', 'oeufs frais ', '30 %', ' soit 320g par kg de semoule']",,['Œufs'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",1,5 g,en quantité modérée,1.3 g,en faible quantité,2.6 g,en faible quantité,0.12 g,en faible quantité,?,,367,+14%,1536 kj(367 kcal),+15%,5,+26%,"1,3",+2%,64,+13%,"2,6",+7%,15,+19%,"0,12",-57%,"0,048",-57%,0,,B,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,250 g,,,,,,,,,,
1777,Lentilles aux saucisses,3272931005691,C,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de lentilles', 'Saucisses aux lentilles']",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,64.9%,20.7%,7.0%,3.9%,2.1%,1.5%,59,,,,,,,,,,,,,
1778,Raviioli pékinois,5999885543465,,,,['France'],[],,,[],,,,,,,,,,?,,221,,925 kj(221 kcal),,"9,73",,"3,79",,"25,34",,"2,17",,"6,58",,"0,41",,"0,164",,,,,,,,,,,,,,,,,,,,,,,,,
1779,Tomates  confites,3770006741012,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Sans colorants'],,,,,,,,,,,,
1780,ginkgo + rutine - uni phyto - 60gel,3701146300012,,['uni phyto'],['Complètement alimentaire'],['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Fabriqué en France'],['?'],60 gel,,['Boite'],,,['France'],['France'],,,,
1781,Cashewpasta - Terra Sana,8713576100235,,['Terra Sana'],,['France'],[],,,[],,,,,,,,,,?,,591,,2473 kj(591 kcal),,"46,5",,"9,5",,"22,5",,0,,"18,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1782,Omelette norvégienne - Leaderprice,3263858563210,,['Leaderprice'],,['France'],[],,,[],,,,,,,,,,?,,205,,858 kj(205 kcal),,"3,9",,"2,5",,36,,"31,2",,"2,9",,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,,,,,
1783,Pastille sans sucre citron,,,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784,Esparrecs - Bonpreu,8422410627363,,['Bonpreu'],,['France'],[],,,[],,,,,,,,,,?,,24,,100 kj(24 kcal),,"0,5",,0,,"2,8",,"1,3",,"1,4",,"0,78",,"0,312",,,,,,,,,,,,,,,,,,,,,,,,,
1785,Le boeuf Bavette d'Aloyau,2409030050715,,,"['Viandes', 'Bœuf', ""Bavette d'aloyau de boeuf""]",['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'Viande Française', 'AB Agriculture Biologique', 'FR-BIO-10', 'Viande-bovine-francaise']",,,,,,,,,,,,
