,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,additives,palm_ingredients,allergens,nova_score,categories,labels,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,quantity,packaging,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,ingredients_origins,markets,link,traceability_code,brand_owner
1088,Bouillon de poule vermicelles - Knorr - 63g,8712100635236,['France'],"['vermicelle 70% ', 'semoule de blé dur', 'semoule de blé tendre', 'sel', 'fécule de pomme de terre', 'arômes', 'sucre', 'graisse de poule ', 'antioxydant ', 'extrait de romarin', 'légumes 1,1% ', 'oignon', 'carotte', 'céleri', 'protéines végétales hydrolysées', 'chlorure de potassium', 'extrait de levure', 'épice et aromate ', 'feuille de céleri', 'curcuma', 'viande de poule 0,2%', ""jus d'oignon concentré"", 'huile de tournesol']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",88,?,88 kj(21 kcal),"< 0,5","< 0,1","4,1","< 0,5","0,6","0,7","0,28","['Knorr', 'Unilever']",['E392 - Extrait de romarin'],,"['Céleri', 'Gluten']",4,"['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons déshydratés', 'Bouillons en poudre']",,-89%,,-85%,-82%,-89%,-82%,-92%,-84%,-97%,-97%,,,,,,,,,,,,,Bouillon de poule deshydraté,63 g,"['Plastique', 'Sachet']",,,,,,,,,,,,http://www.knorr.fr/produits/details/430171/poule-aux-vermicelles,,
1089,Bouillon de tomates vermicelles - Knorr,8712100635366,['France'],"['légumes : 54% ', 'pomme de terre ', 'antioxydant : E 320', 'carotte', 'petit pois', 'tomate', 'oignon', 'poireau', 'haricot vert', 'fécule de pomme de terre', 'sel', 'graisse de palme', 'protéines végétales hydrolysées', 'chlorure de potassium', 'lactose ', 'LAIT', 'extrait de levure', 'protéines de LAIT', 'épices et aromates ', 'ail', 'curcuma', 'poivre', 'persil', ' Peut contenir : blé', 'céleri', 'moutarde', 'œuf']","['Huile de palme', 'Non végétalien', 'Végétarien']",?,21,88 kj(21 kcal),"0,5","0,1","4,3","1,2","0,6","0,7","0,28",['Knorr'],['E320 - Butylhydroxyanisol'],['Huile de palme'],['Lait'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,Glace Satisfy my bowl - Ben & Jerry's,8712100637391,['France'],"['nyéd:ents : CREME ', '23%', 'eau', 'sucre', 'LAIT ancen{rét', ' strop de glucose', 'purée de banane sirop de dŒUFl', 'sucre hutte de coco', 'huile de SOJA', 'matière grasse du LAJTi LAIT écrémé concentré sucrée amidon de maïs', 'cacao maçre en poudre', 'farine de BLE', 'farine de BLÉ com*tet jus de citron à baseffejus concentré', 'huile de crJzah stabilisants ', 'carraghénanes', 'àòmme guar', 'sel', 'èrrdsifiant ', 'lécithine de SOJA', 'mélasse', 'poudre à lever ', 'zonaie acideUe sodium', 'miel', 'arôme naturel', 'extrait de Ingrédients conformes aux standards du équitable : sucre ', ""à l'exception du sucre 2 Glace"", 'banane', 'miel et vanille ', ""22% du poids 'œufs de poules élevées eun plein air"", '•']",['Non végétalien'],?,274,1146 kj(274 kcal),14,"8,8",33,28,"3,2","0,25","0,1","[""Ben & Jerry's""]","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine']",,"['Gluten', 'Lait', 'Soja']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,PROACTIV EXPERT - FRUIT D'OR - 450g,8712100638879,['France'],[],[],?,?,,?,,?,,?,,,"[""FRUIT D'OR""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450g,,,,,,,,,,,,,,,
1092,Marmites de bouillon poule x2 - Knorr,8712100648090,['France'],"['bouillon de poule : 59E viande de poule : th', 'sel', 'graisse de de levure', 'légumes : % ', 'carotte', 'poirau', 'poule', 'arômes ', 'dont ORGE', 'épice et ', 'ai', ' : sil : 0,4+0', 'poi,rre', 'épaississònts: et de graines de caroube', 'caramel', 'colorant : caroténoïdes', ' 2x28g=56ge *clation Consomma:cuys 09 69 32 00 SO ', 'ame/ nar']","['Non végétalien', 'Non végétarien']",?,410,1715 kj(410 kcal),8,"4,5","4,5","3,5","2,5",21,"8,4",['Knorr'],['E160 - Caroténoïdes'],,['Gluten'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,Marmite de Bouillon Bœuf - Knorr - 2 * 28g (56g),8712100648113,"['France', 'Suisse']","['Bouillon de bœuf concentré 61 % ', 'eau', 'extrait de viande de bœuf 1,7 %', 'sel', 'graisse de bœuf', 'légumes 2,3 % ', 'carotte', 'poireau', 'extrait de levure', 'sucre', 'arômes ', 'dont LAIT', 'graisse de palme', 'épaississants : gomme xanthane et farine de graines de caroube', 'caramel', 'persil 0,4 %', 'maltodextrine']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,93,389 kj(93 kcal),7,"3,5",4,"2,8","2,9","21,4","8,56",['Knorr'],"['E415 - Gomme xanthane', 'E410 - Gomme de caroube']",['Huile de palme'],['Lait'],4,"['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons de bœuf', 'Marmites de bouillon']","['Sans exhausteur de goût', 'Sans colorants artificiels', 'Sans conservateurs']",,+33%,+6%,+74%,+72%,-60%,-16%,+4%,+75%,+75%,0.5 g,en faible quantité,0.2 g,en faible quantité,0.5 g,en faible quantité,1.2 g,en quantité modérée,5,-53%,C,-53%,Bouillon de bœuf,2 * 28 g (56 g),['Carton'],,,,,,,,,,,['Noz'],,,
1094,Marmites bouillon légumes x2 - Knorr,8712100648298,['France'],[],[],?,120,502 kj(120 kcal),9,5,6,5,"2,5","20,7","8,28",['Knorr'],,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Bouillons', 'Bouillons de légumes']",,,-8%,-10%,+64%,+109%,-62%,-1%,-28%,+5%,+5%,9 g,en quantité modérée,5 g,en quantité modérée,5 g,en quantité modérée,20.7 g,en quantité élevée,15,+141%,D,+141%,,,,,,,,,,,,,,,,,
1095,Unox Leverpastei - 56g,8712100671227,['France'],[],[],?,?,,?,,?,,?,,,['Unox'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56 g,['Dose'],,,,,,,,,,,,,,
1096,Noodles haricots au lard - Amino - 63g,8712100679216,['France'],"['Pâtes 83% ', 'farine de blé', 'graisse de palme', 'amidon modifié', 'sel', 'huile de colza', 'agents antioxydants : E306', 'E304', 'assaisonnement 17% : sel', 'amidon', 'maltodextrine', 'haricots blancs 6', '7%', 'exhausteur de goût : glutamate monosodique', 'inosinate disodique', 'E627', 'carottes 4', '2%', 'graisse de palme', 'marjolaine 2', '1%', 'sucre', 'ail 1', '7%', 'poitrine de porc 1', '3% ', 'poitrine de porc', 'sel', 'feuilles de laurier', 'curcuma', 'lactose', 'arômes', 'carvi', 'protéines de lait', 'extrait de levure', 'persil tubéreux', 'arôme de fumée']","['Huile de palme', 'Non végétalien', 'Non végétarien']",255,?,255 kj(61 kcal),"2,7","1,3","8,9","< 0,5","1,2","1,1","0,44","['Amino', 'Unilever']","['E14XX - Amidons modifiés', 'E306 - Extrait riche en tocophérols', 'E304 - Acide palmityle-6-L-ascorbique', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E631 - Inosinate disodique', 'E627 - Guanylate disodique']","['Huile de palme', ""E304 - Palmitate d'ascorbyle""]","['Gluten', 'Lait']",4,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées']",,-79%,,-80%,-77%,-75%,-78%,-79%,-81%,-58%,-58%,,,,,,,,,,,,,Nouilles instantanées aux haricots et au lard,63g,"['Sachet', 'Plastique']",,,,,,,,,,,['Noz'],http://www.amino.pl/produkty/fasolowa-z-boczkiem,,
1097,Magnum Pink Himbeere,8712100680007,['France'],[],[],?,321,1343 kj(321 kcal),?,16,?,28,"2,9","0,09","0,036",['Magnum'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,Magnum Black Espresso,8712100681097,['France'],[],[],?,289,1209 kj(289 kcal),19,13,27,23,"3,4","0,1","0,04",['Magnum'],,,,,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,Purée de patate - Knorr - 345g,8712100688843,['France'],[],[],?,363,1519 kj(363 kcal),"6,6","3,8",59,"5,7","9,6","3,3","1,32",['Knorr'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345g,,,,,,,,,,,,,,,
1100,Pot de Crème façon Tarte Tatin - Alsa - 2 * 400g (800g),8712100693601,['France'],"['Sucre', 'caramel 9,5%', 'biscuit 7% ', 'farine de blé', 'sucre', 'huiles végétales ', 'palme', 'colza', 'tournesol', 'farine de soja', 'caramel', 'poudre à lever ', 'carbonates de sodium', 'sel', 'cannelle', 'pomme 4%', 'amidon modifié de maïs', 'beurre de cacao', 'gélifiant ', 'carraghénanes', 'maltodextrine', 'fécule de pomme de terre', 'arômes', 'colorant ', 'caramel ordinaire']",['Huile de palme'],1668,?,1668 kj(399 kcal),"2,2",1,95,87,"< 0,5","0,12","0,048","['Alsa', 'Unilever Food Solutions']","['E500 - Carbonates de sodium', 'E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E150a - Caramel E150a']",['Huile de palme'],"['Gluten', 'Soja']",4,"['Aides culinaires', 'Produits déshydratés', 'Préparations pour desserts', 'Produits lyophilisés à reconstituer']",,+10%,,+21%,-67%,-65%,+68%,+187%,-90%,-71%,-71%,,,,,,,,,,,,,Préparation pour pot de crème façon tarte tatin,2 * 400 g (800 g),"['Carton', 'Sachet', 'Plastique']",,,,,,,,,,,,,,
