,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,additives,palm_ingredients,allergens,nova_score,categories,labels,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,quantity,packaging,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,ingredients_origins,markets,link,traceability_code,brand_owner
0,Oneo,8690840216147,['France'],[],[],?,177,741 kj(177 kcal),1,1,74,1,"0,01",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Yupo candy filled stick,8690840226467,['France'],[],[],?,349,1460 kj(349 kcal),"1,35","1,35","81,5","55,9",2,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Oneo Chewing-Gum Arome Pastèque,8690840227952,['France'],[],[],?,158,661 kj(158 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lentille rouges,8690849820147,['France'],[],[],?,319,1335 kj(319 kcal),1,"0,26","40,1","4,5","26,4","0,002","0,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Basak, Ris Mel",8690906000079,['France'],"['ICE FLOUR / REISMEHL STMEEL / FARINE DE RIZ RIS MEL Basak Tüketim ve Gida A', 'S', ' ran Mhn S', 'Mahmut Hayrani C', ' N:34 42550-Ak', 'ehir-TÜRKlYE Tel : ', '332', ' 812 75 OO ', '5 line', ' Fax : ', '332', ' 813 13 88 Basak Tüketim ve Gida GmbH', ' Marktstr', ' 10 Grossmarkt 50968 Kôln / DEUTSCHLAND Tel : 0049 - 221 - 3762198 Fax : 0049 - 221 - 3404246 www', 'basakgida', 'com', 'tr No: TR-42-K-000109 avsiye Edilen Tüketim Tarihi est before end- lindestens haltbar bis Ende consommer de préférence avant fin en minste houdbaar tot einde lindst holdbar til og med arti']",[],?,358,1498 kj(358 kcal),"1,5",0,80,0,6,0,0,['Basak'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Salep,8690906000635,['France'],[],[],?,111,464 kj(111 kcal),"3,3","1,9","16,5",12,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Basak Strawberry Pudding,8690906000833,['France'],[],[],?,109,456 kj(109 kcal),"2,8","1,5","18,1","13,3","2,8",,,['Basak'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Basak Schokoladenpudding - Başak,8690906000949,['France'],"['Sucre', 'sirop de glucose', 'huile de palme', 'émulsifiant ', ""mono-et diglycérides d'acides gras"", 'amidon de pomme de terre modifié', 'protéines du lait', 'stabilisateur ', 'phosphates de potassium', 'épaississant ', 'gomme guar', 'arôme ', 'vanilline']","['Huile de palme', 'Non végétalien']",?,180,753 kj(180 kcal),"8,1",4,"23,5",16,"3,2",0,0,['Başak'],"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E340 - Orthophosphates de potassium', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar']",['Huile de palme'],['Lait'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Basak Hühnersuppe Mit Nudeln,8690906006026,['France'],"['farine de blé', 'sel de cuisine', 'exhausteur de goût ', 'glutamate monosodique', 'huile de végétale en poudre ', 'huile de palme', 'sirop de glucose', 'protéines du lait', 'poulet ', '1 ,9%', 'oignons en poudre', 'arôme', 'oignon', ""correcteur d'acidité "", 'acide citrique', 'persil', 'curcuma', ' Peut contenir des traces de céleri', 'noisette', 'amandes', ' INGREDIENTS: Noodle ', 'Wheat semoiina', ' ', '52,5%', 'Wheat E flour', 'table salt', 'flavour enhancer ', 'monosodiumglutamate', 'É fat powder ', 'palm cil', 'glucose syrup,milk protein', 'chicken El ', '1 onion powder,flavouring ', 'onion', 'acidity regulator 11 ', 'citric acid', 'parsley', 'turmeric', ' May contain traces of celery', 'hazelnut', 'almonds', ' INGREDIÉNTEN: Vermicelli ', 'griesmeel', ' ', '52,5%', 'tarwebloem', 'En tafel zout', 'aroma versterker ', 'natriumglutamaat', 'oliepoeder a ', 'palmolie', 'glucosestroop', 'melkelwit', 'kippenvlees ', '1,9%', 'uienpoeder', 'aroma ', 'uien', 'zuurteregelaar ', 'citroenzuur', 'dl peterselie', 'curcuma', ' Kan sporen van selderij', 'hazelnoot', 'amandelen bevatten', ' û INGREDIENSER: Smà pasta hvede mel', 'carl bordsalt', 'smagsforsterker ', 'monosodium glutamat', 'Olie Pulver ', 'palme Olie', 'glicosesirup', 'melkeproteln', 'kylling ', '1,9%', 'lags pulver', 'aroma ', 'log', 'syre regulator ', ""sitrik 1 Prot'""]","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,21,88 kj(21 kcal),"0,4","0,16","3,66","0,3","0,64","0,6","0,24",['Basak'],"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",['Huile de palme'],"['Gluten', 'Lait']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Basak, Brocoli Suppe m / Kreme",8690906006149,['France'],[],[],?,19,79 kj(19 kcal),"0,3","0,1","3,6","0,6","0,5","0,7","0,28",['Basak'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Chorba marocaine - Basak,8690906555418,['France'],"['Vermicelles ', 'semoule de blé', '35%', 'amidon de maiS', 'poudre de tomate', 'farine de blé', 'sel', 'poudre de oignon', 'maltodextrine', 'exhauster de goût ', 'monosodium de glutamate', 'sucre', 'poudre de huile ', 'huile de palme', 'sirop de glucose protéines du lait', 'persil', 'arome', 'coriandrum', 'poudre de piment rouge piquant', 'poivre blanc', 'curcuma', 'thym']",['Huile de palme'],?,36,151 kj(36 kcal),"0,4",0,"7,5","1,25","0,75","0,5","0,2",['Basak'],"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition']",['Huile de palme'],['Gluten'],4,"['Plats préparés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Soupes', 'Plats préparés déshydratés', 'Soupes déshydratées', 'Chorba']","['Halal', 'Sans conservateurs']",,-79%,-78%,-83%,-100%,-68%,-78%,-86%,-80%,-80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Barre au sésame,8690949030576,['France'],[],"['Végétalien', 'Végétarien']",?,520,2176 kj(520 kcal),"32,5","4,5","45,1",33,"12,5","0,01","0,004",,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Graine de courge,8690985106136,['France'],[],[],?,503,2105 kj(503 kcal),"31,9","12,9",0,0,"35,9",4,"1,6",,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Produits de la plante de courge', 'Graines de courge et dérivés', 'Graines de courge']",,,-11%,-11%,-28%,+70%,-100%,-100%,+20%,+652%,+652%,31.9 g,en quantité élevée,12.9 g,en quantité élevée,0 g,en faible quantité,4 g,en quantité élevée,26,+145%,E,+145%,,,,,,,,,,,,,,,,,
13,Farbige kichererbsen,8690985174135,['France'],[],[],?,378,1582 kj(378 kcal),"3,1","3,1",78,78,"9,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Loukoums - Malatya Pazari - 400g,8690985828403,['France'],"['Sucre', 'sirop de maïs', 'amidon de mais', 'arôme ', 'grenadine', 'colorant ', 'carmine', ""régulateur d'acidité "", 'acide citrique']","['Non végétalien', 'Non végétarien']",1246,?,1246 kj(298 kcal),"0,1",0,78,0,"0,1",,,['Malatya Pazari'],"['E120 - Acide carminique', 'E330 - Acide citrique']",,,4,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Loukoums']",,,,-16%,-95%,-100%,-5%,-100%,-90%,,,0.1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,,,,,Loukoums à la Grenadine,400 g,"['Carton', 'boîte', 'Plastique']",,,,,,,,,,,,,,
15,Sour Belts,8690997020000,['France'],[],[],?,370,1548 kj(370 kcal),"2,37","1,21","84,8","53,81","2,44","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Bonbons mous avec poudre - Tayas,8690997156525,['France'],[],[],?,422,1766 kj(422 kcal),"5,92","5,82","90,8",66,"1,34",,,['Tayas'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Frutty,8690997162748,['France'],[],[],?,412,1724 kj(412 kcal),"6,42",6,87,"67,42","1,34","0,3","0,12",,,,,,,['Halal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Little bites big flavours,8690997180094,['France'],[],[],?,519,2171 kj(519 kcal),"27,3","23,63","65,44","39,2","3,1","0,67","0,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Little Bites Big Flavours,8690997180100,['France'],[],[],?,519,2171 kj(519 kcal),"27,3","23,63","65,44","39,2","3,1","0,67","0,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Kemal Kukrer Lemon Dressing (1LT),8691011100517,['France'],[],[],?,22,92 kj(22 kcal),"0,1","0,1",53,"1,4","0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Didi,8691020683186,['France'],[],[],?,34,142 kj(34 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Limonata - Sirma,8691058143614,['France'],"['water', 'sugar', 'lemon juice concentrate', 'acidity regulator ', 'trisodium citrate', 'citric acid', 'natural lemon flavorant', 'natural flavorants', 'preservative ', 'potassium sorbate', 'sodium benzoate', 'stabilizer ', 'gum arabic', 'glycerol esters of wood resin', 'antioxidant ', 'ascorbic acid', 'coloring agent ', 'safflower flower extract', 'beta-carotene', ',']","[""Pourrait contenir de l'huile de palme""]",?,498,2084 kj(498 kcal),0,0,7,"6,9",0,0,0,['Sirma'],"['E331iii - Citrate trisodique', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', ""E414 - Gomme d'acacia"", 'E300 - Acide ascorbique', 'E160ai - Bêta-carotène']",,,4,"['Boissons', 'Boissons gazeuses', 'Sodas', 'Limonades']",,,+1506%,+1554%,-100%,-100%,-6%,-5%,-100%,-100%,-100%,0 g,en faible quantité,0 g,en faible quantité,6.9 g,en quantité élevée,0 g,en faible quantité,15,+47%,E,+47%,,,,,,,,,,,,,,,,,
23,Gazoz,8691058146004,['France'],[],[],?,48,201 kj(48 kcal),0,0,"11,8","11,8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Sirma gazoz ginger,8691058146301,['France'],[],[],?,46,192 kj(46 kcal),0,0,"11,3","11,3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Lemon Turkish Delight - Loukoums - Koska - 200g,8691070612044,['France'],"['Sucre', 'sirop de glucose', 'amidon de maïs', 'régulateur d’acides ', 'E330', 'arôme ', 'citron', 'colorant ', 'E102']",[],?,370,1548 kj(370 kcal),"0,14",0,"92,22","92,22","0,11",0,0,['Koska'],"['E330 - Acide citrique', 'E102 - Tartrazine']",,,4,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Loukoums']",,,+5%,+5%,-93%,-100%,+13%,+47%,-89%,-100%,-100%,0.14 g,en faible quantité,0 g,en faible quantité,92.2 g,en quantité élevée,0 g,en faible quantité,14,+4%,D,+4%,Loukoums au citron,200 g,"['Carton', 'boîte', 'Plastique']",,,,,,,,,,,,,,
26,Haribo Worms Fizz,8691216017436,['France'],[],[],?,362,1515 kj(362 kcal),"0,5","0,1",84,54,6,"0,03","0,012",['Haribo'],,,,,,['Halal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Haribo Berries,8691216017481,['France'],[],[],?,364,1523 kj(364 kcal),"0,5","0,1",89,75,"2,5","0,08","0,032",['Haribo'],,,,,,['Halal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Goldbears - Haribo,8691216020610,['France'],[],[],?,336,1406 kj(336 kcal),"0,1","0,1","75,2","47,3","7,1","0,05","0,02",['Haribo'],,,,,,['Halal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Haribo Halal Peaches - 80g,8691216025721,['France'],[],[],?,337,1410 kj(337 kcal),"0,1","0,1","64,7","64,7","5,7","0,01","0,004",['Haribo'],,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés']",['Halal'],,-2%,-2%,-75%,-40%,-20%,+12%,+55%,-91%,-91%,0.1 g,en faible quantité,0.1 g,en faible quantité,64.7 g,en quantité élevée,0.01 g,en faible quantité,14,-1%,D,-1%,,80 g,"['Sachet', 'Plastique']",E,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,
30,Tropifruti - Haribo,8691216081741,['France'],[],[],?,338,1414 kj(338 kcal),"0,5","0,1",78,60,"5,2","0,01","0,004",['Haribo'],,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés']",['Halal'],,-2%,-2%,+25%,-40%,-3%,+4%,+41%,-91%,-91%,0.5 g,en faible quantité,0.1 g,en faible quantité,60 g,en quantité élevée,0.01 g,en faible quantité,14,-1%,D,-1%,,,,E,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,
31,Starmix,8691216081789,['France'],[],[],?,355,1485 kj(355 kcal),"0,5","0,1",83,53,"5,7","0,02","0,008",,,,,,,['Halal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Hazer Baba Turkish Pomegranate Tea,8691230251472,['France'],[],[],?,376,1573 kj(376 kcal),0,0,"95,5","77,6",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Lockum,8691230262508,['France'],[],[],?,361,1510 kj(361 kcal),"4,6",3,"77,9","63,3","1,9","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Honey Cinnamon tea,8691230300439,['France'],[],[],?,376,1573 kj(376 kcal),0,0,"95,5","77,6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Turkish delight,8691230350151,['France'],[],[],?,389,1628 kj(389 kcal),"1,7","1,1","88,5",72,"1,6","0,1","0,04",,,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Loukoums']",,,+10%,+10%,-14%,+121%,+8%,+14%,+66%,-50%,-50%,1.7 g,en faible quantité,1.1 g,en faible quantité,72 g,en quantité élevée,0.1 g,en faible quantité,15,+12%,D,+12%,,,,,,,,,,,,,,,,,
36,Pain spécial libanais,8691234567890,['France'],[],[],?,3,13 kj(3 kcal),0,0,1,1,"0,5",,,,,,,,,['Sans colorants'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Orkide,8691313010248,['France'],[],[],?,900,3766 kj(900 kcal),100,11,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Ketçap,8691375481109,['France'],[],[],?,98,410 kj(98 kcal),0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Mayonez,8691375481802,['France'],[],[],?,516,2159 kj(516 kcal),55,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Ulker Bizim Lezzet Tuzu / Seasonings - 500 GR,8691375642951,['France'],[],[],?,822,3439 kj(822 kcal),"16,6","4,3",4,2,"8,2",12,"4,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Köfte Harci,8691375642999,['France'],[],[],?,323,1351 kj(323 kcal),"2,4","0,5",64,"3,1","9,6",13,"5,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Poivron rouge rôti,8691422701150,['France'],[],[],?,42,176 kj(42 kcal),"0,9",0,9,3,"0,5","1,4","0,56",,,,,,,['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Duru Pilavl?k Bulgur,8691440105008,['France'],['Boulgour Gros De Blé'],[],?,347,1452 kj(347 kcal),"1,7","0,34","64,4","2,78",11,"0,06","0,024",['Duru'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Boulghour - Duru - 1kg,8691440301004,['France'],['Boulghour extra fin de blé dur'],[],1473,?,1473 kj(352 kcal),"1,7","0,34","69,4","2,78",11,"0,06","0,024",['Duru'],,,['Gluten'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Gruau', 'Gruau de blé', 'Blés', 'Boulghours']",,+12%,,+15%,-43%,-30%,+28%,+46%,+5%,-75%,-75%,1.7 g,en faible quantité,0.34 g,en faible quantité,2.78 g,en faible quantité,0.06 g,en faible quantité,-6,,A,,Boulghour,1 kg,"['Plastique', 'Sac']",B,68.4%,0.0%,15.2%,7.8%,8.6%,0.0%,95,,,,,,
45,Riz long grain,8691440305736,['France'],[],[],?,354,1481 kj(354 kcal),"0,4","0,1","80,4","0,2","6,7","0,01","0,004",,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz long grain']",,,+5%,+4%,-62%,-58%,+10%,-31%,-8%,-47%,-47%,0.4 g,en faible quantité,0.1 g,en faible quantité,0.2 g,en faible quantité,0.01 g,en faible quantité,0,,B,,,,,C,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,
46,Duru Jumbo Bondbönor (bagella),8691440306207,['France'],[],[],?,371,1552 kj(371 kcal),"1,32","0,23","53,06","6,21","23,07","0,26","0,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Duru Weizen,8691440710332,['France'],['Blé Pelé'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,309,1293 kj(309 kcal),"1,69",0,"62,84",0,"10,61",0,0,['Duru'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Boulgour,8691440776321,['France'],[],[],?,347,1452 kj(347 kcal),"1,7","0,34","69,4","2,78",11,"0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Chipso shen 250,8691477100021,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Copso 2,8691477100038,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Cipso Tirtikli Klasik Sade - 123g,8691477100045,"['France', 'Irak']","['Patates', 'bitkisel yag ', 'palm', 'tuz']",[],?,?,,?,,?,,?,,,['Cipso'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123 g,,,,,,,,,,['Turkey'],,,,,
52,PATATOS CRINKLE KETCHUP,8691477100243,['France'],[],[],?,533,2230 kj(533 kcal),"33,7","14,3",51,"6,5","5,9","0,648","0,259",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Patos jbna 500,8691477400138,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Lokoum Pistaches,8691570004059,['France'],[],[],?,405,1695 kj(405 kcal),"10,3","1,2","83,6","75,1","3,5","0,007","0,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Assortiment de Loukoums - Haci Bekir,8691570006053,['France'],[],[],?,?,,?,,?,,?,,,['Haci Bekir'],,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Loukoums']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Findik ezmesi,8691641080081,['France'],[],[],?,579,2423 kj(579 kcal),"40,55","3,5","37,89","35,4","12,75","0,05","0,02",,,,,,,['Halal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,8691657100933,8691657100933,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Biscolata Cubes (wafer with chocolate cream),8691707096667,['France'],[],[],?,584,2443 kj(584 kcal),"24,3","22,3","65,1","28,3","5,9","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Ozmo smol,8691707190457,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Gaufrettes cacao bizbize,8691796007551,['France'],[],[],?,472,1975 kj(472 kcal),"26,1",9,62,"30,5","3,2","0,1","0,04",,,,,,,['Halal'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Hastel Manti / Turkish Ravioli - 500 Gr - 500gr,8691837099903,['France'],[],[],?,361,1510 kj(361 kcal),"3,1","0,89","78,94",0,"9,57","1,68","0,672",['Hastel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500gr,,,,,,,,,,,,,,,
62,Defiligne - Yves rocher,8692001294063,['France'],[],[],?,?,,?,,?,,?,,,['Yves rocher'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Taze peynir,8692095342015,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Kichererbsen tat -  - 1000g,8692173200046,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Pois chiches']",,,,,,,,,,,,,,,,,,,,,,,,,1000 g,,B,56.9%,0.0%,16.0%,22.6%,4.5%,0.0%,96,,,,,,
65,Abricots secs - Sunny Fruits,8692250040206,['France'],"['Abricots secs entiers dénoyautés', 'conservateur : anhydride sulfureux', ' Contient des sulfites', ' les informations en gras sont destinées aux intolérantes ou allergiques']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,289,1209 kj(289 kcal),"0,5","0,3",65,40,"2,5","0,03","0,012",['Sunny Fruits'],"['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",,['Anhydride sulfureux et sulfites'],3,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",,,+10%,+10%,+3%,+395%,+12%,-12%,-19%,-15%,-15%,0.5 g,en faible quantité,0.3 g,en faible quantité,40 g,en quantité élevée,0.03 g,en faible quantité,0,-100%,B,-100%,,,,D,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,,,,,,
66,Graines de Tournesol grillees - Özbesin,8692345505207,['France'],"['Graines de Tournesol', 'Sel', 'farine de blé ', 'contient gluten']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,544,2276 kj(544 kcal),"39,2",6,"21,9","2,5",26,"1,1","0,44",['Özbesin'],,,['Gluten'],3,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Graines de tournesol et dérivés', 'Graines de tournesol']",,,-5%,-5%,-14%,+21%,+65%,+4%,+18%,-39%,-39%,39.2 g,en quantité élevée,6 g,en quantité élevée,2.5 g,en faible quantité,1.1 g,en quantité modérée,10,-25%,C,-25%,,,,C,78.2%,0.0%,8.3%,4.3%,5.7%,3.5%,55,,,,,,
67,Ozbesin,8692345505214,['France'],[],[],?,550,2301 kj(550 kcal),39,"6,1","22,1","2,6","26,3","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,ToppiTella 6 parfums - Özelim - 228g,8692458403346,['France'],"['Sucre', 'sirop de glucose', 'huile végétale hydrogénée', 'gélatine', ""régulateur d'acidité "", 'acide citrique', 'arômes naturels ', 'fraise', 'citron', 'framboise', 'orange', 'cerises acides', 'bêta-carotène', 'betterave', 'anthocyanes', 'émulsifiants ', 'lécithine de soja', 'jus de pomme concentré']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",1680,?,1680 kj(402 kcal),"3,1","1,3","93,4","93,4",0,"0,25","0,1",['Özelim'],"['E428 - Gélatine', 'E330 - Acide citrique', 'E160ai - Bêta-carotène', 'E163 - Anthocyanes', 'E322i - Lécithine']",,['Soja'],4,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,+8%,,+12%,+67%,+23%,+12%,+61%,-100%,+107%,+107%,3.1 g,en quantité modérée,1.3 g,en faible quantité,93.4 g,en quantité élevée,0.25 g,en faible quantité,17,+18%,D,+18%,Bonbons tendres avec arômes de fruits,228 g,"['Carton', 'Plastique', 'Papier']",E,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,
69,Sparx Popping Candy - HLeks - 36g,8692544869018,['France'],"['Sucre', 'sirop de glucose', 'lactose ', 'lait', 'dioxyde de carbone ', 'E290', 'arôme ', 'tutti fruti', 'fraise', 'orange', 'cola', ""correcteur d'acidité "", 'acide citrique']","['Non végétalien', 'Végétarien']",1642,?,1642 kj(392 kcal),"0,2","0,08",98,84,"0,1","0,02","0,008",['HLeks'],"['E290 - Dioxyde de carbone', 'E330 - Acide citrique']",,['Lait'],4,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']","['Végétarien', 'Halal']",+6%,,+9%,-89%,-92%,+18%,+45%,-95%,-83%,-83%,0.2 g,en faible quantité,0.08 g,en faible quantité,84 g,en quantité élevée,0.0203 g,en faible quantité,14,-3%,D,-3%,Confiserie pétillante,36 g,"['Carton', 'Papier', 'Blister', 'Plastique']",E,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,['Turquie'],,,,,
