,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,brand,categories,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,additives,nova_score,generic_name,allergens,traceability_code,link,ingredients_origins,manufacturing,brand_owner,palm_ingredients
0,8410525202070,8410525202070,['France'],[],[],?,334,1397 kj(334 kcal),"0,2","0,1",77,57,6,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pointe de Brie - Monoprix,2200505015877,['France'],[],[],?,351,1469 kj(351 kcal),31,22,1,0,17,"1,4","0,56",D,['Monoprix'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Bries']",['Monoprix'],31 g,en quantité élevée,22 g,en quantité élevée,0 g,en faible quantité,1.4 g,en quantité modérée,,+13%,+13%,+20%,+21%,+43%,-100%,-10%,-12%,-12%,15,+1%,D,+1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,
2,Café privilège le classique,8711000443774,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Bloc de foie gras,3295080000034,['France'],[],[],?,483,2021 kj(483 kcal),49,21,5,"1,2","5,4","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Halal'],,,,,,,,,,,,
4,ChocoMe Raffinée amande et sel,5999562066485,['France'],[],[],?,594,2485 kj(594 kcal),39,16,47,37,"11,8","0,62","0,248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Roules de speck au fromage - Auchan - 200g,3254560314610,['France'],[],[],?,312,1305 kj(312 kcal),"27,66","3,8","4,7","4,3","13,49","0,82","0,328",,['Auchan'],,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,
6,Tomates confites - Auchan,3254560359741,['France'],[],[],?,260,1088 kj(260 kcal),23,"2,2","8,2","8,1",2,"1,4","0,56",,['Auchan'],,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sel de Camargue aux herbes de Provence spécial viande,3368411004770,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Crêpes denrelles - Gavottes,3535800002673,['France'],[],[],?,485,2029 kj(485 kcal),21,13,67,48,"5,4","0,63","0,252",,['Gavottes'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Escargots de bourgogne,3043033170316,['France'],[],[],?,?,,?,,?,,?,,,C,,"['Conserves', 'Viandes', 'Escargots', 'Viandes en conserve', 'Escargots en conserve', 'Escargots de Bourgogne']",,,,,,,,,,,,,,,,,,,,,,,,65.7%,14.4%,4.7%,3.9%,2.4%,9.0%,66,,,['boîte'],,,,,,,,,,
10,Poulet Émincé,3302749639020,['France'],[],[],?,393,1644 kj(393 kcal),"4,1",1,"5,6","2,6","7,3","0,78","0,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,
11,Cube or et argent au caramel beurre salé,3266054175010,['France'],[],[],?,519,2171 kj(519 kcal),34,21,47,39,"4,4","0,26","0,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Mini loukoums - 180g,3325350920486,['France'],[],[],?,347,1452 kj(347 kcal),"0,5","0,3","85,4","75,9","0,2",0,0,,,"['Snacks', 'Snacks sucrés', 'Confiseries']",,0.5 g,en faible quantité,0.3 g,en faible quantité,75.9 g,en quantité élevée,0 g,en faible quantité,,-17%,-18%,-97%,-95%,+28%,+53%,-95%,-100%,-100%,14,-23%,D,-23%,,,,,,,,,180 g,,,,,,,,,,,
13,Caramels au beurre salé,3260260212347,['France'],[],[],?,418,1749 kj(418 kcal),"12,5",7,72,"47,4","4,3","1,08","0,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Tasty Orange - 200ml,3900404100412,['France'],[],[],?,15.7,66 kj(15 kcal),0,0,"3,8","3,6","0,01","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 ml,,,,,,,,,,,
15,Mélange Mountain peak du sommet,0626394320007,['France'],[],[],?,540,2259 kj(540 kcal),42,6,30,14,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Rice fusion - Pringles,5053990149520,['France'],"['rice flour ', '24%', 'vegetable oils ', 'sunflower', 'corn', 'curry seasoning ', 'lactose powder{milk}', 'sugar', 'flavour enhancers{monosodium glutamate', ""disodium 5'-ribonucleotides}"", 'spices{garlic powder', 'turmeric', 'cayenne pepper', 'cumin', 'coriander seeds', 'ground ginger', 'cardamom', 'ground fenugreek', 'ground cinnamon', 'cloves}', 'cream powder{milk}', 'acidity regulator{citric asid}', 'colour{paprika extract}', 'emulsifier ', 'E471', 'wheat starch', 'salt']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,486,2033 kj(486 kcal),27,"2,7",55,"4,3","4,5","1,6","0,64",,['Pringles'],"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'en:Snacks  Snacks salés  Apéritif  Chips et frites  Chips  Tuiles salées']",,27 g,en quantité élevée,2.7 g,en quantité modérée,4.3 g,en faible quantité,1.6 g,en quantité élevée,,-5%,-5%,-8%,-13%,+2%,+83%,-21%,+20%,+20%,15,+28%,D,+28%,,,,,,,,,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', ""E635 - 5'-ribonucléotide disodique"", 'E160c - Extrait de paprika', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",4,,,,,,,,
17,Café en Grain BARISTA mocca-pro,7610244001560,['France'],[],[],?,?,,?,,?,,?,,,E,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Grains de café']",,,,,,,,,,,,,,,,,,,,,,,,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,,,,,,,,,,,,,
18,Miel crémeux de fleurs de Gascogne,3760098480272,['France'],[],[],?,?,,?,,?,,?,,,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,
19,Granoro Gramigna Coquillettes Pasta,8007290130495,['France'],[],[],?,355,1485 kj(355 kcal),"1,5","0,5",71,3,13,"0,001",0,,['Granoro'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Jus bio 4 en 1 - Monoprix,3350033174061,['France'],[],[],?,60,251 kj(60 kcal),12,3,54,22,12,90,36,,['Monoprix'],,['Monoprix'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
21,Viennois vanille éclats de caramel - Nestlé - 4x 100g,3023290038765,['France'],[],[],712,170,712 kj(170 kcal),"9,5","6,1","17,9",16,"2,8","0,09","0,036",,['Nestlé'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts vanille', 'Viennois']",,9.5 g,en quantité modérée,6.1 g,en quantité élevée,16 g,en quantité élevée,0.09 g,en faible quantité,+89%,+75%,+76%,+171%,+171%,+50%,+44%,-27%,-17%,-17%,11,+309%,D,+309%,,,,,,,,,4 x 100 g,"['Frais', 'Plastique', 'Carton']",,,Viennois vanille éclats de caramel,,,,,,,
22,Farine de chataigne,3325840154902,['France'],[],[],?,50,209 kj(50 kcal),2,0,6,0,2,"0,002","0,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Crema de queso azul para untar tarrina,8433329062640,['France'],[],[],?,218,912 kj(218 kcal),18,"10,9",2,"1,9",12,"2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Vegetable stock - Knorr,8711200337019,['France'],[],[],?,7,29 kj(7 kcal),"0,5","0,1",1,"0,5","0,5","0,66","0,264",,['Knorr'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,
25,Tartinable de thon au fromage - 120g,3302100008632,['France'],[],[],?,246,1029 kj(246 kcal),"21,4","10,4","2,06","1,64","11,2","1,18","0,472",,,"['Produits à tartiner', 'Produits à tartiner salés']",,21.4 g,en quantité élevée,10.4 g,en quantité élevée,1.64 g,en faible quantité,1.18 g,en quantité modérée,,-17%,-16%,-18%,+34%,-41%,+29%,+28%,-11%,-11%,18,+44%,D,+44%,,,,,,,,,120 g,,,,,,,,,,,
26,Huile d'Olive extra vierge AOP Kalamata Première pression à froid - Iliada - 5L,5201043200043,['France'],[],[],?,?,,?,,?,,?,,,D,['Iliada'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive""]",,,,,,,,,,,,,,,,,,,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,"['AOP', 'Great taste gold 2010', 'Los Angeles International Extra virgin Olive Oil Competition 2013', 'Itoi 2012']",5 L,['Bidon en métal'],,,Huile d'olive extra vierge,,,,,,,
27,Petits beurre comté - Michel et Augustin,3701239901164,['France'],[],[],?,499,2088 kj(499 kcal),25,17,55,"2,8",11,"1,6","0,64",,['Michel et Augustin'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,noix de grenoble,3760014962226,['France'],[],[],?,?,,?,,?,,?,,,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix', 'Noix françaises', 'Noix de Grenoble']",,,,,,,,,,,,,,,,,,,,,,,,87.8%,0.0%,4.7%,2.4%,3.2%,2.0%,36,,,,,,,,,,,,,
29,les corbeilles d'Escoute - 440g,3481010100923,['France'],"['INGREDIENTS CHOCOMIX: chocolet iat 30% ', 'sucre', 'pšte de cacao', 'lat en poudre ', 'LACTOSE', 'beurre de cacao', 'poudre de pett lat', ' LACIOSE at', 'émuisifiant: E322', 'SOJA', 'aróme naturel de vanile', 'chocolat blanc 23 8 % ', ' sucre', 'beurre de caceo', 'lat en poudre ', 'LACIOSE', 'coudre de pett lat ', 'LACIOSE st', 'émulsifiant: E322', 'SOJA', 'arôma nsturel vanile', '13', '6% ARACHIDES 10', 'e% raisins ', 'raisins', 'nuile de paime', 'chocolet noir 5 1% ', ' sucre', 'péte de cacao', 'beurre de cacao', 'émuisifient: E322', 'SOJA', 'arôme naturel de vanile', '3 9%AMANDES 3', '9°% NOISETTES', '3', '7% bananes', 'sucre', 'huile de noix de coco', 'agert pleçants E414-5904', 'sirop de glucose', 'huile de paime', 'arôme de banane CHOCO CUBES COCO Chocolat blanc ', 'sucre', 'beurre de cacao', 'poudre de lait ertier ', 'LACTOSE', 'poudre de pett Iat ', 'lat et LACTOSE', 'Émulsifiant lécthine de SOJA ', 'E22', 'arome neaturel de vanille', 'Chocolat au lat ', 'sucre', 'poudre de ist entier ', 'LACTOSE', 'pâte de cecao', 'beurre de cacao', 'poudre de pett lat ', 'st et LACIOSE', 'emuisifant', ' lécthne de SQJA ', 'E322', 'arôme neturel de vanille', ' Nolx de coco', 'Sirop de fructose-gucose', 'Amidon de BLE Dextrose', 'Sucre', 'Sirop ce glucose', 'Oéletine', 'Set Agent glaçart ', 'gomme arabique E414 Résne de shellac ES04', '- FUDGE: sucre', 'sirop de glucose', 'greisses vegétales hydrogénéus', 'poudre de lat écrémé', 'sel', 'émulsifiant-lécthnede soe', 'arôme', ' naturels', 'extrat de vanile CARAMEL BEURRE SALE ENROBE DE CHOCOLAT NOR', ' CARAMEL', ' Sucre', 'sirop de glucose', 'lat entier en poudre ', 'LACTOSE', ' beurre salé ', '11%', 'esu sel de Quérande', 'arome naturel vanille', 'poudre è lever', ' b', 'carbonste de soude', ""émulsifiant sucroester d'acides gras"", ' CHOCOLAT NOH 72% pate de cacao', 'sucre', 'beurre de cacao', 'lécthine de SOJA', 'arôme nsturel de vanile NOUGAT ENROBE DE CHOCOLAT LAIT', ' sucre', 'AMANDES 30%me', '25 % des matières sucrantes', 'sirop de gluccse', 'pain azyme ', 'técule de pomme de terre', 'esu', 'huile végétale', ""bianc d'QFUE"", 'ardme naturel vanile Chocolat lat 36% sucre', 'beurre de cacso', 'poudre de lat entier', 'pate de cacao', 'lécthine de soje', ""arôme naturel de vanile PATE D'AMANDE ENROBEE DE CHOCOLAT BLANC Pête d'ameande sucre"", 'AMANDES 40%', 'sirop deglucose', 'E200 Cnocolst blanc sucre', 'poudre de lat entier ', 'LACTOSE', 'beugre de cacao', 'émulsifiant lécthine de SOJA ', 'E322', 'arôme neturel de vanile NOUGAT NATURE sucre', 'AMANOES 30%', 'mel ', '25% des mstières sucrantes', 'rop de glucose pain azyme ', 'fécule de pomme de terre', 'eau', 'huile végétale', ' blanc dEUE', 'arôme naturel vanile - CUPCAKE', ' Sucre', ' AMANDES 40%', 'stabilisant sorbtol', 'sirop de glucose', 'sirop de sucre inverti', 'arôme,conservate ur ', 'E200', 'stablisent invertase', 'coloranst naturels ', 'E120-E141', 'extrat de carthame Cnocolist de couverture páte de cacso,sucre', 'beurre de cscso', 'émulsifiant', ' contient du SQJA', 'arôme naturel de vanille ', 'cacao 52 % minmum', ' Décorstion en sucre: sucre', 'blanc dOEUF paississant E414', 'arôme vanile', 'stablisant E336', 'extrat ue certhame', 'colorants E120', 'E132', 'E133-CLUSTER PEANUT chocolst au lat 65% ', 'sucre', 'páte de cecso', 'poudre de let entier ', 'LACTOSE', 'beurre de caceo', 'lactosérum en poudre ', 'LACTOSE', 'emulsifient E322 ', 'S0JA arome naturel devanile', 'CACAHUÈTES 35% 11 1']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,488,2042 kj(488 kcal),24,"11,1","60,1","53,3","7,1","0,31","0,124",,"[""les corbeilles d'Escoute""]","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Assortiments de bonbons de chocolat']",,24 g,en quantité élevée,11.1 g,en quantité élevée,53.3 g,en quantité élevée,0.31 g,en quantité modérée,,-10%,-10%,-29%,-37%,+17%,+14%,+18%,+115%,+115%,18,-28%,D,-28%,,,,,,,,['Conditionné en France'],440g,['emballage plastique'],"['E322 - Lécithines', ""E414 - Gomme d'acacia"", 'E473 - Sucroester', '', 'Risque élevé de sur-exposition', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique', 'E141 - Complexe cuivrique des chlorophylles et des chlorophyllines', ""E132 - Indigotine carmin d'indigo"", 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']",4,,"['Gluten', 'Lait', 'Fruits à coque', 'Arachides', 'Soja']",,,,,,
30,60 assorted chocolates squares,5413415913929,['France'],[],[],?,540,2259 kj(540 kcal),35,21,46,42,7,"0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Coktail de fruit - St Mamet,3080920982041,['France'],[],[],?,64,268 kj(64 kcal),0,0,14,12,0,0,0,,['St Mamet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans conservateurs']",,,,,,,,,,,,
32,Pattes Caneloni - 500g,8033891223083,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,
33,Fajita le kit OldelPaso,13255737,['France'],[],[],?,1080,4519 kj(1080 kcal),"6,1","1,9",42,"5,9","7,1","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Damak - Nestlé,8690632243733,['France'],[],[],?,563,2356 kj(563 kcal),35,18,52,48,"8,6","0,13","0,052",,['Nestlé'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Prebio 7 Probiotique - 40 Gélules - Nutrition Concept,3551100800016,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Canela rama - El Corte Ingles - 50g,8433329069564,['France'],[],[],?,?,,?,,?,,?,,,,['El Corte Ingles'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50 g,"['Bag', 'Plastic']",,,,,,,,,,
37,4056631001639,4056631001639,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Saucisses de Toulouse - Socopa,3039050633231,['France'],[],[],?,243,1017 kj(243 kcal),20,"7,7","0,8","0,5",15,"1,7","0,68",,['Socopa'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans additifs'],,['Barquette'],,,,,"['FR 72.080.002 CE', 'Cherré (Sarthe, France)']",,,,,
39,Pain sur levain - Auchan,2030000025336,['France'],[],[],?,?,,?,,?,,?,,,,['Auchan'],,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Yaourt au lait de brebis bio fraise - Mon Berger - 2x100g,3770003351337,['France'],"['Lait entier de brebis pasteurisé 83,8%', 'fraises 8,2%', 'sucre de canne roux 7,8%', 'jus de citron 0,2%', 'agar-agar', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",462,110,462 kj(110 kcal),"3,2","2,2","15,8","11,8","4,4","0,09","0,036",B,['Mon Berger'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts au lait de brebis']",,3.2 g,en quantité modérée,2.2 g,en quantité modérée,11.8 g,en quantité modérée,0.09 g,en faible quantité,+7%,+5%,+5%,-37%,-34%,+66%,+46%,-9%,-16%,-16%,3,+16%,C,+16%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-10']",2x100g,,['E406 - Agar-agar'],4,,['Lait'],,http://www.monberger.fr,,,,
41,Miel De Azahar,8437001026265,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Cannelle Tuyaux,3102870023732,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Papillotes - 162g,3588400261834,['France'],[],[],?,549,2297 kj(549 kcal),34,22,54,51,"5,6","0,22","0,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],162 g,,,,,,,,,,,
44,Légumes pour potage - Casino Bio,3222477354661,['France'],[],[],?,203,849 kj(203 kcal),"0,8","0,1","7,6","2,5","1,3","0,05","0,02",,['Casino Bio'],,['Casino'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,
45,Éclair café,2090000180572,['France'],[],[],?,?,,?,,?,,?,,,C,,"['Biscuits et gâteaux', 'Pâtisseries', 'Éclairs', 'Éclairs au café']",,,,,,,,,,,,,,,,,,,,,,,,75.9%,13.5%,4.8%,3.3%,2.5%,0.0%,64,,,,,,,,,,,,,
46,"LES RECOLTES BIO à mélanger 2x150g Sauce de Légumes Aubergine, Tomate, Romarin Dès 10 mois - Blédina - 300g",3041091440389,['France'],"['Eau de cuisson', 'aubergine* 14%', 'carotte*', 'purée de tomate reconstituée* 12,2%', 'lait écrémé reconstitué* ', 'LAIT', 'oignon*', 'courgette*', 'fécule de tapioca*', 'poivron rouge*', 'huiles végétales* ', 'colza', 'tournesol', 'olive', 'ail*', 'romarin* 0,03%', 'thym*', ""*Produits issus de l'agriculture biologique""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",201,48,201 kj(48 kcal),2,"0,2","6,1","2,6","0,9","0,07","0,028",,"['Blédina', 'Les recoltes bio']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",300 g,,,,Sauce de légumes adaptée à bébé.,['Lait'],,,,,,
47,Haribo Goldbären,9002975302814,['France'],[],[],?,343,1435 kj(343 kcal),"0,5","0,1",77,46,"6,9","0,07","0,028",E,['Haribo'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés', 'Ours gélifiés']",,0.5 g,en faible quantité,0.1 g,en faible quantité,46 g,en quantité élevée,0.07 g,en faible quantité,,+4%,+2%,+31%,-26%,-1%,-2%,+43%,+2%,+2%,14,+5%,D,+5%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,
48,Galette chèvre,3254560470279,['France'],[],[],?,298,1247 kj(298 kcal),19,11,19,"4,4",12,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Agaven dicksaft - 360ml,4061458063135,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360 ml,,,,,,,,,,,
50,"Super Juice, Avocado Spinat",8718906254589,['France'],[],[],?,56,234 kj(56 kcal),4,"0,6",4,4,"0,6",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,
51,"J.d.gross, Orangen Trüffel - Lidl",20229443,['France'],[],[],?,585,2448 kj(585 kcal),"39,8","24,5","49,7","49,7",7,"0,35","0,14",,['Lidl'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Christmas brownie,3262350210691,['France'],[],[],?,443,1854 kj(443 kcal),"22,7","11,1","49,9","38,5","7,2","0,38","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,
53,La gaufrette proteinee,3518681010456,['France'],[],[],?,532,2226 kj(532 kcal),36,17,25,"2,7",31,"0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Miel d'Ardèche,3701215800047,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Kit kat noix de coco - Nestlé,4600680009681,['France'],[],[],?,526,2201 kj(526 kcal),"27,7","15,5","62,4","52,5","6,1","0,23","0,092",,['Nestlé'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Pain d'automne (préparation prête à l'emploi),3760274681097,['France'],[],[],?,370,1548 kj(370 kcal),"2,28","0,28","71,84","1,97","13,16","1,95","0,78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Truffes maisons côte d'ivoire,3173287504503,['France'],[],['Sans huile de palme'],?,606,2536 kj(606 kcal),45,27,43,40,"4,4","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:palm-oil-free'],,,,,,,,,,,,
58,pilavlik pirinç,8691440305576,['France'],[],[],?,354,1481 kj(354 kcal),"0,4","0,1","80,4","0,2","6,7","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Glace vanille pacane,3291330000144,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Sirop saveur thé pêche,20253769,['France'],[],[],?,0,0 kj(0 kcal),"0,5","0,1","78,8","73,3","0,5","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"Magdalenas ""Madeleines""",3760105560508,['France'],[],[],?,454,1900 kj(454 kcal),"25,3","2,5","50,9","28,8","5,3","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Terrine à  l ail des Ours et aux tomates confites - 180g,3429490021437,['France'],[],[],?,291,1218 kj(291 kcal),"24,3","9,3","2,5","0,93","16,7","0,723","0,289",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180 g,,,,,,"['FR 55.570.002 CE', 'Villotte-sur-Aire (Meuse, France)']",,,,,
63,Rote Bete - Bio Sonne - 330g,20176860,"['France', 'Allemagne']","[""Betteraves rougesVinaigre d'alcoolSucre roux de canneSel marinIngrédients issus de l'agriculture biologique""]",[],?,60,251 kj(60 kcal),"0,1","0,1","12,3","11,4",1,"0,78","0,312",,['Bio Sonne'],,['Norma'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:German Agricultural Society', 'Bio', 'Bio européen', ""Médaille d'or de la Société Allemande d'Agriculture"", 'DE-ÖKO-037']",330g,['Verre'],,,,,,,['Allemagne'],['52399 Merzenich'],,
64,Saucisse de volaille Bio Carrefour,2273729031220,['France'],[],[],581,139,581 kj(139 kcal),"7,1",2,"0,3","0,3",18,"1,7","0,68",E,['Carrefour'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses de volaille']",['Carrefour'],7.1 g,en quantité modérée,2 g,en quantité modérée,0.3 g,en faible quantité,1.7 g,en quantité élevée,-34%,-23%,-24%,-40%,-45%,-76%,-42%,+9%,-4%,-4%,4,-59%,C,-59%,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,
65,Sauté de Dindonneau - Toupargel,3276723958158,['France'],[],[],?,118,494 kj(118 kcal),4,2,"0,5","0,5",20,"0,22","0,088",,['Toupargel'],"['Viandes', 'Volailles']",,4 g,en quantité modérée,2 g,en quantité modérée,0.5 g,en faible quantité,0.22 g,en faible quantité,,-26%,-26%,-37%,+14%,-77%,-5%,-2%,-76%,-76%,-3,-229%,A,-229%,,,,,,,,,,,,,,,,,,,,
66,Lotus The Original Speculoos Biscuits,5410126006544,['France'],[],[],?,484,2025 kj(484 kcal),19,"8,8","72,6","38,1","4,9","0,92","0,368",,['Lotus'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
