,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,brand,categories,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,additives,nova_score,generic_name,allergens,traceability_code,link,ingredients_origins,manufacturing,brand_owner,palm_ingredients
860,Tuiles chocolat noir croustillant - Truffettes De France - 80g,3472710044822,['France'],[],[],?,532,2226 kj(532 kcal),31,20,52,43,"7,6","0,16","0,064",,['Truffettes De France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 g,,,,,,,,,,,
861,Miel Chataigner 250G Origine France - Mellidor - 250g,3503740273002,['France'],[],[],?,?,,?,,?,,?,,,B,['Mellidor'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de châtaignier']",,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,['Bio'],250 g,,,,,,,,,,,
862,Chardonnay vin blanc,3250391353835,['France'],[],[],?,?,,?,,?,,?,,,D,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins blancs']",,,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,,,
863,Chocolate tipo fondant cacao sin gluten y sin azúcares - Santiveri,8412170024298,['France'],[],[],?,448,1874 kj(448 kcal),33,20,50,"0,4",5,0,0,,['Santiveri'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,
864,Ballotin chocolat,3673600000007,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,Miel de fleurs,3562510102522,['France'],[],[],?,?,,?,,?,,?,0,0,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,
866,Dairy milk - Cadbury,7622210618238,['France'],[],[],?,495,2071 kj(495 kcal),26,"14,5","55,5","54,4","8,3","0,2","0,08",,['Cadbury'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,Christmas brioche,3266742125693,['France'],[],[],?,264,1105 kj(264 kcal),"5,8","1,1",47,22,5,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,Crispy orange - 80g,5400265031453,['France'],[],[],?,533,2230 kj(533 kcal),31,20,55,45,"6,9","0,28","0,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en Belgique'],80 g,,,,,,,,,,,
869,Smart Bar Birthday Cake - PhD - 64g,5060578321728,['France'],[],['Sans huile de palme'],?,368,1540 kj(368 kcal),16,10,38,"3,5",31,"0,53","0,212",,['PhD'],"['Snacks', 'Snacks sucrés', 'Barres', 'Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Barres protéinées']",,16 g,en quantité modérée,10 g,en quantité élevée,3.5 g,en faible quantité,0.53 g,en quantité modérée,,-1%,-1%,+23%,+69%,+16%,-74%,+6%,+8%,+8%,15,+46%,D,+46%,,,,,,,,"['Riche en protéines', 'en:palm-oil-free']",64 g,['Plastique'],,,Barre birthday cake,,,,,['UE'],,
