,name,bar_code,eco_score,quantity,brand,categories,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,labels,manufacturing,markets,allergens,ingredients_origins,link,traceability_code,brand_owner,palm_ingredients
10,Salade et Serpentini Jambon Emmental - Mix buffet - 330g,3700009263112,,330 g,['Mix buffet'],,['France'],"['Salade composée à base de pâtes alimentaires cuisinées', 'de salades en mélan e', ""d'œufs durs"", 'de jambon cuit supérieur', ""d'emmental"", ""de crumb?e salé et sa sauce à la moutarde à l'ancienne"", ' 13s de Maxi Fusilli cuisinées : pâtes afimentaires cuites 3417% ', 'eau', 'semoule de blé dur', 'e de colzaì persil 0,4%', 'aill sel/ poivre blanc', "" IOS OJ d'inqédien*s Savoureux "", '31,870', ' : Œufs durs 1 eambon cuit supérieur 9% ', 'jambon de porc 8,2% LE PORC : Frcnce', 'self dextrosel arômes', 'antioxydant : érythorbate e sodium', 'conservateur : nitrite de sodium', ' FRANÇAIS Emmental tomates cerise 4:6%', ' so de Salades mélangées : !aitu', ' chicorée et roquette', "" as q de Sauce à la mot*açde à l'ancienne "", '10,670', ' : huile de colza', ""moutarde à l'ancienne "", 'eau', ""vinai re d'alcoo moutarde? téguments selt arômes"", 'épice', '/ vinaigre de Xérès ', 'sulfites', ' moutarde de Dijon ', 'eau', 'graines de moutar vincigrt oignons', 'poivre noirs s de Sache* de Ommble Salé : farine de blé huile de tournesol haut oléique', 'sel', 'levures']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",,,,,,,,,,?,,179,,749 kj(179 kcal),,11,,"2,1",,11,,"1,2",,"7,7",,"0,8",,"0,32",,,,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,"['Lait', 'Anhydride sulfureux et sulfites']",,,,,
11,Jambon Speck Mozzarella bio - Mix,3700009263136,,,['Mix'],"['Plats préparés', 'Frais', 'Salades', 'Salades composées', 'Plats préparés frais']",['France'],"['pâtes alimentaires penne rigate aux IS4 q de Penne Riqa+e cuisinées au basilic* : basilic* 1,5%', 'huile de tournesol*', ""huile d'olive vierge oeufs cuites* 47,2% "", 'eau', 'semoule de blé dur*', 'oeufs extra*', 'concentré de jus de citron*t ail*', 'sel', ' ', ""lait de mozzarella 62 q d'ingrédien+s Savoureux* "", '20*70', ' : tomates cerise* 8,3% vache pasteurisé*', 'sel marin', 'coagulant microbien', 'acidifiant : acide lactique', 'ferment lactique', 'jambon speck* 5,7% ', 'viande de porc*', 'sel', 'épices*', 'dextrose*', 'conservateur : nitrite de sodium', 'antioxydant : ascorbate de sodium', ' : chicorée*', 'laitue*e so q de Salades mélangées* ', '16*70', ' 20 q de Sauce au vinaigre balsamique* ', 'GF*', ' : huile de tournesol*', 'vinaigre balsamique* 1,4% ', 'vinaigre de vin*', 'moût de raisin huile d\\olive vierge extra*', 'sel', 'poivre*', ' : chocolat noir* 2,8% ', 'beurre de 14 q de Mini gale*es de fi3 av chocola+ noir cacao*', 'sucre de canne*', 'pâte de cacao*', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', 'riz* 1,8%', "" * Ingrédients issus de l'agriculture biologique"", ' Traces éventuelles de fruits à coque', 'graines de Sésame et lupin', ' Informations en gras destinées aux personnes allergiques']","['E270 - Acide lactique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E322i - Lécithine']","['Non végétalien', 'Non végétarien']",4,11 g,en quantité modérée,2.9 g,en quantité modérée,2.8 g,en faible quantité,0.78 g,en quantité modérée,809,+9%,?,,809 kj(193 kcal),+7%,11,+33%,"2,9",+15%,17,+1%,"2,8",+24%,"6,4",-15%,"0,78",-23%,"0,312",-23%,3,-27%,C,-27%,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-10', 'AB Agriculture Biologique']",,,['Lait'],,,,,
12,"Salade Mezze Duo de riz crudités Poulet rôti, 320g - Mix",3700009263143,D,320g,['Mix'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats au poulet', 'Salade de poulet']",['France'],"['135 g de Duo de riz cuisinés ', '42,1%', ' : riz long cuit 33,4% ', 'eau', 'riz long étuvé', 'riz sauvage cuit 3,4% ', 'eau', 'riz sauvage noir', 'jeunes pousses d’épinard', 'plantes aromatiques', 'huile d’olive vierge extra', 'jus de citron concentré', '\r50 g d’Ingrédients Savoureux ', '15,7%', ' : émincés de filet de poulet traité en salaison rôti 7,8% ', 'blanc de poulet 7,1% ', 'origine : France', 'huile de colza', 'amidon', 'dextrose', 'sel', 'tomates cerise semi-déshydratées marinées 4,6% ', 'tomates cerises semi-déshydratées', 'huile de tournesol', 'sel', 'plantes aromatiques', 'fromage italien 2,1% ', 'lait de vache cru', 'sel', 'présure', 'conservateur : lysozyme ', 'oeuf', 'jeunes pousses d’épinard', '\r50 g de Salades mélangées ', '15,7%', ' : laitue', 'chicorée et roquette', '\r40 g de Mélange de tomates fraîches et tomates mi-séchées marinées', 'assaisonné ', '12,5%', ' : tomates fraîches 9,6%', 'sauce [double concentré de tomates 0,4%', 'huile de colza', 'eau', 'sel', 'vinaigre d’alcool', 'moutarde de Dijon ', 'eau', 'graines de moutarde', 'vinaigre d’alcool', 'sel', 'amidon modifié de pomme de terre', 'épaississant : gomme xanthane', 'jus de citron concentré', 'poivre blanc]', 'tomates mi-séchées marinées 0,6% ', 'tomates', 'huile de tournesol', 'sel', 'plantes aromatiques', 'huile d’olive vierge extra', 'plantes aromatiques', 'sucre', 'acidifiant : acide citrique', 'conservateur : sorbate de potassium', '\r25 g de sauce pesto au basilic ', '7,8%', ' : huile d’olive vierge extra 3%', 'basilic 1,7%', 'eau', 'jus de citron concentré', 'sucre', 'sel', 'jaune d’oeuf', 'moutarde de Dijon ', 'eau', 'graines de moutarde', 'vinaigre', 'sel', 'amidon', 'ail 0,1%', 'arôme naturel de basilic 0,03%', 'Parmigiano Reggiano 0,03%', '\r20 g de Mini pain soufflé nature à base de farine de blé et de seigle ', '6,2%', ' : farine de blé', 'eau', 'sucre', 'farine de seigle', 'levure', 'gluten de blé', 'huile de colza', 'sel', 'levain de seigle dévitalisé', 'émulsifiants : E471 – E472e', 'agent levant : E503ii']","['E1105 - Lysozyme', 'E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", ""E503ii - Carbonate acide d'ammonium""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",4,6.6 g,en quantité modérée,1.6 g,en quantité modérée,2.2 g,en faible quantité,0.62 g,en quantité modérée,?,,147,-1%,615 kj(147 kcal),+0%,"6,6",+11%,"1,6",-5%,17,+24%,"2,2",+13%,"4,3",-46%,"0,62",-27%,"0,248",-27%,-1,-170%,A,-170%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,,['Carton'],['Nutriscore'],,['Magasins U'],"['Œufs', 'Gluten', 'Lait', 'Moutarde']",,,,,
13,Mix Bio - Mix Buffet,3700009263150,,,['Mix Buffet'],"['Plats préparés', 'Frais', 'Salades', 'Salades composées', 'Plats préparés frais']",['France'],"['176 g de Boulgour et Lentilles cuisinés aux cranberries 58,7% ', 'boulgour cuit 31,3% ', 'eau', 'blé dur précuit', 'lentilles vertes cuites 20,9%', 'cranberries demi séchées 1,7% ', 'cranberries', 'sucre de canne', 'huile de tournesol', 'graines de courges foncées 1,7%', 'fèves de soja 1,7%', 'huile de tournesol', 'menthe douce', 'sel', ""huile d'olive vierge extra"", '50 g de salades mélangées 16,7% ', 'chicorée', 'laitue', ""40 g d'ingrédients savoureux 13,3% "", 'fromage de chèvre au lait pasteurisé 7%', 'tomates cerise 5%', 'noix 1,3%', '20 g de sauce au vinaigre balsamique 6,7% ', 'huile de tournesol', 'vinaigre balsamique 1,4% ', 'vinaigre de vin', 'moût de raisin concentré', ""huile d'olive vierge extra"", 'sel', 'poivre', '14 g de mini galettes de riz au chocolat noir 4,6% ', 'chocolat noir 2,8% ', 'beurre de cacao', 'sucre de canne', 'pâte de cacao', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', 'riz 1,8%']",['E322i - Lécithine'],['Non végétalien'],4,11 g,en quantité modérée,3.2 g,en quantité modérée,3.6 g,en faible quantité,0.8 g,en quantité modérée,?,,186,+1%,778 kj(186 kcal),+3%,11,+33%,"3,2",+26%,15,-11%,"3,6",+60%,"5,8",-23%,"0,8",-21%,"0,32",-21%,1,-76%,B,-76%,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,['Fruits à coque'],,,,,
14,Taboulé Menthe - Mix,3700009263228,B,,['Mix'],"['Plats préparés', 'Frais', 'Salades', 'Salades composées', 'Plats préparés frais', 'Taboulés']",['France'],"['Boulgour fin cuit 31,5% ', 'eau', 'blé dur précuit', 'pois chiche cuits 15,7%', 'courgettes 15,7%', 'tomates 15,7%', 'sauce à la menthe et citron 10,6% [huile de tournesol', 'eau', 'menthe 2,5%', 'jus de citron concentré 0,7%', 'sel', 'moutarde de Dijon ', 'graines de moutarde', ""vinaigre d'alcool"", 'eau', 'sel', 'poivre blanc', 'épaississant : gomme xanthane]', 'noix de cajou grillées 4%', ""huile d'olive vierge extra"", 'persil', 'cumin', 'sucre blond']",['E415 - Gomme xanthane'],[],4,8.9 g,en quantité modérée,1.2 g,en faible quantité,2 g,en faible quantité,0.62 g,en quantité modérée,642,-9%,?,,642 kj(153 kcal),-9%,"8,9",+38%,"1,2",+68%,13,-39%,2,-39%,4,-10%,"0,62",-34%,"0,248",-34%,-2,-174%,A,-174%,63.1%,7.6%,11.4%,10.7%,5.7%,1.6%,94,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,['Moutarde'],,,,,
15,mix - 250g,37000092633082,,250g,['Mix'],"['Plats préparés', 'Salades', 'Salades composées']",['France'],"['pâtes', 'salade verte', 'tomates cerise', 'jambon']",,"['Non végétalien', 'Non végétarien']",3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,"['Barquette en plastique', 'fourchette en plastique']",,,['Franprix'],,,http://www.mix-snacking.com/,,,
16,Trio de crudités - Mix - 250g,3700009263358,,250 g,['Mix'],,['France'],"['Carotte râpée* 33,596', 'céleri râpé* 31,4%', 'maïs* 15%', 'huile de tournesol*', 'eau', 'persil*', 'moutarde de Dijon* ', 'graines de moutarde*', ""vinaigre d'alcool*"", 'eau', 'sel', 'sel', 'sucre blond* ', 'jus de citron concentré* 0,4%', 'ail* épaississant : gomme xanthane', 'poivre blanc*']",['E415 - Gomme xanthane'],[],4,,,,,,,,,?,,124,,519 kj(124 kcal),,"9,2",,"1,3",,"7,5",,3,,"1,4",,"1,7",,"0,68",,,,,,,,,,,,,,,"['Bio', 'Agriculture UE/Non UE']",,,['Moutarde'],,,,,
17,Fougasse,3700009263365,B,,,"['Snacks', 'Snacks salés', 'Apéritif', 'Fougasses']",['France'],[],,[],,12 g,en quantité modérée,5.9 g,en quantité élevée,4.2 g,en faible quantité,1.8 g,en quantité élevée,?,,1106,+269%,4628 kj(1106 kcal),+267%,12,+10%,"5,9",+22%,27,-28%,"4,2",+108%,11,+3%,"1,8",+22%,"0,72",+22%,22,+63%,E,+63%,40.3%,18.4%,10.8%,8.1%,4.7%,17.7%,91,,,,,,,,,,,
18,Fougasse legume du soleil - Mix Buffet,3700009263389,B,,['Mix Buffet'],"['Snacks', 'Snacks salés', 'Apéritif', 'Fougasses']",['France'],"['FOUGASSE LEGUMES DU SOLEIL ET PESTO ROSSO Pain spécial cuit garni de crème fraìehe !égère', ' de poivrons', 'de courgettes tillées', 'demmental et dune seuee au pesto rouge', 'décongelé', ' ngtédients: Fain spécia} cuit ', 'farine de BLE', ' eau', 'huile dolìve vierge extra', 'jaune d OECF', ' levure de panifications sel', 'LAIT demi-écrémé', 'méianqe cie peivtons CREME fraiche légère 14,1 ', 'CRENÏE', ' amidon transformé de mais', 'stabilisants: E4t O-E412-E440', 'ferments UXCTIQUES', 'préparation aux poivrons et épìces rou e 1 huile de tournesol', ' poivron jaune pu*e de citron jaune', 'concentre de tomate', 'mie! de fleurs', 'plantes aromatiques', 'piment doux fumé féeuies', ' sels conservateur E202', 'courgettes grillees EMMENTAL 4A%', 'sauce pesto rouge ', 'basi!ic', ' concentré de tomate', 'eau', 'mélange FROMAGES tàpes', 'huile de tournesol', 'hui{e dolives set', 'ail', 'jus de citron concentré', 'fécules', 'herbes de Provence', 'fibres de pois', 'amidon de pois', 'sel', 'amidon modifié de pomme de terre', 'antioxydant: E3:ô', 'epìee', ' Tteces éventuelles de crustacés', 'moitusques', 'poissons', 'soja', 'fruits à coque', 'moutarde', 'graines de sésame', 'céleris']","['E14XX - Amidons modifiés', 'E412 - Gomme de guar', 'E440 - Pectines']","['Non végétalien', 'Non végétarien']",4,6.2 g,en quantité modérée,2.5 g,en quantité modérée,5.1 g,en quantité modérée,0.82 g,en quantité modérée,?,,196,-35%,820 kj(196 kcal),-35%,"6,2",-43%,"2,5",-48%,28,-26%,"5,1",+152%,"5,6",-48%,"0,82",-44%,"0,328",-44%,3,-78%,C,-78%,40.3%,18.4%,10.8%,8.1%,4.7%,17.7%,91,,,['Décongelé'],,,"['Céleri', 'Poisson', 'Gluten', 'Lait', 'Moutarde', 'Fruits à coque', 'Graines de sésame', 'Soja']",,,,,
19,"Torti au surimi et poivrons, sauce a l'estragon -",3700009263464,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 56075D', 'Guer (Morbihan, France)']",,
