,name,bar_code,eco_score,quantity,brand,categories,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,labels,manufacturing,markets,allergens,ingredients_origins,link,traceability_code,brand_owner,palm_ingredients
533,Dés de porc curry coco - Brocéliande - 150g,3700133909658,,150 g,['Brocéliande'],,['France'],[],,[],,,,,,,,,,?,,139,,582 kj(139 kcal),,?,,"2,3",,?,,"1,5",,19,,2,,"0,8",,,,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,
534,La Mousse Pur Canard bien élevée (+25% gratuit) - Brocéliande - 200g,3700133910067,C,200 g,['Brocéliande'],"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Mousses salées', 'Mousses de canard', 'Mousses de canard au porto']",['France'],"['Foie maigre de canard ', '42 %', 'graisse de canard', 'lait', 'Porto ', '1,5 %', 'sel', 'farine de blé', 'épices et plantes aromatiques déshydratées', 'sucre', 'œuf', 'antioxydant : érythorbate de sodium', 'conservateur : nitrite de sodium', ' Nappage : graisse de canard', 'colorant : extrait de carotte']","['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,39.9 g,en quantité élevée,12.7 g,en quantité élevée,1.5 g,en faible quantité,1.6 g,en quantité élevée,1687,+7%,?,,1687 kj(403 kcal),+2%,"39,9",+5%,"12,7",-12%,"2,9",+0%,"1,5",-10%,"9,5",-3%,"1,6",+10%,"0,64",+10%,22,+8%,E,+8%,78.1%,15.2%,3.0%,2.3%,1.1%,0.3%,36,Mousse pur canard de qualité supérieure au Porto,"['Barquette', 'Plastique']","['Viande-francaise', 'Canard Français']",['France'],,"['Œufs', 'Gluten', 'Lait']",['France'],,"['FR 22.093.001 CE', ""Lamballe (Côtes-d'Armor, France)""]",,
535,Specialite de saucisson sec au maigre de jambon - Broceliande,3700133910395,D,,['Broceliande'],"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",['France'],"[""Spécialité de saucisse sèche de jambon de porc issu d'anima fin du sevrage et nourris sans Ingrédients de lait"", 'dextrose', 'saccharose', ""arôme na' antibiotique épices"", ': nitrate de potassium', 'antioxydant sodium', 'ferment de maturation', ' Traces éventuelles de fruits à comesti conditionné sous atm0Sphère protectrice', ' Matières grasses Glucides DÉCLARATIONS Energie dont acides gras dontsucres Protéira saturés NUTRITIONNELLES Valeurs moyennes 928 kJ 3g 40,7g pour 100 g :']",,[],4,5 g,en quantité modérée,1.9 g,en quantité modérée,3 g,en faible quantité,5.1 g,en quantité élevée,?,,220,-45%,920 kj(220 kcal),-46%,5,-84%,"1,9",-85%,3,+35%,3,+119%,"40,7",+47%,"5,1",+9%,"2,04",+9%,13,-46%,D,-46%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,,
536,Saucisse sèche - Brocéliande,3700133910418,D,,['Brocéliande'],"['Viandes', 'Charcuteries', 'Saucissons', 'Saucisses sèches']",['France'],[],,[],,36.6 g,en quantité élevée,14.2 g,en quantité élevée,1.4 g,en faible quantité,5.2 g,en quantité élevée,?,,473,+15%,1979 kj(473 kcal),+15%,"36,6",+14%,"14,2",+13%,"2,5",+12%,"1,4",-5%,"33,3",+15%,"5,2",+12%,"2,08",+12%,25,+4%,E,+4%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,,
537,Le jambon bien eleve - Broceliande - 80g,3700133910869,D,80 g,['Broceliande'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['France'],"['Jambon de porc Issu animaux élevés sans antibiotique des la fin du sevrage et nourris sans OGM ', '<0', '9%', 'eau', 'sel', 'bouillon ', 'arôme naturel', 'épices et plantes aromatiques', 'légumes et acérola', 'dextrose', 'épices', 'antioxydant : érythorbate de sodium', 'conservateur : nitrite de sodium', 'arôme']","['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",[],4,2 g,en faible quantité,0.7 g,en faible quantité,0.6 g,en faible quantité,1.7 g,en quantité élevée,?,,108,-18%,452 kj(108 kcal),-17%,2,-58%,"0,7",-62%,"0,6",-10%,"0,6",+1%,22,+4%,"1,7",-9%,"0,68",-9%,3,-57%,C,-57%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,"['Viande-francaise', 'Viande-porcine-francaise']",,,,['France'],,,,
538,Carré de Côte de Porc Cuit,3700133910920,E,,,"['Viandes', 'Porc', 'Côtes de porc']",['France'],[],,[],,8.8 g,en quantité modérée,3.5 g,en quantité modérée,0.4 g,en faible quantité,2.2 g,en quantité élevée,?,,181,-6%,757 kj(181 kcal),-5%,"8,8",-25%,"3,5",-27%,"0,4",-46%,"0,4",-5%,25,+30%,"2,2",+137%,"0,88",+137%,14,+105%,D,+105%,77.5%,16.7%,3.3%,1.3%,0.8%,0.5%,21,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,
539,"Des de jambon cuit choix dans polyphosphates ajoutes - 0,200kg",3700133910937,,"0,200 kg",,,['France'],[],,[],,,,,,,,,,?,,460,,1925 kj(460 kcal),,"3,7",,"1,3",,"0,4",,"0,4",,19,,"2,4",,"0,96",,,,,,,,,,,,,,,,,,,,,"['EMB 22136A', ""Loudéac (Côtes-d'Armor, France)""]",,
540,Le rôti bien élevé - Brocéliande - 70g,3700133912573,E,70g,['Brocéliande'],"['Viandes', 'Porc', 'Rôtis de porc']",['France'],"[""carré de porc issu d'animaux élevés sans antibiotique dès la naissance et nourris sans OGM "", '<0', '9%', 'eau', 'bouillon ', 'eau', 'oignons', 'poireaux', 'carottes', 'sel', 'poivre', 'ail', 'baies de genièvre', 'thym', 'clou de girofle', 'sel', 'dextrose', 'origan', 'antioxydant : érythorbate de sodium', 'conservateur : nitrite de sodium', 'colorant : caramel ordinaire']","['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E150a - Caramel E150a']",[],4,2.8 g,en faible quantité,1 g,en faible quantité,0.5 g,en faible quantité,1.9 g,en quantité élevée,501,-8%,?,,501 kj(120 kcal),-16%,"2,8",-44%,1,-52%,"0,5",-39%,"0,5",-20%,"22,9",+2%,"1,9",+10%,"0,76",+10%,4,-44%,C,-44%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,"['Frais', 'Sous atmosphère protectrice']","['en:without-antibiotics', 'Porcs élevés sans antibiotique', 'Sans antibiotique dès la naissance', 'Nourri sans OGM', 'Viande Porcine Française', 'Porcs élevés sans antibiotique dès la naissance', 'Viande-francaise']",,,,"['France', 'Porc origine France', 'Viande de porc origine France']",,"['FR 22.136.007 CE', ""Loudéac (Côtes-d'Armor, France)"", 'EMB 22136A', ""Loudéac (Côtes-d'Armor, France)""]",,
541,Saucisson sec 200g pur porc - Broceliande - 200g,3700133912580,D,200 g,['Broceliande'],"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs', 'Saucissons secs pur porc']",['France'],"['de de ', ""sirop de LACTOSE k,suere de anne'k"", ""épices* et plante ' nitrate de de môturation"", ""poudre de fleurage : de calcium Boyau Ï*turel de pote de l'agriculture biolgique Conseil : retirer le boyau avant «»ntommation"", ' i 54g de de porc i oog de produit fini', ' Pr«luit goumie à dessiccations']",,[],,30.7 g,en quantité élevée,10.7 g,en quantité élevée,0.3 g,en faible quantité,6 g,en quantité élevée,?,,387,-6%,1619 kj(387 kcal),-6%,"30,7",-6%,"10,7",-16%,"0,5",-79%,"0,3",-80%,"27,2",-0%,6,+29%,"2,4",+29%,19,-22%,E,-22%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,['Lait'],,,,,
542,Les minis saucissons biens eleves,3700133913105,,,,,['France'],[],,[],,,,,,,,,,?,,492,,2059 kj(492 kcal),,40,,13,,5,,"0,4",,28,,"5,9",,"2,36",,,,,,,,,,,,,,,,,,,,,"['FR 43.268.006 CE', 'Yssingeaux (Haute-Loire, France)']",,
543,saucisson sec - Le porc francais,3700133913570,D,,['Le porc francais'],"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",['France'],[],,[],,32 g,en quantité élevée,14 g,en quantité élevée,0.2 g,en faible quantité,4.4 g,en quantité élevée,?,,414,+3%,1732 kj(414 kcal),+2%,32,+1%,14,+14%,"0,4",-82%,"0,2",-85%,31,+12%,"4,4",-6%,"1,76",-6%,25,+4%,E,+4%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,,
544,Saucisson Sec,3700133913594,D,,,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",['France'],[],,[],,31 g,en quantité élevée,14 g,en quantité élevée,0.3 g,en faible quantité,4.5 g,en quantité élevée,?,,297,-26%,1243 kj(297 kcal),-26%,31,-2%,14,+14%,"0,6",-73%,"0,3",-78%,29,+5%,"4,5",-4%,"1,8",-4%,23,-4%,E,-4%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,,
545,Saucisdon sec,3700133913600,,,,,['France'],[],,[],,,,,,,,,,?,,414,,1732 kj(414 kcal),,32,,"13,3",,"0,5",,"0,2",,31,,5,,2,,,,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,
546,Jambon cuit supérieur sans couenne - Brocéliande,3700133914409,E,,['Brocéliande'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['France'],[],,[],,4 g,en quantité modérée,1 g,en faible quantité,0.7 g,en faible quantité,2 g,en quantité élevée,?,,122,-8%,510 kj(122 kcal),-7%,4,-17%,1,-46%,1,+49%,"0,7",+18%,20,-5%,2,+7%,"0,8",+7%,4,-43%,C,-43%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,['Qualité supérieure'],,,,,,,,
547,Jambon cuit supérieur - Brocéliande,3700133914416,E,,['Brocéliande'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['France'],[],,[],,8 g,en quantité modérée,3.5 g,en quantité modérée,0.6 g,en faible quantité,2 g,en quantité élevée,?,,156,+18%,653 kj(156 kcal),+19%,8,+67%,"3,5",+90%,1,+49%,"0,6",+1%,20,-5%,2,+7%,"0,8",+7%,12,+70%,D,+70%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,['Qualité supérieure'],,,,,,,,
548,Eligel A,3700140046858,,,,,['France'],[],,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,Cèpes au vinaigre - La Boutique Du Champignon,3700140800191,,,['La Boutique Du Champignon'],,['France'],"['edulis et son youpe', 'eau', 'V Fabriqué en France CÈP Ape 100 g']",,[],,,,,,,,,,?,,42,,176 kj(42 kcal),,"1,6",,"0,3",,"2,7",,"1,4",,"3,1",,1,,"0,4",,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,
550,Sauce Marocaine Extra Forte - El Saada - 500ml,3700141400246,,500 ml,['El Saada'],"['Epicerie', 'Sauces']",['France'],"['Huile de colza', 'eau', 'sucre', 'vinaigre', ""jaunes d'oeufs"", 'purée de tomates', 'moutarde', 'el', 'extraits naturels et aromates dont 1,2% de : ail', 'poivre', 'aneth', 'chili', 'cumin', 'citron', ' arôme de concombre', 'paprika rouge', 'antioxydant: extrait de romarin', 'acidifiant : acide citrique', 'stabilisateur : gomme xanthane', 'colorant : bêta-carotène']","['E392 - Extrait de romarin', 'E330 - Acide citrique', 'E415 - Gomme xanthane', 'E160ai - Bêta-carotène']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,66.1 g,en quantité élevée,5.1 g,en quantité élevée,6 g,en quantité modérée,1.8 g,en quantité élevée,2575,+191%,?,,2575 kj(615 kcal),+161%,"66,1",+265%,"5,1",+136%,"6,1",-38%,6,-7%,"4,6",+71%,"1,8",-26%,"0,72",-26%,20,+72%,E,+72%,,,,,,,,Sauce émulsionnée froide épicée,"['Bouteille', 'Plastique']",['Halal'],,,"['Œufs', 'Moutarde']",,,,,
551,Bloc de foie gras de Canard - El Saada - 250g,3700141401625,D,250g,['El Saada'],"['Viandes', 'Poissons et viandes et oeufs', 'Volailles', 'Foies gras', 'Canards', 'Foies gras de canard', 'Bloc de foie gras']",['France'],"['Foie gras de canard halal 87%', 'eau', 'sel fin', 'sel nitrité', 'poivre blanc', 'sucre', 'antioxydant : acide ascorbique']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique']",[],3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,"['Plastique', 'Frais']",['Halal'],,['Auchan'],,,,"['FR 59.383.002 CE', 'Marly (Nord, France)']",,
552,3700141401779,3700141401779,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,Delice de dinde,3700141401885,,,,,['France'],[],,[],,,,,,,,,,?,,403,,1686 kj(403 kcal),,4,,1,,4,,"0,2",,11,,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,,,
554,Maxi Knacks Volaille - Oriental Viandes,3700141402660,,,['Oriental Viandes'],,['France'],"['Peau de poulet Halal', 'viande de dinde Halal ', '28%', 'eau', 'fécule de pomme de terre', 'conservateurs : E325', 'E250 ', ' sel', 'protéines de SOJA', 'arômes et arôme de fumée', 'sirop de glucose et dextrose', 'stabilisants : E450', 'E452 ', ' acidifiants : E575', 'E262 ', ' épices et plantes aromatiques', 'exhausteur de goût : E621', 'concentré de betterave', 'antioxydant : E316', ' Boyau ', 'colorant : E160b', ' Fabriqué dans un site utilisant du lait', "" produit fabriqué en France à partir de viande de volaille Halal d'origine Union Européenne""]","['E325 - Lactate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E575 - Glucono-delta-lactone', 'E262 - Acétates de sodium', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E160b - Rocou']","['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,225,,941 kj(225 kcal),,"19,2",,"5,98",,"1,24",,"1,24",,"11,8",,"2,6",,"1,04",,,,,,,,,,,,,,,['Halal'],,,['Soja'],,,"['FR 01.249.003 CE', 'Miribel (Ain, France)']",,
555,Rôti de boeuf halal aux 4 epices - Oriental viandes - 175g,3700141403346,,175 g,['Oriental viandes'],,['France'],"[""scus atm03pnere 'ngred"", 'ents: Viande de Boeuf halal ', 'origine: UE}s eau', 'sel', 'herbes de pasttami tcoriandre', 'proteines de LAIT', 'sirop de glucose', 'dextrose', 'stabilisateurs ', 'E450', 'epices', 'arômes', 'antioxygene ', 'E301}', 'conservateur ', 'E250']","['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,109,,456 kj(109 kcal),,3,,"1,2",,"1,5",,"1,5",,19,,2,,"0,8",,,,,,,,,,,,,,,"['Point Vert', 'Halal', ""Contrôle de la mosquée d'Évry-Courcouronnes""]",,,['Lait'],,,"['FR 88.218.001 CE', 'Granges-sur-Vologne (Vosges, France)']",,
556,Magret de canard - Oriental Viandes - 80g,3700141403377,E,80 g,['Oriental Viandes'],"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",['France'],"['Origine France INGREOIENT5 : magret de canard halal ', 'origine France', 'sel', 'conservateur : nitrite de sodium', 'antioxydant ascorbate de sodium R Conserver entre OOC et +40C Hprès ouverture,']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",[],3,32 g,en quantité élevée,11 g,en quantité élevée,0.6 g,en faible quantité,2.5 g,en quantité élevée,?,,374,+10%,1565 kj(374 kcal),+10%,32,+9%,11,+10%,"0,6",-52%,"0,6",-10%,21,+17%,"2,5",+52%,1,+52%,24,+30%,E,+30%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,,,
557,Sauce Hannibal,3700141403414,,,,,['France'],[],,[],,,,,,,,,,?,,524,,2192 kj(524 kcal),,"50,8",,4,,"14,7",,"8,7",,"2,1",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,
558,Sauce Andalouse - El Saaba,3700141403421,D,,['El Saaba'],"['Epicerie', 'Sauces', 'Sauces andalouses']",['France'],"['Huile de colza', 'MOUTARDE ', 'eau', 'graines de moutarde', 'sel', 'vinaigre', 'curcuma', 'vinaigre', ""jaunes d'OEUFS "", 'jaunes dt?ufs', 'sel', 'sirop de glucose', 'purée de tomates ', '3,996', 'sucre', 'eau', 'extraits naturels et aromates', 'sel', 'acidifiant: acide citrique', 'paprika ', '0,14 %', 'oignons antioxydant : extrait de romarin', 'conservateur', ' E202t arôme', 'colorant : extrait de paprika']","['E330 - Acide citrique', 'E392 - Extrait de romarin', 'E160c - Extrait de paprika']",['Non végétalien'],4,68.6 g,en quantité élevée,5 g,en quantité modérée,4.6 g,en faible quantité,2 g,en quantité élevée,?,,648,+23%,2711 kj(648 kcal),+23%,"68,6",+27%,5,+18%,"5,1",-37%,"4,6",-22%,"2,6",+39%,2,+6%,"0,8",+6%,21,+18%,E,+18%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,['Halal'],,,"['Œufs', 'Moutarde']",,,,,
559,Emincé de kebab - Sans marque - 500g,3700141403490,,500 g,"['Sans marque', 'SN SALVO', 'Société Nouvelle Salaisons Vosgiennes', 'Salaisons Vosgiennes']","['Viandes', 'Volailles', 'Emincés de volaille']",['France'],[],,[],,8.8 g,en quantité modérée,1.17 g,en faible quantité,0.2 g,en faible quantité,1.77 g,en quantité élevée,641,-10%,153,-4%,641 kj(153 kcal),-4%,"8,8",+38%,"1,17",-34%,"1,3",-41%,"0,2",-62%,"17,2",-16%,"1,77",+97%,"0,708",+97%,4,+72%,C,+72%,,,,,,,,,"['Barquette', 'Plastique']","['Halal', ""Contrôle de la mosquée d'Évry-Courcouronnes""]",,,,['Union européenne'],,"['FR 88.218.001 CE', 'Granges-sur-Vologne (Vosges, France)']",,
560,Pizza salami de dinde - Sans marque - 500g,3700141403599,D,500 g,"['Sans marque', 'SDPM', 'Société Des Produits du Maghreb']","['Viandes', 'Charcuteries', 'Saucissons', 'Salamis', 'Salami de dinde']",['France'],"['Viande de dinde Halal', 'gras de bœuf Halal', 'sel', 'sirop de glucose', ""extrait d'épices "", 'paprika', 'poivre', 'dextrose de maïs', 'épices', 'antioxydant : E301', 'conservateurs : E250', 'E202', 'ferments de maturation', 'fumé au bois de hêtre']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['Non végétalien', 'Non végétarien']",4,37 g,en quantité élevée,14 g,en quantité élevée,1 g,en faible quantité,3.8 g,en quantité élevée,?,,414,+30%,1732 kj(414 kcal),+31%,37,+49%,14,+41%,1,-60%,1,+10%,19,-5%,"3,8",+11%,"1,52",+11%,25,+18%,E,+18%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,"['Plastique', 'Barquette']","['Halal', 'Fumé au bois de hêtre', ""Contrôle de la mosquée d'Évry-Courcouronnes""]",['Allemagne'],['Carrefour'],,,,['DE EV264 EG'],,
561,Raïbi saveur banane,3700141403612,,,,,['France'],[],,[],,,,,,,,,,?,,96,,402 kj(96 kcal),,"3,2",,2,,13,,13,,"3,4",,"0,11",,"0,044",,,,,,,,,,,,,,,,,,,,,,,
562,Bobbon - Belacome - 50g,3700141803405,,50 g,['Belacome'],,['France'],[],,[],,,,,,,,,,?,,396,,1657 kj(396 kcal),,"0,5",,"0,1",,97,,65,,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,
563,Paillasse du Larzac,3700142360075,,,,,['France'],[],,[],,,,,,,,,,?,,256,,1071 kj(256 kcal),,"1,2",,"0,38",,"51,3",,"1,9",,"8,8",,"1,52",,"0,608",,,,,,,,,,,,,,,,,,,,,,,
564,"Noix De Cajou, - 160g",3700146200629,,160 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés']",['France'],[],,[],,48 g,en quantité élevée,8.5 g,en quantité élevée,7.5 g,en quantité modérée,1 g,en quantité modérée,?,,618,+11%,2586 kj(618 kcal),+11%,48,+11%,"8,5",+53%,27,+42%,"7,5",-18%,18,+12%,1,+202%,"0,4",+202%,20,+212%,E,+212%,,,,,,,,,,,,,,,,,,
565,Pipas,3700146200919,,,,,['France'],[],,[],,,,,,,,,,?,,620,,2594 kj(620 kcal),,50,,"5,06",,17,,"1,4",,21,,"9,8",,"3,92",,,,,,,,,,,,,,,,,,,,,,,
566,Amandes Emondees - 125g,3700146201053,,125 g,,,['France'],[],,[],,,,,,,,,,?,,636,,2661 kj(636 kcal),,53,,4,,"8,8",,"4,6",,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,Amandes En Poudre - La Maison Des Bistrots,3700146201077,,,['La Maison Des Bistrots'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Farines', 'Fruits à coques et dérivés', 'Farines de fruits à coques', 'Amandes en poudre']",['France'],['visihC - TIBIStN01S A grignoèer oucuisiner À la carte'],,[],,53 g,en quantité élevée,4 g,en quantité modérée,4.6 g,en faible quantité,0 g,en faible quantité,?,,636,+2%,2661 kj(636 kcal),+2%,53,-1%,4,-5%,"8,8",+1%,"4,6",+9%,25,+8%,0,-100%,0,-100%,6,+8%,C,+8%,,,,,,,,,,,,,,,,,,
568,Mais a Pop Corn - La maison des bistrots,3700146201121,,,"['La maison des bistrots', 'La Maison Des Bistrot']",['Maïs pour pop corn'],['France'],['sol A grignoter oucuisiner À la carte à Pop-cot'],,[],,3.4 g,en quantité modérée,0.6 g,en faible quantité,1 g,en faible quantité,0 g,en faible quantité,?,,331,+0%,1385 kj(331 kcal),+0%,"3,4",+1%,"0,6",+26%,57,-4%,1,-25%,11,+3%,0,-100%,0,-100%,-6,,A,,,,,,,,,,,,,,,,,,,
569,Noisettes en poudre - La Maison des Bistrots - 125g,3700146201152,D,125 g,['La Maison des Bistrots'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noisettes', 'Noisettes en poudre']",['France'],[],,[],,63 g,en quantité élevée,5.2 g,en quantité élevée,3.3 g,en faible quantité,0.03 g,en faible quantité,?,,682,+2%,2853 kj(682 kcal),+3%,63,+3%,"5,2",+10%,"5,6",-43%,"3,3",-31%,19,+19%,"0,03",+186%,"0,012",+186%,3,+413%,C,+413%,92.4%,1.7%,0.0%,3.6%,2.2%,0.0%,45,,,,,,,,,,,
570,Noix de pécan - La Maison des Bistrots - 125g,3700146201169,D,125 g,['La Maison des Bistrots'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de pécan']",['France'],[],,[],,74 g,en quantité élevée,6.8 g,en quantité élevée,2.6 g,en faible quantité,0 g,en faible quantité,?,,739,+3%,3092 kj(739 kcal),+3%,74,+6%,"6,8",+4%,"2,9",-59%,"2,6",-31%,11,+9%,0,-100%,0,-100%,0,-100%,B,-100%,93.0%,1.3%,2.5%,1.5%,1.7%,0.0%,37,,,,,,,,,,,
571,Amandes décortiquées,3700146201176,E,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Amandes', 'Amandes décortiquées']",['France'],[],,[],,50 g,en quantité élevée,4 g,en quantité modérée,4.4 g,en faible quantité,,,?,,611,-3%,2556 kj(611 kcal),-2%,50,-3%,4,-0%,"9,1",-31%,"4,4",+13%,25,+12%,,,,,,,,,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,['Agriculture UE/Non UE'],,,,,,,,
572,Pistache Décortiquées,3700146201190,D,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Pistaches', 'Pistaches décortiquées']",['France'],[],,[],,45 g,en quantité élevée,5.6 g,en quantité élevée,7.8 g,en quantité modérée,0.03 g,en faible quantité,?,,576,-3%,2410 kj(576 kcal),-3%,45,-5%,"5,6",-6%,17,-6%,"7,8",+6%,20,-3%,"0,03",-9%,"0,012",-9%,3,+83%,C,+83%,80.2%,0.0%,5.4%,8.3%,3.7%,2.3%,40,,,,,,,,,,,
573,Tonus Pruneaux Dénoyaute - La Maison Des Bistrots,3700146201213,,,['La Maison Des Bistrots'],,['France'],"[""' Pruneaux d'Agen dénoyautés gros"", 'conservateur: Peut contenir des traces de sulfites', 'Humidité maximale: 35% - Origine France']",,[],,,,,,,,,,?,,234,,979 kj(234 kcal),,"0,5",,"0,1",,54,,35,,2,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,['Anhydride sulfureux et sulfites'],,,,,
574,Cerneaux de Noix,3700146201268,D,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix', 'Cerneaux de noix']",['France'],[],,[],,64 g,en quantité élevée,5.7 g,en quantité élevée,3 g,en faible quantité,,,?,,698,+2%,2920 kj(698 kcal),+2%,64,-0%,"5,7",-3%,11,+13%,3,-6%,17,+13%,,,,,,,,,87.8%,0.0%,4.7%,2.4%,3.2%,2.0%,36,,,,,,,,,,,
575,Pruneaux,3700146201329,,,,,['France'],[],,[],,,,,,,,,,?,,234,,979 kj(234 kcal),,"0,5",,"0,1",,54,,35,,2,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,
576,Les fruits secs,3700146201589,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs']",['France'],[],,[],,15 g,en quantité modérée,1 g,en faible quantité,38 g,en quantité élevée,0.06 g,en faible quantité,?,,415,+24%,1736 kj(415 kcal),+23%,15,+117%,1,-56%,53,-9%,38,-12%,13,+216%,"0,06",-32%,"0,024",-32%,3,-37%,C,-37%,,,,,,,,,,,,,,,,,,
