,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,eco_score,generic_name,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nova_score,traceability_code,additives,allergens,link,palm_ingredients,brand_owner
896,Paternostini rigati - Divella - 500g,8005121000658,"['France', 'Allemagne']",[],[],?,355,1485 kj(355 kcal),"1,7","0,9",73,"3,9",12,,,500g,,['Divella'],,,,,,,,,,,,,,,,,,,,,,"0,004",,"0,002",,,,,,,,,,,,,,,,,,,
897,Fettuccine - Divella - 500g,8005121000900,['France'],[],[],?,355,1485 kj(355 kcal),"1,7","0,9",72,"3,9",13,,,500 g,,['Divella'],,,,,,,,,,,,,,,,,,,,,,"0,04",,"0,016",,,,,,,,,,,,,,,,,,,
898,Divella Farina consigliata per Pizza,8005121004182,['France'],[],[],?,339,1418 kj(339 kcal),1,"0,25",72,"2,8","10,5",,,,,['Divella'],,['Fabriqué en Italie'],,,,,,,,,,,,,,,,,,,,"0,004",,"0,002",,,,,,,,,,,,,,,,,,,
899,Tagliatelle - Divella,8005121052916,['France'],[],[],?,330,1381 kj(330 kcal),"2,2","0,5",72,"2,5",13,,,,,['Divella'],,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
900,8 spaghetti al Peperoncino - Divella - 500g,8005121053081,['France'],"['Semoule de blé dur de qualité supérieure', 'eau', 'piment déshydraté en poudre 2 %']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1508,356,1508 kj(356 kcal),"1,8","0,9",72,"3,8","12,5",,Pâtes alimentaires de qualité supérieure au piment,500 g,"['Sachet', 'Plastique']",['Divella'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Spaghetti']",,,['Italie'],,1.8 g,en faible quantité,0.9 g,en faible quantité,3.8 g,en faible quantité,,,+1%,+1%,+2%,+3%,+143%,+4%,+28%,+6%,,,,,,,,,,,,,,,,1,,,['Gluten'],,,
901,Fra amattino e Sera - Divella,8005121213126,['France'],[],[],?,390,1632 kj(390 kcal),"16,8","7,6","52,6","22,5","6,2",,,,,['Divella'],,,,,,,,,,,,,,,,,,,,,,"0,46",,"0,184",,,,,,,,,,,,,,,,,,,
902,Grottoli - Divella - 400g,8005121214413,"['France', 'Italie']",[],[],?,472,1975 kj(472 kcal),"18,3","2,8","67,8",22,"8,1",C,Frollini alle gocce di cioccolato,400 g,['Cartone'],['Divella'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'it:Frollini al cioccolato']",,,,,18.3 g,en quantité modérée,2.8 g,en quantité modérée,22 g,en quantité élevée,0.45 g,en quantité modérée,,-0%,-1%,-12%,-72%,+6%,-25%,+25%,"0,45",-24%,"0,18",-24%,11,-44%,D,-44%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,http://www.divella.it/grottoli-con-gocce-di-cioccolato/,,
903,Burrata 1X250GR Barquette De 250GR - 250g,8005149004706,['France'],[],[],?,213,891 kj(213 kcal),17,11,"0,9","0,9",14,,,250 g,,,,,,,,,,,,,,,,,,,,,,,,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,
904,Antipasta Tradizionale - Montorsi - 130g,8005153007304,['France'],[],[],?,311,1301 kj(311 kcal),22,"8,5",0,0,28,,,130 g,,['Montorsi'],,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,"4,6",,"1,84",,,,,,,,,,,,,,,,,,,
905,PANETTONE CHOCO BROWNIE - Maina - 750g,8005190404524,"['France', 'Suisse']","['Farine de blé - Crème de chocolat 18 % ', 'Eau', 'Sucre', ' Sirop de glucose-fructose', 'Chocolat 10 % correspondant aa1 ,8% du total des ingrédients', 'Beurre Dextrose', ' Lait écrémé en poudre', 'Alcool', ' Cacao maigre en poudre', 'épaisssant: Pectine', 'Conservateur: Sorbate de potassium', 'Arômes', ' - œufs frais', 'Sucre -  Beurre - Chocolat 4,5 % ', 'Sucre', 'Pâte de cacao', 'Beurre de cacao', 'émulsifiant: Lécithine de soja', 'Arôme naturel de vanille - Lait entier frais pasteurisé - Levure naturelle ', 'contient du blé', "" - Pâte d'écorces d'orange "", ""Ecorces d'orange"", ' Sirop de glucose-fructose', 'Sucre', ' - Cacao maigre en poudre 1 % - émulsifiant: mono-diglycérides des acides gras -\r Fructose - Sel - Arômes', ' Peut contenir des traces de fruits à coque', '\r Sachet cacao : ', '2%', ':Cacao maigre en poudre - sucre - amidon de blé']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",1617,386,1617 kj(386 kcal),16,10,51,22,"7,3",C,,750 g,,['Maina'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches au chocolat', 'Panettone']",,,,,16 g,en quantité modérée,10 g,en quantité élevée,22 g,en quantité élevée,0.44 g,en quantité modérée,+9%,+8%,+8%,+20%,+72%,+1%,+24%,-5%,"0,44",-48%,"0,176",-48%,16,+7%,D,+7%,77.5%,13.5%,5.4%,3.2%,0.4%,0.0%,63,4,,"['E440 - Pectines', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]","['Œufs', 'Gluten', 'Lait', 'Soja']",,,
906,La Cioccolotta - Maina,8005190405309,['France'],"['Farine de blé - Sucre - Chocolat 15% ', 'Sucre', 'Pâte de cacao', 'Beurre de cacao', 'émulsifiant: Lécithine de _soja', 'Arôme naturel de vanille', "" - Beurre - Jaune d'œuf frais - Levure naturelle 6 % "", 'Farine de blé', 'Eau', 'Pépites de chocolat 3 % ', 'Sucre', 'Pâte de cacao', 'Beurre de cacao', 'Emulsifiant: Lécithine de soja', 'Arôme naturel de vanille', "" - Blanc d'_œuf frais - Noisettes 1,8 %"", "" Amandes d'abricot - Émulsifiant: Mono-diglycerides des acides gras - Amidon de riz - Lait entier frais pasteurisé - Sucre inverti - Farine de riz - Sel Arômes naturels""]",['Non végétalien'],?,409,1711 kj(409 kcal),19,10,51,27,7,C,,,"['Carton', 'boîte', 'Plastique']",['Maina'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches au chocolat']",,,,,19 g,en quantité modérée,10 g,en quantité élevée,27 g,en quantité élevée,0.35 g,en quantité modérée,,+14%,+14%,+43%,+72%,+1%,+52%,-9%,"0,35",-59%,"0,14",-59%,20,+33%,E,+33%,77.5%,13.5%,5.4%,3.2%,0.4%,0.0%,63,4,,['E322i - Lécithine'],"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",,,
907,Fior Di Colomba,8005190407778,['France'],[],[],?,397,1661 kj(397 kcal),15,"7,5",56,30,"7,5",,,,,,,,,,,,,,,,,,,,,,,,,,,"0,46",,"0,184",,,,,,,,,,,,,,,,,,,
908,Legumi Secchi Calleris,8005195010911,['France'],[],[],?,296,1238 kj(296 kcal),"3,41","1,37","31,3",2,"20,3",,,,,,,,,,,,,,,,,,,,,,,,,,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,
909,Fagioli borlotti lamon Piemonte - Calleris,8005195020125,['France'],"['e ceci: mettet$i a bagpo pet una notte', ' averti e in aqua leteü Cere lentamente fine}è siano al dente', ' orzo e farro pedab Sugg%tions Bears and Chlck Poas: in M water ovemight', ' Dra', 'j aM put into pot unsaRod water stowty 1 ü•wy are chne ', ""'al dente'"", ' tho orzo ard faro is not Congils et pds mettre S&ùurnes à dans reau pour nuit', ' Après bs avdr égouttés', ""les mettre dans une avec de l'eau non salée et les faire cuire à feu doux jusqu'à ce qu'ils soient à point Pour bntiljes"", 'Vorge et faro pedé', ""il n'est pas nécessaire les tremper"", ' Vorsdllag zur Bohnon und Kòeretbsen: Ober Nacht in ka}tem Wasser einweichent Abttopton und in eitwn Topf mit ungesalzenem Wasser geben Langsam kochen bis sie bissfest sInd', ' Linsem Gerste und Dinkel: keln Einweichen Ober Nacht nôtig', ' Conservaro ln luogo fresco ed asclutto', 'al ripato da fonti di calore', ' Keep and dry', ' Tenir au frais et au sec', ' Kiihl und ttockcn Lagern']",[],?,291,1218 kj(291 kcal),2,0,"47,7","3,5","24,5",,,,,['Calleris'],,,,,,,,,,,,,,,,,,,,,,"0,007",,"0,003",,,,,,,,,,,,,,,,,,,
