,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,eco_score,generic_name,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nova_score,traceability_code,additives,allergens,link,palm_ingredients,brand_owner
0,Compote De Pomme avec morceaux,5400101178885,['France'],[],[],?,68,285 kj(68 kcal),0,0,16,15,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Gaufre fruits des bois - Carrefour - 320g e,5400101205116,"['Belgique', 'France']",[],[],?,275,1151 kj(275 kcal),"9,4","4,9",42,15,"4,5",B,Gaufres Fruits des Bois Décongelées,320 g e,"['Plastique', 'décongelé']",['Carrefour'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Gaufres', 'Gaufres fourrées']","['Ne pas recongeler', 'Point Vert', 'Fabriqué en Belgique', 'Décongelé']","['Belgique', 'Union européenne']",['Belgique'],['Carrefour'],9.4 g,en quantité modérée,4.9 g,en quantité modérée,15 g,en quantité élevée,0.7 g,en quantité modérée,,-38%,-38%,-47%,-44%,-34%,-59%,-7%,"0,7",+15%,"0,28",+15%,13,-40%,D,-40%,77.1%,12.7%,5.0%,2.6%,2.6%,0.0%,66,,,,,,,
2,Vinaigre de vin rouge - Carrefour,5400101213104,['France'],[],[],?,31,130 kj(31 kcal),"0,1","0,06","0,3","0,09","0,3",B,,,,['Carrefour'],"['Vinaigres', 'Vinaigres de vin', 'Vinaigres de vins rouges']",,,,['Carrefour'],0.1 g,en faible quantité,0.06 g,en faible quantité,0.09 g,en faible quantité,0.009 g,en faible quantité,,+121%,+117%,-24%,+145%,-52%,-80%,+66%,"0,009",-77%,"0,004",-77%,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,
3,Chips Ribble Sel - Carrefour - 200g e,5400101242579,"['Belgique', 'France']","['Pommes de terre', 'huile de tournesol 35 %', 'sel 1,4 %']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,554,2318 kj(554 kcal),35,3,52,"< 0,5","5,8",B,,200 g e,"['Sachet', 'Plastique']",['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', ""Chips de pommes de terre à l'huile de tournesol"", 'Chips ondulées']","[""À l'huile de tournesol""]",,,['Carrefour'],35 g,en quantité élevée,3 g,en quantité modérée,0.5 g,en faible quantité,1.4 g,en quantité modérée,,+8%,+8%,+19%,+5%,+0%,-72%,-6%,"1,4",+8%,"0,56",+8%,10,-6%,C,-6%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,3,,,,,,
4,Oeufs de poules élevées en plein air Medium - Carrefour - 12oeufs,5400101256644,"['Belgique', 'France']",[],[],?,151,632 kj(151 kcal),12,4,0,0,0,C,,12 oeufs,['Carton'],['Carrefour'],"[""Produits d'élevages"", 'Œufs', 'Œufs de poules', 'Œufs de poules élevées en plein air']",,,,['Carrefour'],12 g,en quantité modérée,4 g,en quantité modérée,0 g,en faible quantité,0.35 g,en quantité modérée,,+9%,+9%,+21%,+63%,-100%,-100%,-100%,"0,35",+29%,"0,14",+29%,5,,C,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,,,,,
5,Poivre noir en grains bio - Carrefour,5400101259744,['France'],[],[],?,4,17 kj(4 kcal),0,0,2,0,0,B,,,,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Graines de poivre', 'Poivres noirs', 'Poivre noir en grains']","['Bio', 'Bio européen', 'Agriculture non UE', 'BE-BIO-01', 'AB Agriculture Biologique']",['en:BELGIQUE'],['BELGIQUE'],['Carrefour'],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,,-73%,-72%,-100%,-100%,-9%,-100%,-100%,,,,,,,,,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,,['I.S.F.I. (INTERNATIONAL SPICE AND FOOD'],,,,,
6,Sauce 4 Fromaggi - Carrefour - 180g,5400101261051,['France'],[],[],?,157,657 kj(157 kcal),12,"7,9","6,2","3,8","5,5",,,180g,,['Carrefour'],,['Fabriqué en Belgique'],,,['Carrefour'],,,,,,,,,,,,,,,,,10,,4,,,,,,,,,,,,,,,,,,,
7,Palets Bretons - Delhaize,5400111054094,"['Belgique', 'France']","['Farine de blé', 'beurre 33%', 'sucre', 'jaune d’œufs', 'lait entier', 'sel', 'poudre à lever ', 'carbonates de sodium', 'dorure ', 'lait écrémé', 'Contient gluten', 'oeufs et lait,']","['Sans huile de palme', 'Non végétalien']",?,521,2180 kj(521 kcal),29,19,60,20,"6,2",C,,,,['Delhaize'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Palets']",,,,['Delhaize'],29 g,en quantité élevée,19 g,en quantité élevée,20 g,en quantité élevée,1 g,en quantité modérée,,+5%,+5%,+14%,+16%,-1%,-23%,+5%,1,+14%,"0,4",+14%,23,-5%,E,-5%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,3,,['E500 - Carbonates de sodium'],"['Œufs', 'Gluten', 'Lait']",,,
8,Siciliana - Delhaize - 350g,5400111113470,"['Belgique', 'France']","['Pulpe de tomate 54% ', 'tomate', 'acide citrique', 'aubergines 15%', 'concentré de tomate 9%', ""huile d'olive"", 'eau', 'oignon', 'fromage Parmigiano Reggiano AOP 2% ', 'lait', 'sel', 'présure', 'sel', 'sucre', 'basilic', ""correcteur d'acidité "", 'acide Jactique', 'arôme']",['Non végétalien'],?,95,397 kj(95 kcal),"6,9","1,4","6,1",5,"1,8",,,350 g,['Glass'],['Delhaize'],"['Epicerie', 'Sauces', 'Sauces pour pâtes']",,,,['Delhaize'],6.9 g,en quantité modérée,1.4 g,en faible quantité,5 g,en quantité modérée,1.3 g,en quantité modérée,,-30%,-29%,-25%,-19%,-7%,+6%,-46%,"1,3",+2%,"0,52",+2%,-3,-159%,A,-159%,,,,,,,,4,,['E330 - Acide citrique'],['Lait'],,,
9,Haricots verts extra fins - Delhaize - 600g,5400111270814,"['Belgique', 'France']",['Haricots verts extra fins 100%'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,24,100 kj(24 kcal),"0,2",0,"3,8","1,9","1,9",B,,600g,,['Delhaize'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumineuses surgelées', 'Légumes surgelés', 'Haricots verts', 'Haricots verts surgelés']",,,,['Delhaize'],0.2 g,en faible quantité,0 g,en faible quantité,1.9 g,en faible quantité,0 g,en faible quantité,,-31%,-30%,-33%,-100%,-11%,+24%,-2%,0,-100%,0,-100%,-10,,A,,71.3%,0.0%,0.0%,9.8%,14.0%,4.9%,95,1,,,,,,
10,Noisettes - Delhaize - 450g,5400111328430,"['Belgique', 'France']",[],[],?,654,2736 kj(654 kcal),61,"4,5",7,"4,3",15,D,,450 g,,['Delhaize'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noisettes']",,,,['Delhaize'],61 g,en quantité élevée,4.5 g,en quantité modérée,4.3 g,en faible quantité,0 g,en faible quantité,,-2%,-2%,-1%,-6%,-26%,-1%,-2%,0,-100%,0,-100%,2,+240%,B,+240%,92.4%,1.7%,0.0%,3.6%,2.2%,0.0%,45,,,,,,,
11,Fromage frais 0% - Delhaize,5400112135006,"['Belgique', 'France']",[],[],?,46,192 kj(46 kcal),0,0,4,4,"7,5",,,,['Pot'],['Delhaize'],,,,,['Delhaize'],,,,,,,,,,,,,,,,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,
12,Yoghurt Greek - Delhaize - 125g,5400112185308,"['Belgique', 'France']",[],[],?,119,498 kj(119 kcal),10,"6,3","4,1","4,1","3,1",,,125 g,,['Delhaize'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts au lait de vache', 'Yaourts à la grecque']","['Nutriscore', 'Nutriscore C']",,,['Delhaize'],10 g,en quantité modérée,6.3 g,en quantité élevée,4.1 g,en faible quantité,0.1 g,en faible quantité,,+25%,+26%,+190%,+189%,-63%,-61%,-15%,"0,1",-13%,"0,04",-13%,6,+136%,C,+136%,,,,,,,,,,,,,,
13,Purée aux epinards - Delhaize - 500g,5400112251737,"['Belgique', 'France']",[],[],?,107,448 kj(107 kcal),5,3,12,"1,1","2,1",,,500 g,,['Delhaize'],,,,,['Delhaize'],,,,,,,,,,,,,,,,,"0,71",,"0,284",,,,,,,,,,,,,,,,,,,
14,Pesto vert - Delhaize,5400112261101,"['Belgique', 'France']",[],[],?,358,1498 kj(358 kcal),"33,7","4,5","4,9","3,4","7,7",,,,,['Delhaize'],,,,,['Delhaize'],,,,,,,,,,,,,,,,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,
15,Palets de patates douces au tofu - Delhaize,5400112515945,"['Belgique', 'France']",[],"['Végétalien', 'Végétarien']",?,158,661 kj(158 kcal),"6,4","0,8","17,5","6,8","4,2",,,,,['Delhaize'],,"['Végétarien', 'Végétalien']",,,['Delhaize'],,,,,,,,,,,,,,,,,"0,93",,"0,372",,,,,,,,,,,,,,,,,,,
16,Boudin aux herbes - Delhaize,5400112565827,"['Belgique', 'France']",[],[],?,182,761 kj(182 kcal),"12,1","5,3",12,10,"7,6",,,,,['Delhaize'],,,,,['Delhaize'],,,,,,,,,,,,,,,,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,
17,Galettes aux oeufs frais - Delhaize,5400113039334,"['Belgique', 'France']",[],[],?,464,1941 kj(464 kcal),25,8,50,36,8,,,,,['Delhaize'],,,,,['Delhaize'],,,,,,,,,,,,,,,,,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,
18,Shortbread Fingers - Delhaize - 160gr,5400113511366,"['Belgique', 'France']","['Farine de blé ', 'farine de blé', 'carbonate de calcium', 'fer', 'niacine', 'thiamine', 'beurre ', 'lait', ' ', '32%', 'sucre', 'sel', ' Contient: gluten et lait']","['Sans huile de palme', 'Non végétalien']",?,533,2230 kj(533 kcal),30,19,58,16,"5,6",C,,160 gr,,['Delhaize'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Shortbread']","['Nutriscore', 'Nutriscore E']",,,['Delhaize'],30 g,en quantité élevée,19 g,en quantité élevée,16 g,en quantité élevée,0.7 g,en quantité modérée,,+3%,+3%,+7%,+14%,-4%,-16%,+1%,"0,7",+6%,"0,28",+6%,20,-6%,E,-6%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,3,,,"['Gluten', 'Lait']",,,
19,Cacahuètes grillées non salées - Delhaize - 275g,5400113530428,"['Belgique', 'France']","['cacahuètes 97%', 'huile de tournesol']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,619,2590 kj(619 kcal),50,"7,6",12,"6,4",27,D,,275 g,,['Delhaize'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Snacks', 'Légumineuses', 'Snacks salés', 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coque grillés', 'Cacahuètes', 'Fruits à coque salés', 'Cacahuètes grillées', 'Cacahuètes salées']",['Point Vert'],,,['Delhaize'],50 g,en quantité élevée,7.6 g,en quantité élevée,6.4 g,en quantité modérée,0 g,en faible quantité,,+2%,+2%,+3%,+6%,-3%,+21%,+6%,0,-100%,0,-100%,0,-100%,B,-100%,91.0%,1.7%,3.2%,2.0%,2.2%,0.0%,45,3,,,['Arachides'],,,
20,Mix céréales aux aromates - Delhaize - 400gr ( 2X200gr),5400113550280,"['Belgique', 'France']",[],[],?,365,1527 kj(365 kcal),"3,5","0,4",68,"5,3",12,,,400 gr ( 2X200 gr),,['Delhaize'],,,,,['Delhaize'],,,,,,,,,,,,,,,,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,
21,Sticks - Delhaize - 150,5400113555018,"['Belgique', 'France']",[],[],?,537,2247 kj(537 kcal),32,"2,8",55,"0,6","6,1",,,150,,['Delhaize'],,,,,['Delhaize'],,,,,,,,,,,,,,,,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,
22,Cookies SuperFruit - Delhaize - 140g,5400113572114,"['Belgique', 'France']","['Farine de blé', 'sucre', 'beurre', 'graines de sésame 6,5%', 'graines de toumesol 6,5%', 'huile de colza non hydrogénée', 'canneberges séchées 5% ', 'canneberges 55%', 'sucre de canne', 'huile de tournesol', ""poudre d'œufs entiers de poules élevées en plein air"", 'sel de mer', 'poudre à lever ', 'carbonates de sodium', 'arôme naturel de framboise', ' Contient: gluten', 'æuf', 'lait', 'sésame', ' Fabriqué dans un atelier qui utilise aussi: arachides', 'soja et fruits à coque']",['Non végétalien'],?,505,2113 kj(505 kcal),24,7,63,30,"7,8",C,,140 g,,['Delhaize'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']","['Nutriscore', 'Nutriscore D']",,,['Delhaize'],24 g,en quantité élevée,7 g,en quantité élevée,30 g,en quantité élevée,0.73 g,en quantité modérée,,+7%,+6%,+15%,-31%,-2%,+2%,+20%,"0,73",+24%,"0,292",+24%,18,-9%,D,-9%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,4,,['E500 - Carbonates de sodium'],"['Gluten', 'Lait', 'Graines de sésame']",,,
23,Moussaka - Delhaize - 400g,5400119007900,"['Belgique', 'France']","['Lait demi-écrémé', 'pommes de terre 19 %', 'pulpe de tomate', 'aubergines 14 %', 'hachis de bœuf 10 % ', 'viande de bœuf tapioca', 'herbes', 'conservateurs E326 E262', 'antioxygènes: E301 E331', 'exhausteur dé goût: E250 - E262', 'emmental ', 'emmental', 'fromages', 'eau', 'beurre', 'lait écrémé en poudre', 'proteines de lait amidon modifié', 'sel', 'sels de fonte E331 E452', 'gélifiant: E407', "" hachis d'agneau 3 % "", ""viande d'agneau"", 'sel', 'épices', 'margarine ', 'graisse de palme', 'eau', 'sel', 'émulsifiants: E322 E471', 'arômes', 'colorant E160a', 'ii', 'emmental ', 'eau', 'lactosérum en poudre', 'beurre', 'émulsifiant: E331', ""arôme d'emmental"", 'sel', 'oignon', 'concentré de tomates', ""huile d'olive"", 'amidon modifié de maïs', 'farine de blé', 'sucre', 'sucre inverti', 'amidon de pomme de terre', ""extrait de bœuf et d'agneau"", 'concentré de légumes', 'pâte de tomates', 'ail', 'sel', 'épices', ""extrait d'épices""]","['Huile de palme', 'Non végétalien', 'Non végétarien']",503,482,503 kj(482 kcal),24,"8,4","39,2",16,"24,8",E,Gratin de pommes de terre et d'aubergines à la viande de bœuf. Moussaka,400 g,"['Frais', 'Carton', 'Plastique']",['Delhaize'],"['Plats préparés', 'Produits à la viande', 'Gratins', 'Plats préparés à la viande', 'Plats au bœuf', 'Réfrigérés', 'Plats préparés à réchauffer au micro-ondes', 'Plats préparés réfrigérés', 'Moussaka']","['Nutriscore', 'Nutriscore C']",,,['Delhaize'],24 g,en quantité élevée,8.4 g,en quantité élevée,16 g,en quantité élevée,4.4 g,en quantité élevée,+1%,+265%,-7%,+168%,+221%,+610%,+461%,+346%,"4,4",+483%,"1,76",+483%,21,+3276%,E,+3276%,97.0%,1.4%,0.6%,0.6%,0.3%,0.2%,2,4,,"['E326 - Lactate de potassium', 'E262 - Acétates de sodium', 'E301 - Ascorbate de sodium', 'E331 - Citrates de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E322 - Lécithines', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E160aii - Carotènes végétaux', 'E14XX - Amidons modifiés']","['Gluten', 'Lait']",https://www.delhaize.be/fr-be/shop/Traiteur/Plats/Plats-en-sauce/Moussaka/p/F2009091000292930000,['Huile de palme'],
24,Oudendijk - Delhaize - 180gr,5400119008167,"['Belgique', 'France']",[],[],?,404,1690 kj(404 kcal),"33,2","23,9",0,0,"26,3",,,180 gr,,['Delhaize'],,,,,['Delhaize'],,,,,,,,,,,,,,,,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,
25,Jambon dégraissé magistral - Cora - 200g,5400134338737,['France'],[],[],?,112,469 kj(112 kcal),3,"1,2","0,7","0,7","20,5",,,200 g,,['Cora'],,,,,,,,,,,,,,,,,,,,,,2,,"0,8",,,,,,,,,,,,,,,,,,,
26,Pain foccacia,5400134379150,['France'],[],[],?,301,1259 kj(301 kcal),11,0,"41,1",0,"9,4",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
27,Sauce Hannibal - Fermette,5400189570113,['France'],"['Huile ae colza', ' eau sucre', ' Vinaigre jaune d’œuf de ferme légume moutarde']",[],?,513,2146 kj(513 kcal),50,"4,1",12,10,"1,5",,,,,['Fermette'],,,,,,,,,,,,,,,,,,,,,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,
28,Cacao - Chocolat Café-Tasse,5400219262407,['France'],[],['Sans huile de palme'],?,429,1795 kj(429 kcal),"19,2","15,7","60,9",54,"1,2",,,,,['Chocolat Café-Tasse'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner au chocolat']",['en:palm-oil-free'],,,,19.2 g,en quantité modérée,15.7 g,en quantité élevée,54 g,en quantité élevée,0.2 g,en faible quantité,,-21%,-21%,-44%,+101%,+20%,+16%,-82%,"0,2",+80%,"0,08",+80%,25,+21%,E,+21%,,,,,,,,,,,,,,
29,Grains De Café Enrobés De Chocolat Noir,5400219534207,['France'],[],[],?,546,2284 kj(546 kcal),32,"20,2",56,41,"6,1",,,,,,,,,,,,,,,,,,,,,,,,,,,"0,04",,"0,016",,,,,,,,,,,,,,,,,,,
30,Pate a tartiner aux noisettes - Winny - 750g,5400247019509,['France'],"['Sucre', 'huiles végétales ', 'huile de navette', 'huile de palme', 'poudre de cacao maigre ', '7%', 'noisettes ', '2%', 'émulsifiant : lécithine', 'dextrose', 'arôme : vanille', 'poudre de lait écrémé']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",2353,564,2353 kj(564 kcal),35,9,59,58,2,E,,750 g,"['Plastique', 'Pot']",['Winny'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']",,,['Pays-Bas'],['Cora'],35 g,en quantité élevée,9 g,en quantité élevée,58 g,en quantité élevée,0.01 g,en faible quantité,+4%,+3%,+2%,+3%,+17%,+15%,+22%,-71%,"0,01",-90%,"0,004",-90%,25,+21%,E,+21%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,4,,['E322i - Lécithine'],"['Lait', 'Fruits à coque']",,['Huile de palme'],
31,Fun Ufos -,5400265018058,['France'],[],[],?,367,1536 kj(367 kcal),"0,5",0,90,53,"0,5",,,,,,,['Fabriqué en Belgique'],,,,,,,,,,,,,,,,,,,,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,
32,Chocolate Fondue - Hamlet - 250g,5400265024097,['France'],"['Pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiant : lécithine de soja', 'arôme vanille']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",2260,540,2260 kj(540 kcal),36,22,43,40,"5,8",,,250 g,"['Pot', 'Plastique']",['Hamlet'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats']",['Fabriqué en Belgique'],,['Belgique'],,36 g,en quantité élevée,22 g,en quantité élevée,40 g,en quantité élevée,0.025 g,en faible quantité,-0%,-2%,-2%,-1%,+4%,-7%,-3%,-20%,"0,025",-82%,"0,01",-82%,24,+2%,E,+2%,,,,,,,,4,,['E322i - Lécithine'],['Soja'],,,
33,Bandeaux Citriques Fraise Tubo De 300 Grs - Aucune - 10.6oz,5400265026374,['France'],"['Sucre', 'sirop de glucose-fructose', 'farine de blé', 'eau', 'acidifiants: E296 et E330', 'humectant: E420ii', 'graisse de palme', 'amidon de mais', 'emulsifiant: E471', 'arôme: fraise', 'colorant: E120i']",['Huile de palme'],?,374,1565 kj(374 kcal),"2,9","1,7",82,52,"1,9",E,Confiserie au goût de fraises,10.6 oz,,['Aucune'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés']",['Fabriqué en Espagne'],,['Spain'],,2.9 g,en faible quantité,1.7 g,en quantité modérée,52 g,en quantité élevée,0.025 g,en faible quantité,,+9%,+9%,+627%,+912%,+2%,-10%,-48%,"0,025",-78%,"0,01",-78%,15,+6%,D,+6%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,4,,"['E296 - Acide malique', 'E330 - Acide citrique', 'E420ii - Sirop de sorbitol', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",['Gluten'],,,
34,4 Favoritas - B&C - 200g,5400265027982,['France'],[],[],?,399,1669 kj(399 kcal),13,7,65,38,4,,,200g,,['B&C'],,,,,,,,,,,,,,,,,,,,,,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,
35,Iphone En Chocolat Lait 75G - Hamlet,5400265032740,['France'],"['sucre', 'beurre de cacao', 'lait entier en Doudre', 'pâte de cacao', 'lactosérum en poudre ', 'lait', 'émulsifiant: lécithine de soja', 'arôme: vanille', 'colorants: E100', 'E120', 'E132', 'E133', 'E162 et E171', ' cacao: 34% min', ' ', 'dans le chocolat au lait', ' Peut contenir des traces de fruits à coque']","['Non végétalien', 'Non végétarien']",?,543,2272 kj(543 kcal),33,20,55,54,"5,3",,,,,['Hamlet'],,,,,,,,,,,,,,,,,,,,,,"0,3",,"0,12",,,,,,,,,,,,,4,,"['E322i - Lécithine', 'E100 - Curcumine', 'E120 - Acide carminique', ""E132 - Indigotine carmin d'indigo"", 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E162 - Rouge de betterave', 'E171 - Oxyde de titane']",['Lait'],,,
36,Boite de biscuits - 14.1oz,5400265034829,['France'],[],[],?,529,2213 kj(529 kcal),27,12,65,26,"5,4",,,14.1 oz,,,,,,,,,,,,,,,,,,,,,,,,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,
37,Chocolat belge - 1.9oz,5400265035505,['France'],[],[],?,537,2247 kj(537 kcal),32,19,54,53,"7,5",,,1.9 oz,,,,"['Agriculture durable', 'Fabriqué en Belgique', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
38,Prodia Tartinade Gout Miel Squeezer 250G,5400272564937,['France'],"['fructose', 'édulcorant: sorbitol', 'eau', 'sel', 'arôme de miel ', '0', '3%']",[],?,296,1238 kj(296 kcal),0,0,82,62,0,,,,,['Prodia'],,,,,,,,,,,,,,,,,,,,,,"0,35",,"0,14",,,,,,,,,,,,,4,,['E420 - Sorbitol'],,,,
39,"Confiture De Fraises, Marmelade - Cactus - 370g",5400501107096,['France'],[],[],?,237,992 kj(237 kcal),"0,2","0,1","57,9",57,"0,4",D,,370 g,,['Cactus'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,,,,0.2 g,en faible quantité,0.1 g,en faible quantité,57 g,en quantité élevée,0.01 g,en faible quantité,,+9%,+9%,-17%,+122%,+9%,+12%,-10%,"0,01",-56%,"0,004",-56%,7,-20%,C,-20%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,
40,Spaghetti 365 - 1kg,5400601009894,"['Belgique', 'France']",[],[],?,354,1481 kj(354 kcal),"1,5","0,1",72,"3,5","11,8",,,1 kg,,['365'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Spaghetti']",,,,['Delhaize'],1.5 g,en faible quantité,0.1 g,en faible quantité,3.5 g,en faible quantité,0.03 g,en faible quantité,,+1%,+0%,-14%,-73%,+4%,+18%,0%,"0,03",+24%,"0,012",+24%,-1,,A,,,,,,,,,,,,,,,
41,Huile de mais - Delhaize - 1l,5400601010609,"['Belgique', 'France']",['Huile de maïs raffinée 100%'],[],?,900,3766 kj(900 kcal),100,"13,1",0,0,0,D,,1 l,,['Delhaize'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Matières grasses', 'Céréales et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de céréales', 'Huiles de maïs']",,,,['Delhaize'],100 g,en quantité élevée,13.1 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+4%,+5%,+4%,-4%,-100%,-100%,-100%,0,-100%,0,-100%,11,-3%,D,-3%,87.3%,5.0%,3.7%,2.2%,1.8%,0.0%,49,,,,,,,
42,Pain Sandwiches - Delhaize,5400601480037,"['Belgique', 'France']",[],[],?,293,1226 kj(293 kcal),"4,1",1,"54,7","5,4","8,1",,,,,['Delhaize'],,['Point Vert'],,,['Delhaize'],,,,,,,,,,,,,,,,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,
43,Noix - Happy Belly - 500g,5400606000407,['France'],['Noix'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3012,730,3012 kj(730 kcal),"71,2","6,9","4,3","2,7","15,8",D,,500 g,['Sous-vide'],['Happy Belly'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix', 'Cerneaux de noix']",,,,['Amazon'],71.2 g,en quantité élevée,6.9 g,en quantité élevée,2.7 g,en faible quantité,0 g,en faible quantité,+11%,+6%,+5%,+11%,+17%,-56%,-16%,+5%,0,-100%,0,-100%,0,-100%,B,-100%,87.8%,0.0%,4.7%,2.4%,3.2%,2.0%,36,1,,,['Fruits à coque'],,,
