,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,allergens,generic_name,quantity,packaging,ingredients_origins,manufacturing,link,additives,palm_ingredients,nova_score,markets,traceability_code,producer_info
321,Saucisson,3173660012007,,,,['France'],[],[],,,,,,,,,?,,303,,1268 kj(303 kcal),,17,,"6,2",,2,,2,,34,,5,,2,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,
322,CrocParty - Rocheblin,3173660022303,,['Rocheblin'],,['France'],"['Viande de porc', 'olives noires ', '14g mis œuvre pour 100g de produit fini', 'sel', 'LACTOSE', 'épices', 'sucre', 'dextrose', 'conservateur : nitrite de sodium', 'ferments', ' Enveloppe : boyau collagénique comestible ', 'collagène', 'eau', 'cellulose', ' 177g de viande de porc utilisee pour 100g de produit fini']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,458,,1916 kj(458 kcal),,38,,13,,"1,9",,"1,8",,28,,5,,2,,,,,,,,,,,,,,['Lait'],,,,,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E460 - Cellulose']",,4,,"['EMB 42334A', 'Violay (Loire, France)']",
323,Terrine - Ferme De La Guye,3173660035006,,['Ferme De La Guye'],['Terrines'],['France'],"['Poulet ', '59%', '*,viande de porc*,oeufs réhydratés*', 'vin rouge ', '5%', '*', 'fond de volaille* ', 'couenne ou gélatine* ', 'sel', ' oignon* ', 'champignon* ', ""persil'"", 'ciboulette* ', ""poivre' thym* Contient oeuf"", "" POIDS NET: 200 g ? DE L'AGRiCtLTLBE nOCAÉ Fran""]","['Non végétalien', 'Non végétarien']",15 g,en quantité modérée,5.3 g,en quantité élevée,0.5 g,en faible quantité,1.5 g,en quantité modérée,?,,213,-29%,891 kj(213 kcal),-29%,15,-42%,"5,3",-44%,"0,6",-72%,"0,5",-36%,19,+36%,"1,5",-2%,"0,6",-2%,13,-27%,D,-27%,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['Œufs'],,,,,,,,,3,,,
324,Saucisse sèche pur porc,3173660036027,,,,['France'],[],[],,,,,,,,,?,,394,,1648 kj(394 kcal),,30,,11,,"0,1",,"0,1",,31,,"4,9",,"1,96",,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,
325,Cookies crisp,3173660038014,,,,['France'],[],[],,,,,,,,,?,,381,,1594 kj(381 kcal),,"3,3",,"0,7",,"78,1",,"24,9",,"6,7",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,,
326,Haut pays - Montagne,3173660054250,,['Montagne'],,['France'],"['IVIVIN NCHE FIN-16tranches - PRODUIT DE MONTAGNE - TE TRANCHEE Ingredients viande de porc VPF de montagne ', 'France', ' sel', 'LACTOSE', 'sucre', 'dextrose', ' epices', 'conservateur', ' nitrate de potassiutn', 'ferments', ' 147g de viande mis en oeuvre pour 1 oog de de produit fini,']",['Non végétalien'],,,,,,,,,?,,302,,1264 kj(302 kcal),,20,,"7,1",,"1,4",,"1,1",,29,,"4,8",,"1,92",,,,,,,,,,,,,,['Lait'],,,,,,,,,4,,,
327,Viande de Bœuf de Salers Séchée - Haut Pays,3173660062002,,['Haut Pays'],"['Viandes', 'Bœuf', 'Viandes séchées']",['France'],[],[],3.8 g,en quantité modérée,1.9 g,en quantité modérée,0.8 g,en faible quantité,4.8 g,en quantité élevée,?,,160,-25%,669 kj(160 kcal),-25%,"3,8",-3%,"1,9",+24%,"1,1",-76%,"0,8",-75%,30,-20%,"4,8",+15%,"1,92",+15%,12,-12%,D,-12%,,,,,,,,,,Viande de Bœuf de Salers Séchée,,['Plastique'],,,,,,,,,
328,Liberty Corned Beef,3173820001261,,['Liberty'],"['Conserves', 'Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Viandes en conserve', 'Corned-beef']",['France'],[],[],16 g,en quantité modérée,7.2 g,en quantité élevée,0.4 g,en faible quantité,0.63 g,en quantité modérée,?,,231,+2%,967 kj(231 kcal),+2%,16,+5%,"7,2",+0%,"0,5",-1%,"0,4",+42%,21,-3%,"0,63",-60%,"0,252",-60%,11,-29%,D,-29%,,,,,,,,,,,,,,,,,,,,,
329,Canard Pommes de Terre aux olives - Cuisine des Pyrénées,3173820004941,,['Cuisine des Pyrénées'],,['France'],"['Pommes de terre 36 0%', 'Canard 33 %', 'olives vertes 6 %', 'eau', ""de ma'is"", 'concentré de tomates', 'fécule de pomme de terre', 'dok\\ves', 'sev', 'pyantes aromatiques * ', 'colorant : E150b*', 'acidifiant : Suifites', ' France', ' Fabriqué dans un atelier qui utilise gluten', 'lait', 'œuf', 'sésame', 'soja', ' sous atmosphère protectrice']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,118,,494 kj(118 kcal),,"3,7",,"0,9",,"12,5",,"0,2",,"7,8",,"0,9",,"0,36",,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,['E150b - Caramel de sulfite caustique'],,4,,,
330,"Potée Ariégeoise, 350g - Cuisine des Pyrénées - 350g",3173820004989,,['Cuisine des Pyrénées'],,['France'],"['Canard 25%', 'pommes de terre 2130', 'carottes 14%', 'eau', 'haricots blan 8%', 'poireaux choux verts poitrine de porc bouillon de volaille ', 'Sel', 'dextrose de blé', 'crimes naturels ', 'gluten', 'graisse de volaille ', 'antioxydant : extrait d romarin', 'oignon', 'épices', 'sel', 'acide citrique ', 'E330', ' Viande origine France', ' Fabriqué dans un atelier qui utilise gluten', 'lait', 'œuf', 'sésame', 'soja', 'sulfites']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,94,,393 kj(94 kcal),,"3,7",,"1,3",,"7,7",,"0,6",,"7,6",,"0,7",,"0,28",,,,,,,,,,,,,,['Gluten'],,350 g,,,,,"['E392 - Extrait de romarin', 'E330 - Acide citrique']",,4,,,
331,Corned beef - Goldy beef - 190g,3173820005610,,['Goldy beef'],"['Conserves', 'Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Viandes en conserve', 'Corned-beef']",['France'],"['boeuf 98', '5% ', 'viande de boeuf 57%', 'viande de tête de boeuf', 'coeur de boeuf', 'sel ', 'conservateur : nitrite de sodium']","['Non végétalien', 'Non végétarien']",16 g,en quantité modérée,7.2 g,en quantité élevée,0.4 g,en faible quantité,1.6 g,en quantité élevée,?,,221,-3%,925 kj(221 kcal),-2%,16,+5%,"7,2",+0%,"0,5",-1%,"0,4",+42%,21,-3%,"1,6",+3%,"0,64",+3%,16,+4%,D,+4%,,,,,,,,,,,190g,['Conserve'],,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,3,,"['FR 65.286.002 CE', 'Lourdes (Hautes-Pyrénées, France)']",
332,Colin sauce hollandaise et son riz - 800g,3173820005764,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,800 g,['Conserve'],,,,,,,,,
333,Corned Beef - Liberty,3173820006778,,['Liberty'],"['Conserves', 'Viandes', 'Bœuf', 'Viandes en conserve', 'Corned beed']",['France'],"['Bœuf 98,5 %', 'sel', 'conservateur ', 'nitrite de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",16 g,en quantité modérée,7.2 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,?,,242,+22%,1013 kj(242 kcal),+26%,16,+27%,"7,2",+40%,"0,5",-58%,0,-100%,24,+38%,"1,6",-1%,"0,64",-1%,17,+43%,D,+43%,,,,,,,,,,,,"['Conserve', 'métal']",,,,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,3,,,
334,Cabillaud piperade - Cuisine Des Pyrénées,3173820006792,,['Cuisine Des Pyrénées'],,['France'],"['Noisettes de polenta 30 %: eau', 'semoule de maïs précuite', 'lait écrémé en poudre', 'beurre', 'sel', 'poivre', ' Cabillaud et piperade: cabillaud 23%', 'poivrons verts et rouges 10%', 'oignons 10%', 'eau', 'tomates pelées 4%', 'tomates pelées concassées 58 jus de tomates', 'sel', 'acidifiant: acide citrique', 'huile de colza', ""huile d'olive"", 'sel', 'épices ', 'poivre', 'oignon', 'piment', 'oléorésine de paprika : E160c', ' Les informations en gras sont destinées aux personnes allergiques', ' Fabriqué dans un atelier qui utilise lait', 'œuf', 'céleri', 'sésame', ' Conditionné sous atmosphère protectrice']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,97,,406 kj(97 kcal),,"2,1",,"0,9",,"13,3",,"7,3",,"5,4",,1,,"0,4",,,,,,,,,,,,,,"['Poisson', 'Lait']",,,,,,,"['E330 - Acide citrique', 'E160c - Extrait de paprika']",,4,,,
335,Liberty Corned Beef -,3173821111181,,,"['Conserves', 'Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Viandes en conserve', 'Corned-beef']",['France'],[],[],16 g,en quantité modérée,7.2 g,en quantité élevée,0.4 g,en faible quantité,1.6 g,en quantité élevée,?,,221,-3%,925 kj(221 kcal),-2%,16,+5%,"7,2",+0%,"0,5",-1%,"0,4",+42%,21,-3%,"1,6",+3%,"0,64",+3%,16,+4%,D,+4%,,,,,,,,,,,,,,,,,,,,,
336,Apéritif de Génépi - Cherry Rocher - 70cl,3173860701718,D,['Cherry Rocher'],"['Boissons', 'Boissons alcoolisées', 'Liqueurs']",['France'],"['Eau', 'vin', 'sucre', 'génépi', 'alcool', 'extraits végétaux', ' Contient des sulfites']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,57.4%,11.3%,20.5%,8.1%,1.7%,1.0%,33,,['Anhydride sulfureux et sulfites'],,70 cl,"['Bouteille', 'Verre']",,,,,,3,['Carrefour'],,
337,Liqueur de noix - Cherry Rocher - 70cl,3173862120036,D,['Cherry Rocher'],"['Boissons', 'Boissons alcoolisées', 'Liqueurs']",['France'],['Liqueur de noix'],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,57.4%,11.3%,20.5%,8.1%,1.7%,1.0%,33,['Déconseillé aux femmes enceintes'],,,70 cl,"['Bouteille', 'Verre']",,['France'],,,,,['Carrefour'],,
338,Génépi - Cherry Rocher - 35cl,3173862120449,D,['Cherry Rocher'],"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Liqueurs', 'Génépi']",['France'],['Liqueur de génépi'],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,57.4%,11.3%,20.5%,8.1%,1.7%,1.0%,33,,,,35 cl,"['Bouteille', 'Verre']",,,,,,,['Carrefour'],,
