,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,allergens,generic_name,quantity,packaging,ingredients_origins,manufacturing,link,additives,palm_ingredients,nova_score,markets,traceability_code,producer_info
0,Datte de tunisie - Deglet Nour,3166320001060,C,['Deglet Nour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Dattes']",['France'],"['DATTERI Dl TUNISIA DEGLET NOUR CATEGORIA NGREDIENTI : DATTERI', 'SCIROPPO Dl 3LUCOSIO', 'CONSERVANTE E202 Valori nutrizionali medi per 100 g di prodotto: Energia 13500/']",[],0.1 g,en faible quantité,0.1 g,en faible quantité,65 g,en quantité élevée,0.1 g,en faible quantité,?,,319,+7%,1335 kj(319 kcal),+7%,"0,1",-65%,"0,1",+102%,73,+6%,65,+11%,"2,4",+11%,"0,1",+361%,"0,04",+361%,2,-59%,B,-59%,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,,,,,,,,,,,,,
1,Fromage de chèvre moulé à la main,3166350001474,,,,['France'],[],[],,,,,,,,,?,,180,,753 kj(180 kcal),,14,,"10,8",,"2,5",,"2,5",,11,,1,,"0,4",,,,,,,,,,,,,"['Fabriqué en France', 'Sans conservateurs']",,,,,,,,,,,,,
2,"Pâte Brisée Pur Beurre Marie,",3166350010971,,['Marie'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes à tarte', 'en:baked-shortcrust-pastry']",['France'],[],[],19.2 g,en quantité modérée,12.4 g,en quantité élevée,2.2 g,en faible quantité,0.8 g,en quantité modérée,?,,379,+1%,1586 kj(379 kcal),+0%,"19,2",-1%,"12,4",+27%,"45,9",+8%,"2,2",-4%,"5,6",-6%,"0,8",-22%,"0,32",-22%,17,+6%,D,+6%,,,,,,,,,,,,,,,,,,,,,
3,Pâtes à la bolognaise Marie,3166353931006,,['Marie'],,['France'],"['Pâtes cuites ', 'lasagnettes', ' 42,4% ', 'eau', 'semoule de blé dur', 'huile de colza', 'tomates 21,9% ', 'tomates pelées concassées et jus de tomates', 'viande de bœuf cuite 9,1%', 'concentré de tomates 5,9%', 'eau', 'échalotes 4,5%', ' emmental 3%', 'crème fraîche 1,8%', ""huile d'olive vierge extra"", 'farine de blé', 'grana padano ', 'contient lait', 'œuf', 'ail', 'sucre', 'sel', 'basilic', 'poivre']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,158,,661 kj(158 kcal),,"6,2",,"2,1",,18,,"2,6",,7,,"0,53",,"0,212",,,,,,,,,,,,,,"['Œufs', 'Gluten', 'Lait']",,,,,,,,,,,,
4,"Tarte aux Noix de St Jacques, Petits Légumes Cuisinés - Marie - 350g",3166359209444,,['Marie'],"['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Réfrigérés', 'Plats aux fruits de mer', 'Plats préparés réfrigérés', 'Plats aux noix de Saint-Jacques']",['France'],"['Garniture 63,5 % eau', 'noix de Saint Jacques 10,2 %', 'carottes 7,5%', 'œufs 7%', 'fromage blanc 5,5 %', 'poivrons jaunes 5,5 %', 'crème fraîche', 'emmental', 'poireaux 1,8 %', 'huile de colza', 'vermouth', 'grana padano ', 'contient lait', 'œuf', 'amidon de maïs', 'ail', 'persil 0,4 %', 'fumet de poisson ', 'chair et jus de poisson', 'sel', 'sel', 'concentré de tomates', ""extrait d'épice"", ' Pâte feuilletée 36,5 % farine de blé 16 %', 'eau', 'margarine végétale ', 'huile de palme et de colza', 'eau', 'sel', 'émulsifiant:  E 471', ""correcteur d'acidité: acide citrique"", 'sel']","['Huile de palme', 'Non végétalien', 'Non végétarien']",12.8 g,en quantité modérée,6.4 g,en quantité élevée,2.3 g,en faible quantité,0.9 g,en quantité modérée,?,,236,+48%,987 kj(236 kcal),+59%,"12,8",+66%,"6,4",+48%,"21,2",+68%,"2,3",+29%,"8,2",+26%,"0,9",+13%,"0,36",+13%,10,+93%,C,+93%,,,,,,,,['Cuisiné en France'],"['Œufs', 'Poisson', 'Gluten', 'Lait', 'Mollusques']","Plat préparé réfrigéré - Tarte aux Noix de St Jacques, Petits Légumes Cuisinés",350 g,"['Carton', 'Plastique', 'Frais']","['États-Unis', 'Argentine', 'Irlande', 'Pérou', 'Philippines', 'Viêt Nam']",['France'],https://www.marie.fr/plats-prepares/tartes-et-crepes/tartes-a-partager/tarte-aux-noix-de-st-jacques/61,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique']",['Huile de palme'],4,,,
5,Curry Poudre Ducros - 42g,3166890800407,B,['Ducros'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Curry', 'Curry en poudre']",['France'],"['Curcuma', 'graine de coriandre ', '10%', 'fenugrec ', '8,5%', 'amidon de pomme de terre', 'graine de moutarde', 'oignon déshydraté', 'cardamome ', '4%', 'sel', 'gingembre', 'anis', 'fenouil', 'girofle', 'ail déshydraté', 'épices', 'plantes aromatiques']","['Sans huile de palme', 'Végétalien', 'Végétarien']",6.3 g,en quantité modérée,0.8 g,en faible quantité,2.9 g,en faible quantité,4 g,en quantité élevée,?,,308,+73%,1289 kj(308 kcal),+62%,"6,3",-1%,"0,8",-44%,35,+72%,"2,9",-19%,11,+67%,4,+13%,"1,6",+13%,,,,,68.8%,0.0%,19.6%,5.2%,6.4%,0.0%,82,,['Moutarde'],curry doux,42g,['flacon en verre'],,['France'],http://www.ducros.fr/Produits/Poivres-Herbes-Epices/Epices/Curry/Curry-poudre,,,3,['Monoprix'],,
6,Clous de girofle - Ducros - 23g,3166890800568,A,['Ducros'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Clous de girofle']",['France'],['clous de girofle'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,63.8%,0.0%,18.2%,12.0%,6.0%,0.0%,79,,,,23 g,['Verre'],['France'],,,,,1,,,
7,Anis vert - Ducros - 37g,3166890800704,,['Ducros'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,37 g,,,,,,,,,,
8,3166891528706,3166891528706,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Dattes,3167314952801,,,,['France'],[],[],,,,,,,,,?,,329,,1377 kj(329 kcal),,"0,4",,0,,75,,"63,3",,"2,4",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,
10,Engrais Agrumes: Oliviers et Palmiers,3167770205671,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Oreo crispy & thin,3167865202158,D,['Oreo'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits fourrés', 'Biscuits cacaotés fourrés goût vanille']",['France'],"['Sucre', 'farine de BLÉ', 'huile de palme', 'cacao maigre en poudre 4,3 %', 'amidon de BLÉ', 'sirop de glucose-fructose', 'poudre à lever ', 'carbonate acide de potassium', ""carbonate acide d'ammonium"", 'de sodium', 'sel', 'émulsifiant ', 'lécithine de SOJA', 'carbonate acide PEUT CONTENIR LAIT', ' arôme ', 'vanilline']",['Huile de palme'],21 g,en quantité élevée,10 g,en quantité élevée,39 g,en quantité élevée,0.83 g,en quantité modérée,?,,490,+2%,2050 kj(490 kcal),+2%,21,+2%,10,+11%,69,+2%,39,+8%,"4,8",-3%,"0,83",+7%,"0,332",+7%,24,+6%,E,+6%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,"['Gluten', 'Lait', 'Soja']",,,,,,,"['E501ii - Carbonate acide de potassium', ""E503ii - Carbonate acide d'ammonium"", 'E322i - Lécithine']",['Huile de palme'],4,,,
12,Limonade,3168311710012,,,,['France'],[],[],,,,,,,,,?,,34,,142 kj(34 kcal),,0,,0,,"7,5",,"7,5",,0,,0,,0,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,
13,Lays saveur barbecue,3168770007432,,,,['France'],[],[],,,,,,,,,?,,522,,2184 kj(522 kcal),,32,,"2,6",,52,,"4,4",,"6,4",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,
14,Nature - Lay's,3168930000037,B,"[""Lay's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre']",['France'],[],['Sans huile de palme'],34 g,en quantité élevée,2.7 g,en quantité modérée,0.3 g,en faible quantité,1.3 g,en quantité modérée,?,,541,+2%,2264 kj(541 kcal),+2%,34,+4%,"2,7",-13%,52,+1%,"0,3",-79%,"6,1",+2%,"1,3",0%,"0,52",0%,13,+15%,D,+15%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,"['Sans colorants artificiels', 'Sans conservateurs', 'en:palm-oil-free']",,,,,,,,,,,,,
15,Biscuits souffles,3168930002451,,,,['France'],[],[],,,,,,,,,?,,452,,1891 kj(452 kcal),,16,,2,,68,,"2,5",,"8,2",,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,,
16,Benenuts,3168930003908,,['Benenuts'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Oats petales d'avoine croustillants - Quaker,3168930004127,,['Quaker'],,['France'],"[""Farine d'avoine "", '63%', 'sucre', 'maïs ', 'farine et gruau', 'malt ', ""d'orge"", 'sel', 'antioxydants ', 'palmitate', "" d'ascorbyle"", 'tocophérols', 'acide citrique']",[],,,,,,,,,?,,381,,1594 kj(381 kcal),,"4,6",,"0,7",,"73,1",,"24,1",,"10,4",,"1,2",,"0,48",,,,,,,,,,,,,,"['Gluten', 'Avoine']",,,,,,,['E330 - Acide citrique'],,,,,
18,Cruesli chocolat - Quaker,3168930004844,,['Quaker'],,['France'],[],[],,,,,,,,,?,,456,,1908 kj(456 kcal),,20,,"5,6",,57,,17,,"7,8",,"0,49",,"0,196",,,,,,,,,,,,,,,,,,,,,,,,,,
19,"P'tits craquants ""Pesto"" - Bénénuts - 75g.",3168930005698,B,"['Bénénuts', 'PepsiCo']","['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",['France'],"['farine de blé - huile de tournesol - sucre - sirop de glucose inverti - protéines de lait - aromates 2,4% ', 'basilic', 'ail', ""huile d'olive"", "" - arômes - régulateurs d'acidité: chlorure de potassium"", ""chlorure de calcium - agent levant: bicarbonate de sodium - émulsifiants: mono et diglycérides d'acides gras - sel""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",21 g,en quantité élevée,2.5 g,en quantité modérée,7.5 g,en quantité modérée,1.78 g,en quantité élevée,?,,?,,2029 kj(485 kcal),+4%,21,+6%,"2,5",-54%,64,+8%,"7,5",+91%,8,-19%,"1,778",-11%,"0,711",-11%,13,-16%,D,-16%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,"['Gluten', 'Lait']",biscuits apéritifs arôme pesto,75 g.,"['Poche', 'Plastique']",,,,"['E500ii - Carbonate acide de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",,4,['Géant Casino'],,
20,Saveur Barbecue - Lay's - 120g,3168930005919,B,"[""Lay's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées', 'Chips barbecue', ""Chips de pommes de terre à l'huile de tournesol""]",['France'],"['Pommes de terre', 'huile de tournesol ', '33%', 'base aromatisante barbecue ', 'sucre', 'arômes ', 'contient du soja', 'chapelure ', 'de blé', 'exhausteur de goût ', 'glutamate de sodium', 'paprika', ""poudre d'oignon"", 'poudre de tomate', ""poudre d'ail"", ""régulateurs d'acidité "", 'acide citrique', 'acide malique', 'colorant ', 'extrait de paprika', 'arômes de fumée', 'sel']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",33 g,en quantité élevée,3.5 g,en quantité modérée,3 g,en faible quantité,1.27 g,en quantité modérée,2290,+4%,?,,2290 kj(547 kcal),+4%,33,+4%,"3,5",+22%,54,+4%,3,+2%,"6,5",+4%,"1,27",-7%,"0,508",-7%,10,-11%,C,-11%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,"['Sans colorants artificiels', 'Sans colorants', 'Sans conservateurs', 'en:palm-oil-free']","['Gluten', 'Soja']",Chips de pomme de terre saveur barbecue,120 g,"['Sachet', 'Plastique']",,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E296 - Acide malique', 'E160c - Extrait de paprika']",,4,,,
21,Barbecue - Lay's - 220g,3168930005926,B,"[""Lay's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées', 'Chips barbecue']",['France'],[],[],33 g,en quantité élevée,3.5 g,en quantité modérée,3 g,en faible quantité,1.3 g,en quantité modérée,2290,+4%,?,,2290 kj(547 kcal),+4%,33,+4%,"3,5",+22%,54,+4%,3,+2%,"6,5",+4%,"1,3",-5%,"0,52",-5%,10,-11%,C,-11%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,220g,"['Sachet', 'Plastique']",,,,,,,,,
22,Saveur Spicy - lay's - 120g,3168930006008,B,"[""lay's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,120g,"['Sachet', 'Plastique']",,,,,,,,,
23,Lays - Saveur Fromage - Lay's - 120g,3168930006015,B,"[""Lay's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées', ""Chips de pommes de terre à l'huile de tournesol""]",['France'],"['Pomme de terre', 'huile de tournesol ', '33%', 'base aromatisante fromage ', 'arômes ', 'dont petit lait en poudre', 'fromage en poudre', 'lactose et dérivés du lait', 'glucose de blé', 'exhausteurs de goût ', 'glutamate monosodique', 'guanylate et inosinate disodiques', 'sucres', 'colorant ', 'extrait de paprika', 'sel']","['Sans huile de palme', 'Non végétalien']",33 g,en quantité élevée,3.5 g,en quantité modérée,3 g,en faible quantité,1.96 g,en quantité élevée,2290,+4%,?,,2290 kj(547 kcal),+4%,33,+3%,"3,5",+19%,54,+5%,3,+29%,"6,5",+6%,"1,956",+37%,"0,782",+37%,13,+14%,D,+14%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,"['Sans colorants', 'Sans conservateurs', 'en:palm-oil-free', 'Sans colorant articifiel']",['Lait'],Chips de pomme de terre goût fromage,120 g,['Sachet plastique'],,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E160c - Extrait de paprika']",,4,,,
24,Chips Saveur Bolognaise - Lay's - 120g,3168930006466,B,"[""Lay's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées', 'Chips bolognaise', ""Chips de pommes de terre à l'huile de tournesol""]",['France'],"['Pommes de terre', 'huile de tournesol ', '34%', 'base aromatisante saveur bolognaise ', 'lactosérum en poudre ', 'lait', 'arômes ', 'dont paprika', 'persil', 'oignon', 'poivre noir', 'piment', 'tomate et origan', 'en poudre', 'sucre', 'chlorure de potassium', ""correcteur d'acidité "", 'acide citrique', 'arôme de fumée', 'sel']","['Sans huile de palme', 'Non végétalien']",34 g,en quantité élevée,3.5 g,en quantité modérée,3 g,en faible quantité,1.22 g,en quantité modérée,2310,+3%,?,,2310 kj(552 kcal),+3%,34,+2%,"3,5",+20%,54,+5%,3,+33%,6,-1%,"1,219",-12%,"0,488",-12%,10,-9%,C,-9%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,"['Sans colorants artificiels', 'Sans colorants', 'Sans conservateurs', 'en:palm-oil-free']",['Lait'],Chips de pomme de terre saveur bolognaise,120 g,['Sachet plastique'],,,,['E330 - Acide citrique'],,4,,,
25,Fritelle goût nature (lot de 2) - Bénénuts,3168930006749,B,['Bénénuts'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'Biscuits apéritifs soufflés']",['France'],[],[],,,1.2 g,en faible quantité,1 g,en faible quantité,2.4 g,en quantité élevée,?,,444,-10%,1858 kj(444 kcal),-9%,?,,"1,2",-62%,?,,1,-71%,"7,3",-2%,"2,4",+19%,"0,96",+19%,,,,,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,,"['Sachet', 'Plastique']",,,,,,,,,
26,Chips Paysannes Nature - Lay's - 145g,3168930007388,B,"[""Lay's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips paysannes']",['France'],"['Pommes de terre', 'huiles végétale ', 'tournesol', 'colza', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",38 g,en quantité élevée,3.1 g,en quantité modérée,0.5 g,en faible quantité,1.5 g,en quantité modérée,2446,+8%,?,,2446 kj(585 kcal),+8%,38,+11%,"3,1",-1%,52,+2%,"0,5",-17%,"6,2",+6%,"1,5",+23%,"0,6",+23%,12,+18%,D,+18%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,"['Sans colorants artificiels', 'Sans conservateurs', 'en:palm-oil-free']",,Chips de pommes de terre paysannes goût Nature,145 g,"['Sachet', 'Plastique']",,,,,,3,,,
27,Saveur Provençale Poivrons grillés (Edition Limitée) - Lay's - 120g,3168930007586,B,"[""Lay's"", 'PepsiCo']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées', ""Chips de pommes de terre à l'huile de tournesol""]",['France'],"['Pommes de terre ', '60 %', 'huile de tournesol ', '34 %', 'assaisonnement poivrons grillés ', '6 %', ""\rL'assaisonnement poivrons grillés contient : petit-lait en poudre"", 'sel', 'sucre', 'oignon', 'paprika', 'tomate', 'ail et fromage en poudre', 'de lait', 'exhausteurs de goût ', 'glutamate monosodique', 'guanylate disodique', 'arômes', 'chlorure de potassium', 'poivron', 'épices et herbes', 'colorants ', 'extrait de paprika', 'rocou']","['Sans huile de palme', 'Non végétalien']",34 g,en quantité élevée,3.5 g,en quantité modérée,2.3 g,en faible quantité,1.2 g,en quantité modérée,2310,+5%,?,,2310 kj(552 kcal),+5%,34,+6%,"3,5",+19%,53,+3%,"2,3",-1%,"6,5",+6%,"1,2",-16%,"0,48",-16%,11,-4%,D,-4%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,"['Sans colorants', 'Sans conservateurs', 'Sans colorants artificiels', 'en:palm-oil-free', 'Info-Tri Point Vert']",['Lait'],Chips de pomme de terre goût poivrons grillés,120 g,['Sachet plastique à jeter'],"['France', 'Belgique', 'Allemagne']",,http://www.lays.fr/provencale.html,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E627 - Guanylate disodique', 'E508 - Chlorure de potassium', '', 'Risque modéré de sur-exposition', 'E160c - Extrait de paprika', 'E160b - Rocou']",,4,['Banque alimentaire'],,
28,Apéro Cracks Fins & Croustillants goût Nature - Benenuts - 90g,3168930007715,B,['Benenuts'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",['France'],"['Farine de blé', 'flocons de pommes de terre ', 'dont sulfites', 'huile de tournesol 16%', 'sirop de glucose', 'amidon de pomme de terre', 'maltodextrine', 'sel', 'poudres à lever ', 'bicarbonate de sodium', 'pyrophosphate de sodium', ""correcteur d'acidité "", 'phosphate de calcium', 'émulsifiant ', 'lécithine de soja']",['Sans huile de palme'],18 g,en quantité modérée,2.4 g,en quantité modérée,6.5 g,en quantité modérée,2.4 g,en quantité élevée,1897,-5%,?,,1897 kj(453 kcal),-3%,18,-10%,"2,4",-56%,64,+8%,"6,5",+66%,"6,5",-34%,"2,4",+20%,"0,96",+20%,15,-3%,D,-3%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,"['Gluten', 'Soja', 'Anhydride sulfureux et sulfites']",Crackers goût nature,90 g,['Carton'],,,,"['E500ii - Carbonate acide de sodium', 'E450i - Pyrophosphate de sodium acide', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine']",,4,,,
29,Nature (Maxi Format) - Lay's - 360g,3168930007722,B,"[""Lay's"", 'PepsiCo']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre']",['France'],"['Pommes de terre', 'huiles végétales 34 % ', 'tournesol', 'colza', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",34 g,en quantité élevée,2.7 g,en quantité modérée,0.3 g,en faible quantité,1.3 g,en quantité modérée,2256,+2%,?,,2256 kj(539 kcal),+2%,34,+4%,"2,7",-13%,52,+1%,"0,3",-79%,"6,1",+2%,"1,3",0%,"0,52",0%,9,-20%,C,-20%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,"['Sans colorants artificiels', 'Sans colorants', 'Sans conservateurs', 'en:palm-oil-free', 'Info-Tri Point Vert']",,Chips de pommes de terre goût nature,360 g,"['Sachet plastique à jeter', 'Sous atmosphère protectrice']",,,http://www.lays.fr/nature.html,,,3,,,
30,Chips à l'Ancienne Nature (Maxi Format) - Lay's - 360g,3168930007739,B,"[""Lay's"", 'PepsiCo']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', ""Chips à l'ancienne""]",['France'],"['Pommes de terre', 'huiles végétales 39 % ', 'tournesol', 'colza', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",39 g,en quantité élevée,3.1 g,en quantité modérée,0.4 g,en faible quantité,1.3 g,en quantité modérée,2438,+4%,?,,2438 kj(583 kcal),+5%,39,+5%,"3,1",-6%,51,+4%,"0,4",-43%,6,+6%,"1,3",-2%,"0,52",-2%,11,-5%,D,-5%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,"['Sans colorants artificiels', 'Sans colorants', 'Sans conservateurs', 'en:palm-oil-free', 'Info-Tri Point Vert']",,Chips de pommes de terre à l'ancienne goût nature,360 g,"['Sachet plastique à jeter', 'Sous atmosphère protectrice']",,,http://www.lays.fr/ancienne_nature.html,,,3,['Banque alimentaire'],,
31,Chips saveur Barbecue (format foot) - lay's - 360g,3168930007753,B,"[""lay's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,,,,360 g,"['Sachet', 'Plastique']",,,,,,,,,
32,Saveur Poulet rôti - Lay's,3168930007760,B,"[""Lay's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de pommes de terre', 'Chips de pommes de terre aromatisées', 'Chips au poulet']",['France'],[],['Sans huile de palme'],32 g,en quantité élevée,2.7 g,en quantité modérée,2.2 g,en faible quantité,1.5 g,en quantité modérée,?,,533,+0%,2230 kj(533 kcal),0%,32,-2%,"2,7",-8%,52,+2%,"2,2",+21%,"6,4",+3%,"1,5",+4%,"0,6",+4%,10,-9%,C,-9%,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,"['Sans colorants artificiels', 'Sans colorants', 'Sans conservateurs', 'en:palm-oil-free']",,,,,,,,,,,,,
33,Apéro Cracks Maxi Craquants goût Nature - Bénénuts - 90g,3168930007852,B,['Bénénuts'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",['France'],"['Farine de blé', 'huile de tournesol ', '16 %', 'sirop de glucose', 'amidon de maïs modifié', 'farine de maïs', ""flocons d'avoine"", 'amidon de pomme de terre', 'son de blé', 'germe de blé', 'sel', 'poudre à lever ', 'bicarbonate de sodium', ""correcteur d'acidité "", 'phosphate de calcium', 'émulsifiant ', 'lécithine de soja', 'poudre de levure', 'sucre']","['Sans huile de palme', 'Végétalien', 'Végétarien']",17 g,en quantité modérée,1.5 g,en quantité modérée,11 g,en quantité modérée,1.8 g,en quantité élevée,?,,444,-4%,1858 kj(444 kcal),-5%,17,-15%,"1,5",-72%,63,+6%,11,+181%,"6,8",-31%,"1,8",-10%,"0,72",-10%,12,-22%,D,-22%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,"['Gluten', 'Avoine', 'Soja']",Crackers,90 g,['Carton'],,,,"['E500ii - Carbonate acide de sodium', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine']",,4,['Carrefour'],,
