,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,labels,markets,generic_name,packaging,additives,allergens,nova_score,traceability_code,ingredients_origins,manufacturing,link,palm_ingredients,brand_owner
22,Nouille de riz,7290016233971,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Schwangeren und Stillsaft - Alete,4251099603269,,,['France'],[],[],,,,,,,,,?,,49,,205 kj(49 kcal),,"0,1",,0,,"11,7",,"10,8",,"0,2",,"0,03",,"0,012",,,,,,,,,,,,,,['Alete'],,,,,,,,,,,,,
24,riz intégral,4632,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Choucroute à cuisiner - Carrefour - 1kilo,3661632015045,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,1 kilo,['Carrefour'],,['Carrefour'],,,,,,,,,,,
26,Chili sin carne vegan -,3760253960137,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Plats préparés', ""Plats préparés d'origine végétale"", 'Chili sin carne']",['France'],"['Maïs ', '12 %', 'haricots rouges ', '12%', 'pommes de terre ', '12%', 'haricots uerts ', '12%', 'tomates ', '12%', 'carottes', 'poiurons', 'oignons', 'ail', 'piment', 'cumin', 'paprika', 'sucre', 'origan', 'sel']","['Végétalien', 'Végétarien']",2 g,en faible quantité,0.3 g,en faible quantité,2.3 g,en faible quantité,0.5 g,en quantité modérée,?,,85,-20%,356 kj(85 kcal),-20%,2,-41%,"0,3",-29%,12,-14%,"2,3",-14%,"3,7",-30%,"0,5",-36%,"0,2",-36%,1,,B,,,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien', 'Sans additifs', 'Sans lactose', 'Sans conservateurs', 'Nutriscore', 'Nutriscore A']",,,,,,3,"['FR 76.217.253 CE', 'Dieppe (Seine-Maritime, France)']",,,,,
27,Gorobcink cink,4820096190173,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,viande hachée pur boeuf,3700502708721,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Skittles,0064900429613,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['France'],[],[],9.38 g,en quantité modérée,9.38 g,en quantité élevée,72.5 g,en quantité élevée,1 g,en quantité modérée,?,,160,-55%,669 kj(160 kcal),-55%,"9,375",+404%,"9,375",+784%,"92,5",+11%,"72,5",+25%,0,-100%,1,+726%,"0,4",+726%,24,+67%,E,+67%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,,,
30,spice sensation couscous,5050665005945,,,"['Australie', 'France']",[],[],,,,,,,,,?,,137,,573 kj(137 kcal),,"1,6",,"0,2",,"24,5",,"2,3",,5,,"0,75",,"0,3",,,,,,,,,,,,,,,,"['Woolworths', 'Coles']",,,,,,,,,,,
31,Bonbon,8436014441140,,,['France'],[],[],,,,,,,,,?,,255,,1067 kj(255 kcal),,0,,0,,"60,71",,"47,09",,"3,14",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Chocolate Tequila Jose Cuervo - Turin,0756774061692,,,['France'],[],[],,,,,,,,,?,,170,,711 kj(170 kcal),,70,,"4,6",,"0,3",,"0,3",,"1,2",,0,,0,,,,,,,,,,,,,,['Turin'],,,,,,,,,,,,,
33,Banania,09835146,,,['France'],[],['Sans huile de palme'],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Banania'],['en:palm-oil-free'],,,,,,,,,,,,
34,chocolat,4043651159907,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats']",['France'],[],[],31.9 g,en quantité élevée,20 g,en quantité élevée,54.9 g,en quantité élevée,0.2 g,en faible quantité,?,,543,-2%,2272 kj(543 kcal),-1%,"31,9",-12%,20,-5%,"55,6",+21%,"54,9",+34%,"7,1",-2%,"0,2",+44%,"0,08",+44%,26,+11%,E,+11%,,,,,,,,,,['Bio'],,,,,,,,,,,,
35,100% pure whey - BiotechUSA,5999076217304,,,['France'],[],[],,,,,,,,,?,,385,,1611 kj(385 kcal),,"5,5",,"3,9",,5,,"3,8",,78,,"0,8",,"0,32",,,,,,,,,,,,,,['BiotechUSA'],['en:gluten-free'],,,,,,,,,,,,
36,Tartelettes Poires,0202278015094,D,"['Tartes', 'Tartelettes', 'Tartelettes aux fruits', 'Biscuit sec nappé aux fruits', 'Tartelettes à la poire']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.8%,8.2%,3.7%,2.3%,2.0%,0.0%,53,,,,,,,,,,,,,,,
37,Ricotta - Galbani - 250g,10003374,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Au lactoserum']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,250 g,['Galbani'],,,,['pot plastique'],,,,,,,,,
38,Akkaymak Yogurt,8714222500126,,,"['Belgique', 'France']",[],[],,,,,,,,,?,,53,,222 kj(53 kcal),,"3,8",,0,,"4,8",,0,,"3,4",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Kaffee Sahre - 250g,40273914,,,['France'],[],[],,,,,,,,,?,,118,,494 kj(118 kcal),,10,,"6,5",,4,,4,,"3,1",,"0,1",,"0,04",,,,,,,,,,,,,250 g,,,,,,,,,,,,,,
40,Crema spalmabile nocciole - Selex,80674047,,,['France'],[],[],,,,,,,,,?,,528,,2209 kj(528 kcal),,"29,2",,10,,"58,4",,57,,"6,1",,"0,13",,"0,052",,,,,,,,,,,,,,['Selex'],['en:gluten-free'],,,,,,,,,,,,
41,Nougat au miel de corse - Charles Antona,3425471401021,,,['France'],[],[],,,,,,,,,?,,30,,126 kj(30 kcal),,"14,5",,"7,09",,"66,8",,"53,4",,"9,2",,"0,11",,"0,044",,,,,,,,,,,,,,['Charles Antona'],,,,,,,,,,,,,
42,Amande sucré au sésame - Boy-maury - 200gr,3301221900191,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,200 gr,['Boy-maury'],,,,,,,,,,,,,
43,Nocciolato,8017596019820,,,"['France', 'Italie']",[],[],,,,,,,,,?,,565,,2364 kj(565 kcal),,"38,5",,"8,9",,"40,9",,"38,9",,"7,3",,"0,06",,"0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,
44,crème brûlée  caramel craquant,5983250919870,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Magret du canard Sud-Ouesr cru,2600156049922,,,['France'],[],[],,,,,,,,,?,,349,,1460 kj(349 kcal),,"29,7",,"10,5",,"0,7",,"0,6",,"19,6",,"3,76",,"1,504",,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Filets de poulet bio x2,0224019056616,C,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,"['FR 40.282.001 CE', 'Saint-Sever (Landes, France)']",,,,,
47,Fuchs Steakwürzer,40298016,,,['France'],[],[],,,,,,,,,?,,257,,1075 kj(257 kcal),,"7,3",,"0,9",,"33,9",,24,,"9,8",,"30,1",,"12,04",,,,,,,,,,,,,,['Fuchs'],,,,,,,,,,,,,
