,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,labels,markets,generic_name,packaging,additives,allergens,nova_score,traceability_code,ingredients_origins,manufacturing,link,palm_ingredients,brand_owner
58,Nectar de Cerises,3475752010046,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de cerise']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,,,
59,"Milchbrei, Keks - Bebivita",4018852004370,,,['France'],[],[],,,,,,,,,?,,428,,1791 kj(428 kcal),,"10,8",,3,,69,,35,,"12,7",,"0,45",,"0,18",,,,,,,,,,,,,,['Bebivita'],,,,,,,,,,,,,
60,Farfalle pomodoro e basilico 250 gr,8033275322289,,,['France'],[],[],,,,,,,,,?,,363,,1519 kj(363 kcal),,"1,5",,"0,2",,74,,"4,1",,12,,"0,075",,"0,03",,,,,,,,,,,,,,,['Fabriqué en Italie'],,,,,,,,,,,,
61,Pain à la grecque - Maison Dandoy,5425013629201,,,['France'],[],[],,,,,,,,,?,,409,,1711 kj(409 kcal),,"10,8",,7,,70,,"44,6",,"7,3",,"0,6",,"0,24",,,,,,,,,,,,,,['Maison Dandoy'],,,,,,,,,,,,,
62,Hazelnut Chocolate spread - Asda,5054073045784,,['Hazelnut & Chocolate spreads'],['France'],[],[],7.2 g,en quantité modérée,1.4 g,en faible quantité,54.6 g,en quantité élevée,0.01 g,en faible quantité,?,,114,-77%,477 kj(114 kcal),-77%,"7,2",-79%,"1,4",-80%,"56,2",+17%,"54,6",+53%,"3,2",-40%,"0,01",-88%,"0,004",-88%,12,-34%,D,-34%,,,,,,,,,['Asda'],,['Asda'],,,,,,,,,,,
63,Chocolat noir éclats de fèves - Le Chocolatier Ivoirien - 100g,6186000355259,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats noirs aux fèves de cacao']",['France'],"['80% Pâte de cacao', '5% Pur beurre de cacao', '4% Eclats de fèves de cacao', '10% Cassonade', '1% Vanille naturelle']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,100 g,['Le Chocolatier Ivoirien'],,,,,,,3,,,,,,
64,Pomme bio,4388810013653,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'DE-ÖKO-003']",,,,,,,,,,,,
65,Chocolat noir vanille - Le Chocolatier Ivoirien - 100g,6186000355051,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['France'],"['80% Pâte de cacao', '7% Pur beurre de cacao', '10% Cassonade', '3% Vanille naturelle']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,100 g,['Le Chocolatier Ivoirien'],,,,,,,3,,,,,,
66,Saucisson de cheval,2455547029195,,,['France'],[],[],,,,,,,,,?,,280,,1172 kj(280 kcal),,"25,5",,"9,37",,"1,9",,"0,2",,"12,4",,"2,06",,"0,824",,,,,,,,,,,,,,,,,,,,,,"['FR 27.656.001 CE', 'Toutainville (Eure, France)']",,,,,
67,"Poivron Rouge Bocal, - Frami",5601256803350,,,['France'],[],[],,,,,,,,,?,,44,,184 kj(44 kcal),,"0,6",,"0,1",,7,,"2,1",,"1,6",,"0,5",,"0,2",,,,,,,,,,,,,,['Frami'],,,,,,,,,,,,,
68,0200530058384,0200530058384,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Melange mexicain,2600692024278,,,['France'],[],[],,,,,,,,,?,,524,,2192 kj(524 kcal),,"32,2",,"6,4",,"37,5",,"2,5",,"17,2",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Pains au chocolat 3 meuniers,0208872018370,D,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",['France'],[],[],27 g,en quantité élevée,18 g,en quantité élevée,12 g,en quantité modérée,0.7 g,en quantité modérée,?,,436,+10%,1824 kj(436 kcal),+10%,27,+23%,18,+35%,40,-5%,12,0%,"7,97",+11%,"0,7",-22%,"0,28",-22%,20,+2%,E,+2%,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,,,,,,,,,,,,,
71,Crystal jus exotique,0626570611554,,,['France'],[],[],,,,,,,,,?,,46,,192 kj(46 kcal),,"0,2",,"0,1",,11,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Bonbon,8436014443991,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['France'],[],[],0.07 g,en faible quantité,0.05 g,en faible quantité,44.4 g,en quantité élevée,0.02 g,en faible quantité,?,,253,-29%,1059 kj(253 kcal),-29%,"0,07",-96%,"0,05",-95%,"60,18",-28%,"44,4",-23%,"3,1",+46%,"0,02",-83%,"0,008",-83%,12,-17%,D,-17%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,"['en:gluten-free', 'Halal']",,,,,,,,,,,,
73,Poulet fermier bio pac st sans abats s/f,2268453120241,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,
74,Huile bio de colza - A la ferme - 1L,3760201264003,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de colza']",['France'],[],[],,,,,,,,,?,,0,-100%,0 kj(0 kcal),-100%,?,,,,?,,,,?,,,,,,,,,,89.1%,2.2%,4.4%,2.1%,2.2%,0.0%,55,1 L,['A la ferme'],"['Bio', 'Bio européen']",,,,,,,,,,,,
