,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,nutriment_salt_tr,nutriment_sodium_tr,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,labels,ingredients_origins,manufacturing,markets,additives,allergens,nova_score,traceability_code,generic_name,palm_ingredients,link
0,Pain au comte,0204667011151,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,,,,,,,,
1,Galette brioches 6pers - Leclerc,0204669027556,,,['France'],"['eau', ' monohydratéet farino do chicotée 107']",[],,,,,,,?,,291,,1218 kj(291 kcal),,"9,4",,"5,2",,42,,"8,5",,"8,5",,,,,,,,,['Leclerc'],"1,3","0,52",,,,,,,,,,,,,,,,,,,,,
2,Moelleux chocolat 6/8P decongele,0204676038378,,,['France'],[],[],,,,,,,?,,429,,1795 kj(429 kcal),,26,,16,,42,,33,,"6,5",,,,,,,,,,"0,11","0,044",,,,,,,,,,,,,,,,,,,,,
3,Maki black saumon -,0204693022305,,"['Plats préparés', 'Sushis et makis', 'Makis']",['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Pizza aux 4 fromages,0204705042642,C,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas au fromage', 'Pizzas aux quatre fromages']",['France'],[],[],8.3 g,en quantité modérée,2.8 g,en quantité modérée,1.7 g,en faible quantité,?,,211,-16%,883 kj(211 kcal),-16%,"8,3",-20%,"2,8",-50%,22,-18%,"1,7",-39%,11,-5%,73.6%,9.9%,3.3%,4.1%,1.9%,7.1%,56,,"1,3","0,52",1.3 g,en quantité modérée,+2%,+2%,4,-66%,C,-66%,,,,,,,,,,,,,
5,Saumon Farci - Picard - 1.9kg maximum,0204706328110,,"['Surgelés', 'Plats préparés', 'Plats préparés au poisson']",['France'],"['Saumon Atlantique entier qualité sans arête ', 'Salmo salar ', ' poisson', ' 71,5%', ""filet de colin d'Alaska qualité sans arête* "", 'poisson', ' 8,9 %', 'saumon Atlantique qualité sans arête ', 'poisson', ' 5,9%', 'noix de Saint-Jacques ', 'Zygochlamys patagonica', 'Argentine ', 'AR', ' et/ou Etats-Unis ', 'US', ' et/ou Argopecten purpuratus', 'Pérou ', 'PE', ' et/ou Chlamys albidus', 'Russie ', 'RU', ' ', ' mollusque', ' 5,4 %', 'huile de tournesol', ""blanc d'œuf liquide pasteurisé "", ""blanc d'œuf"", 'stabilisants : gomme guar', 'gomme xanthane', 'carotte', 'oignon', 'eau', 'persil', 'sel', ""huile d'olive"", 'ail', 'poivre', 'sel', 'décor 1,1 % ', 'gélifiant : alginate de sodium', 'stabilisants ', 'sulfate de calcium', 'diphosphates', 'acidifiant : acide citrique', 'conservateur : sorbate de potassium', 'colorants ', 'extrait de paprika', 'complexes cuivre-chlorophylles et cuivre-chlorophyllines', 'ciboulette', 'gélatine de poisson', 'eau']","['Non végétalien', 'Non végétarien']",15 g,en quantité modérée,2.2 g,en quantité modérée,0.2 g,en faible quantité,?,,207,+16%,866 kj(207 kcal),+20%,15,+44%,"2,2",-19%,"0,4",-95%,"0,2",-87%,18,+93%,,,,,,,,['Picard'],"0,72","0,288",0.72 g,en quantité modérée,-30%,-30%,2,-58%,B,-58%,1.9 kg maximum,"['surgelé', 'Carton', 'boîte']",['Fabriqué en France'],"['États-Unis', 'Argentine', 'Pérou', 'Russie']",['France'],['Picard'],"['E407a - Algues euchema transformées', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E401 - Alginate de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E160c - Extrait de paprika', 'E141i - Complexes cuivriques de chlorophylles', 'E141ii - Sels de sodium et de potassium de complexes cupriques de chlorophyllines', 'E428 - Gélatine']","['Œufs', 'Poisson', 'Mollusques']",4,,,,
6,Saumon farci,0204706354416,,,['France'],[],[],,,,,,,?,,207,,866 kj(207 kcal),,15,,"2,2",,"0,4",,"0,2",,18,,,,,,,,,,"0,72","0,288",,,,,,,,,,,,,,,,,,,,,
7,Saumon farci,0204706374629,,,['France'],[],[],,,,,,,?,,862,,3607 kj(862 kcal),,15,,"2,2",,"0,4",,"0,2",,18,,,,,,,,,,"0,72","0,288",,,,,,,,,,,,,,,,,,,,,
8,Edam tendre IGP,0204715010952,,,['France'],[],[],,,,,,,?,,321,,1343 kj(321 kcal),,24,,16,,0,,0,,26,,,,,,,,,,"2,5",1,,,,,,,,,,,,,,,,,,,,,
9,Mimolette vieille label rouge,0204722020920,,,['France'],[],[],,,,,,,?,,390,,1632 kj(390 kcal),,28,,19,,"1,5",,"1,5",,33,,,,,,,,,,3,"1,2",,,,,,,,,,,,,,,,,,,,,
10,Tomme noire des Pyrénées,0204726028861,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Produits de montagne', 'Fromages de montagne', 'Tommes', 'Tomme des Pyrénées', 'Tomme noire des Pyrénées']",['France'],[],[],28 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,?,,346,+0%,1448 kj(346 kcal),+1%,28,-0%,20,+1%,"1,5",+29%,0,-100%,22,+7%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,"1,8","0,72",1.8 g,en quantité élevée,+1%,+1%,16,0%,D,0%,,,,,,,,,,,,,
11,Pain vitalité,0204747009849,,,['France'],[],[],,,,,,,?,,307,,1284 kj(307 kcal),,"7,8",,"1,3",,45,,10,,12,,,,,,,,,,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,
12,Curry d'émincés de poulet -,0204801019296,D,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Poulets', 'Volailles cuites', 'Plats à la volaille', 'Poulets cuisinés', 'Plats au poulet', 'Poulets au curry']",['France'],[],[],6.2 g,en quantité modérée,3.9 g,en quantité modérée,3 g,en faible quantité,?,,108,-21%,452 kj(108 kcal),-17%,"6,2",+35%,"3,9",+115%,"5,5",-60%,3,+67%,"6,7",-6%,80.4%,13.1%,1.9%,2.8%,1.1%,0.8%,36,,"0,88","0,352",0.88 g,en quantité modérée,+14%,+14%,3,+119%,C,+119%,,,,,,,,,,,,,
13,Salade wakame,0204801019357,,,['France'],[],[],,,,,,,?,,92,,385 kj(92 kcal),,"3,7",,0,,22,,0,,"1,6",,,,,,,,,,"0,54","0,216",,,,,,,,,,,,,,,,,,,,,
14,Salade au choux,0204802007674,,,['France'],[],[],,,,,,,?,,77,,322 kj(77 kcal),,"1,3",,"0,2",,12,,"6,4",,"3,3",,,,,,,,,,"3,6","1,44",,,,,,,,,,,,,,,,,,,,,
15,Quatro kiwi ananas fraise,0204826023421,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Lou perac goustal,0204826061737,,,['France'],"['Fromage de brebis au LAIT pasteurisé ', 'LAIT', 'crème pasteurisée de brebis', 'sel', 'ferments lactiques', 'présure', 'chlorure de calcium', 'colorant de croûta ', 'caramel', ',']",['Non végétalien'],,,,,,,?,,361,,1510 kj(361 kcal),,33,,24,,0,,0,,16,,,,,,,,,['Lou Perac'],"1,6","0,64",,,,,,,,,,,,,,,['E150 - Caramel'],['Lait'],4,,,,
17,Crabe royal cru décortiqué,0204832213717,,,['France'],[],[],,,,,,,?,,73,,305 kj(73 kcal),,1,,"0,2",,"0,8",,"0,4",,16,,,,,,,,,,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,
18,Crabe royal cru decortiqué,0204832288821,,,['France'],[],[],,,,,,,?,,73,,305 kj(73 kcal),,1,,"0,2",,"0,8",,"0,5",,16,,,,,,,,,,"1,4","0,56",,,,,,,,,,,,,,,,,,"['FR 62.894.101 CE', 'Wimille (Pas-de-Calais, France)']",,,
19,Tarte multifruits,0204833053138,,,['France'],[],[],,,,,,,?,,171,,715 kj(171 kcal),,"4,5",,"2,9",,29,,16,,"2,7",,,,,,,,,,"0,27","0,108",,,,,,,,,,,,,,,,,,,,,
20,Baguette de caractere - Leclerc,0204844005386,,,['France'],"['INGREOIENTS ', ' caractére : eau', "": • Far ine de fronent' 35'5% raines "", 'Lin', "" Tournesol' SESÊhE"", ""' FARINE OE SEIGLE"", 'BLE', 'sel ', '3,69', ""FARINE O'ÊUOINE prégélatinisée"", ""FIBRES OE EHtrait de d'ORGE"", 'Enulsif FÊRINE OE BLE Agent de traitenent de la far ine E300', ""Enzynes' Amylases"", '0HYdases', ' Cél lulases', "" Traces de LAIT' OEUFS"", 'SOJA et LUPIN', ': levure', ' LEUURE']",['Non végétalien'],,,,,,,?,,327,,1368 kj(327 kcal),,"7,7",,"1,1",,48,,"2,7",,13,,,,,,,,,['Leclerc'],"1,4","0,56",,,,,,,,,,,,,,,,"['Œufs', 'Gluten', 'Lupin', 'Lait', 'Soja']",,,,,
21,"Doony's Glacés - Leclerc - 0,220kg",0204858023611,B,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Donuts']",['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,['Leclerc'],,,,,,,,,,,"0,220 kg",['Plastique'],,,,,,,,,Donut glacé,,
22,Boule miche froment 400g - 400g,0204862006495,,,['France'],[],[],,,,,,,?,,0,,0 kj(0 kcal),,"1,6",,"0,4",,60,,"1,7",,11,,,,,,,,,,"1,5","0,6",,,,,,,,,400 g,,,,,,,,,,,,
23,Pain complet,0204868007540,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains complets']",['France'],[],[],1.3 g,en faible quantité,0.2 g,en faible quantité,1.5 g,en faible quantité,?,,274,+9%,1146 kj(274 kcal),+9%,"1,3",-62%,"0,2",-63%,50,+17%,"1,5",-59%,12,+37%,,,,,,,,,"1,7","0,68",1.7 g,en quantité élevée,+45%,+45%,5,+653%,C,+653%,,,,,,,,,,,,,
24,Saint Necter - E.Leclerc,0204873030502,,,['France'],"['16300 E', 'Leclerc@ RAYON FROMAGE ST NECTAIRE FERMIER St Nectaire Fermisr ', 'LAIT cru de présure', 'ferments uache', 'France', 'sel', 'lactiques', 'Fromage au LAIT CRU de vache -AOP', 'Comptoir de', 'produit soumis à la dessication', 'Fabriqué à la ferme affiné par Les Fromageries occitanes -Ueillac-15270 Lanobre', 'Soruico consommateurs:LF0 SAR -3129C Uiilefranche de Laraugais', ' ConservAion entre OOC ot49C', ' 100 Valaurg nutritionnallag mo gnng8']",['Non végétalien'],,,,,,,?,,344,,1439 kj(344 kcal),,22,,20,,1,,"0,5",,22,,,,,,,,,['E.Leclerc'],"1,1","0,44",,,,,,,,,,,,,,,['E270 - Acide lactique'],['Lait'],,,,,
25,Poitrine de porc avec is,0204875023816,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,['pièce'],,,,,,,,,,,
26,Salade alaska,0204879014230,,,['France'],[],[],,,,,,,?,,162,,678 kj(162 kcal),,11,,"0,9",,10,,"4,6",,"3,9",,,,,,,,,,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,
27,Pain crocodile 400g - 400g,0204883005255,,,['France'],[],[],,,,,,,?,,303,,1268 kj(303 kcal),,"1,6",,"0,4",,60,,"1,7",,11,,,,,,,,,,"1,5","0,6",,,,,,,,,400 g,,,,,,,,,,,,
28,Queues de langouste blanche crue,0204889317482,E,"['Produits de la mer', 'Crustacés', 'Langoustes', 'Queues de langoustes']",['France'],[],[],0.7 g,en faible quantité,0.2 g,en faible quantité,0.5 g,en faible quantité,?,,85,-7%,356 kj(85 kcal),-6%,"0,7",-19%,"0,2",+14%,"0,5",-35%,"0,5",+172%,"19,3",0%,88.4%,0.0%,2.5%,6.2%,1.2%,1.6%,18,,"0,76","0,304",0.76 g,en quantité modérée,+18%,+18%,-1,,A,,,,,,,,,,,,,,
29,Petit jambon  degouge,0204906022634,,,['France'],[],[],,,,,,,?,,177,,741 kj(177 kcal),,"9,9",,"3,6",,0,,0,,22,,,,,,,,,,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,
30,MAASDAM MOULIN D'OR,0204907020202,,,['France'],[],[],,,,,,,?,,356,,1490 kj(356 kcal),,27,,19,,0,,0,,32,,,,,,,,,,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,
31,Pizza saumon fumé 6P -,0204908057405,,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas']",['France'],[],[],16 g,en quantité modérée,5.9 g,en quantité élevée,1.8 g,en faible quantité,?,,302,+32%,1264 kj(302 kcal),+32%,16,+91%,"5,9",+50%,23,-14%,"1,8",-39%,18,+75%,,,,,,,,,"1,9","0,76",1.9 g,en quantité élevée,+52%,+52%,16,+106%,D,+106%,,,,,,,,,,,,,
32,Merguez,0204908087822,,,['France'],[],[],,,,,,,?,,337,,1410 kj(337 kcal),,32,,14,,"0,8",,"0,8",,11,,,,,,,,,,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,
33,Pizza jambon/fromage -,0204912039299,C,"['Plats préparés', 'Produits à la viande', 'Pizzas tartes salées et quiches', 'Plats préparés à la viande', 'Pizzas', 'Plats au porc', 'Pizza jambon fromage']",['France'],[],[],11 g,en quantité modérée,5.1 g,en quantité élevée,2.4 g,en faible quantité,?,,242,+10%,1013 kj(242 kcal),+10%,11,+62%,"5,1",+50%,22,-20%,"2,4",-19%,13,+24%,65.3%,14.8%,5.7%,4.3%,2.1%,7.8%,60,,"1,8","0,72",1.8 g,en quantité élevée,+28%,+28%,15,+90%,D,+90%,,,,,,,,,,,,,
34,Amandes émondées bio - U,0204915101740,,,['France'],['Amandes émondées'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,?,,634,,2653 kj(634 kcal),,"53,4",,"4,19",,"7,85",,"4,4",,"21,1",,,,,,,,,['U'],0,0,,,,,,,,,,,['Bio'],,,['Magasins U'],,,,,,,
35,Pizza quatre fromages,0204924052156,C,"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas au fromage', 'Pizzas aux quatre fromages']",['France'],[],[],19 g,en quantité modérée,9.7 g,en quantité élevée,1.8 g,en faible quantité,?,,325,+29%,1360 kj(325 kcal),+30%,19,+83%,"9,7",+73%,24,-10%,"1,8",-36%,16,+38%,73.6%,9.9%,3.3%,4.1%,1.9%,7.1%,56,,"1,4","0,56",1.4 g,en quantité modérée,+10%,+10%,19,+62%,E,+62%,,,,,,,,,,,,,
36,Gorgonzola mascarpone,0204925017321,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages italiens', 'Gorgonzolas']",['France'],[],[],38 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,?,,400,+22%,1674 kj(400 kcal),+22%,38,+37%,23,+20%,0,-100%,0,-100%,12,-34%,84.7%,5.9%,3.1%,4.1%,1.8%,0.5%,54,,"1,7","0,68",1.7 g,en quantité élevée,+13%,+13%,16,+10%,D,+10%,,,,,,,,,,,,,
37,farce viande -,0204925050250,,"['Viandes', 'Préparations de viande', 'Préparations de viande hachée', 'Farces']",['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Fitness chocolat lait,0204928173444,,,['France'],[],[],,,,,,,?,,164,,686 kj(164 kcal),,"7,5",,"4,3",,71,,"4,3",,"8,5",,,,,,,,,,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,
39,Saucisson pur filet,0204933041851,,,['France'],[],[],,,,,,,?,,416,,1741 kj(416 kcal),,33,,12,,"1,8",,1,,28,,,,,,,,,,"4,8","1,92",,,,,,,,,,,,,,,,,,,,,
40,Petit basque pur brebis,0204933068292,,,['France'],[],[],,,,,,,?,,413,,1728 kj(413 kcal),,39,,26,,0,,0,,22,,,,,,,,,,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,
41,Sapin 2 Chocolats - E.Leclerc - 2*38g,0204948012464,E,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Frais', 'Gâteaux', 'Pâtisseries', 'Gâteaux au chocolat', 'Produits décongelés']",['France'],"['SAPIN 2 CHOCOLATS 38G ', ""Préparation sucrée à base d'huile végétale eau"", 'huile végétale de palme et palmiste', 'sucre', 'glucose', 'LAIT écrémé en poudre', 'stabilisants ', 'E420', 'E466', 'protéines de LAIT', 'émulsifiants ', 'E472b', 'lécithine de SOJA', 'E471', 'sel', 'correcteurs d‘acidité ', 'E340', 'E331', 'arômes', 'ŒUF entier', 'glaçage 12', '29% ', 'matières grasses végétales de tournesol', 'de noix de coco', 'de palmiste et beurre de cacao', 'sucre', 'cacao maigre', 'pâte de cacao', 'émulsifiant: lécithine de SOJA', 'arôme naturel de vanille', 'sucre', 'CREME UHT ', 'stabilisant: E407', 'chocolat blanc 6,54% ', 'sucre', 'beurre de cacao', 'poudre de LAIT entier', 'émulsifiant: lécithine de SOJA', 'arôme naturel de vanille', 'eau', 'chocolat de couverture de couleur foncée 5', '75% ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiant: lécithine de SOJA', 'poudre de cacao 3', '38%', 'farine de BLE ', 'dont farine de BLE malté', 'GLUTEN de BLE', 'enzymes', 'antioxydant: E300', 'préparation gélifiante ', 'sucre', 'gélatine bovine', 'amidon de pomme de terre et ou maïs', 'épaississants ', 'E415', ' E412', 'huile de tournesol', 'pâte de cacao 0,78%', 'sirop de sucre inverti', 'gel émulsifiant ', 'émulsifiants : E471', 'E475', 'eau', 'humectant : E420A ', 'BLE', 'stabilisant E1520', 'sirop de glucose', 'poudre de LAIT entier', 'gélatine de bœuf', 'décor 0,03% ', 'saccharose', 'beurre de cacao', 'colorants: E171 et E172']","['Huile de palme', 'Non végétalien', 'Non végétarien']",22 g,en quantité élevée,13 g,en quantité élevée,25 g,en quantité élevée,?,,350,+13%,1464 kj(350 kcal),+13%,22,+45%,13,+121%,31,-3%,25,+95%,"5,4",-38%,82.4%,11.4%,2.3%,2.6%,1.2%,0.0%,38,"['E.Leclerc', 'Leclerc']","0,16","0,064",0.16 g,en faible quantité,-86%,-86%,19,+31%,E,+31%,2*38 g,"['Frais', 'Barquette', 'Plastique', 'Blister']",,,"[""Leclerc Val d'Orson"", '35770', 'Vern sur Seiche', 'Ille et Vilaine', 'Bretagne', 'France']","['Leclerc', 'E.Leclerc']","['E420 - Sorbitol', 'E466 - Carboxyméthylcellulose', ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras"", 'E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E340 - Orthophosphates de potassium', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E428 - Gélatine', 'E415 - Gomme xanthane', 'E412 - Gomme de guar', ""E475 - Esters polyglycériques d'acides gras"", 'E1520 - Propylène glycol', 'E171 - Oxyde de titane', 'E172 - Oxyde et hydroxyde de fer']","['Œufs', 'Gluten', 'Lait', 'Soja']",4,,,['Huile de palme'],
42,camembert d isigny,0204950036083,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Camemberts']",['France'],[],[],22 g,en quantité élevée,16.4 g,en quantité élevée,0.5 g,en faible quantité,?,,284,+2%,1188 kj(284 kcal),+2%,22,+2%,"16,4",+10%,"0,5",-8%,"0,5",+49%,21,+5%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,"1,7","0,68",1.7 g,en quantité élevée,+9%,+9%,15,+4%,D,+4%,,,['Bio'],,,,,,,"['FR 14.342.001 CE', 'Isigny-sur-Mer (Calvados, France)']",,,
43,Pain bio poitou charente - Leclerc,0204952007876,,,['France'],[],[],,,,,,,?,,320,,1339 kj(320 kcal),,"0,8",,"0,2",,64,,"1,7",,12,,,,,,,,,['Leclerc'],"1,9","0,76",,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,
44,Macarons,0204955032738,D,"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",['France'],[],[],18 g,en quantité modérée,4.3 g,en quantité modérée,52 g,en quantité élevée,?,,416,-2%,1741 kj(416 kcal),-2%,18,+1%,"4,3",-5%,52,-6%,52,+3%,"9,8",+14%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,"0,16","0,064",0.16 g,en faible quantité,+12%,+12%,19,+8%,E,+8%,,,,,,,,,,,,,
45,Saucisse toulouse - U,0204957013841,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Toulouse']",['France'],"['TEL: 02-35-69-47-40 CUIRE Xsel dextrose', 'épices poivre uvédients •', 'anaiy•e et yas porc', 'c&elle', 'pinents', 'givafle et pla•', 'tesarmtatiqes sarriettes', 'menthe', 'thw érgt', ""hT•bate & 'odiun ascorbate E301"", '1Z', ' cmservateur', 'acetaLe sodiun E 262 ', 'in', ' colorait', 'carmin E102', 'O ZZ', ' chanèiym•t', 'naturel de porc*e']",[],1 g,en faible quantité,1 g,en faible quantité,1 g,en faible quantité,?,,2,-99%,8 kj(2 kcal),-99%,1,-94%,1,-84%,1,-40%,1,+62%,1,-93%,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,['U'],1,"0,4",1 g,en quantité modérée,-42%,-42%,4,-74%,C,-74%,,,,,,['Magasins U'],,,,,,,
46,La buchette nature,0204968017050,,,['France'],[],[],,,,,,,?,,270,,1130 kj(270 kcal),,22,,"13,4",,"2,05",,"2,05",,"16,1",,,,,,,,,,1,"0,4",,,,,,,,,,,,,,,,,,,,,
47,Jambon persillé,0204973009972,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Les recettes de l'atelier - Nestlé,0204974005874,,,['France'],[],[],,,,,,,?,,612,,2561 kj(612 kcal),,48,,26,,30,,27,,"9,1",,,,,,,,,['Nestlé'],,,,,,,,,,,,,,,,,,,,,,,
49,"Crepes ""L'authentique",0204980008791,,,['France'],[],[],,,,,,,?,,357,,1494 kj(357 kcal),,"9,4",,"5,3",,59,,29,,"8,4",,,,,,,,,,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,
50,Beurre,0204984008049,,,['France'],[],[],,,,,,,?,,743,,3109 kj(743 kcal),,82,,55,,"0,6",,"0,6",,"0,7",,,,,,,,,,"0,4","0,16",,,,,,,,,,,['Bio'],,,,,,,,,,
51,Yaourts des hautes-alpes,0204984010769,,,['France'],[],[],,,,,,,?,,118,,494 kj(118 kcal),,"3,36",,"2,4",,"12,9",,10,,"2,94",,,,,,,,,,"0,08","0,032",,,,,,,,,,,,,,,,,,"['FR 05.029.004 CE', 'Chabottes (Hautes-Alpes, France)']",,,
52,Tartelettes citron,0204993015090,D,"['Tartes', 'Tartelettes', 'Tartelettes aux fruits', 'Biscuit sec nappé aux fruits', 'Tartelettes au citron']",['France'],[],[],27 g,en quantité élevée,14 g,en quantité élevée,27 g,en quantité élevée,?,,437,+15%,1828 kj(437 kcal),+16%,27,+56%,14,+36%,43,-13%,27,-11%,"5,5",+14%,83.8%,8.2%,3.7%,2.3%,2.0%,0.0%,53,,"0,24","0,096",0.24 g,en faible quantité,-11%,-11%,21,+5%,E,+5%,,,,,,,,,,,,,
53,Pain chocolat x6 pur beurre,0205002016077,,,['France'],[],[],,,,,,,?,,323,,1351 kj(323 kcal),,19,,12,,30,,"9,2",,"8,1",,,,,,,,,,"0,72","0,288",,,,,,,,,,,,,,,,,,,,,
54,Epaisse 7/100,0205004012206,,,['France'],[],[],,,,,,,?,,101,,423 kj(101 kcal),,7,,"4,6",,"6,4",,"3,6",,"3,1",,,,,,,,,,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,
55,Poulet blanc fermier janzé,0205006089541,,,['France'],[],[],,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Miche Tranche,0205010006435,,,['France'],[],[],,,,,,,?,,215,,900 kj(215 kcal),,"0,7",,0,,45,,"1,1",,"6,8",,,,,,,,,,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,
57,Pain,0205013005916,,,['France'],[],[],,,,,,,?,,0,,0 kj(0 kcal),,"10,3",,0,,"11,4",,"1,6",,"25,8",,,,,,,,,,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,
58,Mini viennoiseries x12,0205013016073,,,['France'],[],[],,,,,,,?,,396,,1657 kj(396 kcal),,20,,13,,46,,14,,"7,1",,,,,,,,,,"0,83","0,332",,,,,,,,,,,,,,,,,,,,,
59,Pain chocolat beurre,0205014024275,,,['France'],[],[],,,,,,,?,,423,,1770 kj(423 kcal),,25,,16,,42,,13,,"7,6",,,,,,,,,,"0,91","0,364",,,,,,,,,,,['Point Vert'],,,,,,,,,,
60,Pains au chocolat pur beurre,0205014025586,D,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",['France'],[],[],25 g,en quantité élevée,16 g,en quantité élevée,13 g,en quantité élevée,?,,423,+7%,1770 kj(423 kcal),+7%,25,+14%,16,+20%,42,-1%,13,+8%,"7,6",+6%,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,"0,91","0,364",0.91 g,en quantité modérée,+1%,+1%,21,+7%,E,+7%,,,,,,,,,,,,,
61,Edam holland - Leclerc,0205016017251,,,['France'],[],[],,,,,,,?,,321,,1343 kj(321 kcal),,24,,16,,0,,0,,26,,,,,,,,,['Leclerc'],"2,5",1,,,,,,,,,,,,,,,,,,,,,
62,Edam Hollande Jeuner - Leclerc,0205016024471,,,['France'],[],[],,,,,,,?,,321,,1343 kj(321 kcal),,?,,16,,?,,0,,26,,,,,,,,,['Leclerc'],"2,5",1,,,,,,,,,,,,,,,,,,,,,
