,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,nutriment_salt_tr,nutriment_sodium_tr,salt_quantity,salt_comment,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,labels,ingredients_origins,manufacturing,markets,additives,allergens,nova_score,traceability_code,generic_name,palm_ingredients,link
950,Chouquettes - Leclerc,0208434010828,,,['France'],[],[],,,,,,,?,,344,,1439 kj(344 kcal),,17,,11,,40,,19,,"7,7",,,,,,,,,['Leclerc'],"0,8","0,32",,,,,,,,,,,,,,,,,,,,,
951,Chouquettes,0208434016400,,,['France'],[],[],,,,,,,?,,427,,1787 kj(427 kcal),,21,,13,,50,,24,,"9,6",,,,,,,,,,1,"0,4",,,,,,,,,,,,,,,,,,,,,
952,Jambon cru,0208434033131,,"['Viandes', 'Charcuteries', 'Jambons', 'en:raw-cured-ham']",['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,Arachide wasabi,0208447015414,,,['France'],[],[],,,,,,,?,,458,,1916 kj(458 kcal),,19,,"4,4",,60,,23,,10,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,
954,Gorgonzola au mascarpone,0208447025840,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages italiens', 'Gorgonzolas', 'Mascarpone au gorgonzola']",['France'],[],[],35 g,en quantité élevée,24 g,en quantité élevée,0 g,en faible quantité,?,,375,-3%,1569 kj(375 kcal),-3%,35,-6%,24,-6%,0,-100%,0,-100%,16,+37%,84.7%,5.9%,3.1%,4.1%,1.8%,0.5%,54,,"0,6","0,24",0.6 g,en quantité modérée,-18%,-18%,11,-29%,D,-29%,,,,,,,,,,,,,
955,Crevettes sauvages d'Argentine - Klaas Puul,0208447032084,,,['France'],"['Creyettes ', 'Pleoticus muelleri', 'pêchées dans rocéan Atlantique Sud-Ouest', 'sel', 'acidifiants acide acétique acide lactique et citrates de sodium', ' Conserver au frais entre OOC et 20C', ' Conditionné scus atmosphère protectrice', ' Date de production: 21-07-17']",[],,,,,,,?,,76,,318 kj(76 kcal),,"0,9",,"0,2",,0,,0,,"16,6",,,,,,,,,['Klaas Puul'],"1,8","0,72",,,,,,,,,,,,,,,,,,['NL 6136 EG'],,,
956,Banane chips,0208450029262,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Bananes séchées']",['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,59.6%,25.6%,2.0%,11.4%,1.4%,0.0%,29,,,,,,,,,,,,,,,,,,,,,,,,
957,Les Toasts,0208459004079,,,['France'],[],[],,,,,,,?,,299,,1251 kj(299 kcal),,"6,3",,"0,6",,52,,"5,7",,"7,1",,,,,,,,,,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,
958,4 Beignets Framboise - Leclerc - 300g,0208467016408,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Donuts', 'Beignet fourré aux fruits', 'Beignets sucrés', 'Beignets fourrés à la framboise']",['France'],"['Farine de blé ', 'gluten', ' - EOU - œufs - Sucre - Huiles végétales ', 'tournesol', 'colza', "" - Purée de framboise 8,9% - Levure ? Jaunes d'œufs - Amidon transformé de moïs - Stabilisant : glycérol - Sel - Emulsifiants : E471"", ""E412 - Gluten de blé - JUS concentré de fruits rouges - Correcteur d'acidité : acide citrique - Conservateur : sorbote de potassium - Colorant : caroténoïdes ? Arômes"", ' Contient : gluten', 'œufs', ' Ce produit o PU être en contact avec : arachides', 'lait', 'fruits ù coque', 'solo']","['Sans huile de palme', 'Non végétalien']",8.7 g,en quantité modérée,1.2 g,en faible quantité,13 g,en quantité élevée,?,,282,-5%,1180 kj(282 kcal),-5%,"8,7",-15%,"1,2",-37%,42,-3%,13,-8%,"6,1",+1%,,,,,,,,['Leclerc'],"0,69","0,276",0.69 g,en quantité modérée,-2%,-2%,6,-26%,C,-26%,300 g,"['Frais', 'Plastique', 'décongelé']","['Point Vert', 'en:palm-oil-free']",,,['Leclerc'],"['E14XX - Amidons modifiés', 'E422 - Glycérol', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E412 - Gomme de guar', 'E330 - Acide citrique', 'E160 - Caroténoïdes']","['Œufs', 'Gluten', 'Lait']",4,,Beignets fourrés à la purée de framboise,,
959,Eguia pur brebis,0208469024272,,,['France'],[],[],,,,,,,?,,412,,1724 kj(412 kcal),,38,,23,,0,,0,,23,,,,,,,,,,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,
960,Pizza romana - Leclerc - 400g,0208482038706,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,['Leclerc'],,,,,,,,,,,400g,,,,,,,,,,,,
961,Pate croûte,0208492020999,,,['France'],[],[],,,,,,,?,,292,,1222 kj(292 kcal),,17,,"0,3",,23,,"3,5",,14,,,,,,,,,,1,"0,4",,,,,,,,,,,,,,,,,,,,,
962,Fougasse chorizo,0208503014436,B,"['Snacks', 'Snacks salés', 'Apéritif', 'Fougasses', 'Fougasses au chorizo']",['France'],[],[],8.8 g,en quantité modérée,3.3 g,en quantité modérée,1.3 g,en faible quantité,?,,297,-2%,1243 kj(297 kcal),-1%,"8,8",-23%,"3,3",-29%,42,+10%,"1,3",-30%,11,+2%,40.3%,18.4%,10.8%,8.1%,4.7%,17.7%,91,,"1,8","0,72",1.8 g,en quantité élevée,+10%,+10%,13,-8%,D,-8%,,,,,,,,,,,,,
963,Suisse pépites chocolat,0208514010502,,,['France'],[],[],,,,,,,?,,423,,1770 kj(423 kcal),,19,,12,,54,,23,,"7,3",,,,,,,,,,1,"0,4",,,,,,,,,,,,,,,,,,,,,
964,Crêpes,0208515015421,B,"['Crêpes et galettes', 'Crêpes']",['France'],[],[],6.7 g,en quantité modérée,3.8 g,en quantité modérée,18 g,en quantité élevée,?,,244,-20%,1021 kj(244 kcal),-21%,"6,7",-32%,"3,8",+4%,39,-14%,18,-15%,"6,7",-6%,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,,"0,54","0,216",0.54 g,en quantité modérée,-33%,-33%,11,-9%,D,-9%,,,,,,,,,,,,,
965,Tarte aux abricots,0208517057078,,,['France'],[],[],,,,,,,?,,209,,874 kj(209 kcal),,"6,3",,"4,4",,"35,5",,"17,8",,"1,9",,,,,,,,,,"0,22","0,088",,,,,,,,,,,,,,,,,,,,,
966,Chauson aux pommes,0208527012869,B,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Chaussons aux pommes']",['France'],[],[],18 g,en quantité modérée,12 g,en quantité élevée,10 g,en quantité modérée,?,,303,-4%,1268 kj(303 kcal),-4%,18,0%,12,+4%,30,-9%,10,-6%,"3,6",-8%,75.3%,14.7%,6.1%,3.4%,0.5%,0.0%,75,,"0,53","0,212",0.53 g,en quantité modérée,-11%,-11%,17,0%,D,0%,,,,,,,,,,,,,
