,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,quantity,packaging,categories,labels,manufacturing,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,markets,ingredients_origins,generic_name,link,origin_detail,brand_owner,producer_info
757,Beauty Boost - ARIIX - 163gr,22207883,['France'],"['Supplement Facts ServingSze: 1 Scoop ', '5', '8 g', ' Servings Par Container: about 28 E Amount % Daily Per Scoop Value* Total Calories Total Fat 0g 0% Bea Sodium 32mg 1% ing and Total Carbohydrate 2% 5g 4g 1000 mcg ora ** Sugar Alcohol adc Biotin 333% 750 mg ** Papaya Fruit Powder Citrus Bioflavonoids Sh ** 10mg Dermaval TM Proprietary Blend 50 mg Pomegranate fruit concentrate', 'asparagus shoot concentrate', 'okra pod concentrate', 'coffee fruit extract', 'acerola fruit juice', 'camu camu fruit juice', 'onion bulb extract', 'açaí berry', 'mangosteen fruit concentrate', ' ** al B ** Aquamin ', 'Red Seaweed', ' 550 mg En For a ""Percent Daily Values are based on a 2,000 calorie diet **Daily Value not established', ' Rec Other In de']",[],?,?,,0,,"86,2",,?,"1,4","0,561",['ARIIX'],163 gr,['Plastique'],['Compléments alimentaires'],,['USA'],,,,0 g,en faible quantité,,,,,1.4 g,en quantité modérée,,,,-100%,,+351%,,,+152%,+152%,,,,,,,,,,,,,,,,,,,,
758,Confiture de mûres épépinées au coquelicot,3770005785819,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,Pain choco AOP,0208285020335,['France'],[],[],?,385,1611 kj(385 kcal),21,14,42,14,7,"0,89","0,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,Crémant de loire,3221580062487,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,Hydra 6 Protein - Vanilla,5060221200943,['France'],[],[],?,131,548 kj(131 kcal),"1,7","0,9","2,5","0,8",25,"0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,La millésime 2018 lentilles vertes,3491722000220,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,Beterave,4311532149775,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,3663381010029,3663381010029,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,Purée de cacahuete,3760159014194,['France'],[],[],?,599,2506 kj(599 kcal),"49,1","8,4","14,8","5,9","26,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,HONDURAS-GUATEMALA-BIO-FAIRTRADE-16-PODS - Matongo,3187571132372,['France'],[],[],?,?,,?,,?,,?,,,['Matongo'],,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,Mielonoix,3770007967428,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,5410531545010,5410531545010,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,La puree de pomme,3770014111432,['France'],[],[],?,53,222 kj(53 kcal),0,0,"12,9","10,6",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
