,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,quantity,packaging,categories,labels,manufacturing,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,markets,ingredients_origins,generic_name,link,origin_detail,brand_owner,producer_info
0,Flan Chocolat,0209771042640,['France'],[],[],?,211,883 kj(211 kcal),"8,8","5,3",29,20,"3,4","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FunghIGPorcini secchi,8003383002083,['France'],[],[],?,312,1305 kj(312 kcal),"4,7","0,7",28,0,30,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Artichauts des Pouilles & pointe de citron - L'atelier Blini,3292070010233,['France'],[],[],?,196,820 kj(196 kcal),"14,4","1,6","9,2","1,6","4,2","1,3","0,52","[""L'atelier Blini""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Pizza Orientale - Casa Leonardo - 510g,3572174879555,['France'],"['pulpe de tomates 19', '2%', 'mozzarella ', 'lait', 'ferments lactiques', 'sel', 'présure', ' 17', '5%', 'saucisson piquant ', 'porc', 'graisse de porc', 'sel nitrité', 'sel', 'nitrite de sodium E250', 'dextrose', 'poivre', 'ail', 'gingembre', 'muscade', 'sirop de glucose', 'paprika', 'piment', 'extrait de romarin E392', 'ascorbate de sodium E301', 'arôme naturel', ' 7%', 'poivrons 7%', 'olives noires ', 'olives', 'eau', 'sel E270', ' 2', '1%', 'sel', 'origan', 'pâte ', 'farine de blé tendre type 0', 'eau', 'semoule de blé dur', 'sel', ""huile d'olive vierge extra"", 'levure', ' 47', '2%']","['Non végétalien', 'Non végétarien']",?,195,816 kj(195 kcal),"7,4","3,8",23,"2,3","9,3","1,6","0,64",['Casa Leonardo'],510 g,['Plastique'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas']",['Fabriqué en Italie'],['Italie'],"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E392 - Extrait de romarin']",['Lait'],4,7.4 g,en quantité modérée,3.8 g,en quantité modérée,2.3 g,en faible quantité,1.6 g,en quantité élevée,,-15%,-15%,-12%,-3%,-14%,-22%,-10%,+28%,+28%,11,+42%,D,+42%,,,,,,,,,,,,,,,,
4,torku,8680181085052,['France'],[],[],?,283,1184 kj(283 kcal),0,0,69,45,14,19,"7,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Salade de fruit mix color familial,0291407055698,['France'],[],[],?,43,180 kj(43 kcal),"0,39","0,03","10,38","9,59","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Fromage blanc au lait de brebis - La Bergerie,07935862,['France'],[],[],?,101,423 kj(101 kcal),"6,8","4,6","4,7","4,7","5,3","0,07","0,028",['La Bergerie'],,"['Pot', 'Plastique']","['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Desserts lactés', 'Fromages blancs', 'Fromages blancs au lait de brebis']","['Bio', 'Lait Français']",,,,,6.8 g,en quantité modérée,4.6 g,en quantité modérée,4.7 g,en faible quantité,0.07 g,en faible quantité,,+7%,+8%,+33%,+34%,-10%,+19%,-16%,-32%,-32%,3,+222%,C,+222%,C,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,,,,,
7,Probios Farina Di Riso Impalpabile,8018699017294,['France'],[],[],?,352,1473 kj(352 kcal),"1,2","0,4","78,4","0,9","6,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Bio Mini Honigwaffeln, Dennree",4021851637852,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Buche façon panna cotta framboise,3257987140954,['France'],[],[],?,162,678 kj(162 kcal),"3,9","2,8",30,24,"1,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Torta impérial de almendra,0815847002236,['France'],[],[],?,473,1979 kj(473 kcal),31,2,44,3,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Teasco,3770016724005,['France'],[],[],?,30,126 kj(30 kcal),"0,5",0,"7,5","7,5","0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,tablette chocolat au lait cacahuète,83435492,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Gros Sel Nature Et Progrès-boite - Le guérandais - 1kg,3445850002106,['France'],[],[],?,?,,?,,?,,?,,,['Le guérandais'],1 kg,,"['Epicerie', 'Condiments', 'Sels', 'Sels français', 'Sels marins', 'Sels de Guérande']",['Récolté à la main'],,,,,,,,,,,,,,,,,,,,,,,,,,,B,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,,
14,La notte decaffeinato,8003012004051,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Vache àboire,0002000012069,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Olives cuisinées à la mexicaine,2609809014379,['France'],[],[],?,181,757 kj(181 kcal),18,"3,2","3,2","0,5","0,6","5,5","2,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,AFTER SPORT,3770018385013,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Mon canard chocolat noir cacahuete,3760098354986,['France'],[],[],?,577,2414 kj(577 kcal),"42,5","21,1",32,"29,8",12,"0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Frollino con crema alla nocciola,8001860199134,['France'],[],[],?,487,2038 kj(487 kcal),23,"2,5",63,30,"5,8","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Confiture mirabelle,3245310064251,['France'],[],[],?,241,1008 kj(241 kcal),"0,1",0,59,52,"0,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,La Tartinette,0628078303443,['France'],[],[],?,210,879 kj(210 kcal),13,"1,5",24,22,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Thé vert de Chine mangue bergamote,3701173503127,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Wafers, Cappuccino",8008620052654,['France'],[],[],?,?,,?,,?,,?,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Caviar n3,3760282610195,['France'],[],[],?,262,1096 kj(262 kcal),"17,8","6,8","0,8","0,8",26,"2,97","1,188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 33.051.003 CE', 'Biganos (Gironde, France)']",,,,,,,
25,Beurrerie BRIOCHES,3278310990022,['France'],[],[],?,744,3113 kj(744 kcal),82,54,"0,7","0,5","0,7","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Nesquik petit,3023290048467,['France'],[],[],?,171,715 kj(171 kcal),"6,9","4,5","22,5","18,5","4,2","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,La carolle de Marguerite Cacao et eclats de chocolat,3664335003883,['France'],[],[],?,514,2151 kj(514 kcal),26,21,61,31,"7,2","0,34","0,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Puree de fruit,5600961114607,['France'],[],[],?,60,251 kj(60 kcal),0,0,14,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,La véritable gaufre de Liège au sucre perlé,2071050000003,['France'],[],[],?,405,1695 kj(405 kcal),19,"9,1",51,24,7,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"Olympio muscat de Samos 15,5°",3257980723161,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Abricot de Provence,3546940801033,['France'],[],[],?,236,987 kj(236 kcal),"0,1",0,57,56,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Nesquik,5634987213396,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Avena out drink avoine sans gluten,8032625803416,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Carrefour,356007097011,['France'],[],[],?,?,,?,,?,,?,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,
35,Vinaigre à la pulpe de Cassis,3700600301367,['France'],[],[],?,87,364 kj(87 kcal),"0,3",0,"17,4","15,9","0,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Choco wafer,9002859109959,['France'],[],[],?,520,2176 kj(520 kcal),29,17,60,46,"5,4","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Rebuçados mentol,5603468410180,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Müesli croustillant aux fruits,0745125040240,['France'],[],[],?,432,1807 kj(432 kcal),14,"4,4",63,28,9,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Yaourt à la fraise,2900992000003,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 29.198.020 CE', 'Plouider (Finistère, France)']",,,,,,,
40,Boisson Amandes grillées sans sucre - Bjorg - 1L,3229820801100,['France'],"[""Lait d'amandes* "", 'eau', 'amandes grillées* 2', '8%', 'sucre de canne brut*', 'amidon de riz*', 'sel marin', 'épaississant: gomme guar*', 'gomme xanthane']",[],?,20,84 kj(20 kcal),"1,4","0,1","0,9","0,5","0,7","0,1","0,04",['Bjorg'],1 L,['Brique'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Fruits à coques', 'Boissons végétales', 'Amandes', 'Boissons végétales de fruits à coque', ""Laits d'amande"", 'Amandes grillées', ""Laits d'amande natures non sucrés""]","['Bio', 'Bio européen', 'Agriculture UE', 'Nutriscore', 'Nutriscore B', 'AB Agriculture Biologique']",,"['E412 - Gomme de guar', 'E415 - Gomme xanthane']",,4,1.4 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.1 g,en faible quantité,,-97%,-97%,-97%,-98%,-93%,-91%,-97%,-88%,-88%,-5,-217%,A,-217%,D,82.5%,2.9%,5.0%,5.8%,2.9%,0.8%,27,,,,,,,,
41,Pain suisse au chocolat,0280155018376,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,11116578,11116578,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Pain au chocolat pur beurre,0260206030830,['France'],[],[],?,414,1732 kj(414 kcal),"21,5",15,"42,2","10,4","8,2","1,04","0,416",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Whey concentré nature,5600985800555,['France'],[],[],?,402,1682 kj(402 kcal),"8,5",5,"3,4","3,4","76,4","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Nutri grain - Kellogg's,85725522,['France'],[],[],?,367,1536 kj(367 kcal),"8,3",3,33,33,"3,8","0,55","0,22","[""Kellogg's""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Dattes,6191551300528,['France'],[],[],?,290,1213 kj(290 kcal),0,0,38,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Fait gaffe c'est du matos,3770008107403,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Moutarde à la salicorne marinée,3305040002739,['France'],[],[],?,73,305 kj(73 kcal),"4,4","0,26","6,2","1,7","4,7","2,36","0,944",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Sambal,8710853016128,['France'],[],[],?,44,184 kj(44 kcal),11,"0,44","3,7","2,6","2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Pur beurre fe cacahuète,13856564,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Fior di zagara - La via del té,8004091037749,['France'],[],[],?,?,,?,,?,,?,,,['La via del té'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Lait et céréales nature,3250393000515,['France'],[],[],?,?,,?,,?,,?,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,#what the fanta,5449000295699,['France'],[],[],?,3,13 kj(3 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Dattes,3770010503071,['France'],[],[],?,295,1234 kj(295 kcal),"0,5","0,5",66,64,"2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Pasta di semola di grano duro,8033945806569,['France'],[],[],?,351,1469 kj(351 kcal),"0,25","0,1","73,5","3,9","13,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Bouchees vapeur dinde,3512690005212,['France'],[],[],?,144,602 kj(144 kcal),"2,5","0,4",24,"1,2","5,9",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Carottes biologique,8054242640090,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,crème de caramel au beurre salé,3416990000161,['France'],[],[],?,488,2042 kj(488 kcal),28,18,58,41,1,"0,125","0,05",,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner au caramel', 'Crème de caramel au beurre salé']",,,,,,28 g,en quantité élevée,18 g,en quantité élevée,41 g,en quantité élevée,0.125 g,en faible quantité,,+16%,+16%,+44%,+51%,-1%,-14%,-45%,-79%,-79%,25,+2%,E,+2%,,,,,,,,,,,,,,,,
59,Poitrine cuite supérieure 3 tranches VPF 194g,2478872018245,['France'],[],[],?,270,1130 kj(270 kcal),"21,4","8,5",1,"0,2","18,3","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 35.152.002 CE', 'Liffré (Ille-et-Vilaine, France)']",,,,,,,
60,Saumon bio irlandais fumé,3760218550298,['France'],[],[],?,205,858 kj(205 kcal),11,"2,2","0,6","0,6","26,4","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Gao Luc,8936014318874,['France'],[],[],?,250,1046 kj(250 kcal),22,8,68,20,6,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Moringa Bio,3700446420178,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,U bio nectar de pomme,3256228433954,['France'],[],[],?,37,155 kj(37 kcal),"0,5","0,1","8,3","7,9","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Concombre,3368954205047,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Scamorza affumicata tradizione in tavola,8051770851172,['France'],[],[],?,317,1326 kj(317 kcal),25,17,"0,5","0,5",22,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Marinade de gambas escabeche,0204693042839,['France'],[],[],?,247,1033 kj(247 kcal),21,"1,7","3,2","2,5",11,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Asbal,4260161972387,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,coquillettes bolognaise - carrefour - 300g,3112940874447,['France'],"['Eau', 'pulpe de tomates au jus 19% ', 'tomates', 'jus de tomates', 'spécialités céréalières précuites 17% ', 'eau', 'semoule de blé dur', ""blanc d'euf en poudre"", 'huile de tournesol', 'viande bovine précuite 9%', 'carottes 4,2%', 'vin blanc', 'double concentré de tomates 1,6%', 'sucre', 'sel', 'amidon modifié de maïs', 'huile de tournesol', 'ail en poudre', 'arôme naturel de bœuf', 'oignon grillé en poudre', 'poivre', 'origan', 'thym', 'romarin', 'arôme naturel de laurier', 'arôme naturel de thym', ' Viande bovine: origine France', "" i Préparation Au four à micro-ondes : Percez l'opercule de quelques trous et faites réchauffer 2 minutes la barquette"", "" Retirez l'opercule à l'aide de la languette"", ' Ne pas mettre cette assiette au four traditionnel', ' TS Conservation Avant ouverture']","['Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,['Carrefour'],300 g,['plastique carton'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Plats préparés', 'Produits à la viande', 'Plats à base de pâtes', 'Plats préparés à la viande', 'Pâtes alimentaires', 'Plats au bœuf', 'Coquillettes']",,,['E14XX - Amidons modifiés'],,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],['Boeuf français'],,,,,
69,Mais grillé et salé,3700066100535,['France'],[],[],?,439,1837 kj(439 kcal),12,"4,7",77,"0,5",6,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,CBD tea relax & anti stress,8594200570040,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Vinaigre balsamique a la figue du quercy Périgord et 4 épices.,3462670000310,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Framboise,8717521114490,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Pommes de terre au thon,2270198016666,['France'],[],[],?,145,607 kj(145 kcal),9,"0,7",9,"0,4","6,2","0,86","0,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Barre proteinée,7640180350583,['France'],[],[],?,325,1360 kj(325 kcal),"7,7","3,8","49,3","20,3","27,5","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Miel,00001003,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Coulis de Cassis Bourgogne,3760125980041,['France'],[],[],?,120,502 kj(120 kcal),"0,5","0,1",26,26,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Gocce di Lucce - Argan e Macadamia - 100ml,8017596069153,['France'],"['NGREDIENTS: CYCLOPEN - TASILOXANE', 'DIMETHICO - NOL', 'DIMETHICONE', 'ARGANIA SPINOSA KERNEL OIL', 'MACADAMIA TERNIFOLIA SEED OIL', 'LINUM USITATISSIMUM SEED OIL', 'ISOPROPYL MYRISTÁTE', 'PARFUM', 'CI 47000', 'CI 26100', ' ', ' Prodotto e Confezionato per Hergestellt und verpackt fun Proizvedeno in pakirano za EUROSPIN ITALIA S', 'PA', ' W Campalto 3/D-37036 San Martino B', 'A', ' ', 'VR', ' - Italy da/von/od UNION COSMET S', 'R', 'L Via Foce Cesano 4/9 50019 Cesano di Senigallia ', 'AN', ' - Italy']",[],?,?,,?,,?,,?,,,['Gocce di Lucce'],100 ml,['Verre'],['Huile pour cheveux'],,,['E900a - Polydiméthylsiloxane'],,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Coulis d'abricot,3760125980744,['France'],[],[],?,80,335 kj(80 kcal),"0,5","0,1",20,20,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Healthy Mix - Bourgeois - 30ml,3614222986058,['France'],"['AQUA/WATER/EAU', 'DIMETHICONE CYCLOPENTASILOXANE', 'BUTYLENE GLYCOL', 'PEG-10 DIMETHICONE', 'ALUMINUM STARCH OCTENYLSUCCINATE', 'PHENOXYETHANOL', 'SODIUM CHLORIDE', 'DISTEARDIMONIUM HECTORITE DISODIUM STEAROYL GLUTAMATE', 'DIMETHICONE CROSSPOLYMER', 'PARFUM/FRAGRANCE', 'ALCOHOL DENAT', 'ASCORBYL PALMITATE', 'GLYCINE SOJA ', 'SOYBEAN', ' OIL', 'TOCOPHEROL', 'PROPYLENE GLYCOL', 'PANTHENOL', 'ALUMINUM HYDROXIDE SILICA', 'GLYCERIN', 'PYRUS MALUS ', 'APPLE', ' FRUIT EXTRACT', 'SODIUM HYALURONATE', 'CUCUMIS MELO ', 'MELON', ' FRUIT EXTRACT', 'PRUNUS ARMENIACA ', 'APRICOT', ' FRUIT EXTRACT', 'POTASSIUM SORBATE SODIUM BENZOATE', 'BENZOIC ACID PANTOLACTONE', 'SORBIC ACID', 'May Contain/Peut Contenir/+/-:TITANIUM DIOXIDE ', 'C 77891', 'IRON OXIDES ', 'C 77491', 'C 77492', 'C 77499', 'MICA']",[],?,?,,?,,?,,?,,,['Bourgeois'],30ml,['Verre'],['Fond de teint'],,,"['E900a - Polydiméthylsiloxane', 'E173 - Aluminium', ""E304i - Palmitate d'ascorbyle"", 'E640i - Glycine', 'E1520 - Propylène glycol', 'E422 - Glycérol', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E210 - Acide benzoïque', '', 'Risque élevé de sur-exposition', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E171 - Oxyde de titane']",['Soja'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Chunks méditerranéens,8437017032496,['France'],[],[],?,161,674 kj(161 kcal),"6,2",1,"2,2","0,1",19,"1,2","0,48",,,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Diots de savoie fumes,2868301040679,['France'],[],[],?,287,1201 kj(287 kcal),23,"9,1","0,8","0,8",20,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Sucrine,8425779001515,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Cahier,3222474498924,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Escalope extra-fine de dinde,2614162011415,['France'],[],[],?,108,452 kj(108 kcal),"1,3","0,4",0,0,24,"0,15","0,06",,,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.15 g,en faible quantité,,-11%,-10%,-2%,-1%,-100%,-100%,+5%,-73%,-73%,-4,,A,,D,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,
85,Chewing-gum,84195302,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Les brassés,3041091674852,['France'],[],[],?,51,213 kj(51 kcal),"2,2","1,9","7,4","1,6","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Pain azyme - Carrefour,04075288,['France'],[],[],?,381,1594 kj(381 kcal),"1,5","0,3",78,"2,9",11,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,
88,Uovo di cioccolato al latte,8004838033393,['France'],[],[],?,541,2264 kj(541 kcal),31,19,58,57,"6,4","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Sauce samouraï - Auchan,3596710484683,['France'],[],[],?,632,2644 kj(632 kcal),67,"5,5","5,4","4,4","1,3","1,8","0,72",['Auchan'],,,"['Epicerie', 'Sauces', 'Sauces samouraï']","['Nutriscore', 'Nutriscore D']",,,,,67 g,en quantité élevée,5.5 g,en quantité élevée,4.4 g,en faible quantité,1.8 g,en quantité élevée,,+11%,+11%,+8%,+16%,+67%,+188%,+16%,-14%,-14%,19,-2%,E,-2%,D,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,['Auchan'],,,,,,
