,name,bar_code,quantity,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,allergens,nova_score,additives,traceability_code,packaging,ingredients_origins,manufacturing,generic_name,link,palm_ingredients,brand_owner,origin_detail
10,Terrine Traditionnelle au Piment d'Espelette - 180g,3432770017624,180 g,,['France'],[],[],?,315,1318 kj(315 kcal),27,"9,4",3,0,15,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 87.187.003 CE', 'Saint-Yrieix-la-Perche (Haute-Vienne, France)']",,,,,,,,
11,Terrine forestière aux cèpes et chanterelles - Comte De La Seynie,3432770017969,,,['France'],"['IngNdients : foie de gras de porc', 'couenne de porc', 'eau', 'ùanterelles cèpes ', '2', '500', ' farine de blé', 'œuf* sel', 'arome naturel', 'aimes', 'épices', 'pliultes aromatiques', 'clextrose„']","['Non végétalien', 'Non végétarien']",?,306,1280 kj(306 kcal),26,"9,1","2,8",0,15,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Comte De La Seynie'],['Gluten'],4,,,,,,,,,,
12,Terrine de Noël façon pain d'épices - Duc de Pressac - 180g,3432770020013,180g,['Cora'],['France'],"['foie de volaille', 'gras de porc', 'couenne de porc', 'eau', 'sel', 'miel', 'cannelle gingembre', 'arôme naturel', 'muscade']","['Non végétalien', 'Non végétarien']",?,332,1389 kj(332 kcal),31,11,1,0,12,"2,3","0,92",D,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de porc', 'Pâtés de campagne']",,31 g,en quantité élevée,11 g,en quantité élevée,0 g,en faible quantité,2.3 g,en quantité élevée,,+7%,+7%,+15%,+9%,-59%,-100%,-15%,+39%,+39%,24,+26%,E,+26%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,['Duc de Pressac'],,4,,,['Bocal'],,,,,,,
13,Terrine de canard au magret fumé - Les Trois Chefs,3432770021683,,,['France'],"['foie de volaille', 'gras de porc', 'Viande de canard 15%', 'couenne de porc', 'viande de porc', 'eau', 'magret fumé 5111', 'sel', 'Armagnac', 'arôme naturel', ' Viande de port et de canard : origine France,']","['Non végétalien', 'Non végétarien']",?,286,1197 kj(286 kcal),26,"8,6",0,0,13,"1,7","0,68",E,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']","['Sans colorants', 'Sans conservateurs']",26 g,en quantité élevée,8.6 g,en quantité élevée,0 g,en faible quantité,1.7 g,en quantité élevée,,-7%,-6%,-1%,-9%,-100%,-100%,-8%,+11%,+11%,18,+1%,D,+1%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,['Les Trois Chefs'],,4,,,,,,,,,,
14,Terrine de campagne - Les Trois Chefs,3432770021713,,,['France'],[],[],?,291,1218 kj(291 kcal),25,"8,9","2,5",0,14,"1,8","0,72",,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de campagne']","['Sans colorants', 'Sans conservateurs']",25 g,en quantité élevée,8.9 g,en quantité élevée,0 g,en faible quantité,1.8 g,en quantité élevée,,-10%,-10%,-12%,-18%,+9%,-100%,0%,+12%,+12%,18,-7%,D,-7%,,,,,,,,['Les Trois Chefs'],,,,,,,,,,,,
15,Bloc de foie gras de canard - Prieuré de Coussac,3432770024448,,,['France'],[],[],?,531,2222 kj(531 kcal),56,25,"1,5","1,3","5,2",2,"0,8",A,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras']",,56 g,en quantité élevée,25 g,en quantité élevée,1.3 g,en faible quantité,2 g,en quantité élevée,,+8%,+9%,+11%,+16%,-29%,-2%,-15%,+64%,+64%,24,+18%,E,+18%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,['Prieuré de Coussac'],,,,,"['Bocal', 'Verre']",,,,,,,
16,Rillettes pour Canard Magret - Larédy,3432770024479,,,['France'],[],[],?,294,1230 kj(294 kcal),26,"7,7",0,0,15,"1,1","0,44",D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']","['Sans colorants', 'Sans conservateurs']",26 g,en quantité élevée,7.7 g,en quantité élevée,0 g,en faible quantité,1.1 g,en quantité modérée,,-27%,-27%,-29%,-38%,-100%,-100%,-7%,-20%,-20%,14,-27%,D,-27%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,['Larédy'],,,,,"['Bocal', 'Verre']",,,,,,,
17,Terrine de Chevreuil au Foie Gras - Comte de la Seynie - 180g,3432770024615,180 g,,['France'],"['viande de chevreuil 20%', 'foie gras de canard 20%', 'foie de volaille', 'gras de porc', 'eau', 'couenne de porc', 'viande de porc', 'sel', 'sel nitrité', 'sucre', 'arôme naturel', 'dextrose', 'antioxydant: acide ascorbique']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1277,309,1277 kj(309 kcal),29,11,0,0,12,"1,7","0,68",,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de chevreuil']",['Point Vert'],29 g,en quantité élevée,11 g,en quantité élevée,0 g,en faible quantité,1.7 g,en quantité élevée,,-0%,-2%,+11%,+14%,-100%,-100%,-18%,+10%,+10%,20,+9%,E,+9%,,,,,,,,['Comte de la Seynie'],,4,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique']","['FR 87.187.003 CE', 'Saint-Yrieix-la-Perche (Haute-Vienne, France)']","['Bocal', 'Verre']",,['France'],,,,,
18,Terrine Paysane au Maroilles - Comte De La Segnie - 180g,3432770025186,180 g,,['France'],"['foie de porc', 'viande et gras de porc', 'couenne de porc', 'eau', 'maroilles 3%', 'farine de blé', 'oeuf', 'sel', 'arôme naturel', 'arômes', 'épices', 'plantes aromatiques', 'dektrose', ' Viande de porc : origine France']","['Non végétalien', 'Non végétarien']",?,314,1314 kj(314 kcal),27,"9,8","2,7",0,15,"1,6","0,64",,,['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Comte De La Segnie'],"['Œufs', 'Gluten']",4,,"['FR 87.187.003 CE', 'Saint-Yrieix-la-Perche (Haute-Vienne, France)']",,,,,,,,
19,Terrine de Cerf à l’Armagnac - Duc de Pressac,3432770026695,,,['France'],"['foie de volaille', 'gras de porc', 'viande de cerf ', '20%', 'couenne de porc', 'vin rouge', 'œuf', 'sel', 'Armagnac 1%', 'arôme naturel', 'épice', 'plantes aromatiques', ' Viande de porc origine France']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,254,1063 kj(254 kcal),22,"7,6",0,0,14,"1,6","0,64",,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de cerf']",,22 g,en quantité élevée,7.6 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,,-8%,-8%,-4%,-11%,-100%,-100%,-5%,+3%,+3%,17,-2%,D,-2%,,,,,,,,['Duc de Pressac'],['Œufs'],4,,,,,,,,,,
20,pate de foie de volaille - domaine vitailles - 180g,3432770030227,180g,,['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de foie de volaille']",,,,,,,,,,,,,,,,,,,,,,,,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,['domaine vitailles'],,,,,,,,,,,,
