,name,bar_code,quantity,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,allergens,nova_score,additives,traceability_code,packaging,ingredients_origins,manufacturing,generic_name,link,palm_ingredients,brand_owner,origin_detail
249,Anchois à la provençale -,3438020602084,,,['France'],[],[],?,133,556 kj(133 kcal),"5,2","1,5","0,7",0,21,"1,03","0,412",B,"['Produits de la mer', 'Poissons', 'Anchois', 'Filets de poissons', ""Filets d'anchois"", ""Filets d'anchois marinés"", ""Filets d'anchois marinés à l'huile végétale"", ""Filets d'anchois marinés à la Provençale""]",,5.2 g,en quantité modérée,1.5 g,en quantité modérée,0 g,en faible quantité,1.03 g,en quantité modérée,,-38%,-35%,-54%,-24%,-56%,-100%,+20%,-49%,-49%,1,-89%,B,-89%,57.5%,14.4%,6.7%,17.0%,3.4%,0.9%,81,,,,,,,,,,,,,
250,6 Crêpes Fraîches de Froment - Lefeuvre - 350g,3438330100119,350 g,,['France'],"['Eau', 'farine de froment 24 %', 'sucre', 'œufs', 'lait en poudre ', 'lécithine de soja', 'huile de tournesol', 'rhum', 'sel']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,158,661 kj(158 kcal),"2,9","0,9","27,7","11,8","5,2",0,0,B,"['Crêpes et galettes', 'Réfrigérés', 'Crêpes', 'Crêpes de froment']","['Sans additifs', 'Sans conservateurs', 'Mangeons Local en Île-de-France']",2.9 g,en faible quantité,0.9 g,en faible quantité,11.8 g,en quantité modérée,0.0003 g,en faible quantité,,-46%,-46%,-62%,-69%,-41%,-42%,-32%,-100%,-100%,0,-100%,B,-100%,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,['Lefeuvre'],"['Œufs', 'Gluten', 'Lait', 'Soja']",3,['E322i - Lécithine'],"['EMB 91286G', 'Grigny (Essonne, France)']","['Sachet', 'Plastique', 'Frais']",,"['Île-de-France', 'France']",6 Crêpes Fraîches de Froment,,,,
251,Crêpes Fraîches de Froment Bio - La Petite Lefeuvre - 270g,3438330111283,270 g,,['France'],"['Eau', 'farine de froment bio ', 'GLUTEN', ' 24 %', 'sucre de canne Bio', 'LAIT EN POUDRE Bio', 'ŒUF Bio', 'huile de tournesol Bio', 'sel fin non traité']",['Non végétalien'],?,157,657 kj(157 kcal),2,"0,4","29,1",13,"5,6","0,003","0,001",B,"['Crêpes et galettes', 'Crêpes', 'Crêpes de froment']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Sans additifs', 'Sans conservateurs', 'AB Agriculture Biologique']",2 g,en faible quantité,0.4 g,en faible quantité,13 g,en quantité élevée,0.003 g,en faible quantité,,-46%,-46%,-74%,-86%,-38%,-36%,-27%,-100%,-100%,0,-100%,B,-100%,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,['La Petite Lefeuvre'],"['Œufs', 'Gluten', 'Lait']",4,,,"['Frais', 'Sachet', 'Plastique']",,,,,,,
252,8 Crêpes fraîches moelleuses - La Compagnie des Crêpes - 400g,3438330210191,400 g,['Magasins U'],['France'],"['Eau', 'Farine de froment ', 'GLUTEN Sucre', 'ŒUFS ', 'Poudre de LAIT ', 'Lécithine de soja', 'Huile de Tournesol', 'Sel', 'Levure boulangère']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,190,795 kj(190 kcal),"4,3","1,5","32,2","13,5","5,8","0,5","0,2",B,"['Crêpes et galettes', 'Crêpes', 'Crêpes de froment']","['Sans additifs', 'Sans conservateurs', 'en:palm-oil-free']",4.3 g,en quantité modérée,1.5 g,en quantité modérée,13.5 g,en quantité élevée,0.5 g,en quantité modérée,,-35%,-35%,-44%,-48%,-31%,-34%,-24%,-37%,-37%,4,-62%,C,-62%,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,['La Compagnie des Crêpes'],"['Œufs', 'Gluten', 'Lait', 'Soja']",4,['E322i - Lécithine'],"['EMB 91286', 'Grigny (Essonne, France)']","['Sachet', 'Plastique', 'Frais']",,"['Île de France', 'France']",,,,,
253,6 crêpes fraîches de froment - 320g,3438330211266,320 g,,['France'],[],[],?,169,707 kj(169 kcal),"3,6","0,6","28,8","12,3","5,3","0,3","0,12",B,"['Crêpes et galettes', 'Crêpes', 'Crêpes de froment']","['Bio', 'Bio européen', 'FR-BIO-01']",3.6 g,en quantité modérée,0.6 g,en faible quantité,12.3 g,en quantité modérée,0.3 g,en quantité modérée,,-42%,-42%,-53%,-79%,-38%,-40%,-31%,-62%,-62%,2,-81%,B,-81%,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,,,,,,,,,,,,,
254,Véritables Gaufres Flamandes Pur Beurre et Rhum - La Dunkerquoise - 600g,3438351357912,600 g,,['France'],"['Farine de blé ', 'gluten', 'cassonade', 'levure 22 %', 'oeufs', 'rhum 3 %', 'sel de Guérande', 'colorant : bêta-carotène']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",1968,?,1968 kj(470 kcal),"18,4","11,9","68,4","29,4","6,7","1,1","0,44",B,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Gaufres']","['Fabriqué en France', 'Sans colorants']",18.4 g,en quantité modérée,11.9 g,en quantité élevée,29.4 g,en quantité élevée,1.1 g,en quantité modérée,+5%,,+5%,-14%,+14%,+19%,-3%,+11%,+56%,+56%,25,+15%,E,+15%,77.1%,12.7%,5.0%,2.6%,2.6%,0.0%,66,['La Dunkerquoise'],"['Œufs', 'Gluten']",4,['E160ai - Bêta-carotène'],,['Carton'],,"['Nord', 'France']",,,,,
255,Gaufres Pur Beurre Fourrées au Caramel au Beurre Salé - La Dunkerquoise - 400g,3438351358131,400 g,,['France'],"['Farine de _blé', 'sucre', 'beurre ', 'lait', ' 17 %', 'œufs', 'caramel au beurre demi-sel 5 % ', 'sirop de glucose-fructose', 'lait concentré sucré', 'beurre demi-sel ', 'lait', 'sucre', 'eau', 'sel', 'sel', 'arôme']",['Non végétalien'],?,452,1891 kj(452 kcal),14,"8,7",76,33,"6,1","1,1","0,44",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Gaufres', 'Gaufres fourrées']","['Fabriqué en France', 'Pur beurre']",14 g,en quantité modérée,8.7 g,en quantité élevée,33 g,en quantité élevée,1.1 g,en quantité modérée,,+2%,+2%,-21%,0%,+19%,-9%,+26%,+81%,+81%,24,+11%,E,+11%,77.1%,12.7%,5.0%,2.6%,2.6%,0.0%,66,['La Dunkerquoise'],"['Œufs', 'Gluten', 'Lait']",4,,,"['boîte', 'métal', 'Plastique']",,,Pure Butter Caramel Waffle Cookies,,,,
256,Les Amusantes parfum Vanille - La Dunkerquoise - 175g.,3438351358896,175 g.,['Simply Market'],['France'],[],[],2237,?,2237 kj(535 kcal),"27,8","13,8","67,3","41,6","3,5","0,2","0,08",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Gaufrettes', 'Gaufrettes fourrées', 'Gaufrettes fourrées à la vanille']",['Fabriqué en France'],27.8 g,en quantité élevée,13.8 g,en quantité élevée,41.6 g,en quantité élevée,0.2 g,en faible quantité,,,+3%,+5%,-13%,+8%,+30%,-20%,-15%,-15%,24,+7%,E,+7%,76.6%,12.3%,5.4%,2.8%,2.9%,0.0%,70,['La Dunkerquoise'],,,,,"['Carton', 'Plastique']",['Bergues'],"['France', 'Nord-Pas-de-Calais']",Gaufrettes double fourrage parfum vanille,,,,
257,La véritable gaufre caramel au beurre salé - Biscuiterie eugene blond - 150g,3438351359220,150 g,,['France'],"['Farine de blé', 'sucre', 'beurre ', 'lait', ' 15%', 'œufs', 'caramel au beurre demi-sel 4,5% ', 'sirop de glucose-fructose', 'lait concentré sucré', 'beurre demi-sel ', 'lait', 'sucre', 'sel', 'eau', 'sel', 'arôme', "" Peut contenir des traces d'amandes,""]",['Non végétalien'],?,452,1891 kj(452 kcal),"13,7","8,7","76,1","33,3","6,1","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Biscuiterie eugene blond'],"['Œufs', 'Gluten', 'Lait']",4,,,,,,,,,,
258,Les Gaufres de Bergues - La dunkerquoise - 150g,3438351359510,150 g,['Auchan'],['France'],"['Farine de blé ', 'gluten', 'sucre', 'beurre 22%', 'oeufs', 'sel', 'colorant : bêta-carotène']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",1979,?,1979 kj(473 kcal),"17,9","11,8","69,8",29,"6,7","1,1","0,44",C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Pâtisseries', 'Gaufres']",['Fabriqué en France'],17.9 g,en quantité modérée,11.8 g,en quantité élevée,29 g,en quantité élevée,1.1 g,en quantité modérée,+5%,,+5%,-16%,+13%,+22%,-5%,+11%,+56%,+56%,25,+15%,E,+15%,77.1%,12.7%,5.0%,2.6%,2.6%,0.0%,66,['La dunkerquoise'],"['Œufs', 'Gluten', 'Lait']",4,['E160ai - Bêta-carotène'],,"['Carton', 'Plastique']",,"['Bergues', 'Nord', 'France']",Gaufres pur beurre,,,,
259,Les veritables gaufres fines - La Dunkerquoise,3438351359787,,,['France'],"['Farine de blé', 'cassonade', 'beurre 22% ', 'lait', 'oeufs', 'rhum 3%', 'sel', 'colorant : béta-carotène']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",?,470,1966 kj(470 kcal),"17,3",9,"71,8",30,"6,8",1,"0,4",C,"['Biscuits et gâteaux', 'Pâtisseries', 'Gaufres']",,17.3 g,en quantité modérée,9 g,en quantité élevée,30 g,en quantité élevée,1 g,en quantité modérée,,+4%,+5%,-19%,-13%,+25%,-1%,+13%,+41%,+41%,23,+6%,E,+6%,77.1%,12.7%,5.0%,2.6%,2.6%,0.0%,66,['La Dunkerquoise'],"['Œufs', 'Gluten', 'Lait']",4,['E160ai - Bêta-carotène'],,,,,,,,,
260,Gaufres fines  Caramel au beurre salé - La Dunkerquoise,3438351359794,,,['France'],"['Farine de blé,sucre', 'beurre 15%,oeufs', 'caramel au beurre demi-sel 4,5% ', 'sirop de glucose-fructose,lait concentré sucré', 'beurre demi-sel,sucre,sel,eau', ',sel', 'arôme']",['Non végétalien'],?,452,1891 kj(452 kcal),"13,7","8,7","76,1","33,3","6,1","1,1","0,44",C,"['Biscuits et gâteaux', 'Pâtisseries', 'Gaufres']",,13.7 g,en quantité modérée,8.7 g,en quantité élevée,33.3 g,en quantité élevée,1.1 g,en quantité modérée,,+0%,+1%,-36%,-16%,+33%,+10%,+1%,+56%,+56%,24,+10%,E,+10%,77.1%,12.7%,5.0%,2.6%,2.6%,0.0%,66,['La Dunkerquoise'],"['Œufs', 'Gluten', 'Lait']",4,,,['Boite carton . Emballage plastique par 7'],,,,,,,
261,Les gaufres de Bergues - La DUNKERQUOISE,3438351359978,,,['France'],"['farine de blé', 'cassonade', 'beurre 22% ', 'lait', 'oeufs', 'rhum 3%', 'sel', "" Peut contenir des traces d'amandes""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,470,1966 kj(470 kcal),"17,3",9,"71,8",30,"6,8",1,"0,4",C,"['Biscuits et gâteaux', 'Pâtisseries', 'Gaufres']",,17.3 g,en quantité modérée,9 g,en quantité élevée,30 g,en quantité élevée,1 g,en quantité modérée,,+4%,+5%,-19%,-13%,+25%,-1%,+13%,+41%,+41%,23,+6%,E,+6%,77.1%,12.7%,5.0%,2.6%,2.6%,0.0%,66,['La DUNKERQUOISE'],"['Œufs', 'Gluten', 'Lait']",3,,,,,,,,,,
262,Les gaufres de bergues - La Dunkerquoise,3438351359985,,,['France'],[],[],?,452,1891 kj(452 kcal),"13,7","8,7","76,1","33,3","6,1","1,1","0,44",C,"['Biscuits et gâteaux', 'Pâtisseries', 'Gaufres']",,13.7 g,en quantité modérée,8.7 g,en quantité élevée,33.3 g,en quantité élevée,1.1 g,en quantité modérée,,+0%,+1%,-36%,-16%,+33%,+10%,+1%,+56%,+56%,24,+10%,E,+10%,77.1%,12.7%,5.0%,2.6%,2.6%,0.0%,66,['La Dunkerquoise'],,,,,,,,,,,,
263,Bond Gauff La Dunkerquoise - 360g,3438351360028,360 g,,['France'],"['Fondant ', 'sirop de glucose', 'sucre', 'eau', 'farine de froment ', 'gluten', 'huiles végétales non hydrogénées ', 'palme', 'colza', 'copra dextrose', 'farine de soja', 'sirop de gluCose', ""poudre à lever : bicarbonate acide d'ammonium"", 'sel', 'émulsifiant : lécithine de colza', 'acidifiant : acide lactique', 'vanille naturelle ', '0,19%', ' ', 'fourrage : 40%', ' CAUERES COURRÉES À LA VANU LE DE MADAGASCAR']",['Huile de palme'],1427,421,1427 kj(421 kcal),"17,3",9,"61,3","40,6",5,"0,3","0,12",C,"['Biscuits et gâteaux', 'Pâtisseries', 'Gaufres', 'Gaufres fourrées']",,17.3 g,en quantité modérée,9 g,en quantité élevée,40.6 g,en quantité élevée,0.3 g,en quantité modérée,-24%,-5%,-23%,-3%,+3%,-4%,+12%,+4%,-51%,-51%,22,+2%,E,+2%,77.1%,12.7%,5.0%,2.6%,2.6%,0.0%,66,['La Dunkerquoise'],"['Gluten', 'Soja']",4,"['E322i - Lécithine', 'E270 - Acide lactique']",,,,,,,['Huile de palme'],,
264,30 véritables gaufres fines - La Dunkerquoise - 240g,3438351360066,240g,,['France'],"['Farine de blé', 'sucre', 'beurre 22% ', 'lait', 'œufs', 'sel', 'colorant : béta-carotène', "" Peut contenir des traces d'amandes""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",?,471,1971 kj(471 kcal),"17,9","11,8","69,8",29,"6,7","1,075","0,43",C,"['Biscuits et gâteaux', 'Pâtisseries', 'Gaufres', 'Gaufres sèches']",,17.9 g,en quantité modérée,11.8 g,en quantité élevée,29 g,en quantité élevée,1.07 g,en quantité modérée,,+5%,+5%,-16%,+13%,+22%,-5%,+11%,+52%,+52%,25,+15%,E,+15%,77.1%,12.7%,5.0%,2.6%,2.6%,0.0%,66,['La Dunkerquoise'],"['Œufs', 'Gluten', 'Lait']",4,['E160ai - Bêta-carotène'],,['6 sachets de 40g'],,,,,,,
265,Véritables moelleuses - La Dunkerquoise,3438351360691,,,['France'],[],[],?,421,1761 kj(421 kcal),"17,3",9,"61,3","40,6",5,"0,3","0,12",C,"['Biscuits et gâteaux', 'Pâtisseries', 'Gaufres', 'Gaufres fourrées']",,17.3 g,en quantité modérée,9 g,en quantité élevée,40.6 g,en quantité élevée,0.3 g,en quantité modérée,,-5%,-5%,-3%,+3%,-4%,+12%,+4%,-51%,-51%,23,+6%,E,+6%,77.1%,12.7%,5.0%,2.6%,2.6%,0.0%,66,['La Dunkerquoise'],,,,,,,,,,,,
266,Potjevlesch desosse - VIGNEAU DE LICQUES,3438370000233,,,['France'],"['Viandes de VotaiLLe ,porc,Lapin', 'origine france', 'géLee', 'de gout:gLutamate da de potassium,acidifiants:acide citrique,sucre caramaLisé', ',eau,conservateur:seL nitrité,sirop de de gout:gtutamate da de sodium']","['Non végétalien', 'Non végétarien']",?,78,326 kj(78 kcal),2,"0,8","0,9","0,5",14,"2,2","0,88",,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['VIGNEAU DE LICQUES'],,4,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,,,,,
267,"Queues de langouste d'Atlantique centre ouest, 2 pieces - 340g",3438630367083,340 g,,['France'],[],[],?,80,335 kj(80 kcal),"0,76","0,1","0,23","0,1","18,4","0,9","0,36",E,"['Produits de la mer', 'Crustacés', 'Langoustes', 'Queues de langoustes']",,0.76 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,0.9 g,en quantité modérée,,-12%,-12%,-13%,-43%,-70%,-46%,-5%,+39%,+39%,-2,,A,,88.4%,0.0%,2.5%,6.2%,1.2%,1.6%,18,,,,,,,,,,,,,
268,Cuisses de Grenouilles Surgelées -,3438630929021,,,['France'],"['Cuisses de grenouilles crues congelées ', 'Rana macrodon']","['Non végétalien', 'Non végétarien']",?,264,1105 kj(264 kcal),"0,27","0,07",0,0,"16,1","0,14","0,056",,"['Viandes', 'Surgelés', 'Grenouille', 'Cuisses de Grenouilles']","['Traité par rayonnement ionisant', 'Tidy man']",0.27 g,en faible quantité,0.07 g,en faible quantité,0 g,en faible quantité,0.14 g,en faible quantité,,+94%,+90%,-96%,-98%,-100%,-100%,+5%,-71%,-71%,-2,-181%,A,-181%,,,,,,,,,['Cuisses de grenouilles'],1,,,"['Sachet', 'Plastique', 'surgelé']",['Indonésie'],['Europe'],Cuisses de grenouilles crues congelées,,,,
269,Confiture de papaye - 375g,3438660000325,375 g,,['France'],[],[],?,1,4 kj(1 kcal),1,1,1,1,1,1,"0,4",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits tropicaux', 'Confitures de papayes']",,1 g,en faible quantité,1 g,en faible quantité,1 g,en faible quantité,1 g,en quantité modérée,,-100%,-100%,+212%,+1575%,-98%,-98%,+85%,+2339%,+2339%,-1,-110%,A,-110%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,
270,Confiture de Griottes (cerises) - La Fruitière de Colpo - 230g,3438750000181,230 g,,['France'],"['Griottes ', 'cerises', 'sucre cristal', 'acidifiant: acide citrique', 'gélifiant: pectine de pomme']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,227,950 kj(227 kcal),"0,04",0,55,54,"0,6",,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de cerises']",['Fabriqué en France'],0.04 g,en faible quantité,0 g,en faible quantité,54 g,en quantité élevée,,,,+2%,+2%,-84%,-100%,+2%,+4%,-6%,,,,,,,73.9%,8.9%,10.5%,4.6%,1.7%,0.4%,50,['La Fruitière de Colpo'],,4,"['E330 - Acide citrique', 'E440 - Pectines']",,"['Verre', 'Bocal']",,"['France', 'Bretagne']",,,,,
271,Confiture d'oranges ameres - La Fruitière de Colpo - 230g,3438750000389,230 g,,['France'],[],[],?,229,958 kj(229 kcal),"0,04",,54,53,"< 0,7",,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'agrumes"", ""Confitures d'oranges amères""]",,0.04 g,en faible quantité,,,53 g,en quantité élevée,,,,-1%,-1%,-82%,,-3%,-1%,+61%,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,['La Fruitière de Colpo'],,,,,,,,,,,,
272,Coulis de mures - La Fruitière de Colpo,3438750301103,,,['France'],"['Purée de mûres ', '60 %', 'sucre cristal', 'Acidifiant: acide citrique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,239,1000 kj(239 kcal),0,0,57,56,0,0,0,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Sauces', 'Sauces dessert', 'Coulis de fruits', 'Coulis de mûre']",,0 g,en faible quantité,0 g,en faible quantité,56 g,en quantité élevée,0 g,en faible quantité,,+90%,+89%,-100%,-100%,+102%,+110%,-100%,-100%,-100%,11,+270%,D,+270%,,,,,,,,['La Fruitière de Colpo'],,3,['E330 - Acide citrique'],,,,,,,,,
273,Crème glacée caramel beurre salé - 310g,3438751013135,310 g,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Sorbet fruits exotiques - La Fruitière de Colpo - 310g,3438751500116,310 g,,['France'],[],[],?,?,,?,,?,,?,,,C,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets multifruits']",['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,['La Fruitière de Colpo'],,,,,,,,,,,,
275,Apero breizh - 100g,3438754445001,100 g,,['France'],[],[],?,156,653 kj(156 kcal),2,1,30,"1,6","3,9","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Jus de pomme,3438830075009,,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme']",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,,,,,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,,,,,,
277,2 X 125G Yaourt Biphilus 1 / 2 Ecreme - GABORIT,3438860001061,,,['France'],"['*Lait demi-écrémé de vaches Jersiaise Ferments lactiques BA ', 'Bifidus + Acidophilus', "" 'Ingrédients issus de l'agriculture biologique""]",[],?,0,0 kj(0 kcal),0,0,"4,39",0,"4,15","0,18","0,072",,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['GABORIT'],,,,,,,,,,,,
278,Biphilus Mangue X2 - Gaborit Bernard,3438860001276,,,['France'],"['Lait frais demi-écrémé de vaches jersiaises* 14% de préparation de fruits* ', 'Mangue* Framboise* ', 'sucre de canne roux non raffiné* ', "" 5% sucre de canne roux non raffiné* Ferments lactiques Biphilus + Acidophilus * Ingrédients issus de l'agriculture biologique""]",[],?,98,410 kj(98 kcal),"2,33","1,79","15,47","9,41","3,68","0,034","0,014",,"['Produits laitiers', 'Biphilus']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",2.33 g,en faible quantité,1.79 g,en quantité modérée,9.41 g,en quantité modérée,0.034 g,en faible quantité,,-60%,-59%,-87%,-85%,+214%,+131%,-70%,-96%,-96%,2,-80%,B,-80%,,,,,,,,['Gaborit Bernard'],,,,,,,,,,,,
279,Yaourt Chevre Mangues Et Myrtilles - Gaborit - 400g (4 * 100g e),3438860001924,400 g (4 * 100 g e),,['France'],"['Lait entier de chèvre*', '16% préparation de fruits* ', '8% myrtille ou 7,2% mangue*', 'sucre de canne roux non raffiné*', ""ferments lactiques *Issus de l'agriculture biologique""]",['Non végétalien'],?,107,448 kj(107 kcal),"4,91","3,43","11,22","10,86","4,54","0,03","0,012",B,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts au lait de chèvre']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'Fabriqué en France', 'AB Agriculture Biologique', 'Bio-Cohérence', 'en:Lait-francais-french-milk']",4.91 g,en quantité modérée,3.43 g,en quantité modérée,10.9 g,en quantité modérée,0.03 g,en faible quantité,,+20%,+19%,+17%,+20%,+38%,+48%,+12%,-68%,-68%,4,+92%,C,+92%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,"['Gaborit', 'Bernard Gaborit']",['Lait'],3,,,"['Frais', 'Carton', 'Plastique']",['France'],['France'],,,,,
280,4 X 80G Petit Jersey Nature 20%MG - Gaborit Bernard,3438860002020,,,['France'],"[""Lait frais demi-écrémé de vaches jersiaises* Ferments lactiques Présure * Ingrédients issus de l'agriculture biologique INFOS CONSOMMATEURS""]",[],?,78,326 kj(78 kcal),"3,68","2,82","3,29","2,06","8,01","0,043","0,017",,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Gaborit Bernard'],,,,,,,,,,,,
281,Jersey frais fromage à tartiner - Gaborit - 110g,3438860004307,110 g,,['France'],[],[],?,225,941 kj(225 kcal),"19,52","14,2","3,25",0,"8,98","0,4","0,16",D,"['Produits laitiers', 'Produits fermentés', 'Produits à tartiner', 'Produits laitiers fermentés', 'Produits à tartiner salés', 'Fromages', 'Fromages à tartiner']",['Bio'],19.5 g,en quantité modérée,14.2 g,en quantité élevée,0 g,en faible quantité,0.4 g,en quantité modérée,,-3%,-4%,-7%,+1%,-4%,-100%,+7%,-66%,-66%,8,-33%,C,-33%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['Gaborit', 'Gaborit Bernard']",,,,"['FR 49.192.009 CE', 'Maulévrier (Maine-et-Loire, France)']","['Pot', 'Plastique']",,,,,,,
282,Fromage Jersey Frais Ail Et Fines Herbes - Gaborit Bernard,3438860004314,,,['France'],"['Fromage frais 0% MG de vaches Jersiaises*', 'crème fraiche de Jersiaise', 'ail*', 'ciboulette', 'sel de Guérande', 'persil*', 'poivre', "" SANS POUDRE DE LAIT Tenir au frais O à 40C A consommer jusqu'aw: date sur le couvercle""]",[],?,219,916 kj(219 kcal),"18,47","13,4","4,49",1,"8,74","0,52","0,208",,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Gaborit Bernard'],['Lait'],,,,,,,,,,,
283,3438910042532,3438910042532,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Moelleux - Baron Eugène Haussmann - 75cl,3438910862611,75 cl,,['France'],['Contient des sulfites'],[],?,?,,?,,?,,?,,,B,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Bordeaux', 'Vins blancs']",['Déconseillé aux femmes enceintes'],,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,['Baron Eugène Haussmann'],['Anhydride sulfureux et sulfites'],3,,,"['Bouteille', 'Verre']",['France'],"['France', 'Gironde']",,,,,
285,Rosé Sucette Passion Boisson Aromatisée Rosé x1,3438910862635,,,['France'],[],[],?,?,,?,,?,,?,,,,['Boissons'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Chateau de respide,3438910864899,,,['France'],[],[],?,?,,?,,?,,?,0,0,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,,,,,,,,,,,,,,,,,-100%,-100%,,,,,,,,,,,,,,,,,,,,,,,,
