,name,bar_code,quantity,packaging,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,brand_owner,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,link,markets,additives,generic_name,allergens,ingredients_origins,traceability_code,palm_ingredients,producer_info
204,Cuisses de poulet - La Nouvelle Agriculture,0213322026447,,,['La Nouvelle Agriculture'],['France'],[],[],?,198,14,0,18,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,14 g,en quantité modérée,3.5 g,en quantité modérée,0 g,en faible quantité,0.18 g,en faible quantité,,+4%,828 kj(198 kcal),+3%,+13%,"3,5",+4%,-100%,0,-100%,-2%,"0,18",-76%,"0,072",-76%,0,-100%,B,-100%,D,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,
205,Gouda mittelalt -,2706875002313,,,,"['France', 'Allemagne']",[],[],?,?,?,?,?,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas', 'Goudas mi-vieux']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
206,JoliJus,3045050086304,,,,['France'],[],[],?,38,"0,2","8,3","0,7",,,,,,,,,,,,,159 kj(38 kcal),,,"0,2",,,"8,3",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
207,Finferli al naturale,8004980000403,,,,['France'],[],[],?,29,"0,4","4,2","2,2",,['en:gluten-free'],,,,,,,,,,,121 kj(29 kcal),,,"0,4",,,"0,7",,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
208,Oursons bio - L'Aliment Sain - 200g,3398240131309,200 g,,"[""L'Aliment Sain""]",['France'],[],[],?,325,"0,1","78,3",0,,"['Bio', 'Bio européen', 'en:gluten-free', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Sans lactose']",,,,,,,,,,,1360 kj(325 kcal),,,"0,1",,,"57,8",,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
209,Haricots Verts Extra Fins Rangés Main,3760133675328,,,,['France'],[],[],?,21,0,"1,5",0,,,,,,,,,,,,,88 kj(21 kcal),,,0,,,"1,1",,,"0,71",,"0,284",,,,,,,,,,,,,,,,,,,,,,,,,
210,Pain aux amandes - Jules Destrooper,5410471904168,,,['Jules Destrooper'],['France'],[],[],?,454,15,72,"6,9",,,,,,,,,,,,,1900 kj(454 kcal),,,"7,3",,,36,,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
211,Lunchtime,5036319017779,,,,['France'],[],[],?,90,"3,6","6,1","7,1",,,,,,,,,,,,,377 kj(90 kcal),,,"0,3",,,4,,,"1,18",,"0,472",,,,,,,,,,,,,,,,,,,,,,,,,
212,Coco Pops Palline,5053827153966,,,['Coco Pops'],['France'],[],[],?,386,3,82,6,,,,,,,,,,,,,1615 kj(386 kcal),,,"1,5",,,29,,,"0,73",,"0,292",,,,,,,,,,,,,,,,,,,,,,,,,
213,Jambonneau en gelée,0237050026760,,,,['France'],[],[],?,281,21,0,"22,7",,,,,,,,,,,,,1176 kj(281 kcal),,,7,,,0,,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
214,Fruit Shoot - Teisseire - 4x 20cL,3098772603199,4 x 20 cL,,['Teisseire'],['France'],"['Ingrédients : Eau ', '83%', ""jus d'orange à base de concentré 10%"", 'SUcre', 'acidifiant : acide citrique', ""arôme naturel d'orange avec autres arômes naturels"", 'conservateurs: sorbate de potassium', 'dicarbonate de dimethyle', 'antioxydant : acide ascorbique', 'colorant : caroténoides', 'stabilisant : pectine']",[],?,25,?,"5,7",?,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', ""Boissons à l'orange"", 'Boissons avec sucre ajouté']",,,,,,5.7 g,en quantité modérée,,,,-36%,105 kj(25 kcal),-36%,,,,-37%,"5,7",-32%,,,,,,,,,,C,,4,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,,,"['E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E242 - Dicarbonate de diméthyle', 'E300 - Acide ascorbique', 'E160 - Caroténoïdes', 'E440 - Pectines']",,,,,,
215,Chouquettes,0231267006560,,,,['France'],[],[],?,844,12,18,"5,7",,,,,,,,,,,,,3531 kj(844 kcal),,,"6,3",,,"3,6",,,"0,44",,"0,176",,,,,,,,,,,,,,,,,,,,,,,,,
216,Purée Légumes Verts - comme j'aime - 50g,60107,50 g,"['Sachet', 'Plastique']","[""comme j'aime""]",['France'],"['pomme de terre déshydratee émulsiant E471', 'stabilisant : E450i', 'acidifiant: E330', 'consenater E223 ', 'sulfites', 'antioxydant: E320', 'gumes ets déshydratés 21,6% ', 'haricot vert', 'épinard', 'poireau', 'sinp de glucose', 'amidon de mais', 'poudre de laitécrémé suce oignon', 'sel', 'arôme naturel', 'émulsifiant: E322']",[],?,345,"1,6",71,"9,1","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Préparations à base de pommes de terre', 'Purées', 'Purées de pommes de terre', 'Purées de pommes de terre en flocons']",['Fabriqué en France'],,,,,,,,,,+10%,1443 kj(345 kcal),+9%,0%,"0,8",-14%,+13%,"12,2",+360%,+30%,"2,6",+289%,"1,04",+289%,,,,,B,,4,59.9%,18.8%,8.6%,5.6%,5.0%,2.0%,90,['France'],,"[""Comme j'aime""]","['E450i - Pyrophosphate de sodium acide', 'E330 - Acide citrique', 'E320 - Butylhydroxyanisol', 'E322 - Lécithines']",,['Anhydride sulfureux et sulfites'],,,,
217,Mentos Pure Fresh - 100g,80725732,100 g,,['Mentos'],['France'],"['édulcorants ', 'xylitol', 'sorbitol', 'mannitol', 'sirop de maltiol', 'aspatame acésulfame-K', 'gomme base', 'stabilisant ', 'glycérol', 'maltodextrine arômes', 'fécule', 'émulsifiants ', ""sucroesters d'acides gras"", 'lécithines soja epalssissants ', 'gomme de cellulose', 'gomme xanthane', 'extrat de thé vet ', '0,1%', ""agent d'enrobage "", 'cire de camauba', 'antioxydant ', 'E321', 'colorant ', 'bleu brillant FCF', ' Contient une source de phénylalanine']",[],?,0,0,0,0,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Caramels', 'Chewing-gum']",['Contient une source de phénylalanine'],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,0 kj(0 kcal),-100%,-100%,0,-100%,-100%,0,-100%,-100%,0,-100%,0,-100%,,,,,,,4,,,,,,,,,,,"['E967 - Xylitol', 'E420 - Sorbitol', 'E421 - Mannitol', 'E422 - Glycérol', 'E473 - Sucroester', '', 'Risque élevé de sur-exposition', 'E322 - Lécithines', 'E466 - Carboxyméthylcellulose', 'E415 - Gomme xanthane', 'E321 - Butylhydroxytoluène', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']",Chewing-Gum,,,,,
218,Boulette de boeuf - Chiron,3381590001149,,,['Chiron'],['France'],[],[],?,250,20,"3,8","13,1","['Viandes', 'Bœuf', 'Préparations de viande', 'Préparations de viande bovine']",,20 g,en quantité modérée,9.5 g,en quantité élevée,0.5 g,en faible quantité,1 g,en quantité modérée,,+32%,1046 kj(250 kcal),+31%,+143%,"9,5",+184%,+72%,"0,5",-39%,-44%,1,-64%,"0,4",-64%,16,+47%,D,+47%,,,,,,,,,,,,,,,,,,,,
219,Kellys Erdnüsse - 40g,9000159013594,40 g,['Stück'],,"['Autriche', 'France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,Marine ail et persil - Ferme du Steinbach,2134015000002,,,['Ferme du Steinbach'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Apérifruits - Le Classique - Vico - 100g,10403570,100 g,['Sachet'],"['Vico', 'Intersnack', 'Apérifruit']",['France'],"['Raisins 38%', 'ananas 22%', 'sucre', 'AMANDES 13%', 'NOISETTES 8%', ""correcteur d'acidité : acide citrique"", 'huile de tournesol', 'arôme naturel', '\r Fabriqué dans un atelier utilisant du GLUTEN', 'des ARACHIDES', 'du SOJA', ""du LAIT et d'autres FRUITS À COQUE"", '\r Ce sachet contient 3 à 4 portions', ' Une portion : 30g']",['Sans huile de palme'],?,394,12,63,"5,5","['Snacks', 'Snacks salés', 'Apéritif', 'Mélange de fruits et de noix']","['Sans colorants', 'Sans conservateurs', 'en:palm-oil-free']",12 g,en quantité modérée,1.3 g,en faible quantité,53 g,en quantité élevée,0.32 g,en quantité modérée,,-16%,1648 kj(394 kcal),-16%,-50%,"1,3",-68%,+22%,53,+1604%,-28%,"0,32",-79%,"0,128",-79%,4,-69%,C,-69%,,,4,,,,,,,,['France'],http://www.vico.fr,,['E330 - Acide citrique'],Mélange de fruits et de noix,"['Gluten', 'Lait', 'Fruits à coque', 'Arachides', 'Soja']",,,,
222,Amande entière california - Vrac Auchan - 466,0269177042774,466,,['Vrac Auchan'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,,,
223,Larnaudie,3113010138698,,,['Larnaudie'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Milky Way Midnight Dark - 50g,0040000001041,50 g,['Stück'],['Milky Way'],"['France', 'Allemagne']",[],[],?,?,?,?,?,"['Snacks', 'Snacks sucrés']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Ribeaupierre ail des ours - Hop la - 186g,2231007019551,186g,,['Hop la'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,jambon fume cuit - aux produits saugets - 10tranches,2291847070327,10 tranches,,['aux produits saugets'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 25.357.050 CE', 'Maisons-du-Bois-Lièvremont (Doubs, France)']",,
227,Bebeto,8690146118497,,,,['France'],[],[],?,327,0,"77,3","4,5",,,,,,,,,,,,,1368 kj(327 kcal),,,0,,,"68,1",,,"0,04",,"0,016",,,,,,,,,,,,,,,,,,,,,,,,,
228,Weihnachtsfiguren - 200g,8717185470796,200 g,['Stück'],,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Bauletto cèpes parmigiano,3254566501724,,,,['France'],[],[],?,216,"5,7",29,11,,,,,,,,,,,,,904 kj(216 kcal),,,"1,64",,,"5,3",,,"0,876",,"0,35",,,,,,,,,,,,,,,,,,,,,,,,,
230,Tomme bleutée,2246067013050,,,,['France'],[],[],?,310,25,"0,4",21,,,,,,,,,,,,,1297 kj(310 kcal),,,15,,,"0,2",,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,
231,Filet mignon de porc - Picard - 1,0201556040872,1,,['Picard'],['France'],[],[],?,?,?,?,?,"['Viandes', 'Porc', 'Filet mignon de porc']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,,,['Picard'],,,,,,,
232,Merguez,2685030025988,,,,['France'],[],[],?,?,?,?,?,"['Viandes', 'Charcuteries', 'Saucisses', 'Merguez']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,92.9%,4.8%,1.4%,0.6%,0.3%,0.1%,4,,,,,,,,"['FR 01.263.001 CE', 'Montmerle-sur-Saône (Ain, France)']",,
233,Merci Tafelschokolade Weisse Himbeere - 100g,0062200008422,100 g,['Stück'],,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Bolachas Mini Cookies - Continente,5601312047308,,,['Continente'],"['France', 'Portugal']",[],[],?,502,25,61,"6,7",,,,,,,,,,,,,2100 kj(502 kcal),,,14,,,36,,,"0,68",,"0,272",,,,,,,,,,,,,,,,,,['Continente'],,,,,,,
235,Pistaches décortiquées - Sun,3068230010029,,,['Sun'],['France'],[],[],?,?,?,?,?,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Pistaches', 'Pistaches décortiquées']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,80.2%,0.0%,5.4%,8.3%,3.7%,2.3%,40,,,,,,,,,,
236,Eclats Amandes Chocolat - Pasquier,3187670155074,,,['Pasquier'],['France'],[],[],?,414,27,37,"7,2",,,,,,,,,,,,,1732 kj(414 kcal),,,12,,,23,,,"0,17",,"0,068",,,,,,,,,,,,,,,,,,,,,,,,,
237,Toasts aperitifs,3273310346619,,,,['France'],[],[],?,328,"22,8","24,3","5,4",,,,,,,,,,,,,1372 kj(328 kcal),,,"9,2",,,"2,4",,,"1,33",,"0,532",,,,,,,,,,,,,,,,,,,,,,,,,
238,Coffret Collection Grands Crus Miels De France,3770003937128,,,,['France'],[],[],?,?,?,?,?,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,
239,Pied de Mouton - Mon marché plaisir - 200g,3250392308360,200 g,['Plastique'],"['Mon marché plaisir', 'Sélection Intermarché']",['France'],"['Pied de mouton ', 'Hydnum Repandum']",[],?,?,?,?,?,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Viandes', 'Légumes et dérivés', 'Frais', 'Champignons et produits dérivés', 'Aliments à base de plantes frais', 'Champignons', 'Viandes de mouton', 'Pied de mouton']",['Catégorie I'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Intermarché'],,,,['France'],,,
240,MIX BARBECUE,2600454004531,,,,['France'],[],[],?,177,5,20,7,,,,,,,,,,,,,741 kj(177 kcal),,,0,,,18,,,48,,"19,2",,,,,,,,,,,,,,,,,,,,,,,,,
241,Comté 20 mois d'affinage - Juraflore,2481234034500,,,['Juraflore'],['France'],"['lait cru', 'ferments lactiques ', 'lait', 'sel', 'présure']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,418,35,0,27,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",['AOP'],35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.9 g,en quantité modérée,,+5%,1749 kj(418 kcal),+6%,+7%,23,+6%,-100%,0,-100%,+7%,"0,9",-8%,"0,36",-8%,13,-3%,D,-3%,D,,3,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,['Lait'],,,,
242,Donuts coco noisette,0000602013125,,,,['France'],[],[],?,435,24,48,"5,8","['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",['Fabriqué en France'],24 g,en quantité élevée,10 g,en quantité élevée,21 g,en quantité élevée,0.84 g,en quantité modérée,,+6%,1820 kj(435 kcal),+6%,+5%,10,-6%,+7%,21,+25%,-2%,"0,84",-12%,"0,336",-12%,21,+8%,E,+8%,B,,,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,,,,
243,Lebkuchen - Coppenrath - 33g,4006952007957,33 g,['Stück'],['Coppenrath'],"['France', 'Allemagne']",[],[],?,?,?,?,?,"['Biscuits et gâteaux', ""Pains d'épices""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,,,,,,,
244,Milka Alpenmilch - 40g,7622210007483,40 g,['Stück'],['Milka'],"['Autriche', 'France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Love Hearts Giant - 38g,0076710000043,38 g,['Stück'],,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Filets de poulet rôti - Le Gaulois - 300g,2431628044011,300g,,['Le Gaulois'],['France'],"['Filets de poulet avec peau origine France', 'eau', 'sel', 'huile de tournesol', 'sucre roux', 'sirop de glucose de blé,protéines de pois', 'fibres de carotte', 'épaississant: carraghénanes']",[],?,151,"5,8",0,24,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Sans conservateurs'],5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,,+15%,632 kj(151 kcal),+16%,+101%,"1,4",+88%,-100%,0,-100%,+5%,"1,4",+87%,"0,56",+87%,3,,C,,C,,4,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,,,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",,
247,Croquants Fleur Oranger - 120g,3770002597224,120 g,,,['France'],[],[],?,?,?,?,?,,"['Bio', 'Bio européen', 'en:gluten-free', 'FR-BIO-01', 'Sans colorants', 'Sans lactose', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,Quenelles De Volaille Au Naturel -,3104700014002,,,,['France'],[],[],?,171,12,11,"4,2","['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Quenelles', 'Quenelle de volaille', 'Quenelles de poulet']",,12 g,en quantité modérée,7 g,en quantité élevée,0.2 g,en faible quantité,1 g,en quantité modérée,,-8%,715 kj(171 kcal),-6%,+2%,7,+22%,-7%,"0,2",-68%,-33%,1,-6%,"0,4",-6%,12,+23%,D,+23%,D,,,84.3%,9.6%,2.5%,2.3%,1.1%,0.3%,37,,,,,,,,,,
249,Germe de soja,0256211013456,,,,['France'],[],[],?,347,"1,2",63,24,,,,,,,,,,,,,1452 kj(347 kcal),,,"0,3",,,7,,,"0,015",,"0,006",,,,,,,,,,,,,,,,,,,,,,,,,
250,Cuisses de Poulet,2600147036016,,,,['France'],[],[],?,204,15,0,17,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']","['Viande Française', 'Volaille-francaise']",15 g,en quantité modérée,4.9 g,en quantité modérée,0 g,en faible quantité,0.2 g,en faible quantité,,+7%,854 kj(204 kcal),+7%,+21%,"4,9",+46%,-100%,0,-100%,-8%,"0,2",-74%,"0,08",-74%,1,-72%,B,-72%,D,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,
251,Bebo vida cola light,8437011767004,,,,['France'],[],[],?,0,0,0,"0,01","['Boissons', 'Boissons gazeuses', 'Boissons édulcorées', 'Sodas', 'Boissons light', 'Sodas au cola', 'Sodas light', 'Sodas au cola light']",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-100%,0 kj(0 kcal),-100%,-100%,0,-100%,-100%,0,-100%,-71%,0,-100%,0,-100%,0,-100%,B,-100%,,,,,,,,,,,,,,,,,,,,
252,Chocolate butter biscuits - Memento - 125g,25109856,125 g,,['Memento'],"['France', 'Irlande']","['DARK CHOCOLATE ', '63% ', ' ', 'Sugar', 'Cocoa Mass', 'Cocoa Butter', 'Butter Oil ', 'Milk', 'Emulsifier: Lecithins ', 'Soya', 'Wheat Flour', 'Sugar', 'BUTTER ', '4', '5 %', ' ', 'Milk', 'Glucose Syrup', 'Raising Agents: Sodium Carbonates', 'Ammonium Carbonates']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,487,21,66,"5,8","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits au chocolat noir']","['Végétarien', 'Agriculture durable', 'en:UTZ Certified']",21 g,en quantité élevée,13 g,en quantité élevée,36 g,en quantité élevée,0.21 g,en faible quantité,,-2%,2038 kj(487 kcal),-2%,-13%,13,-2%,+8%,36,+14%,-15%,"0,21",-58%,"0,084",-58%,19,-9%,E,-9%,C,,4,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,['Aldi'],"['E322 - Lécithines', 'E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium""]",,"['Gluten', 'Lait', 'Soja']",,,,
253,Délice de bourgogne -,0208079017381,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Dés de jambon sans polyphosphate,3276230013289,,,,['France'],[],[],?,130,"5,5","2,5","17,5",,,,,,,,,,,,,544 kj(130 kcal),,,"2,2",,,"2,5",,,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,,,"['FR 44.180.004 CE', 'Saint-Mars-la-Jaille (Loire-Atlantique, France)']",,
255,Velouté d'Asperges -,3700238345146,,,,['France'],[],[],?,33,"1,5","3,6","0,9","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes', ""Veloutés d'asperges""]","['Sans colorants', 'Sans conservateurs']",1.5 g,en faible quantité,0.8 g,en faible quantité,0.5 g,en faible quantité,0.61 g,en quantité modérée,,-57%,138 kj(33 kcal),-57%,-54%,"0,8",-30%,-63%,"0,5",-70%,-59%,"0,61",-34%,"0,244",-34%,2,-22%,B,-22%,B,,,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,,,,,,,,,
256,Corny Banane -  - 25g,0031100002410,25 g,['Stück'],,"['France', 'Allemagne']",[],[],?,?,?,?,?,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks sucrés', 'Petit-déjeuners', 'Céréales et dérivés', 'Barres', 'Céréales pour petit-déjeuner', 'Barres de céréales', 'Mueslis', 'Céréales aux fruits', 'Mueslis aux fruits']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,,,,,,,
257,Le petit normand,2226289008072,,,,['France'],[],[],?,483,21,64,8,,['AOP'],,,,,,,,,,,2021 kj(483 kcal),,,13,,,29,,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,
258,choco rond - 28.5g,3700181509053,28.5 g,,,['France'],[],[],?,521,31,54,"6,1",,,,,,,,,,,,,2180 kj(521 kcal),,,18,,,37,,,"0,27",,"0,108",,,,,,,,,,,,,,,,,,,,,,,,,
259,Courge noix de beurre - Les Paysans Bio - 1pièce,3664641000521,1 pièce,,['Les Paysans Bio'],['France'],[],[],?,?,?,?,?,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Produits de la plante de courge', 'Courges et dérivés', 'Courges', 'Courges Butternut']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture France']",,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,65.4%,0.0%,0.0%,15.1%,15.4%,4.1%,97,,,,,,,['France'],,,
260,Rape delice a l'emmental,5400740031060,,,,['France'],[],[],?,310,20,19,15,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages râpés', 'Emmentals râpés']",,20 g,en quantité modérée,12 g,en quantité élevée,0.8 g,en faible quantité,1.9 g,en quantité élevée,,-17%,1297 kj(310 kcal),-17%,-31%,12,-39%,+1999%,"0,8",+99%,-45%,"1,9",+151%,"0,76",+151%,16,+34%,D,+34%,D,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
261,Couronne Pâte a Choux,0200657009849,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Poulet jaune 3 filets - Volandry,2860148040478,,,['Volandry'],['France'],[],[],?,?,?,?,?,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,
263,Saucisse sèche à la perche de montagne,2871750036278,,,,['France'],[],[],?,406,30,"4,1",30,,,,,,,,,,,,,1699 kj(406 kcal),,,12,,,"1,6",,,"4,8",,"1,92",,,,,,,,,,,,,,,,,,,,,,,"['FR 81.124.008 CE', 'Lacaune (Tarn, France)']",,
264,Philadelphia,05777983,,,['Philadelphia'],['France'],[],[],?,225,21,"4,3","5,4",,,,,,,,,,,,,941 kj(225 kcal),,,14,,,"4,3",,,"0,75",,"0,3",,,,,,,,,,,,,,,,,,,,,,,,,
265,Pain poilant,0053100008223,,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Lait demi écrémé - Delhaize,5400119517188,,,['Delhaize'],"['Belgique', 'France']",[],[],?,?,?,?,?,"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits demi-écrémés', 'Laits UHT']","['Bio', 'Bio européen', 'BE-BIO-02', 'Agriculture UE']",,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,['Delhaize'],,,,,,,
267,Crêpes de Froment Bio - 360g,3448040001569,360 g,,,['France'],[],[],?,237,"5,7",39,"6,7","['Crêpes et galettes', 'Crêpes']","['Bio', 'Bio européen', 'FR-BIO-01']",5.7 g,en quantité modérée,0.9 g,en faible quantité,14 g,en quantité élevée,0.58 g,en quantité modérée,,-23%,992 kj(237 kcal),-23%,-42%,"0,9",-75%,-14%,14,-34%,-6%,"0,58",-29%,"0,232",-29%,3,-75%,C,-75%,B,,,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,,,,,,,,,,
268,Jules Destrooper,5410471903222,,,['Jules Destrooper'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
