,name,bar_code,quantity,packaging,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,brand_owner,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,link,markets,additives,generic_name,allergens,ingredients_origins,traceability_code,palm_ingredients,producer_info
10,Powerade Ice Storm 50CL (X12),5449000085276,,,['Powerade'],['France'],[],[],?,18,0,"4,1",0,['Boissons'],,0 g,en faible quantité,0 g,en faible quantité,4.1 g,en quantité modérée,0.13 g,en faible quantité,,-68%,75 kj(18 kcal),-69%,-100%,0,-100%,-64%,"4,1",-57%,-100%,"0,13",+213%,"0,052",+213%,6,-22%,D,-22%,,,,,,,,,,,,,,,"boisson hydratante diététique de l'effort isotonique aromatisée, avec sucres et édulcorants",,,,,
11,Alku Sadonkorjuu puuro - Fazer,6413466121907,,,['Fazer'],"['Finlande', 'France']","['Täysjyväkaurahiutale', 'täysjyväohrahiutale', 'täysjyväruishiutale', 'auringonkukansiemen ', '5 %', 'pellavansiemen ', '4 %', 'kurpitsansiemen ', '3 %']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,385,11,51,14,,"['Riche en fibres', 'Sans sucre ajouté', 'Sans additifs', 'fi:Hyvää Suomesta', 'fi:Sydänmerkki']",,,,,,,,,,,1611 kj(385 kcal),,,"1,7",,,"1,1",,,0,,0,,,,,,,,,,,,,,,,['Finland'],,,,,['Gluten'],,,,
12,Nestle Lion Milkshake,7613035176331,,,,['France'],[],[],?,382,"3,1","81,2","4,5",,,,,,,,,,,,,1598 kj(382 kcal),,,"1,3",,,"79,5",,,"0,32",,"0,128",,,,,,,,,,,,,,,,,,,,,,,,,
13,Linguine Oro gragnano,8033986411616,,,,['France'],[],[],?,356,"1,36",0,"13,5",,,,,,,,,,,,,1490 kj(356 kcal),,,"0,2",,,0,,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,
14,Tesco Vegetable Gravy Granules,5051790857539,,['card-tub'],['Tesco'],"['France', 'Royaume-Uni']",[],[],?,35,"2,3","3,3","0,1",,,,,,,,,,,,,146 kj(35 kcal),,,"1,3",,,"0,4",,,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,,
15,Vol au Vent - Conserverie St Christophe - 450g,3565700000547,450 g,,['Conserverie St Christophe'],['France'],"['Poule 30%', 'Sauce : Bouillon de poule', 'Champignons', 'Farine ', 'GLUTEN', 'CRÈME FRACHE', 'Sel', 'Poivre', 'Aromates', ' Viandes origine France', "" Poids net : 3 565700 000547'""]","['Non végétalien', 'Non végétarien']",485,116,"1,8",16,2,"['Plats préparés', 'Feuilleté salé', 'Bouchée à la reine', 'en:Chicken meals']",,1.8 g,en faible quantité,1.2 g,en faible quantité,1 g,en faible quantité,0.51 g,en quantité modérée,,-60%,485 kj(116 kcal),-62%,-91%,"1,2",-89%,-33%,1,-26%,-72%,"0,51",-54%,"0,204",-54%,3,-77%,C,-77%,,,4,,,,,,,,,,,,,['Gluten'],,,,
16,Sauce Vinaigrette à La Provençale,3144550005591,,,,['France'],[],[],?,476,52,"1,3","0,3","['Epicerie', 'Sauces', 'Sauces salades', 'Vinaigrettes']",,52 g,en quantité élevée,7.4 g,en quantité élevée,0.3 g,en faible quantité,0.7 g,en quantité modérée,,+31%,1992 kj(476 kcal),+33%,+41%,"7,4",+96%,-73%,"0,3",-91%,-49%,"0,7",-64%,"0,28",-64%,15,+1%,D,+1%,D,,,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,,
17,Jambon de Parme,2115790030965,,,,['France'],[],[],?,267,18,"0,5",26,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Jambons', 'Jambons crus', 'Jambons secs', 'Produits carnés italiens', 'Jambons de Parme', 'en:raw-cured-ham']",,18 g,en quantité modérée,6.1 g,en quantité élevée,0 g,en faible quantité,4.4 g,en quantité élevée,,+5%,1117 kj(267 kcal),+4%,+11%,"6,1",+9%,+37%,0,-100%,-4%,"4,4",-10%,"1,76",-10%,19,+5%,E,+5%,E,,,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,,,,
18,fontestau cru bourgeois - fontesteau - 750ml,3760090520068,750 ml,['Bottle'],['Fontesteau'],"['France', 'Allemagne']",[],[],?,?,?,?,?,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français', 'Bordeaux']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,['médoc'],,,,,,['France'],,,
19,palette à la diable - ILLER - 1,2657317076426,1,['sachet plastique'],['ILLER'],['France'],[],[],?,?,?,?,?,['Porc moutardes'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
