,name,bar_code,quantity,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,brand,eco_score,packaging,categories,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,manufacturing,traceability_code,additives,nova_score,allergens,brand_owner,ingredients_origins,link,palm_ingredients,origin_detail
850,Dessert patissier pommes sur pâte croustillant - U Saveurs - 2x 90g,3368955826777,2 x 90 g,['France'],"['Morceaux de pommes ', 'origine France', ' 52', '1%', 'sucre', 'chocolat blanc ', 'sucre', 'poudre de LAIT entier', 'beurre de cacao', 'émulsifiant : lécithine de SOJA', 'arôme naturel de vanille', 'huile de tournesol', 'farine de BLE ', 'origine France', ' 4', '5%', 'poudre de LAIT entier', 'poudre de LAIT ÉCRÉMÉ', 'poudre de LACTOSERUM', 'amidon modifié de pomme de terre', 'jus de citron concentré', 'BEURRE', 'épaississant : pectines', 'MATIÈRE GRASSE LAITIÈRE anhydre ', 'LAIT', 'beurre de cacao', 'émulsifiant : lécithine de SOJA', 'poudres à lever : carbonates et diphosphates de sodium', 'sel']","['Sans huile de palme', 'Non végétalien']",1007,240,1007 kj(240 kcal),10,"3,1",34,29,"2,1","0,11","0,044","['Pommes de France', 'Transformé en France', 'Emballage PEFC']","['U Saveurs', 'U']",,['Frais'],['Desserts'],['Magasins U'],10 g,en quantité modérée,3.1 g,en quantité modérée,29 g,en quantité élevée,0.11 g,en faible quantité,+36%,+36%,+37%,+47%,-14%,+43%,+58%,-34%,-17%,-17%,10,+48%,C,+48%,,,,,,,,,,,"['E322i - Lécithine', 'E14XX - Amidons modifiés', 'E440 - Pectines', 'E500 - Carbonates de sodium', 'E450i - Pyrophosphate de sodium acide']",4,"['Gluten', 'Lait', 'Soja']",,,,,
851,Actimel,3033491628962,,['France'],[],[],?,59,247 kj(59 kcal),"1,4","0,9","7,8","7,6","3,1","0,1","0,04",,['Actimel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,Cereales babybio,3288131500164,,['France'],[],[],?,383,1602 kj(383 kcal),"1,8","0,7",78,3,12,,,['Bio'],['Babybio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,Cafe au lait - Plantation,3564706600386,,['France'],[],[],?,27,113 kj(27 kcal),1,"0,8",3,"1,5","1,5",,,,"['Plantation', 'Marque Repère']",,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,Saucisse de Montbéliard,3250392937584,,['France'],[],[],?,344,1439 kj(344 kcal),"30,6","12,2","0,5","0,5",17,"1,9","0,76",,,E,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Montbéliard']",,30.6 g,en quantité élevée,12.2 g,en quantité élevée,0.5 g,en faible quantité,1.9 g,en quantité élevée,,+5%,+5%,+9%,+9%,-42%,-29%,+5%,-14%,-14%,22,-1%,E,-1%,72.4%,18.3%,4.1%,1.4%,0.8%,3.0%,28,,,,,,,,,,,
855,Sel de Guerande - Espig,3102870057454,,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,0,?,,,,['Espig'],B,,"['Epicerie', 'Condiments', 'Sels', 'Sels français', 'Sels marins', 'Sels de Guérande']",,,,0 g,en faible quantité,0 g,en faible quantité,,,,,-100%,,-100%,,-100%,,,,,,,,50.9%,0.0%,27.5%,11.1%,10.5%,0.0%,98,,,,,,,,['France'],,,
856,Haricots blancs cuisinés,3760300060391,,['France'],[],[],?,83,347 kj(83 kcal),2,"0,2","9,1",0,"4,9","0,9","0,36",,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Haricots', 'Haricots blancs']",,2 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,0.9 g,en quantité modérée,,-43%,-41%,+94%,-17%,-47%,-100%,-46%,+50%,+50%,1,,B,,,,,,,,,,,,,,,,,,,
857,Saucisses de volaille,4056489278269,,['France'],[],[],?,810,3389 kj(810 kcal),15,"6,1","0,5","0,5",15,"1,6","0,64",,,E,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses de volaille']",,15 g,en quantité modérée,6.1 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,,+350%,+344%,+27%,+68%,-60%,-4%,-9%,-10%,-10%,23,+134%,E,+134%,88.4%,6.6%,1.6%,0.9%,0.5%,2.0%,17,,,,,,,,,,,
858,Perle de coco,3760297131159,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,Pepites de chocolat noir - Rapunzel,4006040325529,,['France'],[],[],?,566,2368 kj(566 kcal),40,24,46,44,"3,8",,,"['Bio', 'Bio européen', 'DE-ÖKO-001']",['Rapunzel'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
