,name,bar_code,quantity,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,brand,eco_score,packaging,categories,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,manufacturing,traceability_code,additives,nova_score,allergens,brand_owner,ingredients_origins,link,palm_ingredients,origin_detail
0,Tartelettes panachees - 390g,3187670616292,390 g,['France'],[],[],?,364,1523 kj(364 kcal),20,13,42,23,"4,1","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sobrassada de Mallorca - 150g,8423395620851,150 g,['France'],[],[],?,577,2414 kj(577 kcal),67,30,"0,5","0,5","8,5",2,"0,8",['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Conchas Arroz Integral Bio 500 G Castagno,8013885050840,,['France'],[],[],?,357,1494 kj(357 kcal),3,"0,8",74,"2,8","6,9",0,0,['Bio'],['Castagno'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BucatinIGPasta di gragnano IGP no,8000139004209,,['France'],[],[],?,351,1469 kj(351 kcal),1,"0,2",70,3,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Chocolat,3663901006532,,['France'],[],[],?,561,2347 kj(561 kcal),36,22,51,50,"7,2","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Lentilles blondes - Casino Bio,3222477370043,,['France'],[],[],1377,1377,1377 kj(1377 kcal),"1,5","0,2",45,"1,7",24,0,0,['Bio'],['Casino Bio'],B,"['Sachet', 'Plastique']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles', 'Lentilles blondes']",['Casino'],1.5 g,en faible quantité,0.2 g,en faible quantité,1.7 g,en faible quantité,0 g,en faible quantité,+5%,+325%,+1%,0%,-17%,+2%,+10%,-2%,-100%,-100%,-6,,A,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,,,,,,,,,,,
6,Gommes propolis et miel-eucalyptus - Famille Mary - 45g,3760115093027,45g,['France'],"['gomme arabique* 46%', 'sucre roux*', 'miel* 17%', 'extrait de propolis* 5%', ""arôme naturel d'eucalyptus* 0,23%"", 'arôme menthe', 'agent anti-adhérent : huile végétale de tournesol* et cire de carnauba*', ""menthol cristallisé *ingrédients issus de l'agriculture biologique""]",['Non végétalien'],1269,302,1269 kj(302 kcal),"0,1","< 0,1","59,3","49,6","1,2","0,03","0,012","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['Famille Mary'],,['sachet plastique'],['Gommes pour la gorge'],"['Mary', 'Web']",0.1 g,en faible quantité,0.1 g,en faible quantité,49.6 g,en quantité élevée,0.03 g,en faible quantité,,,,,,,,,,,8,,C,,,,,,,,,"Gomme propolis et miel, bio - eucalyptus",['49450 st André de la marche'],"['34255B', 'EMB 34255B', 'Saint-Gély-du-Fesc (Hérault, France)']","[""E414 - Gomme d'acacia""]",4,,,,,,
7,Hydrosport super fuel - Monster Energy - 650ml,5060639124572,650 ml,['France'],"['EAU', ""ACIDIFIANTS' "", 'ACIDE', ' CITRIQUE', 'ACIDE TARTRIQUE', ""CORRECTEUR D'ACIDITÉ "", 'CITRATES DE SODIUM', 'ELECTROLYTES ', 'CITRATES DE MAGNÉSIUM', 'PHOSPHATES DE POTASSIUM', 'LACTATE DE CALCIUM', 'ARÔMES', 'ACIDES AMINÉS BCAA ', '0,07%', ' ', 'L-LEUCINE', 'L-ISOLEUCINÉ', 'L-VALIMĖ', 'CONSERVATEURS ', 'SORBATE DE POTASSIUM', 'BENZOATE DE SODIUM', 'CHLORURE DE SODIUM', ""CAFÉINE D'ORIGINE NATURELLE "", '0,03%', 'ÉDULCORANTS ', 'SUCRALOSE', 'ACÉSULFAME-K', 'VITAMINES [B3 ', 'NICOTINAMIDE', 'B6 ', 'CHLORHYDRATE DE PYRIDOXINE', ']', 'INOSITOL']",[],7,2,7 kj(2 kcal),"0,73",0,"0,5",0,"0,07","0,11","0,044",,"['Monster Energy', 'Monster']",,['Can'],"['Boissons', 'Boissons énergisantes']",,0.73 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,-95%,-94%,-95%,+998%,-100%,-94%,-100%,-52%,-4%,-4%,1,-91%,B,-91%,,,,,,,,,,,"['E334 - Acide L-tartrique', 'E331 - Citrates de sodium', 'E641 - L-leucine', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E955 - Sucralose', 'E950 - Acésulfame K']",4,,,,,,
8,Bananes chips,3760091570406,,['France'],[],[],?,487,2038 kj(487 kcal),"26,4","22,8","57,5","50,8","2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Mozzarella di bufala,8024659202075,,['France'],[],[],?,262,1096 kj(262 kcal),23,16,"0,7","0,7",13,"0,6","0,24",,,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Fromages au lait de bufflonne', 'Mozzarella', 'Mozzarella de bufflonne']",,23 g,en quantité élevée,16 g,en quantité élevée,0.7 g,en faible quantité,0.6 g,en quantité modérée,,-2%,-2%,-0%,+1%,-6%,+14%,-10%,-2%,-2%,10,-2%,C,-2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,
10,Confiserie -,2600280020934,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Jambon cuit supérieur - 10x 40g,3240650085409,10 x 40 g,['France'],[],[],?,120,502 kj(120 kcal),4,"1,6",1,"0,5",20,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Amandes décortiquées,2609849048877,,['France'],[],[],?,645,2699 kj(645 kcal),"49,9","3,8","21,5","4,2","21,1",,,,,E,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Amandes', 'Amandes décortiquées']",,49.9 g,en quantité élevée,3.8 g,en quantité modérée,4.2 g,en faible quantité,,,,+3%,+3%,-3%,-5%,+64%,+7%,-6%,,,,,,,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,,,,,,,,
13,Câpres non pareilles,0055789011709,,"['Canada', 'France']",[],[],?,0,0 kj(0 kcal),0,0,0,,0,"4,688","1,875",,,,['Pot'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Mandeln gemahlen. Backen troso - Kaufland classic - 200g,4337185684760,200g,"['France', 'Allemagne']",[],[],2601,629,2601 kj(629 kcal),54,"4,5","5,1","4,4",27,"0,03","0,012",,['Kaufland classic'],,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Farines', 'Fruits à coques et dérivés', 'Farines de fruits à coques']",,54 g,en quantité élevée,4.5 g,en quantité modérée,4.4 g,en faible quantité,0.03 g,en faible quantité,+10%,+5%,+4%,+13%,+18%,-65%,-23%,+29%,+8%,+8%,6,+14%,C,+14%,,,,,,,,,,,,,,,,,,
15,Fromage frais,3250392916978,,['France'],[],[],?,305,1276 kj(305 kcal),"29,2","19,6","1,6","1,6","8,6","1,4","0,56",,,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",,29.2 g,en quantité élevée,19.6 g,en quantité élevée,1.6 g,en faible quantité,1.4 g,en quantité modérée,,-7%,-7%,+10%,+10%,+32%,+116%,-58%,+8%,+8%,14,+2%,D,+2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,
16,Chocolat blanc - U - 2x 100g,3256227763397,2 x 100 g,['France'],"['Sucre', 'poudre de LAIT entier', 'beurre de cacao', 'LACTOSERUM en poudre', 'émulsifiant : lécithines de tournesol', 'arôme naturel de vanille', ' Traces éventuelles de fruits à coque et de céréales contenant du gluten']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",2257,540,2257 kj(540 kcal),31,19,58,58,"7,3","0,31","0,124","['Transformé en France', 'Triman']","['U', 'U Mat & Lou']",E,['Tablette'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats blancs']",['Magasins U'],31 g,en quantité élevée,19 g,en quantité élevée,58 g,en quantité élevée,0.31 g,en quantité modérée,-4%,-4%,-4%,-14%,-12%,+9%,+15%,+9%,+21%,+21%,27,+1%,E,+1%,91.5%,4.7%,1.2%,2.1%,0.4%,0.0%,24,,,,['E322i - Lécithine'],4,['Lait'],,,,,
17,Papaye en tranches,3297380000073,,['France'],[],[],?,62,259 kj(62 kcal),0,0,65,29,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Mini kievs - bernard Matthews,5010236114322,,"['France', 'Royaume-Uni']","['Turkey 40%', 'Water', 'Processed Cheese 13% ', 'Cheese ', 'Milk', ' 67%', 'Water', 'Starch', 'Skimmed Milk Powder', 'stabiliser ', 'Sodium Tripolyphosphate', 'Breadcrumb ', 'Wheat Flour ', 'Calcium Carbonate', 'Iron', 'Niacin', 'Thiamin', 'Salt', 'Dextrose', 'Yeast', 'Rapeseed Oil', 'Batter ', 'Wheat Flour ', 'Calcium Carbonate', 'Iron', 'Niacin', 'Thiamin', 'Salt', 'Milk Protein', 'Starch', 'Potassium Chloride', 'Garlic Powder', 'Cheese Powder ', 'Milk', 'Parsley', 'Salt', 'Lemon Juice Concentrate', 'Spirit Vinegar']","['Non végétalien', 'Non végétarien']",?,209,874 kj(209 kcal),"10,8",3,"12,6","0,6","14,2","0,69","0,276",,['bernard Matthews'],D,,"['Viandes', 'Volailles', 'Produits panés', 'Dindes', 'Dindes panées']",,10.8 g,en quantité modérée,3 g,en quantité modérée,0.6 g,en faible quantité,0.69 g,en quantité modérée,,-12%,-10%,-18%,+5%,-15%,-55%,+14%,-43%,-43%,2,-59%,B,-59%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,['E452vi - Tripolyphosphate de sodium et de potassium'],4,"['Gluten', 'Lait']",,,,,
19,Honey roadt ham chunks - Co Op,5000128868006,,"['France', 'Royaume-Uni']",[],[],?,592,2477 kj(592 kcal),"4,6","1,5","2,9","2,9",22,"1,41","0,564",,['Co Op'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Blueberry breakfast biscuits - Belvita,0044000057251,,"['France', 'États-Unis']","['Whole grain blend ', 'rolled oats', 'rye flakes', 'enriched flour [wheat flour', 'niacin', 'reduced iron', 'thiamin mononitrate ', 'vitamin b1', 'riboflavin ', 'vitamin b2', 'folic acid]', 'canola oil', 'sugar', 'whole grain wheat flour', 'evaporated cane sugar', 'dried blueberries', 'malt syrup ', 'from corn and barley', 'invert sugar', 'baking soda', 'salt', 'soy lecithin', 'disodium pyrophosphate', 'natural flavor', 'datem', 'blueberry juice concentrate', 'ferric orthophosphate ', 'iron', 'niacinamide', 'pyridoxine hydrochloride ', 'vitamin b6', 'riboflavin ', 'vitamin b2', 'thiamin mononitrate ', 'vitamin b1']","[""Pourrait contenir de l'huile de palme""]",?,460,1925 kj(460 kcal),16,1,72,26,8,"1,05","0,42",,"['Belvita', 'Mondelez']",C,['30'],"['Snacks', 'Snacks sucrés', 'Petit-déjeuners', 'Biscuits et gâteaux', 'Biscuits']",,16 g,en quantité modérée,1 g,en faible quantité,26 g,en quantité élevée,1.05 g,en quantité modérée,,-3%,-3%,-23%,-90%,+12%,-12%,+23%,+78%,+78%,9,-55%,C,-55%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,"['E500ii - Carbonate acide de sodium', 'E322i - Lécithine', 'E450i - Pyrophosphate de sodium acide', ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras""]",4,"['Gluten', 'Soja']",Nabisco Biscuit Company,,,,
21,Balocco Wafer 45vanilla Esp - Lotte,80028093,,"['France', 'Maroc']",[],[],?,522,2184 kj(522 kcal),29,25,57,28,"7,8","0,38","0,152",,"['Lotte', 'Balocco']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Pure naturally sweetened drink mix,0043000071502,,['France'],"['sugar', 'citric acid', 'maltodextrin', 'contains less than 2% of sodium citrate', 'caffeine', 'stevia leaf extract ', 'sweetener', 'magnesium oxide', 'natural flavor', 'passion fruit juice concentrate', 'niacinamide ', 'vitamin b3', 'vitamin b6', 'vitamin b12', 'soy lecithin', 'black carrot extract and turmeric oleoresin ', 'for color', ' contains: soy', ' kraft heinz foods company', 'chicago', 'il 60601 kraftheinz contains caffeine - 120mg caffeine per each 16 fl oz serving', '1 serving per păcket', ' intended for adults', ' use as directed', ' use caffeine in moderation', ' consult doctor if pregnant / nursing', ' low calorie low sodium']",[],?,15,63 kj(15 kcal),0,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E330 - Acide citrique', 'E331 - Citrates de sodium', 'E322i - Lécithine']",4,['Soja'],,,,,
23,Chocolait au Lait Mousse au Praliné - Auchan - 160g,3245678046784,160 g,['France'],[],[],?,567,2372 kj(567 kcal),37,21,50,48,"8,1","0,26","0,104","['Agriculture durable', 'Point Vert', 'Nutriscore', 'Nutriscore E', 'en:UTZ Certified']",['Auchan'],E,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats fourrés', 'Chocolats au lait fourrés']",['Auchan'],37 g,en quantité élevée,21 g,en quantité élevée,48 g,en quantité élevée,0.26 g,en faible quantité,,+3%,+3%,+8%,+16%,-5%,-3%,+25%,+33%,+33%,28,+10%,E,+10%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,,,,,,,
24,Purée légèrement sucrée pomme framboise,3539671000028,,['France'],[],[],?,68,285 kj(68 kcal),0,0,15,14,0,0,0,['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Spaetzle,3065620433215,,['France'],[],[],?,367,1536 kj(367 kcal),5,"1,3",64,"2,6",15,"0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,glaces  alnatura,4104420207899,,['France'],[],[],?,329,1377 kj(329 kcal),22,13,27,25,"4,9","0,08","0,032",['Bio'],['Alnatura'],,,,['Alnatura'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Jus de fruits et algues Orange, Citron & Wakamé",3770008708310,,['France'],"[""Jus d'orange*"", 'jus de pamplemousse*', 'jus de citron*', 'wakamé*', '*bio']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,43,180 kj(43 kcal),0,0,"9,1",9,"0,6",,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,['Biocoop Caluire'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Il biscotto galletas de teff y trigo sarraceno sin gluten,8056774001851,,['France'],[],[],?,0,0 kj(0 kcal),15,"1,5",68,22,"5,5","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Muffin Vanille Cacao décongelé,,,['France'],[],[],?,462,1933 kj(462 kcal),24,"2,5",55,29,"5,5","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Choux kale surgelé - U - 600g,3256227749414,600 g,['France'],['Choux kale'],[],85,20,85 kj(20 kcal),"0,5","0,1","1,6","0,5","2,4","0,1","0,04",,['U'],,['Surgelés'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Surgelés', 'Légumes et dérivés', 'Aliments à base de plantes surgelés', 'Légumes surgelés']",['Magasins U'],0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.1 g,en faible quantité,-50%,-57%,-55%,-53%,-63%,-66%,-76%,+6%,-39%,-39%,-8,,A,,,,,,,,,,,,,,,,,,,
31,Brandade de morue,3547350008821,,['France'],[],[],?,446,1866 kj(446 kcal),49,3,"0,1","0,1","6,1","0,1","0,04",,,E,,"['Plats préparés', 'Plats préparés au poisson', 'Brandades de morue']",,49 g,en quantité élevée,3 g,en quantité modérée,0.1 g,en faible quantité,0.1 g,en faible quantité,,+102%,+102%,+195%,+42%,-99%,-86%,-10%,-89%,-89%,4,-6%,C,-6%,90.1%,2.6%,1.1%,5.1%,0.6%,0.4%,21,,,,,,,,,,,
32,Whey protein cookie & cream - Foodspring,4260363486422,,['France'],[],[],?,377,1577 kj(377 kcal),"4,3","3,55","5,7","4,7",79,"0,66","0,264",,['Foodspring'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Trempette avocat - Litehouse,0077661153635,,['France'],[],[],?,560,2343 kj(560 kcal),60,4,4,4,"0,4","0,22","0,088",['Sans colorants'],['Litehouse'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Purée pommes pêche de vignes - Paysans d'ici - 380g,3760278861792,380 g,['France'],"['Purée de pomme°* 66,9%', 'purée de pêche de vigne°* 33%', 'jus de citron°']",[],?,61,255 kj(61 kcal),"0,5","0,1",14,12,"0,6",0,0,"['Bio', 'Bio européen', 'Commerce équitable', 'AB Agriculture Biologique', 'Commerce équitable Bio', 'Récolté en France', 'Fabriqué en France', 'Sans sucre ajouté', 'Fabrication artisanale', '100\xa0% fruit', 'Agriculture paysanne', 'Récolté à la main']","[""Paysans d'ici"", 'Ethiquable']",A,['Verre'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Purée de fruits sans sucres ajoutés', 'Compotes pommes pêche']",['Ethiquable'],0.5 g,en faible quantité,0.1 g,en faible quantité,12 g,en quantité modérée,0 g,en faible quantité,,-12%,-12%,-36%,-17%,+10%,+17%,+7%,-100%,-100%,-4,,A,,37.4%,25.4%,14.3%,13.6%,7.2%,2.0%,96,Purée bio de pomme et de pêche de vigne sans sucres ajoutés,"['Monts du Lyonnais', 'Aveize']",,,1,,,"['Aveize', 'Monts du Lyonnais']",https://www.ethiquable.coop/fiche-produit-equitable-et-bio/puree-pomme-peche-vigne-monts-lyonnais-paysans-dici,,
35,Oeufs,3335720025802,,['France'],[],[],?,?,,?,,?,,?,,,,,D,,"[""Produits d'élevages"", 'Œufs']",,,,,,,,,,,,,,,,,,,,,,,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,,,,,,,,,,,
36,Physalis séchée - Ethiquable - 110g,3760278861501,110 g,['France'],['PHYSALIS SECHEE'],[],?,327,1368 kj(327 kcal),"7,3","2,1","49,9","30,6","6,2","< 0,01","0,004","['Bio', 'Bio européen', 'Commerce équitable', 'Symbole des Producteurs Paysans', 'Agriculture Pérou']",['Ethiquable'],,['Sachet'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Physalis séchées']",,7.3 g,en quantité modérée,2.1 g,en quantité modérée,30.6 g,en quantité élevée,0.01 g,en faible quantité,,-0%,-0%,-0%,+86%,+1%,-13%,-11%,-2%,-2%,4,,C,,,,,,,,,,,,,,,,['Pérou'],,,
37,Boisson aux fruits rouges - Agidra,3580283511532,,['France'],[],[],?,43,180 kj(43 kcal),"0,5",0,"9,8","9,6","0,5","0,01","0,004",,['Agidra'],C,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits']",,0.5 g,en faible quantité,0 g,en faible quantité,9.6 g,en quantité élevée,0.01 g,en faible quantité,,-4%,-4%,+216%,-100%,-6%,-0%,+48%,-5%,-5%,13,+93%,E,+93%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,,,,,,,,,,
38,Paté de cabrales elaboración artesana,8414947001075,,['France'],[],[],?,236,987 kj(236 kcal),"18,7","11,1","2,4","0,7","14,5","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Salad cornichons - Kühne - 330g,4012200409114,330 g,['France'],[],[],?,32,134 kj(32 kcal),"0,1","0,1",6,"5,8","0,6","1,2","0,48",,['Kühne'],,"['Bocal en verre', 'Couvercle en métal']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons']",,0.1 g,en faible quantité,0.1 g,en faible quantité,5.8 g,en quantité modérée,1.2 g,en quantité modérée,,+19%,+25%,-66%,+46%,+74%,+122%,-41%,-30%,-30%,1,-54%,B,-54%,,,,,,,,,,,,,,,,,,
40,Océan Pilchards à la sauce tomate - Number One - 425g (280g égoutté),5110817000249,425 g (280 g égoutté),['France'],"['65 % sardine pilchard', '35 %', 'sauce tomate ', 'concentré de tomate 62,30 %', 'eau 30,69 %', 'huile de tournesol raffinée 5 %', 'sel 2 %']",[],?,158,661 kj(158 kcal),"8,9","2,88","< 0,6","< 0,6","19,2","0,498","0,199",,['Number One'],D,['Conserve'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', 'Sardines à la tomate']",,8.9 g,en quantité modérée,2.88 g,en quantité modérée,0.6 g,en faible quantité,0.498 g,en quantité modérée,,-14%,-15%,-26%,-6%,-64%,-36%,+11%,-47%,-47%,-2,-158%,A,-158%,26.4%,30.5%,28.5%,13.5%,0.9%,0.3%,52,,['Maroc'],['MA 2715'],,3,['Poisson'],,,,,
41,Sirop d'érable biologique - Kaede - 250g,3362961911014,250g,['France'],"[""100% Sirop d'érable foncé"", ""goût robuste issu de l'Agriculture Biologique""]",[],1480,348,1480 kj(348 kcal),0,0,87,85,"0,5",0,0,"['Bio', 'en:ca-org-006', 'Agriculture Canada', 'CA ORG-006']",['Kaede'],,"['Flacon', 'Verre']","['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'érable""]",,0 g,en faible quantité,0 g,en faible quantité,85 g,en quantité élevée,0 g,en faible quantité,+22%,+27%,+30%,-100%,-100%,+27%,+39%,+927%,-100%,-100%,14,+6%,D,+6%,,,,,,,,,,,,,,,['Canada'],,,
42,"Yaourt sucré, aux fruits aromatisé - Panier de Yoplait - 2080g",3329770064003,2080 g,['France'],"['Yaourt ', 'LAIT écrémé à base de poudre de LAIT - LAIT écrémé - CREME - Poudre de LAIT écrémé - Ferments LACTIQUES ', 'LAIT', ' - Fruits : Ananas 10', '6% ou Abricot 10% ou Pêche 10% ou Poire 8% - Sucre 8', '9% - Eau - Amidon transformé de maïs - Arômes naturels - Epaississant : Carraghénanes', ""LAIT d'origine France""]",['Non végétalien'],390,92,390 kj(92 kcal),"2,4","1,6","13,4",13,"3,2","0,12","0,048",,"['Panier de Yoplait', 'Yoplait', 'Panier recette classique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yaourt sucré, aux fruits aromatisé",,,"['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",4,['Lait'],,,,,
43,La plume bleu - Merlot - 1,3768215302612,1,['France'],[],[],?,?,,?,,?,,?,,,,['Merlot'],D,,"['Boissons', 'Boissons alcoolisées', 'Boissons à base de vin']",,,,,,,,,,,,,,,,,,,,,,,,46.1%,10.2%,30.8%,8.9%,2.6%,1.4%,46,,,,,,,,,,,
44,Farine Mix plus,4015537001037,,['France'],[],[],?,353,1477 kj(353 kcal),"1,5","0,2","77,1","0,4","4,8",0,0,"['Bio', 'Sans gluten', 'en:EG-Öko-Verordnung']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Bosanski sudzuk,3871302000633,,['France'],[],[],?,439,1837 kj(439 kcal),"46,67","14,5","3,51","2,32","21,56","3,8","1,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Pain au chocolat 3 meuniers x5 - E.Leclerc,,,['France'],[],[],?,367,1536 kj(367 kcal),21,14,38,11,"6,4","0,81","0,324",,['E.Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Soya bolognese - Marks And Spencer,29032389,,['France'],[],[],?,102,427 kj(102 kcal),"7,2","0,8","6,7","3,6","2,4","0,83","0,332",['Fabriqué en Italie'],"['Marks And Spencer', 'Marks & Spencer']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Panko - Aurora,0061659018969,,"['Canada', 'France']",[],[],?,366.6667,1534 kj(366 kcal),0,0,"76,667","3,333",10,"0,375","0,15",,['Aurora'],,['boîte'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Thon pâle en morceaux,0061362433011,,"['Canada', 'France']",[],[],?,109.0909,456 kj(109 kcal),"0,364",0,0,0,"23,636","0,477","0,191",,,,['Conserve'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Gommes Gorge Miel-Propolis-Gelée Royale - 45g,3700221313985,45 g,['France'],[],[],?,0,0 kj(0 kcal),0,0,"0,396","0,228",0,0,0,['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
