,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,traceability_code,packaging,additives,palm_ingredients,allergens,nova_score,manufacturing,markets,ingredients_origins,link,generic_name,brand_owner
556,Gratin dauphinois,2270614060686,['France'],[],[],?,169,707 kj(169 kcal),"11,3","7,6",12,"2,5","4,5","0,546","0,218",,B,"['Plats préparés', 'Gratins', 'Gratins de pomme de terre', 'Gratins dauphinois']",11.3 g,en quantité modérée,7.6 g,en quantité élevée,2.5 g,en faible quantité,0.546 g,en quantité modérée,,+42%,+44%,+96%,+112%,+7%,+55%,+32%,-23%,-23%,11,+135%,D,+135%,54.5%,21.7%,7.8%,8.5%,4.4%,3.1%,89,,,,,,,,,,,,,,
557,Manner - 150g,9000331617091,"['Autriche', 'France']",[],[],?,485,2029 kj(485 kcal),22,13,65,46,"5,6","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 g,,"['Stück', 'Stück', 'Stück', 'Stück']",,,,,,,,,,
558,Tomme de montagne,0202000020662,['France'],[],[],?,345,1443 kj(345 kcal),27,19,1,0,25,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,Filets de poulet rôtis - Leader Price,0217437025982,['France'],[],[],?,146,611 kj(146 kcal),"5,6","1,5","0,7","0,6","23,3","1,3","0,52",['Leader Price'],D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",5.6 g,en quantité modérée,1.5 g,en quantité modérée,0.6 g,en faible quantité,1.3 g,en quantité modérée,,+1%,+0%,+4%,+10%,+21%,+39%,-1%,-3%,-3%,2,-22%,B,-22%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,['Leader Price'],,,,
560,Chocolat noir éclats de fève de cacao et café - Les Créations,64620077,['France'],[],[],?,542,2268 kj(542 kcal),"35,2","21,9","41,7","35,3",8,"0,013","0,005",['Les Créations'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,"Oliva de noire, verte, confinade de tomate",2601006014961,['France'],[],[],?,221,925 kj(221 kcal),22,"2,2","3,5","2,1","1,8","4,13","1,652",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,Celeri remoulade,0209102011093,['France'],[],[],?,126,527 kj(126 kcal),12,"0,9",2,"1,4","1,1","1,2","0,48",,B,"['Plats préparés', 'Frais', 'Plats préparés frais', 'Légumes préparés', 'Céleris Rémoulade']",12 g,en quantité modérée,0.9 g,en faible quantité,1.4 g,en faible quantité,1.2 g,en quantité modérée,,-3%,-3%,+3%,-9%,-39%,-20%,-9%,+19%,+19%,6,+75%,C,+75%,68.7%,4.1%,11.5%,9.5%,4.9%,1.3%,91,,,,,,,,,,,,,,
563,Infusion en gelé grenade coco - 510g,4372338975975,['France'],[],[],?,234,979 kj(234 kcal),0,0,"58,4","44,1","0,13","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510 g,,,,,,,,,,,,
564,Morbier Bio - Jura Flore,2285476033457,['France'],[],[],?,343,1435 kj(343 kcal),"28,1","19,6","0,5",0,22,"1,76","0,704",['Jura Flore'],C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",28.1 g,en quantité élevée,19.6 g,en quantité élevée,0 g,en faible quantité,1.76 g,en quantité élevée,,-3%,-3%,-2%,+1%,-36%,-100%,-3%,+23%,+23%,16,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,
565,Cerneaux de noix,2600132025391,['France'],[],[],?,688,2879 kj(688 kcal),"63,8","5,7","10,8",3,"14,7","0,01","0,004",,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix', 'Cerneaux de noix']",63.8 g,en quantité élevée,5.7 g,en quantité élevée,3 g,en faible quantité,0.01 g,en faible quantité,,+0%,+0%,-0%,-3%,+11%,-6%,-2%,-37%,-37%,3,+16%,C,+16%,87.8%,0.0%,4.7%,2.4%,3.2%,2.0%,36,,,,,,,,,,,,,,
