,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,traceability_code,packaging,additives,palm_ingredients,allergens,nova_score,manufacturing,markets,ingredients_origins,link,generic_name,brand_owner
0,Green curry chicken,8858984821195,['France'],[],[],?,169,707 kj(169 kcal),"4,1","1,3","24,4","12,8","7,4","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Petit pavé héritage,3291810079509,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Pain au comté - Cora,3021990081906,['France'],[],[],?,?,,?,,?,,?,,,['Cora'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sugo Mediterraneo di Melanzane - Cucina Antica,8002960100259,['France'],[],[],?,53,222 kj(53 kcal),"2,9","0,5","4,6","3,5","1,1","0,92","0,368",['Cucina Antica'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Poulet saumure cuit et fumé,0276382039031,['France'],[],[],?,157,657 kj(157 kcal),7,7,"0,6","0,5",22,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ZUNDER MENTHOL,7620184540036,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Confiture de noel,3297771800138,['France'],[],[],?,250,1046 kj(250 kcal),"0,8","0,01","58,7","48,3","2,1","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Filet de poulet roti,0211791025527,['France'],[],[],?,151,632 kj(151 kcal),"5,7","1,7","0,7","0,7","24,1","1,37","0,548",,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",5.7 g,en quantité modérée,1.7 g,en quantité modérée,0.7 g,en faible quantité,1.37 g,en quantité modérée,,+4%,+4%,+6%,+25%,+21%,+62%,+2%,+2%,+2%,3,+17%,C,+17%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
8,Cuisse de poulet noir surgelées,3238990518039,['France'],[],[],?,218,912 kj(218 kcal),16,"4,6","0,5","0,5",18,"0,2","0,08",,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",16 g,en quantité modérée,4.6 g,en quantité modérée,0.5 g,en faible quantité,0.2 g,en faible quantité,,+14%,+14%,+29%,+37%,+57%,+223%,-2%,-74%,-74%,1,-72%,B,-72%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
9,Olive verte entière Picholine du Maroc,3473650500164,['France'],[],[],?,139,582 kj(139 kcal),"12,6","1,2","7,9","0,1","0,7","4,1","1,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,
10,Mélange de fruits rouges,2868711019555,['France'],[],[],?,32,134 kj(32 kcal),"0,25","0,04","6,32","5,21","0,72","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,,
11,Crème de Châtaigne - Giffard,3180290031049,['France'],[],[],?,?,,?,,?,,?,,,['Giffard'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Fourme d'Ambert aop,2444590017914,['France'],[],[],?,340,1423 kj(340 kcal),28,19,2,"0,5",20,"2,5",1,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages de France', 'Fromages à pâte persillée français', ""Fourme d'Ambert""]",28 g,en quantité élevée,19 g,en quantité élevée,0.5 g,en faible quantité,2.5 g,en quantité élevée,,-1%,-0%,-1%,-4%,+103%,+44%,-1%,+13%,+13%,19,+6%,E,+6%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,
13,Comté Bio jura flore,2285475026375,['France'],[],[],?,418,1749 kj(418 kcal),35,23,0,0,27,"0,9","0,36",['Jura Flore'],C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.9 g,en quantité modérée,,+5%,+6%,+7%,+6%,-100%,-100%,+7%,-8%,-8%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,
14,Chocolat waffeln,7610073957700,['France'],[],[],?,550,2301 kj(550 kcal),36,23,52,42,6,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Vodka,7312040551804,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Noix de jambon au poivre -,2806021115581,['France'],[],[],?,?,,?,,?,,?,,,,,['Noix de jambons secs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,
17,zweigelt - 75cl blle verre,9120020321389,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",,,,,,,,,,,,,,,,,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,75cl blle verre,,,,,,,,,,,,
18,Sachet cone paques - 110g,3760052694066,['France'],[],[],?,542,2268 kj(542 kcal),36,"19,7","44,6","38,8","7,15","0,078","0,031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110 g,,,,,,,,,,,,
19,Saucisse de Lyon,3760050060290,['France'],[],[],?,263,1100 kj(263 kcal),24,"8,8","0,7","0,7",11,"2,3","0,92",,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Lyon']",24 g,en quantité élevée,8.8 g,en quantité élevée,0.7 g,en faible quantité,2.3 g,en quantité élevée,,-1%,-2%,+9%,+5%,-44%,-5%,-29%,+15%,+15%,21,+14%,E,+14%,,,,,,,,,,"['FR 68.040.001 CE', 'Bitschwiller-lès-Thann (Haut-Rhin, France)']",,,,,,,,,,,
20,Rillettes d'oie,3700557600339,['France'],[],[],?,459,1920 kj(459 kcal),"45,4",13,0,0,"12,7","1,48","0,592",,D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', ""Rillettes d'oie""]",45.4 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,1.48 g,en quantité modérée,,+14%,+15%,+23%,+9%,-100%,-100%,-20%,+14%,+14%,21,+8%,E,+8%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,,,
21,Coquilles st jacques - eismann - 4x 110g,405197906747,['France'],"['Coquilles Saint-Jacques* à la Bretonne', ' Produit surgelé', ' Préparation de noix de St-Jacques* à la bretonne ', 'coquille naturelle', ' Produit à base de noix de St-Jacques*', 'cuit', 'en sauce', ' Ingrédients Noix de Saint-Jacques* ', '60%', ' ', '*Zygochlamys patagonica', 'Origine: Argentine ', 'A', 'USA ', 'B', 'Uruguay ', 'C', ' ou Chlamys opercularis', 'Origine : Iles Féroé ', 'D', 'Royaume-Uni ', 'E', 'France ', 'F', ' ou Argopecten purpuratus', 'Origine Chili ', 'G', 'Pérou ', 'H', ' ou Placopecten magellanicus Origine : Canada ', '1', ' ou Chlamys islandica', 'Origine : Groenland ', 'J', 'Islande ', 'K', 'Russie ', 'L', 'Chlamys albidus', 'Origine Russie ', 'M', 'eau', 'champignons ', 'champignons', 'eau', 'sel', 'acidifiant acide citrique', ' antioxydant acide ascorbique', 'oignons', 'poud re de lait écrémé', 'vin blanc', 'crème fraîche', 'margarine graisse végétale ', 'palme', 'colza', 'huile végétale ', 'palme', 'colza', 'eau', ""émulsifiant mono - et di-glycérides d'acides gras"", ' acidifiant acide citrique', 'farine de blé', 'beurre ', 'colorant caroténoïdes', 'amidon modifié', 'sel', 'cognac modifié', 'ail', 'persil', 'poivre', ' chapelure ', 'avec gluten', ' Mal atin']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,108,452 kj(108 kcal),"4,2","2,4","6,1","1,2","11,3","0,7","0,28",['Eismann'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Fabriqué en France', 'en:produced-in-bretagne']",4 x 110g,,['Sachet'],"['E330 - Acide citrique', 'E300 - Acide ascorbique', 'E160 - Caroténoïdes', 'E14XX - Amidons modifiés']",['Huile de palme'],"['Gluten', 'Lait', 'Mollusques']",4,,,,,,
22,Ail semoule fine - 600g,3550703029541,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Ail et dérivés', 'Ail', 'Légumes séchés moulus', 'Ail sec broyé']",,,,,,,,,,,,,,,,,,,,,,,25.9%,0.0%,39.7%,11.5%,22.9%,0.0%,95,,600 g,,,,,,,,,,,,
23,Pormoniers de Savoie,2309643004382,['France'],[],[],?,252,1054 kj(252 kcal),23,"9,7",0,0,12,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Saucisse fine brasse,3547448745218,['France'],[],[],?,204,854 kj(204 kcal),"14,3","5,8","2,3","0,4","16,6","1,87","0,748",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Sucette en chocolat au lait décorée,3664382109064,['France'],[],[],?,542,2268 kj(542 kcal),"31,1","18,8","59,1","57,8","5,6","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Emincés de filet de poulet roti,3435660732027,['France'],[],[],?,113,473 kj(113 kcal),"2,8","0,6","1,7","1,7","20,2","2,3","0,92",,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",2.8 g,en faible quantité,0.6 g,en faible quantité,1.7 g,en faible quantité,2.3 g,en quantité élevée,,-22%,-22%,-48%,-56%,+195%,+293%,-14%,+72%,+72%,11,+330%,D,+330%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['en:gluten-free'],,"['FR 22.321.008 CE', ""Saint-Nicolas-du-Pélem (Côtes-d'Armor, France)""]",,,,,,,,,,,
27,Saint Ursin,3760205423390,['France'],[],[],?,306,1280 kj(306 kcal),24,18,"0,5","0,5",22,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Purée Poivron rouge,3700073116055,['France'],[],[],?,34,142 kj(34 kcal),0,0,"5,6","4,3","1,2","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Cantal AOP - Monoprix Gourmet,2200901024664,['France'],[],[],?,368,1540 kj(368 kcal),30,19,"0,5",0,25,"2,1","0,84",['Monoprix Gourmet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 63113', 'Clermont-Ferrand (Puy-de-Dôme, France)']",,,,,,,,,,,
30,Tomate Bio Allongée,3700344609286,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,
31,Saucisses à rôtir - diots,2687220027291,['France'],[],[],?,284,1188 kj(284 kcal),"22,8",10,"0,8","0,8","19,6","2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Viande-francaise', 'Viande-porcine-francaise']",,,,,,,,,,,,,
32,Gratin dauphinois,0214636025713,['France'],[],[],?,170,711 kj(170 kcal),"13,3","8,6","9,6",2,"2,3","0,4","0,16",,B,"['Plats préparés', 'Gratins', 'Gratins de pomme de terre', 'Gratins dauphinois']",13.3 g,en quantité modérée,8.6 g,en quantité élevée,2 g,en faible quantité,0.4 g,en quantité modérée,,+43%,+45%,+130%,+140%,-14%,+24%,-33%,-43%,-43%,11,+135%,D,+135%,54.5%,21.7%,7.8%,8.5%,4.4%,3.1%,89,,,,,,,,,,,,,,
33,"Graine de Tournesol grillées, salées - 250g",3191390154316,['France'],[],[],?,371,1552 kj(371 kcal),24,"2,5","3,5","1,6",13,"7,6","3,04",,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Graines de tournesol et dérivés', 'Graines de tournesol']",24 g,en quantité élevée,2.5 g,en quantité modérée,1.6 g,en faible quantité,7.6 g,en quantité élevée,,-35%,-35%,-47%,-49%,-74%,-34%,-41%,+320%,+320%,16,+20%,D,+20%,78.2%,0.0%,8.3%,4.3%,5.7%,3.5%,55,,250 g,,,,,,,,,,,,
34,COMTE,0239995012594,['France'],[],[],?,431,1803 kj(431 kcal),35,24,2,"0,5",27,"0,9","0,36",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",35 g,en quantité élevée,24 g,en quantité élevée,0.5 g,en faible quantité,0.9 g,en quantité modérée,,+9%,+9%,+7%,+11%,+333%,+80%,+7%,-8%,-8%,13,-3%,D,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
35,Baguette clef des champs - Les Délices de Mendès - 250g,3478920025828,['France'],"['FARINE DE BLÉ', 'graines de SÉSAME toastées', 'levain déshydraté de SEIGLE', 'farine de maïs toastée', 'GLUTEN DE BLÉ', 'farine de BLÉ malté', 'enzymes', 'agent de traitement de la farine : acide ascorbique E300', 'eau', 'sel fin', 'levure : sel']",[],?,?,,?,,?,,?,,,"['Les Délices de Mendès', 'Leclerc']",A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Baguettes']",,,,,,,,,,,,,,,,,,,,,,,46.8%,27.9%,16.1%,8.1%,1.1%,0.0%,95,,250 g,,['Papier'],['E300 - Acide ascorbique'],,"['Gluten', 'Graines de sésame']",4,"['Niort', '79000', 'Deux-Sèvres', 'Nouvelle Aquitaine', 'France']",['Leclerc'],,,,
36,Grana Padano,5057967304363,['France'],[],[],?,119,498 kj(119 kcal),"8,7","5,4",0,0,"9,9","0,5","0,2",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Grana Padano']",8.7 g,en quantité modérée,5.4 g,en quantité élevée,0 g,en faible quantité,0.5 g,en quantité modérée,,-70%,-70%,-70%,-70%,-100%,-100%,-70%,-67%,-67%,3,-80%,C,-80%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
37,Curry - 100g,0641243753645,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 g,,,,,,,,,,,,
38,kougelhopf sucre,2036218008208,['France'],[],[],?,?,,?,,?,,?,,,,,['Kougelhopf'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Poulet Bärlauch - Betty Bossi,7610848057659,['France'],[],[],?,?,,?,,?,,?,,,['Betty Bossi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Organic almond blanched,5906660508274,['France'],[],"['Végétalien', 'Végétarien']",?,612,2561 kj(612 kcal),54,"4,1","5,4","3,9",19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,
41,Aceto balsamico di modena,8053676823918,['France'],[],[],?,144,602 kj(144 kcal),0,0,30,30,"1,3","0,03","0,012",,B,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",0 g,en faible quantité,0 g,en faible quantité,30 g,en quantité élevée,0.03 g,en faible quantité,,-2%,-2%,-100%,-100%,-6%,+3%,+95%,-58%,-58%,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,,,['Italie'],,,
42,Fromage triple crème - 450g,3383680421752,['France'],[],[],?,384,1607 kj(384 kcal),38,26,"2,5","2,5",8,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450 g,,,,,,,,,,,,
43,Farine de châtaigne,3760034000366,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Farines', 'Fruits à coques et dérivés', 'Farines de fruits à coques', 'Farines de châtaignes']",,,,,,,,,,,,,,,,,,,,,,,86.7%,0.8%,3.5%,3.6%,5.5%,0.0%,48,,,,,,,,,,,,,,
44,Spaghetti meatballs,280723,['France'],[],[],?,141,590 kj(141 kcal),"6,8","1,8","11,9","3,1","7,3","0,44","0,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Smooth dark chocolate with coconut center - Jacquot - 4.40oz,3173284198507,['France'],[],[],?,514,2151 kj(514 kcal),32,20,49,43,"4,9","0,02","0,008",['Jacquot'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.40 oz,,,,,,,,,,,,
46,Saumon Norvégien -,8721062402442,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Gorgonzola AOP,0214074017912,['France'],[],[],?,330,1381 kj(330 kcal),27,19,0,0,19,"1,3","0,52",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte persillée', 'Fromages italiens', 'Gorgonzolas']",27 g,en quantité élevée,19 g,en quantité élevée,0 g,en faible quantité,1.3 g,en quantité modérée,,+1%,+1%,-3%,-1%,-100%,-100%,+5%,-13%,-13%,14,-3%,D,-3%,84.7%,5.9%,3.1%,4.1%,1.8%,0.5%,54,,,,,,,,,,,,,,
48,Lamelles kebab de volail,3445425076983,['France'],[],[],?,147,615 kj(147 kcal),"8,2",2,"2,6",0,16,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 76.400.001 CE', 'Luneray (Seine-Maritime, France)']",,,,,,,,,,,
49,Yaourt à l'orange de Valence - Supervalu,5099839256882,['France'],[],[],?,154,644 kj(154 kcal),"7,2","4,5",18,17,"4,2","0,2","0,08",['Supervalu'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Sweety drink mojito,3760240150770,['France'],[],[],?,24,100 kj(24 kcal),0,0,6,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Curry Veggie à l'indienne,2017000031222,['France'],[],[],?,140,586 kj(140 kcal),"2,5","1,38","20,5","1,5","8,3","0,637","0,255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Chardonnay,8410013992056,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Spring'O Pomme Poire - 500ml,3800103433074,['France'],[],[],?,42,176 kj(42 kcal),0,0,"10,5","10,5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],500 ml,,,,,,,,,,,,
54,Yum Yum Shrimp,3760184010918,['France'],[],[],?,75,314 kj(75 kcal),"3,1","1,4","10,3",1,"1,2","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Veloute aux carottes,3272931005523,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,légumes de printemps cuisinés au romarin - Leaderprice - 500g,3263858412310,['France'],[],[],?,112,469 kj(112 kcal),"6,1","4,2","8,8",2,"4,2","0,25","0,1",['Leaderprice'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,,,,
57,Filet de Poulets,2227548027681,['France'],[],[],?,706,2954 kj(706 kcal),"7,1","1,9","0,8","0,7",25,"1,4","0,56",,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",7.1 g,en quantité modérée,1.9 g,en quantité modérée,0.7 g,en faible quantité,1.4 g,en quantité modérée,,+439%,+444%,+147%,+155%,+67%,+188%,+10%,+87%,+87%,15,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
58,Ptilo,3415306315463,['France'],[],[],?,329,1377 kj(329 kcal),0,0,"78,5","60,5","3,8","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Poulet fermier prêt à cuire sans abat avec tarses,0212140076160,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Baies de goji seches,2600328030376,['France'],[],[],?,317,1326 kj(317 kcal),"2,7","0,3","53,9","53,1",13,"0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Kinder bueno white,93698108,"['Australie', 'France']",[],[],?,464,1941 kj(464 kcal),7,"3,3","10,3","8,5","1,7","0,027","0,011",['Kinder'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Woolworths'],,,,
62,Bengali Coconut Daal,5052675000392,['France'],[],[],?,119,498 kj(119 kcal),"5,6","2,3",11,"1,4","4,9",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Hipp Gute Nacht Fläschchen 10 M Getreide,4062300261433,['France'],[],[],?,?,,?,,?,,?,,,['Hipp'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Oignons doux,3180504300459,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Banane,2020985000879,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",,,,,,,,,,,,,,,,,,,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,,,,,,,,,,,,
66,Hauts de cuisses poulet - Auchan,2600023023420,['France'],[],[],?,253,1059 kj(253 kcal),21,"6,5","0,5","0,5",16,"0,2","0,08",['Auchan'],D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",21 g,en quantité élevée,6.5 g,en quantité élevée,0.5 g,en faible quantité,0.2 g,en faible quantité,,+32%,+32%,+69%,+94%,+57%,+223%,-13%,-74%,-74%,4,+13%,C,+13%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,"['FR 30.233.001 CE', 'Saint-Bauzély (Gard, France)']",,,,,,,['Auchan'],,,,
67,Palmeritas - 200g,8410387100279,['France'],[],[],?,561,2347 kj(561 kcal),32,15,60,20,"4,8","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,,
68,Triangle aux amandes,0205254020334,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Sandwich Duo,0256073020333,['France'],[],[],?,343,1435 kj(343 kcal),20,12,28,"1,6",12,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Confiture de cassis - Ferme du petit parenty - 360g,3002163000009,['France'],[],[],?,?,,?,,?,,?,,,['Ferme du petit parenty'],D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de cassis']",,,,,,,,,,,,,,,,,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,360g,,,,,,,,,,,,
71,Toasts panini mexicano - 2x 80g,3760184011083,['France'],[],[],?,318,1331 kj(318 kcal),"16,5","6,7","30,1","2,6","10,8","1,59","0,636",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Halal'],2 x 80 g,,,,,,,,,,,,
72,Lapinous,3367279998023,['France'],[],[],?,568,2377 kj(568 kcal),38,23,50,49,"6,7","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Williamson English Breakfast Tea 50 Bags,5060211290527,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés noirs']",,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,
74,U,3256225044184,['France'],[],[],?,?,,?,,?,,?,,,['U'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,U,3256225044177,['France'],[],[],?,?,,?,,?,,?,,,['U'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,U,3256225044160,['France'],[],[],?,?,,?,,?,,?,,,['U'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Filets d'Anchois - Grand Jury,3245390200365,['France'],[],[],?,218,912 kj(218 kcal),13,"1,7","0,6",0,23,"12,3","4,92",['Grand Jury'],B,"['Produits de la mer', 'Poissons', 'Anchois', 'Filets de poissons', ""Filets d'anchois""]",13 g,en quantité modérée,1.7 g,en quantité modérée,0 g,en faible quantité,12.3 g,en quantité élevée,,+7%,+5%,+5%,-29%,-56%,-100%,+10%,+84%,+84%,13,+5%,D,+5%,64.2%,0.0%,6.1%,25.8%,3.1%,0.8%,78,,,,,,,,,,,,,,
