,name,bar_code,quantity,brand,categories,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,allergens,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,traceability_code,labels,ingredients_origins,manufacturing,link,palm_ingredients,brand_owner,origin_detail,producer_info
1244,Doritos Tortilla chips goût nature le paquet de 170 g,3168930009245,170 g,['Doritos'],"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips', 'Chips de maïs']",,['France'],"['Maïs ', '69%', ',huile de tournesol ', '16,3%', ',huile de colza ', '4,1%', ',sel']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,24 g,en quantité élevée,1.9 g,en quantité modérée,1 g,en faible quantité,0.7 g,en quantité modérée,2081,+4%,497,+3%,2081 kj(497 kcal),+3%,24,+6%,"1,9",-35%,63,+4%,1,-47%,"6,9",+8%,"0,7",-40%,"0,28",-40%,3,-69%,C,-69%,B,,62.4%,19.7%,7.4%,7.2%,3.4%,0.0%,78,Tortilla chips de maïs goût nature,"['Point vert', 'fr’Pensez au tri!', 'Sachet à jeter']",,['Point Vert'],,,,,,,
1245,(poule en chocolat au lait + oeufs) - Jacquot - 250g,3173286417125,250 g,['Jacquot'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Chocolats', 'Moulages en chocolat', 'Aliments de Pâques', 'Œufs de Pâques']",['Spar'],['France'],"['Sucre', 'poudre de lait entier', 'beurre de cacao', 'pâte de cacao', 'lactose', 'matières grasses végétales', 'lactosérum en poudre', 'émulsifiants : lécithine - E476', 'cacao maigre en poudre', 'pâte de noisette', 'arômes', 'poudre de lait écrémé', 'amandes', 'farine de riz', 'farine de blé', ""malt d'orge"", 'sel']","['E322i - Lécithine', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",4,32 g,en quantité élevée,20 g,en quantité élevée,57 g,en quantité élevée,0.15 g,en faible quantité,?,,548,-0%,2293 kj(548 kcal),-0%,32,-5%,20,-0%,58,+8%,57,+9%,"5,9",-11%,"0,15",-26%,"0,06",-26%,26,-0%,E,-0%,,"['Gluten', 'Lait', 'Fruits à coque']",,,,,,,,Chocolat au lait et bonbons de chocolat,['Plastique'],,,['France'],,,,,,
1246,Oeufs en chocolat - Jaquot - pièces,3173286716709,pièces,['Jaquot'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Aliments de Pâques', 'Œufs de Pâques', 'Œufs en chocolat fourrés']",,['France'],[],,[],,32 g,en quantité élevée,20 g,en quantité élevée,56 g,en quantité élevée,0.1 g,en faible quantité,?,,546,-0%,2284 kj(546 kcal),-0%,32,-5%,20,+8%,57,+6%,56,+9%,"6,5",+4%,"0,1",-44%,"0,04",-44%,26,+2%,E,+2%,,,,,,,,,,,,,,,,,,,,
1247,Oeufs de mouettes - Jacquot - 244g,3173286720003,244 g,['Jacquot'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",,['France'],[],,[],,18 g,en quantité modérée,11 g,en quantité élevée,74 g,en quantité élevée,0.1 g,en faible quantité,?,,482,-9%,2017 kj(482 kcal),-9%,18,-44%,11,-37%,75,+43%,74,+56%,"3,7",-37%,"0,1",-35%,"0,04",-35%,26,+7%,E,+7%,,,,,,,,,,,"['Sachet', 'Plastique']",,,,,,,,,
1248,Rochers praliné chocolat au lait - Jacquot,3173287168378,,['Jacquot'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",,['France'],"['sucre', 'graisse végétale ', 'palmiste', 'poudre de lait entier', 'beurre de cacao', 'praliné 7% ', ' pâte de noisettes', 'sucre', 'éclats de noisettescaramélisés 6% ', 'noisettes', 'sucre', 'lactoserum en poudre', 'pâte de cacao', 'cacao maigre en poudre', 'émulsifiant : lécithine de tournesol', 'matière grasse de lait anhydre', 'arômes']",['E322i - Lécithine'],"['Huile de palme', 'Non végétalien']",4,32 g,en quantité élevée,21 g,en quantité élevée,56 g,en quantité élevée,0.18 g,en faible quantité,2254,+1%,546,+3%,2254 kj(546 kcal),+2%,32,0%,21,+21%,58,+11%,56,+18%,"5,3",-10%,"0,18",+18%,"0,072",+18%,26,+7%,E,+7%,,['Fruits à coque'],,,,,,,,,,,,,,,['Huile de palme'],,,
1249,Gâche Pur Beurre - Maline thomas - 400g,3173310011749,400 g,['Maline thomas'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Gâches', 'Brioches pur beurre']",,['France'],"['Farine de blé ', 'gluten', 'œufs frais', 'sucre', 'beurre 14%', 'crème fraîche 7,5%', 'levain 4,5% ', 'farine de blé', 'eau', 'levure', 'sel marin ', 'Noirmoutier ou Guérande', 'arôme']",,['Non végétalien'],4,14 g,en quantité modérée,11.6 g,en quantité élevée,16.2 g,en quantité élevée,0.91 g,en quantité modérée,?,,364,-1%,1523 kj(364 kcal),-1%,14,-2%,"11,6",+25%,51,+0%,"16,2",+11%,"8,5",+5%,"0,91",-4%,"0,364",-4%,21,+14%,E,+14%,C,"['Œufs', 'Gluten', 'Lait']",81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,"['Sachet', 'Plastique']","['EMB 85084', 'Essarts (Vendée, France)']","['Sans additifs', 'Sans conservateurs', 'Pur beurre']",,['Vendée'],,,,,
1250,Gâche éclats chocolat noir - Brioches & Viennoiseries Thomas - 600g,3173310019936,600 g,['Brioches & Viennoiseries Thomas'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches pur beurre']",,['France'],"['provenant du GRAND-OUEST 20% ', 'masse de cacao', 'sucre', 'émdsifiants lécithines ', 'sqja', 'Farine de ble ', 'guten', 'éclats de chocolat noir arôme vanille', 'aeufs frais', 'sucre', 'beurte 11,5%e', 'crème frache 6%o', 'levain ', 'farine de blé', 'eau', 'sel marin ', 'Noirmoutier Guerande', 'arôme', 'levure', ' Contient: guten', ""oeuf's"", ""lait et soja SANS CONSERVATEUR-SANS COLORANT-SANS AJOUT D'ADDITIF""]",,[],4,17 g,en quantité modérée,11 g,en quantité élevée,21 g,en quantité élevée,0.6 g,en quantité modérée,?,,358,-1%,1498 kj(358 kcal),-1%,17,+24%,11,+26%,44,-14%,21,+52%,"6,5",-21%,"0,6",-38%,"0,24",-38%,20,+13%,E,+13%,C,"['Gluten', 'Lait']",81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,['Sachet'],,"['Sans colorants', 'Sans conservateurs']",,,,,,,
1251,Brioche bio tranchée - Brioches et Viennoiseries Thomas - 350g e,3173310021076,350 g e,['Brioches et Viennoiseries Thomas'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches pur beurre', 'Brioches tranchées', 'Brioches tranchées pur beurre']",,['France'],"['Farine de blé* ', 'gluten', 'œufs frais', 'beurre* 14,7%', 'sucre', 'levain* ', 'farine de blé*', 'eau', 'levure', 'sel de Noirmoutier ou de Guérande', ' Dorure: œufs*', "" Ingrédients d'origine agricole obtenus selon le mode de production biologique""]",,['Non végétalien'],4,15 g,en quantité modérée,8.8 g,en quantité élevée,16 g,en quantité élevée,0.8 g,en quantité modérée,?,,376,+4%,1573 kj(376 kcal),+4%,15,+13%,"8,8",+3%,52,+2%,16,+19%,9,+10%,"0,8",-15%,"0,32",-15%,18,+4%,D,+4%,C,"['Œufs', 'Gluten', 'Lait']",81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,"['Sachet', 'Plastique']",,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-09']",,,,,,,
1252,Gâche Bio en tranches - Thomas Brioche - 350g,3173310021342,350 g,['Thomas Brioche'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Gâches']",,['France'],"['Farine de blé ', 'gluten', 'œufs frais', 'sucre', 'beurre 13,9 %', 'crème fraîche 9 %', 'levain ', 'farine de blé', 'eau', 'levure', 'sel marin ', 'Noirmoutier ou Guérande', ' Dorure : œufs']",,['Non végétalien'],4,17.3 g,en quantité modérée,10.7 g,en quantité élevée,15.3 g,en quantité élevée,0.82 g,en quantité modérée,?,,394,+7%,1648 kj(394 kcal),+7%,"17,3",+21%,"10,7",+15%,"51,3",+1%,"15,3",+5%,"9,1",+12%,"0,82",-13%,"0,328",-13%,20,+9%,E,+9%,,"['Œufs', 'Gluten', 'Lait']",,,,,,,,,"['Sachet', 'Plastique']",,"['Bio', 'Bio européen', 'FR-BIO-09', 'Point Vert', 'Sans additifs', 'AB Agriculture Biologique']",,,,,,,
1253,Saucisson Allege - Biocoop - 200g,3173660005566,200 g,"['Biocoop', 'Ensemble']","['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",['Biocoop'],['France'],[],,[],,20 g,en quantité modérée,6.9 g,en quantité élevée,0.3 g,en faible quantité,5 g,en quantité élevée,?,,309,-23%,1293 kj(309 kcal),-23%,20,-37%,"6,9",-44%,"0,3",-87%,"0,3",-78%,33,+20%,5,+7%,2,+7%,19,-21%,E,-21%,B,,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture France']","['France', 'Porc origine France']","['Violay', 'Haute-Loire', 'Auvergne-Rhône-Alpes']",,,,,
