,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,brand,labels,traceability_code,markets,allergens,nova_score,additives,eco_score,packaging,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,manufacturing,generic_name,link,palm_ingredients,origin_detail,producer_info
19,Farine petit épeautre T110,3543691100002,['France'],[],[],?,349,1460 kj(349 kcal),3,"0,5","63,3",1,"12,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,
20,Chorizo Cular - Berni - 70g,3264057565067,['France'],[],[],?,363,1519 kj(363 kcal),"29,1","11,3","5,2","2,5","5,2",3,"1,2",70 g,"['Viandes', 'Charcuteries', 'Saucissons', 'Chorizo']",29.1 g,en quantité élevée,11.3 g,en quantité élevée,2.5 g,en faible quantité,3 g,en quantité élevée,,-11%,-11%,-14%,-12%,+78%,+40%,-77%,-20%,-20%,24,+1%,E,+1%,['Berni'],,"['FR 55.545.002 CE', 'Verdun (Meuse, France)']",,,,,D,['Sachet'],76.1%,16.6%,0.6%,1.8%,1.0%,3.9%,35,,['France'],,,,,
21,SUPREME DE CAJOU olive et origan,3770015881037,['France'],[],[],?,248.4,1039 kj(248 kcal),"21,3","3,5","6,9","2,2","6,7","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,
22,Gourmandise au foie de canard du Sud-Ouest et au magret fumé,3443705044424,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Cidre du terroir brut - Le Lamballais - 75cl,3760071710013,['France'],[],[],?,?,,?,,?,,?,,,75cl,"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Cidres', 'Alcools artisanaux']",,,,,,,,,,,,,,,,,,,,,,,['Le Lamballais'],,,,,,,D,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,,,,,,
24,BRANDADE APÉRO chorizo,3257630000970,['France'],[],[],?,478,2000 kj(478 kcal),49,"4,4",2,"0,5","7,2","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Tarama corail d oursin,3392070012869,['France'],[],[],?,579,2423 kj(579 kcal),61,"7,4","2,6","0,5","5,8","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,8413993137011,8413993137011,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Le Pain des fleurs - 150g,3380380093005,['France'],"['Rice flour*', 'chestnut flour* ', '30%', 'sea salt ', '<1%', ' *organically grown', ' • no added sugars', ' • source of fibre ', '1', 'contains naturally occuring sugars']",[],1628,384,1628 kj(384 kcal),"1,6","0,4","83,5","9,3","6,5","0,58","0,232",150 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Tartines craquantes']",1.6 g,en faible quantité,0.4 g,en faible quantité,9.3 g,en quantité modérée,0.58 g,en quantité modérée,+1%,+1%,+2%,-65%,-61%,+18%,+67%,-35%,-34%,-34%,-1,-133%,A,-133%,['Le pain des fleurs'],['Sans sucre ajouté'],"['FR-011-057', 'Civrieux (Ain, France)']",['Ocado'],,3,,A,['Cardboard'],65.1%,19.7%,8.5%,5.9%,0.7%,0.0%,90,['France'],['France'],,,,,
28,Gnocchis,3250392883966,['France'],[],[],?,170,711 kj(170 kcal),12,"0,2","35,3","0,5","3,6","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
