,name,bar_code,brand,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,additives,allergens,nova_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,quantity,packaging,labels,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,palm_ingredients,ingredients_origins,traceability_code,link
1795,Miche au Poivre - Auchan - 100g,3596719457459,['Auchan'],['Auchan'],['France'],"['Viande de porc', 'sel', 'lactose ', 'contient lait', 'dextrose', 'poivre noir en grains ', '0,19%', 'épices', 'ail', 'antioxydant : érythorbate de sodium', 'ferments ', ' conservateurs : nitrate de potassium', 'nitrite de sodium', ' Enrobage : poivre noir concassé ', '1%', 'conservateur : natamycine', ' 133g de viande de porc utilisés pour 100g de produit fini', ' Traces éventuelles de fruits à coques', 'soja', 'céleri']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,358,1498 kj(358 kcal),29,12,"3,9",2,21,"5,3","2,12","['E316 - Érythorbate de sodium', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E235 - Natamycine']",['Lait'],4,,,,,,,,,,,,,,,,,,,,,,,,,100 g,,"['Viande Française', 'Viande Porcine Française', 'Fabriqué en France']",,,,,,,,,,,,"['FR 62.907.002 CE', 'Libercourt (Pas-de-Calais, France)', 'EMB 62907B', 'Libercourt (Pas-de-Calais, France)']",
1796,Lentilles vertes -  - 500g,3596719646563,,,['France'],[],[],?,252,1054 kj(252 kcal),"1,1","0,2",37,2,26,"0,02","0,008",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles', 'Lentilles vertes']",1.1 g,en faible quantité,0.2 g,en faible quantité,2 g,en faible quantité,0.02 g,en faible quantité,,-12%,-14%,-19%,-7%,-4%,+52%,+18%,-86%,-86%,-2,,A,,,500 g,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",B,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,,,,,
1797,Fromage fondu pour hamburger 3q - Auchan - 200g,3596719655800,['Auchan'],['Auchan'],['France'],[],[],?,208,870 kj(208 kcal),14,9,"7,5","3,5",13,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,,,,,
1798,Pains au Lait Pur Beurre - Auchan - 280g e,3596734348534,['Auchan'],['Auchan'],['France'],"['Farine de blé* ', 'contient gluten', 'sucre de canne roux', 'beurre* 11% ', 'contient lait origine UE', 'œufs*', 'levain ', 'dont farine de blé* ', 'contient gluten', 'eau', 'eau', 'levure', 'poudre de lait entier* 1,4% ', 'origine UE', 'sel marin non raffiné', 'rhum', 'arôme*', 'infusion de vanille*', 'antioxydant : acide ascorbique', 'alcool éthylique de blé*', ' *biologiques']",['Non végétalien'],1561,?,1561 kj(373 kcal),14,"8,8",53,12,9,"1,14","0,456","['E300 - Acide ascorbique', 'E1510 - Éthanol']","['Œufs', 'Gluten', 'Lait']",4,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au lait']",14 g,en quantité modérée,8.8 g,en quantité élevée,12 g,en quantité modérée,1.14 g,en quantité modérée,+5%,,+6%,+23%,+110%,+0%,-10%,+5%,+12%,+12%,19,+43%,E,+43%,,280 g e,"['Sachet', 'Plastique']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-09', 'Point Vert', 'Pur beurre', 'AB Agriculture Biologique']",B,78.8%,12.6%,5.3%,2.8%,0.4%,0.0%,69,,,['Union européenne'],,
1799,Cornichons très fins - Auchan,3596734401451,['Auchan'],['Auchan'],['France'],[],[],?,15,63 kj(15 kcal),"0,4",0,"0,6","0,6","1,2","1,78","0,712",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Pickles', 'Légumes et dérivés', 'Légumes en conserve', ""Pickles d'origine végétale"", 'Pickles de légumes', 'Pickles de concombres', 'Cornichons']",0.4 g,en faible quantité,0 g,en faible quantité,0.6 g,en faible quantité,1.78 g,en quantité élevée,,-44%,-41%,+35%,-100%,-83%,-77%,+19%,+3%,+3%,2,-8%,B,-8%,,,,,,,,,,,,,,,,,
1800,Morceau de thon à l'huile de tournesol,3596754646467,,,['France'],[],[],?,197,824 kj(197 kcal),11,2,25,0,0,"1,1","0,44",,,,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile de tournesol""]",11 g,en quantité modérée,2 g,en quantité modérée,0 g,en faible quantité,1.1 g,en quantité modérée,,-10%,-9%,-21%,+12%,+8151%,-100%,-100%,+1%,+1%,7,+127%,C,+127%,,,,,E,66.2%,13.9%,12.9%,6.2%,0.4%,0.4%,22,,,,,
1801,Crozets de Savoie - Auchan - 400g,3596754658255,"['Auchan', 'Mmm!']",['Auchan'],['France'],[],[],?,366,1531 kj(366 kcal),3,"0,8",70,"2,5",13,"0,25","0,1",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Crozets']",3 g,en quantité modérée,0.8 g,en faible quantité,2.5 g,en faible quantité,0.25 g,en faible quantité,,+5%,+5%,+29%,+63%,+2%,+19%,+6%,+44%,+44%,0,,B,,,400g,['Sachet plastique'],,,,,,,,,,"['Alpina', 'Chambéry']",,,,
1802,Pain 7 céréales - Auchan - 14tranches,3596770437162,['Auchan'],['Auchan'],['France'],[],[],?,?,,?,,?,,?,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",,,,,,,,,,,,,,,,,,,,,,,,14 tranches,,,,,,,,,,,,,,,
1803,Saucisse de Francfort,3596810057534,,,['France'],[],[],?,315,1318 kj(315 kcal),29,10,"0,9","0,7",13,"2,2","0,88",,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses allemandes', 'Saucisses de Francfort']",29 g,en quantité élevée,10 g,en quantité élevée,0.7 g,en faible quantité,2.2 g,en quantité élevée,,+23%,+22%,+34%,+24%,-20%,-4%,-8%,+12%,+12%,21,+14%,E,+14%,,,,,E,84.3%,9.6%,1.8%,1.2%,0.7%,2.5%,23,,,,,
1804,Boeuf fumé cuit 500G TR Halal,3596810058449,,,['France'],[],[],?,147,615 kj(147 kcal),"5,7","2,1","3,8",1,20,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Halal'],,,,,,,,,,,,"['FR 60.009.001 CE', 'Allonne (Oise, France)']",
1805,Lot Strasbourg - Le mutant,3596810059170,['Le mutant'],,['France'],"['LOT STRRSBOURG FRRNr-FnRT2X4nn ei Stas de porc+', 'eau', 'maigre gras de boeuf+', 'sel conservà{eurs : E32S-E2B2-E250', 'proééines de pois', 'sk±ilisani • E450', ' plasma de porc déshydra{é épices arimes naiurels ei de fumée', ' *Origine UE IEMSOb-E120-E472', ' aptes ouveriure sous 48h', ' Peu± cort{enlr des {races de gluienv frui{ coque', 'céleri', 'mouiarde', ""soja moyennes/ '100g Energie "", '4340 KO / 345 1<caL', "" 2Sg doni acides gras salurés 'log"", "" glucides 'lg doni proièlnes 13g"", 'sel 2 3g', ' 063171 18', '11', '17 • LUCIEN f RLLONNE à 0', '+4 oc']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,315,1318 kj(315 kcal),29,10,1,"0,8",13,"2,3","0,92","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique', ""E472 - Esters d'acides gras alimentaires""]",['Céleri'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 60.009.001 CE', 'Allonne (Oise, France)']",
1806,Strasbourg 50g X5 - La saveur 'in,3596810059514,"[""La saveur 'in""]",,['France'],"['La Savet ', 'v STRRSBOURG 50G INGREOIENTA Vi3fide de eau', ' viande de boeufrb', 'gras da porc}- boeuf+', 'oignon', 'sel', ' conserva{eurs : E32B-E2B2-E250', ' proléines da pois sutre: dextrose', ' stabilisant E4FJOe plasma de port déshydra{é', 'épites antioxydàn{ : E300', ' arôme na{urel', 'el de fumée', ' Boyau collagène coloré ', 'e120-E472', ' +0rigine LIE', 'Peul conienir des {rates de Lait', 'oeufs', 'gluien', 'mouiarde', 'fruiis coque', 'soja', ' Valeurs nuirilionnelles moyennes/ ""IOÛg ', 'Energie ', ""'1309 / 3/""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,315,1318 kj(315 kcal),29,10,"1,1","0,9",12,"2,3","0,92","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique', 'E120 - Acide carminique', ""E472 - Esters d'acides gras alimentaires""]","['Œufs', 'Soja']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,['Entrepreneurs + Engagés'],,,,,,,,,,,,"['FR 60.009.001 CE', 'Allonne (Oise, France)']",
1807,Crackers emmental et graines de courge - 200g,3596854514956,,,['France'],[],[],?,450,1883 kj(450 kcal),19,"5,1",46,"1,9",18,"1,9","0,76",,,,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'Crackers emmental graines de courge']",19 g,en quantité modérée,5.1 g,en quantité élevée,1.9 g,en faible quantité,1.9 g,en quantité élevée,,-0%,+0%,+7%,-1%,+6%,+47%,0%,+9%,+9%,18,+34%,D,+34%,,200 g,,"['Bio', 'Agriculture UE/Non UE']",B,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,,
1808,Muesli Croustillant - Auchan - 500g,3596854646664,['Auchan'],['Auchan'],['France'],[],[],?,436,1824 kj(436 kcal),"14,4","5,2","64,7","16,3","8,9","0,01","0,004",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']",14.4 g,en quantité modérée,5.2 g,en quantité élevée,16.3 g,en quantité élevée,0.01 g,en faible quantité,,+5%,+5%,+10%,+57%,+7%,-4%,-10%,-94%,-94%,8,+63%,C,+63%,,500 g,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",B,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,,
1809,Lait chocolaté,3597240004334,,,['France'],[],[],?,63,264 kj(63 kcal),"1,1","0,7",12,12,"3,5","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,Lait - Lait de Nos Prairies - 1L e,3597240006802,"['Lait de Nos Prairies', 'Terra Lacta']",,['France'],['Lait demi-écrémé'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,46,192 kj(46 kcal),"1,55",1,"4,8","4,8","3,2","0,1","0,04",,['Lait'],1,"['Produits laitiers', 'Laits', 'Laits homogénéisés', 'Laits demi-écrémés', 'Laits UHT']",1.55 g,en faible quantité,1 g,en faible quantité,4.8 g,en faible quantité,0.1 g,en faible quantité,,-2%,-3%,-8%,-3%,0%,+0%,-1%,-10%,-10%,0,-100%,B,-100%,,1 L e,"['Brique', 'Carton']","['Fabriqué en France', 'Origine France', 'en:lait-francais-french-milk']",B,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,['France'],,['France'],,
1811,La creme fraiche des limousins - 1kg,3597240012612,,,['France'],[],[],?,289,1209 kj(289 kcal),30,21,"2,6","2,6","2,2","0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,1 kg,,,,,,,,,,,,,,,
1812,Creme legere 18 % - Lescure,3597240013053,['Lescure'],,['France'],[],[],?,190,795 kj(190 kcal),18,"12,7","4,1","3,7","2,7","0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813,Nectar Multifruits Vitaminé - Fructy - 2l,3597240016696,"['Fructy', 'Terra Lacta']",['Magik Dépôt'],['France'],"['Jus à base de concentrés et de purées ', 'pomme', 'orange', 'ananas', 'fruit de la passion', 'goyave', 'abricot', 'mangue', 'banane', 'citron vert', ' 50% min', 'eau', 'sucre', ""correcteur d'acidité : acide citrique"", 'vitamines B1', 'B2', 'B5', 'B6', 'C', 'PP', 'Provitamine A']","[""Pourrait contenir de l'huile de palme""]",204,?,204 kj(49 kcal),"< 0,5",0,12,"10,9","< 0,5","0,005","0,002",['E330 - Acide citrique'],,3,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars multifruits']",0.5 g,en faible quantité,0 g,en faible quantité,10.9 g,en quantité élevée,0.00508 g,en faible quantité,+14%,,+16%,+159%,-100%,+20%,+15%,+60%,-47%,-47%,15,+40%,E,+40%,"Nectar de 9 fruits à base de concentré et de purées, enrichi en vitamines",2 l,"['Carton', 'Brique']","['Fabriqué en France', 'Sans sucre ajouté', 'Sans colorants', 'Sans conservateurs']",C,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,['France'],,,,
