,name,bar_code,brand,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,additives,allergens,nova_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,quantity,packaging,labels,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,palm_ingredients,ingredients_origins,traceability_code,link
0,Energy gel - Aptonia,3583788295280,['Aptonia'],['Décathlon'],['France'],[],[],?,280,1172 kj(280 kcal),"0,5","0,5",70,39,"0,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Choco rice bars - Aptonia,3583788295297,['Aptonia'],['Décathlon'],['France'],"['sirop d glucose', 'riz soufflé 28,5% ', 'riz', 'sucre', 'sel', ""extrait de malt d'orge "", 'gluten', ' chocolat au lait 26% ', 'sucre', 'beurre de cacao', 'lait entier en poudre', 'pâte cacao', 'émulsifiant : lécithines de soja et tournesol', 'arômes', 'lactose ', 'lait', 'lai écrémé en poudre ', 'huile de tournesol', 'cacao maigre en poudre', 'crème er poudre ', 'lait', 'stabi isant : sorbitols', 'arômes', 'émulsitiant : lécithines de soja z:antioxydant : extrait riche en tocophérols', ' Fabriqué dans un atelier utilisan : sulfites', 'arachides', 'fruits à coque']",['Non végétalien'],?,448,1874 kj(448 kcal),17,"8,2",68,36,"4,8","0,26","0,104","['E322i - Lécithine', 'E420 - Sorbitol', 'E306 - Extrait riche en tocophérols']","['Gluten', 'Lait', 'Fruits à coque', 'Arachides']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Mass Gainer 3 - Aptonia,3583788301486,['Aptonia'],['Décathlon'],['France'],[],[],?,388,1623 kj(388 kcal),2,"0,47",75,30,17,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Iso+concentrate - Aptonia,3583788315841,['Aptonia'],['Décathlon'],['France'],[],[],?,23,96 kj(23 kcal),0,0,"5,7","4,2",0,"0,2","0,08",,,,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,4.2 g,en quantité modérée,0.2 g,en quantité modérée,,-59%,-60%,-100%,-100%,-50%,-56%,-100%,+382%,+382%,7,-9%,D,-9%,,,,,,,,,,,,,,,,,
4,Iso+ Concentrate - Aptonia,3583788315858,['Aptonia'],['Décathlon'],['France'],[],[],?,23,96 kj(23 kcal),0,0,"5,7","4,2",0,"0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ISO concentrate - Aptonia,3583788316824,['Aptonia'],['Décathlon'],['France'],"['arôme naturel', 'ch orure de sodium', 'colorant : d nrée alimentaire colorant@i pomme', 'conservateur : sorbate de potassium', '4 itamines BI', 'B6 et B12', ' : gluten', 'poisson', 'soja et lait', "" Boire avant et' ndant l'effort par petites à 20 minutes"", "" En complément d'une activité p ique"", 'il est important de O équilibrée et un mode de vie sain', ' A conserve„ ans un endroit frais et sed', 'la journée']","['Non végétalien', 'Non végétarien']",?,24,100 kj(24 kcal),0,0,"6,1","5,3",0,"0,2","0,08","['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']","['Poisson', 'Lait', 'Soja']",4,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,5.3 g,en quantité modérée,0.2 g,en quantité modérée,,-57%,-59%,-100%,-100%,-46%,-44%,-100%,+382%,+382%,8,+4%,D,+4%,,,,,,,,,,,,,,,,,
6,Dosettes fruits rouges - Aptonia,3583788317593,['Aptonia'],['Décathlon'],['France'],[],[],?,26,109 kj(26 kcal),0,0,"6,6","5,2",0,"0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Iso concentrate - Aptonia,3583788317616,['Aptonia'],['Décathlon'],['France'],[],[],?,144,602 kj(144 kcal),0,0,36,28,0,"0,86","0,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Whey protein - Aptonia,3583788317821,['Aptonia'],['Décathlon'],['France'],"['protéines de lactoserum 95% ', 'lait', ' ', 'Isolat et concentrat', 'cacao maigre en poudre', 'épaississant: gomme de xanthane', 'arôme', 'édulcorants: acésulfame de potassium et sucralose', 'émulsifiants: lecithine de tournesol et lécithine de soja', ' Fabriqué dans un atelier utilisant : gluten', 'œuf', 'sulfites', 'crustacés', 'moutarde', 'poisson', 'céléri', 'fruits à coque', "" L'entrainement provoque une destruction des cellules musculaires "", 'catabolisme', ' Dès la fin de votre séance', 'la reconstruction musculatre rend', ' C']",['Non végétalien'],?,356,1490 kj(356 kcal),"2,4","1,5",3,"1,5","81,5","0,9","0,36","['E415 - Gomme xanthane', 'E950 - Acésulfame K', 'E955 - Sucralose', 'E322i - Lécithine']","['Lait', 'Soja']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Whey 9 Strawberry Sensation - Aptonia,3583788318507,['Aptonia'],['Décathlon'],['France'],"['protéines d lactosérum 97,5% ', 'lait', ' ', 'isolat et concentrat', ' ', 'émulsifiants: lécithine de tournesol et lécithine de soja', 'épaississant: gomme xanthane', 'arôme', 'colorant : poudre de jus de betterave', 'édulcorants: acésulfame de potassium et sucralose', ' Fabriqué dans un atelier utilisant : gluten', 'œuf', 'sulfites', 'crustacé moutarde', 'poisson', 'céléri fruits à coque']",['Non végétalien'],?,364,1523 kj(364 kcal),2,"1,5",5,"2,5",81,"1,01","0,404","['E322i - Lécithine', 'E415 - Gomme xanthane', 'E950 - Acésulfame K', 'E955 - Sucralose']","['Lait', 'Soja']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Ultra Fruits Bars, Banane - Aptonia",3583788320739,['Aptonia'],['Décathlon'],['France'],"['pâte de dattes 66,5 h ', 'pâte de dattes', 'huile de maïs', 'céréales 13,5% ', ""flocons d'avoine*"", 'farine de blé*', 'maltodextrine 5,6%', 'fruits 5,4% [ananas ', 'sucre ananas', ""correcteur d'acidite : acide citrique conservateur : anhydride sulfureux"", ' flocons de banane 1 % ', 'huile de tournesol', 'minéraux ', 'potassium', 'magnésium ', 'dextrose', 'sucre', 'vitamines ', 'BI', 'B6', 'B12', 'C', 'émulsifiant : lécithine de soja', 'arome naturel', 'sel', ' *Con ient du gluten', ' Fabriqué dans un atelier utilisan : lait', 'arachides', ""fruits à coque' Consommer 1 barre pour obtenir l'effet souhaité"", "" S'hydrater régulièrement"", "" En complément d'une activité physique"", 'il est important de conserver une alimentatbn variée et équilibrée et un mode de vie sain', "" Conserver à l'abri de la lumière"", 'dans un endroit propre', 'tempéré sec et sans odeur']",['Non végétalien'],?,338,1414 kj(338 kcal),"5,8","0,7",65,48,"3,2","0,1","0,04","['E330 - Acide citrique', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine']","['Gluten', 'Arachides']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ISO+ Citron - Aptonia - 650g,3583788332190,['Aptonia'],['Décathlon'],['France'],"['sucrose ', '60%', 'maltodextrtn ', '21%', 'dextrose ', '7%', ' acidifier: citric acid', 'natural lemon flavouring With Other natural flavouring', 'sodium citrate', 'potassium chloride', 'sodium chloride', 'maanesium citrate', ' vitamins C', 'E', 'B2', 'B6 & BI', 'sodium selenite', ' Made in a factory which handiest I gluten', 'shellfish', 'eggs', 'fish', 'soybean', 'milk', 'celery', 'sulphites', 'ra molluscs', 'lupin', 'nuts', ' Directions for use: Drink in 8uantities every 15 to 20 minutes before and during exercise', ' rink 500 ml/hour', ' As well as physical activity', 'it is importantto a varied', 'balanced diet and lead a healthy lifestyle', 'Drink on the same day']",[],?,345,1443 kj(345 kcal),0,0,"87,4","66,6",0,0,0,"['E330 - Acide citrique', 'E331 - Citrates de sodium']","['Céleri', 'Œufs', 'Poisson', 'Lupin', 'Lait', 'Fruits à coque', 'Soja', 'Anhydride sulfureux et sulfites']",4,,,,,,,,,,,,,,,,,,,,,,,,BOISSON ISOTONIQUE,650g,['Box'],"['Sans conservateurs', 'Entrepreneurs + Engagés']",,,,,,,,,,,,,
12,"Aptonia - Decathlon - 0,5L",3583788386667,"['Decathlon', 'Aptonia']",['Décathlon'],['France'],[],[],?,108,452 kj(108 kcal),"0,4","0,4",27,27,"0,4","0,65","0,26",,,,['Boissons'],0.4 g,en faible quantité,0.4 g,en faible quantité,27 g,en quantité élevée,0.65 g,en quantité modérée,,+93%,+88%,+15%,+239%,+139%,+186%,-19%,+1466%,+1466%,22,+187%,E,+187%,,"0,5 L",,,,,,,,,,,,,,,
13,Ultra Gel 500 Goût Melon - Aptonia - 128g (4 * 32g),3583788390688,"['Aptonia', 'Décathlon']",['Décathlon'],['France'],"['Sirop de glucose ', '52 %', 'maltodextrine ', '23 %', 'eau', 'fructose ', '9', '5 %', ""correcteur d'acidité : acide citrique"", 'caféine naturelle anhydre ', '0', '06 %', 'citrate de sodium', 'conservateur : sorbate de potassium', 'vitamines B1', 'B6', 'B12', 'E', 'zinc', 'épaississant : gomme gellane', 'arôme', 'denrée alimentaire colorante ', 'concentré de carotte', 'carthame et pomme']",[],1275,?,1275 kj(305 kcal),"< 0,5","< 0,5",75,39,"< 0,5","0,31","0,124","['E330 - Acide citrique', 'E331 - Citrates de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E418 - Gomme gellane']",,4,"['Snacks', 'Snacks sucrés', 'Gels énergétiques']",0.5 g,en faible quantité,0.5 g,en faible quantité,39 g,en quantité élevée,0.31 g,en quantité modérée,-34%,,-32%,-98%,-95%,+30%,+10%,-92%,-19%,-19%,12,-37%,D,-37%,,128 g (4 * 32 g),"['Carton', 'Plastique', 'boîte']",,,,,,,,,,,,,,
14,Ultra gel 700 - Aptonia,3583788390718,['Aptonia'],['Décathlon'],['France'],"['sirop de glucose ', '59%', 'maltodextrine [25%', 'eau', 'L-Leucine', 'L-Valine', 'L-Isoleucine', ""correcteur d'acidité : acide citrique"", 'citrate de sodium', 'colorant : caramel E150c', 'arôme', 'colorant : E150b', 'vitamines B1', 'B6', 'B12', 'E', 'zinc', 'conservateur : sorbate potassium', 'caféine naturelle anhydre  ', '0,06%', ' épaississant : gomme gellane']",[],?,303,1268 kj(303 kcal),"0,5","0,5",75,29,"0,8","0,39","0,156","['E641 - L-leucine', 'E330 - Acide citrique', 'E331 - Citrates de sodium', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E150b - Caramel de sulfite caustique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E418 - Gomme gellane']",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Ultra GEL 300 - Aptonia,3583788390749,['Aptonia'],['Décathlon'],['France'],"['sirop de glucose ', '52%', 'maltodextrine ', '23%', 'eau', 'fructose ', '9,5%', ""correcteur d'acidité : acide citrique"", 'arôme naturel de fraise', 'citrate de sodium', 'conservateur : sorbate de potassium', 'denrée alimentaire colorante', 'vitamine B1', 'épaississant : gomme gellane']",['Sans huile de palme'],?,304,1272 kj(304 kcal),"0,5","0,5",76,40,"0,5","0,16","0,064","['E330 - Acide citrique', 'E331 - Citrates de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E418 - Gomme gellane']",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Ultra Gel 700 goût Expresso - Aptonia - 128g,3583788390756,"['Aptonia', 'Décathlon']",['Décathlon'],['France'],[],[],1289,?,1289 kj(308 kcal),"0,5","0,5",75,29,"0,8","0,39","0,156",,,,"['Snacks', 'Snacks sucrés', 'Gels énergétiques']",0.5 g,en faible quantité,0.5 g,en faible quantité,29 g,en quantité élevée,0.39 g,en quantité modérée,-33%,,-31%,-98%,-95%,+30%,-18%,-87%,+2%,+2%,10,-47%,C,-47%,,128 g,"['boîte', 'Carton', 'Plastique']",,,,,,,,,,,,,,
17,Ultra gel - Aptonia,3583788390787,['Aptonia'],['Décathlon'],['France'],"['Ultra Gel 500', ' Gel à base de glucides', 'riche en vitamines BI', 'B6', 'B12', 'E et zinc', 'avec cafeine', ' Goût Caramel beurre salé', ' Contenant un mix de glucides dans la proportion lucose/fructose 3', '1 et de la caféine', 'Ultra Gel 500 est idgal pour vous accompagner dans vos entraînements et compétitions longs et in,tense9', ' La vitamine BI çontribue à un métabolisme qnerae!ique fatiaue', "" La vitamine E et le zinc contribuent à protéger les celtûles contre le stress sirop de d'acidité "", ' acide citrique', 'éafélne naturelle anhvdre ', '0,06%', 'chlorure de sodium', 'conservateur • sorbafe de otassium', 'arômes', 'colorant : Caramel E15Bc', 'vitamines BI', 'B6', 'B12', 'E', 'aomme aellane', "" zinc,' épaississant Fabriqué dans un arelier utilisant Qisson lait"", 'soja', 'gluten', "" Prendre 1 gei endanti'effort en prenant le temps de %ìmélanger à la salive pour une meilleure fèaSSimllation"", "" S'hydrater régulièrement"", ' bnsommer 4 gels par jour maximum', ' ntient de la caféine ', '62 mg/100g cdeConseillé aux enfants et aux temmes tenceintes', "" En complément d'une activité physiquet il est important de conserver une alimentation variée et équilibrée et un mode de vie sain"", ' Conserver dans un endroit frais et sec']",[],?,300,1255 kj(300 kcal),"0,404","0,4",75,39,"0,5","0,7","0,28","['E330 - Acide citrique', 'E150 - Caramel']",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,['Entrepreneurs + Engagés'],,,,,,,,,,,,,
18,Ultra Gel 700 gout citron - Aptonia,3583788390879,['Aptonia'],['Décathlon'],['France'],"['sirop de glucose ', '55%', 'eau maltodextrine ', '25%', 'eau', 'L-Leucine', 'L-Valine L-lsoleucine', ""correcteur d'acidité"", ' acide citrique', 'citrate de sodium', 'arôme', 'vitamines BI', 'B6', 'B12', 'E', 'zinc', 'sorbate de potassium', 'conservateur caféine naturelle anhydre ', '0,06%', ' épaississant : gomme gellane']",[],?,303,1268 kj(303 kcal),"0,3","0,2",75,29,"0,8","0,39","0,156","['E641 - L-leucine', 'E330 - Acide citrique', 'E331 - Citrates de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E418 - Gomme gellane']",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,['Entrepreneurs + Engagés'],,,,,,,,,,,,,
19,Gel ultra - Aptonia,3583788390893,"['Aptonia', 'Bio']",['Décathlon'],['France'],[],[],?,300,1255 kj(300 kcal),"0,5","0,5",75,39,"0,5","0,31","0,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,
20,Ultra gel 300 - Aptonia,3583788390930,['Aptonia'],['Décathlon'],['France'],"['sirop de glucose ', '52%', 'maltodextrine ', '23%', 'eau', 'fructose ', '9,5%', ""acide correcteur d'acidité citrique"", 'citrate de sodium', 'sorbate de conservateur potassium', 'arôme', 'vitamine B1 ', 'épaississant : gomme gellane', ' Fabriqué dans un atelier utilisant : poisson', 'lait', 'soja', 'gluten']",[],?,304,1272 kj(304 kcal),"0,5","0,5",76,40,"0,5","0,16","0,064","['E331 - Citrates de sodium', 'E418 - Gomme gellane']",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,White Chocolate Crunchy Rice - Aptonia,3583788390985,['Aptonia'],['Décathlon'],['France'],[],[],?,559,2339 kj(559 kcal),"34,1",22,"56,7","48,7","6,2","0,26","0,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Compote Ultra Fruit - Aptonia,3583788431466,['Aptonia'],['Décathlon'],['France'],"['bananes ', '25%', 'mangues ', '25%', 'ananas ', '21,5%', 'goyaves ', '20%', 'sucre de canne roux ', '6%', 'jus de passion concentré ', '2%', ""jus d'acérola concentré"", 'vitamines C', 'B1', 'B6 et B12']",['Sans huile de palme'],?,87,364 kj(87 kcal),"0,11","0,11","18,89","17,78","0,78",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Soy & Oat - Aptonia,3583788438038,['Aptonia'],['Décathlon'],"['France', 'La Réunion']",[],[],?,393,1644 kj(393 kcal),"5,67",2,13,3,72,"1,68","0,672",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Ultra Fruit - Aptonia,3583788442127,['Aptonia'],['Décathlon'],['France'],"['bananes ', '95%', 'sucre de canne roux ', '4%', 'jus de citron concentré', 'vitamines C BI', 'B6 et B12', "" Conseils d'utilisation : Consommer un ULTRA FRUIT par heure pendant l'effort ou également une demi-heure avant l'effort"", ' En complément', "" d'une activité physique"", 'il est important de conserver une alimentation saine']",[],?,101,423 kj(101 kcal),"0,56","0,11","23,33",20,"1,11",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Aptonia Whey & Casein,3583788442219,['Aptonia'],['Décathlon'],['France'],[],[],?,378,1582 kj(378 kcal),"3,6","1,8",7,"3,2",79,"0,36","0,144",,['Lait'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Whey et casein - Aptonia,3583788442240,['Aptonia'],['Décathlon'],['France'],[],[],?,114,477 kj(114 kcal),"1,3","0,6","2,4",0,22,"0,38","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Mass gainer - Aptonia,3583788442509,['Aptonia'],['Décathlon'],['France'],[],[],?,386,1615 kj(386 kcal),2,1,70,47,22,"0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Céréales Bars Chocolat - Aptonia,3583788468271,['Aptonia'],['Décathlon'],['France'],[],[],?,419,1753 kj(419 kcal),"11,43","6,67","71,43","27,62","6,67","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Aptonia Whey,3583788488552,['Aptonia'],['Décathlon'],['France'],[],[],?,360,1506 kj(360 kcal),"2,5","1,5",3,"2,2",83,1,"0,4",,,,['Boissons'],2.5 g,en quantité modérée,1.5 g,en quantité modérée,2.2 g,en faible quantité,1 g,en quantité élevée,,+543%,+525%,+620%,+1171%,-73%,-77%,+16634%,+2310%,+2310%,17,+122%,E,+122%,,,,,,,,,,,,,,,,,
30,Casein5 - Aptonia,3583788488729,['Aptonia'],['Décathlon'],['France'],"[""La caséine est une protéine d'absorption lente"", ' CASEIN 5 une formue,e constituée à 100% de casetne maceflatre Issue du lait', ' Les protéines participent au maintien et à la croissance de la masse musculaire', ' Chaque dose de 30g contient 23', ' lg de protéines enrichies en caséine micellaire', ""5,0 g d'acides amnes Proténes de lait nchcs en caséine micellaire "", '95,3%', 'cacao maigre en poudre', 'arôme', 'acesutfame de potasstum et sucralose', ' Fabnqué dans un atelier utilisant : gluten', 'Œuf', 'sulfites', 'crustacés', 'Nous conseillons une prise avant le coucher 40n effet Brotonne sera beneflque pendant la nuit', ' Vous pouvez aussi compléter votre alimentation en consommant un shaker de CASEtN 5 en substitut de repas', 'Vappott protéique total moyen recommandé', 'chez les sportifs', 'est de 1 à 1 5g/kg de poids corporel:jour', 'Les 2/3 des apports protetques devant étre apportés par une alimentation variée et équilibrée', ' Én cas de consommation prolonaee ', '> a 2 mois', ' demandez consetl à un meaecin ou un diététicien', ' Ce produit est contre-indiqué en cas d insuffisance renaie', 'hepatique et pour les femmes enceintes et ', 'les personnes de moins de 14 ans', "" En complement d'une actWlte physique"", 'tt est Important de conserver une alimentation vavs', 'et équil', 'brée et un mode de vie sain', "" Tenir hors de portée votre 0 Mélanger 250 ml d'eau des enfants Se conformer a la dose matière recommandée is"", ' Mélanger pendant 30 secondes et déguster Pour a deux cutiieres de CASEIN 5 ', 'soit dans un shaker 250 ml de lait', ' Conserver dans un endroit frais et sec', ' obtentr une boisson plus onctueuse', ""vous pouvez mélanger C 4*'ci-dessous"", ' Bsen refermer']",[],?,346,1448 kj(346 kcal),"1,6","0,5","6,5","4,2",77,"0,4","0,16",,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,
31,Malto dextrine - APTONIA,3583788488781,['APTONIA'],['Décathlon'],['France'],"['Maltodextrine ', '98,5%', 'arôme naturel', 'vitamines C', 'B2', 'B6', 'BI', 'édulcorant : * steviol glycosides', ' Fabriqué dans un atelier utilisant : gluten', 'crustacés', 'œufs', 'poisons', 'soja', 'lait', 'céleri', 'sulfites', 'mollusques', 'lupin', 'fruits à coque', "" En complément d'une activité physique"", 'il est important de conserver une alimentation variée et équilibrée et un mode de vie sain', "" Mode d'emploi : Diluer 32 g de poudre dans 500ml d'eau""]","['Non végétalien', 'Non végétarien']",?,382,1598 kj(382 kcal),"0,1","0,1","95,5","4,4","0,1","0,01","0,004","['E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition']",,4,"['Boissons', 'Boissons édulcorées']",0.1 g,en faible quantité,0.1 g,en faible quantité,4.4 g,en quantité modérée,0.01 g,en faible quantité,,+2447%,+2608%,+23%,+288%,+3450%,+88%,-21%,-71%,-71%,13,+202%,E,+202%,,,,['Sans conservateurs'],,,,,,,,,,,,,
32,Iso 1st - Aptonia,3583788488798,['Aptonia'],['Décathlon'],['France'],[],[],?,376,1573 kj(376 kcal),"0,1","0,1","93,6","84,4","0,1","2,13","0,852",,,,['Boissons'],0.1 g,en faible quantité,0.1 g,en faible quantité,84.4 g,en quantité élevée,2.13 g,en quantité élevée,,+571%,+553%,-71%,-15%,+728%,+794%,-80%,+5033%,+5033%,29,+279%,E,+279%,,,,,,,,,,,,,,,,,
33,Aptonia,3583788488897,['Aptonia'],['Décathlon'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Fabriqué en France', 'Sans conservateurs']",,,,,,,,,,,,,
34,Muscle Growth Protein Bar - Aptinia,3583788494829,['Aptinia'],,['France'],[],[],?,399,1669 kj(399 kcal),13,"6,2",38,29,34,"0,34","0,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Muscle growth - Aptonia,3583788494850,['Aptonia'],['Décathlon'],['France'],"['vanille', 'sirop de glucose-fructose', 'protéines de lait', 'protéines de soja', 'oligofructose', 'farine de riz', 'sirop de glucose', 'huile tournesol', 'sirop de fructose', 'fructose', 'stabilisant : glycérol', 'maltodextrines', 'arôme naturel de citron', ""extrait de malt d'orge "", 'glute arômes', 'sel', 'émulsifiants : lécithine de soja', ""sucroesters d'acide gras"", 'antioxydant : alpha-tocophérols', ' Traces éventuelles arachides', 'œufs', 'fruits à coque et sulfites', "" En complément d'une activité physique"", 'il est important de conserver une alimet tion variée et équilibrée et un mode de vie sain', ' En cas de consommation prolongée ', '> à 2 mois', 'demandez conseil e médecin ou un diététicien', "" Ce produit est contre-indiqué en cas d'insuffisance rénale"", 'hépatique et pour les femmes enceinte les personnes de moins de 14 ans', ' Tenir hors de portée des enfants', ' Se conformer à la dose journalière recommandée', "" Cons mez une à deux barres après l'entrainement"", "" S'hydrater régulièrement"", ' Conserver dans un 240 g / r ', '4 X60 g endroit sec entre 16 et 180C']",['Non végétalien'],?,414,1732 kj(414 kcal),13,"8,2",48,31,25,"0,55","0,22","['E422 - Glycérol', 'E322i - Lécithine', 'E473 - Sucroester', '', 'Risque élevé de sur-exposition', 'E307 - Alphatocophérol']","['Gluten', 'Lait']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Protein Bar - Aptonia,3583788494874,['Aptonia'],['Décathlon'],['France'],[],[],?,409,1711 kj(409 kcal),?,"3,7",?,18,18,"0,29","0,116",,,,"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Barres protéinées']",,,3.7 g,en quantité modérée,18 g,en quantité élevée,0.29 g,en faible quantité,,+10%,+10%,,-37%,,+35%,-39%,-41%,-41%,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Fabriqué en France']",,,,,,,,,,,,,
37,Milk Chocolate Roasted Almonds - Aptonia,3583788494881,['Aptonia'],['Décathlon'],['France'],[],[],?,574,2402 kj(574 kcal),39,20,47,43,"7,3","0,1","0,04",,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats aux amandes', 'Chocolats au lait aux amandes']",39 g,en quantité élevée,20 g,en quantité élevée,43 g,en quantité élevée,0.1 g,en faible quantité,,+3%,+4%,+9%,+12%,-2%,-4%,-19%,-61%,-61%,26,+4%,E,+4%,,,,,E,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,
38,Iso + - Aptonia,3583788520139,['Aptonia'],['Décathlon'],['France'],"['saccharose ', '60%', 'maltodextfine ', '2151 : acide citrique', 'arôme naturel', 'citrate de =redepotasslum', 'chlorure de sodium', 'citrate de magnésium', 'vitam', ':rtesv', ' de sodium', 'anti-oxydant : tocopherol', ' Fabriqué&rs:? *utilisant : gluten', 'crustacés', 'Oeufs', 'poissons', 'soja', 'lait', 'céleri', 'lupin', 'fruits à coque', "" Conseils d'utilisation : Boire par petites quantités fractionnées toutes les 15 à 20 i 500 mllheure"", "" En complémente d'une activité physique* conserver une alimentation variée et éq iljbrée et un méedàl?l un endroit frais et sec"", ' *ans c nservateur', 'après dans la lournée', ' A consommer d éréférence aval', ""'""]",[],?,387,1619 kj(387 kcal),0,0,"87,4","66,6",0,"2,2","0,88","['E330 - Acide citrique', 'E307c - Tocophérol']",,4,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,66.6 g,en quantité élevée,2.2 g,en quantité élevée,,+591%,+572%,-100%,-100%,+673%,+606%,-100%,+5201%,+5201%,29,+279%,E,+279%,,,,,,,,,,,,,,,,,
39,Intense hydratation - Aptonia,3583788522782,['Aptonia'],['Décathlon'],['France'],[],[],?,0,0 kj(0 kcal),0,0,"92,4","29,7",0,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
