,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,allergens,additives,nova_score,quantity,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,eco_score,generic_name,packaging,ingredients_origins,traceability_code,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,manufacturing,link,palm_ingredients
0,Calin+,3297560127170,['France'],[],[],?,92,385 kj(92 kcal),"2,7","1,8","12,6","12,2","3,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Calin +,3297560127422,['France'],[],[],?,64,268 kj(64 kcal),"3,5","2,1","3,6","3,6","3,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Calin - Yoplait,3297560127439,['France'],"['Lait entier', 'bifidus', 'vitamine D', 'ferments lactiques sélectionnés dont bifidobactériurm Lait origine France']",['Non végétalien'],?,64,268 kj(64 kcal),"3,5","2,1","3,6","3,6","3,5","0,1","0,04",['Yoplait'],['Lait'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Silhouette fraise et cerise - Yoplait,3297560128719,['France'],[],[],?,253,1059 kj(253 kcal),"0,1",0,"9,3","8,3",4,"0,17","0,068",['Yoplait'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Silhouette - Yoplait,3297560128740,['France'],"['SPÉCIALITÉ LAITIÈRE SUCRÉE AUX FRUITS À 0% DE MATIÈRE GRASSE', 'AVEC ÉDULCORANT', ' INGRÉD\\ENT3 : laitécrémé reconstitué ', 'origine : France', 'fruits : mangue 9,8%', 'fruits exotiques ', 'ananas', ' mangue', 'papaye', 'passion', ' 9,8%', 'sucre: 4,2%', 'polydextrose', 'fructo-oligosaccharides']",[],?,63,264 kj(63 kcal),"0,1",0,"10,2","9,2","3,9","0,15","0,06",['Yoplait'],,['E1200 - Polydextrose'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Crème dessert - Dolce vita,3297560129365,['France'],"['ngrédients : Lait reconstitué partiellement écrémé', 'sucre', 'amidon modifié de maïs', 'gélifiants ', 'gomme de guar - carraghé- nanes', 'arôme', 'colorants ', 'extrait de curcuma et de paprika', ""correcteur d'acidité "", 'E 500']",[],?,115,481 kj(115 kcal),"2,3","1,5","19,3","15,9","4,4","0,1","0,04",['Dolce vita'],,"['E14XX - Amidons modifiés', 'E412 - Gomme de guar', 'E100 - Curcumine', 'E500 - Carbonates de sodium']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Dolce Vita - Yoplait - 4/100g,3297560129426,['France'],[],[],?,124,519 kj(124 kcal),"2,3","1,5","21,2","17,4","4,7","0,1","0,04",['Yoplait'],,,,4/100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Brasse nature - Yoplait,3297560129501,['France'],"['lait entier', 'lait écrémé en poudre ', 'origine : France', 'matière grasse laitière', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,67,280 kj(67 kcal),"3,5","2,2","4,6","4,6","4,3","0,2","0,08",['Yoplait'],['Lait'],,3,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature', 'Yaourts brassés', 'Yaourts brassés nature']",3.5 g,en quantité modérée,2.2 g,en quantité modérée,4.6 g,en faible quantité,0.2 g,en faible quantité,,-16%,-15%,-25%,-27%,-3%,+4%,+7%,+65%,+65%,1,-30%,B,-30%,,,,,,,,,,,,,,,,,
8,Brassé nature,3297560129518,['France'],[],[],?,71,297 kj(71 kcal),"3,5","2,1","4,7","4,7","4,3","0,16","0,064",,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature', 'Yaourts brassés', 'Yaourts brassés nature']",3.5 g,en quantité modérée,2.1 g,en quantité modérée,4.7 g,en faible quantité,0.16 g,en faible quantité,,-11%,-10%,-25%,-30%,-1%,+7%,+7%,+32%,+32%,1,-30%,B,-30%,,,,,,,,,,,,,,,,,
9,Caresse - Yoplait,3297560129921,['France'],"['lait écrémé en poudre ', 'origine : France', 'sucre : 8,5%', 'matière grasse laitière', 'ferments lactiques,arômes']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,92,385 kj(92 kcal),"3,3","2,2","11,9","11,8","3,6","0,1","0,04",['Yoplait'],['Lait'],,4,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,
10,Superflan - Yoplait,3297560140124,['France'],"['lait écrémé reconstitué : 85%', 'sucre', 'matière grasse laitière', 'amidon modifié de maïs', 'arôme', 'gélifiant ', 'carraghénanes', 'colorants ', 'extrait de curcuma et de paprika']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,85,356 kj(85 kcal),"0,9","0,6","16,5","15,3","2,7","0,1","0,04",['Yoplait'],,"['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E100 - Curcumine']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Superflan,3297560140223,['France'],[],[],?,102,427 kj(102 kcal),"1,9","0,9","17,8",16,"3,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Yopai Chocolat,3297560145051,['France'],[],[],?,121,506 kj(121 kcal),"2,4","1,1","20,6","18,8","4,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Dolce Vita - Yoplait,3297560146034,['France'],"['crème dessert saveur vanille : 80% [lait reconstitué partiellement écrémé', 'sucre', 'amidon transformé de maïs', 'arôme', 'colorants ', 'extrait de paprika et de curcuma', 'gélifiants ', 'gomme de guar', 'carraghénanes', 'stabilisant ', 'E500', ']', ' Crème fouettée ', ' 15% [crème ', 'lait', 'sucre', 'poudre de lait écrémé', 'émulsifiant ', 'E472b', 'épaississants ', 'gélatine alimentaire', 'gomme de guar', 'carraghénanes', 'arôme', 'stabilisant ', 'E500', ']', ' Caramel : 5% ', 'sucre', 'sirop de glucose-fructose', 'eau', 'amidon modifié', 'épaississants ', 'pectine', 'xanthone']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,129,540 kj(129 kcal),"4,4","3,4",19,"17,3","3,6","0,3","0,12",['Yoplait'],['Lait'],"['E14XX - Amidons modifiés', 'E160c - Extrait de paprika', 'E412 - Gomme de guar', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras"", 'E428 - Gélatine', 'E440 - Pectines']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Dolce Vita - Liégeois Caramel - Yoplait - 81Cl,3297560146072,"['France', 'La Réunion']","['Lait partiellement reconstitué enrichi en extrait sec', 'sucre', 'matière grasse laitière', 'cacao : 6,1 %', 'chocolat 3', '0% ', 'pâte de cacao', 'sucre', 'émulsifiant : lécithine de soja', 'arôme', 'gélifiants ', 'gélatine alimentaire', 'gomme de guar', 'émulsifiant ', 'E472b', 'stabilisant ', 'E500']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,117,490 kj(117 kcal),5,"3,4","14,6","14,6","3,4","0,12","0,048",['Yoplait'],"['Lait', 'Soja']","['E322i - Lécithine', 'E428 - Gélatine', 'E412 - Gomme de guar', ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras"", 'E500 - Carbonates de sodium']",4,81 Cl,"['Produits laitiers', 'Desserts', 'Frais', 'Desserts lactés', 'Desserts au chocolat', 'Mousses au chocolat']",5 g,en quantité modérée,3.4 g,en quantité modérée,14.6 g,en quantité élevée,0.12 g,en faible quantité,,-57%,-57%,-70%,-66%,-34%,-27%,-42%,-45%,-45%,5,-62%,C,-62%,,C,Mousse chocolat noir,"['Carton', 'Plastique', 'Frais']","['France', 'Ile de la Réunion', 'Saint Pierre']","['FR 97.416.004 CE', 'Saint-Pierre (La Réunion, France)']",['Score'],86.6%,6.7%,1.9%,3.5%,1.0%,0.3%,35,,,
15,Chocolat Liegeois - 115g,3297560146867,"['France', 'La Réunion']",[],[],?,117,490 kj(117 kcal),5,"3,4","14,6","14,6","3,4","0,12","0,048",,,,,115 g,,,,,,,,,,,,,,,,,,,,,,,,,,,['Pot'],,"['FR 97.416.004 CE', 'Saint-Pierre (La Réunion, France)']",,,,,,,,,,,
16,Flan vanille - Piton Des Neiges,3297560148076,['France'],"['lait enter sucre', 'amidon de arôme naturel']",[],?,95,397 kj(95 kcal),"3,1","2,1",14,"12,8","2,7","0,1","0,04",['Piton Des Neiges'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Yop Parfum Coco 250g - Yoplait - 250g,3297560171746,['France'],[],[],?,70,293 kj(70 kcal),"1,9","1,3","10,3","10,3","2,1","0,1","0,04",['Yoplait'],,,,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Yop pêche-biscuit - Yoplait - 250g,3297560176888,['France'],[],[],?,81,339 kj(81 kcal),"1,7","1,1","13,6","13,4","1,9","0,1","0,04",['Yoplait'],,,,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Yop petit déj - Yoplait,3297560176970,['France'],"['lait écrémé reconstitué ', 'France', 'sucre 7,7%', 'fraise : 5%', 'céréales ', 'blé', 'orge', ' : 3%', 'matière grasse laitière', 'sirop de glucose', 'épaississants ', 'guar', 'pectine', 'arômes', 'conservateur du fruit ', 'E202', ""correcteur d'acidité "", 'E330', ' Contient blé et orge']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,75,314 kj(75 kcal),"1,8","1,1",11,"10,4","2,3","0,1","0,04",['Yoplait'],['Gluten'],"['E412 - Gomme de guar', 'E440 - Pectines', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",4,,"['Produits laitiers', 'Laits']",1.8 g,en faible quantité,1.1 g,en faible quantité,10.4 g,en quantité modérée,0.1 g,en faible quantité,,+14%,+15%,-13%,-8%,+83%,+92%,-35%,-19%,-19%,2,+248%,B,+248%,['Sans colorants'],C,,,,,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,
20,Yop énergie -  - 250,3297560176987,['France'],[],[],?,75,314 kj(75 kcal),"1,9","1,2","11,6","11,4","2,1","0,1","0,04",,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Yop chocolat,3297560177045,['France'],[],[],?,112,469 kj(112 kcal),"2,5","1,1","17,7","15,9","4,4","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Yop chocolat - Yoplait - 6x 240g,3297560177052,['France'],"['Lait écrémé en poudre', 'eau', 'sucre', 'chocolat ', 'pâte de cacao', 'sucre', 'émulsifiant: lécithine de soja', 'arôme', ' : 2,8%', 'cacao : 2,3%', 'matière grasse laitière', 'épaississant ', 'E401 ', 'stabilisants ', 'E450', 'E339', 'E500']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,112,469 kj(112 kcal),"2,5","1,1","17,7","15,9","4,4","0,14","0,056",['Yoplait'],,"['E322i - Lécithine', 'E401 - Alginate de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']",4,6 x 240 g,"['Produits laitiers', 'Laits']",2.5 g,en faible quantité,1.1 g,en faible quantité,15.9 g,en quantité élevée,0.14 g,en faible quantité,,+70%,+71%,+21%,-8%,+194%,+193%,+24%,+13%,+13%,3,+422%,C,+422%,,D,,,,,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,
23,Yop 974 goyavier - Yoplait,3297560177113,['France'],[],[],?,71,297 kj(71 kcal),"1,7","1,1","11,2","11,2","1,9","0,1","0,04",['Yoplait'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Yop 974 Goyavier,3297560177144,['France'],[],[],?,71,297 kj(71 kcal),"1,7","1,1","11,2","11,2","1,9","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Glace vanille mangue passion,3297560180021,['France'],[],[],?,144,602 kj(144 kcal),"4,5","3,8","24,7","22,1","1,3","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 67.416.021 CE', 'Rott (Bas-Rhin, France)']",,,,,,,,,,,
26,Calin pêche,3297560253459,['France'],[],[],?,96,402 kj(96 kcal),"2,7","1,8","12,4","11,3","5,5","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Calin - Fromage blanc sucré aromatisé - Yoplait - 1.2kg,3297560253664,['France'],"['Lait écrémé en poudre', 'sucre : 9', '7 %', 'crème', 'arômes', ' ferments lactiques', 'présure']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,106,444 kj(106 kcal),3,2,"13,4",13,"6,3","0,1","0,04",['Yoplait'],['Lait'],,4,1.2 kg,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Desserts lactés', 'Fromages blancs']",3 g,en quantité modérée,2 g,en quantité modérée,13 g,en quantité élevée,0.1 g,en faible quantité,,+16%,+17%,-26%,-23%,+106%,+116%,-3%,-7%,-7%,1,+248%,B,+248%,['en:lait-francais-french-milk'],B,,"['Frais', 'Pot', 'Plastique', 'Carton']",['France'],,,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,['France'],,
28,Calin,3297560253688,['France'],[],[],?,106,444 kj(106 kcal),3,2,"13,4",13,"6,3","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Mangue Fromage Blanc,3297560260082,['France'],[],[],?,100,418 kj(100 kcal),"2,6","1,8","12,6","12,4","6,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Petits filous,3297560291109,"['France', 'La Réunion']",[],[],?,100,418 kj(100 kcal),"2,9","1,9","12,3","11,9","6,9","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Australine,3297560601007,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Boisson Ananas Coco - Diego - 1L,3297560704159,['France'],"['Eau', "" Jus a base de concentré d'ananas et de lait de noix de coco"", 'sucre', 'arôme', 'acidifiant : acide citrique', 'antioxydant : acide ascorbique']",[],?,53,222 kj(53 kcal),"0,2","0,1",12,12,"0,5","0,01","0,004",['Diego'],,"['E330 - Acide citrique', 'E300 - Acide ascorbique']",4,1L,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Boissons sans alcool', 'Boissons avec sucre ajouté']",0.2 g,en faible quantité,0.1 g,en faible quantité,12 g,en quantité élevée,0.01 g,en faible quantité,,+39%,+33%,+47%,+272%,+39%,+63%,+119%,-52%,-52%,6,-15%,D,-15%,,D,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,
33,Boisson pomme ananas - Diego - 1L,3297560704227,['France'],[],[],?,?,,?,,?,,?,,,['Diego'],,,,1L,['Boissons'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Le nectar orange peche abricot - Réa,3297560861142,['France'],"['Jus à base de concentrés et purées de', 'orange', 'abricot', 'pêche', ' eau', ' sucre', ' vitamine C']",['Sans huile de palme'],?,51,213 kj(51 kcal),"0,1",0,12,12,"0,2","0,01","0,004",['Réa'],,,3,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Boissons avec sucre ajouté']",0.1 g,en faible quantité,0 g,en faible quantité,12 g,en quantité élevée,0.01 g,en faible quantité,,+4%,+5%,-44%,-100%,+5%,+12%,-37%,+4%,+4%,16,+18%,E,+18%,,D,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,
35,Diego - Cilam,3297560861647,['France'],"['Ingrédients : Eau', ""Jus à base de concentré d'ananas et de lait de noix de coco"", 'sucre', 'arôme', 'acidifiant : acide citrique', 'antioxydant: acide ascorbique']",[],?,53,222 kj(53 kcal),"0,2","0,1","12,4","12,4","0,5","0,01","0,004",['Cilam'],,"['E330 - Acide citrique', 'E300 - Acide ascorbique']",4,,"['Boissons', 'Boissons avec sucre ajouté']",0.2 g,en faible quantité,0.1 g,en faible quantité,12.4 g,en quantité élevée,0.01 g,en faible quantité,,-38%,-40%,-47%,-40%,-37%,-32%,-7%,-73%,-73%,17,+43%,E,+43%,,,,,,,,,,,,,,,,,
36,Pamplemousse - Réa,3297560872193,['France'],"['Jus de pamplemousse à base de jus concentré', ' Vitamine C']",[],?,37,155 kj(37 kcal),0,0,"7,6","7,6","0,5",0,0,['Réa'],,,1,,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,7.6 g,en quantité élevée,0 g,en faible quantité,,-34%,-36%,-100%,-100%,-33%,-19%,+1%,-100%,-100%,12,+57%,E,+57%,,,,,,,,,,,,,,,,,
37,Ti' frais des hauts poivre - 150g,3297563274628,['France'],[],[],?,170,711 kj(170 kcal),"12,9","9,2","2,5","2,5",11,"1,2","0,48",,,,,150 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,fromage frais épicé au lait pasteurisé - 150g,3297563274642,['France'],[],[],?,184,770 kj(184 kcal),14,10,"2,5","2,5",12,1,"0,4",,,,,150 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Glaçe vanille bourbon,3297564101602,['France'],[],[],?,187,782 kj(187 kcal),"8,7","4,8",25,22,2,"0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Glace Goyavier,3297564101664,['France'],[],[],?,199,833 kj(199 kcal),"8,8","4,8",27,23,"1,9","0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Thé glacé melon,3297565711039,['France'],[],[],?,26,109 kj(26 kcal),0,0,"6,4","6,3",0,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,,,,,
42,Jus d'orange - Rea - 25cl,3297565877001,['France'],"[""Jus d'Orange à base de jus concentré"", 'vitamine C']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,42,176 kj(42 kcal),"0,2",0,"8,9","8,2","0,7","0,01","0,004",['Rea'],,,1,25 cl,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange""]",0.2 g,en faible quantité,0 g,en faible quantité,8.2 g,en quantité élevée,0.01 g,en faible quantité,,-2%,-3%,+20%,-100%,-8%,-10%,+12%,+17%,+17%,2,-33%,C,-33%,,D,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,
43,Diego,3297566850423,['France'],[],[],?,42,176 kj(42 kcal),"0,5",0,10,10,"0,5","0,01","0,004",['Diego'],,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,
44,Diego,3297566850430,['France'],[],[],?,44,184 kj(44 kcal),"0,5",0,11,11,"0,5","0,01","0,004",['Diego'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Destination jungle - Diego,3297566850447,['France'],"['eau jus à base de Concentrés de orange', 'citron', 'ananas', 'mandarine', 'citron vert', 'sucre', 'arôme naturel', 'antioxydant : acide ascorbique']",[],?,43,180 kj(43 kcal),"0,5","0,1",11,11,"0,5","0,01","0,004",['Diego'],,['E300 - Acide ascorbique'],4,,"['Boissons', 'Boissons avec sucre ajouté']",0.5 g,en faible quantité,0.1 g,en faible quantité,11 g,en quantité élevée,0.01 g,en faible quantité,,-49%,-51%,+33%,-40%,-44%,-40%,-7%,-73%,-73%,14,+18%,E,+18%,,,,,,,,,,,,,,,,,
46,Nectar citron pei,3297566900852,['France'],[],[],?,51,213 kj(51 kcal),"0,5",0,11,11,"0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Caresse Créole Nectar passion,3297566900869,['France'],[],[],?,61,255 kj(61 kcal),"0,5","0,5",12,12,"0,6","0,02","0,008",['Caresse Creole'],,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars de fruit de la passion']",0.5 g,en faible quantité,0.5 g,en faible quantité,12 g,en quantité élevée,0.02 g,en faible quantité,,+13%,+11%,+324%,+1595%,-6%,-1%,+131%,+217%,+217%,17,+2%,E,+2%,,D,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,
48,Citron Pei,3297566900883,"['France', 'La Réunion']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Pruneau d'Agen -,3297680211032,['France'],[],[],?,241,1008 kj(241 kcal),0,0,54,35,2,,,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Fruits français', 'Pruneaux', ""Pruneaux d'Agen""]",0 g,en faible quantité,0 g,en faible quantité,35 g,en quantité élevée,,,,0%,-0%,-100%,-100%,+1%,-4%,+7%,,,,,,,,E,,,,,,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,,,
50,Pruneaux  d'Agen,3297680421028,['France'],[],[],?,241,1008 kj(241 kcal),0,0,54,35,2,,,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Fruits français', 'Pruneaux', ""Pruneaux d'Agen""]",0 g,en faible quantité,0 g,en faible quantité,35 g,en quantité élevée,,,,0%,-0%,-100%,-100%,+1%,-4%,+7%,,,,,,,,E,,,,,,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,,,
51,Cubes d'Abricot Secs,3297689331021,['France'],[],[],?,271,1134 kj(271 kcal),"0,8",0,53,41,"3,1","0,1","0,04",,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",0.8 g,en faible quantité,0 g,en faible quantité,41 g,en quantité élevée,0.1 g,en faible quantité,,+3%,+3%,+65%,-100%,-9%,-9%,+0%,+184%,+184%,6,+73%,C,+73%,,D,,,,,,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,,,
52,Compotes pommes s/s ajoutés Charles & Alice - Charles Et Alice,3297760020004,['France'],"['Purée de pommes', 'jus de citron', 'antioxydant: acide ascorbique', 'sucre naturellement présents dans les fruits']",[],?,55,230 kj(55 kcal),"0,5","0,1",13,11,"0,5","0,01","0,004",['Charles Et Alice'],,['E300 - Acide ascorbique'],,,,,,,,,,,,,,,,,,,,,,,,,,['Sans sucre ajouté'],,,,,,,,,,,,,,,,
53,Pommes-framboises - Charles & Alice,3297760020059,['France'],[],[],?,48,201 kj(48 kcal),"0,5","0,1",11,10,"0,5","0,01","0,004",['Charles & Alice'],,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes framboise']",0.5 g,en faible quantité,0.1 g,en faible quantité,10 g,en quantité modérée,0.01 g,en faible quantité,,-27%,-28%,+34%,-22%,-22%,-20%,+13%,+95%,+95%,-3,,A,,"['Sans sucre ajouté', 'Sans conservateurs']",B,,,,,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,,
54,Compote Pommes-Figues sans sucres ajoutés - Charles & Alice - 388g,3297760020349,['France'],[],[],?,57,238 kj(57 kcal),"0,5","0,2",13,11,"0,6","0,01","0,004",['Charles & Alice'],,,,388 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pomme', 'Compotes pommes figue']",0.5 g,en faible quantité,0.2 g,en faible quantité,11 g,en quantité modérée,0.01 g,en faible quantité,,-12%,-13%,+52%,+130%,-9%,-15%,+59%,+18%,+18%,-3,,A,,"['Sans sucre ajouté', 'Sans colorants', 'Sans conservateurs']",B,,,,,,32.9%,28.7%,15.1%,13.7%,7.6%,2.1%,96,,,
