,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,labels,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,quantity,markets,packaging,traceability_code,ingredients_origins,generic_name,manufacturing,additives,allergens,nova_score,origin_detail,link,brand_owner
0,Cheveux d ange,3660961001743,['France'],[],[],?,705,2950 kj(705 kcal),"9,8","3,67",0,0,"20,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Ciccolato di Modica Fondente alla Vaniglia,8026101000079,['France'],[],[],?,551.45,2307 kj(551 kcal),"27,05","15,85","67,06","50,06",10,['en:gluten-free'],0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Filets de saumon fumés,2434981052877,['France'],[],[],?,1040,4351 kj(1040 kcal),19,"2,6","0,5","0,5","19,8",,"1,9","0,76",E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",19 g,en quantité modérée,2.6 g,en quantité modérée,0.5 g,en faible quantité,1.9 g,en quantité élevée,,+462%,+463%,+81%,+26%,+1%,+50%,-10%,-33%,-33%,20,+53%,E,+53%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,,
3,Faisselle au lait de chèvre,3701231900011,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Confit de canard 2 cuisses,3493630000255,['France'],[],[],?,503,2105 kj(503 kcal),"51,6","17,3","0,5",0,"9,1",,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Chips - Exquisit,4337185000607,['France'],[],[],?,466,1950 kj(466 kcal),22,"2,6",58,"4,7","6,1",,"1,4","0,56",,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Plats préparés', 'Chips', 'Entrées']",22 g,en quantité élevée,2.6 g,en quantité modérée,4.7 g,en faible quantité,1.4 g,en quantité modérée,,+100%,+107%,+73%,+14%,+194%,+61%,+21%,+31%,+31%,14,+133%,D,+133%,,,,,,,,['Exquisit'],,,,,,,,,,,,,
6,Betteraves rouges - 500g,9596110339723,['France'],[],[],?,?,,?,,?,,?,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Betteraves', 'Betterave rouge']",,,,,,,,,,,,,,,,,,,,,,,65.8%,0.0%,0.0%,19.7%,13.6%,0.9%,99,,500 g,,,,,,,,,,,,
7,Escalope de dinde,2865525037652,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,,
8,Emmental français Est-Central au lai cru - Itinéraire des Saveurs,0212224020935,['France'],[],[],?,399,1669 kj(399 kcal),31,"20,9","1,3","0,5","28,1","['Nutriscore', 'Nutriscore D']","0,5","0,2",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages de France', 'Emmentals français', 'Emmentals français est-central']",31 g,en quantité élevée,20.9 g,en quantité élevée,0.5 g,en faible quantité,0.5 g,en quantité modérée,,-1%,-1%,-2%,+9%,+69%,-30%,-2%,+13%,+13%,11,+1%,D,+1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['Itinéraire des Saveurs'],,,,,,,,,,,,,
9,Ô Miel,3770009125093,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Carottes cora,2047072003216,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Filet mignon de porc - Picard,0201556050253,['France'],[],[],?,120,502 kj(120 kcal),"3,6","1,5",0,0,22,"['Viande Française', 'Viande Porcine Française']","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Picard'],,['Picard'],,,,,,,,,,,
12,Tartelette au chocolat,0209354015740,['France'],[],[],?,389,1628 kj(389 kcal),27,"4,8",31,21,"4,3",,"0,19","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Champignons de Paris,5907809273008,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Filets de poulet,2227364055769,['France'],[],[],?,?,,?,,?,,?,['Fabriqué en France'],,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,
15,325798010502,325798010502,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Rolled Biscuits - Metro Chef,4337182091011,['France'],[],[],?,530,2218 kj(530 kcal),"27,9","16,2","63,8","35,3","5,4",,"0,34","0,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Metro Chef'],,,,,,,,,,,,,
17,Chocolat lait - 30g,4006446006176,['France'],[],[],?,578,2418 kj(578 kcal),39,24,50,49,"6,2",,"0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 g,,,,,,,,,,,,
18,Sauce vinaigrette huile d'olive et tomates séchées - M. de Turenne,3339331700837,['France'],[],[],?,475,1987 kj(475 kcal),51,"5,6","2,1","1,3","0,8",,"3,4","1,36",D,"['Epicerie', 'Sauces', 'Sauces salades', 'Vinaigrettes']",51 g,en quantité élevée,5.6 g,en quantité élevée,1.3 g,en faible quantité,3.4 g,en quantité élevée,,+31%,+32%,+39%,+49%,-56%,-60%,+37%,+77%,+77%,20,+34%,E,+34%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,['M. de Turenne'],,,,,,,,,,,,,
19,Purée fine de Butternut et carotte,3760050900367,['France'],[],[],?,35,146 kj(35 kcal),"0,1",0,"8,6","2,4","0,8",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Rosé ""Perles de Grenache"" - Gérard Bertrand",3514123112290,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Gérard Bertrand'],,,,,,,,,,,,,
21,Pain,3350030075927,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2444022042835,2444022042835,['France'],[],[],?,?,,?,,?,,?,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Confiture de bière ambrée,3428660049950,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Suisse aux pépites de chocolat - Sicard,3608734497409,['France'],[],[],?,334,1397 kj(334 kcal),15,"6,3",41,"14,4",8,,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sicard'],,,,,,,,,,,,,
25,Scamorza fumée - 380g,3330410004129,['France'],[],[],?,310,1297 kj(310 kcal),24,17,"1,5","0,5",22,,"1,2","0,48",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",24 g,en quantité élevée,17 g,en quantité élevée,0.5 g,en faible quantité,1.2 g,en quantité modérée,,-6%,-5%,-10%,-4%,+24%,-33%,+8%,-8%,-8%,13,-5%,D,-5%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,380 g,,,,,,,,,,,,
26,Pan de higo con almendras,8414606858989,['France'],[],[],?,298.4,1249 kj(298 kcal),"3,1","0,2","55,3","0,1","4,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Kasar Cheese Long 12X100G,4040328039302,['France'],[],[],?,346,1448 kj(346 kcal),30,19,"0,7",0,20,,"3,5","1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Confiture fraise rhubarbe - Daniel Stoffel,3367270006376,['France'],[],[],?,209,874 kj(209 kcal),0,0,51,27,0,,0,0,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Légumes tiges', 'Confitures et marmelades', 'Confitures', 'Rhubarbes', 'Confitures de fruits rouges', 'Confitures de fraises']",0 g,en faible quantité,0 g,en faible quantité,27 g,en quantité élevée,0 g,en faible quantité,,+1%,+0%,-100%,-100%,-4%,-47%,-100%,-100%,-100%,7,-35%,C,-35%,,,,,,,,['Daniel Stoffel'],,,,,,,,,,,,,
29,Douceur de vinaigre a la grenade,3547130092453,['France'],[],[],?,250,1046 kj(250 kcal),0,0,59,53,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Vin Chateau Blaignan,3760159880034,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Citron en saumure nahil - 680g,3760199924453,['France'],[],[],?,33,138 kj(33 kcal),0,0,"7,5","0,5","0,7",,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680 g,,,,,,,,,,,,
32,Arizona Iced Tea With Strawberry,0613008735944,['France'],[],[],?,90,377 kj(90 kcal),0,0,24,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Arizona'],,,,,,,,,,,,,
33,Pâté de campagne - Domaine Picard,3385990021929,['France'],[],[],?,348,1456 kj(348 kcal),32,11,"1,2","0,7",14,,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Domaine Picard'],,['Picard'],,,,,,,,,,,
34,Miel de rhym,5200111680510,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Terrine vendanges tardives,3760037490621,['France'],[],[],?,249,1042 kj(249 kcal),19,7,"2,8","2,4",17,,"2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Chile habanero,01016400,['France'],[],[],?,2.21,9 kj(2 kcal),"0,02",0,"2,28","0,29","0,14",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Amica Wonder Anelli Pizza 150G,8008714000370,['France'],[],[],?,124,519 kj(124 kcal),25,"2,2",60,"4,5",7,,"3,5","1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Thé noir figue orange miel - Quai Sud,3662051007857,['France'],[],[],?,60,251 kj(60 kcal),0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Quai Sud'],,,,,,,,,,,,,
39,Jelly beans candy - Jelly Belly,0071570010737,['France'],[],[],?,360,1506 kj(360 kcal),0,0,90,67,0,,,,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons gélifiés', 'Jelly beans']",0 g,en faible quantité,0 g,en faible quantité,67 g,en quantité élevée,,,,+3%,+3%,-100%,-100%,+5%,+8%,-100%,,,,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,['Jelly Belly'],,,,,,,,,,,,,
40,Aromade with love,3760284370073,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Ribs de boeuf,2660499043827,['France'],[],[],?,265,1109 kj(265 kcal),20,"9,1","5,1","4,1",16,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Tiernísimos solomillos de pavo sin gluten y sin,8436039787360,['France'],[],[],?,95.5,400 kj(95 kcal),"1,3",0,0,0,21,,"1,29","0,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Pâtes Radiatori 250mg (ferme de Grand-Mont),3770009503068,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,4x 35g,9421009433919,['France'],[],"['Végétalien', 'Végétarien']",?,?,,?,,?,,?,"['Végétarien', 'en:gluten-free', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 x 35 g,,,,,,,,,,,,
45,Sweet chilli sauce,9310560019826,['France'],[],[],?,299,1251 kj(299 kcal),"0,3","0,1",72,"71,2","0,8",['en:gluten-free'],"1,68","0,672",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Green tea - Prozis,5600499581797,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Prozis'],,,,,,,,,,,,,
47,Excursion - Maître Prunille,3502490231331,['France'],[],[],?,326,1364 kj(326 kcal),"3,5","0,8",68,61,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Maître Prunille'],,,,,,,,,,,,,
48,Veggie acérola 1000 bio,3510130121300,['France'],[],[],?,?,,?,,?,,?,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Panela pulverisada,8436537512624,['France'],[],[],?,384,1607 kj(384 kcal),"2,2",0,"90,4","75,3","0,4",,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Saucisses pur porc,2617609045721,['France'],[],[],?,246,1029 kj(246 kcal),"20,6","7,8","0,5","0,5","15,8",,"2,8","1,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Peanut butter smooth,3144550019789,['France'],[],[],?,615,2573 kj(615 kcal),"48,5","7,1","12,4","6,2","28,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Protéine - Stc nutrition,3700225605628,['France'],[],[],?,?,,?,,?,,?,"['en:gluten-free', 'Sans colorants']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Stc nutrition'],,,,,,,,,,,,,
53,Les p'tits DONUTS,9940059200055,['France'],[],[],?,3,13 kj(3 kcal),6,2,4,3,1,,2,"0,8",B,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",6 g,en quantité modérée,2 g,en quantité modérée,3 g,en faible quantité,2 g,en quantité élevée,,-99%,-99%,-74%,-81%,-91%,-82%,-83%,+111%,+111%,9,-54%,C,-54%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,,,,,,,,
54,Boule St Antoine,0206016007877,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2237974009526,2237974009526,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,4337185439544,4337185439544,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Jus pomme golden,3266191001944,['France'],[],[],?,48,201 kj(48 kcal),0,0,12,11,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Iskembe corbasi - 65g,8690516500136,['France'],[],[],?,20,84 kj(20 kcal),"0,2","0,01","3,9","0,07","0,7",,"0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65 g,,,,,,,,,,,,
59,Huile d'olive extra vierge,5200118280461,['France'],[],[],?,828,3464 kj(828 kcal),92,13,0,0,0,,0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra"", 'en:Huile d’Olive vierge Extra']",92 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,-3%,-3%,-3%,-5%,,,,,,6,-1%,C,-1%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,"['Bottle', 'Bouteille']",,,,,,,,,,
60,Céréales chocolatées lait,7579736164353,['France'],[],[],?,0,0 kj(0 kcal),"4,8","2,4",21,"8,1","2,6",,"0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Sorbetto pamplemousse,3665147200101,['France'],[],[],?,91,381 kj(91 kcal),"0,06","0,01","18,83","18,64","0,48",['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Sorbetto poire,3665147200118,['France'],[],[],?,89,372 kj(89 kcal),"0,07","0,01","18,13","17,79","0,47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Farine intégrale de blé type 150,0206729075378,['France'],[],[],?,332,1389 kj(332 kcal),"1,7","0,3","62,3","2,4","12,5","['Bio', 'Bio européen', 'FR-BIO-01']",,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé']",1.7 g,en faible quantité,0.3 g,en faible quantité,2.4 g,en faible quantité,,,,-3%,-4%,+27%,+28%,-10%,+57%,+15%,,,,,,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,,,,,,,,,,,,,,
64,Gelatina morango -  - 170g,5607135162341,['France'],[],[],?,374,1565 kj(374 kcal),0,0,"84,3","83,5","9,2",,"0,5","0,2",,"['Aides culinaires', 'Préparations pour desserts', 'Préparations pour desserts gélifiés']",,,,,,,,,,+162%,+174%,-100%,-100%,+191%,+287%,+165%,+87%,+87%,,,,,,,,,,,,,170 g,,,,,,,,,,,,
65,Gelato speculoos maison,3665147100081,['France'],[],[],?,163,682 kj(163 kcal),"3,17","1,59","20,08","17,8","3,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,8 steaks hachés pur boeuf - Plus - 800g,26024776,['France'],[],[],?,256,1071 kj(256 kcal),20,"8,2",0,0,19,,"0,22","0,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Plus', 'Aldi', 'Lion']",800 g,,"['Barquette en plastique', 'Film en plastique']","['FR 49.323.032 CE', ""Saint-Sylvain-d'Anjou (Maine-et-Loire, France)""]",,,,,,,,,
67,Saute de porc,0210281042242,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Écorces d'orange enrobée au chocolat,2600967031758,['France'],[],[],?,432,1807 kj(432 kcal),20,12,57,52,"3,5",['Fabriqué en Belgique'],"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Akal Food 100% Spiruline Crue,3760246000055,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,E,"['Compléments alimentaires', 'Spiruline']",,,,,,,,,,-100%,-100%,,,,,,,,,,,,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,['Akal Food'],,,,,,,,,,,,,
70,Pavé de saumon cru,2443249052672,['France'],[],[],?,181,757 kj(181 kcal),"11,3","2,3",0,0,"19,9",,0,0,E,"['Produits de la mer', 'Poissons', 'Saumons', 'Pavés de saumon']",11.3 g,en quantité modérée,2.3 g,en quantité modérée,0 g,en faible quantité,0 g,en faible quantité,,-5%,-5%,-4%,+13%,-100%,-100%,-1%,-100%,-100%,-1,,A,,96.3%,0.0%,1.4%,1.4%,0.7%,0.2%,24,,,,,"['FR 59.508.003 CE', 'Roncq (Nord, France)']",,,,,,,,,
71,Vinaigre balsamique de Modène 6*,3760062780100,['France'],[],[],?,126,527 kj(126 kcal),"0,01",0,26,0,"0,8",['Bio'],,,B,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",0.01 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,,-14%,-14%,-60%,-100%,-18%,-100%,+20%,,,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,['Italie'],,,,,,,,
72,Filets de poulet rôti,2431628048484,['France'],[],[],?,151,632 kj(151 kcal),"5,8","1,4",0,0,24,"['Viande Française', 'Sans conservateurs', 'Volaille-francaise']","1,4","0,56",D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,,+4%,+4%,+8%,+3%,-100%,-100%,+2%,+4%,+4%,3,+17%,C,+17%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,"['Barquette en plastique', 'Film en plastique']","['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",,,,,,,,,
73,Shrubb,3760002990033,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Moutarde à la tomate et au basilic,3332290406864,['France'],[],[],?,100,418 kj(100 kcal),0,0,0,0,0,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 60537', 'Ribécourt-Dreslincourt (Oise, France)']",,,,,,,,,
75,Dos eglefin,0200923057598,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Chili con carne,3760260370462,['France'],[],[],?,139,582 kj(139 kcal),"4,3","1,2","5,4","2,5",18,"['Sans colorants', 'Sans conservateurs']","0,33","0,132",E,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Chili con carne']",4.3 g,en quantité modérée,1.2 g,en faible quantité,2.5 g,en faible quantité,0.33 g,en quantité modérée,,+18%,+16%,+27%,+7%,-56%,+18%,+167%,-59%,-59%,-2,,A,,94.4%,3.1%,0.8%,0.9%,0.5%,0.3%,14,,,,,,,,,,,,,,
77,Saucisse de viande - Metzger Muller,0286022074919,['France'],[],[],?,279,1167 kj(279 kcal),"25,6","0,3","0,5","0,4",12,,"2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Metzger Muller'],,,,,,,,,,,,,
78,Foies de volaille,0226015020271,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Maté Bio | Tact!,3700749301181,['France'],[],[],?,12,50 kj(12 kcal),"3,2",0,"3,2","3,14","0,007",['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Soupe Deshydratee Escapade Curry de légumes,7613033440373,['France'],[],[],?,333,1393 kj(333 kcal),"2,1","0,3","57,9","20,9","17,2",,"3,3","1,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Hong Kong Baijiu - 700ml,8003405007836,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700 ml,,,,,,,,,,,,
82,Olio All'aglio,8003267900658,['France'],[],[],?,?,,?,,?,,?,['Fabriqué en Italie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Filets de poulet - La Nouvelle Agriculture,0213311049525,['France'],[],[],?,?,,?,,?,,?,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['La Nouvelle Agriculture'],,,,,,,,,,,,,
84,Nigde Carbonated Soft Drink,8697448890076,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Ailvit - 30 Capsules - Bional,8712861210413,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Aubergines frites,3443545876100,['France'],[],[],?,106,444 kj(106 kcal),"8,09","0,89","7,3","3,69",1,,"0,73","0,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Filet de Merlan,3254565491750,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Saucisse seche Traditionnelle,3365490012771,['France'],[],[],?,382,1598 kj(382 kcal),30,12,"1,7","1,7",27,"['Viande Française', 'Viande Porcine Française', 'Sans colorants']","4,2","1,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Col de la Ramière 2017,3379431690010,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Saint Mont des Alpes,0211402017194,['France'],[],[],?,410,1715 kj(410 kcal),34,22,0,0,26,,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Bifteck,0207757042110,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Pomme de Terre,3360190038793,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Brie de meaux,0299474026047,['France'],[],[],?,289,1209 kj(289 kcal),"22,8","16,2",0,0,"20,9",,"1,65","0,66",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Bries', 'Brie de Meaux']",22.8 g,en quantité élevée,16.2 g,en quantité élevée,0 g,en faible quantité,1.65 g,en quantité élevée,,+4%,+3%,+5%,+6%,-100%,-100%,+1%,-8%,-8%,15,-1%,D,-1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,
