,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,labels,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,quantity,markets,packaging,traceability_code,ingredients_origins,generic_name,manufacturing,additives,allergens,nova_score,origin_detail,link,brand_owner
382,Prunes bio sauvages - 300g,3760275940223,['France'],[],[],?,256,1071 kj(256 kcal),"0,2","0,1",63,61,"0,5",['Bio'],0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 g,,,,,,,,,,,,
383,Confiture de framboise,3472860502241,['France'],[],[],?,240,1004 kj(240 kcal),"0,2","0,1",61,"59,3","0,8",,,,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",0.2 g,en faible quantité,0.1 g,en faible quantité,59.3 g,en quantité élevée,,,,+7%,+7%,-26%,+116%,+14%,+15%,+19%,,,,,,,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,,,,,,,,,,,,,,
384,Rillettes du Mans a l'ancienne,2470748019943,['France'],[],[],?,369,1544 kj(369 kcal),33,14,"0,5","0,5",18,"['Viande Française', 'Viande Porcine Française']","1,4","0,56",D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes françaises', 'Rillettes de viande rouge', 'Rillettes de la Sarthe', 'Rillettes de porc', 'Rillettes du Mans']",33 g,en quantité élevée,14 g,en quantité élevée,0.5 g,en faible quantité,1.4 g,en quantité modérée,,-8%,-8%,-12%,-2%,+37%,+79%,+14%,+12%,+12%,20,+3%,E,+3%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,,,
385,Langue de porc,2445878030243,['France'],[],[],?,194,812 kj(194 kcal),"14,9","5,2","0,8",0,"14,2",,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,Fromage de tête,2641188027229,['France'],[],[],?,187,782 kj(187 kcal),"14,2","5,4","0,7","0,7","13,9",,"1,8","0,72",D,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de tête']",14.2 g,en quantité modérée,5.4 g,en quantité élevée,0.7 g,en faible quantité,1.8 g,en quantité élevée,,-4%,-0%,+4%,+4%,-8%,+98%,-9%,+4%,+4%,14,+19%,D,+19%,76.6%,14.8%,4.7%,2.2%,1.3%,0.4%,42,,,,,,,,,,,,,,
387,Hamburger con sesamo - Gecchele - 300g,8015854160536,['France'],[],['Sans huile de palme'],?,286,1197 kj(286 kcal),"5,5",1,49,7,"8,5",['en:palm-oil-free'],"1,25","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Gecchele'],300 g,,,,,,,,,,,,
388,Cuisse de dinde,2745124018767,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,Sweetened Dried Cherries - Alesto,20344900,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Alesto'],,,,,,,,,,,,,
390,Thé de Noel - 50g,3760135310913,['France'],[],[],?,?,,?,,?,,?,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50 g,,,,,,,,,,,,
391,Creme de marron 87500,3760188800676,['France'],[],[],?,60,251 kj(60 kcal),0,0,"53,6","48,2","1,3","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
