,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,generic_name,packaging,manufacturing,traceability_code,additives,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,link,markets,allergens,origin_detail,producer_info,palm_ingredients,brand_owner
0,Fromage à tartiner/poivres Les Recettes de Madame Loïc - Paysan Breton,3412290071818,['Paysan Breton'],['France'],[],[],?,256,1071 kj(256 kcal),?,17,?,"2,5",6,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Crème d'amandes Complètes - Senfas - 300g,3412940200018,['Senfas'],"['France', 'Suisse']","[""100% crème d'amandes complètes"", "" ingrédient issu de l'agriculture biologique""]",[],2620,634,2620 kj(634 kcal),"53,4",4,"1,5",1,"25,4","0,04","0,016",300 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Pâtes à tartiner végétales']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",53.4 g,en quantité élevée,4 g,en quantité modérée,1 g,en faible quantité,0.04 g,en faible quantité,+130%,+135%,+134%,+549%,+205%,-96%,-97%,+995%,-79%,-79%,0,-100%,B,-100%,,,,,,,,,,,,,,,,,,,,,,
2,Sorbet framboise mangue - HÄÄGENE-DAZS - 4 * 100ml,3415581587005,['HÄÄGENE-DAZS'],['France'],"['Sorbet mangue : eau', 'purée de mangue ', '37%', 'sucre', 'sirop de glucose déshydraté', 'gélifiant : pectines', 'arôme naturel', ' Sorbet framboise : purée de framboise 35%', 'eau', 'sucre', 'sirop de glucose déshydraté', 'purée de mûres', 'jus de citron issu de concentré', 'arôme naturel de framboise', 'gélifiant : pectines']",[],?,112,469 kj(112 kcal),"0,2",0,"26,9","25,5","0,2","0,01","0,004",4 * 100 ml,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Sorbets', 'Sorbets à la mangue', 'Sorbets à la framboise']","['Point Vert', 'Fabriqué en France']",0.2 g,en faible quantité,0 g,en faible quantité,25.5 g,en quantité élevée,0.01 g,en faible quantité,,-9%,-9%,-22%,-100%,-8%,0%,-49%,-70%,-70%,4,-26%,C,-26%,C,Sorbet mangue et sorbet framboise,"['Pot', 'Carton', 'Surgelé']",['France'],"['FR 62.817.030 CE', 'Tilloy-lès-Mofflaines (Pas-de-Calais, France)']",['E440 - Pectines'],4,79.1%,7.1%,4.2%,4.2%,3.4%,2.0%,56,,,,,,,,
3,Poivre noir grains - Cook - 200g,3417960015475,"['Cook', 'Arcadie']",['France'],['Poivre noir'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,200 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Poivres', 'Graines de poivre', 'Poivres noirs', 'Poivre noir en grains']","['Bio', 'Bio européen', 'en:gluten-free', 'Agriculture non UE', 'FR-BIO-01', 'Point Vert', 'Biopartenaire']",,,,,,,,,,,,,,,,,,,,,,,B,,"['Pot', 'Plastique']",,,,1,41.9%,0.0%,34.8%,11.8%,11.5%,0.0%,94,['Madagascar'],http://www.arcadie.fr/produits-bio/epices-bio/poivre-noir-bio.html,['Bio14'],,,,,
4,Curry 35 g - Cook,3417960022657,"['Cook', 'Arcadie']","['France', 'Pays-Bas']","['Curcuma', 'coriandre', 'gingembre', 'cannelle', 'fenugrec', 'oignon', 'poivre noir', 'carvi', 'girofle', 'muscade']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,35 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Curry']","['Bio', 'Bio européen', 'FR-BIO-01', 'Biopartenaire']",,,,,,,,,,,,,,,,,,,,,,,A,Epice,"['Flacon', 'Verre', 'Bouchon', 'Plastique']",,,,1,68.8%,0.0%,19.6%,5.2%,6.4%,0.0%,82,,http://www.arcadie.fr/produits-bio/epices-bio/curry-bio.html,"['Biocoop', 'Bio14', 'Ekoplaza']",,,,,
5,Galettes de riz chocolat au lait sans gluten - Terres et Céréales - 100g,3421557602047,['Terres et Céréales'],['France'],"['Chocolat au lait* 55% ', 'sucre de canne*', 'beurre de cacao*', 'poudre de lait entier*', 'masse de cacao*', 'riz* 45%', "" *Ingrédients issus de l'Agriculture Biologique""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,494,2067 kj(494 kcal),24,15,60,26,"8,1","0,1","0,04",100 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de riz soufflé', 'Galettes de riz au chocolat au lait']","['Bio', 'Bio européen', 'en:gluten-free', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Point Vert', 'Fabriqué en France', 'Afdiag']",24 g,en quantité élevée,15 g,en quantité élevée,26 g,en quantité élevée,0.1 g,en faible quantité,,+1%,+1%,+7%,+13%,-5%,-4%,+15%,-24%,-24%,17,-13%,D,-13%,B,Galettes de céréales nappées de chocolat issues de l'agriculture biologique,"['Sachet', 'Plastique']",['France'],,,3,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,,,,['Lait'],,,,
6,Menthe tilleul verveine - Les 2 marmottes - 45g (30sachets),3422150000230,['Les 2 marmottes'],['France'],"['Verveine odorante 35%', 'tilleul 35%', 'menthe douce et poivrée 30%']",[],?,1,4 kj(1 kcal),0,0,"0,5","0,5",0,0,0,45 g (30 sachets),"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Infusions', 'Thés à la menthe', 'Thés verts à la menthe', 'Thés en sachets']","['Point Vert', 'Fabriqué en France']",,,,,,,,,,-75%,-64%,-100%,-100%,-22%,+120%,-100%,-100%,-100%,,,,,A,,"['Etui', 'Carton', 'Sachet']",['France'],,,1,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,https://www.les2marmottes.fr/les-infusions/infusion-menthe-tilleul-verveine.html,,,,,,
7,Mes potages Bio Petits pois et légumes verts - Crealine - 950ml,3422440003675,['Crealine'],['France'],"['Légumes 55 % ', 'légumes verts 29 % ', 'petits pois* 11 %', 'poivrons verts*', 'brocolis', 'pommes de terre*', 'céleri branche*', 'oignons*', 'eau', 'sel', 'amidon de maïs', 'persil*', 'poivre*', "" *Ingrédients issus de l'agriculture biologique"", ' Fabriqué dans un atelier qui utilise du lait', ' A conserver entre O°C et +4°C']",[],?,29,121 kj(29 kcal),"< 0,5","< 0,1","4,9","1,1","1,2","0,67","0,268",950 ml,"['Plats préparés', 'Soupes', 'Soupes froides']","['Bio', 'Bio européen', 'FR-BIO-01', 'Fabriqué en France']",0.5 g,en faible quantité,0.1 g,en faible quantité,1.1 g,en faible quantité,0.67 g,en quantité modérée,,-33%,-34%,-80%,-76%,+40%,-56%,+46%,-0%,-0%,0,-100%,B,-100%,,,['bouteille plastique'],,,,3,,,,,,,,,,['Casino'],,,,,
8,Biscuit nature et bienfaits blé raisins - Bio Soleil - 250g,3423720001022,['Bio Soleil'],['France'],"['Farine de blé T80* ', '61%', ' ', ' huile de sésame* ', ' flocons de blé* ', '10%', ' ', ' raisins* ', '9%', ' ', 'raisin sultanine*', 'huile de tournesol*', ' ', ' sirop d’orge malté* ', ' sel de mer non raffiné', '\xa0\r*Ingrédients issus de l’agriculture biologique']",['Sans huile de palme'],?,403,1686 kj(403 kcal),12,2,63,11,"9,4","0,97","0,388",250 g,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']","['Bio', 'Bio européen', 'FR-BIO-01', 'Fabriqué en France', 'en:palm-oil-free', 'AB Agriculture Biologique']",12 g,en quantité modérée,2 g,en quantité modérée,11 g,en quantité modérée,0.97 g,en quantité modérée,,-15%,-15%,-42%,-80%,-2%,-63%,+45%,+65%,+65%,8,-60%,C,-60%,C,Biscuit 100% végétal - sans levure - blé raisins,"['Plastique', 'Sachet']",['France'],,,3,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,http://www.biosoleil.com/index.php?query=catalog/product/id/9,,"['Gluten', 'Graines de sésame']",,,,
9,Pizza surgelée 3 fromages - C'est qui le patron ?! - 450g,3424600000791,"[""C'est qui le patron ?!"", 'La marque du consommateur']",['France'],"['Garniture 60% : Emmental grand cru Label Rouge ', '21%', 'purée de tomates cultivée en Provence ', '14', '7%', 'raclette Label Rouge ', '11,5%', 'comté AOC ', '8,3%', 'eau', 'oignons', 'huile d‘olives vierge extra ', '1', '5%', 'sel', 'mélange d‘herbes de  Provence et persil', 'ail', 'sucre', ' \rPâte ', '40%', ': Farine de blé', 'eau', ""huile d'olives vierge extra"", 'levure', 'sel']",['Non végétalien'],1117,267,1117 kj(267 kcal),"14,4","8,5","19,2",1,"14,5","1,25","0,5",450g,"['Surgelés', 'Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas au fromage', 'Pizzas et tartes surgelées', 'Pizzas surgelées', 'Pizzas aux trois fromages']","['AOC', 'Label Rouge']",14.4 g,en quantité modérée,8.5 g,en quantité élevée,1 g,en faible quantité,1.25 g,en quantité modérée,+10%,+8%,+8%,+51%,+68%,-30%,-60%,+29%,+1%,+1%,15,+46%,D,+46%,B,Pizza aux trois fromages surgelée,['Surgelé'],"['Manosque', 'France']","['FR 04.112.005 CE', 'Manosque (Alpes-de-Haute-Provence, France)']",,3,73.6%,9.9%,3.3%,4.1%,1.9%,7.1%,56,['France'],,['Auchan'],"['Gluten', 'Lait']",,,,
10,Eau Monts D'Arrée 1.5L - menez are,3430690000016,['menez are'],['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,"1,5L",,,,,,,,,,,,,,,,,,,,,,,,,,,['Plastique'],['Bretagne'],,,,,,,,,,,,,"['Leclerc', 'Intermarché']",,,,,
11,Fromage Blanc au Lait de Chèvre Nature - Bernard Gaborit,3438860002808,['Bernard Gaborit'],['France'],"['Lait entier de chèvre', 'Ferments lactiques', 'Présure']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,97,406 kj(97 kcal),"7,35","5,32","0,91","0,87","6,78",0,0,,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Desserts lactés', 'Fromages blancs', 'Fromages blancs au lait de chèvre', 'Fromages blancs natures']",['Bio'],7.35 g,en quantité modérée,5.32 g,en quantité élevée,0.87 g,en faible quantité,0 g,en faible quantité,,-5%,-1%,+12%,+17%,-79%,-76%,+12%,-100%,-100%,2,-20%,B,-20%,C,,,,,,3,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,['Lait'],,,,
12,Colin d'alaska Panées - Eco + - 800g (5x 160g),3450970060899,['Eco +'],['France'],"[""filet de colin d'Alaska "", 'Theragra chalcogramma', ' 68%', 'farine de blé', 'eau', 'amidon de blé et de pomme de terre', 'sel', 'levure', 'farine de maïs', 'huiles végétales ', 'tournesol', 'colza', 'sucre', 'poudres à lever : E450', 'E500', 'lait écrémé en poudre', 'épices', 'dextrose']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,119,498 kj(119 kcal),"0,9","0,1",15,"1,8",12,"0,77","0,308",800 g (5 x 160 g),"['Produits de la mer', 'Poissons', 'Surgelés', 'Plats préparés', 'Préparations de poisson', 'Fruits de mer surgelés', 'Produits panés', 'Poissons surgelés', 'Poissons panés', 'Colins']",['Point Vert'],0.9 g,en faible quantité,0.1 g,en faible quantité,1.8 g,en faible quantité,0.77 g,en quantité modérée,,-5%,-3%,-77%,-81%,+137%,+185%,-16%,+40%,+40%,-1,,A,,E,,"['Sachet', 'Plastique', 'Surgelé']",,"['DE NI 10959 EG', 'DE NI-10950 EG']","['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']",4,88.5%,2.2%,1.2%,5.1%,0.6%,2.3%,21,,,,"['Poisson', 'Gluten', 'Lait']",,,,
13,Céréales Boules de Maïs au Miel - Eco+,3450970104265,['Eco+'],"['France', 'Espagne']","['semoule de maïs 65 %', 'sucre', 'farine de blé', 'sirop de glucose', 'miel 2 0%', 'sel', 'huile de tournesol', 'arôme ', 'dont colorant : E150c', ' Traces de fruits à coque et de lait']",[],?,393,1644 kj(393 kcal),"1,1","0,1",89,27,6,"0,75","0,3",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",,1.1 g,en faible quantité,0.1 g,en faible quantité,27 g,en quantité élevée,0.75 g,en quantité modérée,,-2%,-2%,-87%,-95%,+33%,+62%,-36%,+110%,+110%,11,+104%,D,+104%,C,,,,,"['E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition']",4,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,['Gluten'],,,,
14,Salade Thon Niçoise - Eco+ - 280g,3450970106511,"['Eco+', 'Eco plus']",['France'],"['Pommes de terre 20', '8%', ' thon précuit 20%', ' eau', ' tomates 13%', ' haricots verts 7', '8%', ' poivrons 7', '4%', ' oignons 7', '1%', ' olives noires 3', '4% ', 'olives', ' sel', ' huile de colza', "" vinaigre d'alcool"", ' sel', ' basilic', ' ail 0', '3%', ' épaississants: E410', 'E412', ' amidon de riz', ' arôme naturel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,69,289 kj(69 kcal),"2,6","0,2","3,9","1,2","6,9","1,25","0,5",280 g,"['Plats préparés', 'Salades', 'Plats préparés au poisson', 'Salades composées', 'Salades au thon', 'Salades de légumes', 'Salades nicoises']",,2.6 g,en faible quantité,0.2 g,en faible quantité,1.2 g,en faible quantité,1.25 g,en quantité modérée,,-21%,-23%,-40%,-60%,-31%,-10%,+5%,+20%,+20%,0,,B,,,,"['Conserve', 'métal']",,"['FR 85.222.009 CE', 'Saint-Gilles-Croix-de-Vie (Vendée, France)']","['E410 - Gomme de caroube', 'E412 - Gomme de guar']",4,,,,,,,,,,['Leclerc'],['Poisson'],,,,
15,Blé soufflé miel - Eco+ - 2*375g - 750g,3450970134972,"['Eco+', 'Eco +']",['France'],"['blé soufflé 54 %sucre', 'sirop de glucose', 'huile de tournesol', 'miel 1,3 %', 'caramel ', 'sucre', 'eau', ' Traces de lait']",['Non végétalien'],?,395,1653 kj(395 kcal),"3,2","0,4",80,38,9,0,0,2*375 g - 750 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Grains soufflées', 'Céréales soufflées', 'Blé soufflé', 'Céréales au miel']",,3.2 g,en quantité modérée,0.4 g,en faible quantité,38 g,en quantité élevée,0 g,en faible quantité,,+4%,+3%,+71%,+12%,+1%,+20%,+13%,-100%,-100%,7,+25%,C,+25%,C,,"['Carton', 'Plastique', 'Sachet', 'Boite']",,,,4,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,"['Leclerc', 'E.Leclerc']",,,,,
16,Chaussons au thon - La Cuisine Du Poissonnier - 280g,3456700230709,['La Cuisine Du Poissonnier'],['France'],"['Farine de blé', 'thon listao origine Équateur 16,4 %', 'tomates concassées ', 'tomates', 'acidifiant acide citrique', 'eau', 'oignons', 'beurre', 'poivrons rouges', 'courgettes', 'huile de tournesol', 'œuf entier', ""huile d'olive"", 'ail réhydraté 1,0 0%', 'sel', 'levure', 'amidon transformé de maïs', 'cumin 0,1 % poivre', 'curcuma 0,01 %']","['Non végétalien', 'Non végétarien']",?,250,1046 kj(250 kcal),"11,9","5,18","26,2","2,9","8,8","1,2","0,48",280 g,"['Produits de la mer', 'Poissons', 'Plats préparés', 'Frais', 'Préparations de poisson', 'Plats préparés au poisson', 'Plats préparés frais', 'Feuilleté salé', 'Friands', 'Feuilletés au poisson']",['Sans conservateurs'],11.9 g,en quantité modérée,5.18 g,en quantité élevée,2.9 g,en faible quantité,1.2 g,en quantité modérée,,-18%,-18%,-36%,-50%,0%,+19%,+12%,-2%,-2%,13,-23%,D,-23%,D,,['Paquet'],,"['EMB 87085', 'Limoges (Haute-Vienne, France)', 'FR 87.085.872 CE', 'Limoges (Haute-Vienne, France)']","['E330 - Acide citrique', 'E14XX - Amidons modifiés']",4,85.0%,6.5%,1.8%,1.9%,1.0%,3.8%,35,,,,"['Gluten', 'Lait']",,,,
17,Dessert lacté au chocolat - Auchan - 500g,3456770522476,['Auchan'],['France'],"['Lait écrémé', 'lactose et minéraux du lait', 'sucre', 'chocolat en poudre : 3% ', 'cacao en poudre', 'sucre', 'amidon modifié', 'maltodextrine', 'épaississant : E407', 'crème', 'protéines de lait', 'lactose ', 'contient lait']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,96,402 kj(96 kcal),"0,6","0,4",20,18,"2,1","0,11","0,044",500 g,"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Desserts au chocolat', 'Desserts lactés au chocolat']","['Peu ou pas de matière grasse', 'Peu de matière grasse', 'Allégé en matière grasse']",0.6 g,en faible quantité,0.4 g,en faible quantité,18 g,en quantité élevée,0.11 g,en faible quantité,,-37%,-37%,-91%,-90%,+6%,+8%,-45%,-29%,-29%,3,-56%,C,-56%,,,,,"['FR 62.853.030 CE', 'Vieil-Moutier (Pas-de-Calais, France)']","['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",4,,,,,,,,,,"['Magasins U', 'Auchan']",['Lait'],,,,
18,Mousse Citron - Nova - 54g,3456774706681,['Nova'],['France'],"['LAIT entier', 'LACTOSE et minéraux du LAIT', 'CREME', 'sucre', 'eau', 'purée de citron 4%', 'jus de citron', 'amidons modifiés', 'gélatine', 'émulsifiant : E472b', 'arôme naturel de  citron', 'arôme', 'épaississant : E407', 'conservateur : E202', 'colorant : E160a', 'protéines  de LAIT']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",505,120,505 kj(120 kcal),"5,5","3,7","15,5","13,7","2,6","0,23","0,092",54 g,"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Mousses sucrées', 'Mousses lactées']",,5.5 g,en quantité modérée,3.7 g,en quantité modérée,13.7 g,en quantité élevée,0.23 g,en faible quantité,-29%,-37%,-34%,-40%,-38%,-21%,-23%,-36%,+35%,+35%,7,-24%,C,-24%,,,"['Pot', 'Plastique']",,,"['E14XX - Amidons modifiés', 'E428 - Gélatine', ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras"", 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E160a - Carotènes mélangés']",4,,,,,,,,,,,['Lait'],,,,
19,Île flottante - Mamie Nova - 400g e (4 * 100g),3456774791625,['Mamie Nova'],['France'],"['Lait demi-écrémé', 'œuf frais 23,6 % ', ""blanc d'œuf frais 17,1 %"", ""jaune d'œuf frais 6"", '5 %', 'sucre', 'amidons modifiés', 'arôme naturel de vanille', 'stabilisant : E415', 'gousses de vanille épuisées', '\rGarniture : caramel ', 'sucre', 'sirop glucose-fructose', 'eau']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,133,556 kj(133 kcal),"2,8","1,2","22,2","21,2","4,8","0,15","0,06",400 g e (4 * 100 g),"['Produits laitiers', 'Desserts', 'Biscuits et gâteaux', 'Desserts lactés', 'Pâtisseries', 'Ile flottante', 'Desserts lactés aux œufs']",['Point Vert'],2.8 g,en faible quantité,1.2 g,en faible quantité,21.2 g,en quantité élevée,0.15 g,en faible quantité,,-1%,0%,-12%,-27%,+5%,+8%,+3%,+7%,+7%,4,+4%,C,+4%,B,,"['Frais', 'Carton', 'Plastique']",,"['FR 17.028.001 CE', 'Aytré (Charente-Maritime, France)']","['E14XX - Amidons modifiés', 'E415 - Gomme xanthane']",4,69.1%,13.9%,6.5%,6.0%,3.6%,1.0%,84,,,['Leclerc'],"['Œufs', 'Lait']",,,,
20,Yaourt au Sucre de canne Roux - Mamie Nova - 1.5kg,3456774829946,['Mamie Nova'],['France'],"['Lait entier 92,2 %,sucre de canne roux 7,2 %', 'poudre de lait écrémé et/ou lait écrémé concentré', 'minéraux du lait', 'ferments lactiques ', 'lait']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,85,356 kj(85 kcal),"3,2","2,1",11,11,3,"0,12","0,048",1.5 kg,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts sucrés']",,3.2 g,en quantité modérée,2.1 g,en quantité modérée,11 g,en quantité modérée,0.12 g,en faible quantité,,-11%,-12%,+3%,+6%,-15%,-11%,-15%,+5%,+5%,4,+37%,C,+37%,,,"['Pot', 'Carton', 'Papier', 'Plastique']",['France'],"['FR 28.015.011 CE', 'Auneau (Eure-et-Loir, France)']",,3,,,,,,,,['France'],,"['Cora', 'Magasins U']",['Lait'],,,,
21,Crème Marrons - Mamie Nova - 300g (2 * 150g),3456778743248,['Mamie Nova'],['France'],"['Lait entier', 'crème de marrons 40% ', 'sucre', 'purée de marrons 45%', 'sucre', 'amidon modifié', 'épaississant : E407', 'colorant : E150a', 'protéines de lait']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,146,611 kj(146 kcal),"2,1","1,4","29,2","24,6","2,1","0,08","0,032",300 g (2 * 150 g),"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Crèmes dessert']",['Point Vert'],2.1 g,en faible quantité,1.4 g,en faible quantité,24.6 g,en quantité élevée,0.08 g,en faible quantité,,+12%,+13%,-53%,-49%,+60%,+61%,-38%,-48%,-48%,5,+5%,C,+5%,,Dessert lacté à la crème de marrons,"['Pot', 'Carton', 'Frais']",['France'],,"['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E150a - Caramel E150a']",4,,,,,,,,,http://www.androsrestauration.fr/Nos-produits/Refrigere/Gourmand-R/Lot-de-2-pots-150g-Gourmand-R-Creme-de-marrons,"['Leclerc', 'Magasins U']",['Lait'],,,,
22,Fins spaghettis aux gambas - Weight Watchers,3459343501076,['Weight Watchers'],"['Belgique', 'France']","['Spaghettis précuites 35% ', 'eau', 'semoule de BLE dur', 'OEUFS', 'légumes 23% ', 'carottes 6,8%', 'tomates 6,3%', 'courgettes 5,7%', 'poivrons 4,7%', 'CREVETTES décortiquées 12%', 'CREME fraîche légère ', '15% MG', 'purée de tomates mi-réduite', 'eau', 'huile de colza', 'amidon modifié', 'arômes ', 'contiennent CRUSTACE', 'sel', 'ail', 'origan']","['Non végétalien', 'Non végétarien']",?,79,331 kj(79 kcal),"2,6","1,3",10,"1,8","3,7","0,72","0,288",,['Plats préparés'],,2.6 g,en faible quantité,1.3 g,en faible quantité,1.8 g,en faible quantité,0.72 g,en quantité modérée,,-51%,-51%,-64%,-43%,-25%,-13%,-47%,-24%,-24%,2,-49%,B,-49%,,,,,,['E14XX - Amidons modifiés'],4,,,,,,,,,,['Delhaize'],"['Crustacés', 'Œufs', 'Gluten', 'Lait']",,,,
23,Eau gazeuse minérale naturelle,3468570116700,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,"0,49","0,196",,"['Boissons', 'Boissons gazeuses', 'Eaux', 'Eaux de sources', 'Eaux minérales', 'Eaux gazeuses', 'Eaux minérales gazeuses']",,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.49 g,en quantité modérée,,,,,,,,-100%,+393%,+393%,2,+360%,A,+360%,,,,,,,,,,,,,,,,,['Magasins U'],,,,,
24,Fraise - Les 4 Saisons - 400g,3470410134607,['Les 4 Saisons'],['France'],"['Fraise', 'sucre', 'gélifiant : pectine']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,243,1017 kj(243 kcal),"0,2","0,2",60,59,"0,6","0,1","0,04",400 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",['en:produced-in-bretagne'],0.2 g,en faible quantité,0.2 g,en faible quantité,59 g,en quantité élevée,0.1 g,en faible quantité,,+12%,+12%,-17%,+343%,+13%,+16%,+35%,+341%,+341%,11,+26%,D,+26%,D,Confiture extra cuite au chaudron de cuivre,"['Bocal', 'Verre', 'Couvercle', 'Métal']","['France', 'Bretagne']",,['E440 - Pectines'],4,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,http://4sais.com/produit.php?id=9,"['Carrefour', 'Magasins U']",,,,,
25,Jus d’orange - Caresse Creole,3473360900704,['Caresse Creole'],"['France', 'La Réunion']","[""Jus D'ORANGE"", ' VALEURSNUTRITIONNELLES POUR 100 ML : ÉNERGIE : 178 KJ /']",[],?,42,176 kj(42 kcal),"0,4","0,1","8,7","8,7","6,7",0,0,,['Boissons'],,0.4 g,en faible quantité,0.1 g,en faible quantité,8.7 g,en quantité élevée,0 g,en faible quantité,,-25%,-27%,+15%,-15%,-23%,-8%,+1251%,-100%,-100%,10,+31%,E,+31%,,,,,,,1,,,,,,,,,,,,,,,
26,Léa Nature - Confiture Cassis - Jardin Bio - 320g,3478820600644,"['Jardin Bio', 'Léa Nature']",['France'],"['Cassis bio 50%', 'sucre brut de canne bio', 'eau', 'gélifiant : pectines', 'jus de citron bio concentré']","['Sans huile de palme', 'Végétalien', 'Végétarien']",749,177,749 kj(177 kcal),"0,9",~ 0,40,38,"0,6","0,08","0,032",320 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de cassis']","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",0.9 g,en faible quantité,0 g,en faible quantité,38 g,en quantité élevée,0.08 g,en faible quantité,-18%,-23%,-22%,+219%,-100%,-26%,-27%,-0%,+197%,+197%,6,-35%,C,-35%,C,,"['Bocal', 'Verre']",,,['E440 - Pectines'],4,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,http://www.jardinbio.fr/produit/100-fruit-cassis/,,,,,,
