,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,generic_name,packaging,manufacturing,traceability_code,additives,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,link,markets,allergens,origin_detail,producer_info,palm_ingredients,brand_owner
1786,Cornets à glace - Picard - 150g,3270160852109,['Picard'],['France'],"['farine de blé ', 'gluten', ' 65,2%', 'sucre', 'matière grasse végétale de coprah', 'fibre de blé ', 'gluten', 'émulsifiant : lécithines de soja', 'caramel aromatique', 'acidifiant : carbonates de magnésium', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1752,415,1752 kj(415 kcal),"6,2","4,1",81,28,"7,5","0,22","0,088",150 g,"['Biscuits et gâteaux', 'Cône pour glace']",,6.2 g,en quantité modérée,4.1 g,en quantité modérée,28 g,en quantité élevée,0.22 g,en faible quantité,-6%,-3%,-3%,-68%,-52%,+42%,-4%,+27%,-61%,-61%,15,-19%,D,-19%,C,,"['Boite', 'Carton']",,,"['E322i - Lécithine', 'E504 - Carbonates de magnésium']",4,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,https://www.picard.fr/12-cornets-glace-000000000000085210.html,['Picard'],"['Gluten', 'Soja']",,,,
1787,Ka'ré fourré noisettes - Grillon d'Or,3421557920820,"[""Grillon d'Or""]",['France'],"['Fourrage noisettes 35% ', 'pâte de noisette 10', '5%', 'sucre de canne', 'lait écrémé en poudre', 'huile de tournesol', 'inuline', 'beurre de cacao', 'émulsifiant : lécithine de soja', 'extrait naturel de vanille', 'maïs 27%', 'blé complet 26%', 'avoine complète', 'poudre de cacao dégraissé 4,8%', 'sucre de canne']",['Non végétalien'],?,432,1807 kj(432 kcal),15,"2,5",60,16,11,"0,1","0,04",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Céréales extrudées', 'Céréales au chocolat', 'Céréales fourrées']","['Bio', 'Bio européen', 'FR-BIO-01', 'Fabriqué en France']",15 g,en quantité modérée,2.5 g,en quantité modérée,16 g,en quantité élevée,0.1 g,en faible quantité,,-1%,-1%,+9%,-34%,-12%,-44%,+47%,-84%,-84%,0,-100%,B,-100%,B,,,,,['E322i - Lécithine'],4,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,['Gluten'],,,,
1788,Dolce gusto espresso,7613037935080,,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,3",0,"0,2",0,0,,['Dosettes Dolce Gusto'],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,-99%,-99%,-100%,-100%,-97%,-100%,-94%,-100%,-100%,0,-100%,B,-100%,,,,,,,,,,,,,,,,,,,,,,
1789,Oeuf de nos regions,3564706516540,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Film en plastique'],,"['FR 34.165.003 CE', 'Montbazin (Hérault, France)']",,,,,,,,,,,,,,,,,
1790,Le Gazpacho Tomate basilic - Créaline,3422440003422,['Créaline'],['France'],[],[],?,26,109 kj(26 kcal),"1,1","0,2",3,"2,3","0,6","0,6","0,24",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Soupes froides', 'Gaspacho']",,1.1 g,en faible quantité,0.2 g,en faible quantité,2.3 g,en faible quantité,0.6 g,en quantité modérée,,-37%,-37%,-55%,-48%,-11%,-10%,-24%,-10%,-10%,2,+68%,B,+68%,B,,,,,,,8.9%,40.5%,20.0%,12.5%,12.7%,5.4%,98,,,,,,,,
1791,Puget huile d’olive EV - 50cl,3265470018178,['Puget'],['France'],[],[],?,900,3770 kj(900 kcal),100,14,0,0,0,0,0,50cl,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,100 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+5%,+5%,+5%,0%,,,,-100%,-100%,6,-2%,C,-2%,D,,['bidon fer'],,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,
1792,MINI PALETS CHÈVRE ET BASILIC - Céréal Bio,3175681249523,['Céréal Bio'],['France'],[],[],?,223,933 kj(223 kcal),"6,9","1,3",31,"3,4",7,1,"0,4",,,"['Bio', 'Fabriqué en France', 'Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1793,Dessangle - 250,3600550038743,['Dessangle'],['France'],"['AQUA / WATER', 'SODIUM LAURETH SULFATE', 'COCO-BETAINE', 'GLYCOL DISTEARATE', 'SODIUM CHLORIDE', 'PPG-5-CETETH-20', 'CI 19140 / YELLOW 5', 'CI 42090/BLUE 1', 'LINALOOL', 'CARBOMER', 'DIMETHICONE', 'SODIUM BENZOATE', 'SALICYLIC ACID', 'SODIUM ACETATE', 'SODIUM HYDROXIDE', 'KAOLIN', 'LIMONENE', 'ISOPROPYL ALCOHOL', 'CITRUS AURANTIFOLIA OIL/LIME OIL', 'CITRIC ACID', 'PANTHENOL', 'POLYQUATERNIUM-10', 'BENZYL SALICYLATE', 'BENZYL ALCOHOL', 'PARFUM/ FRAGRANCE', ' ', 'FL', 'L C216091/1']",[],?,?,,?,,?,,?,,,250,"['Non alimentaire', 'Open Beauty Facts']",,,,,,,,,,,,,,,,,,,,,,,,,,['Individuel'],,,"['E102 - Tartrazine', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition', 'E900a - Polydiméthylsiloxane', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E262i - Acétate de sodium', ""E559 - Silicate d'aluminium"", 'E330 - Acide citrique', 'E1519 - Alcool benzylique']",,,,,,,,,,,,,,,,
1794,"Super Food ""Energy""",3700009272312,,['France'],[],[],?,169,707 kj(169 kcal),10,"1,2",12,"5,2","6,1","0,75","0,3",,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1795,3560070923199,3560070923199,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
