,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,brand,categories,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,generic_name,ingredients_origins,manufacturing,markets,link,palm_ingredients,traceability_code,brand_owner
184,Olives à la farce d'anchois - Corredor,8411968301702,['France'],[],[],?,139,582 kj(139 kcal),"13,6","2,8","0,5","0,5","1,1","2,1","0,84",A,['Corredor'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives farcies', 'Olives vertes farcies', ""Olives vertes farcies à l'anchois""]",,,,13.6 g,en quantité modérée,2.8 g,en quantité modérée,0.5 g,en faible quantité,2.1 g,en quantité élevée,,-8%,-8%,-10%,+2%,-33%,+367%,-18%,-32%,-32%,12,-1%,D,-1%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,"['Sans bisphénol-A', 'Sans conservateurs']",,"['Conserve', 'métal']",,,,,,,,
185,Turron de Jijona - 300g,8411994000013,['France'],[],[],?,557,2330 kj(557 kcal),37,"2,6",45,34,14,,,E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Tourons aux amandes', 'Tourons crémeux aux amandes']",,,,37 g,en quantité élevée,2.6 g,en quantité modérée,34 g,en quantité élevée,,,,+2%,+2%,+4%,-10%,+15%,0%,-8%,,,,,,,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,['en:gluten-free'],300 g,,,,,,,,,
186,1,8411994000020,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
187,Miel eucalipto - NaturTierra - 500g,8412016339500,['France'],[],[],?,342,1431 kj(342 kcal),0,0,85,68,"0,4",0,0,B,['NaturTierra'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'eucalyptus""]",,,,0 g,en faible quantité,0 g,en faible quantité,68 g,en quantité élevée,0 g,en faible quantité,,+27%,+27%,-100%,-100%,+22%,+8%,+23%,-100%,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,500g,,,['Espagne'],,,,,,
188,Copos de Avena Finos,8412016351793,['France'],[],[],?,371,1552 kj(371 kcal),7,1,65,"0,8",12,"0,008","0,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Mermelada de naranja,8412016353629,['France'],[],[],?,219,916 kj(219 kcal),"0,1","0,01",57,"53,3","0,4","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Piña en dados - Prunita,8412054000295,['France'],[],[],?,340,1423 kj(340 kcal),0,0,84,80,0,"0,39","0,156",,['Prunita'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Cranberries sechés - 200g,8412054000707,['France'],[],[],?,328,1372 kj(328 kcal),1,"0,2",76,74,"0,5","0,03","0,012",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Canneberges séchées']",,,,1 g,en faible quantité,0.2 g,en faible quantité,74 g,en quantité élevée,0.03 g,en faible quantité,,-3%,-3%,+42%,-19%,-5%,+12%,+79%,+31%,+31%,9,+25%,C,+25%,,,,,,,,,200 g,,,,,,,,,
192,Pasas sultana -  - 275g,8412054316211,"['France', 'Espagne']",[],[],?,?,,?,,?,,?,,,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Raisins secs', 'Raisins secs Sultanines']",,,,,,,,,,,,,,,,,,,,,,,,,,37.4%,55.6%,3.3%,1.3%,2.3%,0.0%,44,,275 g,,,,,,,,,
193,Huile d'olive Vierge Extra -,8412077100071,['France'],[],[],3700,900,3700 kj(900 kcal),100,14,0,0,0,0,0,D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,100 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,+5%,+5%,+3%,+5%,0%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,
194,Nougat tendre noisette,8412080001310,['France'],[],[],?,465,1946 kj(465 kcal),19,1,68,66,5,"0,05","0,02",E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats', 'Nougats blancs']",,,,19 g,en quantité modérée,1 g,en faible quantité,66 g,en quantité élevée,0.05 g,en faible quantité,,+5%,+5%,+26%,-29%,+0%,+14%,-26%,-33%,-33%,15,-4%,D,-4%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
195,Nougat tendre cacahuete,8412080001327,['France'],[],[],?,420,1757 kj(420 kcal),10,"1,5",78,67,6,"0,01","0,004",E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats', 'Nougats blancs']",,,,10 g,en quantité modérée,1.5 g,en quantité modérée,67 g,en quantité élevée,0.01 g,en faible quantité,,-5%,-5%,-34%,+6%,+15%,+16%,-12%,-87%,-87%,16,+3%,D,+3%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
196,Nougat tendre tropical,8412080001440,['France'],[],[],?,435,1820 kj(435 kcal),13,1,71,65,8,8,"3,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Nougat tendre noix de cajou,8412080001457,['France'],[],[],?,419,1753 kj(419 kcal),10,1,73,65,7,"0,05","0,02",E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats', 'Nougats blancs']",,,,10 g,en quantité modérée,1 g,en faible quantité,65 g,en quantité élevée,0.05 g,en faible quantité,,-5%,-5%,-34%,-29%,+8%,+13%,+3%,-33%,-33%,15,-4%,D,-4%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
198,Nougat soft tendre - 300g,8412080001518,['France'],[],[],?,465,1946 kj(465 kcal),19,1,68,66,5,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 g,,,,,,,,,
199,Nougat - 500g,8412080001556,['France'],[],[],?,420,1757 kj(420 kcal),10,"1,5",78,67,6,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,
200,Nougat - 500g,8412080001556,['France'],[],[],?,420,1757 kj(420 kcal),10,"1,5",78,67,6,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,
201,Nouga tendre amandes - 500g,8412080001563,['France'],[],[],?,442,1849 kj(442 kcal),13,1,74,62,7,"0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 g,,,,,,,,,
202,Nougat - Aitana,8412080003154,['France'],['cwa ceite de y aoma de vabt energébco: 1860 KJ '],[],?,442,1849 kj(442 kcal),13,1,74,62,7,"0,07","0,028",,['Aitana'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Nougat soft tendre - Aitana,8412080003208,['France'],"['siELLES 1', '707 to dC8', 't saturer 1 q', ' Hidratcs dc 70 n', ' 64 ScE 0,08 Q']",[],?,405,1695 kj(405 kcal),10,1,70,64,6,"0,08","0,032",,['Aitana'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Torta turron duro,8412080004533,['France'],[],[],?,510,2134 kj(510 kcal),26,2,52,47,12,,,E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron']",,,,26 g,en quantité élevée,2 g,en quantité modérée,47 g,en quantité élevée,,,,-2%,-3%,-17%,-62%,+15%,+22%,0%,,,,,,,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
205,Nougat,8412080004700,['France'],[],[],?,442,1849 kj(442 kcal),13,1,74,62,7,"0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Turrón de Alicante - El Artesano,8412080004977,['France'],[],[],?,572,2393 kj(572 kcal),42,"3,5",30,30,18,"0,01","0,004",E,['El Artesano'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Tourons aux amandes', 'Tourons croquants aux amandes']",,,,42 g,en quantité élevée,3.5 g,en quantité modérée,30 g,en quantité élevée,0.01 g,en faible quantité,,+7%,+7%,+26%,+24%,-30%,-20%,+30%,-72%,-72%,16,+12%,D,+12%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
207,Turrón de Jijona - El Artesano,8412080005035,['France'],"['Amande grillée ', '64%', 'sucre', 'sirop de glucosef miel ', '10%', "" et blanc d'oeuf"", ' Peut contenir des traces de noix', 'arachides et de sésame']",['Non végétalien'],?,560,2343 kj(560 kcal),36,2,43,36,17,"0,03","0,012",E,['El Artesano'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Tourons aux amandes', 'Tourons crémeux aux amandes']",,['Œufs'],3,36 g,en quantité élevée,2 g,en quantité modérée,36 g,en quantité élevée,0.03 g,en faible quantité,,+3%,+3%,+1%,-31%,+10%,+6%,+11%,-13%,-13%,12,-12%,D,-12%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
208,Torta Turrón De Avellanas - El Artesano,8412080005066,['France'],"['Noisette grillée Wh', ' sucre', 'Stop de glucose', 'miel', ""blanc d'oeuf et pan azyme "", 'fécule de pomme de terre et huile de toumesol', ' Peut contenir des traces de noix', 'arachides et de sésame']",['Non végétalien'],?,560,2343 kj(560 kcal),36,2,56,38,10,"0,03","0,012",E,['El Artesano'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron']",,['Œufs'],,36 g,en quantité élevée,2 g,en quantité modérée,38 g,en quantité élevée,0.03 g,en faible quantité,,+7%,+7%,+15%,-62%,+24%,-1%,-17%,-53%,-53%,15,-9%,D,-9%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
209,Turron,8412080005127,['France'],[],[],?,510,2134 kj(510 kcal),27,1,55,46,12,"0,04","0,016",E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron']",,,,27 g,en quantité élevée,1 g,en faible quantité,46 g,en quantité élevée,0.04 g,en faible quantité,,-2%,-3%,-14%,-81%,+22%,+20%,0%,-38%,-38%,16,-3%,D,-3%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
210,El Artesano Torta Suprema - 200g,8412080005165,"['Belgique', 'France']","['Amande grillée 60%', 'sucre', 'sirop de glucose', 'miel 11%', 'blanc d oeuf et pain azyme ', 'fécule de pomme de terre et huile de tournesol']","['Sans huile de palme', 'Non végétalien']",?,557,2330 kj(557 kcal),35,3,45,40,12,,,E,['el artesano'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats', 'Nougats tendre et dur']",,['Œufs'],4,35 g,en quantité élevée,3 g,en quantité modérée,40 g,en quantité élevée,,,,+25%,+25%,+112%,+52%,-31%,-26%,+68%,,,,,,,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,200 g,,,,['Espagne'],,,,,
211,Turrón Guirlache - El Artesano,8412080005257,['France'],"['Amande grillée avec peau ', '54%', 'sucre', 'sirop de glucose', 'miel ', '11,5%', ' et pain azyme ', 'revêtement extérieur', ' ', 'fécule de pomme de terre et huile de tournesol']",['Non végétalien'],?,?,,?,,?,,?,,,E,['El Artesano'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Touron de guirlache']",,,4,,,,,,,,,,,,,,,,,,,,,,,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
212,Turrones - Aitana,8412080005349,['France'],[],[],?,510,2134 kj(510 kcal),26,2,52,47,12,0,0,,['Aitana'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Torta turrón de alicante - Escudero,8412080006322,['France'],[],[],?,557,2330 kj(557 kcal),35,3,45,40,12,"0,05","0,02",E,['Escudero'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Tourons aux amandes', 'Tourons croquants aux amandes']",,,,35 g,en quantité élevée,3 g,en quantité modérée,40 g,en quantité élevée,0.05 g,en faible quantité,,+4%,+4%,+5%,+6%,+6%,+7%,-13%,+41%,+41%,16,+12%,D,+12%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
214,Nougat Tendre Cacahuète - 500g,8412080014150,['France'],[],[],?,420,1757 kj(420 kcal),10,"1,5",78,67,6,"0,01","0,004",E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats', 'Nougats blancs']",,,,10 g,en quantité modérée,1.5 g,en quantité modérée,67 g,en quantité élevée,0.01 g,en faible quantité,,-5%,-5%,-34%,+6%,+15%,+16%,-12%,-87%,-87%,16,+3%,D,+3%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,500 g,,,,,,,,,
215,Turron de Alicante - El Artesano,8412080015195,['France'],"['Amande grillée ', '46%', 'sucre', 'sirop de glucose', 'miel ', '10%', ""blanc d'oeuf et pain azyme "", 'fécule de pomme de terre et huile de tournesol', ' Peut contenir des traces de noix', 'arachides et de sésame']","['Sans huile de palme', 'Non végétalien']",?,510,2134 kj(510 kcal),26,2,52,47,12,0,0,E,['El Artesano'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Tourons aux amandes', 'Tourons croquants aux amandes']",,['Œufs'],4,26 g,en quantité élevée,2 g,en quantité modérée,47 g,en quantité élevée,0 g,en faible quantité,,-5%,-5%,-22%,-29%,+22%,+25%,-13%,-100%,-100%,16,+12%,D,+12%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
216,Turron diverso de cacahuete - El Moli Vell,8412080021431,['France'],"['Cacahouètes grillées ', '38%', 'sucre', 'sirop de glucose', 'graise de palme', 'huile de tournesol', 'miel', 'émulsifiant E-471 ', 'verol', ""blanc d'oeuf et antyoxidant E-306 "", 'tocophérol', ' Peut contenir des traces de noix et de sésame']",['Non végétalien'],?,538,2251 kj(538 kcal),32,4,46,36,15,0,0,E,['El Moli Vell'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Tourons aux cacahuètes', 'Tourons crémeux aux cacahuètes']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E307c - Tocophérol']",['Œufs'],4,32 g,en quantité élevée,4 g,en quantité modérée,36 g,en quantité élevée,0 g,en faible quantité,,+7%,+7%,+12%,+1%,-8%,-19%,+10%,-100%,-100%,16,-9%,D,-9%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
217,Turròn diverso de cacahuete - El moli vell,8412080021448,['France'],[],[],?,538,2251 kj(538 kcal),20,4,46,39,15,0,0,E,['El moli vell'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Tourons aux cacahuètes', 'Tourons croquants aux cacahuètes']",,,,20 g,en quantité modérée,4 g,en quantité modérée,39 g,en quantité élevée,0 g,en faible quantité,,+9%,+9%,-3%,+9%,-10%,-12%,+22%,-100%,-100%,17,-1%,D,-1%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
218,Turròn de jijona,8412080024005,['France'],[],[],?,560,2343 kj(560 kcal),36,2,43,36,17,"0,03","0,012",E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Tourons aux amandes', 'Tourons crémeux aux amandes']",,,,36 g,en quantité élevée,2 g,en quantité modérée,36 g,en quantité élevée,0.03 g,en faible quantité,,+3%,+3%,+1%,-31%,+10%,+6%,+11%,-13%,-13%,14,+2%,D,+2%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
219,Turron - Sierra De Espana,8412080024067,['France'],"['Sucre amande moulue', 'noix ', '10%', 'sirop de glucose', 'lait ën poudre', 'crème en poudre ', '0,8%', 'conservateur ', 'acide Sorbique', ' et arôme de crème', ' Peut contenir de noix et oeuf']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,460,1925 kj(460 kcal),23,2,51,49,10,"0,1","0,04",E,['Sierra De Espana'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron']","['E200 - Acide sorbique', '', 'Risque élevé de sur-exposition']",['Fruits à coque'],4,23 g,en quantité élevée,2 g,en quantité modérée,49 g,en quantité élevée,0.1 g,en faible quantité,,-12%,-12%,-27%,-62%,+13%,+28%,-17%,+56%,+56%,14,-15%,D,-15%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
220,Turron yema tostada -,8412080024074,['France'],[],[],?,463,1937 kj(463 kcal),23,"0,001","0,001","0,001",10,"0,001",0,E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', ""Tourons au jaune d'œuf grillé""]",,,,23 g,en quantité élevée,0.001 g,en faible quantité,0.001 g,en faible quantité,0.001 g,en faible quantité,,+1%,+1%,-6%,-100%,-100%,-100%,-5%,-97%,-97%,0,-100%,B,-100%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
221,Touron divers dur de cacahouète - Don José,8412080024678,['France'],"['Cacahouètes grillées ', '38%', 'sucre', 'sirop de glucose', 'miel', ""blanc d'oeuf"", 'pain azyme ', 'fécule de pomme de terre et huile de tournesol', ' et antioxydant E-306 ', 'tocophérol']",['Non végétalien'],?,538,2251 kj(538 kcal),32,4,46,39,15,0,0,,['Don José'],,['E307c - Tocophérol'],['Œufs'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Turron Impérial Aux Fruits Secs - El Artesano,8412080025057,['France'],"['Noix ', '46%', ' ', 'arachides', 'noix de cajou', 'noisettes', 'amandes', 'noix et pistaches', 'sucre', 'sirop de glucose', 'miel', 'oeuf et pain azyme ', 'amidon de pomme de terre et huile de tournesol', 'Peut contenir des traces de sésame']","['Sans huile de palme', 'Non végétalien']",?,510,2134 kj(510 kcal),27,1,55,46,12,"0,04","0,016",E,['El Artesano'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron']",,"['Œufs', 'Fruits à coque', 'Arachides']",4,27 g,en quantité élevée,1 g,en faible quantité,46 g,en quantité élevée,0.04 g,en faible quantité,,-2%,-3%,-14%,-81%,+22%,+20%,0%,-38%,-38%,15,-9%,D,-9%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
223,Turron Fruta,8412080025088,['France'],[],[],?,430,1799 kj(430 kcal),17,"2,5",60,58,8,,,E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron']",,,,17 g,en quantité modérée,2.5 g,en quantité modérée,58 g,en quantité élevée,,,,-18%,-18%,-46%,-53%,+33%,+51%,-33%,,,,,,,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
224,El Artesano Chocolate And Almond Turron 7oz (200 G),8412080025101,['France'],[],[],?,570,2385 kj(570 kcal),39,16,44,42,11,"0,1","0,04",E,['El Artesano'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron']",,,,39 g,en quantité élevée,16 g,en quantité élevée,42 g,en quantité élevée,0.1 g,en faible quantité,,+9%,+9%,+25%,+203%,-3%,+9%,-8%,+56%,+56%,26,+58%,E,+58%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
225,Turrón Imperial - El Artesano,8412080025217,['France'],"['Amande grillée ', '60%', 'lactitol', 'sorbitol', ""blanc d'oeuf et pain azyme "", 'fécule de pomme de terre et huile de tournesol']","['Sans huile de palme', 'Non végétalien']",?,480,2008 kj(480 kcal),33,3,42,4,17,0,0,E,['El Artesano'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Tourons aux amandes', 'Tourons croquants aux amandes']","['E966 - Lactitol', 'E420 - Sorbitol']",['Œufs'],4,33 g,en quantité élevée,3 g,en quantité modérée,4 g,en faible quantité,0 g,en faible quantité,,-11%,-10%,-1%,+6%,-1%,-89%,+23%,-100%,-100%,1,-93%,B,-93%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,['Une consommation excessive peut avoir des effets laxatifs'],,,,,,,,,,
226,Turron - Elartesano,8412080025293,['France'],"['sucre', 'noix ', '150/4', 'lait entier en poudre', 'patè de cacao', 'beurre de cacao', 'hydrogéné graisse de coco', 'pâte de noisettes', 'émulsifiant ', 'lécithine de soja', ' et arômes ', 'vanilline', ' Cacao: 22% minimum', ' Peut contenir de Vottmilchputver', ' Kakwnassa']",['Non végétalien'],?,543,2272 kj(543 kcal),34,18,51,50,7,0,0,E,['Elartesano'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron']",['E322i - Lécithine'],"['Fruits à coque', 'Soja']",4,34 g,en quantité élevée,18 g,en quantité élevée,50 g,en quantité élevée,0 g,en faible quantité,,+4%,+4%,+9%,+241%,+13%,+30%,-42%,-100%,-100%,26,+58%,E,+58%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
227,Turon - Aitana,8412080025330,['France'],"['Amande grillée ', '46%', ' sucre', 'sirop de glucose', 'miel', 'blanc d’oeuf et pain azyme ', 'fécule de pomme de terre et huile de tournesol', ' Peut contenir des trace de noix', 'arachides et de sésame']","['Sans huile de palme', 'Non végétalien']",?,510,2134 kj(510 kcal),26,2,52,47,12,0,0,,['Aitana'],,,['Œufs'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Bonbon à l'anis,8412080025453,['France'],[],[],?,400,1674 kj(400 kcal),0,0,99,99,0,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,TURRON COCO - El Artesano,8412080025460,['France'],"['Noix de coco râpée ', '4596', 'sucre', 'sirop de glucose', 'stabilisant', 'sorbitol', ' et conservateur ', 'acide sorbique', ' Peut contenir des traces de noix', 'lait et œuf']",[],?,500,2092 kj(500 kcal),28,24,53,48,4,0,0,E,['El Artesano'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Touron à la noix de coco']","['E420 - Sorbitol', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition']",,4,28 g,en quantité élevée,24 g,en quantité élevée,48 g,en quantité élevée,0 g,en faible quantité,,+4%,+4%,+4%,+22%,+2%,+20%,+25%,-100%,-100%,26,+20%,E,+20%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
230,Turrón Yema Tostada -,8412080025644,['France'],"['Sucre', 'amandes moulu ', '33%', ""jaune d'oeuf "", '12%', 'lait en poudre', 'sirop de glucose et conservateur ', 'acide sorbique', ' Peut contenir des traces de noix']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,440,1841 kj(440 kcal),19,"2,5",64,60,8,0,0,E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', ""Tourons au jaune d'œuf grillé""]","['E200 - Acide sorbique', '', 'Risque élevé de sur-exposition']",['Œufs'],4,19 g,en quantité modérée,2.5 g,en quantité modérée,60 g,en quantité élevée,0 g,en faible quantité,,-4%,-4%,-22%,-4%,+31%,+48%,-24%,-100%,-100%,17,+22%,D,+22%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
231,Turron de jijona,8412080035032,['France'],[],[],?,560,2343 kj(560 kcal),36,2,43,36,17,"0,03","0,012",E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Tourons aux amandes', 'Tourons crémeux aux amandes']",,,,36 g,en quantité élevée,2 g,en quantité modérée,36 g,en quantité élevée,0.03 g,en faible quantité,,+3%,+3%,+1%,-31%,+10%,+6%,+11%,-13%,-13%,14,+2%,D,+2%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,"['en:gluten-free', 'Fabriqué en Espagne']",,,,,,,,,,
