,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,brand,categories,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,generic_name,ingredients_origins,manufacturing,markets,link,palm_ingredients,traceability_code,brand_owner
13,Cardons,8411102001062,['France'],[],[],?,7,29 kj(7 kcal),0,0,"1,3","0,5","0,5","1,19","0,476",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Poivrons,8411102001109,['France'],[],[],?,31,130 kj(31 kcal),0,0,0,0,2,"0,85","0,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Salade d'aïl,8411102001420,['France'],[],[],?,33,138 kj(33 kcal),"1,8","0,3","2,3",0,"1,2","2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Variantes,8411102003424,['France'],[],[],?,22,92 kj(22 kcal),0,0,"3,6","1,5","1,3","1,35","0,54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Accituna gordal,8411102003967,['France'],[],[],?,82,343 kj(82 kcal),6,"4,5","3,2","0,6","2,6","3,61","1,444",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Fleurs de câpres - coquet - 230.0g,8411102003998,['France'],[],[],?,18,75 kj(18 kcal),"0,5",0,"3,4","2,8","1,2","2,87","1,148",,['Coquet'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Pickles d'origine végétale"", 'Caprons au vinaigre']",,,,0.5 g,en faible quantité,0 g,en faible quantité,2.8 g,en faible quantité,2.87 g,en quantité élevée,,-38%,-39%,+5%,-100%,-6%,+945%,-26%,-38%,-38%,8,-11%,C,-11%,,,,,,,,,230.0 g,,,,,,,,,
19,Ail doux,8411102004445,['France'],[],[],?,58,243 kj(58 kcal),"4,2","0,5","2,4",0,"2,3",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Ajos suaves,8411102004513,['France'],[],[],?,58,243 kj(58 kcal),"4,2","0,5","2,4",0,"2,3",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Alcaprrón - 350g,8411102006227,['France'],[],[],?,18,75 kj(18 kcal),0,0,"3,4","2,8","1,2","2,87","1,148",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350 g,['Bocal'],,,,,,,,
22,Ails doux - Coquet,8411102010521,['France'],[],[],?,58,243 kj(58 kcal),"4,2","0,5","2,4",0,"2,3",2,"0,8",,['Coquet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Ail doux aux herbes,8411102010545,['France'],[],[],?,343,1435 kj(343 kcal),34,"5,3","6,9",0,2,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Tomates séchées dans l'huile - Coquet,8411102010620,['France'],"['Tomates sectiées ', '54%', 'huile de tournesol ', '46%', 'ail et sel,']",[],?,213,891 kj(213 kcal),14,"1,9",23,16,"5,1","0,66","0,264",E,['Coquet'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Produits déshydratés', 'Tomates et dérivés', 'Aliments à base de plantes séchées', 'Légumes séchés', 'Tomate séchée', ""Tomate séchée à l'huile""]",,,3,14 g,en quantité modérée,1.9 g,en quantité modérée,16 g,en quantité élevée,0.66 g,en quantité modérée,,-1%,-0%,-13%,+3%,+89%,+91%,+42%,-75%,-75%,-5,-202%,A,-202%,34.1%,59.8%,3.6%,1.3%,1.0%,0.2%,13,,,,,,,,,,,
25,Poivrons Grilles Piquillos - AIL ! AIL ! AIL ! - 270g,8411102010712,['France'],"['Poivron piquillo', 'sel', 'ail', 'sucre et acidifiant: acide citrique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,41,172 kj(41 kcal),"8,59","4,12",0,0,"1,12","0,7","0,28",,['AIL ! AIL ! AIL !'],"['Conserves', 'Plats préparés', 'Légumes préparés', 'Poivrons grillés']",['E330 - Acide citrique'],,3,8.59 g,en quantité modérée,4.12 g,en quantité modérée,0 g,en faible quantité,0.7 g,en quantité modérée,,-38%,-34%,+127%,+798%,-100%,-100%,+17%,-34%,-34%,7,+886%,C,+886%,,,,,,,,,270 g,['Bocal en verre'],Poivrons grillés Piquillo - AIL ! AIL ! AIL !,['Europe'],['Espagne'],"['SUPER U', 'CARREFOUR', 'LECLERC', 'INTERMARCHE', 'AUCHAN']",,,,
