,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,brand,labels,traceability_code,markets,quantity,additives,allergens,nova_score,palm_ingredients,ingredients_origins,manufacturing,generic_name,link,brand_owner
594,"Makla ""Fg's"" Bentchikou",54004610,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,Perles Myrtille,3760299240095,,,['France'],[],[],,,,,,,,,?,,402,,1682 kj(402 kcal),,"0,05",,0,,"98,9",,81,,"0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,Huile d'olive extra vierge -,8425402258576,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['France'],[],[],100 g,en quantité élevée,15.4 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,900,+5%,3766 kj(900 kcal),+5%,100,+5%,"15,4",+10%,0,,0,,0,,0,-100%,0,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,,
597,Filet de porc,2692502039886,,,['France'],[],[],,,,,,,,,?,,150,,628 kj(150 kcal),,"7,9",,"2,7",,"0,8",,"0,07",,19,,"0,4",,"0,16",,,,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']","['FR 14.752.010 CE', 'Villers-Bocage (Calvados, France)']",,,,,,,,,,,
598,Tartare pommes noisettes cannelle,0218300780007,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,Flosano Flohsamenschalen - 250g,4016328009331,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Packung(en)'],,['Bio'],,['Alnatura'],250 g,,,,,,,,,
600,Reblochon fermier,2480659064352,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons']",['France'],[],[],30 g,en quantité élevée,16.9 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,?,,330,+2%,1381 kj(330 kcal),+2%,30,+12%,"16,9",-10%,"0,09",-76%,0,-100%,"20,8",+4%,"1,5",+12%,"0,6",+12%,15,+5%,D,+5%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,,
601,Weißwurst - Aldi - 250g,4061458059718,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Dose'],['Aldi'],,,,250g,,,,,,,,,
602,Panna Cotta Chocolat,8051128530216,,,['France'],[],[],,,,,,,,,?,,146,,611 kj(146 kcal),,"8,7",,"5,2",,15,,13,,"2,9",,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,
603,Soupe angevine (passion),3055150001701,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,Pain céréales et fruits,53924513,,,['France'],[],[],,,,,,,,,?,,274,,1146 kj(274 kcal),,3,,"2,7",,"51,1",,"11,1",,"8,6",,"1,23",,"0,492",,,,,,,,,,,,,,,,,,,,,,,,,,,
605,Schweinefleisch im eigenen Saft - Dose 400g,4037500246726,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Dose'],,,,,,,,,,,,,,
606,Saucisson de cheval,2484977020731,,,['France'],[],[],,,,,,,,,?,,265,,1109 kj(265 kcal),,20,,"7,5",,8,,"1,3",,13,,"2,3",,"0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,
607,Poulet - La Nouvelle Agriculture,0213319050776,,,['France'],[],[],,,,,,,,,?,,179,,749 kj(179 kcal),,11,,"2,8",,0,,0,,20,,"0,15",,"0,06",,,,,,,,,,,,,,['La Nouvelle Agriculture'],,,,,,,,,,,,,
608,Galettes aux lentilles rouges - Biofournil,3419390041635,,,['France'],[],[],,,,,,,,,?,,173,,724 kj(173 kcal),,3,,"0,4",,27,,"1,3",,"9,4",,"1,3",,"0,52",,,,,,,,,,,,,['Film en plastique'],['Biofournil'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Sans conservateurs']",,,,,,,,,,,,
609,Lardons Nature - Monique Ranou - 200g,3250390566014,,,['France'],[],[],,,,,,,,,?,,253,,1059 kj(253 kcal),,21,,"8,1",,"0,6",,"0,5",,"15,5",,"2,18",,"0,872",,,,,,,,,,,,,,['Monique Ranou'],"['Viande Française', 'Viande Porcine Française']",,,200 g,,,,,,,,,
610,Pain gros demi tranche - E.Leclerc,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['E.Leclerc'],,,,,,,,,,,,,
611,Aiguillettes de poulet - La Nouvelle Agriculture,0213329027683,D,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",['France'],[],[],1.3 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,?,,104,-17%,435 kj(104 kcal),-17%,"1,3",-30%,"0,4",-16%,0,-100%,0,-100%,23,+1%,"0,11",-75%,"0,044",-75%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['La Nouvelle Agriculture'],,,,,,,,,,,,,
612,Angry birds 2,7622210599124,,,['France'],[],[],,,,,,,,,?,,546,,2284 kj(546 kcal),,32,,18,,58,,53,,"5,8",,"0,38",,"0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,
613,Pasta - Fettuccine - 500g,4000470043367,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['boîte'],,,,,500 g,,,,,,,,,
