,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,traceability_code,labels,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,ingredients_origins,packaging,allergens,nova_score,manufacturing,generic_name,additives,brand_owner,link
419,Haute Cakes,0748252058478,,['France'],[],[],?,372,1556 kj(372 kcal),"4,5",0,"53,5",7,"27,9","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,Poire conférence Belgique,0200111019551,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Pack of 3 Deal Creative Nature Pink Himalayan Fine Salt 300G,5060113081100,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,Mélange Vitalité,2600292065206,,['France'],[],[],?,328,1372 kj(328 kcal),"2,4","0,3","67,8","59,4","4,2","0,33","0,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,APERILOSTE,2213040108829,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,Smartwater,,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,Tomato Juice From Concentrate,0075450008777,,"['France', 'États-Unis']","['Tomato concentrate ', 'water', 'tomato paste', 'salt', 'vitamin c ', 'ascorbic acid']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,19,79 kj(19 kcal),0,0,"4,17","2,92","0,42","0,708","0,283",,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux']",0 g,en faible quantité,0 g,en faible quantité,2.92 g,en quantité modérée,0.708 g,en quantité modérée,,-52%,-53%,-100%,-100%,-50%,-61%,+9%,+2800%,+2800%,8,+35%,D,+35%,,,,,,,,,,,,3,,,,"Hy-Vee, Inc.",
426,Stassen Cider Bosvruchten 5% 75 CL Fles,5411718184008,,['France'],[],[],?,54,226 kj(54 kcal),0,0,"6,5","6,2",0,0,0,,,,D,"['Boissons', 'Boissons alcoolisées', 'Cidres']",,,,,,,,,,+86%,+82%,-100%,-100%,+39%,+90%,-100%,-100%,-100%,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,,,,,,,,,
427,Vanilla,0035046107437,,"['France', 'États-Unis']","['Ketogenic blend [coconut oil', 'sunflower oil', 'mct ', 'medium chain triglycerides', ' oil', 'avocado oil', 'grass fed butter]', 'ketoprotein blend ', 'hydrolyzed collagen', 'egg white', 'natural flavors', 'gum acacia', 'xanthan gum', 'himalayan pink salt', 'silica', 'high purity steviol glycosides and flaxseed']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,605,2531 kj(605 kcal),"47,37","23,68","21,05",0,"26,32","1,052","0,421",,,,,['Boissons'],47.4 g,en quantité élevée,23.7 g,en quantité élevée,0 g,en faible quantité,1.05 g,en quantité élevée,,+980%,+950%,+13551%,+19968%,+86%,-100%,+5206%,+2436%,+2436%,19,+148%,E,+148%,,,,,,,,,,,['Œufs'],4,,,"[""E414 - Gomme d'acacia"", 'E415 - Gomme xanthane']",KETO SCIENCE,
428,Ah Natuurlijk Mineraalwater Bruisend,8710400446545,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,Organic Beef Bone Broth,0052603056052,,"['France', 'États-Unis']","['Water', 'beef stock*', 'beef*', 'onions*', 'sea salt', 'celery*', 'balsamic vinegar*', 'roasted garlic*', 'mushrooms*', 'garlic*', 'spices*']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,17,71 kj(17 kcal),0,0,0,0,"3,75","0,375","0,15",,,['Bio'],,"['Conserves', 'Plats préparés', 'Soupes', 'Plats préparés en conserve', 'Soupes en conserve']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.375 g,en quantité modérée,,-67%,-66%,-100%,-100%,-100%,-100%,+69%,-53%,-53%,-1,-147%,A,-147%,,,,,,,,,,['composite-carton'],['Céleri'],3,,,,"Pacific Foods of Oregon, Inc.",
430,American classic creamy peanut butter,0044082522319,,"['France', 'États-Unis']","['Dry roasted blanched organic peanuts', 'organic palm fruit oil', 'organic sugar', 'salt']",[],?,633,2648 kj(633 kcal),50,"8,33","23,33",10,"23,33","0,542","0,217",,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales']",50 g,en quantité élevée,8.33 g,en quantité élevée,10 g,en quantité modérée,0.542 g,en quantité modérée,,-24%,-24%,-46%,-44%,+59113%,+34383%,+80072%,+1305%,+1305%,8,-3%,C,-3%,,,,,,,,,,,,2,,,,ONCE AGAIN,
431,Infusion choco coco - 100g,3760247150773,,['France'],[],[],?,?,,?,,?,,?,0,0,100 g,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,Demi baguette ×3,2644492006492,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Baguettes']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,46.8%,27.9%,16.1%,8.1%,1.1%,0.0%,95,,,,,,,,,,
433,Orange pressée ici,,,['France'],[],[],?,?,,?,,?,,?,,,,,,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", 'Jus de fruits pur jus', ""Jus d'orange pur jus""]",,,,,,,,,,,,,,,,,,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,
434,Thé noir aromatisé violette-fraise - Gourmet in Love,3662051006164,['Gourmet in Love'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,Gin gins,0734027902053,,['France'],[],[],?,375,1569 kj(375 kcal),0,0,"91,667","58,333",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,Miel d'acacia,3760139330030,,['France'],[],[],?,?,,?,,?,,?,,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,
437,Bombom muido,5601273013329,,['France'],[],[],?,532,2226 kj(532 kcal),"33,4",20,"47,9","45,1","5,4","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,Jardin d'hiver Confiture,3760194211541,,['France'],[],[],?,225,941 kj(225 kcal),"1,64",0,"51,9","48,2","0,6","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,Bonbons boules fourrées miel - 90g,3661803651881,,['France'],[],[],?,368,1540 kj(368 kcal),"0,1","0,1","91,8","66,6","0,2","0,1","0,04",90 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,Lingon Sylt (confiture d'airelles) - Bob,7310090253884,['Bob'],['France'],[],[],?,120,502 kj(120 kcal),"0,2",0,28,27,0,0,0,,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', ""Confitures d'airelles rouges""]",0.2 g,en faible quantité,0 g,en faible quantité,27 g,en quantité élevée,0 g,en faible quantité,,-45%,-46%,-22%,-100%,-47%,-47%,-100%,-100%,-100%,5,-44%,C,-44%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,
441,Jus de pomme et poire,3760195220016,,['France'],[],[],?,45,188 kj(45 kcal),"0,2",0,"10,2",10,"0,3",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,Boudin Basque - Bixente Ibarra,3482970009448,['Bixente Ibarra'],['France'],[],[],?,281,1176 kj(281 kcal),"21,6","11,5","1,8","1,3","14,8","1,828","0,731",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,Miel toutes fleurs breton,3760194180656,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,Thé blanc pêche,3554740201106,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,Coquillette,8009940500436,,['France'],[],[],?,348,1456 kj(348 kcal),"1,1","0,1",71,"3,5",12,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,Gourmet choc's,5400265037158,,['France'],[],[],?,557,2330 kj(557 kcal),36,22,49,47,"7,1","0,65","0,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,Katjes drop - Venco,8714200207962,['Venco'],['France'],[],[],?,348,1456 kj(348 kcal),"0,8","0,4",63,46,25,"0,53","0,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,Tomme de chèvre,0207013013588,,['France'],[],[],?,377,1577 kj(377 kcal),31,22,"1,5",0,23,"1,5","0,6",,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre', 'Produits de montagne', 'Fromages de montagne', 'Tommes', 'Tomme de chèvre']",31 g,en quantité élevée,22 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,,-1%,-0%,-3%,-2%,+95%,-100%,+5%,-10%,-10%,15,-15%,D,-15%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,
449,Teatax,2581898,,['France'],[],[],?,?,,?,,?,,?,0,0,,,"['Commerce équitable', 'Fairtrade International']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Beurre à l'érable,0850912001356,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,Pandoro di Pasticceria,8002540001815,,['France'],[],[],?,388,1623 kj(388 kcal),17,11,52,27,"6,1","0,47","0,188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,Les créations nectar de fruit inter marche,3250792807203,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,Duo de saumon poivre rose,3701011402018,,['France'],[],[],?,209,874 kj(209 kcal),"14,9","6,9","1,7","1,2","16,6","1,92","0,768",,"['FR 44.089.001 CE', 'Malville (Loire-Atlantique, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,Pate d'amandes,3437400000250,,['France'],[],[],?,448,1874 kj(448 kcal),17,"1,2",67,62,"8,7","0,04","0,016",,,,E,"['Massepain', ""Pâtes d'amande""]",17 g,en quantité modérée,1.2 g,en faible quantité,62 g,en quantité élevée,0.04 g,en faible quantité,,+2%,+1%,+2%,-33%,+3%,+2%,+39%,+4%,+4%,16,+3%,D,+3%,92.2%,3.6%,1.7%,1.8%,0.8%,0.0%,25,,,,,,,,,,
455,Biscotti cacao,8001091002746,,['France'],[],[],?,477,1996 kj(477 kcal),22,4,63,34,5,"0,75","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,Perceuse en chocolat - 175g,3700843521546,,['France'],[],[],?,577,2414 kj(577 kcal),38,23,53,53,"5,6","0,16","0,064",175 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,Lasagne,8032668659650,,['France'],[],[],?,139,582 kj(139 kcal),"3,5","0,6",18,"1,1","8,2","0,68","0,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,Financier framboise - Biscuiterie de Chambord,3555140004175,['Biscuiterie de Chambord'],['France'],[],[],?,408,1707 kj(408 kcal),26,13,37,28,7,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,Haricots verts - 500g,6164000093258,,['France'],[],[],?,?,,?,,?,,?,,,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,Canela rama,8410219855803,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,4250665326007,4250665326007,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,Chevrette du châtelard,2886514087861,,['France'],[],[],?,368,1540 kj(368 kcal),"28,4",21,1,"0,2",27,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,Coquillettes sucre *,0202956013121,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,Soupe de poissons,3123150511152,,['France'],[],[],?,54,226 kj(54 kcal),"2,5","1,2","1,3","0,38","5,6","0,66","0,264",,,,E,"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",2.5 g,en faible quantité,1.2 g,en faible quantité,0.38 g,en faible quantité,0.66 g,en quantité modérée,,+12%,+14%,+32%,+167%,-29%,-42%,+8%,-25%,-25%,0,-100%,B,-100%,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,,,,,,,,,,
465,Marie Ange Di Costa,8004838015290,,['France'],[],[],?,440,1841 kj(440 kcal),16,11,67,21,"6,2","0,82","0,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,Tapenade noire,3700938808859,,['France'],[],[],?,382,1598 kj(382 kcal),33,4,4,0,1,"3,5","1,4",,,,C,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades noires']",33 g,en quantité élevée,4 g,en quantité modérée,0 g,en faible quantité,3.5 g,en quantité élevée,,+39%,+39%,+23%,+14%,+28%,-100%,-43%,+12%,+12%,17,+15%,D,+15%,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,,,,,,,,
467,Chicles con forma de melón 'Aunque seas un melón te quiero mogollón' - Sweet Messages,8436584930075,['Sweet Messages'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,Escalope de dinde,2689119047564,,['France'],[],[],?,?,,?,,?,,?,,,,,['Fabriqué en France'],D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,,,,,,,,,,,,,,,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,
469,Bloc de foie gras de canard - La Truffe,3515815100250,['La Truffe'],['France'],[],[],?,471,1971 kj(471 kcal),"48,8",18,2,"1,5","5,6","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,Leerdammer le moelleux,2853857016605,,['France'],[],[],?,375,1569 kj(375 kcal),31,21,"0,5","0,2",24,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,Cafe Molido Santo Domingo - Ground Dominican Coffee -,0748325000038,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,Poulet jaune saint charmin,2860481037463,,['France'],[],[],?,?,,?,,?,,?,0,0,,"['FR 03.235.001 CE', 'Saint-Gérand-le-Puy (Allier, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,Macédoine de légumes,0209595010306,,['France'],[],[],?,161,674 kj(161 kcal),14,"1,2","3,7",0,"3,1","1,3","0,52",,,,B,"['Plats préparés', 'Légumes préparés', 'Entrées', 'Entrées froides', 'Macédoines de légumes']",14 g,en quantité modérée,1.2 g,en faible quantité,0 g,en faible quantité,1.3 g,en quantité modérée,,+75%,+73%,+149%,+144%,-37%,-100%,+32%,+67%,+67%,7,+3082%,C,+3082%,24.4%,36.8%,17.2%,8.6%,7.9%,5.0%,89,,,,,,,,,,
474,Magret de canard mariné à la fleur de sel,2455849038055,,['France'],[],[],?,322,1347 kj(322 kcal),28,"8,7","1,4","0,7",15,"0,3","0,12",,,['Sans arômes artificiels'],E,"['Viandes', 'Volailles', 'Canards', 'Magrets de canard']",28 g,en quantité élevée,8.7 g,en quantité élevée,0.7 g,en faible quantité,0.3 g,en quantité modérée,,-5%,-5%,-4%,-13%,+12%,+4%,-16%,-82%,-82%,13,-29%,D,-29%,81.9%,9.6%,2.1%,2.2%,1.1%,3.1%,28,,,,,,,,,,
475,Canard a foie Gras du Perigord,2218653063565,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,Noir Extrême 99% - Ile de Ré Chocolats,3760008564801,['Ile de Ré Chocolats'],['France'],['Pâte de cacao'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,594,2485 kj(594 kcal),54,33,6,"0,5",12,0,0,,,,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",54 g,en quantité élevée,33 g,en quantité élevée,0.5 g,en faible quantité,0 g,en faible quantité,,+7%,+7%,+37%,+43%,-84%,-98%,+57%,-100%,-100%,17,-20%,D,-20%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,3,,,,,
477,Single-Origin Black Tea,0190817069755,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,Caillasse de savoie fumee,2309618004508,,['France'],[],[],?,121,506 kj(121 kcal),"2,9","1,1","1,1","0,7","22,4","2,5",1,,,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,Pain d'epice,0204212029525,,['France'],[],[],?,341,1427 kj(341 kcal),"1,4",0,70,"1,4","9,5","2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,Miel de fleurs,3760268010087,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,
481,Saucisses costumes - 320g,26067742,,['France'],[],[],?,263,1100 kj(263 kcal),18,"8,5",18,"0,8","7,8","0,98","0,392",320 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,Papillotes tattoo,3257985565117,,['France'],[],[],?,547,2289 kj(547 kcal),33,19,55,53,"6,7","0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,BEAUMESNIL,3222477356160,['Beaumesnil'],['France'],[],[],?,539,2255 kj(539 kcal),32,15,55,53,"6,2","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,Terrine de campagne à la provencale,3432770045566,,['France'],[],[],?,244,1021 kj(244 kcal),20,7,"2,8","0,6",13,2,"0,8",,,,,"['Viandes', 'Charcuteries', 'Terrines', 'Terrines de campagne']",20 g,en quantité modérée,7 g,en quantité élevée,0.6 g,en faible quantité,2 g,en quantité élevée,,-24%,-24%,-29%,-35%,+22%,-31%,-7%,+25%,+25%,17,-12%,D,-12%,,,,,,,,,,,,,,,,,
485,Miel extra de manakara - Codal,3760153580770,['Codal'],['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,Pintxo de huevo frito con patatas y trufa sin gluten - La Cocina de Senen,8414606782376,['La Cocina de Senen'],['France'],[],[],?,0,0 kj(0 kcal),"36,3","12,2",13,"0,2","9,7","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,Acquolini au piment - 300g,8030966001355,,['France'],[],[],?,468,1958 kj(468 kcal),21,"8,9",60,"1,8","8,4","2,1","0,84",300 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,Boudin blanc a la truffe - Metzger Muller,3272120001534,['Metzger Muller'],['France'],[],[],?,265,1109 kj(265 kcal),"22,6",9,"2,2","1,2","10,4","1,9","0,76",,,,,"['Viandes', 'Charcuteries', 'Boudins', 'Boudins blancs']",22.6 g,en quantité élevée,9 g,en quantité élevée,1.2 g,en faible quantité,1.9 g,en quantité élevée,,+9%,+9%,+12%,+15%,-49%,-39%,+1%,+28%,+28%,19,+19%,E,+19%,,,,,,,,,,,,,,,,,
489,Confit d'Échalotes de bretagne,3500543801517,,['France'],[],[],?,171,715 kj(171 kcal),"1,3","0,2",39,36,"0,8","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,Trouse,3256226766078,,['France'],[],[],?,183,766 kj(183 kcal),95,47,4,3,5,0,0,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,Les quartiers,8713184130761,,['France'],[],[],?,949,3971 kj(949 kcal),11,"0,9",24,"0,5",3,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Mandu Kimchi & Pork - Bibigo - 350g,4016337972398,['Bibigo'],['France'],[],[],?,168,703 kj(168 kcal),"6,7","2,5",16,"2,3",11,"1,04","0,416",350 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,Coca Chewing gum,9120033351595,,['France'],[],[],?,125,523 kj(125 kcal),0,0,52,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,Salade coleslaw,0204636013919,,['France'],[],[],?,181,757 kj(181 kcal),17,"1,3",5,"2,5","1,1","0,42","0,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,Manchons de canard,3342630000539,,['France'],[],[],?,273,1142 kj(273 kcal),19,"7,3",0,0,26,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,Fougasette chèvre,0202474014761,,['France'],[],[],?,363,1519 kj(363 kcal),19,13,32,"2,7",15,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,Surtido De Navidad Sevilla Confitera Spanish - E.Moreno,8410536003420,['E.Moreno'],['France'],[],['Sans huile de palme'],?,511,2138 kj(511 kcal),"25,8","10,9","63,6","41,2","6,1","0,1","0,04",,,"['Sans colorants', 'en:palm-oil-free']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,Sharing size creamy almond butter squares,0040000543879,,"['France', 'États-Unis']","['Almonds', 'sugar', 'vegetable oil ', 'palm oil', 'hydrogenated palm kernel oil', 'hydrogenated cottonseed oil and/or hydrogenated rapeseed oil', 'invert sugar', 'lactose', 'corn syrup', 'cocoa butter', 'skim milk', 'corn syrup solids', 'chocolate', 'dextrose', 'less than 2% - vegetable glycerine', 'milkfat', 'salt', 'calcium carbonate', 'soy lecithin', 'cocoa powder processed with alkali', 'tbhq to maintain freshness', 'natural flavor']","['Huile de palme', 'Non végétalien']",?,524,2192 kj(524 kcal),"28,57","11,9","57,14","42,86","9,52","0,952","0,381",,,,,"['Snacks', 'Snacks sucrés', 'Confiseries']",28.6 g,en quantité élevée,11.9 g,en quantité élevée,42.9 g,en quantité élevée,0.953 g,en quantité modérée,,+25%,+25%,+94%,+84%,-14%,-14%,+126%,+548%,+548%,24,+32%,E,+32%,,,,,,,,,,,"['Lait', 'Fruits à coque', 'Soja']",4,,,"['E422 - Glycérol', 'E322i - Lécithine']",Mars Chocolate North America LLC,
499,Pur brebis fermier,0200653026116,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,Jesuites crème patissiere,4015410002861,,['France'],[],[],?,279,1167 kj(279 kcal),14,"6,5",33,13,"3,7","0,57","0,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,Le Baba de Noel,3760070341447,,['France'],[],[],?,221,925 kj(221 kcal),"1,8","1,8",50,41,"0,9",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Coloured cheddar - 10x 16g,8710306999411,,['France'],[],[],?,407,1703 kj(407 kcal),"34,5","21,6","0,1","0,1","24,9","1,7","0,68",10 x 16 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,"Crème de lentilles, huile de noix",3760087789553,,['France'],[],[],?,152,636 kj(152 kcal),"14,1","6,1","3,2",1,"2,6","0,37","0,148",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,galette des roi,0203534064948,,['France'],[],[],?,6,25 kj(6 kcal),16,0,"9,3","9,3","6,6","0,6","0,24",,,,D,"['Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",16 g,en quantité modérée,0 g,en faible quantité,9.3 g,en quantité modérée,0.6 g,en quantité modérée,,-99%,-99%,-39%,-100%,-76%,-28%,+4%,-14%,-14%,0,-100%,B,-100%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,
505,Sauce salade - Metro,3439495121483,['Metro'],['France'],[],[],?,221,925 kj(221 kcal),23,"1,7","2,6","0,8","1,4","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
