,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,traceability_code,labels,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,markets,ingredients_origins,packaging,allergens,nova_score,manufacturing,generic_name,additives,brand_owner,link
10,Galette frangipane bio D22,2070750000009,,['France'],[],[],?,421,1761 kj(421 kcal),30,16,31,10,"6,5","0,6","0,24",,,['Bio'],D,"['Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",30 g,en quantité élevée,16 g,en quantité élevée,10 g,en quantité modérée,0.6 g,en quantité modérée,,-0%,+0%,+14%,+8%,-20%,-22%,+2%,-14%,-14%,19,-1%,E,-1%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,
11,Bleu du vercors AOP,2606341031888,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Boisson Gazeuse saveur miel,4972842373252,,['France'],[],[],?,36,151 kj(36 kcal),"0,5",0,"8,7","8,6","0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Babyspasmyl Gouttes Orales,3760001040951,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Monbana - Chocolaterie Monbana,3474340405356,['Chocolaterie Monbana'],['France'],[],[],?,387,1619 kj(387 kcal),"6,9","4,2",70,67,"6,4","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Saucisse fine brasse,2887812029324,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Hi pro omelette,5901330057519,,['France'],[],[],?,431,1803 kj(431 kcal),14,14,20,5,47,"3,6","1,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Macarons de Reims,3770013629112,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,D,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,,,,,,,,
18,Le relais de patatache d'aux,3326262238591,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Escalope de dinde à la Milanaise MONOPRIX,2200587030966,,['France'],[],[],?,133,556 kj(133 kcal),"1,4","0,3","9,1","1,3",20,"0,57","0,228",,,['Bleu Blanc Cœur'],D,"['Viandes', 'Volailles', 'Volailles cuites', 'Dindes', 'Escalopes de dinde', 'Escalopes de dinde à la milanaise']",1.4 g,en faible quantité,0.3 g,en faible quantité,1.3 g,en faible quantité,0.57 g,en quantité modérée,,+1%,+1%,-10%,-44%,+33%,-29%,-6%,-37%,-37%,-2,-391%,A,-391%,78.1%,11.6%,2.2%,2.7%,1.1%,4.2%,37,['Monoprix'],,,,,,,,,
20,Fruits rouges cuisinés,218850093320100020150000,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Filet migon de porc,2222315048876,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Crevette,3306080032465,,['France'],[],[],?,89,372 kj(89 kcal),"0,7","0,5","0,5","0,5","22,3","1,8","0,72",,['ASC-C-01689'],,D,"['Produits de la mer', 'Crustacés', 'Crevettes']",0.7 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,1.8 g,en quantité élevée,,-16%,-15%,-68%,+9%,-54%,+43%,+23%,+22%,+22%,3,+20%,C,+20%,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,,,,,,,,,,
23,Pommes gala,3760014911194,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Broad bean,5352001012007,,['France'],[],[],?,151,632 kj(151 kcal),"3,4","0,4","19,7",0,"8,3","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Roudor ST Michel,3178530418132,['St Michel'],['France'],[],[],?,513,2146 kj(513 kcal),27,17,61,24,6,"1,27","0,508",,"['EMB 41059G', 'Contres (Loir-et-Cher, France)']","['Plein air', 'Œufs de poules élevées en plein air', 'Fabriqué en France']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Sardinas en aceite de olva,8436558281660,,['France'],[],[],?,277,1159 kj(277 kcal),"22,4","7,8",0,0,"18,8","0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Caviar,3254560364073,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Pizza saumon,0204640045593,,['France'],[],[],?,281,1176 kj(281 kcal),21,"6,7",12,"0,9",11,"0,92","0,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Pâte à tartiner classique -,3700422200749,,['France'],[],['Sans huile de palme'],?,541,2264 kj(541 kcal),"33,6","5,5","55,8","52,7","6,4","0,029","0,012",,,['en:palm-oil-free'],D,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']",33.6 g,en quantité élevée,5.5 g,en quantité élevée,52.7 g,en quantité élevée,0.029 g,en faible quantité,,-1%,-2%,-1%,-28%,+9%,+10%,-6%,-72%,-72%,21,+1%,E,+1%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,,,,,,,,,,
30,Ballotine de volaille aux champignons,3434590035567,,['France'],[],[],?,189,791 kj(189 kcal),15,"5,6","2,8",1,"13,5","1,7","0,68",,"['FR 35.196.001 CE', 'Mordelles (Ille-et-Vilaine, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Crackers Tiqua,7773400003676,,['France'],[],[],?,454,1900 kj(454 kcal),"13,2","2,6","13,2",0,9,"1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Mousse au foie au canard - Pierre Schmidt,3237550014592,['Pierre Schmidt'],['France'],[],[],?,417,1745 kj(417 kcal),41,15,"4,2","1,3","7,8","1,4","0,56",,"['FR 67.529.001 CE', 'Weyersheim (Bas-Rhin, France)']",,D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Mousses salées', 'Mousses de canard', 'Mousses de foies', 'Mousses de foies de volailles']",41 g,en quantité élevée,15 g,en quantité élevée,1.3 g,en faible quantité,1.4 g,en quantité modérée,,+36%,+28%,+37%,+40%,+66%,+12%,-26%,-8%,-8%,21,+15%,E,+15%,78.1%,15.2%,3.0%,2.3%,1.1%,0.3%,36,,,,,,,,,,
33,Jambo - Fleury Michon - 240g,3302740033353,['Fleury Michon'],['France'],[],[],?,?,,?,,?,,?,,,240 g,,['Nutriscore'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Délice de canard,3033610036593,,['France'],[],[],?,371,1552 kj(371 kcal),36,15,"1,6","0,9","10,4","1,3","0,52",,,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Pain au chocolat,0204167019022,,['France'],[],[],?,428,1791 kj(428 kcal),22,15,48,12,"7,1","0,88","0,352",,,,D,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",22 g,en quantité élevée,15 g,en quantité élevée,12 g,en quantité modérée,0.88 g,en quantité modérée,,+8%,+8%,+0%,+13%,+13%,0%,-1%,-3%,-3%,20,+2%,E,+2%,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,,,,,,,,,,
36,Petite saucisse de foie fumee,0286097019150,,['France'],[],[],?,296,1238 kj(296 kcal),26,"10,8","1,9","1,2","13,7","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,FILETS DE THON à l'huile d'olive,80724421,,['France'],[],[],?,173,724 kj(173 kcal),"7,2","1,1",0,0,27,"0,85","0,34",,,,D,"['Produits de la mer', 'Poissons', 'Thons', 'Filets de poissons', 'Filets de thon']",7.2 g,en quantité modérée,1.1 g,en faible quantité,0 g,en faible quantité,0.85 g,en quantité modérée,,-25%,-22%,-46%,-49%,-100%,-100%,+11%,-14%,-14%,1,-77%,B,-77%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,,,,,,,,,
38,Anchois marines au naturel BELMONTE,3262960055248,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,"2,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Vin chateau billeron bouquey,3523890111122,,['France'],[],[],?,?,,?,,?,,?,,,,,,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,['France'],,,,,,,,
40,Boudin de saumon,3302100005211,,['France'],[],[],?,225,941 kj(225 kcal),"17,7","2,4","3,2","0,2","12,2","1,49","0,596",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,recette du japon : soupe ramen - 350g,2270192724260,,['France'],[],[],?,46,192 kj(46 kcal),"0,1","0,1","6,6","1,7","4,4","0,8","0,32",350 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Foie gras de canard entier du sud ouest,3461950060082,,['France'],[],[],?,541,2264 kj(541 kcal),55,23,2,2,8,"1,1","0,44",,,['IGP'],B,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']",55 g,en quantité élevée,23 g,en quantité élevée,2 g,en faible quantité,1.1 g,en quantité modérée,,+2%,+2%,+1%,-1%,-16%,+52%,+6%,-8%,-8%,20,-4%,E,-4%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,,
