,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,packaging,labels,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,generic_name,quantity,ingredients_origins,manufacturing,traceability_code,link,markets,allergens,nutriment_energy_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,palm_ingredients
523,Arkh Materia,3760203560349,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,Bioburger,3419390042014,['France'],[],[],?,356,1490 kj(356 kcal),12,"6,6",52,9,"8,6","1,2","0,48",,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,Tarte au citron meringuée,0209693036086,['France'],[],[],?,378,1582 kj(378 kcal),17,11,49,37,"5,7","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,Le pavé complet,3700135303270,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,Caramel à tartiner,3700589975122,['France'],[],[],?,513,2146 kj(513 kcal),18,12,86,85,1,"1,16","0,464",,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner']",,-2%,-44%,+48%,+71%,+95%,-84%,,,,,,,,,,18 g,en quantité modérée,12 g,en quantité élevée,85 g,en quantité élevée,1.16 g,en quantité modérée,31,E,,,,,,,,,-2%,+537%,+537%,+51%,+51%,
528,"Coppa de l'île de beauté tranchée - Salaisons j.pantaloni - 0,100kg",3452483553738,['France'],"['Echine de porc ', '95% origine France', 'Sel', 'Dextrose', 'Epices et plantesaromatiques', 'antioxydant: E301', 'Ail', 'Conservateur : E252', 'Poivre', 'Ferments']","['Non végétalien', 'Non végétarien']",?,?,,"20,8",,"0,1","0,03","25,3","5,73","2,292",['Salaisons j.pantaloni'],['Plastique'],"['Viande Française', 'Viande Porcine Française']",,"['Viandes', 'Charcuteries']",,,+8%,,-93%,-96%,+35%,,,,,,,,"['E301 - Ascorbate de sodium', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",4,20.8 g,en quantité élevée,,,0.03 g,en faible quantité,5.73 g,en quantité élevée,,,,"0,100kg",,,['FR 2A.271.001 CE'],,['Carrefour'],,,+141%,+141%,,,
529,Formaggio a pasta filata - Selex,8003100801760,['France'],[],[],?,335,1402 kj(335 kcal),27,19,1,0,22,1,"0,4",['Selex'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,Butternut en cubes - Thiriet,3292590829643,['France'],[],[],?,28,117 kj(28 kcal),0,0,"5,1","2,2","0,9",0,0,['Thiriet'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Thiriet'],,,,,,,
531,Vin rouge,3760066613589,['France'],[],[],?,?,,?,,?,,?,,,,,,D,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",,,,,,,,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,,,,,,,,,,,,,,,,,,,,,,,,,
532,Coeur de couenne,0209082025257,['France'],[],[],?,141,590 kj(141 kcal),62,"2,2","0,5","0,5","20,7","1,92","0,768",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 29.247.022 CE', 'Saint-Évarzec (Finistère, France)']",,,,,,,,,
533,Farine typ 450 - Lubelskie Mtyny - 1kg,5906874064009,"['France', 'États-Unis']",['Farine de blé pâtissière'],[],?,?,,"0,7",,"78,9","0,2","6,7","0,1","0,04",['Lubelskie Mtyny'],['Sachet Papier'],,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé']",,,-48%,,+13%,-87%,-39%,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,,,0.7 g,en faible quantité,,,0.2 g,en faible quantité,0.1 g,en faible quantité,,,,1 kg,,['Pologne'],,,,,,+318%,+318%,,,
534,Banane Chocolat,3760321260213,['France'],[],[],?,274,1146 kj(274 kcal),3,2,59,50,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,Confiture Gin Tonic,3760321260268,['France'],[],[],?,196,820 kj(196 kcal),0,0,49,49,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,Noël Blanc,3760321260336,['France'],[],[],?,186,778 kj(186 kcal),0,0,46,46,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,chicken flavour noodles - reeva - 300g,11454113,['France'],"['NOUILLES INSTANTANÉES AU GOÜT DE POULET', ' INGREdiENTS', ' NOULLES ', '9134', ': fARINE DE BLÉ', 'HUILE DE PALME', 'EAU', 'SEL', 'COLORANT ', 'E160A', ' BASE DE SOUPE ', '6,5%', ': SEL', 'SUCRE', 'EXHAUSTEURS DE GOÜT ', 'E621', 'E631', 'E627', 'LÉGUMES DÉSHYDRATÉS ', 'TOMATE ', '0,18%', '0IGNON ', '0,08%', 'AIL', 'ÉPICES ', 'POIVRE NOIR', 'CURCUMA', 'GINGEMBRE', 'ARÔME DE POULET', 'MALTODEXTRINE', 'PERSIL SÉCHÉ ', '0,06%', 'POIVRON ROUGE MOULU ', '0,03%', ' HUILE ', '2,29%', ': HUILE DE TOURNESOL', 'ARÔME', 'ANTIOXYDANT ', 'E306']","[""Pourrait contenir de l'huile de palme""]",?,?,,?,,?,,?,,,['Reeva'],['Plastique'],,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées', 'Soupes de nouilles instantanées']",,,,,,,,61.6%,18.9%,5.5%,9.0%,3.5%,1.5%,81,"['E160a - Carotènes mélangés', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E631 - Inosinate disodique', 'E627 - Guanylate disodique', 'E306 - Extrait riche en tocophérols']",4,,,,,,,,,,,,300 g,,,,,,,,,,,,['Huile de palme']
538,Queso untable por salut light,7790787003525,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,Sumatra,0762111337986,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,Gelée extra Fleurs d'accacia,3760040451107,['France'],[],[],?,?,,?,,?,,?,,,,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Gelées de fruits']",,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,,,,,,,,,,,,,,
541,Gelée Cidre Rosé,3760321260282,['France'],[],[],?,200,837 kj(200 kcal),0,0,55,55,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,Giandino assortiment,7624841693868,['France'],[],[],?,595,2489 kj(595 kcal),42,23,46,44,"6,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,Box inspiration indienne -,3386030006777,['France'],[],[],?,0.79,3 kj(0 kcal),"7,6","3,1","3,1","2,3","1,3","0,75","0,3",,,"['Sans conservateurs', 'Nutriscore']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,tarama - Blini,02158011,['France'],[],[],?,?,,?,,?,,?,,,['Blini'],,,B,"['Produits de la mer', 'Produits à tartiner', 'Produits à tartiner salés', 'Taramas']",,,,,,,,66.5%,16.2%,6.9%,6.0%,3.5%,0.9%,82,,,,,,,,,,,,,,,,,"['FR 14.712.042 CE', 'Troarn (Calvados, France)']",,,,,,,,,
545,"Spico Salsa de Cacahuate, Ajonjoli y tres chiles",7500326260087,['France'],[],[],?,713,2983 kj(713 kcal),73,7,0,0,14,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,Miel de tilleul,3012340001156,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,Rajas de jalapeño,2548017006014,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,sirop bleuet,3585262608043,['France'],[],[],?,252,1054 kj(252 kcal),1,1,88,88,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,"Monin Monin Gourmet-sirup, Monin ""grenadine"", 50 ml",3052910034740,['France'],[],[],?,?,,?,,?,,?,0,0,['Monin'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,Miel,3760212800030,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,Vinaigrette miel moutarde,3760239452564,['France'],[],[],?,494,2067 kj(494 kcal),48,"3,9",15,14,"1,2","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,Pruneaux,3328400142449,['France'],[],[],?,231,967 kj(231 kcal),"0,5","0,2","52,6","41,2","1,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,Mélasse de caroube,5283000666031,['France'],[],[],?,0,0 kj(0 kcal),0,0,"76,19","71,429","2,381","0,155","0,062",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,Habanero Hot Sauce,7503021855022,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,19,"7,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,Cuisses de poulet fermier,0287568039363,['France'],[],[],?,?,,?,,?,,?,,,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,,
556,Paroles gourmandes,3546941101620,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,Vinaigre Balsamique,8006911001701,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,Filets de poulet,2860119020478,['France'],[],[],?,113,473 kj(113 kcal),"2,3","0,7",0,0,23,"0,1","0,04",,,"['Nutriscore', 'Nutriscore A']",D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,-14%,-20%,-6%,-100%,-100%,+1%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,2.3 g,en faible quantité,0.7 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,-4,A,,,,,,,,,-13%,-87%,-87%,,,
559,Corail d'oursin de mer,8436015208193,['France'],[],[],?,75,314 kj(75 kcal),"4,3","2,5","1,3",0,"7,6","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,Sirop d'érable,0768178000238,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,Citron confits,3760311390098,['France'],[],[],?,30,126 kj(30 kcal),"0,5","0,1","2,1","1,9","0,7",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,Fleurs de sel a la truffe,3183280019478,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,Herbes de provence,3760171230800,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,Morceaux choisis de poulet,0211994042901,['France'],[],[],?,?,,?,,?,,?,,,,"['Barquette', 'Film en plastique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,Cordon bleu a poeler,2616059034705,['France'],[],[],?,261,1092 kj(261 kcal),17,"4,5",14,"1,6",12,"1,29","0,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,"Fricassée de volaille à la bière ""3 monts""",3585260426007,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 59.526.101 CE', 'Saint-Amand-les-Eaux (Nord, France)']",,,,,,,,,
567,Herbal tea,3558820008128,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,Sirop saveur myrtille,3376370157284,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,Filet de poulet rôti,2431628040013,['France'],[],[],?,151,632 kj(151 kcal),"5,8","1,4",0,0,24,"1,4","0,56",,"['Barquette', 'Film en plastique']",,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,+15%,+101%,+88%,-100%,-100%,+5%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,3,C,,,,,,,,,+16%,+87%,+87%,,,
570,Conflit d'oignons,3760105203016,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,Confiture framboise violette,3770005999988,['France'],[],[],?,207,866 kj(207 kcal),"0,6","0,1",47,46,"0,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,Frick,6135230000217,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,Saumon sans arête,0206377012862,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,Moulin de la grange à grains 80400 esmy hallon,3760150043384,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,Gouda vieux,0204881019940,['France'],[],[],?,417,1745 kj(417 kcal),34,22,0,0,27,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,Comté,2404974037266,['France'],[],[],?,419,1753 kj(419 kcal),35,22,"0,5","0,5",26,1,"0,4",,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,0%,+1%,-3%,+8%,+87%,-3%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,35 g,en quantité élevée,22 g,en quantité élevée,0.5 g,en faible quantité,1 g,en quantité modérée,14,D,,,,,,,,,+0%,+19%,+19%,+8%,+8%,
577,Escalode de dinde,0215998013189,['France'],[],[],?,105,439 kj(105 kcal),1,1,"0,3","0,1",24,"0,18","0,072",,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,Algues,0753214300311,['France'],[],[],?,450,1883 kj(450 kcal),3,0,0,0,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,Délice de sardine au whisky,3389090012542,['France'],[],[],?,234,979 kj(234 kcal),17,"8,5","2,2","1,2",18,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 44.079.002 CE', 'Landreau (Loire-Atlantique, France)']",,,,,,,,,
580,Caramels,01387506,['France'],[],[],?,424,1774 kj(424 kcal),"8,4","5,7","86,9","71,6","0,3","1,02","0,408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,Menthe,3389682001077,['France'],[],[],?,400,1674 kj(400 kcal),0,0,98,77,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,fusilini,3760171890776,['France'],[],[],?,359,1502 kj(359 kcal),2,"0,35",72,"3,7",13,5,2,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,Lardons nature supérieurs,2243752021383,['France'],[],[],?,241,1008 kj(241 kcal),20,"8,1",0,0,15,"2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 56.094.013 CE', 'Kervignac (Morbihan, France)']",,,,,,,,,
584,Confit de manchons de canards du sud ouest,3443700044467,['France'],[],[],?,334,1397 kj(334 kcal),26,"8,7","0,5","0,5",25,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,Pouce Nature Tapenade Olives Noires,3770005276683,['France'],[],[],?,236,987 kj(236 kcal),"26,1","4,34","2,4","1,59","1,5","1,68","0,672",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,Ciselés au romarin,3760183041944,['France'],[],[],?,423,1770 kj(423 kcal),11,"1,6",68,"2,4",11,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,BEAUMONT DE SAVOIE,2241431028739,['France'],[],[],?,408,1707 kj(408 kcal),34,24,5,0,25,9,"3,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 63.113.081 CE', 'Clermont-Ferrand (Puy-de-Dôme, France)']",,,,,,,,,
588,Caviar d'olives noires aux truffes,3770006742002,['France'],[],[],?,194,812 kj(194 kcal),19,"2,3","2,1","0,9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,1926165870007,1926165870007,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,Comte,2671346030440,['France'],[],[],?,418,1749 kj(418 kcal),35,23,0,0,27,"0,9","0,36",,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,-0%,+1%,+1%,-100%,-100%,+0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.9 g,en quantité modérée,13,D,,,,,,,,,-0%,+7%,+7%,0%,0%,
591,Vinaigre à l'estragon,3158697781522,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,Seed mix - Natural Happiness,3210122991811,['France'],[],[],?,?,,?,,?,,?,,,['Natural Happiness'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,Filets d’anchois a l’huile d’olive,8421993910787,['France'],[],[],?,177,741 kj(177 kcal),"7,9","0,93","0,5","0,5","26,5","10,1","4,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,Saucisse de morteau,2450801000002,['France'],[],[],?,906,3791 kj(906 kcal),30,10,"0,5","0,5",15,2,"0,8",,,,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Morteau']",,+186%,+9%,-6%,-9%,+30%,-11%,72.4%,18.3%,4.1%,1.4%,0.8%,3.0%,28,,,30 g,en quantité élevée,10 g,en quantité élevée,0.5 g,en faible quantité,2 g,en quantité élevée,27,E,,,,,,,,,+185%,-10%,-10%,+24%,+24%,
595,Nectar baies de goji,3700723801690,['France'],[],[],?,21,88 kj(21 kcal),"0,8","0,01","4,5","4,5","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,Pates aux oeufs frais,3770014243010,['France'],[],[],?,388,1623 kj(388 kcal),"4,2","1,2",74,6,14,,,,,"['Bio', 'Bio européen']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,Sirop de plante vervaine,3760266570828,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,Graines de tournesol,8697436520114,['France'],[],[],?,633,2648 kj(633 kcal),53,"6,3",24,"1,1",28,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,Pomodorini,8022842000286,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,Carrefour,2272809022431,['France'],[],[],?,0,0 kj(0 kcal),"5,8","2,2","0,5","0,5",22,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 21231C', ""Dijon (Côte-d'Or, France)""]",,,,,,,,,
601,Tomate cerise,1613630000006,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,Perle de vanille,3760080782346,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,Bolst's Curry Powder Mild (100G),5019124371007,['France'],[],[],?,327.1,1369 kj(327 kcal),"15,2","1,8","43,3",0,"13,3","0,42","0,168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,Tagliatelle Curcuma Pavot,3770014243652,['France'],[],[],?,388,1623 kj(388 kcal),"4,2","1,2",74,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,Pâtes au saumon et légumes,3760014421112,['France'],[],[],?,360,1506 kj(360 kcal),"4,6","0,6","64,9","7,2","17,1","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,Miel de fleur d'été,3770005736101,['France'],[],[],?,?,,?,,?,,?,,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,
607,Confiture d’Airelles,3338044200238,['France'],[],[],?,249,1042 kj(249 kcal),"0,7","0,1",58,56,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,Puree carotte cumin,3770010194378,['France'],[],[],?,31,130 kj(31 kcal),"0,58","0,07","5,28","4,22","0,69","0,53","0,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,Beurre Motte AOP,2480997017058,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,Lea filets poulet,0226487034837,['France'],[],[],?,113,473 kj(113 kcal),"2,3","0,7","2,3","0,1","0,7","0,1","0,04",,"['Barquette', 'Film en plastique']","['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,Lard paysan (a l'ancienne),2450764034717,['France'],[],[],?,340,1423 kj(340 kcal),30,"12,8","0,4","0,1",17,"3,6","1,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,Yaourt à Boire,3760068580193,['France'],[],[],?,84,351 kj(84 kcal),"3,4","2,5",10,"9,5","3,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,parmigiano reggiano,2263787027167,['France'],[],[],?,402,1682 kj(402 kcal),30,20,0,0,32,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,TARTIFLETTE,2058547033133,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,Poitrine porc tranchée,0208742010107,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,Bio filet de poulet,2287350003952,['France'],[],[],?,110,460 kj(110 kcal),"1,2","0,4",0,0,"24,7","0,11","0,044",,,"['Nutriscore', 'Nutriscore A']",D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,-16%,-58%,-46%,-100%,-100%,+8%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,1.2 g,en faible quantité,0.4 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,-4,A,,,,,,,,,-15%,-85%,-85%,,,
617,Jambon Le torchonay,0209538010950,['France'],[],[],?,137,573 kj(137 kcal),"6,2","2,8","0,7","0,7","19,8","1,91","0,764",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,St rieul,3760054630284,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,Coudes rayés - Turini,3164700769074,['France'],[],[],?,?,,?,,?,,?,,,['Turini'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
