,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,quantity,packaging,brand,categories,ingredients_origins,manufacturing,markets,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,labels,traceability_code,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,saturated_acids_quantity,saturated_acids_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,palm_ingredients,link
1672,Passata a l italienne bio,03348345,['France'],[],[],?,125,"0,2","4,5","1,5","0,38","0,152",523 kj(125 kcal),0,"3,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1673,KOUGELHOPF,0272540031428,['France'],[],[],?,387,17,47,"9,6","0,99","0,396",1619 kj(387 kcal),"8,6","9,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1674,LUCQUES,3548670002216,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1675,Croustillants de crevettes,3423777201048,['France'],[],[],?,276,14,28,10,"0,86","0,344",1155 kj(276 kcal),"2,4","1,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676,Viennoiseries pur beurre,,['France'],[],[],?,0,24,44,"8,4",1,"0,4",0 kj(0 kcal),18,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677,Pamplemousse rose fraichement pressé,3760307950060,['France'],[],[],?,41,"0,1","7,7","0,7",0,0,172 kj(41 kcal),0,"6,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,Lemon Rice Powder,8906021121972,['France'],[],[],?,59,"0,4","11,8","1,9",1,"0,4",247 kj(59 kcal),0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,Saint Nectaire,2090453030172,['France'],[],[],?,340,28,0,22,"1,7","0,68",1423 kj(340 kcal),"19,9",0,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Saint-nectaire']",,,,,,,28 g,en quantité élevée,0 g,en faible quantité,1.7 g,en quantité élevée,,0%,+1%,-100%,-100%,+0%,+14%,+14%,"['Nutriscore', 'Nutriscore D']",,16,+7%,D,+7%,D,19.9 g,en quantité élevée,+0%,+5%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,
1680,Donuts Pink Glazef,0203919021580,['France'],[],[],?,469,"28,5","47,9","4,4","0,56","0,224",1962 kj(469 kcal),"16,1","19,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,Steawberry,62026376,['France'],[],[],?,962,"0,2",63,"0,5","0,2","0,08",4025 kj(962 kcal),"0,2",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,Spécialité à fondre fourme de Monbrison en tranchette,2287670004363,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683,Thé Black Orchid,3700286544140,['France'],[],[],?,1,0,"0,2","0,1",0,0,4 kj(1 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684,Échalotte,3760109230384,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685,Miel de bruyere,3579690000180,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686,Starbucks caffe latte,7613039854327,['France'],[],[],?,433,"19,6",41,"20,3","1,22","0,488",1812 kj(433 kcal),"11,2","40,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687,Muesli crousti choco,0290135050258,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688,Donuts chocolat blanc rayés noir,1000110005062,['France'],[],[],?,453,20,45,5,0,0,1895 kj(453 kcal),17,21,,,,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts', 'Beignets fourrés au chocolat', 'en:Chocolate doughnuts']",,,,,,,20 g,en quantité modérée,21 g,en quantité élevée,0 g,en faible quantité,,+4%,-23%,+6%,+34%,-23%,-100%,-100%,,,19,-12%,E,-12%,D,17 g,en quantité élevée,+5%,+35%,77.1%,13.7%,3.6%,3.5%,1.9%,0.0%,52,,,
1689,Pâté en croute volaille forestière,2274709014820,['France'],[],[],?,264,"16,8","15,3","12,4","2,1","0,84",1105 kj(264 kcal),7,"1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690,Ppppp - Pppp,06145236,['France'],[],[],?,?,?,?,?,,,,,,pppp,['Pppp'],['Pppp'],,['en:ppppp'],,,,,,,,,,,,,,,,,,,,['en:pppp'],,,,,,,,,,,,,,,,,,,,
1691,Sucette fer de lance,3608580960522,['France'],[],[],?,400,"2,4",97,0,"0,12","0,048",1674 kj(400 kcal),"0,9",76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692,Confiture d’abricot,3760047370234,['France'],[],[],?,74.0541,"0,189","18,108","0,162","0,676","0,27",310 kj(74 kcal),"0,027","16,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693,Poivre sarawak,3760177741300,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694,Çiğ köfte seti,8690504659143,['France'],[],[],?,157,"0,9",30,"5,1","0,76","0,304",657 kj(157 kcal),"0,5","5,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695,Bernbacher Spaghetti,4000470046207,['France'],[],[],?,353,"1,6",71,12,,,1477 kj(353 kcal),"0,5",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1696,filets de poulets,0213308067372,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,
1697,Organic muesli mix,4022993042085,['France'],[],[],?,440,18,57,"9,8",,,1841 kj(440 kcal),"1,6",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1698,Porc mincerette,2409032024400,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699,Cup noodles,8712429120109,['France'],[],[],?,82,"3,7","9,7",2,1,"0,4",343 kj(82 kcal),"1,9","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
