,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,quantity,packaging,brand,categories,ingredients_origins,manufacturing,markets,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,labels,traceability_code,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,saturated_acids_quantity,saturated_acids_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,palm_ingredients,link
0,Tarte aux pommes,0260379020997,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,California saumon fromage,3760253240024,['France'],[],[],?,188,"8,5",20,"8,3","1,1","0,44",787 kj(188 kcal),"2,8","3,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,pain nordique - 300,03461969,['France'],"['Farines 44% ', 'BLE', 'ORGE', 'eau', 'graines 6% ', 'tournesol', 'courge', 'lin brun', 'lin jaune', 'SESAME', 'éclats de BLE', 'GLUTEN de BLE', ""malt d'ORGE toasté"", 'levure', 'sel', 'levain de SEIGLE', 'farine de BLE malté', 'agent de traitement de la farine: E300', 'Décor 3%: graines de lin brun', 'lin jaune et millet', ' Iraces possibles de: lait', 'peuf', 'soja', 'fruits à coque', 'sulfites']",['Non végétalien'],?,?,"4,8",39,11,"1,19","0,476",,,"1,1",300,['sac papier'],['PAIN NORDIQUE'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",['France'],['France'],['inter marché'],['E300 - Acide ascorbique'],"['Gluten', 'Fruits à coque', 'Graines de sésame', 'Soja', 'Anhydride sulfureux et sulfites']",4,4.8 g,en quantité modérée,1.1 g,en faible quantité,1.19 g,en quantité modérée,,,-22%,-29%,-72%,+16%,-7%,-7%,,,,,,,,,,,,,,,,,,,,,
3,3760007336263,3760007336263,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Merguez,2274848023226,['France'],[],[],?,298,"26,1","1,5","14,4","2,5",1,1247 kj(298 kcal),"11,9","0,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Noix Fine,0229606046902,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Bonne nuit rooibos vanille - Yogi Tea,4012824405240,['France'],[],[],?,1,0,"0,2","0,1",0,0,4 kj(1 kcal),0,0,,,['Yogi Tea'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Saucisses,2274847021254,['France'],[],[],?,291,"25,6","0,8","14,4","2,6","1,04",1218 kj(291 kcal),"9,7","0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Kimchi chéri,3770015835023,['France'],[],[],?,32,"0,3","7,2","1,7","1,2","0,48",134 kj(32 kcal),"0,12","1,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Spaetzele à la bolognaise -,3052420360032,['France'],[],[],?,106,"7,5","4,2","5,5","1,05","0,42",444 kj(106 kcal),"2,7","1,9",,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore B']","['FR 68.376.005 CE', 'Wittenheim (Haut-Rhin, France)']",,,,,,,,,,,,,,,,,,,
10,Protein bar,3608418932615,['France'],[],[],?,332,"5,6",34,32,"1,1","0,44",1389 kj(332 kcal),"5,6","4,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Guérin Pistache,8411994015277,['France'],[],[],?,480,24,51,13,4,"1,6",2008 kj(480 kcal),21,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Poulet cuit,2209703006052,['France'],[],[],?,170,"9,6",1,20,"1,3","0,52",711 kj(170 kcal),"2,8","0,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Caviar,4820226170020,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Saucisson halal ( cachir ),5414183400086,['France'],[],[],?,187,15,"1,1",12,"2,5",1,782 kj(187 kcal),"4,5","0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Makroudh Authentique De Kairouan 400GR ""Cap Blanc""",6191564400581,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Tartin’algues,3770015722149,['France'],[],[],?,132,9,"10,3","2,2","1,4","0,56",552 kj(132 kcal),"1,7","4,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Purée de potimarron courge butternut et carotte jaune,3256228197764,['France'],[],[],?,38,"0,7","5,6","1,1",,,159 kj(38 kcal),"0,1","3,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Akcaabat,5902082417323,['France'],[],[],?,190,14,"4,9",14,"1,2","0,48",795 kj(190 kcal),"7,3","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,High protein bar,3608418934343,['France'],[],[],?,378,14,20,50,"0,79","0,316",1582 kj(378 kcal),11,"1,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Croissants Pur Beurre,0208519013058,['France'],[],[],?,430,"23,8","43,9","8,7","1,15","0,46",1799 kj(430 kcal),"16,4","5,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Mon bio a boire,15434456,['France'],[],[],?,68,"1,7",10,"2,9","0,13","0,052",285 kj(68 kcal),"1,1",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Saucisse de Toulouse,0210649035169,['France'],[],[],?,187,13,"0,5",17,2,"0,8",782 kj(187 kcal),5,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore A']","['FR 26.347.022 CE', ""Tain-l'Hermitage (Drôme, France)""]",,,,,,,,,,,,,,,,,,,
23,Fruit express,0024000105077,['France'],[],[],?,49,0,11,"0,5",0,0,205 kj(49 kcal),0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Edulcobio,50434305,['France'],[],[],?,?,?,?,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Fol épi pasteurisé 25%MG,0202732022569,['France'],[],[],?,361,29,"0,5",25,"1,6","0,64",1510 kj(361 kcal),20,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"volvic - 1,5l",03522271,['France'],[],[],?,?,?,?,?,,,,,,"1,5l",,['Volvic'],"['Boissons', 'Eaux', 'Eaux de sources', 'Eaux minérales', 'Eaux minérales naturelles', 'Eau minérale naturelle non gazeuse']",,,,,,,,,,,,,,,,,,,,,,,0,-100%,A,-100%,,,,,,,,,,,,,,,
27,Miel,3770013673023,['France'],[],[],?,?,?,?,?,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Bande de  flan,0234112030833,['France'],[],[],?,27,"0,5","6,8","0,5",,,113 kj(27 kcal),"0,5","6,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Clafoutis pommes,,['France'],[],[],?,227,"8,6",32,"4,8","0,16","0,064",950 kj(227 kcal),"4,9",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Morbier aop doux,2488821026962,['France'],[],[],?,363,30,"1,3",22,"1,58","0,632",1519 kj(363 kcal),21,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Brandade de morue,3256228433923,['France'],[],[],?,133,"6,7",12,"5,7","0,51","0,204",556 kj(133 kcal),"2,8","1,3",,"['Etui en carton', 'Film en plastique']",,"['Plats préparés', 'Plats préparés au poisson', 'Brandades de morue']",,,,,,,6.7 g,en quantité modérée,1.3 g,en faible quantité,0.51 g,en quantité modérée,,-40%,-60%,+53%,+81%,-16%,-42%,-42%,['Nutriscore'],['MSC-C-51889'],2,-53%,B,-53%,E,2.8 g,en quantité modérée,-40%,+33%,90.1%,2.6%,1.1%,5.1%,0.6%,0.4%,21,,,
32,Bordeaux,3251090078562,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Yaourt,3770012061296,['France'],[],[],?,91,"3,2",12,"3,3","0,1","0,04",381 kj(91 kcal),2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Porc Roti Epaule S/OS,0205025035758,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Boni,5400141760828,['France'],[],[],?,?,?,?,?,,,,,,,,['Boni'],,,,,,,,,,,,,,,,,,,,,,,['FSC-C128539'],,,,,,,,,,,,,,,,,,,
36,Piment citron,3760148660302,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Terrine de magret de canard du perigord ux pruneau,3424830000295,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']",,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,,,
38,Pizza auchan,2030509003590,['France'],[],[],?,215,"6,8",26,13,"1,1","0,44",900 kj(215 kcal),"4,2","2,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Garam Massala,3760002140391,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Turron de alicante -,8410771100755,['France'],[],[],?,1120,64,100,32,"0,1","0,04",4690 kj(1120 kcal),6,76,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Aliments et boissons de Noël', 'Confiseries de Noël', 'Touron', 'Tourons aux amandes', 'Tourons croquants aux amandes']",,,,,,,64 g,en quantité élevée,76 g,en quantité élevée,0.1 g,en faible quantité,,+109%,+92%,+135%,+103%,+132%,+182%,+182%,['Sans gluten'],,20,+40%,E,+40%,E,6 g,en quantité élevée,+109%,+112%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,
41,Guanciale di Montagna,102043,['France'],[],[],?,530,"52,2","0,6","15,1","2,8","1,12",2218 kj(530 kcal),"17,11","0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Noix de coco en morceaux,0200809022245,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Noix de coco', 'Noix de coco en morceaux']",,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,70.3%,0.0%,8.0%,9.7%,8.6%,3.4%,54,,,
43,3 filets de poulet jaune,0253079051231,['France'],[],[],?,105,"1,3","0,4",23,"0,11","0,044",439 kj(105 kcal),"0,4",0,,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,1.3 g,en faible quantité,0 g,en faible quantité,0.11 g,en faible quantité,,-20%,-55%,-16%,-100%,+1%,-85%,-85%,,,-4,,A,,D,0.4 g,en faible quantité,-19%,-46%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,
44,Kombucha,3770010589723,['France'],[],[],?,23,"0,1","4,5","0,13","0,1","0,04",96 kj(23 kcal),"0,1","4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Gâteau carnaval,0232749027684,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Feves,8681788703042,['France'],[],[],?,143,"0,5",3,"9,9",13,"5,2",598 kj(143 kcal),0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Coulis de tomates bio,9900000015893,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Infusions,3663787021926,['France'],[],[],?,0,0,0,0,0,0,0 kj(0 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Bio Açai & Mango Bowl,7640176961205,['France'],[],[],?,86,"4,1","9,3","1,2",,,360 kj(86 kcal),"2,2",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Curry sauce à dipper,3344540126255,['France'],[],[],?,349,36,"3,5","2,5","1,8","0,72",1460 kj(349 kcal),"4,5","1,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Fraise Menthe,3770007426765,['France'],[],[],?,202,"0,23",51,0,0,0,845 kj(202 kcal),0,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Candy shpritz,0025675302648,['France'],[],[],?,50,0,13,0,1,"0,4",209 kj(50 kcal),0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Brinkers,8710573412811,['France'],[],[],?,573,"40,7","43,5",7,,,2397 kj(573 kcal),"6,8","43,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,zithum biere paysanne bio,3770000373004,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Vin rosé,3259660100224,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rosés']",,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,46.7%,3.7%,29.6%,13.4%,5.1%,1.4%,45,,,
56,Farine,4009847094087,['France'],[],[],?,1420,0,71,"9,8","0,2","0,08",5941 kj(1420 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,BasilSeed,8050519873390,['France'],[],[],?,24,0,6,0,,,100 kj(24 kcal),0,"4,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Salade Méchouia Forte,3760096290408,['France'],[],[],?,190,18,"6,4","0,8","4,4","1,76",795 kj(190 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Moussaka,5413848637737,['France'],[],[],?,120,"6,8",9,"4,8","0,65","0,26",502 kj(120 kcal),"1,8",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Andouillette Michel Soulié,3350820503005,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"Weizenmischbrot, Geschnitten",4009249017431,['France'],[],[],?,0,2,43,"7,5","1,25","0,5",0 kj(0 kcal),"0,5",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Yogurt intero con fragole,8005350441215,['France'],[],[],?,97,"2,9",13,"3,9","0,1","0,04",406 kj(97 kcal),2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Véritableandouille de Guéméné,2289948005645,['France'],[],[],?,253,21,"0,5",16,"1,9","0,76",1059 kj(253 kcal),11,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Penne IGP au canard et champignons - Seazon,3701456305608,['France'],[],[],?,141,6,15,5,0,0,590 kj(141 kcal),3,1,,,['Seazon'],,,,,,,,,,,,,,,,,,,,,,"['Nutriscore', 'Nutriscore B']",,,,,,,,,,,,,,,,,,,,
65,Green tea,4791052900221,['France'],[],[],?,0,0,0,0,0,0,0 kj(0 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Cake aux fruits,0205555032142,['France'],[],[],?,394,17,53,6,"0,58","0,232",1648 kj(394 kcal),11,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Boudin blanc à l'oignon,3483000480695,['France'],[],[],?,292,"24,7","1,09","12,3","1,41","0,564",1222 kj(292 kcal),"10,8","0,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3770006412073,3770006412073,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Rillettes de Maquereau,3269660018894,['France'],[],[],?,259,22,"2,9",11,"1,56","0,624",1084 kj(259 kcal),"5,7","1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Dessert soya caramel,2020010043000,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Weense Worstjes 210g 7 Stuks,8712566161164,['France'],[],[],?,180,13,4,12,"1,9","0,76",753 kj(180 kcal),6,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Biona Organic Apple Juice -,5032722312302,['France'],[],[],?,46,"0,1","10,8",0,,,192 kj(46 kcal),"0,02","10,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Minu moment,5410063038486,['France'],[],[],?,18,18,70,11,"1,8","0,72",75 kj(18 kcal),"7,1",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Olives vertes entières,3101150025206,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Carottes rappées,0206650010172,['France'],[],[],?,91,"6,4","6,2","0,8","0,67","0,268",381 kj(91 kcal),"0,5","4,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Yogur con mermelada de arándanos,8436561360048,['France'],[],[],?,92.3,3,"13,6","2,5","0,1","0,04",386 kj(92 kcal),"2,1","12,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,salade de fruit,2868733025718,['France'],[],[],?,41.59,"0,38","8,04","0,7",,,174 kj(41 kcal),"0,02","6,35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Beignets,0231393032143,['France'],[],[],?,327,11,46,11,"1,3","0,52",1368 kj(327 kcal),"5,9","8,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Yodaqui,3770013204029,['France'],[],[],?,126,"0,3",29,"1,9",0,0,527 kj(126 kcal),"0,1","9,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Lulu la barquette Abricot,3017760038607,['France'],[],[],?,351,"2,1",78,4,"0,1","0,04",1469 kj(351 kcal),"0,6",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Mix protéines,3770005830373,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Confiture de Tiare,3521332000218,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Pain Énergétique,0290004018969,['France'],[],[],?,274,"9,5",37,"9,2","0,85","0,34",1146 kj(274 kcal),1,"8,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Crevettes 30/50  penaeus vannamei,0200836046573,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Red Ale Rousse,0638097019478,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Cuisse de poulet blanc,0253076039553,['France'],[],[],?,212,14,"3,5",18,"0,18","0,072",887 kj(212 kcal),"3,5","0,582",,,,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,,,,,,14 g,en quantité modérée,0.582 g,en faible quantité,0.18 g,en faible quantité,,+11%,+13%,+1001%,+275%,-2%,-76%,-76%,,,0,-100%,B,-100%,D,3.5 g,en quantité modérée,+11%,+4%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,
87,Candida baby,3533631139001,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Lactosérum en poudre,9006699004085,['France'],[],[],?,336,"0,9",71,11,"1,9","0,76",1406 kj(336 kcal),"0,9",71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Bacon fumé au bois de hêtre -  - 105g,35177331520112,['France'],"['Carré et filet de porc ', 'origine UE', 'sel dextrose de blé', 'sirop de glucose', 'antioxydant : ascorbate de sodium', 'conservateurs : nitrite de sodium et nitrate de potassium ', ' arômes naturels', 'épice', ' Fumé au bois de hêtre', ' Peut contenir des traces de lait', 'fruits à coque', 'oeuf et moutarde', ' Conservation :']","['Non végétalien', 'Non végétarien']",518,123,"3,4","0,5",23,"2,9","1,16",518 kj(123 kcal),"1,4","0,5",105 g,"['Plastique', 'Barquette', 'Opercule en plastique']",,"['Viandes', 'Porc', 'Bacon', 'Bacon fumé']",,,,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",,4,3.4 g,en quantité modérée,0.5 g,en faible quantité,2.9 g,en quantité élevée,-2%,-6%,-9%,-34%,-23%,+4%,+6%,+6%,['Fumé au bois de hêtre'],"['FR 57.032.001 CE', 'Ars-sur-Moselle (Moselle, France)']",12,+5%,D,+5%,,1.4 g,en faible quantité,-5%,-2%,,,,,,,,,,
90,Expresso - Nespresso,9636470274743,['France'],[],[],?,?,?,?,?,,,,,,,,['Nespresso'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Be Essential,8424264456601,['France'],[],[],?,385.57,"7,69","12,38","66,71","0,2","0,08",1613 kj(385 kcal),"0,48","5,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Strawberry,8606108536384,['France'],[],[],?,33,"0,2","8,4","0,1",,,138 kj(33 kcal),"0,1","8,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Jumbo Chocolettes Melk,8711715854650,['France'],[],[],?,457,"15,4","72,9",6,"0,8","0,32",1912 kj(457 kcal),"8,7","39,5",,,,,,,,,,,,,,,,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,
94,Classico grisdini artigianali,8050519240796,['France'],[],[],?,424,"7,7",76,11,"1,7","0,68",1774 kj(424 kcal),"1,2","2,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Liver support,8718836395659,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,La merenda dei bambinIGPera e yogurt,8001040199091,['France'],[],[],?,75,"1,1","15,1","1,1",,,314 kj(75 kcal),"0,7","10,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Pâté recette landaise,2691461022564,['France'],[],[],?,282,23,"2,2",17,"1,7","0,68",1180 kj(282 kcal),"8,8","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Le fagot charentais,2020000085829,['France'],[],[],?,237,18,"1,5",18,"0,34","0,136",992 kj(237 kcal),"6,5","1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Fourme d’Ambert,2225651017650,['France'],[],[],?,331,27,"1,1",21,"2,3","0,92",1385 kj(331 kcal),20,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 63.113.081 CE', 'Clermont-Ferrand (Puy-de-Dôme, France)']",,,,,,,,,,,,,,,,,,,
100,Torsades,3264963020995,['France'],[],[],?,358,"3,5",66,14,,,1498 kj(358 kcal),"0,9",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Mélange 5  baies,4027900193232,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Touron noisettes,8411938110020,['France'],[],[],?,449,14,0,"3,6",,,1879 kj(449 kcal),"1,1",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Pois chiches des monts d'Erchin,7421031932536,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Pois chiches']",,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,56.9%,0.0%,16.0%,22.6%,4.5%,0.0%,96,,,
104,Donut's,0200843030831,['France'],[],[],?,437,24,41,7,1,"0,4",1828 kj(437 kcal),15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Milk Chocolate Covered Blueberries,0612681217037,['France'],[],[],?,163,7,24,1,,,682 kj(163 kcal),4,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Jus de pomme,3250778012201,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme']",,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,
