,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,additives,allergens,nova_score,generic_name,quantity,packaging,manufacturing,traceability_code,markets,ingredients_origins,link,origin_detail,producer_info,palm_ingredients
112,Yop - Yoplait,3329770041707,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yoplait'],,,,,,,,,,,,,,
113,Yop Coco 850g Offre économique - Yoplait,3329770041714,['France'],"['Lait partiellement écrémé à base de poudre de lait - Sucre 6% - Sirop de glucose+fructose 3', '8% - Arôme naturel - Concentré des minéraux du lait - Ferments lactiques ', 'lait', "" Lait d'origine Frances""]",['Non végétalien'],?,72,301 kj(72 kcal),"1,3","0,9","11,3",11,"2,8","0,12","0,048",,['Boissons'],,1.3 g,en faible quantité,0.9 g,en quantité modérée,11 g,en quantité élevée,0.12 g,en faible quantité,,+29%,+25%,+275%,+663%,0%,+17%,+465%,+189%,+189%,18,+135%,E,+135%,,,,,,,,['Yoplait'],,['Lait'],4,,,,,,,,,,,
114,Yop Pêche Ananas Cerise 850g Format éco - Yoplait,3329770041721,['France'],[],[],?,71,297 kj(71 kcal),?,"1,3",?,"10,9","2,8","0,12","0,048",E,"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire']","['Lait Français', 'Sans colorants']",,,1.3 g,en quantité modérée,10.9 g,en quantité élevée,0.12 g,en faible quantité,,-1%,-2%,,+38%,,+2%,-3%,+13%,+13%,,,,,67.5%,13.2%,8.7%,6.1%,3.6%,1.0%,32,['Yoplait'],,,,,,['Bouteille'],['France'],"['FR 89.263.001 CE', 'Monéteau (Yonne, France)']",,,,,,
115,"P'tit Yop, Goût Vanille (Offre €co) - Yoplait - 720g (4x 180g)",3329770041844,['France'],"['Lait écrémé à base de poudre de lait - Sucre : 6 % - Sirop de glucose-fructose : 5,3 % - Crème - Arôme naturel de vanille et autres arômes naturels - Concentré des minéraux du lait - Ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",323,?,323 kj(77 kcal),"1,3","0,9","12,3",12,"2,8","0,11","0,044",D,"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Frais', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire', 'Yaourts aromatisés', 'Boissons avec sucre ajouté', 'Yaourts à boire goût vanille']","['Point Vert', 'Arômes naturels', 'Sans colorants', 'Sans conservateurs', 'Eco-Emballages', 'Info-Tri Point Vert', ""Se conserve jusqu'à 8 H hors du frigo""]",1.3 g,en faible quantité,0.9 g,en quantité modérée,12 g,en quantité élevée,0.11 g,en faible quantité,+8%,,+4%,-29%,-21%,+9%,+10%,-1%,+7%,+7%,18,+31%,E,+31%,58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,45,['Yoplait'],,['Lait'],4,Yaourt à boire sucré aromatisé,720 g (4 x 180 g),"['Frais', 'Etui carton - bouteille et bouchon plastique à recycler', 'Plastique 02 (PEHD)', 'Film plastique']","[""Yoplait France (Filiale General Mills/Sodiaal International) - 49 Route d'Auxerre - 89470 Monéteau"", 'Yonne', 'Bourgogne', 'France']","['FR 89.263.001 CE', 'Monéteau (Yonne, France)']",['Banque alimentaire'],,http://www.yoplait.fr/nos_produits/Ptit-Yop/url/Ptit_Yop,,,
116,"Perle De Lait Nature X8, - Yoplait",3329770041912,['France'],[],[],?,478,2000 kj(478 kcal),?,"6,2",?,"2,8","3,2","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yoplait'],,,,,,,,,,,,,,
117,Perle De Lait saveur Vanille - Yoplait - 1kg (8 * 125g),3329770041929,['France'],"['Lait écrémé - Crème - Sucre 9', ""5 % - Eau -Amidon transformé de riz et de manioc • Poudre de lait écrémé - Arômes - Correcteurs d'acidité : Acide citrique"", 'citrates de sodium - Gousses de vanille épuisées - Colorant : Caroténoïdes • Ferments lactiques', ' Décor : écorces de vanille']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",533,?,533 kj(127 kcal),"7,4",5,"12,7","11,2","2,5","0,11","0,044",,"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Desserts lactés à la vanille']","['en:gluten-free', 'Point Vert', 'en:lait-francais-french-milk']",7.4 g,en quantité modérée,5 g,en quantité modérée,11.2 g,en quantité modérée,0.11 g,en faible quantité,-4%,,-7%,+48%,+58%,-29%,-26%,-23%,-17%,-17%,6,+3%,C,+3%,,,,,,,,['Yoplait'],"['E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E331 - Citrates de sodium', 'E160 - Caroténoïdes']",['Lait'],4,,1 kg (8 * 125 g),"['Frais', 'Carton', 'Plastique']",['France'],"['FR 72.181.001 CE', 'Mans (Sarthe, France)']",,['France'],,,,
118,Perle de Lait Nature (8 pots) - Offre Découverte - 1kg [2x (4x 125g)],3329770043800,['France'],[],[],500,?,500 kj(120 kcal),"9,9","6,6","3,7","2,7","3,1","0,12","0,048",,"['Produits laitiers', 'Desserts', 'Frais', 'Desserts lactés', 'Desserts lactés natures']","['Point Vert', 'Eco-Emballages']",9.9 g,en quantité modérée,6.6 g,en quantité élevée,2.7 g,en faible quantité,0.12 g,en faible quantité,-10%,,-9%,+85%,+96%,-75%,-78%,-33%,-10%,-10%,6,+40%,C,+40%,,,,,,,,"['Perle de Lait', 'Yoplait']",,,,Spécialité laitière nature,1 kg [2 x (4 x 125 g)],"['Frais', 'Pot', 'Plastique', 'Opercule', 'Etui', 'Carton']",,,,,http://www.yoplait.fr/nos_produits/Perle-de-Lait,,,
119,"Câlin +, x8 - Yoplait",3329770043862,['France'],[],[],?,94,393 kj(94 kcal),"2,8","1,9","12,6","12,2","3,3","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yoplait'],,,,,,,,,,,,,,
120,"Yaourt sucré, aromatisé, enrichi en calcium et en vitamine D. - Yoplait - 1000g",3329770043879,['France'],"['Yaourt ', 'LAIT écrémé à base de poudre de LAIT - LAIT écrémé - CREME - Poudre de LAIT écrémé - Ferments LACTIQUES ', 'LAIT', ' - Sucre 9% - Eau - Citrate de calcium - Amidon transformé de maïs - Arômes - Gousses de vanille épuisées - Epaississant : Gomme xanthane - Colorant : Caroténoïdes - Vitamine D', "" LAIT d'origine France"", ""- LAIT D'ORIGINE FRANCE""]","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",397,94,397 kj(94 kcal),"2,8","1,9","12,6","12,2","3,3","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Yoplait', 'Calin +']","['E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E160 - Caroténoïdes']",['Lait'],4,"Yaourt sucré, aromatisé, enrichi en calcium et en vitamine D.",1000 g,,,,,,,,,
121,"Fromage Frais Calin Yoplait, 3,9%MG",3329770044142,['France'],[],[],?,78,326 kj(78 kcal),"3,2","2,2","5,4","1,48","6,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yoplait'],,,,,,,,,,,,,,
122,YOP AROMATISE FRAMBOISE 850Gx1 - Yoplait,3329770044234,['France'],"['Lait partiellement écrémé à base de poudre de lait - Sucre 6% - Sirop de glucose fructose 3,8% - concentre des minéraux du lait - ferments lactiques ', 'lait']",['Non végétalien'],?,72,301 kj(72 kcal),"1,3","0,9","11,2","10,9","2,8","0,12","0,048",D,"['Produits laitiers', 'Laits']",,1.3 g,en faible quantité,0.9 g,en faible quantité,10.9 g,en quantité modérée,0.12 g,en faible quantité,,+9%,+10%,-37%,-24%,+86%,+101%,-21%,-3%,-3%,1,+74%,B,+74%,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,['Yoplait'],,['Lait'],4,,,,,,,,,,,
123,YOP AROMATISE VANILLE 850Gx1 - Yoplait,3329770044241,['France'],[],[],?,72,301 kj(72 kcal),?,"0,9",?,"10,9","2,8","0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yoplait'],,,,,,,,,,,,,,
124,"Yop, Parfum Coco (Offre Découverte) - Yoplait - 850g",3329770044289,['France'],[],[],?,?,,?,,?,,?,,,D,"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire', 'Yaourts aromatisés', 'Yaourts à boire coco']","['Arômes naturels', 'Sans colorants']",,,,,,,,,,,,,,,,,,,,,,,58.5%,18.6%,8.7%,7.9%,5.0%,1.4%,45,"['Yoplait', 'Yop']",,,,Yaourt à boire sucré aromatisé,850 g,"['Bouteille', 'Bouchon', 'Plastique']",,,,,http://www.yoplait.fr/nos_produits/Yop,,,
125,"Yaourt ? Boire Yoplait Yop, Chocolat 850g Offre D?couverte",3329770044302,['France'],"['Lait écrémé - Sucre 4% - Sirop de glucose-fructose 4% - Crème - Cacao 2', '2% - Poudre de lait écrémé - Chocolat 1', '8% ', 'Pâte de cacao', 'Sucre', 'Arômes', 'Emulsifiant: Lécithine de soja', "" - Amidon transformé de mais - Correcteur d'acidité : Carbonates de sodium"", "" Lait d'origine France""]","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,94,393 kj(94 kcal),"2,2","1,4",14,"12,6",4,"0,21","0,084",,"['Boissons', 'Boissons avec sucre ajouté']",,2.2 g,en quantité modérée,1.4 g,en quantité modérée,12.6 g,en quantité élevée,0.21 g,en quantité modérée,,+11%,+6%,+487%,+743%,-29%,-31%,+642%,+461%,+461%,20,+68%,E,+68%,,,,,,,,['Yoplait'],"['E322i - Lécithine', 'E14XX - Amidons modifiés', 'E500 - Carbonates de sodium']",['Lait'],4,,,,,,,,,,,
126,Spé.laitière 0%MG 0%sucres FRTS Rges Panier Double 0%,3329770044418,['France'],[],[],?,43,180 kj(43 kcal),"0,1","0,05","4,8","4,5","4,1","0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Panier de Yoplait - 6,3329770044456,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yoplait'],,,,,6,,,,,,,,,
128,Panier de Yoplait - Fruits exotiques,3329770044524,['France'],"['Yaourt ', 'Lait écrémé à base de poudre de lait - Lait écrémé - Crème - Poudre de lait écrémé - Ferments lactiques', ' - Fruits : Ananas 10', '6% ou Mangue 10', '5% ou Noix de coco préparée 4', '1 % ', 'Lait de coco', 'Noix de coco râpée', ' - Sucre 8', ""8% - Eau - Jus de carotte - Lait entier concentré - Amidon transformé de maïs - Jus de potiron - Epaississant : Carraghénanes - Correcteurs d'acidité : Acide citrique"", 'Citrates de sodium ', 'Citrates de potassium - Arômes naturels', "" Lait d'origine France"", ' Sans gluten', ' *Sans colorant : la couleur est apportée par des jus de fruits ou de légumes']",['Non végétalien'],?,98,410 kj(98 kcal),"3,2","2,2","13,3","12,8","3,2","0,13","0,052",,,"['Sans gluten', 'Sans colorants']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yoplait'],"['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E331 - Citrates de sodium', 'E332 - Citrates de potassium']",['Lait'],4,,,,,,,,,,,
129,Yaourt 0% abricot ananas pêche et nectarine - Yoplait,3329770044531,['France'],"['SPÉCIALITÉ LAITIÈRE MAIGRE AUX FRUITS', 'AVEC ÉDULCORANTS INGRÉDIENTS', ' Lait écrémé à base de poudre de latt - Lah écrémé - Fruits : Pêche ou Ananas 1', '2% ou Abricot 10', '4% ou Nectarine ŒîVFüredelattécrémé-Jusdecaroffe-Jusde potiron-Gélotine-Amidon transformé de mais-Arômes-Epaississants: Pectine', ""Gomme de guar - Correcteurs d'acidité Acide citrique"", 'Citrates de sodium', 'Citrates de potassium', 'Citrates de calcium - Edulcorants ', ' Aspartame', 'Acesuifome K Ferments lactiques ', 'talt', ' Sans Gluten', "" Lait d'origine France"", ' Contient une source de phénylalanine', ' *Sans colorant : la couleur est apportée par des jus de fruits ou de légumes', ' MAGERE MELKSPECIALITEIT MET VRUCHTEN EN ZOETSTOFFEN meik op basis van melkpoeder - Afgeroomde melk - Vruchten: Perzlk of Ananas I of Abrikoos 10', ""4% Afgeroomde melkpoeder Wortelscp - Pompoensop - Getatine - Getransformeerd maiszetmeel • Aroma's - Verdikklngsmiddelgn: Pectine"", 'Guarpitmeel Zuufleregelaars: Cltroenzuur', 'Natrtumcitraten', 'Kaliumcitraten', 'Calciumcitraat - Zoetstoffen:']",['Non végétalien'],?,42,176 kj(42 kcal),"0,1","0,1","5,2","4,9",4,"0,15","0,06",,,"['Sans gluten', 'Contient une source de phénylalanine', 'Sans colorants']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yoplait'],"['E440 - Pectines', 'E412 - Gomme de guar', 'E331 - Citrates de sodium', 'E332 - Citrates de potassium', 'E333 - Citrates de calcium', 'E951 - Aspartame']",,4,,,,,,,,,,,
130,"Panier de Yoplait Cerise, Fraise, Framboise, Mûre - 750g (6 * 125g)",3329770044586,['France'],"['Yaourt - fruits : fraise 10', '8 % ou cerise griotte 10', '7 % ou mûre 10 % ou framboise 9', '4 % - sucre 8', '5 % - sirop de glucose-fructose 1', '4 % - amidon transformé de maïs - arômes - épaississants : gomme de guar', 'pectine', 'carraghénanes - colorants : anthocyanes', 'cochenille']","['Non végétalien', 'Non végétarien']",407,?,407 kj(97 kcal),"2,7","1,8","13,7","13,2","3,2","0,152","0,061",B,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Frais', 'Yaourts', 'Yaourts aux fruits', 'Yaourts sucrés', 'Yaourts multifruits']","['Point Vert', 'Nouvelle recette', 'Sans conservateurs']",2.7 g,en faible quantité,1.8 g,en quantité modérée,13.2 g,en quantité élevée,0.152 g,en faible quantité,+7%,,+3%,-3%,-2%,+6%,+7%,-10%,+25%,+25%,3,+19%,C,+19%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,"['Yoplait', 'Panier de Yoplait']","['E14XX - Amidons modifiés', 'E412 - Gomme de guar', 'E440 - Pectines', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E163 - Anthocyanes', 'E120 - Acide carminique']",['Lait'],4,"Yaourts sucrés aux fruits - Panier de Yoplait Cerise, Fraise, Framboise, Mûre",750 g (6 * 125 g),"['Frais', 'Pot plastique & opercule papier à jeter', 'Etui carton à recycler', 'Carton', 'Plastique']","['Yoplait France (Filiale Général Mills / Sodiaal) - 23 Rue des Grandes Courbes - 72100 Le Mans', 'Sarthe', 'Pays de la Loire', 'Yoplait France (Filiale Général Mills / Sodiaal) - Chemin des Mines - 38200 Vienne', 'Isère', 'Rhône-Alpes', 'France']","['FR 72.181.001 CE', 'Mans (Sarthe, France)', 'FR 38.544.004 CE', 'Vienne (Isère, France)']",['Dia'],,http://www.yoplait.fr/nos_produits/Panier,,,
131,Panier de Yoplait Fraises - 500g (4x 125g),3329770044609,['France'],"['Yaourt - fraise 10,8% - sucre 9% - amidon transformé de maïs - arômes - colorant : cochenille - épaississants : gomme de guar', 'carraghénanes']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",386,?,386 kj(92 kcal),"2,6","1,7","12,8","12,5","3,2","0,152","0,061",C,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Frais', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la fraise', 'Yaourts sucrés']","['Sans conservateurs', 'Fruits sélectionnés']",2.6 g,en faible quantité,1.7 g,en quantité modérée,12.5 g,en quantité modérée,0.152 g,en faible quantité,-3%,,-5%,-13%,-11%,-3%,+1%,-13%,+42%,+42%,3,+12%,C,+12%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,['Yoplait'],"['E14XX - Amidons modifiés', 'E120 - Acide carminique', 'E412 - Gomme de guar', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",['Lait'],4,Yaourts aux fruits,500 g (4 x 125 g),"['Frais', 'Pot', 'Plastique', 'Opercule']",,,,,http://www.yoplait.fr/nos_produits/Panier,,,
132,"Panier de Yoplait Cerise, Fruits rouges - 500g e (4 * 125g)",3329770044654,['France'],"['Yaourt ', 'Lait écrémé à base de poudre de lait - Lait écrémé - Crème - Poudre de lait écrémé et/ou protéines de lait - Ferment lactiques', ' - Fruits : Cerise Griotte 10', '7 % ou Fruits Rouges 9', '8 % ', 'Fraise 4', '4 %', 'Framboise 2', '7 %', 'Cassis 1', '7 % - Groseille 1 %', ' - Sucre : 8', '6 % - Amidon transformé de maïs - Sirop de glucose-fructose : 0', '3 % - Colorant : Anthocyanes - Epaississants : Pectine', 'Gomme de guar - Arômes - jus de Citron']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",393,?,393 kj(94 kcal),"2,6","1,7","13,1","12,7","3,2","0,152","0,061",C,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Réfrigérés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts sucrés', 'Yaourts multifruits']","['Point Vert', 'Nouvelle recette', 'Sans conservateurs']",2.6 g,en faible quantité,1.7 g,en quantité modérée,12.7 g,en quantité élevée,0.152 g,en faible quantité,+3%,,-0%,-6%,-8%,+2%,+3%,-10%,+25%,+25%,3,+19%,C,+19%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,"['Yoplait', 'Panier de Yoplait']","['E14XX - Amidons modifiés', 'E163 - Anthocyanes', 'E440 - Pectines', 'E412 - Gomme de guar']",['Lait'],4,"Yaourts sucrés aux fruits - Panier de Yoplait Cerise, Fruits rouges",500 g e (4 * 125 g),"['Frais', 'Pot', 'Plastique', 'Opercule', 'Etui', 'Carton']","['Yoplait France (Filiale Général Mills / Sodiaal) - 23 Rue des Grandes Courbes - 72100 Le Mans', 'Sarthe', 'Pays de la Loire', 'Yoplait France (Filiale Général Mills / Sodiaal) - Chemin des Mines - 38200 Vienne', 'Isère', 'Rhône-Alpes', 'France']","['FR 72.181.001 CE', 'Mans (Sarthe, France)', 'FR 38.544.004 CE', 'Vienne (Isère, France)']",['Leclerc'],,http://www.yoplait.fr/nos_produits/Panier,,,
133,Panier de yoplait x 16,3329770045064,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yoplait'],,,,,,,,,,,,,,
134,Panier de Yoplait (format économique) - 16 * 125g,3329770045088,['France'],"['Yaourt ', 'Lait écrémé à base de poudre de lait - Lait écrémé - Crème - Poudre de lait écrémé - Ferments lactiques', ' - Fruits : Pêche 11', '2% ou Abricot 11% ou Fraise 10', '8% ou Cerise Griotte 10', '7% ou Ananas 10', '6% ou Mûre 10% - Sucre 9', '1% - Jus de carotte - Amidon transformé de maïs - Jus de potiron - Sirop de glucose-fructose : 0,1% - Epaississants : Pectine', 'Gomme de guar', 'Carraghénanes - Jus de raisin - Arômes']",['Non végétalien'],401,?,401 kj(96 kcal),"2,6","1,7","13,6","13,2","3,2","0,14","0,056",C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts sucrés']","['Fabriqué en France', 'Sans colorants', 'Sans conservateurs']",2.6 g,en faible quantité,1.7 g,en quantité modérée,13.2 g,en quantité élevée,0.14 g,en faible quantité,-0%,,-1%,-16%,-15%,+5%,+7%,-10%,+23%,+23%,3,+3%,C,+3%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,['Yoplait'],"['E14XX - Amidons modifiés', 'E440 - Pectines', 'E412 - Gomme de guar', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",['Lait'],4,"Yaourt sucré, aux fruits",16 * 125 g,"['Carton', 'Plastique']",['France'],"['FR 72.181.001 CE', 'Mans (Sarthe, France)', 'FR 38.544.004 CE', 'Vienne (Isère, France)']",['Carrefour'],,,,,
135,Panier de Yoplait aux bon fruits (0% mat gras. - 0% suc. ajout) - 16,3329770045156,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yoplait'],,,,,16,,,,,,,,,
136,"Mini Yop, Parfum Fraise - Yoplait - 800g (8x 100g)",3329770045620,['France'],"['Lait écrémé à base de poudre de lait', 'sucre : 6 %', 'sirop de glucose-fructose : 5,3 %', 'crème', 'poudre de lait écrémé', 'arômes', 'concentré des minéraux du lait', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",322,?,322 kj(77 kcal),"1,3","0,9","12,3","12,1","2,8","0,127","0,051",E,"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire', 'Yaourts à boire goût fraise', 'Boissons avec sucre ajouté']","['Peu ou pas de matière grasse', 'Peu de matière grasse', 'Nouveau', 'Sans colorants', 'Sans conservateurs', 'Calcium', 'Protéines du lait', ""Se conserve jusqu'à 8 H hors du frigo""]",1.3 g,en faible quantité,0.9 g,en quantité modérée,12.1 g,en quantité élevée,0.127 g,en faible quantité,+5%,,+6%,-10%,-4%,+6%,+7%,-1%,+23%,+23%,19,+22%,E,+22%,67.5%,13.2%,8.7%,6.1%,3.6%,1.0%,32,['Yoplait'],,['Lait'],4,Yaourt à boire sucré aromatisé,800 g (8 x 100 g),"['Bouteille', 'Bouchon', 'Plastique', 'Etui', 'Carton']","[""Yoplait France (Filiale General Mills/Sodiaal International) - 49 Route d'Auxerre - 89470 Monéteau"", 'Yonne', 'Bourgogne', 'France']","['FR 89.263.001 CE', 'Monéteau (Yonne, France)']",,,http://www.yoplait.fr/nos_produits/Mini-Yop/url/Mini_Yop,,,
137,Perle de lait,3329770046467,['France'],[],[],?,122,510 kj(122 kcal),"9,9","6,6","3,8","2,8","3,1","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Perle de Lait'],,,,,,,,,,,,,,
138,DESSERT PETITS FILOUS CHOCO 60GX12 - Yoplait,3329770046726,['France'],[],[],?,146,611 kj(146 kcal),5,"3,3","19,9","18,6","4,9","0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yoplait'],,,,,,,,,,,,,,
139,"Panier de Yoplait L'Original - 1,5kg (12x125g)",3329770047662,['France'],"['Yaourt ', 'Lait écrémé à base de poudre de lait - Lait écrémé - Crème - Poudre de lait écrémé - Ferments lactiques', ' - Fruits : Pêche 11', '3% ou Abricot 11', '1% ou Fraise 10', '8% ou Cerise 10', ""7% ou Mûre 10% - Sucre 9% - Jus de carotte - Amidon transformé de maïs - Epaississant: Carraghénanes - Correcteurs d'acidité : Citrates de potassium"", 'Citrates de sodium', 'Acide citrique - Arômes naturels - Jus de potiron']",['Non végétalien'],?,94,393 kj(94 kcal),"2,6","1,7","13,2","12,8","3,2","0,13","0,052",C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts au lait de vache']","['en:gluten-free', 'Sans colorants']",2.6 g,en faible quantité,1.7 g,en quantité modérée,12.8 g,en quantité élevée,0.13 g,en faible quantité,,-1%,-1%,-25%,-22%,+18%,+23%,-12%,+13%,+13%,3,+18%,C,+18%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,['Yoplait'],"['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E332 - Citrates de potassium', 'E331 - Citrates de sodium', 'E330 - Acide citrique']",['Lait'],4,,"1,5 kg (12x125g)",,,"['FR 72.181.001 CE', 'Mans (Sarthe, France)', 'FR 38.544.004 CE', 'Vienne (Isère, France)']",,,,,,
140,PANIER 0% MG FRUITS PANACHES 125Gx12 - Yoplait,3329770047679,['France'],"['Lait écrémé à base de poudre de lait - Lait écrémé - Fruits : Fraise 149< ou Poire 12', '2% ou Pêche ou Cerise Griotte ou Nectarine 10', '4% ou Mûre Poudre de lait écrémé - Jus de carotte - Gélatine - Amidon transformé de maïs - Jus dc potiron - Jus de raisin - Arômes - Epaississants : Pectine', ""Gomme de guar Carraghénanes - Correcteurs d'acidité : Acide citrique"", 'Citrates de sodium', 'Citrates df calcium - Edulcorants : Aspartame', 'Acesulfame K - Ferments lactiques ', 'lait', ' Sans Gluten']","['Non végétalien', 'Non végétarien']",?,52,218 kj(52 kcal),"0,1","0,1","6,5",6,5,"0,22","0,088",,,"['Sans gluten', 'Contient une source de phénylalanine', 'Sans colorants']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yoplait'],"['E428 - Gélatine', 'E14XX - Amidons modifiés', 'E440 - Pectines', 'E412 - Gomme de guar', 'E330 - Acide citrique', 'E331 - Citrates de sodium', 'E951 - Aspartame', 'E950 - Acésulfame K']",['Lait'],4,,,,,,,,,,,
141,Petits Filous - Yoplait - 480g,3329770047778,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yoplait'],,,,,480g,,,,,,,,,
142,"Yop, Parfum Ananas-Pêche-Céréales - Yoplait - 850g",3329770047990,['France'],"['Lait écrémé à base de poudre de lait - sucre : 6 % - sirop de glucose-fructose ', 'Danger', 'renseignez-vous', ' : 5,3 % - crème - arôme naturel - concentré des minéraux du lait - ferments lactiques']",['Non végétalien'],323,?,323 kj(77 kcal),"1,3","0,9","12,3",12,"2,8","0,11","0,044",E,"['Boissons', 'Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Boissons lactées', 'Boissons fermentées', 'Boissons lactées fermentées', 'Yaourts', 'Yaourts à boire', 'Boissons avec sucre ajouté']","['Point Vert', 'Arômes naturels', 'Nouvelle recette', 'Sans colorants', 'Eco-Emballages']",1.3 g,en faible quantité,0.9 g,en quantité modérée,12 g,en quantité élevée,0.11 g,en faible quantité,+6%,,+6%,-14%,-5%,+9%,+12%,-3%,+4%,+4%,18,+12%,E,+12%,67.5%,13.2%,8.7%,6.1%,3.6%,1.0%,32,"['Yoplait', 'Yop']",,['Lait'],4,Yaourt à boire sucré aromatisé,850 g,"['Bouteille', 'Bouchon', 'Plastique']","[""Yoplait France (Filiale General Mills/Sodiaal International) - 49 Route d'Auxerre - 89470 Monéteau"", 'Yonne', 'Bourgogne', 'France']","['FR 89.263.001 CE', 'Monéteau (Yonne, France)']",['Franprix'],,http://www.yoplait.fr/nos_produits/Yop,,,
