,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,additives,allergens,nova_score,generic_name,quantity,packaging,manufacturing,traceability_code,markets,ingredients_origins,link,origin_detail,producer_info,palm_ingredients
10,Terrine bourguignonne aux Pleurotes - Terrines du Morvan - 180g,3329260205251,['France'],"['Viande et foie de porc 67% ', 'origine France', ' - Gras de porc 15', '8% ', 'origine France', ' - Pleurotes 6% - Œufs - Oignons - Sel - Échalotes - Persil - Épices et plantes aromatiques - Ail Arômes naturels - Poivre noir']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",1209,292,1209 kj(292 kcal),"24,4","8,6","3,9","0,5","14,1","1,6","0,64",,"['Produits à la viande', 'Terrines', 'Terrines de porc']",,24.4 g,en quantité élevée,8.6 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,-6%,-5%,-5%,-8%,-12%,+95%,-21%,-3%,+4%,+4%,18,-3%,D,-3%,,,,,,,,['Terrines du Morvan'],,['Œufs'],3,Terrine bourguignonne aux Pleurotes,180 g,"['Bocal', 'Verre']","['France', 'Bourgogne', 'F-58370 ONLAY']","['FR 58.199.001 CE', 'Onlay (Nièvre, France)']",['Bi1'],,,,,
11,Terrine morvandelle au marc de bourgogne,3329260205275,['France'],[],[],?,272,1138 kj(272 kcal),"22,6","7,9","0,7","0,4","16,5","1,6","0,64",,['Terrines'],"['Sans colorants', 'Sans conservateurs']",22.6 g,en quantité élevée,7.9 g,en quantité élevée,0.4 g,en faible quantité,1.6 g,en quantité élevée,,-10%,-9%,-12%,-17%,-68%,-49%,+18%,+5%,+5%,17,-4%,D,-4%,,,,,,,,,,,,,,,,,,,,,,
12,Terrine de sanglier au marc de bourgogne,3329260205299,['France'],[],[],?,289,1209 kj(289 kcal),"24,5","9,1","1,6","0,4","15,6","1,8","0,72",,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de sanglier']",,24.5 g,en quantité élevée,9.1 g,en quantité élevée,0.4 g,en faible quantité,1.8 g,en quantité élevée,,-6%,-6%,-9%,-8%,-23%,-35%,+11%,+14%,+14%,19,+5%,E,+5%,,,,,,,,,,,,,,,,,,,,,,
13,Terrine de lapin,3329260205329,['France'],[],[],?,259,1084 kj(259 kcal),"21,3","7,7","0,4",0,"16,4","1,7","0,68",D,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de lapin']",,21.3 g,en quantité élevée,7.7 g,en quantité élevée,0 g,en faible quantité,1.7 g,en quantité élevée,,-6%,-6%,-6%,-9%,-76%,-100%,+6%,+13%,+13%,17,+1%,D,+1%,77.1%,15.8%,3.3%,2.4%,1.1%,0.3%,38,,,,,,,,,,,,,,,
14,Terrine de volailles au poivre vert - Terrines Du Morvan,3329260205398,['France'],"['Viande de porc - Viande de volailles 25', '5%', 'dindonneau 17% - canard 8,5%', ' - Foie de volailles - Oeufs - Lait ', 'dont lactose', '- Sel - Poivre blanc - Dextrose - Epices-Sauge - Arômes naturels']","['Non végétalien', 'Non végétarien']",?,286,1197 kj(286 kcal),"25,1","8,8","0,3","0,3","14,9","1,67","0,668",,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles']","['Sans colorants', 'Sans conservateurs']",25.1 g,en quantité élevée,8.8 g,en quantité élevée,0.3 g,en faible quantité,1.67 g,en quantité élevée,,-6%,-5%,-3%,-6%,-83%,-54%,+4%,+8%,+8%,18,+2%,D,+2%,,,,,,,,['Terrines Du Morvan'],,"['Œufs', 'Lait']",4,,,,,"['FR 58.199.001 CE', 'Onlay (Nièvre, France)']",,,,,,
15,Terrine campagnarde au comté,3329260205442,['France'],[],[],?,291,1218 kj(291 kcal),"23,9","9,4","1,4","0,5","17,5",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Terrine,3329260205503,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,,['Sans conservateurs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['stück'],,,,,,,,
17,Véritable terrine du Morvan aux châtaignes,3329260205527,['France'],[],[],?,266,1113 kj(266 kcal),"21,3",8,"3,7",1,"14,8","1,66","0,664",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Terrine de Campagne au vin de Savoie,3329260205602,['France'],[],[],?,306,1280 kj(306 kcal),"26,9","9,6","0,7","0,7","15,2","1,6","0,64",,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de campagne']",['Sans colorants'],26.9 g,en quantité élevée,9.6 g,en quantité élevée,0.7 g,en faible quantité,1.6 g,en quantité élevée,,-5%,-5%,-5%,-11%,-69%,-19%,+9%,0%,0%,19,-2%,E,-2%,,,,,,,,,,,,,,,,,,,,,,
19,Jambonneau - Terrines Morvan,3329260206029,['France'],"['Jarret de porc 71% ', 'viande de jarret de porc', 'eau', 'sel', '29% ', 'eau', 'gélatine ', 'sulfites', 'colorant : caramel', 'poivre et nutritionnelles moyennes pour 100g']","['Non végétalien', 'Non végétarien']",?,156,653 kj(156 kcal),"7,8","2,7","0,1","0,1","21,4","1,34","0,536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Terrines Morvan'],"['E428 - Gélatine', 'E150 - Caramel']",['Anhydride sulfureux et sulfites'],4,,,,,,,,,,,
