,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,brand,ingredients_origins,manufacturing,traceability_code,additives,nova_score,link,markets,allergens,generic_name,brand_owner,producer_info,palm_ingredients
838,Mélange de bonbons goût fraise - Boni,5400141193503,,,"['Belgique', 'France']",[],[],,,,,,,,,?,,348,,1456 kj(348 kcal),,"0,9",,"0,5",,83,,56,,"1,6",,"0,25",,"0,1",,,,,,,,,,,,,,,,['Boni'],,,,,,,['Colruyt'],,,,,
839,Petit parapluie en chocolat au lait,3120470093399,,,['France'],[],[],,,,,,,,,?,,489,,2046 kj(489 kcal),,32,,20,,58,,57,,"4,5",,"0,18",,"0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,"Cashew nötter havssalt, Smiling - 125g",7350071470060,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']","['France', 'Suède']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,125 g,['Nötter och frön'],,,,,,,,,,,,,
841,Arachide sucrées,3700056710355,,,['France'],[],[],,,,,,,,,?,,517,,2163 kj(517 kcal),,26,,3,,57,,43,,15,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,Pumpkin and sunflower seeds,9415142008899,,,['France'],[],[],,,,,,,,,?,,287,,1201 kj(287 kcal),,"4,5",,"0,6",,"49,9",,"3,6",,"9,4",,"0,451",,"0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,Multigrain toast sliced bread,9415127006674,,,['France'],[],[],,,,,,,,,?,,246,,1029 kj(246 kcal),,"2,2",,"0,4",,"44,8",,3,,"9,4",,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,Protein water,8718836394003,,,['France'],[],[],,,,,,,,,?,,17,,71 kj(17 kcal),,0,,0,,0,,0,,4,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,04167739,04167739,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,Bialetti noir gusto,8006363011402,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Bialetti'],,,,,,,,,,,,
847,Celestial Herb Tea Sampler -,0070734517822,,,"['Belgique', 'France']",[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,['Delhaize'],,,,,
848,Green bean cake,4712302399046,,,['France'],[],[],,,,,,,,,?,,492,,2059 kj(492 kcal),,"26,1",,"4,4",,53,,"6,666",,"9,999",,"0,033",,"0,013",,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,Sans-viande haché jardinière,0060822400051,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,160,,669 kj(160 kcal),,3,,"0,4",,18,,2,,16,,"0,5",,"0,2",,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,
850,Mate Coca,7771802000088,,,['France'],[],[],,,,,,,,,?,,373,,1561 kj(373 kcal),,"2,73",,0,,"71,47",,35,,"15,73",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,Gingembre en pulpe,2336585083984,,,['France'],[],[],,,,,,,,,?,,67,,280 kj(67 kcal),,"0,9",,"0,2",,"12,2",,"1,4",,"1,4",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,Sel des Corbiéres,3760026487588,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,Pur jus Douceur d'agrumes - U,3256226084318,,,['France'],[],[],,,,,,,,,?,,46,,192 kj(46 kcal),,"0,5",,"0,1",,11,,11,,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,['Bio'],,,['U'],,,,,,,,,,,,
854,Oreo Fraise,8801037088243,,,['France'],[],[],,,,,,,,,?,,490,,2050 kj(490 kcal),,70,,38,,22,,13,,4,,4,,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,Praliné creme de caramelo - Candycat - 150g,5605276111266,,,['France'],[],[],,,,,,,,,?,,544,,2276 kj(544 kcal),,31,,16,,61,,60,,"4,2",,"0,2",,"0,08",,,,,,,,,,,,,,150 g,,['Candycat'],,,,,,,,,,,,
856,Maxim's De Paris Maxim's Sandbutterkekse Krokant Mit,3391860003322,,,['France'],[],[],,,,,,,,,?,,522,,2184 kj(522 kcal),,"30,2",,"2,5",,54,,"49,1",,"6,7",,"0,01",,"0,004",,,,,,,,,,,,,,,,"[""Maxim's""]",,,,,,,,,,,,
857,Chips Ahoy! Thins Double Chocolate,0044000050108,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']","['France', 'États-Unis']","['Unbleached enriched flour ', 'wheat flour', 'niacin', 'reduced iron', 'thiamine mononitrate {vitamin b1}', 'riboflavin {vitamin b2}', 'folic acid', 'semisweet chocolate chips ', 'sugar', 'chocolate', 'cocoa butter', 'dextrose', 'milk', 'soy lecithin', 'salt', 'vanilla extract', 'sugar', 'canola oil', 'palm oil', 'cocoa ', 'processed with alkali', 'invert sugar', 'salt', 'soy lecithin', 'baking soda', 'artificial flavor', 'natural flavor']","['Huile de palme', 'Non végétalien']",20 g,en quantité modérée,8.33 g,en quantité élevée,43.3 g,en quantité élevée,0.458 g,en quantité modérée,?,,467,-1%,1954 kj(467 kcal),-2%,20,-4%,"8,33",-18%,70,+9%,"43,33",+47%,"3,33",-49%,"0,458",-22%,"0,183",-22%,21,+6%,E,+6%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,"['E322i - Lécithine', 'E500ii - Carbonate acide de sodium']",4,,,"['Gluten', 'Lait', 'Soja']",,Mondelez Int. US (0074819091009),,
858,Coffee trio favourites - Marks & Spencer,00984539,,,['France'],[],[],,,,,,,,,?,,558,,2335 kj(558 kcal),,"37,9",,"26,1",,"48,1",,"42,1",,"5,2",,"0,13",,"0,052",,,,,,,,,,,,,,,,['Marks & Spencer'],,,,,,,,,,,,
