,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,quantity,packaging,brand,ingredients_origins,manufacturing,traceability_code,additives,nova_score,link,markets,allergens,generic_name,brand_owner,producer_info,palm_ingredients
0,Petit cake aux fruits,3277735225856,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Cakes aux fruits']",['France'],[],[],19 g,en quantité modérée,11 g,en quantité élevée,30 g,en quantité élevée,0.4 g,en quantité modérée,?,,472,+22%,1975 kj(472 kcal),+21%,19,+23%,11,+149%,54,-4%,30,-10%,"5,1",+5%,"0,4",-32%,"0,16",-32%,22,+32%,E,+32%,76.8%,12.1%,5.7%,2.8%,2.6%,0.0%,65,,,,,,,,,,,,,,,,
1,Gourmandises Griottes,3760133677049,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,
2,Cappucino,8003938007556,,,['France'],[],[],,,,,,,,,?,,239,,1000 kj(239 kcal),,"9,6",,"7,3",,30,,21,,"4,5",,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Galettes fines de Bretagne,3760133673195,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Cuisse de dinde,2245036003634,,,['France'],[],[],,,,,,,,,?,,15,,63 kj(15 kcal),,"8,5",,"2,5",,"0,5",,"0,5",,19,,"0,262",,"0,105",,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Poire au cumin - L'Affineur Du Chef - 125g,3245310069089,,['Préparations'],['France'],"['poire', 'cumin en poudre', 'gélifiant', 'acide citrique', 'sucre de canne', 'pectine de fruit', 'acidifiant']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.2 g,en faible quantité,0 g,en faible quantité,47 g,en quantité élevée,0 g,en faible quantité,?,,199,,833 kj(199 kcal),,"0,2",,0,,48,,47,,"0,3",,0,,0,,11,,D,,,,,,,,,,125g,"['Pot', 'verre']","[""L'Affineur Du Chef""]",['France'],['France'],['133056'],"['E330 - Acide citrique', 'E440 - Pectines']",4,,,,,,,
6,Grains de sarrasins soufflés BIO - Selex,8003100896193,,,['France'],[],[],,,,,,,,,?,,371,,1552 kj(371 kcal),,"1,8",,"0,6",,77,,0,,"9,9",,"0,03",,"0,012",,,,,,,,,,,,,"['Bio', 'Bio européen', 'IT-BIO-009']",,,['Selex'],,,,,,,,,,,,
7,Baobab guarana citron - Matahi - 33cl,15203700,,"['Boissons', 'Boissons énergisantes']",['France'],"['45% pulpe de fruit de baobab bio rehydratée ', 'eau', ""pulpe de fruit sec de baobab' 2%"", 'jus de raisin issu de concentré', ""jus d'orange issu de concentré"", ""jus de citron' 1,5% jus de citron issu de concentré"", 'extrait naturel de baie de guarana ', '0,020%', 'arôme naturel de menthe']",[],0 g,en faible quantité,0 g,en faible quantité,7.9 g,en quantité élevée,0 g,en faible quantité,?,,35,-3%,146 kj(35 kcal),-2%,0,-100%,0,-100%,"8,1",+1%,"7,9",+9%,0,-100%,0,-100%,0,-100%,11,+2%,E,+2%,,,,,,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'AB Agriculture Biologique']",33 cl,,['Matahi'],['Afrique'],['France'],,,4,https://www.matahijuice.com/superfruit-boost-baobab-guarana-citron/,['Nature et découverte'],,,,,
8,Galette frangipane sans alcool,0202670041332,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",['France'],[],[],30 g,en quantité élevée,17 g,en quantité élevée,8.4 g,en quantité modérée,0.61 g,en quantité modérée,?,,430,+2%,1799 kj(430 kcal),+2%,30,+14%,17,+15%,32,-17%,"8,4",-35%,7,+10%,"0,61",-12%,"0,244",-12%,18,-6%,D,-6%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,,,,,,,
9,Nougat - Le Roy René,3102621001521,,,['France'],[],[],,,,,,,,,?,,494,,2067 kj(494 kcal),,25,,"2,5",,57,,50,,9,,"0,05",,"0,02",,,,,,,,,,,,,,,,['Le Roy René'],,,,,,,,,,,,
10,Famille Mary,3760115091818,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],,,['Famille Mary'],,,,,,,,,,,,
11,Galette frangipane 6p pur beurre,0204425013052,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,,,,,,,
12,Milkinis - Milka,2099901326751,,,['France'],[],[],,,,,,,,,?,,580,,2427 kj(580 kcal),,"38,5",,"21,5",,"52,5",,52,,"5,1",,"0,45",,"0,18",,,,,,,,,,,,,,,,['Milka'],,,,,,,,,,,,
13,Pain pavé céréal bio,2629436012463,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,
14,Tortitas de arroz con chocolate,8437012886162,,,['France'],[],[],,,,,,,,,?,,498,,2084 kj(498 kcal),,"24,5",,"14,7",,61,,"29,6",,7,,"0,23",,"0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Baguette de Tradition,3598520000169,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Baguettes', 'Pains de tradition française', 'Baguettes de tradition française']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.8%,27.9%,16.1%,8.1%,1.1%,0.0%,95,,,,,,,,,,,,,,,,
16,Caramel And Sea Salt Butter Fudge - 200g,5027675513685,,,['France'],[],[],,,,,,,,,?,,451,,1887 kj(451 kcal),,"16,3",,"10,1",,"74,9",,"70,3",,1,,"0,8",,"0,32",,,,,,,,,,,,,,200 g,,,,,,,,,,,,,,
17,Grand qt Nicolas chocolat lait,0200429000005,,,['France'],[],[],,,,,,,,,?,,545,,2280 kj(545 kcal),,"20,5",,"20,5",,54,,"53,1",,"7,1",,"0,21",,"0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Chocolat - Bonnet chocolatier - 1KG,3760193031805,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,1KG,,['Bonnet chocolatier'],,,,,,,,,,,,
19,Galette Frangipane,0207556038703,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",['France'],[],[],29 g,en quantité élevée,16 g,en quantité élevée,9.6 g,en quantité modérée,0.58 g,en quantité modérée,?,,414,-2%,1732 kj(414 kcal),-2%,29,+10%,16,+8%,31,-20%,"9,6",-26%,"6,7",+6%,"0,58",-17%,"0,232",-17%,19,-1%,E,-1%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,,,,,,,
20,Champignon - 225g,0186569071146,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Champignons et produits dérivés', 'Aliments à base de plantes frais', 'Champignons']",['France'],[],[],21.4 g,en quantité élevée,9.4 g,en quantité élevée,1.9 g,en faible quantité,1.2 g,en quantité modérée,?,,238,+480%,996 kj(238 kcal),+526%,"21,4",+2637%,"9,4",+5739%,"5,6",+186%,"1,9",+265%,"4,9",+81%,"1,2",+132%,"0,48",+132%,8,,C,,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,,225 g,,,,,,,,,,,,,,
21,12 Crepes au froment Delices Bigoudens,3494290000029,B,"['Crêpes et galettes', 'Crêpes', 'Crêpes de froment']",['France'],[],[],8.3 g,en quantité modérée,4.6 g,en quantité modérée,26 g,en quantité élevée,1 g,en quantité modérée,?,,378,+30%,1582 kj(378 kcal),+30%,"8,3",+7%,"4,6",+58%,65,+39%,26,+27%,"9,7",+27%,1,+27%,"0,4",+27%,17,+62%,D,+62%,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,,,,,,,,,,,,,,,,
22,Fourrés liqueur,3271580808394,,,['France'],[],[],,,,,,,,,?,,380,,1590 kj(380 kcal),,0,,0,,79,,51,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Beurre de crevette,3200740900029,,,['France'],[],[],,,,,,,,,?,,241,,1008 kj(241 kcal),,19,,12,,9,,"1,8",,"9,4",,"0,87",,"0,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Délice de chèvre aux tomates séchées,3760177500655,,"['Produits à tartiner', 'Produits à tartiner salés', 'en:Dried tomatoes spreads', 'en:Tomato spreads']",['France'],[],[],16 g,en quantité modérée,4.5 g,en quantité modérée,3.4 g,en faible quantité,1.7 g,en quantité élevée,?,,187,-37%,782 kj(187 kcal),-36%,16,-39%,"4,5",-42%,"4,2",+20%,"3,4",+168%,"6,7",-23%,"1,7",+29%,"0,68",+29%,13,+4%,D,+4%,,,,,,,,,,,,,,,,,,,,,,,
25,Thé vert nature,3229899182520,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Gingembre moulu Déshydraté,3564700536056,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Gingembre', 'Gingembre en poudre', 'en:Gingembre moulu']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,37.8%,0.0%,31.7%,20.0%,10.4%,0.0%,93,,,,,,,,,,,,,,,,
27,Haute cuisse de poulet blanc,3571320831355,D,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,
28,Galette des rois - fr:Galettes des rois,3700621700293,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,['Galettes des rois'],,,,,,,,,,,,
29,Ananas,7441168800003,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Suisse longue aux pépites de chocolat,0205155019352,,,['France'],[],[],,,,,,,,,?,,353,,1477 kj(353 kcal),,16,,10,,45,,19,,"6,1",,"0,87",,"0,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Datte deglet nour-deglet nour date - Maître Prunille,3180840010715,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Dattes']",['France'],[],[],0.3 g,en faible quantité,0.1 g,en faible quantité,58 g,en quantité élevée,0.1 g,en faible quantité,?,,285,-4%,1192 kj(285 kcal),-5%,"0,3",+6%,"0,1",+102%,64,-7%,58,-1%,"2,2",+2%,"0,1",+361%,"0,04",+361%,7,+43%,C,+43%,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,,,['Maître Prunille'],,,,,,,,,,,,
32,Croustade Saint Jacques,2653013022040,,,['France'],[],[],,,,,,,,,?,,295,,1234 kj(295 kcal),,16,,10,,28,,"2,2",,"8,9",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Oignons Rouges,3276557793840,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,,,,,,,,,,
34,Navets - Prim'Bio,3663362014916,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,"[""Prim'Bio""]",,,,,,,,,,,,
35,Chips a l'ancienne - Leader Price,5608315010209,,,['France'],[],[],,,,,,,,,?,,545,,2280 kj(545 kcal),,37,,"3,7",,48,,"0,7",,5,,"1,3",,"0,52",,,,,,,,,,,,,,,,['Leader Price'],,,,,,,['Leader Price'],,,,,
36,"Serrault, Jambonneau fabrique en Aveyron",3233130500103,,"['Viandes', 'Charcuteries', 'Charcuteries cuites']",['France'],[],[],6.5 g,en quantité modérée,2.4 g,en quantité modérée,0.5 g,en faible quantité,1.08 g,en quantité modérée,?,,154,-8%,644 kj(154 kcal),-4%,"6,5",-23%,"2,4",-26%,"0,5",-64%,"0,5",-31%,24,+28%,"1,08",-43%,"0,432",-43%,2,-79%,B,-79%,,,,,,,,,,,,,,,,,,,,,,,
37,Brie,3023260027959,,,['France'],[],[],,,,,,,,,?,,352,,1473 kj(352 kcal),,32,,23,,0,,0,,16,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Korean Red Ginseng Candy,8805194008403,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Butter fudge,5060301885732,,,['France'],[],[],,,,,,,,,?,,403,,1686 kj(403 kcal),,"6,8",,"4,5",,"82,7",,"72,9",,"2,5",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Chakra Booster,3760256812556,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,
41,Jardin à Téhéran,3760256811696,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,
42,Confiture de figues - Le Fruitier des Cévennes,2020200041021,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de figues']",['France'],"['Figues', 'sucre de canne']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,['Le Fruitier des Cévennes'],,,,,3,,,,,,,
43,Frites,46964014,,,['France'],[],[],,,,,,,,,?,,339,,1418 kj(339 kcal),,"0,5",,"0,1",,84,,70,,"0,5",,"0,8",,"0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Masmelos,8411500350120,,,['France'],[],[],,,,,,,,,?,,341,,1427 kj(341 kcal),,0,,0,,81,,73,,"4,2",,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Mascarpone - L'Italie des Fromages,8059070740271,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à la crème', 'Mascarpone']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,"[""L'Italie des Fromages""]",,,,,,,,,,,,
46,Tagliatelles cereales,0206933009459,,,['France'],[],[],,,,,,,,,?,,257,,1075 kj(257 kcal),,3,,"0,8",,47,,"1,3",,10,,"0,07",,"0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Lapsang Souchong,3760256812730,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Siberian Blend,3760256812570,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,
49,Galette Frangipane Premium,3511243282704,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",['France'],[],[],31 g,en quantité élevée,17 g,en quantité élevée,15 g,en quantité élevée,0.68 g,en quantité modérée,?,,451,+7%,1887 kj(451 kcal),+7%,31,+17%,17,+15%,36,-7%,15,+16%,"7,7",+21%,"0,68",-2%,"0,272",-2%,21,+9%,E,+9%,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,,,,,,,
50,Jarret fumé au bois de hêtre,0290079033850,,,['France'],[],[],,,,,,,,,?,,152,,636 kj(152 kcal),,"7,6",,"2,7",,"0,5",,"0,5",,"20,6",,"4,25",,"1,7",,,,,,,,,,,,,"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,,,,,
51,Bonbon,6111195016371,,,['France'],[],[],,,,,,,,,?,,407,,1703 kj(407 kcal),,0,,0,,86,,52,,0,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,La tradition foie gras canard - Larnaudie,3113010134836,,,['France'],[],[],,,,,,,,,?,,530,,2218 kj(530 kcal),,"54,4",,"22,2",,"1,6",,"1,6",,"8,4",,"1,45",,"0,58",,,,,,,,,,,,,,,,['Larnaudie'],,,,,,,,,,,,
53,Tournedos,0242793048344,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Viande Française', 'Viande-bovine-francaise']",,,,,,"['FR 49.099.002 CE', 'Cholet (Maine-et-Loire, France)']",,,,,,,,,
54,Beautiful silence,4051281406575,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Moutarde de dijon,3564770082569,B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes de Dijon']",['France'],[],[],12 g,en quantité modérée,0.8 g,en faible quantité,1.7 g,en faible quantité,5.8 g,en quantité élevée,?,,161,+1%,674 kj(161 kcal),+1%,12,+4%,"0,8",+5%,3,-18%,"1,7",-24%,"7,5",+4%,"5,8",-2%,"2,32",-2%,12,+11%,D,+11%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,['Bio'],,"['Bocal', 'Verre']",,,,,,,,,,,,,
56,Filet de poulet,0211120027352,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,['Barquette'],,,,,,,,,,,,,
57,Pois Tres Fin D'aucy 4 / 4,3017800001066,,,['France'],[],[],,,,,,,,,?,,88,,368 kj(88 kcal),,"0,9",,"0,2",,11,,"3,7",,"5,8",,"0,53",,"0,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Chocolat,2025818399991,,,['France'],[],[],,,,,,,,,?,,539,,2255 kj(539 kcal),,"30,5",,"21,7",,"61,3",,"57,4",,4,,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Jelly belly fruit mix,0071570006426,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,61 g,en quantité élevée,0.07 g,en faible quantité,?,,360,+1%,1506 kj(360 kcal),+0%,0,-100%,0,-100%,90,+8%,61,+5%,0,-100%,"0,07",-42%,"0,028",-42%,14,-3%,D,-3%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,['Jelly Belly'],,,,,,,,,,,,
60,Nougat,3339500703003,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats', 'Nougats blancs']",['France'],[],[],19 g,en quantité modérée,1 g,en faible quantité,56 g,en quantité élevée,0 g,en faible quantité,?,,471,+7%,1971 kj(471 kcal),+7%,19,+26%,1,-29%,62,-9%,56,-3%,9,+33%,0,-100%,0,-100%,15,-4%,D,-4%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,,,,
61,Saumon fumé marine,2871581040673,D,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,"['FR 29.052.500 CE', 'Esquibien (Finistère, France)']",,,,,,,,,
62,tomates pelées en cubes - Coppola - 400g,5060323900017,,,['France'],"['NOS TOMATES COUPEES POR UNE SAUCE TC PELATI/ POLPA tomates pere en cub tomates pelées entières POMODORINI tomates cerises PASS de t PATES ASAGNE ZZA DUPE SSEROLE FOUR Convient ATES PELÉES EN CUBES DANS DU JUS DE TOMATES Convient mieux édients: tomates ', '60%', 'jus de tomates', ""ateur d'acidité: acide citrique"", ' erver dans un endroit frais et sec']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,400g,,['Coppola'],,,,['E330 - Acide citrique'],,,,['Aucun'],,,,
63,Chipolatas - Carrefour,2480722020339,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,['Carrefour'],,,,,,,['Carrefour'],,,,,
64,Tortellini,8001195333005,,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Tortellini']",['France'],[],[],8.6 g,en quantité modérée,4 g,en quantité modérée,3.7 g,en faible quantité,0.5 g,en quantité modérée,?,,326,+29%,1364 kj(326 kcal),+30%,"8,6",+21%,4,+32%,49,+36%,"3,7",+33%,12,+25%,"0,5",-56%,"0,2",-56%,4,-37%,C,-37%,,,,,,,,,,,,,,,,,,,,,,,
65,Miel d'Acacia - Le Rucher du Pays Libre - 250g,3760069592027,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'Agriculture France']",250 g,,['Le Rucher du Pays Libre'],,,,,,,,,,,,
66,2 facon TOURNEDOS - Charal,2444975050444,,"['Viandes', 'Bœuf', 'Tournedos de boeuf']",['France'],[],[],2.3 g,en faible quantité,0.8 g,en faible quantité,0 g,en faible quantité,0.17 g,en faible quantité,?,,476,+166%,1992 kj(476 kcal),+165%,"2,3",-76%,"0,8",-80%,0,-100%,0,-100%,23,+14%,"0,17",-85%,"0,068",-85%,0,-100%,B,-100%,,,,,,,,,,,['Charal'],,,,,,,,,,,,
67,Nouille chinoise fruit de mer,41890332,,,['France'],[],[],,,,,,,,,?,,461,,1929 kj(461 kcal),,0,,0,,66,,"4,1",,9,,3,,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2 dos de cabillaud saveur chorizo - 260g,3700151807752,E,"['Produits de la mer', 'Poissons', 'Morues', 'Dos de cabillaud']",['France'],[],[],5.4 g,en quantité modérée,3.3 g,en quantité modérée,0.7 g,en faible quantité,1.2 g,en quantité modérée,?,,118,-51%,494 kj(118 kcal),-48%,"5,4",-71%,"3,3",+23%,"1,8",-46%,"0,7",+117%,15,+23%,"1,2",+41%,"0,48",+41%,4,-18%,C,-18%,93.2%,0.0%,0.9%,5.2%,0.5%,0.1%,14,"['Pêche durable', 'Pêche durable MSC']",260 g,,,,,"['FR 56.121.086 CE', 'Lorient (Morbihan, France)', 'MSC-C-53722']",,,,,,,,,
69,Abe all black everything,0634158661686,,,['France'],[],[],,,,,,,,,?,,10,,42 kj(10 kcal),,0,,0,,0,,0,,0,,"3,038",,"1,215",,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Jambon de bayonne,8436554211944,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs', 'Jambons de Bayonne', 'en:raw-cured-ham']",['France'],[],[],7 g,en quantité modérée,3 g,en quantité modérée,0 g,en faible quantité,4 g,en quantité élevée,?,,198,-19%,828 kj(198 kcal),-20%,7,-50%,3,-49%,0,-100%,0,-100%,33,+13%,4,-16%,"1,6",-16%,14,-22%,D,-22%,81.5%,16.7%,0.3%,0.9%,0.5%,0.1%,13,,,,,,,,,,,,,,,,
71,Délice de tomates séchées,3478790020084,,"['Produits à tartiner', 'Produits à tartiner salés', 'en:Dried tomatoes spreads', 'en:Tomato spreads']",['France'],[],[],12 g,en quantité modérée,0.9 g,en faible quantité,3.3 g,en faible quantité,2.6 g,en quantité élevée,?,,171,-42%,715 kj(171 kcal),-42%,12,-54%,"0,9",-88%,14,+299%,"3,3",+160%,"2,1",-76%,"2,6",+97%,"1,04",+97%,12,-4%,D,-4%,,,,,,,,['Sans conservateurs'],,,,,,,,,,,,,,,
72,Saucisson pur porc,2692170025198,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Le Bridé Recette du Père Baptiste - LE BATISTOU - 578g,2452132049262,,"['Viandes', 'Charcuteries']",['France'],"['viande de porc', 'sel', 'lactose', 'sirop de glucose', 'dextrose', 'épice', ' plante aromatique', 'conservateur E 252 ', 'salpetre', 'ferment', 'boyau de porc']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",33 g,en quantité élevée,13 g,en quantité élevée,1.8 g,en faible quantité,4.7 g,en quantité élevée,?,,428,+64%,1791 kj(428 kcal),+66%,33,+71%,13,+79%,"2,7",+84%,"1,8",+126%,29,+55%,"4,7",+97%,"1,88",+97%,25,+56%,E,+56%,,,,,,,,,578g,['Sachet'],['LE BATISTOU'],,,,"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",4,,,['Lait'],,,,
74,Kynuty knedlik,8594022690018,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Le chutney de griottes et épices douces - 90g,3598960029782,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,90 g,,,,,,,,,,,,,,
