,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,labels,eco_score,generic_name,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,nova_score,quantity,packaging,manufacturing,palm_ingredients,markets,traceability_code,ingredients_origins,link,brand_owner
0,Écorces d'Orange confite enrobée de chocolat,3760145825001,['France'],[],[],?,478,2000 kj(478 kcal),21,13,64,53,"4,6","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,La cure gourmande,3760145827111,['France'],[],[],?,477,1996 kj(477 kcal),20,"8,1",66,44,"6,6","0,27","0,108",['La Cure Gourmande'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Amandes enrobées de chocolat,3760145829948,['France'],[],[],?,1,4 kj(1 kcal),1,1,1,1,1,1,"0,4",,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Biscuit fourré chocolat - La Cure Gourmande,3760145841971,['France'],[],[],?,497,2079 kj(497 kcal),22,"9,9",68,34,"5,6","0,18","0,072",['La Cure Gourmande'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Chocolat noir orange - La Cure Gourmande,3760145843586,['France'],[],[],?,574,2402 kj(574 kcal),34,20,59,59,5,"0,03","0,012",['La Cure Gourmande'],['Fabriqué en France'],E,Chocolat noir à l'arôme naturel d'orange,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats aromatisés', 'Chocolats noirs aromatisés']",34 g,en quantité élevée,20 g,en quantité élevée,59 g,en quantité élevée,0.03 g,en faible quantité,,+4%,+4%,-9%,-11%,+41%,+65%,-27%,-8%,-8%,27,+24%,E,+24%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,,,,,
5,Chocolat noir - La Cure Gourmande,3760145843593,['France'],[],[],?,581,2431 kj(581 kcal),36,22,54,0,5,0,0,['La Cure Gourmande'],['Fabriqué en France'],E,Chocolat noir à l'édulcorant (maltitol),"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats édulcorés', 'Chocolats noirs', 'Chocolats noirs aux édulcorants']",36 g,en quantité élevée,22 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+16%,+16%,-7%,-4%,+45%,-100%,-31%,-100%,-100%,17,+29%,D,+29%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,,,,,
6,Chocolat au lait allegé en sucre - La Cure Gourmande,3760145843630,['France'],"['édulcorant: maltitol ', 'ble', 'beurre de cacao', 'poudre de lait entier', 'pâte de cacao', 'émulsifiant lécithine de soja', 'arôme naturel de vanille', ' Contient lait', 'soja', 'blé Peut également contenir amande', 'noisette', 'pistache', 'sésame', ' Une consommation excessive peut avoir des effets laxatifs']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,562,2351 kj(562 kcal),37,22,50,"7,8","6,8","0,2","0,08",['La Cure Gourmande'],"['Peu ou pas de sucre', 'Peu de sucre', 'Allégé en sucre', 'Une consommation excessive peut avoir des effets laxatifs', 'Fabriqué en France', 'Avec édulcorants']",E,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats édulcorés', 'Chocolats au lait', 'Chocolats au lait édulcorés']",37 g,en quantité élevée,22 g,en quantité élevée,7.8 g,en quantité modérée,0.2 g,en faible quantité,,+13%,+13%,+5%,+6%,+10%,-19%,-7%,-10%,-10%,18,+10%,D,+10%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,['E965 - Maltitol'],"['Gluten', 'Lait', 'Fruits à coque', 'Graines de sésame', 'Soja']",4,,,,,,,,,
7,Caramel au beurre sale,3760145845061,['France'],[],[],?,436,1824 kj(436 kcal),16,10,67,57,"5,5","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Caramels au sel, chocolat, vanille et orange",3760145845238,['France'],[],[],?,437,1828 kj(437 kcal),16,10,67,56,"5,6","0,86","0,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Biscuit fourré au citron - La Cure Gourmande,3760145845931,['France'],[],[],?,445,1862 kj(445 kcal),16,"8,6",69,20,"5,2","0,18","0,072",['La Cure Gourmande'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Biscuit Fourré au Chocolat - La Cure Gourmande - 220g,3760145845993,['France'],"['Farine de blé', 'fourrage ', '23 %', ' ', 'sucre', 'graisse végétale', 'amidon modifié de maïs', 'chocolat 6 % ', 'sucre', 'pâte de cacao', 'cacao maigre en poudre', 'cacao maigre en poudre', 'amidon de mais', 'émulsifiant: lécithine de soja', 'pâte de noisettes', 'arômes artificiels ', 'vanille', 'noisette', 'sucre', 'beurre ', 'lait', 'œuf', 'eau', 'émulsifiant: lécithine de soja', 'poudre à lever ', 'diphosphate disodique', 'bicarbonate de soude', 'amidon de blé', 'sel']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",?,497,2079 kj(497 kcal),22,"9,9",68,34,"5,6","0,18","0,072",['La Cure Gourmande'],"['Point Vert', 'Fabriqué en France', 'Triman']",D,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits fourrés', 'Biscuits fourrés au chocolat']",22 g,en quantité élevée,9.9 g,en quantité élevée,34 g,en quantité élevée,0.18 g,en faible quantité,,+6%,+6%,+15%,+16%,+2%,+3%,-4%,-68%,-68%,21,+6%,E,+6%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,"['E14XX - Amidons modifiés', 'E322i - Lécithine', 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,220 g,"['Sachet', 'Plastique']",['France'],,,,,,
11,Biscuit fourré à la framboise - CURE GOURMANDE,3760145846006,['France'],"['Ingrüients: farine de blé', 'fourrage ', '23%', ' ', 'sirop de glucose et fructose', 'concentrée de pomme', 'de framboise ', '47%', 'stabilisant: matière Èle raffinée ', 'huile de colza', 'gélifiant : pctine de fruits', 'arôme naturel ', 'framboise', ""recteur d'acidité"", ""' dicitrate tricalcique"", 'émulsifiant: lécithire de sucre', 'beurre', 'émul$ifant de poudre à lever bicarbonate de de blé', 'sel', 'carmin', ' contient lait', 'soja', 'blé', ' Peut ngntcontenirsésame', 'sulfites frofts à coque GALLETAS RELLENS DE FRAMBUESA tr#ientes: harina frigo', 'relleno ', '23 ', 'arabe de gl!RŒa y fructosa', 'puré de azücar', 'de ', '47%', 'estabilizante: gliceml', 'grasa regetal refinada de colza', 'gelificante', ' de frutas', 'amma natural ', 'fram—a', ' acida: dicitrato tricélcicot emulsionante: de girad', 'azücar', 'maneqilla', ""emulsionante: lecitina de '4"", 'difKo disidico', 'bicarbanato de sodio', 'almidén de trip', 'cdoranE carmin', ' Contiem ""e', 's*ytlip', ""Tatnbiâ pueden 0'7tener sésamo sulfitos y trazas frutos Boss Déclaration rutitiorrelle I nuticinl por Éner$e/ Valor energético : 441 "", '1847 kJ', ' ', ' GraiM I : 16g ', 'dont ""turés/ de IE cualg saturzjc? 6fg', ' I Hidratos de I Fibra alinvlta - g g ']","['Non végétalien', 'Non végétarien']",?,441,1845 kj(441 kcal),16,"8,5",68,20,"5,3","0,18","0,072",['CURE GOURMANDE'],"['Fabriqué en France', 'Triman']",C,Biscuits aux fruits fourrés à la framboise,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs', 'Biscuits fourrés']",16 g,en quantité modérée,8.5 g,en quantité élevée,20 g,en quantité élevée,0.18 g,en faible quantité,,-6%,-6%,-17%,0%,+2%,-39%,-9%,-68%,-68%,15,-24%,D,-24%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,"['Gluten', 'Lait', 'Soja']",4,,,,,,,,,
12,Biscuit fourre abricot -,3760145846013,['France'],[],[],?,432,1807 kj(432 kcal),14,"8,5",70,31,"5,1","0,24","0,096",,,C,Biscuits aux fruits fourrés à l'abricot,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs', 'Biscuits fourrés', 'Biscuits sablés']",14 g,en quantité modérée,8.5 g,en quantité élevée,31 g,en quantité élevée,0.24 g,en faible quantité,,-8%,-8%,-27%,0%,+5%,-6%,-12%,-57%,-57%,20,+1%,E,+1%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,,,,,,,,,,
13,"Boule choco ""la cure gourmande""",3760145846037,['France'],[],[],?,513,2146 kj(513 kcal),25,15,60,37,"8,1","0,75","0,3",['La Cure Gourmande'],['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Biscuit croustillant enrobé de chocolat au lait - La Cure Gourmande,3760145846044,['France'],"['chocolat au LAITI teneur cacao minimum ', '74%', ' ', 'sucre', 'beurre de cacao', 'poudre LAIT entier pâte de cacaot émulsifiant lécithine de SOJA arôme naturel de vanille', 'céréale biscuitée farine de BLEI gluten de sucre', 'farine de malt de BLEI poudre à lever bicarbonate de sodiumj sel', 'régulateur diacidlté: carbonate calcium', ' stabilisant gomme arabique', 'agent de gomme-laque', 'Contient Lait', 'Soja', 'Blé']",[],?,512,2142 kj(512 kcal),27,16,57,41,9,"0,9","0,36",['La Cure Gourmande'],['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E502 - Carbonates', ""E414 - Gomme d'acacia""]","['Gluten', 'Lait', 'Soja']",4,,,,,,,,,
15,La collection - www.curegourmande.com,3760145846150,['France'],"['farine de blé', 'beurre ', 'lait', 'sucre', 'sucre brun', 'fourrage ', '23%', ' selon parfum: chocolat ', 'sucre', 'graisse végétale', 'amidon modifié de mars', 'chocolat 6% ', 'sucrc', 'pâte de cacao', 'cacao maigre en poudre', 'cacao maigre en pou&e', 'amidon de maïs', 'émulsifiant: lécithine de soja', 'pâte de noisettes', 'arômes artificiels', 'fourrage citron ', 'sirop de glucose et fructose', 'purée concentrée de pomme', 'saccharose', 'purée de citron ', '15%', 'stabilisateur glycérol', 'matière grasse végétale raffinée ', 'huile de colza', 'jus concentré de citron', 'fourrage framboise ', 'sirop de glucose et fructose', 'purée concentrée de pomme', 'sucre', 'purée de framboise ', '47%', 'stabilisant glycérol', 'matière grasse végétale raffinée ', 'huile de colza', 'gélifiant : pectine de fruits', 'arôme naturel', 'correcteur dtacidité: dicitrate tricalcique', 'émulsifiant: lécithine de tournesol', 'fourrage abricot ', 'sirop de glucose-fructose', ""stabilisant: glycérine d'origine végétale"", ""purée d'abricot 26%"", 'purée de pomme', 'sucre', 'gélifiant : pectine de fruits', 'acidifiant: acide citrique', ""correcteurs d'acidité: citrate de sodium"", 'citratp de', ' calcium', 'arôme naturel', 'colorant: anatto', 'fourrage pomme cannelle ', 'purée de pomme 50%', 'sirop de glucose-fructose', 'stabilisant: glycérol', 'sucre', 'dextrine de blé', 'huile de colza', 'acidifiants : acide citrique', 'acide malique', 'gélifiant ', ' alginate de sodium', ""cannelle poudre correcteurs d'acidité : citrate de sodium"", 'citrate de calcium', 'arôme artificiel', 'émulsifiant: lécithine de tournesol', 'fourrage caramel ', 'sirop de glucose', 'caramel ', '15%', 'stabilisant glycérol', 'lait entier concentré', 'purée concentrée de pomme', 'sucre', 'eau', 'beurre concentré ', 'lait', 'gélifiant: pectine de fruits', 'arôme naturel', 'sel', 'conservateur', ' sorbate de potassium', 'émulsifiant: lécithine de tournesol', 'émulsifiant: lécithine de soja', 'poudre à lever ', 'diphosphate disodique', 'bicarbonate de soude', 'amidon de blé', 'sel', 'arômes naturels', 'colorants: extrait de paprika', 'carmin', ' Contient lait', 'soja', 'noisette', 'blé', ' Peut également contenir sésame', 'sulfites', 'autres fruits à coque', ' sous atmosphère protectrice']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,437,1828 kj(437 kcal),16,"8,5",67,25,"5,2","0,19","0,076",['www.curegourmande.com'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E14XX - Amidons modifiés', 'E322i - Lécithine', 'E422 - Glycérol', 'E440 - Pectines', 'E330 - Acide citrique', 'E331 - Citrates de sodium', 'E1400 - Dextrines', 'E296 - Acide malique', 'E401 - Alginate de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium', 'E160c - Extrait de paprika', 'E120 - Acide carminique']","['Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,,,,,,,,,
16,Olive au chocolat,3760145847843,['France'],[],[],?,562,2351 kj(562 kcal),36,19,53,42,7,"0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Caramels,3760145849298,['France'],[],[],?,436,1824 kj(436 kcal),16,10,67,56,"5,6","0,86","0,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sachet de nougat traditionnel - La Cure Gourmande,3760145849304,['France'],"['sucre', 'sirop de glucose', 'amande', 'miel', 'pistache', ""blanc d'oeuf"", 'amidon de maïs', 'sel', 'arôme naturel', 'conservateur', 'sulfites']","['Sans huile de palme', 'Non végétalien']",?,453,1895 kj(453 kcal),15,"1,2",71,58,"6,4","0,13","0,052",['La Cure Gourmande'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Œufs', 'Fruits à coque', 'Anhydride sulfureux et sulfites']",4,,,,,,,,,
19,Buiscuit croustillant chocolat noir,3760145849328,['France'],[],[],?,524,2192 kj(524 kcal),27,16,59,39,"7,4","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Caramel au sel - La Biscuiterie,3760145849717,['France'],"['CARAMEL AU SEL Inglédients: simp de glucose', ""sucre' lait entier en beurre lait"", 'beurre de cacao', 'sel sant: émulsifiant: lécithine de SOP', 'crème ', 'Lait', 'miel', "" d'acidité'"", ' bicarbonate de Cantient fait', 'soja', ' Peut également contenir œuf', 'céréales contenant dg gluten', 'sésame', 'sulfites', 'fruits à coque', "" Ne convient pas aux de moins de 4 ans: Risque d'étouffal«tt""]",['Non végétalien'],?,436,1824 kj(436 kcal),16,10,67,57,"5,5","1,6","0,64",['La Biscuiterie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E322i - Lécithine'],"['Lait', 'Soja']",4,,,,,,,,,
21,Assortiment de biscuits sales,3760145850010,['France'],[],[],?,466,1950 kj(466 kcal),18,11,66,10,"8,6","2,3","0,92",,,C,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Assortiments de biscuits']",18 g,en quantité modérée,11 g,en quantité élevée,10 g,en quantité modérée,2.3 g,en quantité élevée,,-5%,-5%,-22%,-15%,+4%,-67%,+38%,+304%,+304%,27,+17%,E,+17%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,,,,
22,Assortiment de biscuits - La Cure Gourmande,3760145850041,['France'],[],[],?,470,1966 kj(470 kcal),18,11,67,10,"8,5","2,3","0,92",['La Cure Gourmande'],,C,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Assortiments de biscuits']",18 g,en quantité modérée,11 g,en quantité élevée,10 g,en quantité modérée,2.3 g,en quantité élevée,,-4%,-5%,-22%,-15%,+6%,-67%,+37%,+304%,+304%,27,+17%,E,+17%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,,,,
23,Biscuits fourrés au caramel -,3760145850072,['France'],[],[],?,407,1703 kj(407 kcal),15,"7,9",62,18,5,"0,18","0,072",,,C,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs', 'Biscuits fourrés']",15 g,en quantité modérée,7.9 g,en quantité élevée,18 g,en quantité élevée,0.18 g,en faible quantité,,-13%,-14%,-22%,-7%,-7%,-45%,-14%,-68%,-68%,15,-24%,D,-24%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,,,,
24,Biscuit salé aux olives noires - La Cure Gourmande,3760145850188,['France'],[],[],?,474,1983 kj(474 kcal),19,11,66,10,"8,3","2,4","0,96",['La Cure Gourmande'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Biscuit salé a l'oignon - La Cure Gourmande,3760145850195,['France'],[],[],?,466,1950 kj(466 kcal),17,10,68,10,"8,5","2,1","0,84",['La Cure Gourmande'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Petits gâteaux chocolat cure gourmande,3760145850379,['France'],[],[],?,478,2000 kj(478 kcal),23,14,60,36,"5,9","0,45","0,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Biscuits salés - La Cure Gourmande,3760145850461,['France'],"['farine de blé', 'sirop de glucose', 'olive noire ', '4%', 'riz ?oustillant ', 'farine de riz', 'sucre', 'gluten de Née huile de palmej malt de blé', 'sel', ' sel', 'poudre à lever ', 'diphosphate disodique', 'bicarMnate de soude', 'amidon de Né', 'fleur de sel', 'herbes de Provence ', 'romarin', 'sariettej origan', 'thym', 'basilic', ' poivre noir', ' Contient lait', 'blé Peut également contenir fruits à coques', 'sésame', 'soja sulfites', ' sous protetice']",[],?,470,1966 kj(470 kcal),18,11,67,10,"8,4","2,3","0,92",['La Cure Gourmande'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E450i - Pyrophosphate de sodium acide'],"['Gluten', 'Lait']",4,,,,,,,,,
28,Navettes - Cure Gourmande,3760145850485,['France'],"['farine de lié', 'sirop de glucose', 'riz croustillant ', 'farine de riz', 'sucrq gluten de blé', 'huile de palme', 'malt de Né', 'sel', 'Roquefort ', 'lait', ' ', '1 sel', 'poudre à lever ', 'diphosphate disodiquq de soude', 'amidon de blé', 'fleur de sel', 'herbes de Provence ', 'romarin', 'sariette', 'origan', 'thym', 'basilic', ' colorants: curcumine et bleu brillant', 'poivre noir', ' Contient lait', 'blé', ' Peut également contenir fruits à coques', 'sésame', 'soja', 'sulfites', ' Conditionné phère protectrice', ' SURTIDO DE GALLETAS SALADAS Ingredientes : harina de trigo', 'mantquilla', 'de glucosa', 'huwo', 'arroz de triqo', 'aceite de palma', 'malta']","['Huile de palme', 'Non végétalien']",?,466,1950 kj(466 kcal),18,11,66,10,"8,7","2,3","0,92",['Cure Gourmande'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E100 - Curcumine', 'E133 - Bleu brillant FCF', '', 'Risque modéré de sur-exposition']","['Gluten', 'Lait']",4,,,,['Huile de palme'],,,,,
29,Assortiment de biscuits salés - La Cure Gourmande,3760145850508,['France'],[],[],?,470,1966 kj(470 kcal),18,11,67,10,"8,4","2,3","0,92",['La Cure Gourmande'],,C,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Assortiments de biscuits']",18 g,en quantité modérée,11 g,en quantité élevée,10 g,en quantité modérée,2.3 g,en quantité élevée,,-4%,-5%,-22%,-15%,+6%,-67%,+35%,+304%,+304%,27,+17%,E,+17%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,,,,
30,Biscuit fourré au citron - La Cure Gourmande - 220g,3760145853011,['France'],"['Farine de blé', 'fourrage ', '23%', ' ', 'sirop de glucose et fructose', 'purée concentrée de pomme', 'saccharose', 'purée de citron ', '15%', 'stabilisateur', ' glycérol', 'matiere grasse vegétale raffinée ', 'huile de colza', 'jus concentré de citron', 'sucre', 'beurre ', 'lait', 'oeuf', 'émulsifiant: lécithine de soja', 'poudre à lever ', 'diphosphate disodique', 'bicarbonate de soude', 'amidon de blé', 'sel', ' \rContient oeuf', 'lait', 'soja', 'ble', ' \rPeut également contenir sésame', 'sulfites', 'fruits à coque']",['Non végétalien'],?,445,1862 kj(445 kcal),16,"8,6",69,20,"5,2","0,18","0,072",['La Cure Gourmande'],['Entrepreneurs + Engagés'],C,Biscuits aux fruits fourrés au citron,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs', 'Biscuits fourrés']",16 g,en quantité modérée,8.6 g,en quantité élevée,20 g,en quantité élevée,0.18 g,en faible quantité,,-5%,-5%,-17%,+1%,+3%,-39%,-10%,-68%,-68%,16,-19%,D,-19%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"['E422 - Glycérol', 'E322i - Lécithine', 'E450i - Pyrophosphate de sodium acide', 'E500ii - Carbonate acide de sodium']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja', 'Anhydride sulfureux et sulfites']",4,220 g,,,,,,,,
31,La cure gourmande,3760145853059,['France'],"[""AMANDES CARAMÉLISÉES Ingrédicnt&' gnande"", 'sucre', ' Contient amande', ' Pcutégaiementcantenircéféales contenant du gluten lait', 'sésame autres fruits à coques arachide etsoia', "" Ne aux mfmts de moins de 4 avs: Risque d'étouffemalt"", ' ALMENDRAS CARAMELIZADAS Ingredientes', ' alman&n', 'azücar', ' ConËene almendtv', ' Puede tambien contene{ ceyeales con gluten', 'lechq sésamo', 'Otros frutos secos', 'hucso', 'cacahuetey soja', ' No reconpnda& para niios mgtores 4 Riesgo dlXia']",[],?,527,2205 kj(527 kcal),27,"8,5",59,44,12,0,0,['La Cure Gourmande'],"['Point Vert', 'Fabriqué en France']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fruits à coque'],,,,,,,,,,
32,Mini Gouttes de Meringue - La Cure Gourmande,3760145854445,['France'],"['Sucre', ""blanc d'œuf"", 'arôme naturel ', '0', '3 %', 'sucre vert ', 'sucre', 'colorant : chlorophylle cuivrique']",['Non végétalien'],?,297,1243 kj(297 kcal),0,0,70,70,"3,1","0,12","0,048",['La Cure Gourmande'],,C,Mini Gouttes de Meringue à la Menthe,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Meringues']",0 g,en faible quantité,0 g,en faible quantité,70 g,en quantité élevée,0.12 g,en faible quantité,,-21%,-21%,-100%,-100%,-20%,-16%,-23%,-25%,-25%,13,-10%,D,-10%,75.1%,13.4%,5.0%,3.4%,3.0%,0.0%,72,['E141i - Complexes cuivriques de chlorophylles'],['Œufs'],4,,"['Sachet', 'Plastique']",,,,,,,
33,Tranches d’orange confites enrobées de chocolat noir - La Cure Gourmande,3760145854971,['France'],"[""TRANCHE D'ORANGE CONFNE ENROBÉE DE CHOCOLAT tranche d'orange confite "", 'orange', ' sirop de glucose-fructose', 'saccharose', ' chocolat nor', ' temtr aururnum ', 'pâte de sucre', 'beurre de cacao', ' emulsifiant: lecithine de SOP', 'arôme naturel de vanille', 'Contient soja', "" Peut cerea'es contemnt du gkAem bit"", ' frutts a coqtrs', 'Œ\\lf', 'soja']",[],?,373,1561 kj(373 kcal),6,"3,6",77,72,"1,9","0,1","0,04",['La Cure Gourmande'],['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['E322i - Lécithine'],['Soja'],4,,,,,,,,,
34,Trésors des petits mitrons - La Cure Gourmande,3760145855626,['France'],[],[],?,423,1770 kj(423 kcal),15,"9,8",66,56,"5,5","0,75","0,3",['La Cure Gourmande'],['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Gels de fruit,3760145855671,['France'],[],[],?,364,1523 kj(364 kcal),0,0,89,89,0,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Chocolat noir,3760145856562,['France'],[],[],?,544,2276 kj(544 kcal),39,23,36,32,"7,5","0,02","0,008",,['Fabriqué en France'],E,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",39 g,en quantité élevée,23 g,en quantité élevée,32 g,en quantité élevée,0.02 g,en faible quantité,,-2%,-2%,-1%,-0%,-7%,+1%,-2%,-57%,-57%,23,+8%,E,+8%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,,,,,
37,Biscuit croustillant enrobé de chocolat,3760145856647,['France'],[],[],?,521,2180 kj(521 kcal),27,16,59,41,"8,6","0,85","0,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Assortiment chocolat,3760145856814,['France'],[],[],?,569,2381 kj(569 kcal),38,20,48,34,"7,4","0,7","0,28",,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Biscuit croustillant enrobés de chocolat,3760145856852,['France'],[],[],?,526,2201 kj(526 kcal),29,17,57,44,"8,4","0,77","0,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Petits Clissons traditionnels - La Cure Gourmande,3760145858467,['France'],[],[],?,449,1879 kj(449 kcal),20,"1,3",55,43,10,"0,11","0,044",['La Cure Gourmande'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Petits biscuits à la framboise - La Cure Gourmande,3760145858511,['France'],[],[],?,441,1845 kj(441 kcal),16,"8,5",68,20,"5,3","0,18","0,072",['La Cure Gourmande'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Menthe,3760145860514,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Romarin,3760145860668,['France'],[],[],?,1,4 kj(1 kcal),0,0,0,0,"0,1",,,,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires', 'Plantes aromatiques', 'Herbes aromatiques', 'Romarin']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,,-98%,-99%,-100%,-100%,-100%,-100%,-97%,,,,,,,63.0%,0.0%,17.1%,8.8%,8.2%,2.9%,94,,,,,,,,,,,,
44,La cure gourmande,3760145860811,['France'],[],[],?,?,,?,,?,,?,,,['La Cure Gourmande'],['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
