,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,labels,eco_score,generic_name,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,nova_score,quantity,packaging,manufacturing,palm_ingredients,markets,traceability_code,ingredients_origins,link,brand_owner
1035,Chocolat au Lait - Praliné amande-noisette - Le Comptoir de Mathilde,3760170099880,['France'],"['Chocolat au lait 80% ', 'sucre', 'beurre de cacao 24%', 'poudre de lait entier 22,5%', 'pâte de cacao 11%', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', ' Cacao : 33% minimum', 'poudre de praliné 20% ', 'sucre', 'amandes 25%', 'noisettes 25%', ' Peut contenir des traces d’arachides', 'd’autres fruits à coque', 'd’œufs et de gluten']","['Sans huile de palme', 'Non végétalien']",?,557,2330 kj(557 kcal),35,18,51,50,"7,6","0,17","0,068",['Le Comptoir de Mathilde'],,E,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats fourrés', 'Chocolats fourrés au praliné', 'Chocolats au lait fourrés']",35 g,en quantité élevée,18 g,en quantité élevée,50 g,en quantité élevée,0.17 g,en faible quantité,,0%,0%,-2%,+5%,+2%,+6%,+9%,+33%,+33%,25,+1%,E,+1%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,['E322i - Lécithine'],['Fruits à coque'],4,,,,,,,,,
1036,Pate a tartiner,3760170099996,['France'],[],[],?,559,2339 kj(559 kcal),35,"2,6",50,41,"8,4","0,02","0,008",,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner']",35 g,en quantité élevée,2.6 g,en quantité modérée,41 g,en quantité élevée,0.02 g,en faible quantité,,+7%,+7%,+9%,-68%,-1%,-6%,+35%,-89%,-89%,17,-17%,D,-17%,,,,,,,,,,,,,,,,,,,
1037,Rillettes de canard - J GROLIERE,3760170230054,['France'],"['Canard 98%,sel', 'poivre']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,395,1653 kj(395 kcal),35,12,0,0,20,"1,3","0,52",['J GROLIERE'],,D,,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",35 g,en quantité élevée,12 g,en quantité élevée,0 g,en faible quantité,1.3 g,en quantité modérée,,-1%,-2%,-5%,-4%,-100%,-100%,+23%,-5%,-5%,19,-2%,E,-2%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,3,,,,,,,,,
1038,Bloc de foi gras de canard - J. Grolière,3760170230689,['France'],"['Foie gras de canard reconstitue ', 'Origine France', 'eau', 'sel', 'sucre', 'poivre']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,485,2029 kj(485 kcal),51,22,"1,1","1,1","5,3","1,2","0,48",['J. Grolière'],['Sans nitrite de sodium'],B,,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras']",51 g,en quantité élevée,22 g,en quantité élevée,1.1 g,en faible quantité,1.2 g,en quantité modérée,,-1%,-1%,+1%,+2%,-48%,-17%,-13%,-2%,-2%,21,+3%,E,+3%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,3,,,,,,,['France'],,
1039,Gésiers d’Oie Confits - J. Grolière - 215gr,3760170231006,['France'],[],[],?,177,741 kj(177 kcal),"4,5","1,3",0,0,34,"1,9","0,76",['J. Grolière'],,,,"['Viandes', 'Charcuteries']",4.5 g,en quantité modérée,1.3 g,en faible quantité,0 g,en faible quantité,1.9 g,en quantité élevée,,-32%,-31%,-77%,-82%,-100%,-100%,+82%,-20%,-20%,11,-31%,D,-31%,,,,,,,,,,,215gr,['boîte'],,,,,,,
1040,Chocolat noir piment d'espelette - Le Comptoir de Mathilde,3760170301853,['France'],[],[],?,568,2377 kj(568 kcal),44,26,30,26,"7,6","0,02","0,008",['Le Comptoir de Mathilde'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,Purée d olives vertes,3760170310640,['France'],[],[],?,208,870 kj(208 kcal),22,"4,1","0,5","0,5","1,1","2,3","0,92",,['Sans colorants'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,Chocolat Noir 75% cacao - SolAlter - 90g,3760170550206,['France'],"['fèves de cacao', 'sucre de canne', 'beurre de cacao']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,546,2284 kj(546 kcal),"39,6","24,9","28,3","24,8","10,2","0,013","0,005",['SolAlter'],"['Sans arômes ajoutés', 'Nature & Progrès']",E,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",39.6 g,en quantité élevée,24.9 g,en quantité élevée,24.8 g,en quantité élevée,0.013 g,en faible quantité,,-2%,-2%,+1%,+8%,-27%,-22%,+33%,-72%,-72%,21,-1%,E,-1%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,3,90 g,"['Feuille', 'Papier']",,,['Bio14'],,,,
1043,Chocolat cru 100% cacao 90g,3760170550596,['France'],[],[],?,588,2460 kj(588 kcal),"51,6","32,3","4,7","0,1",14,"0,015","0,006",,"['Bio', 'Sans arômes ajoutés']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,Chocolat Noir - SolAlter - 90g,3760170551203,['France'],"['fèves de cacao', 'sucre de canne', 'éclats de fèves de cacao ', '15%', 'beurre de cacao', ' Cacao : 75% minimum']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,['SolAlter'],"['Bio', 'Bio européen', 'Nature & Progrès']",D,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,,,,,,,,,,,,,,,,,,,,,,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,3,90 g,"['Feuille', 'Papier']",,,,,,http://www.solalter.com/Chocolat-Noir-aux-eclats-de-feves.html,
