,name,bar_code,eco_score,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,generic_name,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,palm_ingredients,traceability_code,allergens,producer_info,link,brand_owner
1474,Bûchette pâtissière mousse façon cheesecake,3350033475649,,,,,,,,,,['France'],[],[],,?,,246,,"9,8",,36,,"3,1",,,,,,,,,1029 kj(246 kcal),"5,4",28,"0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,
1475,Terrine de foie maigre de canard - Marius Bernard,3183811007028,E,,,['Marius Bernard'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard', 'Terrines de foie']",,,,,['France'],"['Gras de porc', 'foie maigre de canard 20% oeufs', 'lait,Porto 4% ', 'sulfites', 'poivre vert', 'oignons', 'farine de blé ', 'gluten', 'sel', 'poivre', 'épices ', 'genièvre', 'aromates', 'champignons secs']",['Non végétalien'],4,?,,320,+2%,"30,8",+9%,"0,9",-45%,"9,9",-26%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,1339 kj(320 kcal),"10,6","0,3","1,3","0,52",,30.8 g,en quantité élevée,10.6 g,en quantité élevée,0.3 g,en faible quantité,1.3 g,en quantité modérée,+1%,-2%,-49%,-14%,-14%,18,-4%,D,-4%,,,"['FR 13.001.003 CE', 'Aix-en-Provence (Bouches-du-Rhône, France)']","['Gluten', 'Lait', 'Anhydride sulfureux et sulfites']",,,
1476,3250391720279,3250391720279,,,,,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1477,Huile d'olive de citron,3027102350106,,,,,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1478,Nova,0705632832288,,,,,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1479,Gruyère France,3700640470627,,,,,,['Bio'],,,,['France'],[],[],,?,,405,,33,,"0,4",,27,,,,,,,,,1695 kj(405 kcal),21,"0,4","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,
1480,Tartelettes citron meringuées,0202459024273,C,,,,"['Tartes', 'Tartes sucrées', 'Tartes aux fruits', 'Tartelettes', 'Tartes au citron', 'Biscuit sec nappé aux fruits', 'Tartes au citron meringuées']",,,,,['France'],[],[],,?,,430,+24%,25,+70%,45,-4%,"5,6",+10%,81.3%,10.4%,3.5%,2.6%,2.1%,0.0%,56,1799 kj(430 kcal),14,34,"0,3","0,12",,25 g,en quantité élevée,14 g,en quantité élevée,34 g,en quantité élevée,0.3 g,en quantité modérée,+24%,+56%,+1%,+40%,+40%,23,+20%,E,+20%,,,,,,,
1481,Filets de crocodile - Evasion Festive,2478589044346,,,,['Evasion Festive'],"['Viandes', 'Viande de crocodile']",,,,,['France'],[],[],,?,,119,-12%,"1,79",-59%,"5,9",+64%,20,0%,,,,,,,,498 kj(119 kcal),"0,9","1,8",2,"0,8",,1.79 g,en faible quantité,0.9 g,en faible quantité,1.8 g,en faible quantité,2 g,en quantité élevée,-11%,-24%,+92%,+36%,+36%,4,+62%,C,+62%,,,,,,,
1482,Emmental râpé,3258224372336,D,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de vache', 'Emmentals', 'Fromages râpés', 'Emmentals râpés']",,,,,['France'],[],[],,?,,377,+1%,29,+0%,2,+121%,27,-1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,1577 kj(377 kcal),"19,5",2,"0,9","0,36",,29 g,en quantité élevée,19.5 g,en quantité élevée,2 g,en faible quantité,0.9 g,en quantité modérée,+1%,-1%,+396%,+19%,+19%,12,+1%,D,+1%,,,,,,,
1483,Arachide sucrée,0207104012797,,,,,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484,Escalope de dinde,0212700010696,D,,,,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,,,,['France'],[],[],,?,,?,,?,,?,,?,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485,Brut pétillant CABERNET,3700147833772,,,,,,,,,,['France'],[],[],,?,,66,,0,,"16,5",,"0,1",,,,,,,,,276 kj(66 kcal),0,"15,5","0,005","0,002",,,,,,,,,,,,,,,,,,,,,,,,,
1486,Mega candy,4260332196567,,,,,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487,Noix de Saint-Jacques - 300g,3367870482105,,300 g,,,,,,,,['France'],[],[],,?,,82,,1,,"3,7",,"14,5",,,,,,,,,343 kj(82 kcal),"0,3","0,5","0,43","0,172",,,,,,,,,,,,,,,,,,,,,"['EMB 62160', 'Boulogne-sur-Mer (Pas-de-Calais, France)']",,,,
1488,Edel de Cleron,3324440208053,,,,,,,,,,['France'],[],[],,?,,348,,31,,1,,17,,,,,,,,,1456 kj(348 kcal),18,"0,5","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,
1489,Cake Lardons Emmental,3760154260015,,,,,,['Bio'],,,,['France'],[],[],,?,,261,,15,,22,,"9,2",,,,,,,,,1092 kj(261 kcal),"4,8","1,6","0,68","0,272",,,,,,,,,,,,,,,,,,,,,,,,,
1490,Tarte aux poires 6/8p,0216204039030,C,,,,"['Tartes', 'Tartes sucrées', 'Tartes aux fruits', 'Tartelettes', 'Biscuit sec nappé aux fruits', 'Tartes aux poires']",,,,,['France'],[],[],,?,,212,-27%,"9,4",-32%,29,-16%,"2,5",-44%,81.3%,10.4%,3.5%,2.6%,2.1%,0.0%,56,887 kj(212 kcal),"4,9",18,"0,23","0,092",,9.4 g,en quantité modérée,4.9 g,en quantité modérée,18 g,en quantité élevée,0.23 g,en faible quantité,-27%,-32%,-7%,-6%,-6%,9,-29%,C,-29%,,,,,,,
1491,Popcorn shrimp,5011659723986,,,,,,,,,,['France'],[],[],,?,,228,,12,,"18,3",,"11,8",,,,,,,,,954 kj(228 kcal),"4,9","0,4","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,
