,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,packaging,brand,labels,markets,traceability_code,additives,nova_score,ingredients_origins,generic_name,allergens,brand_owner,palm_ingredients,link,manufacturing
1707,Cookie Crisp,3387399646574,['France'],[],['Sans huile de palme'],?,388,5,76,"6,7",1623 kj(388 kcal),"0,7",22,"0,79","0,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'en:palm-oil-free']",,,,,,,,,,,
1708,Rillettes pur canard au foie gras - Les Thomasines,3700518702676,['France'],[],[],?,514,"50,5","0,4","14,6",2151 kj(514 kcal),"16,7",0,"2,15","0,86",D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes de viande blanche', 'Rillettes de volaille', 'Rillettes de canard']",50.5 g,en quantité élevée,16.7 g,en quantité élevée,0 g,en faible quantité,2.15 g,en quantité élevée,,+28%,+28%,+38%,+34%,-31%,-100%,-10%,+57%,+57%,25,+30%,E,+30%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,['Les Thomasines'],,,,,,,,,,,,
1709,Assortiment de fruits deshydratés,2601014013512,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710,Rouille,3410120001226,['France'],[],[],?,476,50,3,"3,2",1992 kj(476 kcal),"5,2","0,49","2,38","0,952",D,"['Epicerie', 'Sauces', 'Mayonnaises', 'Sauce rouille']",50 g,en quantité élevée,5.2 g,en quantité élevée,0.49 g,en faible quantité,2.38 g,en quantité élevée,,+14%,+16%,+12%,+27%,-26%,-60%,+20%,+70%,+70%,20,+45%,E,+45%,81.1%,9.7%,5.1%,2.2%,1.9%,0.0%,53,,,,,,"['FR 01.255.005 CE', 'Montagnieu (Ain, France)']",,,,,,,,,
1711,L'escalope extra-fine - Le Gaulois,0217675016469,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Le Gaulois'],,,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",,,,,,,,,
1712,Jambon sec desosse,2252375095381,['France'],[],[],?,159,"3,1","0,5",20,665 kj(159 kcal),"2,2","0,5","5,7","2,28",E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs']",3.1 g,en quantité modérée,2.2 g,en quantité modérée,0.5 g,en faible quantité,5.7 g,en quantité élevée,,-32%,-32%,-76%,-55%,-15%,+33%,-31%,+14%,+14%,13,-22%,D,-22%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,,,,,,,,,,,,
1713,Saucisse sèche pur porc - Oberti,3349010003500,['France'],[],[],?,351,26,"1,7","27,5",1469 kj(351 kcal),"9,85",1,"4,57","1,828",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Oberti'],"['Viande Française', 'Viande Porcine Française']",,,,,,,,,,,
1714,Tomme des Pyrénées IGP,2890682023750,['France'],[],[],?,?,?,?,?,,,,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Produits de montagne', 'Fromages de montagne', 'Tommes', 'Tomme des Pyrénées']",,,,,,,,,,,,,,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,,
1715,Cervelas de Cheval et de Porc féculé,2670233016277,['France'],[],[],?,254,21,"6,6","9,8",1063 kj(254 kcal),"7,7","1,2","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1716,Thé vert bio Framboise Litchi - Terre d'Oc,3700324425691,['France'],[],[],?,0,0,0,0,0 kj(0 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""Terre d'Oc""]",['Bio'],,,,,,,,,,,
