,name,bar_code,brand,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,traceability_code,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,nova_score,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,packaging,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,manufacturing,link,ingredients_origins,allergens,generic_name,brand_owner,palm_ingredients
454,Papillotes,4056489040019,,,['France'],[],[],?,547,33,54,"7,1",,2289 kj(547 kcal),16,52,"0,12","0,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,8717496472793,8717496472793,,,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Non alimentaire', 'Open Beauty Facts']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,Ananas Pineapple Le sirop - Teisseire - 100ml,3092718619435,['Teisseire'],,['France'],[],[],?,?,?,?,?,100ml,,,,,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Desserts', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits en conserve', 'Fruits au sirop', 'Ananas au sirop']",,,,,,21.7%,37.3%,15.4%,18.3%,7.3%,0.0%,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,grand café long - L'Or,8711000422007,"[""L'Or""]",,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,L'or de Colza,3770009810005,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,Miel de lavande de Provence - Les Compagnons du Miel,3445731107302,['Les Compagnons du Miel'],,['France'],[],[],?,?,?,?,?,,,,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français', 'Miels de lavande', 'Miels de Provence']",,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,"['France', 'Provence']",,,,
460,Datte medjoul,2609923038183,,,['France'],[],[],?,322,"0,2",75,"1,8",,1347 kj(322 kcal),0,"66,5","0,01","0,004",,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Dattes', 'Dattes medjoul']",,+1%,+2%,+0%,0%,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,,,0.2 g,en faible quantité,0 g,en faible quantité,66.5 g,en quantité élevée,0.01 g,en faible quantité,8,C,,+1%,,+0%,+32%,+32%,+8%,+8%,,,,,,,
461,Carottes rapees,3760247832518,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,Infusion bio menthes francaises - BiOrigine,3286010055163,['BiOrigine'],['Bio'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,Magdalenas integrales sin azúcares añadidos - San Diego,8410581007497,['San Diego'],,['France'],[],[],?,474,"29,7","45,9","5,8",,1983 kj(474 kcal),"5,1","0,5","0,1","0,04",,B,"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,+7%,+30%,-13%,+2%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,29.7 g,en quantité élevée,5.1 g,en quantité élevée,0.5 g,en faible quantité,0.1 g,en faible quantité,7,C,,+8%,-26%,-98%,-88%,-88%,-62%,-62%,,,,,,,
464,Foie gras de canard entier mi-cuit,3760149956282,,['Sans additifs'],['France'],[],[],?,533,56,0,7,,2230 kj(533 kcal),26,0,"1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,Le Biscuit,3770002010099,,,['France'],[],[],?,418,26,40,"6,6",,1749 kj(418 kcal),12,31,"0,44","0,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,Soupe potimarron aux épices d'hiver - La Vie Claire - 50cl,3266191068435,['La Vie Claire'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'FR-BIO-15']",['France'],"['Eau', 'potimarron* 30%', 'courge musquée*', ""huile d'olive"", 'ail*', 'sel naturel de Camargue', 'épices* 0,1% ', 'gingembre*', 'cardamome* 0,02%', 'anis vert*', 'cannelle* 0,02%', 'poivre*', 'girofle*', 'badiane* 0,01%', "" *Ingrédients agricoles issus de l'Agriculture Biologique""]",[],203,49,"3,2","3,4","0,6",50 cl,203 kj(49 kcal),"0,6",2,"0,6","0,24",,,"['Plats préparés', 'Soupes']",-7%,-14%,+65%,-41%,-73%,,,,,,,,,3,['La Vie Claire'],3.2 g,en quantité modérée,0.6 g,en faible quantité,2 g,en faible quantité,0.6 g,en quantité modérée,1,B,,-14%,-1%,+16%,-31%,-31%,-39%,-39%,,,,,,,
467,Drumshanbo Gunpowder Irish Gin,5060434130228,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,"Moutarde aux brisures de truffe blanche d'été 1,2%",3760194213446,,,['France'],[],[],?,217,"19,3","4,7",8,,908 kj(217 kcal),"1,4","0,8","5,6","2,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,Remède De Secours Nuit Paisible,3760029841523,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,Ciobar Cioccopizette - Cameo,8003000550416,['Cameo'],,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,Arome vanille,3278581621106,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Arôme vanille'],,,,,,,,,,,,,,
472,Haribo Flopy 2 KG.,3103220025185,['Haribo'],,['France'],[],[],?,372,"0,5",91,"1,7",,1556 kj(372 kcal),"0,1",80,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,Melange essentiel,3663559000258,,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],?,467,28,36,14,,1954 kj(467 kcal),"3,7",26,"0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,Rawsage original,8594071480868,,,['France'],[],[],?,508,32,41,14,,2125 kj(508 kcal),7,32,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Miel Chêne 500G,3263620410568,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,Filet mignon de porc,20294755,,"['Viande Française', 'Viande Porcine Française']",['France'],[],[],?,136,"5,1","0,5",22,,569 kj(136 kcal),"2,1","0,5","0,12","0,048",,,"['Viandes', 'Porc', 'Filets mignons de porc']",,+8%,+36%,+85%,+1%,,,,,,,,,,,5.1 g,en quantité modérée,2.1 g,en quantité modérée,0.5 g,en faible quantité,0.12 g,en faible quantité,-2,A,,+8%,+40%,+179%,-69%,-69%,,,,,,,,,
477,Pain suisses chocolat,0204429014437,,['Point Vert'],['France'],[],[],?,325,15,41,5,,1360 kj(325 kcal),"9,8",15,"0,86","0,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,Les coteaux chinon,3338480020957,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
479,Miel de Corse Maison Cappaccini,3700439701284,['Maison Cappaccini'],,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,Coteaux bourguignons aop,3770011657001,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,Egg Mayo Is Back !,5028030001441,,,['France'],[],[],?,207,"8,2","21,8","10,2",,866 kj(207 kcal),"1,9","2,8","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,Frico Slice Cheese Edam,8710912968160,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
483,Mini chocolats oursons - Riegelein,4013900968406,['Riegelein'],,['France'],[],[],?,565,36,53,"6,7",,2364 kj(565 kcal),22,53,"0,23","0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
484,Siracuse,800949000547,['Siracuse'],"['Bio', 'Bio européen', 'IT-BIO-009']",['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,Cacahuètes enrobées salées - Auchan,8435177055379,['Auchan'],"['Nutriscore', 'Nutriscore D']",['France'],[],[],?,482,24,47,16,,2017 kj(482 kcal),3,"8,7","2,5",1,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coque grillés', 'Cacahuètes', 'Cacahuètes grillées']",,-21%,-51%,+288%,-38%,91.0%,1.7%,3.2%,2.0%,2.2%,0.0%,45,,,['Auchan'],24 g,en quantité élevée,3 g,en quantité modérée,8.7 g,en quantité modérée,2.5 g,en quantité élevée,9,C,,-21%,-58%,+66%,+153%,+153%,+50%,+50%,,,,,,,
486,Vain,3760087344011,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
487,Pain Rond Olive,7990000000113,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
488,faux filet race limousine - Charal,0292400037322,['Charal'],,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,Petit pot bébé - Babylove - 190g,4058172048036,['Babylove'],"['Bio', 'en:EG-Öko-Verordnung']",['France'],[],[],?,84,5,"17,2","1,3",190 g,351 kj(84 kcal),1,"10,4","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,Paté de campagne aux morilles,3428390006735,,"['Sans colorants', 'Sans conservateurs']",['France'],[],[],?,334,"31,4","0,7","12,1",,1397 kj(334 kcal),"12,5","0,2","1,75","0,7","['FR 47.150.001 CE', 'Longueville (Lot-et-Garonne, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,Choucroute garnie 4 personnre,3252832603332,,,['France'],[],[],?,?,?,?,?,,,,,,,"['EMB 10297', 'Pont-Sainte-Marie (Aube, France)', 'FR 10.297.001 CE', 'Pont-Sainte-Marie (Aube, France)']",C,"['Plats préparés', 'Choucroutes', 'Choucroutes garnies']",,,,,,59.3%,25.1%,6.2%,5.0%,2.6%,1.9%,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Le caramel pralin noisette - Les petits cagnotes - 220g,70074130,['Les petits cagnotes'],['Sans conservateurs'],['France'],[],[],?,?,"27,7","52,9","1,1",220g,,"17,6","52,4","0,73","0,292",,B,"['Édulcorants', 'Sucres']",,,+31094%,-46%,+447%,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,,,,27.7 g,en quantité élevée,17.6 g,en quantité élevée,52.4 g,en quantité élevée,0.73 g,en quantité modérée,,,,,+81006%,-44%,+2188%,+2188%,,,,,,,,,
493,Guimauve enrobées chocolat au lait - Sacré Antonin!,3770006856693,['Sacré Antonin!'],"['Bio', 'Bio européen', 'FR-BIO-01', 'Fabriqué en France', 'Sans conservateurs']",['France'],[],[],?,462,18,70,"3,5",,1933 kj(462 kcal),12,51,"0,05","0,02",,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Guimauves enrobées de chocolat']",,+17%,+59%,+2%,-12%,,,,,,,,,,,18 g,en quantité modérée,12 g,en quantité élevée,51 g,en quantité élevée,0.05 g,en faible quantité,24,E,,+16%,+69%,-10%,-27%,-27%,+15%,+15%,,,,,,,
494,Huile d'olive France - Bio Planete,3445020005814,['Bio Planete'],['Bio'],['France'],[],[],?,819,91,0,0,,3427 kj(819 kcal),14,0,0,0,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,-5%,-5%,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,91 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,6,C,,-4%,0%,,-100%,-100%,-2%,-2%,,,,,,,
495,Plaques de florentin,2010048220016,,,['France'],[],[],?,554,36,"43,7",11,,2318 kj(554 kcal),"10,2",29,"0,145","0,058",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,"Pierre Chanau Chinon rouge 12,5°",3254560828636,['Pierre Chanau'],,['France'],[],[],?,68,0,"0,2","0,1",,285 kj(68 kcal),0,"0,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497,Salam de biscuiti,5941905086285,,,['France'],[],[],?,447,"13,53","65,3","4,48",,1870 kj(447 kcal),"3,28","34,6","0,189","0,076",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,Bigarreaux dénoyautés - Beyer,3299342249308,['Beyer'],,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,Caldo para paella de pescado y marisco con sofrito 100% natural envase - Aneto - 1l,8410748001108,['Aneto'],,['France'],[],[],123,30,"2,4",1,"0,8",1 l,123 kj(30 kcal),"0,4","0,3","0,8","0,32",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Sauces', 'Bouillons', 'Bouillons liquides']",,+20%,+208%,-70%,-46%,,,,,,,,,,,2.4 g,en faible quantité,0.4 g,en faible quantité,0.3 g,en faible quantité,0.8 g,en quantité modérée,,,,-5%,+184%,-78%,-80%,-80%,,,,,,,,,
500,Ah Fries Roggebrood - Albert Heijn,8710400310433,['Albert Heijn'],,['France'],[],[],?,205,"1,5",37,"5,5",,858 kj(205 kcal),"0,2",12,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,Le val,3308440058351,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Cool Tortillas - By Sainsbury's,01409840,"[""By Sainsbury's""]",,"['France', 'Royaume-Uni']",[],[],?,490,"22,5","63,4","6,1",,2050 kj(490 kcal),"1,6","1,2","1,28","0,512",,,,,,,,,,,,,,,,,,"[""Sainsbury's""]",,,,,,,,,,,,,,,,,,,,,,,,,
503,Coeur coulant au chocolat 90g x2 -  - 180g,0202475019680,,,['France'],"['OEUFS', 'chocolat ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant: lécithine de SOJA', 'arôme vanille', ' ', '21% ', ' ', 'sucre', 'eau', 'beurre ', 'LAIT', 'farine de blé ', 'GLUTEN', 'huile de coprah non hydrogénée', 'poudre de cacao ', '1,8 %', ' ', 'poudre de LAIT ', 'émulsifiant : lécithine de SOJA']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,382,"20,7","42,1","5,8",180 g,1598 kj(382 kcal),"14,2","36,2","0,1","0,04",,,"['Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries']",,+1%,+23%,-12%,+8%,,,,,,,,['E322i - Lécithine'],4,['Carrefour'],20.7 g,en quantité élevée,14.2 g,en quantité élevée,36.2 g,en quantité élevée,0.1 g,en faible quantité,22,E,['Plastique'],+2%,+74%,+24%,-76%,-76%,+29%,+29%,,,,"['Œufs', 'Gluten', 'Lait', 'Soja']",,,
504,Kit Pad thai - street kitchen,9334279004829,,,['France'],[],[],?,165,"2,3","31,7","4,7",,690 kj(165 kcal),"0,5",9,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,Jolis coeurs (bihotz ttipia),3514962022118,,,['France'],[],[],?,557,"33,3","55,6",7,,2330 kj(557 kcal),"11,9","49,5","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,Demi Soda Apple,8801097160064,,,['France'],[],[],?,100,0,"12,4",0,,418 kj(100 kcal),0,"12,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,Pommes de terre - U - 2.5kg,3389380240143,['U'],,['France'],['Pommes de terre'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,2.5kg,,,,,,,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pommes de terre']",,,,,,28.6%,0.0%,23.6%,24.0%,19.8%,4.1%,98,,1,['U expresse'],,,,,,,,,,,['Sachet'],,,,,,,,,,,,,,
508,Bonbons provenant du musée national de Copenhague - ________ - 100g,5707036130002,['________'],,['France'],[],[],?,?,?,?,?,100 g,,,,,,,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,Crêpes - 360g,3770013133022,,,['France'],[],[],?,296,"5,9",51,9,360 g,1238 kj(296 kcal),"1,4",23,"0,52","0,208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,Galettes citron - Biscuiterie de Ré - 320g,376002865073,['Biscuiterie de Ré'],,['France'],[],[],?,?,?,?,?,320g,,,,,,,,"['Crêpes et galettes', 'Galettes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,Pop corn,5601009943319,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,Sel de cuisine - 1kg,3183280006157,,,['France'],[],[],?,?,?,?,?,1 kg,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Paquet'],,,,,,,,,,,,,,
513,Bonhommes de neige,5411333993245,,,['France'],[],[],?,549,33,56,"5,7",,2297 kj(549 kcal),15,55,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,bacon fumé - russe - 404g,2824016004047,['Russe'],,['France'],[],[],?,?,100,0,100,404 g,,100,0,2,"0,8",,,['Aliment'],,,,,,,,,,,,,,,['la belle russie'],100 g,en quantité élevée,100 g,en quantité élevée,0 g,en faible quantité,2 g,en quantité élevée,,,['sous vide'],,,,,,,,['Allemagne'],,['Gras du porc fumé'],,,,
515,Huile de coco - SANA GAÏA - 1litre,0705632865477,['SANA GAÏA'],,['France'],[],[],?,?,?,?,?,1 litre,,,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits et graines de fruits', 'Huiles de coco']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,Coppa - Berni - 60g,3264057564510,['Berni'],,['France'],[],[],?,243,"14,8","0,4","26,9",60 g,1017 kj(243 kcal),6,"0,2","4,25","1,7","['FR 55.545.002 CE', 'Verdun (Meuse, France)']",E,"['Viandes', 'Charcuteries', 'Coppa']",,-20%,-27%,-35%,+1%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,,,14.8 g,en quantité modérée,6 g,en quantité élevée,0.2 g,en faible quantité,4.25 g,en quantité élevée,18,D,,-18%,-24%,-38%,-5%,-5%,-11%,-11%,,,,,,,
517,Sauce andalouse - 500ml,5420058002408,,['Halal'],['France'],[],[],?,406,42,"6,1","1,7",500 ml,1699 kj(406 kcal),"2,4","4,5","4,3","1,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,Miel -,3434830014031,,,['France'],[],[],?,?,?,?,?,,,,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,Barrita de frutas con piña y plátano sin gluten y sin lácteos - Miterra,8435470201541,['Miterra'],,['France'],[],[],?,96,"0,2","22,5","1,4",,402 kj(96 kcal),"0,1","18,5","3,2","1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,Pâté d'Hermesnil - 95g,3400000050246,"[""Pâté d'Hermesnil""]",,['France'],[],[],?,?,?,?,?,95g,,,,,,"['FR 76.328.001 CE', 'Grigneuseville (Seine-Maritime, France)']",,"['Viandes', 'Charcuteries']",,,,,,,,,,,,,,,,,,,,,,,,,,['Pot'],,,,,,,,['scea du four banal'],,['France'],,,,
521,Roasted onion sauce - Heinz,5000157142832,['Heinz'],['Sans conservateurs'],['France'],[],[],?,322,31,9,1,,1347 kj(322 kcal),"3,6",6,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,Amanida Capriccio Amb Canonges Primaflor,8425779043263,,,['France'],[],[],?,24,"0,4","1,4","1,7",,100 kj(24 kcal),"0,09","1,1","0,18","0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,Salad mix knorr,8711200384648,['Knorr'],,['France'],[],[],?,576,41,24,22,,2410 kj(576 kcal),5,"5,7","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,Tarte normande -,0286688042642,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,Guarana,4002029063017,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,Farine de noix de coco -,7467849561087,,['en:gluten-free'],['France'],[],[],?,60,"1,5",9,3,,251 kj(60 kcal),1,3,0,0,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Noix de coco sèches', 'Farine de noix de coco séchée']",,-84%,-89%,-68%,-82%,,,,,,,,,,,1.5 g,en faible quantité,1 g,en faible quantité,3 g,en faible quantité,0 g,en faible quantité,-6,A,,-84%,-91%,-79%,-100%,-100%,-223%,-223%,,,,,,,
527,Curcuma power - Cook - 35g,3417960039099,['Cook'],['Biopartenaire'],['France'],[],[],?,?,?,?,?,35 g,,,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Carte d'Or bio NOCCIOLA - 480ml 250g,8711327306158,"[""Carte d'Or"", 'Unilever']","['Bio', 'Bio européen']","['France', 'Italie']",[],[],?,236,14,23,"3,6",480 ml 250 g,987 kj(236 kcal),11,20,"0,08","0,032",,A,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces au praliné']",,+7%,+28%,-12%,+8%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,14 g,en quantité modérée,11 g,en quantité élevée,20 g,en quantité élevée,0.08 g,en faible quantité,16,D,"['Pot', 'Carton', 'Surgelé']",+8%,+61%,-11%,-47%,-47%,+27%,+27%,['Italie'],,,,,,
529,Walnut Nature nueces - Coco Mil - 400g,8428532160610,['Coco Mil'],"['en:gluten-free', 'Sans sucre ajouté']",['France'],[],[],?,477,20,64,9,400 g,1996 kj(477 kcal),"1,9","5,8","0,11","0,044",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Boissons végétales en poudre', 'Boissons végétales de fruits à coque en poudre', 'Boissons végétales de noix en poudre']",,+51%,+104%,+62%,-13%,,,,,,,,,,,20 g,en quantité modérée,1.9 g,en quantité modérée,5.8 g,en quantité modérée,0.11 g,en faible quantité,2,B,,+51%,+96%,-34%,+32%,+32%,+414%,+414%,,,,,,,
530,Pommes Gala,3276554562593,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,Paneton,7750243042284,,['Sans colorants'],['France'],[],[],?,352,8,58,11,,1473 kj(352 kcal),4,18,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,Miel de tournesol,3770002772010,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,Barre amande énergie citron - Apurna,3288111425456,['Apurna'],,['France'],[],[],?,415,"13,3","63,9","10,3",,1736 kj(415 kcal),1,"57,6","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,Wholewheat couscous - Waitrose,5000169162149,['Waitrose'],,['France'],[],[],?,157,"1,3","28,7","5,9",,657 kj(157 kcal),"0,3","1,8","0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,whey protein,565447610510,,,['France'],[],[],?,76,"4,7","7,9","77,2",,318 kj(76 kcal),"3,3",0,"0,53","0,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
