,name,bar_code,brand,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,traceability_code,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,nova_score,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,packaging,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,manufacturing,link,ingredients_origins,allergens,generic_name,brand_owner,palm_ingredients
141,Entrepinares - 100g,2350267012291,['Entrepinares'],['en:gluten-free'],['France'],[],[],?,440,38,"1,6",23,100g,1841 kj(440 kcal),28,"0,5","1,6","0,64",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de brebis']",,+22%,+23%,+78%,+15%,87.8%,4.4%,3.0%,3.1%,1.4%,0.4%,44,,,,38 g,en quantité élevée,28 g,en quantité élevée,0.5 g,en faible quantité,1.6 g,en quantité élevée,17,D,,+22%,+34%,+84%,-35%,-35%,-2%,-2%,,,,,,,
142,spirukrunch superficie granola sarrasin coco spiruline - tiboom - 150g,7080723763713,['Tiboom'],"['Bio', 'en:gluten-free', 'Fabriqué en France', 'Sans sucre ajouté']",['France'],"['Datte*', 'sarrasin*', '19%', ' ', 'tournesol*', 'noix de coco ', '11% ', 'raisin""', 'noix de cajou spiruline1,55%', ""vanille* sel de Guérande Ingredients issus de l'agriculture biologique Peut contenir des traces de sésame"", 'fruits à coques et gluten  poids net:150g']",[],?,387,27,40,"10,5",150g,1619 kj(387 kcal),8,23,"0,1","0,04",,,,,,,,,,,,,,,,,,['Naturalia'],,,,,,,,,,,['sachet refermable'],,,,,,,,,,,['Graines de sésame'],,,
143,Mini protein muffins - Prozis,5600499521373,['Prozis'],,['France'],[],[],?,299,14,37,12,,1251 kj(299 kcal),"3,1","4,8","0,9","0,36",,,"['Biscuits et gâteaux', 'Gâteaux', 'Muffins']",,-24%,-31%,-24%,+131%,,,,,,,,,,,14 g,en quantité modérée,3.1 g,en quantité modérée,4.8 g,en faible quantité,0.9 g,en quantité modérée,5,C,,-25%,-17%,-82%,+21%,+21%,-68%,-68%,,,,,,,
144,Chips de coco au cacao - Direct Producteurs Fruits Secs - 100g,3760159012138,['Direct Producteurs Fruits Secs'],"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['France'],[],[],2046,680,61,13,"6,1",100 g,2046 kj(680 kcal),57,13,"0,75","0,3",,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits tropicaux', 'Fruits secs', 'Noix de coco', 'Noix de coco sèches', 'Chips de noix de coco séchée']",,+15%,+11%,-6%,-6%,70.3%,0.0%,8.0%,9.7%,8.6%,3.4%,54,,,['Magasins bio'],61 g,en quantité élevée,57 g,en quantité élevée,13 g,en quantité élevée,0.75 g,en quantité modérée,8,C,['Sachet'],-16%,+27%,+43%,+202%,+202%,+6%,+6%,['Sri Lanka'],http://www.directproducteursfruitssecs.com/fruitsec/?produit=noix_de_coco&id=78,,,Chips de coco au cacao,,
145,Cure DIET - XANTIS - 30sachets de 11g,3401576767521,['XANTIS'],,['France'],"['ure XANTIS DEPUIS #027 Cure Diet 30 jours Complément alimentaire Ingrédients ', 'poudre', ' pour 1 sachet Fibres de Pomme* 1910 mg', 'Figue 1780 mg', 'Pulpe de Baobab* 1771,5 mg', 'Pomme* 1100 mg', 'Pruneau* 1100 mg', 'Hydroxyde de Magnésium 650 mg ', 'apporte 292,5 mg de magnésium élément soit 78 % des AJR', 'Chondrus Crispus 500 mg', ""Extrait d'Ananas riche en bromélaïne 350 mg"", 'Curcuma* 300 mg', ' Lithothamne 300 mg', 'Extrait de racine de Pissenlit* 260 mg', 'Gingembre* 220 mg', 'Extrait de Papaye riche en papaïne 200 mg', 'Angélique racine* 200 mg', 'antiagglomérant : silice', 'Extrait de Romarin* 100 mg Lactobacilles Sporogènes 66,5 mg ', '1 milliard/sachet', 'Extrait de Mélisse* 52 mg', 'Extrait de Menthe Poivrée* 50 mg', 'Extrait de Thé Vert 20 mg', 'Extrait de pépins de Raisin 10 mg', ' Garanti cultivé sans engrais chimiques ni pesticides de synthèse']",[],?,?,?,?,?,30 sachets de 11 g,,,,,,,,['Compléments alimentaires'],,,,,,,,,,,,,"['E551 - Dioxyde de silicium', 'E392 - Extrait de romarin']",4,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Entrecôte - Charal,2494558044155,['Charal'],,['France'],[],[],?,205,"14,2",0,"19,2",,858 kj(205 kcal),"5,6",0,"0,2","0,08",,E,"['Viandes', 'Bœuf', 'Entrecôte de boeuf']",,-2%,-4%,-100%,-1%,97.6%,0.4%,0.8%,0.7%,0.4%,0.3%,3,,,,14.2 g,en quantité modérée,5.6 g,en quantité élevée,0 g,en faible quantité,0.2 g,en faible quantité,2,B,,-2%,-15%,-100%,+33%,+33%,-35%,-35%,,,,,,,
147,500g,8421119001771,,,['France'],[],[],?,?,?,?,?,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Miel de Lavande Maritime - Les Comtes de Provence - 250g,3324498002443,['Les Comtes de Provence'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],['miel'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",1417,334,"0,1","82,9","0,2",250 g,1417 kj(334 kcal),0,"66,7",0,0,,A,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",,+36%,-34%,+15%,-42%,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,2,,0.1 g,en faible quantité,0 g,en faible quantité,66.7 g,en quantité élevée,0 g,en faible quantité,,,['pot en verre'],+38%,-100%,+4%,-100%,-100%,,,['France'],,['Espagne'],,Miel de Lavande Maritime liquide BIO 250g,,
149,filets de poisson merlu blanc surgeles fead2018 code association 15753 - 460g,3700156705183,,,['France'],[],[],?,?,?,?,?,460g,,,,,,,E,"['Produits de la mer', 'Poissons', 'Surgelés', 'Plats préparés', 'Fruits de mer surgelés', 'Plats préparés au poisson', 'Poissons surgelés', 'Filet de merlu', 'Filet de merlu surgelé']",,,,,,84.9%,3.6%,1.7%,7.6%,1.4%,0.8%,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,8003535031893,8003535031893,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,5941832002037,5941832002037,,,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Crousti Choc Noisette Belledonne - 100g,,['Belledonne'],"['Bio', 'Meilleur produit BIO Biolaune']",['France'],"['Chocolat au lait', 'farine de riz complet', 'sucre de canne roux', 'beurre', 'œuf*', 'huile de tournesol', 'éclats de noisettes toastées', 'raisins secs sultanine', 'sirop de maïs', 'bicarbonate de sodium', 'sel marin non raffiné']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,526,31,55,"5,9",100 g,2201 kj(526 kcal),17,31,"0,53","0,212",,,['Biscuits et gâteaux'],,+22%,+62%,-4%,-0%,,,,,,,,['E500ii - Carbonate acide de sodium'],3,['Biocoop'],31 g,en quantité élevée,17 g,en quantité élevée,31 g,en quantité élevée,0.53 g,en quantité modérée,22,E,['Vrac'],+22%,+99%,+7%,-6%,-6%,+19%,+19%,,https://www.pain-belledonne.com/fr/produits/crousti-choc-noisette,,"['Œufs', 'Lait']","Biscuit  à la farine de riz complet, aux raisins secs et aux éclats de noisettes, enrobé de chocolat au lait",,
153,Blé soufflé - Gavroche Céréales - 650g,3700181513265,['Gavroche Céréales'],['Fabriqué en France'],['France'],[],[],?,383,"1,5",80,"9,7",650 g,1602 kj(383 kcal),"0,3","32,3","0,5","0,2",,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']",,-4%,-83%,+20%,+4%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,1.5 g,en faible quantité,0.3 g,en faible quantité,32.3 g,en quantité élevée,0.5 g,en quantité modérée,8,C,,-4%,-86%,+93%,+40%,+40%,+48%,+48%,,,,,,,
154,Prosciutto Crudo - Conad,2827500014447,['Conad'],['en:gluten-free'],['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Mage Malte Alchimie - 4g,3760268300256,,,['France'],[],[],?,?,?,?,?,4 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Végé Weenies,7032953000717,,"['Végétarien', 'Végétalien']",['France'],[],"['Végétalien', 'Végétarien']",?,269,"14,6","3,7","30,6",,1125 kj(269 kcal),"1,3","0,4","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Macadamia Nuts - duck creek macadamia - 288gr,9328245333006,['duck creek macadamia'],"['en:gluten-free', 'Fabriqué en Australie']","['Australie', 'France']","['MILK&DARK CHOCOLATE OVER PREMIUM HONEY RIASTED MACADAMIAS Dark Chocolate Over Premium Honey Roasted Macadamias INGREDIENTS: Dark chocolate 71% ', 'cocoa solids 61%', 'cocoa mass', 'sugar', 'cocoa butter', 'soya lecithin ', '322', 'macadamias 22%', 'raw sugar ', 'honey 1%', 'coating ', 'glucose', 'tapioca starch', 'vegetable oil', 'emulsifier ', 'E472a', 'ethyl alcohol', 'glaze ', '904', ' Milk Chocolate Over Premium Honey Roasted Macadamias INGREDIENTS: Milk chocolate 71% ', 'cocoa solids 30%', 'sugar', 'cocoa butter', 'milk solids 24%', 'cocoa mass soya lecithin ', '322', 'emulsifier ', 'E476', 'natural vanilla flavour', 'macadamias 22%', 'raw sugar', 'honey 1%', 'coating ', 'glucose', 'tapioca starch', 'vegetable oil', 'emulsifier ', 'E472a', 'ethyl alcohol', 'glaze ', '904', ' This product contains dairy', 'soy and tree nuts', ' May contain traces of peanuts', 'fish and crustacea']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",2371,?,"37,9",?,"7,3",288gr,2371 kj(567 kcal),15,"48,6","0,312","0,125",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés']",+3%,,-12%,,-54%,,,,,,,,"['E322i - Lécithine', ""E472a - Ester diacétyl-acétique d'acides gras"", 'E1510 - Éthanol', 'E322 - Lécithines', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin""]",4,,37.9 g,en quantité élevée,15 g,en quantité élevée,48.6 g,en quantité élevée,0.312 g,en quantité modérée,27,E,['Sachet'],+1%,+169%,+431%,-6%,-6%,+321%,+321%,['Australie'],,['en:Australie'],"['Lait', 'Fruits à coque', 'Soja']",,,
