,name,bar_code,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,brand,markets,additives,allergens,nova_score,labels,traceability_code,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,palm_ingredients,packaging,generic_name,ingredients_origins,manufacturing,link
0,"Le Trianon, 6 à 8 Parts -",2023221000008,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries']",['France'],[],[],24 g,en quantité élevée,14 g,en quantité élevée,33 g,en quantité élevée,0.08 g,en faible quantité,?,,401,+6%,1678 kj(401 kcal),+7%,24,+43%,14,+72%,40,-17%,33,+13%,"5,6",+4%,"0,08",-81%,"0,032",-81%,22,+29%,E,+29%,,,,,,,,,,,,,,,,,,,,,,
1,Flan 6 Parts - Carrefour,2023225000103,,['France'],"['LAIT écrémé 58', '8%', 'pâte feuilletée 13,4% [farine de BLE ', 'dont gluten de BLE', 'BEURRE 3', '6%', 'eau', 'sel]', 'sucre', 'OEUFS', 'BEURRE', 'amidons modifiés de maïs', 'amidon de maïs', 'arômes', 'colorants : caroténoïdes ', 'El 60a', 'curcumine ', 'El 00', ' Produit fabriqué dans un atelier qui manipule des noix', 'noisettes', 'amandes', 'pistaches', 'soja']",['Non végétalien'],,,,,,,,,?,,255,,1067 kj(255 kcal),,"3,6",,"1,2",,1,,1,,0,,0,,0,,,,,,['Carrefour'],['Carrefour'],"['E14XX - Amidons modifiés', 'E160 - Caroténoïdes', 'E100 - Curcumine']","['Œufs', 'Gluten', 'Lait']",4,,,,,,,,,,,,,,,,,
2,Gâteau Trianon 2 Part Individuelles -,2023233000003,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries']",['France'],[],[],24 g,en quantité élevée,14 g,en quantité élevée,33 g,en quantité élevée,0.08 g,en faible quantité,?,,401,+6%,1678 kj(401 kcal),+7%,24,+43%,14,+72%,39,-19%,33,+13%,"5,7",+6%,"0,08",-81%,"0,032",-81%,22,+29%,E,+29%,,,,,,,,,,,,,,,,,,,,,,
3,Coffee capsules,2023284699997,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes']",['France'],[],[],,,,,,,,,?,,34,+143%,142 kj(34 kcal),+82%,"1,5",+98%,"0,9",+129%,"3,6",+51%,"3,6",+128%,"1,6",+109%,"0,1",+29%,"0,04",+29%,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,
4,Coffee capsules latte macchiato,2023284799994,,['France'],[],[],,,,,,,,,?,,40,,167 kj(40 kcal),,"1,9",,"1,2",,"3,7",,"3,7",,2,,"0,07",,"0,028",,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,
5,Yaourt nature bio,2023296994264,,['France'],[],[],,,,,,,,,?,,72,,301 kj(72 kcal),,"3,8",,"2,5",,5,,"4,9",,"3,9",,"0,16",,"0,064",,,,,,,,,,,['Bio'],"['FR 53.054.005 CE', 'Changé (Mayenne, France)']",,,,,,,,,,,,,,,
6,Mustard flavoured chips,2023300199999,,['France'],[],[],,,,,,,,,?,,534,,2234 kj(534 kcal),,"32,4",,"3,3",,"52,8",,"2,8",,"5,8",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Milk chocolate,2023366599993,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",['France'],[],[],33.5 g,en quantité élevée,20.6 g,en quantité élevée,54.1 g,en quantité élevée,0.19 g,en faible quantité,?,,551,-0%,2305 kj(551 kcal),-0%,"33,5",-3%,"20,6",+5%,55,+6%,"54,1",+10%,"6,5",-9%,"0,19",-18%,"0,076",-18%,26,+2%,E,+2%,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,E,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,,,
8,Candy,2023366999991,,['France'],[],[],,,,,,,,,?,,352,,1473 kj(352 kcal),,"0,1",,0,,"86,3",,"75,1",,"1,4",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,You are so lovely - Hema,2023367099997,,['France'],"['sucre', 'sirop de glucose', 'acidifiants [96 E330', 'sirop de glucose déshydraté', 'colorant El 20', 'arôme naturel de frombobel agents dlenroboqe E901 E903 E904', ' Valeur nutritive pour 100g:']",[],,,,,,,,,?,,381,,1594 kj(381 kcal),,0,,0,,"95,2",,"80,8",,0,,"0,01",,"0,004",,,,,,['Hema'],['Hema'],['E903 - Cire de carnauba'],,4,,,,,,,,,,,,,,,,,
10,melange de reglisse enrobee,2023368399997,,['France'],[],[],,,,,,,,,?,,350,,1464 kj(350 kcal),,"0,9",,"0,7",,"83,8",,"72,6",,"1,5",,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Candy Sour sweet - HEMA,2023368499994,,['France'],"['sugor', 'glucose syrup', 'ocid {96', 'notorol lemon flovouring', 'colouring El 41', ' Nutritional value per 100g: energy']",[],,,,,,,,,?,,372,,1556 kj(372 kcal),,0,,0,,93,,73,,0,,0,,0,,,,,,['HEMA'],['Hema'],,,,,,,,,,,,,,,,,,,,
12,Green tea - Hema,2023414799993,['Boissons'],['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,B,-100%,['Hema'],['Hema'],,,,,,,,,,,,,,,,,,,,
13,Tea Elegant Earl Grey,2023414999997,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Soda goût Citron-Citron Vert - hema - 500ml,2023790999994,,['France'],"['eau', 'SUcre', 'acide carbonique', 'acidifiant E330', 'arôme naturel de citron', 'arôme naturel']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",,,,,,,,,?,,40,,167 kj(40 kcal),,0,,0,,"10,1",,"10,1",,0,,0,,0,,,,,,['Hema'],['Hema'],"['E290 - Dioxyde de carbone', 'E330 - Acide citrique']",,4,,,,,,,,,,,500ml,,,,,,
15,Thé glacé pétillant,2023791099990,,['France'],[],[],,,,,,,,,?,,30,,126 kj(30 kcal),,0,,0,,"7,5",,"7,5",,0,,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Pate d’amandes,2023865099994,"['Massepain', ""Pâtes d'amande""]",['France'],[],[],15.6 g,en quantité modérée,1.6 g,en quantité modérée,63.5 g,en quantité élevée,0.06 g,en faible quantité,?,,430,-2%,1799 kj(430 kcal),-3%,"15,6",-7%,"1,6",-11%,"67,2",+3%,"63,5",+4%,"5,2",-17%,"0,06",+56%,"0,024",+56%,16,+3%,D,+3%,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,D,92.2%,3.6%,1.7%,1.8%,0.8%,0.0%,25,,,,,,,
17,Chocolat noir au granola - Hema,2023952599994,,['France'],[],[],,,,,,,,,?,,524,,2192 kj(524 kcal),,"32,3",,"18,8",,"48,3",,"43,9",,6,,"0,01",,"0,004",,,,,,['Hema'],['Hema'],,,,,,,,,,,,,,,,,,,,
18,Mini advent Calendar,2023956799994,,['France'],[],[],,,,,,,,,?,,540,,2259 kj(540 kcal),,"30,8",,"21,4",,"60,1",,"57,4",,"4,7",,"0,25",,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Pizza pate d’amande - Hema,2023956899991,,['France'],"['sucre', '30% AMANDES', 'LACTOSE', 'sirop de glucose', 'stabilisant E420', 'poudre de cacao', 'humectant E1103', 'épaississant E401', 'colorants EIOO E120 E140 E150a E153', ""agent d'enrobage E904"", ' Valeur nutritive pour 100g: énergie']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,431,,1803 kj(431 kcal),,"15,7",,"1,7",,"66,9",,"63,1",,"5,3",,"0,06",,"0,024",,,,,,['Hema'],['Hema'],"['E420 - Sorbitol', 'E1103 - Invertase', 'E401 - Alginate de sodium', 'E140 - Chlorophylles et Chlorophyllines', 'E153 - Charbon végétal médicinal', 'E904 - Gomme-laque']","['Lait', 'Fruits à coque']",4,,,,,,,,,,,,,,,,,
20,Pates d’amande - Hema,2023956999998,,['France'],"['28% AMANDES', 'LACTOSE ', 'sirop de alucose', 'stabilisant E420', 'beurre de cocoo', 'POUDRE DE LAIT ENTIER', 'humectant El 103', 'épaississant Ed01', 'graisse de palme', 'émulsifiants LECITHINE DE SOJA E472c', 'arôme naturà de vanille', 'concentrés !cor6ame citron', 'radis', 'al ues', 'carotte noire', ' colorants E 100 E120 E150a', ' Valeur nutritive pour 100g: énergie']","['Huile de palme', 'Non végétalien']",,,,,,,,,?,,437,,1828 kj(437 kcal),,"16,6",,"2,8",,"66,8",,"63,2",,"5,1",,"0,06",,"0,024",,,,,,['Hema'],['Hema'],"['E420 - Sorbitol', 'E100 - Curcumine', 'E120 - Acide carminique']","['Lait', 'Fruits à coque', 'Soja']",4,,,,,,,,,,,,['Huile de palme'],,,,,
21,Kruidnoten - Hema,2023957399995,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",['France'],"['WHEAT flour', 'sugar', 'cinnamon', 'clove', 'coriand2t peeli colourings E150c E150d', 'sugar syrup', 'potato starch', 'raising']",[],0.8 g,en faible quantité,0.1 g,en faible quantité,32 g,en quantité élevée,1.4 g,en quantité modérée,?,,349,-26%,1460 kj(349 kcal),-27%,"0,8",-96%,"0,1",-99%,78,+22%,32,+8%,"6,5",0%,"1,4",+138%,"0,56",+138%,16,-19%,D,-19%,['Hema'],['Hema'],"['E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', ""E150d - Caramel au sulfite d'ammonium""]","['Gluten', 'Fruits à coque', 'Avoine', 'Arachides']",4,,,C,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,
22,Speculaas fudge - Hema,2023972099993,,['France'],"['FR fUDGE AUX EP', 'CES SPÉCULOOS Ingrédicnts: e-ucre', ' de LtCrrHtNEOtSOJA Ot2u ŒUF', ' ARACHIDES,FRUITS c:']",[],,,,,,,,,?,,476,,1992 kj(476 kcal),,20,,14,,72,,61,,"2,1",,"0,68",,"0,272",,,,,,['Hema'],['Hema'],,"['Œufs', 'Arachides']",,,,,,,,,,,,,,,,,,
23,Chocolat au lait football game,2023972399994,,['France'],[],[],,,,,,,,,?,,527,,2205 kj(527 kcal),,"28,3",,"17,8",,"61,5",,"60,2",,"5,3",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Winter World Chocolate Building Kit - HEMA,2023973399993,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats']",['France'],"['sucre', 'beurre de cacao', 'POUDRE DE LAIT ENTIER', 'pâte de cacao', 'LACTOSE', 'émulsifiant LECITHINE DE SOJA']",['Non végétalien'],34.2 g,en quantité élevée,20.7 g,en quantité élevée,56 g,en quantité élevée,0.19 g,en faible quantité,?,,561,+2%,2347 kj(561 kcal),+2%,"34,2",-6%,"20,7",-2%,"57,3",+24%,56,+36%,"5,5",-24%,"0,19",+37%,"0,076",+37%,26,+11%,E,+11%,['HEMA'],['Hema'],['E322i - Lécithine'],"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Arachides', 'Graines de sésame', 'Soja']",4,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,
25,Spooky Chocolate - Hema - 125g e,2023973699994,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Chocolats', 'Chocolats au lait', ""Aliments et boissons d'Halloween""]",['France'],"['Sucre', 'beurre de cacao', 'POUDRE DE LAIT ENTIER', 'pâte de cacao', 'LACTOSÉRUM EN POUDRE ', 'LAIT', 'émulsifiants LÉCITHINE DE SOJA E476', 'arôme']",['Non végétalien'],30 g,en quantité élevée,18 g,en quantité élevée,61 g,en quantité élevée,0.19 g,en faible quantité,?,,543,+35%,2272 kj(543 kcal),+35%,30,+207%,18,+269%,62,-14%,61,+11%,6,+59%,"0,19",-21%,"0,076",-21%,26,+49%,E,+49%,['Hema'],['Hema'],,"['Lait', 'Soja']",4,"['Agriculture durable', 'en:UTZ Certified', '100% naturel', 'Point Vert', 'en:utz-certified-cacao']",,E,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,125 g e,,"['Carton', 'boîte', 'Plastique']",,,,
26,Mini pave sesame x4,2024000013370,,['France'],[],[],,,,,,,,,?,,230,,962 kj(230 kcal),,"0,9",,"0,2",,46,,"1,2",,"8,3",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Pain spécial graines et céréales,2024000027803,,['France'],[],[],,,,,,,,,?,,302,,1264 kj(302 kcal),,"6,9",,1,,45,,"2,2",,12,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Popcorn parmesan - Hema,2024047899999,,['France'],"[""I POPCORN À L'ARÔME DE PARMESAN maïs"", 'huile de palme', 'LACTOSÉRUM EN POUDRE ', 'LAIT', 'contient LAIT', 'LACTOSE', 'maltodextrine', 'sel', 'poivre noir', 'extrait de poivre colorant E160c']","['Huile de palme', 'Non végétalien']",,,,,,,,,?,,517,,2163 kj(517 kcal),,34,,"13,8",,"40,4",,"0,8",,"7,4",,"0,22",,"0,088",,,,,,['Hema'],['Hema'],,['Lait'],4,,,,,,,,,,,,['Huile de palme'],,,,,
29,Pop-corn  cinnamon bun flavour - Hema,2024047999996,,['France'],"['e verpckkfn', ' n POPCORN À LA CANNELLE 0,596 ET AU CLOU DE GIROFLE Ingrédients sucre', 'huile de palme', 'maltodextrine', 'fécule de pommes de w anis', 'arôme naturel ', 'contient du LAIT', 'colorant E150a', 'cannette', 'cicu de girofle']",['Huile de palme'],,,,,,,,,?,,447,,1870 kj(447 kcal),,"19,1",,"7,6",,"58,9",,"23,6",,"5,8",,"1,42",,"0,568",,,,,,['Hema'],['Hema'],['E150a - Caramel E150a'],['Lait'],4,,,,,,,,,,,,['Huile de palme'],,,,,
30,Pop corn - Hema,2024048199999,,['France'],"['palm oïl', 'gliJCOSe syrup', 'salt', 'maltodextrin', 'acidity regulator E500', 'E330', 'white pepper', 'natural flavouring', ' Keep in a cool', 'dry place', ' Bestbé2 see packaging', ' DE POPCORN MIT PROSECCO-GESCHMACK Zutaten: Zucker', 'Mais,']",[],,,,,,,,,?,,437,,1828 kj(437 kcal),,13,,"5,3",,72,,51,,"3,9",,"0,08",,"0,032",,,,,,['Hema'],['Hema'],['E330 - Acide citrique'],,,,,,,,,,,,,,,,,,,
31,Chocolate boules - Hema,2024119699991,,['France'],[],[],,,,,,,,,?,,538,,2251 kj(538 kcal),,"30,4",,"22,1",,"60,1",,"56,3",,"5,2",,"0,3",,"0,12",,,,,,['Hema'],['Hema'],,,,,,,,,,,,,,,,,,,,
32,Mug cookies - cinnamon flavour,2024154999995,,['France'],[],[],,,,,,,,,?,,433,,1812 kj(433 kcal),,"14,4",,"6,4",,"68,3",,"28,2",,"6,4",,"0,55",,"0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Boules de chocolat,2024202399999,,['France'],[],[],,,,,,,,,?,,538,,2251 kj(538 kcal),,"30,4",,"22,1",,"60,1",,"56,3",,"5,2",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Assortiment de chocolats fourrés - Hema,2024304799994,,['France'],"['sucre', 'beurre de cacao', 'POUDRE DE LAIT ENTIER', 'LACTOSÉRUM EN POUDRE ', 'LAIT', 'pâte de cacao', '4', '95% NOISETTE', 'graisses végétales en proportion variable ', 'graisse de noix de coco', 'graisse de palmiste', 'graisse de palme', 'poudre de cacao maigre', 'POUDRE DE LAIT ÉCRÉMÉ', 'farine de maïs', 'farine de riz', 'FARINE DE BLÉ', ""EXTRAIT DE MALT D'ORGE"", 'sel', 'émulsifiant LÉCITHINE DE SOJA', 'arômes', "" Peut contenir d'autres FRUITS À COQUE"", ' Valeur nutritive pour']","['Huile de palme', 'Non végétalien']",,,,,,,,,?,,544,,2276 kj(544 kcal),,"31,8",,"21,4",,"59,2",,"56,6",,"4,3",,"0,25",,"0,1",,,,,,['Hema'],['Hema'],,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,,,,,,,,,,,,['Huile de palme'],,,,,
35,Lolly - Hema,2024309699992,,['France'],"['sucre', 'sirop de glucose', 'eau', 'arôme', 'colorants EIOO E171']",[],,,,,,,,,?,,394,,1648 kj(394 kcal),,0,,0,,"98,6",,"80,2",,0,,0,,0,,,,,,['Hema'],['Hema'],,,4,"['Sans colorants', 'Sans arômes ajoutés']",,,,,,,,,,,,,,,,
36,Lolly - Hema,2024309799999,,['France'],[],[],,,,,,,,,?,,394,,1648 kj(394 kcal),,0,,0,,"98,6",,"80,2",,0,,0,,0,,,,,,['Hema'],['Hema'],,,,,,,,,,,,,,,,,,,,
37,12 Fortune Cookies - Hema,2024320899999,,['France'],[],[],,,,,,,,,?,,412,,1724 kj(412 kcal),,"4,2",,"2,3",,88,,46,,"5,2",,"0,13",,"0,052",,,,,,"['Hema', 'Brasserie La Madelon']",['Hema'],,,,"['Sans colorants', 'Sans arômes ajoutés']",,,,,,,,,,,,,,,,
38,Chocolate Milk Caramel - Hema,2024381999997,,['France'],"['VDroog CHOCOLAT NOIR 800E DE CARAMEL Q casserole', ' ede 800 C dans refroidir minutes', ' Ingrédien,', ""': GRASSE BUTYRIQUE"", 'GRAISSE contenir: ARACH*OES', 'FRUITS À COQUE acides gras saturés 17', '5g', 'glucisdes 54', '4g/cc-• chocolat noir moins 54%']",[],,,,,,,,,?,,508,,2125 kj(508 kcal),,28,,17,,54,,49,,6,,"0,05",,"0,02",,,,,,['Hema'],['Hema'],,['Soja'],,,,,,,,,,,,,,,,,,
39,Fudges sea salted - Hema,2024382299997,,['France'],"['sucre', 'sirop de glucose', 'graisse de palmiste', 'graisse de palme', 'POUDRE DE LAIT ÉCRÉME', '1% sel marin', 'émubiff LÉCITHINE DE SOJA', ' Peut contenir : ŒUF', 'ARACHIDES', 'FRUITS À COQUE', ' Àconserverau sec et à llabri de la chaleur']","['Huile de palme', 'Non végétalien']",,,,,,,,,?,,473,,1979 kj(473 kcal),,20,,14,,71,,60,,"2,2",,"1,29",,"0,516",,,,,,['Hema'],['Hema'],,"['Œufs', 'Lait', 'Arachides', 'Soja']",4,,,,,,,,,,,,['Huile de palme'],,,,,
40,Super yummy caramel fudges - Emma,2024382399994,,['France'],[],[],,,,,,,,,?,,476,,1992 kj(476 kcal),,20,,14,,72,,61,,"2,1",,"0,67",,"0,268",,,,,,['Emma'],,,,,,,,,,,,,,,,,,,,,
41,Sweet and soft Nougat peanut - HEMA,2024382499991,,['France'],"['Sirop de glucose', 'sucre', '16,5% arachides', 'eau', 'graisse de palme', 'graisse de palmiste', 'poudre de lait écrémé', 'poudre de blanc d’œuf de poule élevée au sol', 'sel', 'miel', 'arômes naturels de vanille', 'émulsifiant lécithine de tournesol']","['Huile de palme', 'Non végétalien']",,,,,,,,,?,,428,,1791 kj(428 kcal),,15,,"5,7",,67,,46,,"5,6",,"0,18",,"0,072",,,,,,['HEMA'],['Hema'],,,4,,,,,,,,,,,,['Huile de palme'],,,,,
42,Nougat - Hema,2024382699995,,['France'],['Eau'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,453,,1895 kj(453 kcal),,"19,5",,"9,5",,63,,"47,5",,"5,8",,"0,18",,"0,072",,,,,,['Hema'],['Hema'],,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,
43,Floating Marshmallows - Hema,2024382799992,,['France'],"['sirop de glucose', 'Sucre', 'dextrose', 'eau', 'stabilisant E420', 'gélatine', 'arôme naturel de vanille']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,,,?,,330,,1381 kj(330 kcal),,0,,0,,81,,77,,"3,1",,"0,25",,"0,1",,,,,,['Hema'],['Hema'],"['E420 - Sorbitol', 'E428 - Gélatine']",,4,,,,,,,,,,,,,,,,,
44,A box of delicious chocolates,2024408799999,,['France'],[],[],,,,,,,,,?,,539,,2255 kj(539 kcal),,"34,62",,"20,5",,"51,5",,"47,5",,"5,2",,"0,18",,"0,072",,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Chocolate seashells - Hema,2024408999993,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",['France'],"['Sucre', 'beurre de cacao POUDRE DE LAIT ENTIER', '14% NOISETTE', 'pâte de cacao', 'émulsifiant LÉCITHINE DE SOJA', 'arôme naturel de vanille']",[],33 g,en quantité élevée,15.5 g,en quantité élevée,55.1 g,en quantité élevée,0.16 g,en faible quantité,?,,551,+4%,2305 kj(551 kcal),+4%,33,+3%,"15,5",-11%,56,+7%,"55,1",+16%,"6,3",+7%,"0,16",+5%,"0,064",+5%,25,+2%,E,+2%,['Hema'],['Hema'],,"['Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,"['Agriculture durable', 'Pur beurre de cacao', 'en:UTZ Certified']",,,,,,,,,,,,,,,,
46,Cream chocolate - HEMA,2024409199996,,['France'],"['sucre', 'beurre de cacao', 'POUDRE DE LAIT ENTIER', 'pâte de cacao', 'CONCENTRÉ DE BEURRE', 'NOISETTE', 'sirop de glucose', 'sirop de sucre inverti', 'huile de palmiste', 'CRÈME', 'humectant E422', 'graisse de palme', 'grués de cacao', 'dextrose', 'farine de riz', 'émulsifiant LÉCITHINE DE SOJA', 'LACTOSÉRUM EN POUDRE ', 'LAIT', 'POUDRE DE LAIT ÉCRÉMÉ', 'GRAISSE DE LAIT', 'arôme naturel de vanille', 'arôme naturel', 'huile de colza', 'huile de tournesol', 'eau', 'café', 'sel', ' Peut contenir GLUTEN', 'BLÉ', 'ORGE', 'FRUITS À COQUE', ' Valeur nutritive pour IOOg: énergie']","['Huile de palme', 'Non végétalien']",,,,,,,,,?,,569,,2381 kj(569 kcal),,"39,1",,"23,2",,"47,8",,44,,"5,5",,"0,15",,"0,06",,,,,,['HEMA'],['Hema'],['E422 - Glycérol'],"['Gluten', 'Lait', 'Fruits à coque', 'Soja']",4,,,,,,,,,,,,['Huile de palme'],,,,,
47,Belgian chocolates,2024409299993,,['France'],[],[],,,,,,,,,?,,565,,2364 kj(565 kcal),,38,,"20,9",,"49,3",,46,,"5,5",,"0,15",,"0,06",,,,,,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,
48,Chocolate Milk Marshmallow - Hema,2024519999998,,['France'],"['sucre', 'pâte de cacao', 'sirop de glucose', 'beurre de cacao', 'dextrose', 'stabilisant E420', 'gélatine', 'graisse de lait', 'émulsifiant lécithine DE SOJA', 'arôme naturel de vanille', ' Peut  contenir : ARACHIDES', 'FRUITS À COQUE']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,494,,2067 kj(494 kcal),,"26,8",,"16,5",,"54,7",,49,,"5,5",,"0,01",,"0,004",,,,,,['Hema'],['Hema'],"['E420 - Sorbitol', 'E428 - Gélatine']","['Fruits à coque', 'Arachides', 'Soja']",4,,,,,,,,,,,,,,,,,
49,Sweet heart - Hema,2024597099993,,['France'],"['Sirop de Glucose', 'sucre gélatine', 'dextrose', 'acidifiant', 'amidon de blé', 'glycérine', 'jus de citron', 'colorants e100 e120 e141 e160 e163 e171 concentre colorant ', 'entrave rouge carotte noir', ' arôme naturel', 'huile de noix de coco']",[],,,,,,,,,?,,334,,1397 kj(334 kcal),,"0,3",,"0,1",,79,,"67,8",,"4,5",,"0,03",,"0,012",,,,,,['Hema'],['Hema'],"['E640i - Glycine', 'E422 - Glycérol', 'E100 - Curcumine', 'E120 - Acide carminique', 'E160 - Caroténoïdes', 'E171 - Oxyde de titane']",,4,,,,,,,,,,,,,,,,,
50,Bretzel au chocolat noir -,2024737099999,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['France'],[],[],31.4 g,en quantité élevée,19.2 g,en quantité élevée,46.6 g,en quantité élevée,0.01 g,en faible quantité,?,,524,-6%,2192 kj(524 kcal),-6%,"31,4",-20%,"19,2",-17%,"50,4",+31%,"46,6",+47%,"5,8",-24%,"0,01",-79%,"0,004",-79%,26,+23%,E,+23%,,,,,,,,E,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,
51,Milk chocolate pretzels - Hema,2024737199996,,['France'],"['sucre', 'beurre de cacao', 'POUDRE DE LAIT ENTIER', 'pâte de cacao', 'émulsifiant LÉCITHINE DE SOJA', 'arôme naturel de vanille', ' Peut contenir: GLUTEN', 'ARACHIDES', 'FRUITS À COQUE', ' Teneur en cacao du chocolat au lait moins 32%']",['Non végétalien'],,,,,,,,,?,,551,,2305 kj(551 kcal),,"33,5",,"20,6",,55,,"54,1",,"6,5",,"0,19",,"0,076",,,,,,['Hema'],['Hema'],,"['Gluten', 'Lait', 'Arachides', 'Soja']",4,,,,,,,,,,,,,,,,,
52,Mixed chocolate pretzels,2024737299993,,['France'],[],[],,,,,,,,,?,,546,,2284 kj(546 kcal),,"33,2",,"20,4",,"54,1",,"52,7",,"6,3",,"0,16",,"0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Œufs HEMA Fondant Crème Lait,2024763999997,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",['France'],[],[],29 g,en quantité élevée,17.2 g,en quantité élevée,57.7 g,en quantité élevée,0.12 g,en faible quantité,?,,521,-2%,2180 kj(521 kcal),-1%,29,-9%,"17,2",-1%,"59,6",+14%,"57,7",+21%,"4,5",-23%,"0,12",-22%,"0,048",-22%,26,+7%,E,+7%,['Hema'],['Hema'],,,,"['Agriculture durable', 'en:UTZ Certified', 'en:utz-certified-cacao']",,,,,,,,,,,,"['Sachet', 'Plastique', 'métal', 'Aluminium']",,,,
54,Oeufs chocolat noir croustillant-café,2024764099993,"['Aliments de Pâques', 'Œufs de Pâques']",['France'],[],[],35.1 g,en quantité élevée,23.3 g,en quantité élevée,47.4 g,en quantité élevée,0.2 g,en faible quantité,?,,545,-1%,2280 kj(545 kcal),-1%,"35,1",+4%,"23,3",+16%,"51,3",-5%,"47,4",-9%,"4,4",-34%,"0,2",-1%,"0,08",-1%,26,-0%,E,-0%,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,
55,Pan grande,2024770001249,,['France'],[],[],,,,,,,,,?,,280,,1172 kj(280 kcal),,"3,09",,"0,41",,"49,43",,"1,37",,"13,56",,"1,18",,"0,472",,,,,,,,,,,,,,,,,,,,,,,,,,,
