,name,bar_code,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,brand,markets,additives,allergens,nova_score,labels,traceability_code,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,palm_ingredients,packaging,generic_name,ingredients_origins,manufacturing,link
1110,Digestives dark chocolate - Sondey,20717407,,['France'],[],[],,,,,,,,,?,,508,,2125 kj(508 kcal),,24,,"12,4",,"64,9",,"27,9",,"5,9",,1,,"0,4",,,,,,['Sondey'],,,,,,,,,,,,,,,,,,,,,
1111,"biere "" the ginger Grizzly"" - HATHERWOOD -  acheté chez Lidl Grande Bretagne",20718572,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,['HATHERWOOD'],,,,,,,,,,,,,,,acheté chez Lidl Grande Bretagne,,,,,,
1112,Scottish smoked salmon - Deluxe,20718954,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",['France'],[],[],10.8 g,en quantité modérée,2 g,en quantité modérée,0.09 g,en faible quantité,2.3 g,en quantité élevée,?,,194,+5%,812 kj(194 kcal),+5%,"10,8",+3%,2,-3%,"0,09",-82%,"0,09",-73%,"23,9",+8%,"2,3",-18%,"0,92",-18%,13,-1%,D,-1%,['Deluxe'],,,,,,,E,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,
1113,Cooked ham,20719227,,['France'],[],[],,,,,,,,,?,,111,,464 kj(111 kcal),,2,,1,,1,,1,,22,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,Garlic Baguettes - chef select - 420g,20719562,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Céréales et pommes de terre', 'Snacks salés', 'Apéritif', 'Surgelés', 'Pains', 'Baguettes', ""Pains à l'ail"", 'Pains surgelés', ""Baguettes à l'ail""]","['France', 'Royaume-Uni']","['baguette ', 'fortified wheat flour ', 'wheat flour', 'calcium carbonate', 'iron', 'niacin', 'thiamin', 'water', 'yeast', 'salt', 'calcium propionate', 'ascorbic acid', 'garlic and parsley butter 23% ', 'unsalted butter 82% ', 'milk', 'garlic purée 14%', 'parsley 2', '5%', 'salt', 'concentrated lemon juice']",['Non végétalien'],16.6 g,en quantité modérée,10.1 g,en quantité élevée,4.1 g,en faible quantité,0.75 g,en quantité modérée,?,,354,,1481 kj(354 kcal),-7%,"16,6",-13%,"10,1",+35%,42,-4%,"4,1",+52%,"8,1",+2%,"0,75",-35%,"0,3",-35%,15,+6%,D,+6%,['chef select'],['Lidl'],['E282 - Propionate de calcium'],"['Gluten', 'Lait']",3,,,A,46.8%,27.9%,16.1%,8.1%,1.1%,0.0%,95,420g,,['plastic film'],2 garlic baguettes,,,
1115,Bio jus d'orange  - Solivita - 1l,20719605,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,['Solivita'],,,,,['Bio'],,,,,,,,,,1l,,,,,,
1116,Fromage pane a la grecque,20723330,,['France'],[],[],,,,,,,,,?,,308,,1289 kj(308 kcal),,8,,"7,4",,24,,"6,5",,"11,5",,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,Gâche - Saveurs de nos Régions,20723606,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Gâches']",['France'],"['farine de blé', 'sucre', 'beurre concentré ', 'lait', ' ', 'soit 12,3% en beurre reconstitué ', 'lait', 'Œufs frais', 'eau', '5,1 % crème fraîche ', 'lait', 'levain ', 'farine de blé', 'eau', 'sel', 'levure', 'sel', 'arômes ', 'contient alcool', ""émulsifiants : mono - et diglycérides d'acides gras"", 'stéaroyl-2-lactylate de sodium ', ' gluten de blé']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",14.2 g,en quantité modérée,9.3 g,en quantité élevée,14.1 g,en quantité élevée,1.03 g,en quantité modérée,?,,361,-2%,1510 kj(361 kcal),-2%,"14,2",-1%,"9,3",0%,"51,3",+1%,"14,1",-3%,"7,2",-11%,"1,03",+9%,"0,412",+9%,20,+9%,E,+9%,['Saveurs de nos Régions'],['Lidl'],"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E481 - Stéaroyl-2-lactylate de sodium', '', 'Risque élevé de sur-exposition']","['Œufs', 'Gluten', 'Lait']",4,,,,,,,,,,,,,,,,,
1118,Pretzelsticks,20724214,,['France'],[],[],,,,,,,,,?,,384,,1607 kj(384 kcal),,"4,4",,"1,6",,73,,"1,1",,11,,"3,65",,"1,46",,,,,,,,,,,,,,,,,,,,,,,['pp-packet'],,,,
1119,Choco Softies - Mister Choc,20724290,,['France'],[],[],,,,,,,,,?,,172,,720 kj(172 kcal),,"4,4",,"3,9",,"32,2",,"25,3",,1,,0,,0,,,,,,['Mister Choc'],['Lidl'],,,,,,,,,,,,,,,,,,,,
