,name,bar_code,brand,labels,sales_countries,ingredients_list,allergens,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,eco_score,categories,nova_score,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,generic_name,packaging,palm_ingredients,ingredients_origins,traceability_code,markets,manufacturing,link,producer_info
1666,Civet de Kangourou sauce Grand Veneur - Saveurs forestières - 800g,3368270548125,"['Saveurs forestières', 'LDC']",,['France'],"['Viande de Kangourou 50%', 'eau', 'gelée de groseille ', 'sirop de glucose-fructose', 'jus de groseille', 'sucre', 'gélifiant : pectine', 'acidifiant : E330', ""pulpe d'oignon"", 'crème', 'apéritif à base de vin ', ""dont coque d'amande"", 'amidon transformé de manioc', 'arômes naturels', 'Cognac', 'vinaigre de Xérès', 'concentré de tomate', 'sel', 'extrait de vin rouge distillé', 'sang de porc en poudre', 'colorant : E150c', ' dextrose', 'épices', 'arôme naturel de poivre']",['Lait'],"['Non végétalien', 'Non végétarien']",?,?,,?,,?,,?,,,800g,,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats préparés à réchauffer au micro-ondes', 'Viande de Kangourou']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E440 - Pectines', 'E330 - Acide citrique', 'E14XX - Amidons modifiés', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition']",,"['Barquette', 'Carton', 'Frais']",,,"['FR 72.253.002 CE', 'Roézé-sur-Sarthe (Sarthe, France)']",['Cora'],,,
1667,Le Grand Sablé d'Armor - Armor Délices,3368390000145,['Armor Délices'],,['France'],"['farine de blé', 'beurre pâtissier 25%', 'sucre', 'oeufs frais', ""jaunes d'oeufs"", 'poudres à lever ', 'diphosphates', 'carbonates de sodium', 'acide citrique', ""carbonates d'ammonium"", 'sel', 'caramel ', 'sucre', 'eau', 'sirop de glucose-fructose', 'acidifiant : acide citrique', 'colorant : caroténoïdes', ' Peut contenir des traces de soja']","['Œufs', 'Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,534,2234 kj(534 kcal),28,19,62,20,"7,2","0,3","0,12",,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E330 - Acide citrique', ""E503 - Carbonates d'ammonium"", 'E160 - Caroténoïdes']",,,,,,,,,
1668,Madeleines pur beurre au miel - Armor Délices - 264g,3368390000510,['Armor Délices'],,['France'],"['farine de blé', 'sucre', 'beurre pâtissier 25% ', 'colorant: caroténoïdes', 'oeufs frais ', '20%', 'miel ', '14%', 'lait demi-écrémé', 'nappage abricot ', 'sirop de glucose', 'eau', 'sucre', ""pulpe d'abricot"", 'gélifiants: pectine', 'alginate de sodium', 'gomme xanthane', 'farine de graines de caroube', 'acidifiant : acide lactique', ""correcteurs d'acidité : diphosphates"", 'lactate de calcium', 'dextrose', 'sel', 'poudres à lever ', 'diphosphates', 'carbonates de sodium', 'acide citrique', 'maltodextrine', 'arôme naturel de vanille', 'humectant: sirop de sorbitol', 'poudre de lactosérum', 'amidon de blé', ' Allergènes: farine de blé', 'beurre ', 'protéines laitières', 'oeufs', 'lait', ' OGM: L']","['Œufs', 'Gluten', 'Lait']",['Non végétalien'],?,462,1933 kj(462 kcal),"23,6","16,45","56,6","35,7",5,"0,725","0,29",264 g,B,"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",4,16.4 g,en quantité élevée,35.7 g,en quantité élevée,0.725 g,en quantité modérée,,+5%,+5%,+4%,+137%,+7%,+30%,-12%,-10%,-10%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,23.6 g,en quantité élevée,25,+36%,E,+36%,"['E160 - Caroténoïdes', 'E440 - Pectines', 'E401 - Alginate de sodium', 'E415 - Gomme xanthane', 'E410 - Gomme de caroube', 'E270 - Acide lactique', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E327 - Lactate de calcium', 'E500 - Carbonates de sodium', 'E330 - Acide citrique', 'E420ii - Sirop de sorbitol']",,['Plastique'],,,,,,,
1669,Sablés d'armor - Armor Délices,3368390000527,['Armor Délices'],,['France'],[],,[],?,534,2234 kj(534 kcal),28,19,62,20,"7,2","0,37","0,148",,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés']",,19 g,en quantité élevée,20 g,en quantité élevée,0.37 g,en quantité modérée,,+9%,+8%,+20%,+37%,-2%,-21%,+16%,-46%,-46%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,28 g,en quantité élevée,21,-4%,E,-4%,,,,,,,,,,
1670,Sablés pur beurre aux pépites de chocolat,3368390000718,,,['France'],[],,[],?,526,2201 kj(526 kcal),"27,7","12,2","60,1","24,7","7,4","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1671,La Madeleine d'Armor - Armor Délices - 528g (16madeleines),3368390000824,"['Armor Délices', 'Goûters Magiques S.A.S.']","['Point Vert', 'Fabriqué en France', 'en:produced-in-bretagne', 'Pur beurre']",['France'],"['Farine de blé', 'sucre', 'beurre pâtissier 25%', 'œufs frais 23%', 'lait demi-écrémé', 'nappage abricot ', 'sirop de glucose', 'eau', 'sucre', ""pulpe d'abricot"", 'gélifiants : pectine', 'alginate de sodium', 'gomme xanthane', 'farine de graines de caroube', 'acidifiant : acide lactique', ""correcteurs d'acidité : diphosphates"", 'lactate de calcium', 'dextrose', 'sel', 'poudres à lever ', 'diphosphates', 'carbonates de sodium', 'acide citrique', 'maltodextrine', 'arôme naturel de vanille', 'humectant : sirop de sorbitol', 'poudre de lactosérum', 'amidon de blé', 'colorant : caroténoïdes']","['Œufs', 'Gluten', 'Lait']",['Non végétalien'],?,476,1992 kj(476 kcal),27,19,51,29,"6,1","0,95","0,38",528 g (16 madeleines),B,"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",4,19 g,en quantité élevée,29 g,en quantité élevée,0.95 g,en quantité modérée,,+8%,+8%,+18%,+174%,-3%,+5%,+7%,+17%,+17%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,27 g,en quantité élevée,25,+36%,E,+36%,"['E440 - Pectines', 'E401 - Alginate de sodium', 'E415 - Gomme xanthane', 'E410 - Gomme de caroube', 'E270 - Acide lactique', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E327 - Lactate de calcium', 'E500 - Carbonates de sodium', 'E330 - Acide citrique', 'E420ii - Sirop de sorbitol', 'E160 - Caroténoïdes']",,"['Sachet', 'Plastique']",,,,['Leclerc'],"['France', 'Bretagne', 'Saint Agathon', ""Cotes d'Armor"", 'Armor Délices']",,
1672,Madeleines - Armor Délices - 990g,3368390003054,['Armor Délices'],,['France'],"['farine de blé ', 'sucre', 'beurre pâtissier 25% ', 'œufs frais 23%', 'lait demi-écrémé', 'nappage abricot ', 'sirop de glucose', 'eau', 'sucre', ""pulpe d'abricot"", 'gélifiants : pectine', 'alginate de sodium', 'gomme xanthane', 'farine de graines de caroube', 'acidifiant : acide lactique', ""correcteurs d'acidité : diphosphates"", 'lactate de calcium', 'dextrose', 'sel', 'poudres à lever ', 'diphosphates', 'carbonates de sodium', 'acide citrique', 'maltodextrine', 'arôme naturel de vanille', 'humectant : sirop de sorbitol', 'poudre de lactoserum', 'amidon de blé', 'colorant : caroténoïdes']","['Œufs', 'Gluten', 'Lait']",['Non végétalien'],?,476,1992 kj(476 kcal),27,19,51,29,"6,1","0,95","0,38",990 g,B,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",4,19 g,en quantité élevée,29 g,en quantité élevée,0.95 g,en quantité modérée,,+8%,+8%,+18%,+174%,-3%,+5%,+7%,+17%,+17%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,27 g,en quantité élevée,25,+36%,E,+36%,"['E440 - Pectines', 'E401 - Alginate de sodium', 'E415 - Gomme xanthane', 'E410 - Gomme de caroube', 'E270 - Acide lactique', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E327 - Lactate de calcium', 'E500 - Carbonates de sodium', 'E330 - Acide citrique', 'E420ii - Sirop de sorbitol', 'E160 - Caroténoïdes']",,,,,,,,,
1673,Le Palmier d'Armor - Armor Délices,3368390003900,['Armor Délices'],,['France'],[],,[],?,480,2008 kj(480 kcal),22,16,63,25,"5,6","1,1","0,44",,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits feuilletés', 'Palmiers']",,16 g,en quantité élevée,25 g,en quantité élevée,1.1 g,en quantité modérée,,-7%,-7%,-19%,+2%,+5%,+14%,-6%,+9%,+9%,79.4%,12.3%,3.8%,2.3%,2.3%,0.0%,59,22 g,en quantité élevée,24,+3%,E,+3%,,,,,,,,,,
1674,6 Palmiers d'Armor - Armor Délices,3368390020617,['Armor Délices'],['Pur beurre'],['France'],"['farine de blé ', ' beurre pâtissier 21 ', 'matietes orasses laitieres? colorant naturel : carotén01des', 'eau,sucre', 'sel', ' Peut contenir des traces d œufs', ' Valeuts nutritionnet!es moyennes pour 1000 2013 kJ/ kcal']","['Gluten', 'Lait']",[],?,480,2008 kj(480 kcal),22,16,63,25,"5,6","1,1","0,44",,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits feuilletés', 'Palmiers']",3,16 g,en quantité élevée,25 g,en quantité élevée,1.1 g,en quantité modérée,,-7%,-7%,-19%,+2%,+5%,+14%,-6%,+9%,+9%,79.4%,12.3%,3.8%,2.3%,2.3%,0.0%,59,22 g,en quantité élevée,24,+3%,E,+3%,,,,,,,,"['France', 'Bretagne']",,
1675,Le palet d'Armor - Armor Delices - 300g,3368390040257,['Armor Delices'],,['France'],"['farine de blé', 'sucre', 'beurre pâtissier 24%', 'œufs entiers frais 10%', 'sel', 'lait écrémé en poudre', 'poudres à lever ', 'carbonates de sodium', 'diphosphates', ""carbonates d'ammonium"", ' Peut contenir des traces de soja et fruits a coque']","['Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,514,2151 kj(514 kcal),27,17,62,28,"6,3","1,27","0,508",300 g,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', ""E503 - Carbonates d'ammonium""]",,,,,,,,,
