,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,eco_score,generic_name,quantity,packaging,brand,categories,ingredients_origins,manufacturing,traceability_code,markets,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,labels,producer_info,brand_owner,palm_ingredients,link,origin_detail
141,Bunter Genuss Schmelzkäsezubereitung - Le Jardin de Lydie - 430g,,"['France', 'Allemagne']",[],[],?,280,1172 kj(280 kcal),24,16,"6,9","6,7","9,2",,,430 g,,['Le Jardin de Lydie'],"[""en:Aliments et boissons à base de végétaux  Aliments d'origine végétale  Produits à tartiner  Petit-déjeuners  Aliments à base de fruits et de légumes  Fruits et produits dérivés  Pâtes à tartiner végétales  Produits à tartiner sucrés  Confitures et marmelades  Confitures  Confitures de fruits  Confitures de fruits rouges  Confitures de fruits rouges mélanges  Confitures multifruits""]",,,,,,,24 g,en quantité élevée,16 g,en quantité élevée,6.7 g,en quantité modérée,3.1 g,en quantité élevée,,,,,,,,,"3,1",,"1,24",,14,,D,,,,,,,,,,['en:OrganicEU OrganicAB Agriculture BiologiqueFR-BIO-09eu-non-eu-agriculture'],,,,,
142,Riz Basmati 1kg - Golden Sun - 1kg,,['France'],"[""Golden Sun BASMATI SÉLECTION Le riz Basmati sélection est originaire des pentes de l'Himalaya"", ' Son grain long et effilé', ""sa blancheur et son arôme incomparables en font l'un des riz les plus savoureux au monde""]",[],?,351,1469 kj(351 kcal),"0,1","0,1",77,"0,1",9,C,,1 kg,,['Golden Sun'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz parfumés', 'Riz de variété indica', 'Riz long grain', 'Riz Basmati']",,,,['Lidl'],,,0.1 g,en faible quantité,0.1 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,,+7%,+6%,-90%,-58%,+8%,-59%,+19%,0,-100%,0,-100%,-2,,A,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,,
143,Cacciatore - Italiamo - 180g,20016012,['France'],[],[],?,404,1690 kj(404 kcal),34,"11,4","0,5","0,5",24,,,180 g,,['Italiamo'],,,,,,,,,,,,,,,,,,,,,,,,"4,5",,"1,8",,,,,,,,,,,,,,['en:gluten-free'],,,,,
144,Le Jambon Supérieur avec Couenne - Saint Alby - 200g (x 4tranches),20021030,"['France', 'La Réunion', 'Suisse']","['viande de porc', 'gras de porc', 'couenne de porc', 'sel nitrité pour saumure ', 'sel', 'conservateur : nitrite de sodium', ""extraits d'épices"", 'épices', 'dextrose', 'antioxydant : ascorbate de sodium']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,131,548 kj(131 kcal),5,"1,9","1,5","0,5",20,E,Jambon cuit à l'étouffée de qualité supérieure avec couenne,200 g (x 4 tranches),"['Frais', 'Barquette', 'Plastique', 'Sous atmosphère protectrice']",['Saint Alby'],"['Viandes', 'Charcuteries', 'Frais', 'Jambons', 'Jambons blancs']",['Union européenne'],"['LAMPAULAISE DES SALAISONS', 'LDS SAS', '29403 LANDIVISIAU', 'Lampaul-Guimiliau', 'BRETAGNE', 'FINISTERE', 'France']","['FR 95.280.001 CE', ""Goussainville (Val-d'Oise, France)"", 'DE RP 03001 EG']",['Lidl'],,4,5 g,en quantité modérée,1.9 g,en quantité modérée,0.5 g,en faible quantité,1.88 g,en quantité élevée,,-1%,+0%,+4%,+3%,+124%,-16%,-5%,"1,875",+0%,"0,75",+0%,5,-29%,C,-29%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']","['Point Vert', 'Qualité supérieure', ""Cuit à l'étouffée"", 'Eco-Emballages']",,,,,
145,L'aperitivo biondo - Italiamo - 10cl,20023102,['France'],[],[],?,54,226 kj(54 kcal),0,0,13,13,0,,,10 cl,,['Italiamo'],,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
146,Saucisson Brioché pur porc - Toque du chef - 400g,20023546,['France'],"['36,4% saucisson ', '33,7% viande de porc ', 'Origine : France', ""blanc d'œuf*"", 'sel', 'sucres', 'épices', 'plantes aromatiques', 'antioxydant : ascorbate de sodium ', ' arôme naturel', 'conservateur : nitrite de sodium', 'farine de blé', 'eau', 'oeufs* entiers', 'beurre ', 'lait', 'huile de colza', 'dextrose', 'levure', 'sel', 'gluten de blé', ""émulsifiants : mono - et diglycérides d'acides gras"", ""esters monoacétyltartriques et diacétyltartriques des mono - et diglycérides d'acides gras "", "" blanc d'œuf*"", 'farine de blé malté', 'épaississant: gomme guar ', ' sucre', 'agent de traitement de la farine : acide ascorbique', ' *issus de poules élevées au sol']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,367,1536 kj(367 kcal),18,"11,3",28,"4,5",11,,,400 g,['Barquette'],['Toque du chef'],,,['SAS ROLAND MONTERRAT - 01570 FEILLENS'],,['Lidl'],"['Œufs', 'Gluten', 'Lait']",4,,,,,,,,,,,,,,,,,"1,5",,"0,6",,,,,,,,,,,,,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E412 - Gomme de guar', 'E300 - Acide ascorbique']",,,,,,
147,Caffe crema - Toque Du Chef - 800g,20023911,['France'],"['Eau', 'ravioli 28% ', 'semoule de blé dur', 'eau', '4% viande de dinde ', 'origine France', 'chapelure ', 'farine de blé', 'sel', 'levure', 'graisse de poulet et poule ', 'origine UE', '0,4% carottes', 'sel', '0,05% oignons déshydratés', '5,9% concentré de tomate', '3,5% viande de dinde ', 'origine France', '1,9% oignons', '1,2% carottes', 'amidon modifié de maïs', 'arômes', 'basilic', 'sel', 'graisse de poulet et poule ', 'origine UE', 'sucre', 'ail poudre']","['Non végétalien', 'Non végétarien']",?,84,351 kj(84 kcal),"1,7","0,7",13,"2,7",4,E,Ravioli à la volaille,800 g,"['Boite', 'Conserve', 'Acier recyclable', 'Boite', 'Produit', 'Boîte en métal']","['Toque Du Chef', 'Combino', 'Lidl Stiftung & Co. KG']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Céréales et pommes de terre', 'Céréales et dérivés', 'Plats préparés', 'Produits à la viande', 'Plats à base de pâtes', 'Plats préparés à la viande', 'Pâtes alimentaires', 'Pâtes farcies', 'Pates farcies à la viande', 'Plats à la volaille', 'Ravioli', 'Plats préparés en conserve', 'Plats au poulet', 'Ravioli à la viande', 'Ravioli en conserve', 'Ravioli à la volaille']",,"['William Saurin (WS) - 26 Rue de Crécy - D35 - 02270 Pouilly-sur-Serre', 'Aisne', 'Picardie', 'France']","['FR 02.617.001 CE', 'Pouilly-sur-Serre (Aisne, France)']",['Lidl'],['Gluten'],4,1.7 g,en faible quantité,0.7 g,en faible quantité,2.7 g,en faible quantité,0.8 g,en quantité modérée,,-28%,-30%,-50%,-26%,-23%,+10%,-25%,"0,8",-18%,"0,32",-18%,2,-12%,B,-12%,92.9%,3.7%,1.3%,1.1%,0.6%,0.4%,19,['E14XX - Amidons modifiés'],"['Point Vert', 'Sans conservateurs', 'Acier recyclable', 'Eco-Emballages']",,,,,
148,Limoncino - Lidl - 70cL,20029760,"['France', 'Italie']","['acqua', 'zucchero', 'alco', '4,8% infuso di scorze di limoni italiani', 'aromi naturali']",[],?,?,,?,,?,,?,E,Liquore,70 cL,"['Bouteille', 'Verre']","['Lidl', 'Massari']","['Boissons', 'Boissons alcoolisées', 'Liqueurs']",,"['CFL S.P.A.', 'VIA VENEZIA 5/A', 'I-41034 FINALE EMILIA (M0)', 'ITALIA', 'C.A.']",,['Lidl'],,4,,,,,,,,,,,,,,,,,,,,,,,,,57.4%,11.3%,20.5%,8.1%,1.7%,1.0%,33,,,,,,,
149,"Croissant Albicocca, Pfirsich",20034429,['France'],[],[],?,383,1602 kj(383 kcal),"13,9","4,5","56,9","23,8","6,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,41",,"0,164",,,,,,,,,,,,,,,,,,,
150,Smoked mini salami - Alpen Fest - 250g,20044589,"['France', 'Allemagne', 'Royaume-Uni']","['Pork', 'Pork Fat', 'Nitrite Curing Salt ', 'Salt', 'Preservative: Sodium Nitrite', 'Maltodextrin', 'Dextrose', 'Spices', 'Antioxidants: Sodium Erythorbate', 'Ascorbic Acid']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,455,1900 kj(455 kcal),38,17,"3,52","1,92",24,D,,250 g,['Kunststoff'],"['Alpen Fest', 'Lidl']","['Viandes', 'Charcuteries', 'Saucissons', 'Salamis', 'Salami de porc']",['Union européenne'],['Germany'],['DE EV-1175 EG'],['Lidl'],"['Œufs', 'Gluten', 'Fruits à coque']",4,38 g,en quantité élevée,17 g,en quantité élevée,1.92 g,en faible quantité,3.25 g,en quantité élevée,,+18%,+17%,+16%,+31%,+129%,+155%,+18%,"3,25",-14%,"1,3",-14%,24,+1%,E,+1%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E316 - Érythorbate de sodium', 'E300 - Acide ascorbique']",,,NOT A BRANDED ITEM,,,
