,name,bar_code,quantity,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,packaging,manufacturing,markets,additives,palm_ingredients,allergens,nova_score,ingredients_origins,link,traceability_code,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,origin_detail,brand_owner
10,St Emilien grand cru 2006 - Marquis de mons,3438910872061,,['Marquis de mons'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3438931019773,3438931019773,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Gelée d'Auvergne - production artisanale - 230g,3438945041197,230 g,['production artisanale'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['bocal en verre'],,,,,,,['Sucre agaragar et racines de gentiane'],,,,,,,,,,,,,
13,sucre calibré fin - mccf - 10kilos,3439495104707,10 kilos,['Mccf'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['Sac'],,['métro'],,,,,,,,,,,,,,,,,,
14,Sirop pomme rouge - Gilbert,3439495404135,,['Gilbert'],"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de pomme']",['France'],[],[],,,,,,,,,?,,311,+25%,1301 kj(311 kcal),+24%,0,-100%,0,-100%,"77,7",+20%,"77,4",+25%,0,-100%,"0,02",-68%,"0,008",-68%,,,,,,,,['Metro'],,,,,,,,B,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,
15,Cascades -  - 75cl,3439495504224,75cl,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Jus de poire,3439760001113,,,,['France'],[],[],,,,,,,,,?,,49,,205 kj(49 kcal),,"0,5",,"0,1",,"9,8",,"8,5",,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,
17,fromage de tête - Sabatier - 350g,3441700286108,350 g,['Sabatier'],['Charcutier'],['France'],"['MAITRE ANTOINE SRLAISONS SABATIER-21076 DIJON-CEDEX MON FROMAGE DE TETE DES HALLES İNGREDIENTS: TETE OE PORC 〔39', '5%', 'LANGUES DE PORC ', '11', '2%', '""YINAIGRE', ' SUL FITES', 'VIN BLANC RLIGOTE ', '3', '3%', 'suLFITES', 'GELATINE G ', 'SULFITES', ' SEL', 'ECHALOTES', 'RIL', ' IIEXTROSE', 'AROMES ET AROMES NATURELS', 'PERSIL', 'EPICES', 'CIDIFIANT: E330', 'ANTIOXYDANT: E301', 'CONSERVATEURS: E202 ET E250 EPAISSİSSANTS: E407 ET E415', ' STABILİSAN:T E452', 'COLORANTS: E120 ET E1500', "" Produit transfarmé a1 FRANCE à partir de viande d'origine UE"", ' Fabriquá dans un atelier utilisant Moutarde', 'Fruits à coques et Deuf', ' R consommar rapidement après ouv ertura', ' Valaurs énergétiques moyannes: 606kJ ']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,"['E428 - Gélatine', 'E330 - Acide citrique', 'E301 - Ascorbate de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', 'E120 - Acide carminique']",,['Anhydride sulfureux et sulfites'],4,,,"['FR 21.484.002 CE', ""Planay (Côte-d'Or, France)""]",,,,,,,,,,,
18,Gaufres Flamandes - Jours Heureux,3442643568016,,['Jours Heureux'],,['France'],[],[],,,,,,,,,?,,471,,1971 kj(471 kcal),,"17,9",,"11,8",,"69,8",,29,,"6,7",,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Cassoulet aux manchons d'oie confits - Clos Saint Sozy,3443705000918,,['Clos Saint Sozy'],,['France'],[],[],,,,,,,,,?,,162,,678 kj(162 kcal),,"8,8",,"3,3",,11,,"0,5",,10,,"0,87",,"0,348",,,,,,,,,,,,,,,,,,,,,,,,,,,
