,name,bar_code,quantity,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,labels,packaging,manufacturing,markets,additives,palm_ingredients,allergens,nova_score,ingredients_origins,link,traceability_code,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,origin_detail,brand_owner
420,3770001359199,3770001359199,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-09', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,
421,mousse de homard au cognac le cayenne - 90g,3770001652580,90 g,,,['France'],[],[],,,,,,,,,?,,252,,1054 kj(252 kcal),,22,,10,,"2,7",,"1,1",,10,,"0,94",,"0,376",,,,,,,,,,,,,,,,,,,,,,,,,,,
422,"Dieti Snack, Zitrone",3770001999296,,,,['France'],[],[],,,,,,,,,?,,372,,1556 kj(372 kcal),,"13,2",,"6,2",,"33,8",,"19,8",,30,,"0,65",,"0,26",,,,,,,,,,,,,,,,,,,,,,,,,,,
423,Miel de Lavande - Gaec les ruchers nomades - 500grammes,3770002516003,500 grammes,['Gaec les ruchers nomades'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,
424,miel d'acacia - face les ruches nomades - 500g,3770002516041,500 g,['face les ruches nomades'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,['Bio'],['pot en verre'],['Semons'],,,,,,['Rhône alpes'],,['FB BIO 01'],B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,
425,Les Choco-saveurs - Malakoff - 240g,3770002656983,240g,['Malakoff'],,['France'],[],['Sans huile de palme'],,,,,,,,,?,,513,,2146 kj(513 kcal),,28,,"3,4",,58,,56,,"4,5",,"0,05",,"0,02",,,,,,['en:palm-oil-free'],,,,,,,,,,,,,,,,,,,,,
426,Miel ruche ste marie - Molière et fils Rucher Sainte-Marie - 250g,3770003135036,250g,['Molière et fils Rucher Sainte-Marie'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['France'],,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,
427,P'tit Montmenot Brique de chèvre fermière au lait cru - 160g,3770003442011,160 g,"[""P'tit Montmenot""]","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre', 'Fromages au lait cru', 'Fromages fermiers', 'Produits fermiers']",['France'],[],[],29 g,en quantité élevée,22 g,en quantité élevée,4.4 g,en faible quantité,0.4 g,en quantité modérée,?,,332,-2%,1389 kj(332 kcal),-1%,29,+5%,22,+19%,"4,4",+687%,"4,4",+1254%,20,-9%,"0,4",-73%,"0,16",-73%,10,-32%,C,-32%,,['Frais'],,,,,,,,,"['FR 69.008.002 CE', 'Ancy (Rhône, France)']",E,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,,,
428,Cacahuète fleur de sel - tentation cacao,3770003578307,,['tentation cacao'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait', 'Chocolats salés', 'Chocolats à la fleur de sel', 'Chocolats au lait salés', 'Chocolats au lait à la fleur de sel', 'Chocolats au lait aux cacahuètes', 'Chocolats aux cacahuètes']",['France'],"['Chocolat au lait ', 'Sucre de canne* 48', '7%', 'Beurre de cacao* 20% ', 'mélange origines', ' Lait en poudre* 18', '6%,Pâte de cacao* 12% ', 'mélange origines', ' émulsifiant: Lécithines de tournesol <1%', 'extrait de vanille"" <1%', ' Arachides* 10%', 'fleur de sel de Guérande certifié Nature et Progrès 0', '2%', "" \r * Issus de l'agriculture biologique"", 'certifiés par CERTIPAQ BIO FR-BIO 09 Souligné : ingrédients issus du Commerce Equitable ', ""28,8% des ingrédients d'origine agricole""]",['Non végétalien'],33.7 g,en quantité élevée,17.7 g,en quantité élevée,50.6 g,en quantité élevée,0.37 g,en quantité modérée,?,,552,-0%,2310 kj(552 kcal),0%,"33,68",-4%,"17,72",-18%,"52,13",+1%,"50,58",+4%,"8,86",+30%,"0,37",-34%,"0,148",-34%,27,-2%,E,-2%,"['Bio', 'Bio européen', 'FR-BIO-09', 'AB Agriculture Biologique']",['Carton'],['Theix 56450'],,['E322i - Lécithine'],,['Arachides'],4,,,,D,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,
429,Tapenade verte -,3770003588979,,,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades']",['France'],"['olives vertes 90%', ""huile d'olive"", 'câpres', 'sel', 'moutarde', ""crème d'anchois "", ' anchois', ""huile d'olive"", 'vinaigre de vin', 'épices: poivre blanc', 'girofle', 'sel', 'herbes de Provence']","['Non végétalien', 'Non végétarien']",21.2 g,en quantité élevée,10.9 g,en quantité élevée,0.02 g,en faible quantité,3.13 g,en quantité élevée,?,,203,-21%,849 kj(203 kcal),-21%,"21,2",-15%,"10,9",+223%,"0,9",-70%,"0,02",-96%,"1,5",-13%,"3,13",+4%,"1,252",+4%,22,+54%,E,+54%,,,,,,,"['Poisson', 'Moutarde']",3,,,,C,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,
430,3770003829126,3770003829126,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,Parfum de Garrigues - 3litres,3770003872061,3 litres,['Parfum de Garrigues'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['Cubi'],,['Natureo'],,,,,['Cazelles 34210'],,,D,38.9%,16.2%,33.0%,8.1%,2.4%,1.3%,43,,,
432,Jus de pomme a la vanille,3770004173174,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,3770004191451,3770004191451,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,['IGP'],,,,,,,,,,,,,,,,,,,,,
434,Saucisses de poulet - GelReunion - 1kg,3770004232024,1kg,['GelReunion'],['Viande de poulet'],['France'],"['viande de cuisses de poulet', 'sel', 'polyphosphate de sodium', 'sucre', 'E916', 'E253', 'Arôme de transformation E250']","['Non végétalien', 'Non végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['sachet plastique'],['Réunion (?)'],,"['E452i - Polyphosphate de sodium', 'E916 - Iodate de calcium']",,,4,['Non spécifié'],,"['FR 03.048.004 CE', 'Cérilly (Allier, France)']",,,,,,,,,,,
435,Samoussas boeuf,3770004232277,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,"['FR 03.048.004 CE', 'Cérilly (Allier, France)']",,,,,,,,,,,
436,L’arrangé - Tricoche spirits - 70cl,3770005314170,70 cl,['Tricoche spirits'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,
437,pâtes ardechoises - di girolamo - 500g,3770005322021,500g,['di girolamo'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,
438,Velouté de courgettes et pommes de terre - La cuisine des potagers - 450g,3770006126055,450g,['La cuisine des potagers'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes']",['France'],[],[],1.53 g,en faible quantité,0.3 g,en faible quantité,1.52 g,en faible quantité,0.36 g,en quantité modérée,?,,40,+3%,167 kj(40 kcal),+2%,"1,53",-1%,"0,3",-50%,"4,92",+3%,"1,52",-18%,"1,11",+30%,"0,36",-44%,"0,144",-44%,1,-25%,B,-25%,"['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,,,,,,,B,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,,
439,Sablés pur beurre a la fleur de sel - 110g,3770006142468,110 g,,,['France'],[],[],,,,,,,,,?,,518,,2167 kj(518 kcal),,24,,15,,64,,23,,"9,4",,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,
440,3770006952173,3770006952173,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,Le petit carré de chocolat,3770007413161,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,
442,Bière blonde - La Pucelle d’Orléans - 1,3770007968029,1,['La Pucelle d’Orléans'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières blondes']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,C,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,
443,Des lices d Athena - 120g,3770007997166,120 g,,,['France'],[],[],,,,,,,,,?,,409,,1711 kj(409 kcal),,37,,25,,2,,0,,15,,1,,"0,4",,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,
444,Superinfusion,3770008061248,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,"['Bio', 'Agriculture UE/Non UE']",,,,,,,,,,,,,,,,,,,,,
445,Bière blonde - Caturige - 33cl,3770010418023,33 cl,['Caturige'],"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières artisanales', 'Bières blondes']",['France'],"['eau des Ecrins', ""malt d'orge"", 'houblons', 'levures', 'sucre']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-15', 'Déconseillé aux femmes enceintes']","['Bouteille verre', 'Recycle']","['Brasserie Artisanale de Serre-Ponçon', 'Les Bernards', '05230', 'Chorges', 'France']",,,,['Gluten'],3,,,,B,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,
446,velouté  d'asperges avec les légumes du jardin - pascal  cornuet - 500ml,3770011066698,500ml,['pascal  cornuet'],"['Plats préparés', 'Soupes', 'Réfrigérés', 'Plats préparés réfrigérés', 'Soupes réfrigérées']",['France'],"['sel de mer', 'farine de riz complet*', 'carottes""', 'céleri*', 'poireau*', 'oignons*', 'huile de tournesol*', 'tomates* persil*', 'feuille de livèche*', 'macis*', 'curcuma*', 'feuilles de céleri*', 'ciboulette""', 'laurier', ' 1,25%', 'sel de Guérande 1,25%', ' ', ""*issu de l'agriculture biologique"", ' Volume net: 500 ml']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,['Bio'],['Bocal'],['wintzenheim 68920'],['la pommeraie Sigolsheim (Alsace )'],,,['Céleri'],3,['Légumes du jardin'],,,,,,,,,,,,,
447,Les croquants d'Elo - Les jus d'Elo - 200g,3770011907007,200g,"[""Les jus d'Elo""]",,['France'],"['SARRASIN SIN', 'GRAINE DE TOURNESOL', 'AMANDE', ""CACAO 100% CRU D'AMANDE"", 'AGAVE ', 'SIROP']","['Végétalien', 'Végétarien']",,,,,,,,,?,,508,,2125 kj(508 kcal),,28,,"3,1",,42,,13,,17,,"0,03",,"0,012",,,,,,"['Bio', 'Végétarien', 'Végétalien']",,,,,,['Fruits à coque'],,,,,,,,,,,,,,,
448,Lactel vitamine D demi écrémé - 1,3780267901100,1,['Lactel'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,Dattes,3783506202556,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Dattes']",['France'],[],[],0.04 g,en faible quantité,0 g,en faible quantité,63.3 g,en quantité élevée,0.01 g,en faible quantité,?,,329,+10%,1377 kj(329 kcal),+10%,"0,04",-86%,0,-100%,75,+9%,"63,3",+8%,"2,4",+11%,"0,01",-54%,"0,004",-54%,8,+64%,C,+64%,,,,,,,,,,,,C,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,,
450,3800222051661,3800222051661,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,Coconut chips,3830052951107,,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,660,,2761 kj(660 kcal),,65,,57,,24,,7,,7,,"0,1",,"0,04",,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,
452,Psyllium husk,3830052954283,,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,
453,courge - 1.242,2803074016209,1.242,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,"épices à Cuisine Vegeta, 500g",3850104047596,,,,['France'],[],[],,,,,,,,,?,,137,,573 kj(137 kcal),,"0,6",,0,,"0,1",,"0,1",,"8,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,Markal - 750G,38637506,750G,['Markal'],"['Édulcorants', 'Sucres', 'Sucres complets']",['France'],[],[],0.5 g,en faible quantité,0 g,en faible quantité,88.5 g,en quantité élevée,0.04 g,en faible quantité,?,,388,-0%,1623 kj(388 kcal),+1%,"0,5",+1539%,0,,"95,1",-2%,"88,5",-7%,"0,6",+167%,"0,04",-46%,"0,016",-46%,14,-1%,D,-1%,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['Sachet'],,,,,,,,,,A,65.2%,10.9%,13.4%,7.2%,3.3%,0.0%,94,,,
456,3921760542890,3921760542890,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,Riz carnaroli,8018102000318,,,,"['France', 'Pays-Bas']",[],[],,,,,,,,,?,,376,,1573 kj(376 kcal),,"0,6",,"0,2",,90,,0,,"8,2",,0,,0,,,,,,,['Container'],,,,,,,,,,,,,,,,,,,,
458,"Grains de café - Avo les épices d’Ingwiller - 0,190kg",4001429803377,"0,190 kg",['Avo les épices d’Ingwiller'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Grains de café']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,E,96.9%,0.9%,0.7%,1.3%,0.2%,0.0%,10,,,
459,Getrocknete Tomaten in Streifen - Feinkost Dittmann,4002239932301,,['Feinkost Dittmann'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Produits déshydratés', 'Tomates et dérivés', 'Aliments à base de plantes séchées', 'Légumes séchés', 'Tomate séchée', ""Tomate séchée à l'huile""]","['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['Kunststoff'],,,,,,,,,,E,34.1%,59.8%,3.6%,1.3%,1.0%,0.2%,13,,,
460,40023894644,40023894644,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,Heisser Hugo - 0.75l,4002391310108,0.75 l,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['Flasche'],,,,,,,,,,,,,,,,,,,,
462,Jive Kirschblüte,4002391788105,,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['Flasche'],,,,,,,,,,,,,,,,,,,,
463,Jive Ice Edition Pfirsich-Aprikose,4002391788600,,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['Flasche'],,,,,,,,,,,,,,,,,,,,
464,Jive Limited Edition Orangenblüte,4002391792607,,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['Flasche'],,,,,,,,,,,,,,,,,,,,
465,Jive Holunderblüte,4002391794106,,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['Flasche'],,,,,,,,,,,,,,,,,,,,
466,Jive Cassis,4002391795103,,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['Flasche'],,,,,,,,,,,,,,,,,,,,
467,Chairmans Sherry - 0.7l,4004110743136,0.7 l,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['Flasche'],,,,,,,,,,,,,,,,,,,,
468,Bio Apfelsaft,4004661069914,,,,['France'],[],[],,,,,,,,,?,,46,,192 kj(46 kcal),,"0,5",,"0,1",,11,,10,,"0,5",,"0,01",,"0,004",,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,
469,Ramazotti Ramaro - 0.7l,4005971386289,0.7 l,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['Flasche'],,,,,,,,,,,,,,,,,,,,
470,Arachides en coque grillées - Rapunzel,4006040031284,,['Rapunzel'],,['France'],[],[],,,,,,,,,?,,626,,2619 kj(626 kcal),,49,,"6,6",,"9,4",,"2,9",,30,,"0,02",,"0,008",,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,
471,Der Himmlische - Mövénpick - 100grammes,4006581017693,100 grammes,['Mövénpick'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,Altbayrischer Apfel-Glühwein -  - 1l,4006606950509,1 l,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins aromatisés', 'de:Glühwein']","['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['Flasche'],,,,,,,,,,,,,,,,,,,,
473,Persil,4007747001747,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,4008088290708,4008088290708,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Schwangerschafts Tee - Bad Heilbrunner,4008137007950,,['Bad Heilbrunner'],,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,"0,2",,"0,1",,0,,0,,0,,,,,,['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,
476,Mini saucisses - kamar,4008460266475,,['Kamar'],"['Viandes', 'Charcuteries', 'Saucisses']",['France'],"['Viande séparée mécaniquement ', '39% dinde', '19% poulet', 'eau', 'graisse de poulet avec peau', 'viande de poulet 7%', 'amidon de pomme de terre', 'sel', 'épices', 'dextrose', ""correcteurs d'acidité: E450"", 'E327', 'E262', ' arôme', 'extraits d` épices', 'antioxydant: E300', ' conservateur: E250', ' fumée']","['Non végétalien', 'Non végétarien']",17 g,en quantité modérée,5.3 g,en quantité élevée,0.5 g,en faible quantité,1.8 g,en quantité élevée,?,,214,-16%,895 kj(214 kcal),-16%,17,-18%,"5,3",-33%,"4,3",+201%,"0,5",-34%,11,-27%,"1,8",-8%,"0,72",-8%,14,-20%,D,-20%,['Halal'],,,,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E327 - Lactate de calcium', 'E262 - Acétates de sodium', 'E300 - Acide ascorbique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,4,,,,,,,,,,,,,,
477,Sandwich schoko reiswaffeln - Linéa natura - 6,4009176405837,6,['Linéa natura'],,['France'],[],[],,,,,,,,,?,,456,,1908 kj(456 kcal),,"15,3",,"4,8",,"72,4",,"27,3",,"6,2",,"0,1",,"0,04",,,,,,"['Bio', 'Bio européen', 'BE-BIO-02']",,,,,,,,,,,,,,,,,,,,,
478,Karlsbader Oblaten - Mandel-nuss,4009703001327,,,,['France'],[],[],,,,,,,,,?,,443,,1854 kj(443 kcal),,"10,3",,"5,3",,80,,40,,"6,8",,"0,25",,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,
479,Amaretto - Galatti - 0.7litres,4009872013619,0.7 litres,['Galatti'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,Gressins au sésame,4009952000737,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Gressins']",['France'],[],[],11.5 g,en quantité modérée,4 g,en quantité modérée,2.5 g,en faible quantité,2.1 g,en quantité élevée,?,,400,-5%,1674 kj(400 kcal),-5%,"11,5",+6%,4,+77%,59,-12%,"2,5",0%,11,-4%,"2,1",+11%,"0,84",+11%,16,+25%,D,+25%,,,,,,,,,,,,B,58.5%,23.6%,10.3%,6.6%,0.9%,0.0%,93,,,
481,Tropicana,40010144,,['Tropicana'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482,thon au naturel,8009838001434,,,"['Produits de la mer', 'Poissons', 'Thons', 'Thons au naturel']",['France'],[],[],0.5 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,1.5 g,en quantité modérée,?,,116,+1%,485 kj(116 kcal),+1%,"0,5",-67%,"0,2",-57%,"0,2",+65%,0,-100%,"27,7",+10%,"1,5",+44%,"0,6",+44%,2,+638%,B,+638%,,,,,,,,,,,,E,68.8%,7.5%,16.1%,6.6%,0.5%,0.5%,28,,,
483,babylove - 190,4010355535702,190,['Babylove'],['de:Bébé'],"['France', 'Allemagne']",[],[],0.526 g,en faible quantité,,,9.79 g,en quantité modérée,0.00526 g,en faible quantité,?,,228,,954 kj(228 kcal),,"0,526",,,,?,,"9,79",,?,,"0,005",,"0,002",,,,,,"['Bio', 'Bio européen', 'IT-BIO-006', 'Fabriqué en Italie']",['pot en verre'],,['Dm'],,,,,,,,,,,,,,,,,,
484,Pilze Misch,4010446725678,,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485,Harzer Grubenlicht - 0.7l,4011478107005,0.7 l,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,['Flasche'],,,,,,,,,,,,,,,,,,,,
486,Pois chiche,4012625432841,,,,['France'],[],[],,,,,,,,,?,,325,,1360 kj(325 kcal),,"3,6",,"0,1",,48,,"0,5",,20,,"0,05",,"0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,
487,Classic Thee Los 100Gr - Yogi tea - 100g,4012824528031,100g,['Yogi tea'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions']",['France'],"['Cannelle"" ', '55%', 'cardamome', ""gingembre'"", 'clous de girofle', 'poivre noir agriculture biologique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['boite vrac'],['Hambourg Allemagne'],,,,,1,['Non Union Européenne'],,,A,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,
488,Hefeklöße 7 Sück,4013204000024,,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,Bratwurst im Naturdarm - Kinnius - 600g,4014972150218,600 g,['Kinnius'],"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses allemandes']","['France', 'Allemagne']","['Schweinefleisch ', '80 %', 'Speck', 'Trinkwasser', 'Kochsalz', 'Maltodextrin', 'Gewürze', 'Stabilisator: E450', ' Natriumcitrate', 'Geschmacksverstärker: E 621', 'Emulgator: E 471', 'Säuerungsmittel: E 262', ' Citronensäure', 'Antioxidationsmittel: Natriumascorbat', 'Würze', 'Gewürzaroma', 'pflanzliches Fett ', 'Palm', ' ganz gehärtet', 'Naturdarm ', 'Schwein']","['Huile de palme', 'Non végétalien', 'Non végétarien']",29.5 g,en quantité élevée,12 g,en quantité élevée,1 g,en faible quantité,2 g,en quantité élevée,1312,+15%,317.5,+21%,1312 kj(317 kcal),+19%,"29,5",+33%,12,+43%,1,-13%,1,+34%,12,-14%,2,+1%,"0,8",+1%,21,+11%,E,+11%,,['Plastic'],,,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E331 - Citrates de sodium', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E262 - Acétates de sodium', 'E330 - Acide citrique', 'E301 - Ascorbate de sodium']",,,4,,,['DE NI-11159 EG'],,,,,,,,,Bratwurst vorgegart,,
490,4017100252419,4017100252419,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,Horeca,4018905476710,,['Horeca'],,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
