,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,traceability_code,link,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,markets,palm_ingredients,brand_owner,producer_info,origin_detail
1246,Medium - aproz - 1500ml,7610200337399,,,1500 ml,,['Aproz'],,,,,,,"['France', 'Suisse']",[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
1247,Hermesetas liquide - hermestas - 200ml,7610211071107,,,200ml,,['Hermestas'],,"['en:gluten-free', 'Kascher']",,,,,['France'],[],,[],,,,,,,,,,?,,1,,4 kj(1 kcal),,1,,1,,1,,1,,1,,2,,"0,8",,,,,,,,,,,,,,,,,,
1248,Twist palitos de hojaldre con mantequilla y sal envase 100 g - Kambly - 100g,7610216089992,,,100g,,['Kambly'],,,,,,,"['France', 'Allemagne', 'Suisse']","['farine de blé ', 'gluten', ' beurre ', '31%', ' ', 'lait', 'lait écrémé en poudre', 'sel ', '1,7 levure', ' sucre', ""farine de molt d'orge "", 'gluten']","['Gluten', 'Lait']",['Non végétalien'],4,,,,,,,,,?,,504,,2109 kj(504 kcal),,26,,17,,55,,5,,11,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,
1249,Mini-Twist sel de Kambly,7610216234002,C,,,,['Kambly'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",['Fabriqué en Suisse'],,,,,['France'],"['farine de blé', 'margarine ', 'huiles et graisses végétales [palme', 'coco', 'colza]', 'eau', 'émulsifiant : E471', 'acidifiant : E330', 'sel', 'lait écrémé en poudre', 'sel', 'levure', ""farine de malt d'orge"", 'sucre']","['Gluten', 'Lait', 'Lait écrémé en poudre']","['Huile de palme', 'Non végétalien']",4,28 g,en quantité élevée,16 g,en quantité élevée,4.5 g,en faible quantité,1.9 g,en quantité élevée,?,,514,+11%,2151 kj(514 kcal),+10%,28,+41%,16,+195%,53,-11%,"4,5",+15%,11,+11%,"1,9",-5%,"0,76",-5%,24,+56%,E,+56%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique']",['Magasins U'],,,,
1250,Offre Spéciale Duo Flûtes Sésame Kambly - 125g. × 2,7610216404009,C,,125 g. × 2,,['Kambly'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'Flûtes et torsades apéritifs']",['Fabriqué en France'],,,,,['France'],"['B CH F farine de blé', 'graines de sésame ', '30%', 'margarine ', 'graisse et huile végétales [palme', 'tournesol]', 'eau', 'émulsifiant E471', 'sel', 'acidifiant E330', 'lait écrémé en poudre', 'sel', 'levure', 'sucre', 'dextrose', 'émulsifiant E472e', ""farine de malt d'orge"", 'agent de traitement de la farine E300', "" Tenir au sec et à l'abri de la chaleur"", ' Fabriqué en France', ' GB Breadsticks with sesame IngrodiontC: flour']","['Gluten', 'Graines de sésame']","['Huile de palme', 'Non végétalien']",4,28 g,en quantité élevée,8 g,en quantité élevée,3 g,en faible quantité,1.3 g,en quantité modérée,?,,511,+10%,2138 kj(511 kcal),+9%,28,+41%,8,+48%,46,-23%,3,-23%,16,+62%,"1,3",-35%,"0,52",-35%,18,+17%,D,+17%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E300 - Acide ascorbique']",['Carrefour'],,,,
1251,"Henniez Bleue Naturelle 1.5 l - 1,5litres",7610235000114,,,"1,5 litres",['Bouteille'],['Henniez'],"['Boissons', 'Eaux']",,,,,,"['France', 'Suisse']",['Eau minérale naturelle non gazéifiée'],,[],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0,-100%,0,-100%,0 kj(0 kcal),-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,B,-100%,,,,,,,,,,,,,
1252,"Chocolat noir (et noisettes), swiss - Favarger - 100g",7610296001617,E,,100g,['Plaquette'],['Favarger'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,['Utz certified'],['Suisse'],,http://favarger.com,['France'],"['pâte de cacao', 'sucret beurre de cacao', 'noisettes', 'extrait de vanille', "" Peut contenir des traces d'amandes"", 'pistaches', 'noix et produits laitiers', ' Cacao: 62 % minimum']",['Fruits à coque'],[],3,42 g,en quantité élevée,22 g,en quantité élevée,35 g,en quantité élevée,0.01 g,en faible quantité,?,,575,+3%,2406 kj(575 kcal),+4%,42,+7%,22,-5%,39,+1%,35,+10%,5,-35%,"0,01",-79%,"0,004",-79%,24,+13%,E,+13%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,['Monoprix'],,,,
1253,Chocolat au lait fourré d'un onctueux coeur de chocolat - Lindt & Sprüngli - 100g,7610400010061,E,,100 g,['Karton'],"['Lindt & Sprüngli', 'Lindt', 'Chocoletti']","['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']","['Fabriqué en Suisse', 'Cocoa farming program']",,['Suisse'],,http://www.lindt.com,"['France', 'Suisse']","['sucre', 'beurre de cacao', 'lait entier en poudre', 'pâte de cacao', 'matière grasse végétale de coprah', 'lactose', 'lait ecrémé en poudre', 'émulsifiant ', 'lécithine de soja', ""extrait de malt d'orge"", 'arômes', 'noisettes', 'amandes', "" Peut contenir d'autres fruits à coque""]","['Gluten', 'Lait', 'Fruits à coque', 'Soja']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,38 g,en quantité élevée,26 g,en quantité élevée,49 g,en quantité élevée,0.175 g,en faible quantité,?,,576,+4%,2410 kj(576 kcal),+4%,38,+10%,26,+33%,52,+0%,49,0%,"5,7",-21%,"0,175",-25%,"0,07",-25%,27,+6%,E,+6%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,['E322i - Lécithine'],['Coop'],,,,
1254,Lindt Chocolate Black Gold Swiss With Hazelnuts And Raisins - 300g,7610400013802,E,,300g,,['Lindt'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",,,,,,"['France', 'Allemagne', 'Espagne']",[],,[],,30.5 g,en quantité élevée,14.8 g,en quantité élevée,40.4 g,en quantité élevée,0.59 g,en quantité modérée,?,,520,-6%,2176 kj(520 kcal),-6%,"30,5",-12%,"14,8",-24%,54,+4%,"40,4",-18%,"6,9",-4%,"0,59",+153%,"0,236",+153%,27,+6%,E,+6%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,,
1255,Lindt Excellence Poire Intense - 100g,7610400087360,E,,100g,,['Lindt'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,,,,,"['France', 'Suisse']",[],,[],,32 g,en quantité élevée,18 g,en quantité élevée,47 g,en quantité élevée,0.09 g,en faible quantité,?,,526,-5%,2201 kj(526 kcal),-5%,32,-19%,18,-22%,49,+27%,47,+48%,"6,7",-13%,"0,09",+93%,"0,036",+93%,26,+23%,E,+23%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,
