,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,brand,quantity,traceability_code,ingredients_origins,packaging,markets,additives,allergens,nova_score,generic_name,link,manufacturing,brand_owner,palm_ingredients
1608,7622210143600,7622210143600,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,Farine de blé semi complète T80 Bio - les Farines de la Touche - 3kg,3770004994021,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,['Bio'],['les Farines de la Touche'],3 kg,,['France'],['Papier'],,,,,,,['61700 Domfront'],,
1610,Miel de lavande - Rucher des Alpilles Brun St Rémy 13210 - 500g,3344930000059,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Miels de lavande']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,['Rucher des Alpilles Brun St Rémy 13210'],500g,,,,,,,,,,,,
1611,Fruut,5600289150110,,,['France'],[],[],,,,,,,,,?,,352,,1473 kj(352 kcal),,"0,6",,"0,1",,77,,77,,"4,1",,"0,04",,"0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,
1612,Orecchiette au ble saragolla - Histoires d'Ici - 500g,04064312,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes de blé dur', 'Orecchiette']",['France'],"['Semoule de blé dur variété Saragolla*', "" *Ingrédient issu de l'Agriculture biologique Pâtes séchées à basse température""]",[],0.4 g,en faible quantité,0.4 g,en faible quantité,3.6 g,en faible quantité,0.003 g,en faible quantité,?,,348,+1%,1456 kj(348 kcal),+2%,"0,4",-72%,"0,4",+18%,"66,2",-2%,"3,6",+35%,"13,6",+15%,"0,003",-91%,"0,001",-91%,-1,,A,,,,,,,,,,"[""Histoires d'Ici""]",500 g,,,,,,,,,,,,
1613,"Correze Gourmande, Saucisse seche pur porc La Gaillarde",3355396841339,,,['France'],[],[],,,,,,,,,?,,459,,1920 kj(459 kcal),,"38,6",,"13,7",,"1,6",,"1,6",,"26,4",,"4,3",,"1,72",,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,Kokosbrood,8710754201418,,,['France'],[],[],,,,,,,,,?,,413,,1728 kj(413 kcal),,"13,6",,"12,8",,"67,2",,"42,3",,"2,7",,"0,088",,"0,035",,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,,
1615,sauce vinaigrette à l’ail,3700832365489,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1616,Sfogliette,8011795103281,,,['France'],[],[],,,,,,,,,?,,456,,1908 kj(456 kcal),,17,,"2,6",,64,,"1,8",,10,,2,,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,
1617,Nescafé special filtre intense,7613036138871,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Nescafe'],,,,,,,,,,,,,
1618,Trappe de timadeuc,0201000029392,,,['France'],[],[],,,,,,,,,?,,277,,1159 kj(277 kcal),,23,,17,,"1,5",,1,,16,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,
1619,2231736025526,2231736025526,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
